년도,월,나이,구미시,선산읍,고아읍,무을면,옥성면,도개면,해평면,산동면,장천면,송정동,원평1동,원평2동,도량동,지산동,선주원남동,형곡1동,형곡2동,신평1동,신평2동,비산동,공단1동,공단2동,광평동,상모사곡동,임오동,인동동,진미동,양포동,산동읍,공단동,원평동
2020,2,20,"31,863",956,"2,857",65,69,92,191,"1,323",150,"1,461",310,205,"2,309",153,"3,395","1,209","1,625",396,261,547,509,420,431,"2,496","1,437","3,758","2,081","3,157",,,
2020,2,30,"36,025",759,"2,364",64,50,65,157,"4,400",108,"1,263",296,203,"1,873",116,"3,123",900,983,340,345,810,798,697,432,"2,110","1,711","4,862","2,470","4,726",,,
2020,2,40,"37,155","1,061","2,804",89,103,132,312,"2,140",239,"1,150",429,216,"2,387",163,"4,497","1,191","1,336",272,269,520,579,390,413,"2,937","1,975","4,909","1,485","5,157",,,
2020,2,50,"35,420","1,526","3,915",219,196,247,503,"1,093",366,"1,504",516,380,"2,924",260,"4,192","1,474","1,912",350,344,593,534,340,421,"2,892","1,741","3,447",895,"2,636",,,
2020,2,60,"18,568","1,295","2,009",235,215,240,459,501,319,"1,112",339,373,"1,665",255,"2,115",857,"1,060",221,199,224,216,148,219,957,574,"1,558",397,806,,,
2020,2,70,"6,786",637,685,133,140,184,272,169,207,389,136,178,462,107,633,293,267,99,75,81,50,32,114,324,156,526,120,317,,,
2020,2,80,"2,374",266,289,74,74,84,171,81,100,88,31,51,164,42,175,80,66,32,30,17,8,5,28,81,53,145,34,105,,,
2020,2,90,208,24,27,13,11,7,13,12,6,2,2,4,12,0,11,2,3,1,4,1,1,0,4,12,4,15,6,11,,,
2020,2,100,6,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,,,
2020,3,총,"214,573","7,604","18,826",943,908,"1,165","2,189","13,609","1,679","8,100","2,146","1,756","15,020","1,198","24,063","7,590","8,910","1,870","1,821","3,435","3,502","2,478","2,421","15,188","10,326","25,274","8,586","23,966",,,
2020,3,0,"22,198",474,"1,773",18,10,19,41,"2,796",53,457,37,55,"1,331",41,"2,599",609,535,73,163,385,471,353,172,"1,411","1,233","2,853",515,"3,721",,,
2020,3,10,"24,183",615,"2,165",37,36,99,86,"1,063",136,672,59,93,"1,907",71,"3,362",966,"1,168",103,133,249,322,96,189,"1,966","1,453","3,202",606,"3,329",,,
2020,3,20,"31,666",958,"2,815",67,68,92,186,"1,317",151,"1,448",301,204,"2,297",145,"3,384","1,217","1,607",385,259,544,506,425,421,"2,471","1,440","3,765","2,068","3,125",,,
2020,3,30,"35,840",746,"2,338",61,51,65,153,"4,401",107,"1,262",293,203,"1,873",116,"3,102",895,973,342,344,809,809,683,438,"2,106","1,688","4,824","2,459","4,699",,,
2020,3,40,"37,081","1,054","2,801",88,103,129,308,"2,165",232,"1,147",430,213,"2,380",164,"4,464","1,182","1,317",271,267,527,579,388,416,"2,943","1,971","4,889","1,478","5,175",,,
2020,3,50,"35,456","1,530","3,904",215,194,241,500,"1,102",366,"1,506",521,379,"2,906",255,"4,182","1,480","1,911",347,347,591,536,345,419,"2,899","1,752","3,476",897,"2,655",,,
2020,3,60,"18,710","1,297","2,030",236,219,242,456,499,318,"1,125",337,373,"1,680",259,"2,136",864,"1,062",218,199,228,219,151,221,972,576,"1,571",400,822,,,
2020,3,70,"6,836",639,682,134,142,185,272,175,208,387,137,180,468,107,648,297,266,100,74,84,51,32,114,323,156,530,123,322,,,
2020,3,80,"2,383",266,289,74,74,85,173,78,102,93,29,51,166,40,174,78,68,30,31,17,8,5,27,84,53,149,34,105,,,
2020,3,90,214,25,28,13,11,7,13,13,6,2,2,5,12,0,12,2,3,1,4,1,1,0,4,12,4,15,6,12,,,
2020,3,100,6,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,,,
2020,4,총,"214,528","7,585","18,796",940,908,"1,146","2,181","13,679","1,657","8,077","2,144","1,743","15,017","1,198","24,038","7,575","8,888","1,872","1,807","3,451","3,498","2,482","2,413","15,159","10,342","25,301","8,605","24,026",,,
2020,4,0,"22,140",473,"1,770",18,10,19,41,"2,821",51,458,33,53,"1,319",42,"2,585",601,523,74,162,391,476,353,181,"1,390","1,233","2,840",511,"3,712",,,
2020,4,10,"24,097",617,"2,163",35,32,91,88,"1,070",125,670,59,92,"1,887",72,"3,343",968,"1,162",98,129,251,322,97,188,"1,951","1,452","3,195",607,"3,333",,,
2020,4,20,"31,598",944,"2,794",68,69,90,185,"1,314",151,"1,428",296,208,"2,305",141,"3,359","1,203","1,611",382,257,547,496,427,412,"2,480","1,432","3,800","2,058","3,141",,,
2020,4,30,"35,709",736,"2,331",60,50,66,148,"4,404",104,"1,256",293,194,"1,865",113,"3,103",899,960,344,341,807,809,680,429,"2,099","1,688","4,788","2,473","4,669",,,
2020,4,40,"37,133","1,052","2,791",87,105,122,307,"2,194",226,"1,141",429,209,"2,389",163,"4,459","1,179","1,311",273,263,533,576,390,423,"2,934","1,983","4,903","1,485","5,206",,,
2020,4,50,"35,445","1,527","3,904",211,190,240,497,"1,101",361,"1,493",522,377,"2,900",260,"4,186","1,475","1,908",347,344,586,538,347,410,"2,900","1,747","3,487",905,"2,682",,,
2020,4,60,"18,922","1,307","2,047",240,224,244,457,510,320,"1,145",342,372,"1,694",261,"2,157",869,"1,072",220,203,234,219,152,225,985,591,"1,592",398,842,,,
2020,4,70,"6,846",637,676,132,139,181,270,174,209,388,139,181,478,107,652,299,270,102,71,84,53,31,114,323,157,532,125,322,,,
2020,4,80,"2,419",267,292,76,78,85,174,79,104,95,29,52,168,39,182,80,68,31,33,17,8,5,27,84,55,148,37,106,,,
2020,4,90,213,25,27,13,11,7,13,12,6,2,2,5,12,0,12,2,3,1,4,1,1,0,4,12,4,16,6,12,,,
2020,4,100,6,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,,,
2020,5,총,"214,442","7,575","18,754",939,903,"1,147","2,179","13,686","1,651","8,074","2,156","1,735","14,992","1,193","24,016","7,541","8,847","1,871","1,800","3,452","3,515","2,492","2,418","15,141","10,322","25,313","8,624","24,106",,,
2020,5,0,"22,054",470,"1,765",18,10,21,39,"2,827",51,453,33,51,"1,309",41,"2,563",593,517,72,164,385,487,355,186,"1,380","1,224","2,827",496,"3,717",,,
2020,5,10,"23,981",613,"2,157",34,30,88,86,"1,073",123,664,56,92,"1,859",70,"3,331",958,"1,141",99,128,250,320,97,187,"1,939","1,445","3,187",610,"3,344",,,
2020,5,20,"31,564",935,"2,775",68,70,90,183,"1,294",148,"1,425",298,207,"2,313",140,"3,359","1,205","1,601",376,251,548,502,423,403,"2,490","1,438","3,799","2,075","3,148",,,
2020,5,30,"35,682",733,"2,323",59,48,67,147,"4,397",105,"1,263",294,187,"1,857",110,"3,084",888,963,342,339,807,813,682,434,"2,096","1,679","4,788","2,490","4,687",,,
2020,5,40,"37,086","1,049","2,772",86,104,119,306,"2,209",226,"1,148",432,213,"2,381",165,"4,458","1,177","1,293",276,261,531,573,396,424,"2,912","1,975","4,905","1,482","5,213",,,
2020,5,50,"35,504","1,523","3,901",211,190,239,500,"1,108",357,"1,493",521,370,"2,900",259,"4,200","1,466","1,901",352,344,592,539,346,410,"2,907","1,750","3,512",904,"2,709",,,
2020,5,60,"19,021","1,318","2,064",242,223,247,463,506,320,"1,139",350,376,"1,704",263,"2,165",866,"1,084",220,202,237,218,156,228,994,597,"1,597",393,849,,,
2020,5,70,"6,894",636,678,131,138,179,271,183,212,388,141,182,486,107,662,304,274,101,74,84,54,32,114,323,157,531,129,323,,,
2020,5,80,"2,436",274,290,77,79,87,170,77,103,97,29,52,171,38,184,82,70,32,33,17,8,5,28,87,53,150,38,105,,,
2020,5,90,213,23,28,13,11,9,13,12,6,3,2,5,12,0,10,2,3,1,4,1,1,0,4,12,4,17,7,10,,,
2020,5,100,7,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,,,
2020,6,총,"214,220","7,538","18,711",938,901,"1,146","2,175","13,732","1,644","8,301","2,144","1,716","14,961","1,193","23,979","7,471","8,829","1,863","1,796","3,447","3,524","2,478","2,414","15,070","10,279","25,261","8,597","24,112",,,
2020,6,0,"21,971",463,"1,759",19,10,20,40,"2,838",51,474,32,49,"1,309",41,"2,542",588,516,70,161,384,485,355,188,"1,357","1,209","2,807",488,"3,716",,,
2020,6,10,"23,890",608,"2,143",32,30,88,84,"1,087",118,691,53,87,"1,843",71,"3,320",948,"1,136",101,126,250,322,99,185,"1,923","1,442","3,170",598,"3,335",,,
2020,6,20,"31,433",929,"2,765",69,68,90,181,"1,285",144,"1,441",303,206,"2,296",141,"3,347","1,181","1,604",374,247,539,496,412,402,"2,477","1,430","3,792","2,057","3,157",,,
2020,6,30,"35,637",721,"2,315",60,50,67,146,"4,396",107,"1,351",290,186,"1,873",106,"3,069",884,942,341,342,809,822,672,439,"2,082","1,659","4,774","2,478","4,656",,,
2020,6,40,"37,069","1,034","2,768",86,102,118,300,"2,231",223,"1,185",431,211,"2,369",165,"4,454","1,162","1,288",272,258,528,579,401,423,"2,892","1,966","4,913","1,492","5,218",,,
2020,6,50,"35,447","1,512","3,891",206,187,241,499,"1,114",358,"1,500",511,361,"2,885",260,"4,205","1,451","1,901",347,342,590,538,345,402,"2,916","1,747","3,491",914,"2,733",,,
2020,6,60,"19,187","1,329","2,073",244,227,246,468,506,321,"1,165",349,379,"1,717",263,"2,179",871,"1,089",225,210,242,219,155,232,999,612,"1,613",396,858,,,
2020,6,70,"6,932",638,678,133,139,181,272,187,211,396,144,183,487,108,670,302,279,99,74,86,55,34,112,320,157,536,131,320,,,
2020,6,80,"2,438",279,291,77,78,85,171,75,105,95,29,49,170,38,185,82,71,33,32,18,7,5,27,91,53,148,37,107,,,
2020,6,90,209,24,27,12,10,9,13,13,6,2,2,5,12,0,8,2,3,1,4,1,1,0,4,12,4,17,6,11,,,
2020,6,100,7,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,,,
2020,7,총,"214,052","7,514","18,661",937,897,"1,141","2,155","13,796","1,631","12,128","2,137","1,703","14,911","1,191","20,226","7,443","8,790","1,845","1,784","3,440","3,524","2,493","2,400","15,034","10,294","25,265","8,587","24,125",,,
2020,7,0,"21,862",464,"1,737",19,10,19,37,"2,855",51,902,34,46,"1,305",39,"2,096",590,506,67,160,377,483,356,187,"1,348","1,194","2,793",490,"3,697",,,
2020,7,10,"23,791",604,"2,127",32,29,86,81,"1,101",115,"1,312",53,84,"1,818",71,"2,700",937,"1,126",101,124,241,321,97,180,"1,914","1,438","3,169",584,"3,346",,,
2020,7,20,"31,407",916,"2,749",67,68,88,182,"1,279",140,"1,913",300,212,"2,292",142,"2,921","1,163","1,600",370,242,553,503,413,392,"2,465","1,446","3,797","2,037","3,157",,,
2020,7,30,"35,499",715,"2,303",57,52,69,139,"4,394",107,"1,797",296,178,"1,858",106,"2,626",880,929,336,341,803,817,674,435,"2,072","1,652","4,751","2,479","4,633",,,
2020,7,40,"37,087","1,024","2,763",87,101,120,296,"2,267",220,"1,902",430,211,"2,375",165,"3,733","1,155","1,286",267,258,518,579,408,424,"2,881","1,978","4,914","1,498","5,227",,,
2020,7,50,"35,481","1,518","3,885",203,184,239,493,"1,117",353,"2,136",497,363,"2,872",261,"3,575","1,454","1,893",344,341,597,532,347,403,"2,927","1,754","3,507",930,"2,756",,,
2020,7,60,"19,281","1,328","2,091",248,225,242,469,509,325,"1,518",352,372,"1,716",263,"1,854",873,"1,090",226,209,243,226,159,234,"1,003",617,"1,622",395,872,,,
2020,7,70,"6,982",641,689,135,140,183,272,186,209,524,143,182,493,108,550,307,284,102,73,88,55,34,114,320,158,545,131,316,,,
2020,7,80,"2,447",280,290,77,78,84,172,75,105,121,30,50,170,36,163,82,73,31,32,19,7,5,27,91,53,149,37,110,,,
2020,7,90,208,23,26,12,10,10,13,13,6,2,2,5,12,0,8,2,3,1,4,1,1,0,4,12,4,18,6,10,,,
2020,7,100,7,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,,,
2020,8,총,"213,796","7,484","18,633",937,893,"1,137","2,154","13,815","1,628","12,138","2,128","1,689","14,874","1,187","20,234","7,400","8,806","1,839","1,780","3,441","3,546","2,489","2,390","15,014","10,256","25,233","8,560","24,111",,,
2020,8,0,"21,760",460,"1,730",19,10,19,36,"2,868",49,897,31,45,"1,296",39,"2,081",587,506,66,160,381,491,355,183,"1,339","1,193","2,771",482,"3,666",,,
2020,8,10,"23,694",596,"2,110",31,28,83,80,"1,104",116,"1,309",54,85,"1,799",69,"2,696",920,"1,126",98,127,239,324,99,175,"1,900","1,431","3,164",578,"3,353",,,
2020,8,20,"31,301",909,"2,739",68,66,88,181,"1,259",137,"1,908",289,207,"2,291",144,"2,932","1,153","1,610",370,239,548,506,407,388,"2,460","1,440","3,786","2,023","3,153",,,
2020,8,30,"35,356",708,"2,296",56,53,71,141,"4,381",105,"1,819",294,176,"1,851",103,"2,600",873,932,326,337,809,814,664,439,"2,061","1,631","4,726","2,470","4,620",,,
2020,8,40,"37,028","1,023","2,753",87,100,120,297,"2,304",218,"1,876",426,206,"2,364",163,"3,724","1,139","1,278",271,257,520,583,416,425,"2,870","1,969","4,903","1,505","5,231",,,
2020,8,50,"35,503","1,513","3,874",203,180,238,488,"1,110",355,"2,145",501,363,"2,853",262,"3,599","1,452","1,890",349,340,595,531,343,397,"2,942","1,751","3,528",929,"2,772",,,
2020,8,60,"19,487","1,330","2,124",251,229,244,472,514,326,"1,524",356,366,"1,740",262,"1,879",886,"1,105",226,212,241,234,166,237,"1,016",626,"1,646",395,880,,,
2020,8,70,"6,990",642,692,133,140,176,273,186,211,535,144,186,499,108,548,306,283,101,73,88,55,34,114,319,159,538,134,313,,,
2020,8,80,"2,463",279,289,78,78,87,172,76,104,122,31,50,169,37,167,82,73,30,31,19,7,5,28,94,52,153,38,112,,,
2020,8,90,207,23,25,11,9,10,13,13,7,2,2,5,12,0,8,2,3,2,4,1,1,0,4,12,4,18,6,10,,,
2020,8,100,7,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,,,
2020,9,총,"213,856","7,462","18,574",932,890,"1,128","2,148","13,853","1,627","12,143","2,125","1,690","14,826","1,182","20,196","7,336","8,740","1,845","1,775","3,430","3,555","2,469","2,393","15,531","10,103","25,167","8,593","24,143",,,
2020,9,0,"21,669",454,"1,725",18,10,17,34,"2,866",49,903,31,49,"1,297",39,"2,045",579,503,67,160,379,502,348,188,"1,378","1,175","2,727",488,"3,638",,,
2020,9,10,"23,632",595,"2,102",30,27,75,81,"1,123",117,"1,301",52,85,"1,775",68,"2,692",906,"1,107",93,128,235,319,102,173,"1,950","1,404","3,151",575,"3,366",,,
2020,9,20,"31,317",893,"2,721",68,66,90,175,"1,260",136,"1,903",290,204,"2,289",143,"2,925","1,147","1,606",370,240,540,492,394,380,"2,563","1,412","3,783","2,049","3,178",,,
2020,9,30,"35,266",708,"2,271",54,54,71,144,"4,360",103,"1,825",295,178,"1,838",101,"2,589",863,908,329,333,806,822,663,439,"2,167","1,596","4,699","2,457","4,593",,,
2020,9,40,"37,106","1,021","2,740",87,95,116,293,"2,337",220,"1,883",422,208,"2,358",163,"3,725","1,127","1,265",271,257,525,593,413,431,"2,946","1,956","4,897","1,511","5,246",,,
2020,9,50,"35,487","1,496","3,859",201,182,240,487,"1,115",353,"2,132",501,359,"2,825",261,"3,579","1,437","1,875",355,336,591,525,343,397,"3,054","1,715","3,538",940,"2,791",,,
2020,9,60,"19,689","1,351","2,148",248,230,247,474,515,327,"1,532",358,369,"1,760",260,"1,905",885,"1,112",226,214,245,238,167,238,"1,050",629,"1,667",398,896,,,
2020,9,70,"7,003",641,691,137,140,174,274,185,213,536,141,184,499,109,563,307,288,103,71,89,55,34,116,316,158,534,133,312,,,
2020,9,80,"2,469",279,290,78,77,87,171,78,103,125,33,50,172,38,164,83,72,30,32,19,8,5,27,94,54,153,37,110,,,
2020,9,90,211,23,26,11,9,10,14,14,6,2,2,4,13,0,9,2,4,1,4,1,1,0,4,12,4,18,5,12,,,
2020,9,100,7,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,,,
2020,10,총,"213,931","7,439","18,546",929,892,"1,131","2,144","13,908","1,621","12,138","2,118","1,678","14,831","1,180","20,159","7,319","8,663","1,845","1,781","3,428","3,558","2,468","2,372","15,920","10,030","25,101","8,598","24,134",,,
2020,10,0,"21,565",448,"1,722",18,10,17,34,"2,880",49,897,34,49,"1,290",39,"2,028",572,491,69,159,380,498,341,188,"1,417","1,163","2,688",483,"3,601",,,
2020,10,10,"23,567",585,"2,087",30,27,77,80,"1,128",116,"1,301",50,85,"1,767",67,"2,685",905,"1,088",89,129,237,314,106,170,"1,973","1,389","3,143",564,"3,375",,,
2020,10,20,"31,346",894,"2,716",68,66,91,178,"1,256",136,"1,903",287,200,"2,299",144,"2,907","1,137","1,598",369,243,535,491,401,374,"2,641","1,393","3,765","2,046","3,208",,,
2020,10,30,"35,151",701,"2,251",56,54,69,142,"4,352",103,"1,823",290,180,"1,824",101,"2,568",860,895,331,330,801,820,650,431,"2,282","1,576","4,659","2,465","4,537",,,
2020,10,40,"37,118","1,023","2,714",85,94,119,287,"2,368",220,"1,869",415,207,"2,359",162,"3,728","1,128","1,241",273,255,528,596,418,432,"2,975","1,950","4,908","1,515","5,249",,,
2020,10,50,"35,587","1,482","3,874",201,183,240,486,"1,117",350,"2,138",501,354,"2,834",263,"3,564","1,430","1,870",355,340,592,529,342,390,"3,134","1,704","3,553",940,"2,821",,,
2020,10,60,"19,888","1,363","2,178",247,232,246,477,529,326,"1,543",366,365,"1,766",257,"1,942",894,"1,111",226,217,245,244,171,241,"1,073",636,"1,680",406,907,,,
2020,10,70,"7,004",640,689,133,140,174,274,186,212,534,142,181,502,111,565,307,293,102,71,89,56,34,114,316,159,533,137,310,,,
2020,10,80,"2,483",280,288,80,76,87,170,78,103,127,31,51,177,36,163,85,70,30,33,19,9,5,28,96,56,155,37,113,,,
2020,10,90,215,22,26,11,10,10,15,14,6,2,2,6,13,0,9,1,6,1,4,2,1,0,4,12,4,17,5,12,,,
2020,10,100,7,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,,,
2020,11,총,"213,634","7,430","18,513",930,887,"1,132","2,143","13,921","1,624","12,078","2,091","1,669","14,754","1,174","20,147","7,277","8,627","1,839","1,782","3,419","3,554","2,447","2,357","16,106","9,945","25,102","8,586","24,100",,,
2020,11,0,"21,409",446,"1,722",19,9,18,35,"2,873",48,899,34,50,"1,282",36,"2,003",566,475,73,158,373,494,336,182,"1,430","1,147","2,653",476,"3,572",,,
2020,11,10,"23,514",585,"2,076",30,24,70,80,"1,143",114,"1,288",47,83,"1,748",66,"2,700",883,"1,080",87,129,237,308,109,169,"1,983","1,377","3,157",554,"3,387",,,
2020,11,20,"31,296",890,"2,703",66,69,92,178,"1,249",136,"1,882",280,195,"2,272",143,"2,909","1,145","1,593",371,241,538,499,393,380,"2,673","1,373","3,765","2,055","3,206",,,
2020,11,30,"35,017",700,"2,236",56,52,71,140,"4,327",102,"1,810",285,186,"1,817",101,"2,548",858,889,329,335,786,817,641,420,"2,354","1,555","4,658","2,455","4,489",,,
2020,11,40,"37,042","1,014","2,694",88,96,119,283,"2,395",221,"1,862",408,205,"2,345",161,"3,700","1,104","1,240",269,250,537,595,422,430,"2,985","1,940","4,897","1,514","5,268",,,
2020,11,50,"35,606","1,479","3,891",202,183,240,488,"1,128",353,"2,116",492,349,"2,813",262,"3,581","1,432","1,861",349,344,595,529,335,395,"3,162","1,696","3,559",942,"2,830",,,
2020,11,60,"20,037","1,369","2,189",247,232,249,481,530,327,"1,555",367,362,"1,779",258,"1,970",893,"1,118",228,217,242,246,171,242,"1,089",639,"1,713",409,915,,,
2020,11,70,"7,007",645,692,132,138,174,271,184,214,534,142,182,506,111,564,312,294,103,71,90,55,34,108,319,157,529,139,307,,,
2020,11,80,"2,489",280,285,79,75,88,171,79,103,128,34,52,179,36,163,83,71,29,33,19,10,6,27,98,57,153,37,114,,,
2020,11,90,210,21,24,11,9,10,15,13,6,3,2,5,13,0,9,1,6,1,4,2,1,0,4,12,4,18,5,11,,,
2020,11,100,7,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,,,
2020,12,총,"213,720","7,417","18,516",927,885,"1,145","2,152","13,883","1,637","12,058","2,083","1,661","14,737","1,155","20,089","7,256","8,583","1,833","1,777","3,438","3,573","2,459","2,352","16,164","9,906","25,100","8,790","24,144",,,
2020,12,0,"21,312",450,"1,725",21,7,21,37,"2,866",50,894,34,49,"1,283",35,"1,984",568,460,73,157,374,501,336,176,"1,421","1,129","2,616",480,"3,565",,,
2020,12,10,"23,407",584,"2,071",31,24,73,77,"1,142",111,"1,274",47,82,"1,727",62,"2,691",879,"1,067",85,125,239,306,107,169,"1,983","1,378","3,150",545,"3,378",,,
2020,12,20,"31,393",872,"2,694",63,70,94,180,"1,230",142,"1,878",259,197,"2,268",138,"2,885","1,134","1,600",367,242,550,502,401,376,"2,689","1,360","3,827","2,150","3,225",,,
2020,12,30,"35,035",694,"2,243",52,54,73,141,"4,302",103,"1,816",291,183,"1,813",99,"2,540",841,881,325,338,784,823,647,433,"2,372","1,548","4,615","2,545","4,479",,,
2020,12,40,"36,976","1,013","2,682",88,94,118,283,"2,412",226,"1,848",412,205,"2,336",158,"3,677","1,103","1,219",271,244,538,599,421,424,"2,973","1,933","4,893","1,524","5,282",,,
2020,12,50,"35,613","1,481","3,888",203,179,240,487,"1,123",350,"2,117",488,341,"2,817",259,"3,574","1,428","1,856",347,344,599,523,334,395,"3,180","1,693","3,570",953,"2,844",,,
2020,12,60,"20,233","1,371","2,207",248,234,252,490,535,331,"1,559",372,363,"1,791",258,"1,994",905,"1,130",232,219,242,252,174,242,"1,111",648,"1,724",414,935,,,
2020,12,70,"7,033",650,695,132,140,173,270,184,215,538,145,181,505,109,572,315,293,102,71,90,56,34,106,320,155,533,140,309,,,
2020,12,80,"2,503",281,286,78,75,90,173,77,103,129,33,55,183,37,163,82,71,30,34,20,10,5,27,102,57,154,34,114,,,
2020,12,90,208,20,24,11,8,10,13,12,6,4,2,5,14,0,9,1,6,1,3,2,1,0,4,12,5,18,5,12,,,
2020,12,100,7,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,,,
2021,1,총,"213,567","7,370","18,502",927,890,"1,150","2,129",0,"1,644","12,061","2,085","1,653","14,686","1,150","20,104","7,245","8,540","1,842","1,779","7,012",0,0,"2,347","16,176","9,894","25,098","8,777","24,156","13,889","2,461",
2021,1,0,"21,139",452,"1,718",21,8,22,34,0,49,894,33,45,"1,263",34,"1,965",567,454,75,159,864,0,0,177,"1,408","1,123","2,574",474,"3,530","2,862",334,
2021,1,10,"23,361",572,"2,080",30,24,74,75,0,115,"1,264",45,80,"1,724",61,"2,690",874,"1,057",87,123,557,0,0,169,"1,971","1,376","3,132",543,"3,375","1,157",106,
2021,1,20,"31,358",861,"2,683",64,72,98,173,0,141,"1,884",257,199,"2,247",138,"2,880","1,121","1,584",361,239,"1,037",0,0,369,"2,692","1,354","3,886","2,144","3,270","1,201",403,
2021,1,30,"34,873",685,"2,215",51,54,71,140,0,104,"1,808",296,182,"1,808",97,"2,533",839,873,332,337,"1,609",0,0,428,"2,391","1,549","4,577","2,535","4,439","4,280",640,
2021,1,40,"36,922","1,003","2,682",86,96,118,270,0,228,"1,853",405,204,"2,309",154,"3,668","1,092","1,207",272,247,"1,146",0,0,421,"2,963","1,921","4,884","1,534","5,299","2,439",421,
2021,1,50,"35,619","1,471","3,869",202,180,239,490,0,347,"2,107",497,331,"2,819",262,"3,596","1,427","1,849",342,341,"1,118",0,0,398,"3,181","1,694","3,587",952,"2,858","1,126",336,
2021,1,60,"20,481","1,378","2,247",254,235,256,489,0,332,"1,572",371,370,"1,803",258,"2,020",920,"1,140",239,222,502,0,0,244,"1,134",657,"1,749",412,951,546,180,
2021,1,70,"7,079",643,695,130,136,170,270,0,220,543,146,180,516,110,577,321,299,101,73,147,0,0,109,324,157,536,145,307,188,36,
2021,1,80,"2,514",284,288,78,76,90,174,0,101,130,33,57,184,36,166,82,71,32,35,29,0,0,28,99,57,157,31,113,78,5,
