년도,월,나이,울산광역시 울주군,울산광역시 울주군 온산읍,울산광역시 울주군 언양읍,울산광역시 울주군 온양읍,울산광역시 울주군 범서읍,울산광역시 울주군 청량읍,울산광역시 울주군 서생면,울산광역시 울주군 웅촌면,울산광역시 울주군 두동면,울산광역시 울주군 두서면,울산광역시 울주군 상북면,울산광역시 울주군 삼남면,울산광역시 울주군 삼동면,울산광역시 울주군 삼남읍
2021,1,40,"37,193","3,715","4,542","5,372","13,729","2,948","1,178",794,428,250,915,,164,"3,158"
2021,1,50,"41,944","4,011","5,265","5,139","12,909","3,502","1,601","1,687",914,555,"1,713",,360,"4,288"
2021,1,60,"29,878","2,549","3,965","3,251","6,669","2,667","1,642","1,652","1,069",825,"1,832",,468,"3,289"
2021,1,70,"13,776","1,114","1,760","1,436","2,581","1,145",904,927,538,547,974,,281,"1,569"
2021,1,80,"6,478",475,863,686,"1,075",513,400,471,301,352,510,,175,657
2021,1,90,981,67,126,93,137,91,51,70,59,62,84,,25,116
2021,1,100,34,11,7,1,2,5,2,0,2,0,2,,1,1
2021,2,총,"222,258","20,341","28,356","28,657","70,494","19,415","8,374","7,704","4,204","3,119","7,939",,"1,825","21,830"
2021,2,0,"17,558","1,475","2,383","2,572","6,569","1,785",477,283,137,48,265,,54,"1,510"
2021,2,10,"22,286","1,629","2,766","3,264","9,903","1,559",515,381,188,112,405,,68,"1,496"
2021,2,20,"26,413","2,517","3,471","3,314","9,263","2,279",745,823,288,166,711,,116,"2,720"
2021,2,30,"25,546","2,774","3,209","3,490","7,604","2,886",861,626,275,206,543,,114,"2,958"
2021,2,40,"37,046","3,709","4,525","5,352","13,649","2,946","1,171",785,429,247,913,,161,"3,159"
2021,2,50,"41,961","4,000","5,261","5,157","12,941","3,507","1,599","1,681",904,549,"1,695",,366,"4,301"
2021,2,60,"30,119","2,568","3,972","3,284","6,748","2,693","1,645","1,660","1,080",827,"1,833",,466,"3,343"
2021,2,70,"13,793","1,116","1,772","1,441","2,587","1,150",906,921,537,546,970,,278,"1,569"
2021,2,80,"6,500",474,859,684,"1,087",511,400,473,307,355,517,,176,657
2021,2,90,"1,001",68,131,98,141,94,53,70,57,63,85,,25,116
2021,2,100,35,11,7,1,2,5,2,1,2,0,2,,1,1
2021,3,총,"221,685","20,243","28,293","28,623","70,255","19,341","8,319","7,701","4,157","3,114","7,935",,"1,799","21,905"
2021,3,0,"17,403","1,478","2,381","2,556","6,498","1,759",459,290,131,46,259,,45,"1,501"
2021,3,10,"22,222","1,624","2,756","3,253","9,864","1,559",514,380,188,110,412,,67,"1,495"
2021,3,20,"26,284","2,506","3,448","3,296","9,209","2,257",735,813,282,170,715,,113,"2,740"
2021,3,30,"25,417","2,762","3,187","3,473","7,542","2,870",853,634,276,207,537,,109,"2,967"
2021,3,40,"36,827","3,691","4,512","5,332","13,539","2,931","1,169",777,416,241,901,,149,"3,169"
2021,3,50,"41,807","3,989","5,243","5,170","12,927","3,493","1,573","1,652",888,542,"1,680",,363,"4,287"
2021,3,60,"30,348","2,550","3,987","3,314","6,844","2,718","1,654","1,682","1,073",831,"1,848",,472,"3,375"
2021,3,70,"13,827","1,114","1,774","1,437","2,592","1,154",906,920,537,553,975,,276,"1,589"
2021,3,80,"6,524",459,866,690,"1,096",510,402,479,308,355,520,,179,660
2021,3,90,"1,004",65,132,101,143,89,54,73,56,59,86,,25,121
2021,3,100,22,5,7,1,1,1,0,1,2,0,2,,1,1
2021,4,총,"221,669","20,283","28,271","28,612","70,185","19,285","8,298","7,688","4,162","3,114","7,939",,"1,793","22,039"
2021,4,0,"17,299","1,476","2,364","2,539","6,466","1,741",456,288,128,46,257,,42,"1,496"
2021,4,10,"22,175","1,631","2,756","3,243","9,833","1,547",506,374,189,111,406,,65,"1,514"
2021,4,20,"26,284","2,508","3,424","3,288","9,205","2,258",738,817,288,169,714,,110,"2,765"
2021,4,30,"25,362","2,772","3,184","3,467","7,527","2,842",841,636,278,206,538,,109,"2,962"
2021,4,40,"36,706","3,685","4,512","5,292","13,502","2,920","1,162",756,412,238,898,,144,"3,185"
2021,4,50,"41,799","3,981","5,221","5,207","12,915","3,495","1,577","1,637",878,537,"1,685",,359,"4,307"
2021,4,60,"30,570","2,578","4,016","3,331","6,883","2,727","1,652","1,703","1,081",844,"1,851",,480,"3,424"
2021,4,70,"13,898","1,123","1,782","1,451","2,610","1,160",903,920,543,549,980,,280,"1,597"
2021,4,80,"6,551",460,874,694,"1,098",508,409,481,308,354,523,,178,664
2021,4,90,"1,002",64,130,99,145,86,54,75,55,60,85,,25,124
2021,4,100,23,5,8,1,1,1,0,1,2,0,2,,1,1
2021,5,총,"221,629","20,266","28,313","28,599","70,056","19,247","8,340","7,692","4,175","3,116","7,933",,"1,784","22,108"
2021,5,0,"17,212","1,453","2,358","2,526","6,417","1,734",470,286,131,45,257,,39,"1,496"
2021,5,10,"22,145","1,630","2,760","3,242","9,809","1,544",501,377,186,115,406,,66,"1,509"
2021,5,20,"26,194","2,485","3,421","3,278","9,182","2,229",744,807,288,167,704,,105,"2,784"
2021,5,30,"25,300","2,766","3,189","3,446","7,453","2,845",854,636,281,201,544,,113,"2,972"
2021,5,40,"36,584","3,676","4,513","5,272","13,426","2,910","1,165",753,416,241,890,,140,"3,182"
2021,5,50,"41,846","3,981","5,213","5,224","12,973","3,481","1,578","1,634",877,533,"1,685",,361,"4,306"
2021,5,60,"30,805","2,609","4,049","3,357","6,917","2,744","1,664","1,712","1,088",853,"1,859",,478,"3,475"
2021,5,70,"13,919","1,125","1,793","1,455","2,622","1,160",900,921,543,543,983,,282,"1,592"
2021,5,80,"6,593",471,876,697,"1,112",511,411,487,309,360,519,,175,665
2021,5,90,"1,008",65,133,101,144,88,53,78,54,58,84,,24,126
2021,5,100,23,5,8,1,1,1,0,1,2,0,2,,1,1
2021,6,총,"221,614","20,268","28,298","28,604","70,033","19,187","8,362","7,687","4,178","3,119","7,941",,"1,778","22,159"
2021,6,0,"17,126","1,460","2,364","2,513","6,361","1,723",473,290,130,46,255,,38,"1,473"
2021,6,10,"22,114","1,624","2,740","3,243","9,793","1,542",500,371,188,116,408,,65,"1,524"
2021,6,20,"26,204","2,486","3,408","3,274","9,208","2,199",755,808,289,164,697,,102,"2,814"
2021,6,30,"25,186","2,750","3,186","3,422","7,435","2,824",858,627,282,202,540,,111,"2,949"
2021,6,40,"36,526","3,670","4,495","5,279","13,381","2,902","1,168",755,411,239,885,,139,"3,202"
2021,6,50,"41,864","3,982","5,208","5,225","13,010","3,486","1,571","1,630",873,539,"1,682",,359,"4,299"
2021,6,60,"31,007","2,631","4,081","3,389","6,957","2,738","1,667","1,728","1,093",857,"1,881",,481,"3,504"
2021,6,70,"13,937","1,118","1,796","1,464","2,626","1,170",901,915,544,536,987,,284,"1,596"
2021,6,80,"6,624",481,876,692,"1,119",514,415,488,312,362,520,,174,671
2021,6,90,"1,004",61,136,102,142,88,54,74,55,58,84,,24,126
2021,6,100,22,5,8,1,1,1,0,1,1,0,2,,1,1
2021,7,총,"221,915","20,353","28,267","28,685","70,042","19,156","8,342","7,698","4,205","3,111","7,956",,"1,786","22,314"
2021,7,0,"17,009","1,437","2,339","2,504","6,314","1,695",469,291,129,45,256,,37,"1,493"
2021,7,10,"22,077","1,631","2,733","3,245","9,765","1,543",488,368,188,115,407,,61,"1,533"
2021,7,20,"26,286","2,516","3,388","3,273","9,228","2,199",763,815,294,159,692,,104,"2,855"
2021,7,30,"25,213","2,753","3,190","3,447","7,427","2,813",855,628,277,199,546,,110,"2,968"
2021,7,40,"36,437","3,670","4,492","5,264","13,320","2,889","1,163",755,411,233,879,,139,"3,222"
2021,7,50,"41,917","4,007","5,186","5,242","13,050","3,464","1,556","1,626",882,541,"1,683",,365,"4,315"
2021,7,60,"31,287","2,660","4,117","3,431","7,026","2,766","1,682","1,741","1,099",864,"1,897",,486,"3,518"
2021,7,70,"13,997","1,124","1,802","1,476","2,647","1,176",895,908,550,537,989,,284,"1,609"
2021,7,80,"6,658",487,875,700,"1,120",521,417,491,319,360,522,,173,673
2021,7,90,"1,012",63,139,102,144,89,54,74,54,58,83,,26,126
2021,7,100,22,5,6,1,1,1,0,1,2,0,2,,1,2
2021,8,총,"221,955","20,383","28,344","28,699","69,959","19,155","8,346","7,714","4,228","3,096","7,961",,"1,772","22,298"
2021,8,0,"16,919","1,433","2,348","2,489","6,272","1,683",470,287,130,46,256,,36,"1,469"
2021,8,10,"22,051","1,621","2,740","3,240","9,752","1,550",490,365,190,114,403,,60,"1,526"
2021,8,20,"26,168","2,518","3,407","3,274","9,176","2,177",751,818,294,153,678,,98,"2,824"
2021,8,30,"25,162","2,755","3,185","3,444","7,385","2,811",863,635,284,196,534,,107,"2,963"
2021,8,40,"36,334","3,653","4,493","5,256","13,270","2,878","1,164",755,404,229,869,,139,"3,224"
2021,8,50,"42,046","4,027","5,203","5,270","13,076","3,490","1,552","1,615",884,539,"1,698",,361,"4,331"
2021,8,60,"31,530","2,688","4,139","3,444","7,099","2,779","1,692","1,757","1,120",865,"1,918",,486,"3,543"
2021,8,70,"14,027","1,126","1,804","1,478","2,652","1,177",892,913,547,538,996,,285,"1,619"
2021,8,80,"6,674",493,877,702,"1,129",521,417,492,320,359,521,,173,670
2021,8,90,"1,022",64,142,101,147,88,55,76,53,57,86,,26,127
2021,8,100,22,5,6,1,1,1,0,1,2,0,2,,1,2
2021,9,총,"221,983","20,372","28,363","28,698","69,911","19,156","8,327","7,724","4,232","3,101","7,955",,"1,768","22,376"
2021,9,0,"16,791","1,416","2,330","2,470","6,225","1,679",465,286,132,47,241,,37,"1,463"
2021,9,10,"22,047","1,625","2,745","3,230","9,755","1,548",488,356,187,114,404,,58,"1,537"
2021,9,20,"26,092","2,503","3,405","3,285","9,139","2,158",751,819,293,154,677,,95,"2,813"
2021,9,30,"25,017","2,739","3,165","3,425","7,332","2,799",844,632,282,195,536,,102,"2,966"
2021,9,40,"36,293","3,665","4,488","5,232","13,233","2,873","1,159",755,403,228,863,,142,"3,252"
2021,9,50,"42,201","4,036","5,237","5,291","13,133","3,505","1,557","1,632",889,534,"1,693",,363,"4,331"
2021,9,60,"31,724","2,697","4,161","3,475","7,150","2,800","1,692","1,761","1,122",874,"1,926",,485,"3,581"
2021,9,70,"14,073","1,132","1,803","1,481","2,653","1,184",901,909,551,540,"1,005",,285,"1,629"
2021,9,80,"6,697",489,877,706,"1,141",523,414,496,318,360,523,,176,674
2021,9,90,"1,026",65,146,102,149,86,56,77,53,55,85,,24,128
2021,9,100,22,5,6,1,1,1,0,1,2,0,2,,1,2
2021,10,총,"222,030","20,368","28,355","28,674","69,880","19,127","8,366","7,726","4,229","3,099","7,965",,"1,774","22,467"
2021,10,0,"16,681","1,399","2,326","2,453","6,176","1,656",465,284,126,49,247,,34,"1,466"
2021,10,10,"22,009","1,631","2,744","3,228","9,722","1,544",491,353,185,110,405,,58,"1,538"
2021,10,20,"26,076","2,505","3,377","3,272","9,140","2,161",761,815,289,158,668,,100,"2,830"
2021,10,30,"24,946","2,744","3,157","3,405","7,292","2,784",843,633,285,191,544,,104,"2,964"
2021,10,40,"36,136","3,640","4,485","5,191","13,150","2,863","1,166",760,398,225,866,,142,"3,250"
2021,10,50,"42,346","4,043","5,235","5,319","13,218","3,514","1,563","1,615",885,537,"1,681",,369,"4,367"
2021,10,60,"31,902","2,702","4,187","3,502","7,200","2,804","1,696","1,782","1,129",875,"1,937",,484,"3,604"
2021,10,70,"14,150","1,135","1,812","1,487","2,681","1,193",904,914,558,538,"1,008",,281,"1,639"
2021,10,80,"6,715",497,877,714,"1,143",522,418,493,319,357,519,,177,679
2021,10,90,"1,047",67,149,102,157,86,59,76,53,59,87,,24,128
2021,10,100,22,5,6,1,1,0,0,1,2,0,3,,1,2
2021,11,총,"222,082","20,368","28,342","28,706","69,773","19,127","8,386","7,728","4,251","3,099","7,962",,"1,777","22,563"
2021,11,0,"16,554","1,384","2,299","2,434","6,105","1,655",472,282,127,49,242,,32,"1,473"
2021,11,10,"22,001","1,626","2,765","3,222","9,715","1,539",486,349,186,111,405,,59,"1,538"
2021,11,20,"26,016","2,502","3,355","3,278","9,117","2,150",761,806,291,152,667,,100,"2,837"
2021,11,30,"24,849","2,739","3,116","3,406","7,271","2,763",847,629,283,185,534,,103,"2,973"
2021,11,40,"36,088","3,640","4,499","5,185","13,076","2,875","1,161",760,403,230,873,,140,"3,246"
2021,11,50,"42,433","4,064","5,235","5,331","13,261","3,529","1,556","1,611",890,537,"1,670",,370,"4,379"
2021,11,60,"32,091","2,705","4,204","3,527","7,241","2,807","1,711","1,799","1,136",875,"1,948",,486,"3,652"
2021,11,70,"14,201","1,135","1,824","1,490","2,687","1,200",909,919,562,543,"1,009",,278,"1,645"
2021,11,80,"6,769",499,886,732,"1,139",522,424,495,317,360,524,,184,687
2021,11,90,"1,059",69,153,100,160,87,59,77,54,57,88,,24,131
2021,11,100,21,5,6,1,1,0,0,1,2,0,2,,1,2
2021,12,총,"222,059","20,345","28,316","28,726","69,755","19,113","8,382","7,714","4,277","3,111","7,968",,"1,764","22,588"
2021,12,0,"16,463","1,372","2,289","2,412","6,084","1,644",476,281,133,50,242,,28,"1,452"
2021,12,10,"21,953","1,606","2,765","3,234","9,684","1,539",483,343,192,108,410,,60,"1,529"
2021,12,20,"25,930","2,496","3,331","3,252","9,107","2,146",760,796,285,154,666,,100,"2,837"
2021,12,30,"24,794","2,735","3,117","3,394","7,243","2,772",849,630,289,185,528,,99,"2,953"
2021,12,40,"36,072","3,631","4,511","5,193","13,043","2,867","1,157",754,399,235,865,,142,"3,275"
2021,12,50,"42,465","4,084","5,210","5,348","13,291","3,523","1,545","1,603",895,536,"1,679",,366,"4,385"
2021,12,60,"32,263","2,708","4,232","3,556","7,286","2,812","1,715","1,808","1,149",878,"1,949",,488,"3,682"
2021,12,70,"14,245","1,134","1,824","1,507","2,698","1,198",915,925,555,545,"1,014",,276,"1,654"
2021,12,80,"6,790",509,881,727,"1,155",524,422,496,320,362,523,,182,689
2021,12,90,"1,066",66,151,103,163,88,60,77,58,58,90,,22,130
2021,12,100,18,4,5,0,1,0,0,1,2,0,2,,1,2
