년도,월,나이,강화군,강화읍,선원면,불은면,길상면,화도면,양도면,내가면,하점면,양사면,송해면,교동면,삼산면,서도면,서도면볼음출장소
2020,5,0,"3,293","1,455",521,182,317,157,153,69,120,52,124,69,63,5,6
2020,5,10,"4,696","2,224",657,216,402,206,236,132,164,77,136,119,112,12,3
2020,5,20,"5,517","2,336",715,319,527,285,255,199,246,92,217,176,122,20,8
2020,5,30,"5,415","2,199",686,331,604,321,242,188,235,81,211,165,125,19,8
2020,5,40,"7,867","3,265","1,057",443,745,389,442,290,364,152,280,203,201,23,13
2020,5,50,"12,135","3,833","1,361",875,"1,367",790,750,541,648,342,543,547,408,75,55
2020,5,60,"13,759","3,514","1,344","1,205","1,519","1,126",933,738,929,428,665,628,550,106,74
2020,5,70,"10,070","2,483",853,779,953,760,703,610,814,370,594,617,406,66,62
2020,5,80,"5,537","1,256",474,459,437,401,425,310,510,231,375,341,236,52,30
2020,5,90,776,171,79,81,70,68,63,29,59,26,35,52,35,4,4
2020,5,100,37,13,1,3,3,2,3,1,4,0,4,2,1,0,0
2020,6,총,"69,060","22,726","7,766","4,884","6,957","4,515","4,205","3,096","4,079","1,847","3,183","2,911","2,241",382,268
2020,6,0,"3,293","1,456",520,183,312,160,160,66,118,54,124,69,59,5,7
2020,6,10,"4,669","2,205",658,215,406,205,234,128,157,76,137,121,112,12,3
2020,6,20,"5,496","2,329",714,318,526,279,257,201,249,90,215,173,116,21,8
2020,6,30,"5,400","2,190",682,332,611,320,242,187,227,81,211,163,127,19,8
2020,6,40,"7,858","3,257","1,061",441,746,396,437,287,365,152,283,200,197,22,14
2020,6,50,"12,094","3,826","1,358",870,"1,365",793,745,538,642,339,539,547,404,74,54
2020,6,60,"13,815","3,522","1,364","1,208","1,537","1,127",939,738,932,425,665,627,548,106,77
2020,6,70,"10,082","2,501",849,775,944,762,703,612,818,373,595,616,406,66,62
2020,6,80,"5,538","1,252",477,461,435,405,422,308,508,231,374,342,239,53,31
2020,6,90,777,174,82,78,72,66,63,30,59,26,36,51,32,4,4
2020,6,100,38,14,1,3,3,2,3,1,4,0,4,2,1,0,0
2020,7,총,"69,032","22,726","7,739","4,888","6,976","4,510","4,191","3,093","4,079","1,841","3,187","2,919","2,232",384,267
2020,7,0,"3,311","1,464",516,183,319,159,157,70,117,58,126,71,59,5,7
2020,7,10,"4,644","2,196",658,210,407,206,230,124,154,74,136,122,112,12,3
2020,7,20,"5,464","2,331",713,315,518,270,255,199,247,87,210,176,114,21,8
2020,7,30,"5,388","2,183",671,331,616,322,241,189,227,76,215,160,130,19,8
2020,7,40,"7,823","3,240","1,062",438,745,395,437,283,355,149,286,205,191,23,14
2020,7,50,"12,081","3,842","1,341",877,"1,360",786,732,539,650,340,541,540,403,76,54
2020,7,60,"13,842","3,528","1,363","1,205","1,553","1,134",941,738,933,420,668,631,546,105,77
2020,7,70,"10,113","2,501",852,784,947,769,706,615,820,376,592,621,402,66,62
2020,7,80,"5,553","1,255",477,461,436,402,427,307,513,236,374,342,241,53,29
2020,7,90,775,171,85,81,72,65,62,28,60,25,35,49,33,4,5
2020,7,100,38,15,1,3,3,2,3,1,3,0,4,2,1,0,0
2020,8,총,"69,003","22,718","7,755","4,883","6,974","4,522","4,189","3,092","4,067","1,841","3,189","2,911","2,216",380,266
2020,8,0,"3,316","1,461",521,179,312,163,155,75,117,61,131,70,58,6,7
2020,8,10,"4,625","2,190",660,209,405,206,226,124,155,72,137,121,105,12,3
2020,8,20,"5,422","2,313",719,313,515,268,251,193,235,88,206,177,115,20,9
2020,8,30,"5,384","2,179",669,332,614,328,245,188,231,73,216,156,126,19,8
2020,8,40,"7,771","3,231","1,065",437,738,389,429,271,353,149,283,201,188,23,14
2020,8,50,"12,066","3,840","1,336",874,"1,357",792,734,542,647,340,534,544,400,74,52
2020,8,60,"13,915","3,553","1,359","1,214","1,565","1,138",953,748,934,418,673,630,549,104,77
2020,8,70,"10,103","2,505",852,780,946,770,704,611,819,378,594,618,399,66,61
2020,8,80,"5,581","1,266",484,457,442,400,426,311,517,236,374,344,242,52,30
2020,8,90,783,164,89,85,77,67,63,28,56,26,37,49,33,4,5
2020,8,100,37,16,1,3,3,1,3,1,3,0,4,1,1,0,0
2020,9,총,"69,070","22,711","7,790","4,876","7,006","4,520","4,193","3,071","4,077","1,840","3,193","2,921","2,226",378,268
2020,9,0,"3,348","1,472",518,183,313,164,156,76,122,62,127,72,69,7,7
2020,9,10,"4,609","2,185",666,205,399,200,226,120,155,72,139,121,106,12,3
2020,9,20,"5,399","2,304",714,310,522,260,252,191,234,87,207,174,116,18,10
2020,9,30,"5,353","2,143",669,334,612,333,244,187,236,68,216,157,127,19,8
2020,9,40,"7,767","3,237","1,078",434,733,389,420,272,347,149,280,203,188,23,14
2020,9,50,"12,032","3,829","1,328",868,"1,359",788,738,530,650,344,540,539,393,75,51
2020,9,60,"14,033","3,586","1,378","1,217","1,591","1,145",958,751,947,413,671,642,552,103,79
2020,9,70,"10,106","2,505",865,781,951,767,704,604,813,383,592,619,397,65,60
2020,9,80,"5,587","1,268",485,449,440,406,428,312,514,236,377,345,245,51,31
2020,9,90,799,166,89,92,83,67,64,27,56,26,40,47,32,5,5
2020,9,100,37,16,0,3,3,1,3,1,3,0,4,2,1,0,0
2020,10,총,"69,069","22,682","7,792","4,879","7,015","4,505","4,213","3,068","4,089","1,841","3,188","2,922","2,230",377,268
2020,10,0,"3,350","1,477",515,183,317,157,160,74,125,61,124,72,69,9,7
2020,10,10,"4,613","2,182",671,203,403,201,228,119,155,73,140,118,106,12,2
2020,10,20,"5,367","2,299",708,314,510,258,254,186,230,88,205,174,114,17,10
2020,10,30,"5,327","2,128",659,334,611,330,247,186,240,67,215,155,127,20,8
2020,10,40,"7,763","3,244","1,077",428,732,384,423,269,348,148,276,206,191,23,14
2020,10,50,"12,005","3,810","1,335",866,"1,344",786,737,529,649,339,545,541,397,75,52
2020,10,60,"14,107","3,593","1,386","1,226","1,611","1,149",964,753,950,426,674,645,549,102,79
2020,10,70,"10,091","2,498",860,777,953,766,709,608,820,376,589,615,395,65,60
2020,10,80,"5,602","1,267",493,452,445,404,425,316,515,235,374,349,247,49,31
2020,10,90,809,168,88,93,86,69,63,27,55,28,42,46,34,5,5
2020,10,100,35,16,0,3,3,1,3,1,2,0,4,1,1,0,0
2020,11,총,"69,074","22,684","7,825","4,887","7,001","4,506","4,236","3,062","4,063","1,848","3,204","2,901","2,215",376,266
2020,11,0,"3,330","1,470",512,178,312,155,163,73,125,61,127,70,68,9,7
2020,11,10,"4,630","2,187",680,208,403,204,233,117,152,76,142,112,102,12,2
2020,11,20,"5,347","2,294",702,317,503,258,254,185,230,87,206,172,112,17,10
2020,11,30,"5,336","2,127",660,333,616,334,254,183,240,69,216,151,126,20,7
2020,11,40,"7,740","3,239","1,080",423,728,376,427,267,343,147,279,202,192,23,14
2020,11,50,"11,963","3,809","1,349",867,"1,332",787,728,523,639,337,542,540,387,73,50
2020,11,60,"14,175","3,610","1,396","1,230","1,620","1,156",973,761,946,433,677,642,549,102,80
2020,11,70,"10,102","2,499",866,779,955,762,711,605,818,376,594,616,397,65,59
2020,11,80,"5,607","1,263",494,458,442,402,428,319,516,234,373,350,247,50,31
2020,11,90,809,170,86,91,87,71,62,28,52,28,44,45,34,5,6
2020,11,100,35,16,0,3,3,1,3,1,2,0,4,1,1,0,0
2020,12,총,"69,203","22,707","7,850","4,903","7,043","4,507","4,243","3,069","4,037","1,861","3,215","2,901","2,223",377,267
2020,12,0,"3,334","1,471",511,181,309,150,163,72,125,64,131,71,70,9,7
2020,12,10,"4,617","2,190",672,212,405,203,229,120,148,76,140,110,98,12,2
2020,12,20,"5,356","2,296",718,314,505,257,251,178,228,87,209,173,113,18,9
2020,12,30,"5,326","2,124",650,336,618,326,262,186,240,72,216,149,121,20,6
2020,12,40,"7,764","3,244","1,083",433,741,381,424,266,339,148,275,200,193,22,15
2020,12,50,"11,963","3,788","1,357",872,"1,341",788,722,525,633,337,548,539,389,74,50
2020,12,60,"14,277","3,641","1,411","1,229","1,638","1,162",978,766,945,439,681,646,556,102,83
2020,12,70,"10,079","2,496",861,775,950,765,715,606,809,376,588,614,400,65,59
2020,12,80,"5,643","1,271",500,462,446,403,429,322,515,234,379,354,248,49,31
2020,12,90,809,169,87,87,87,71,67,27,53,28,44,44,34,6,5
2020,12,100,35,17,0,2,3,1,3,1,2,0,4,1,1,0,0
2021,1,총,"69,245","22,738","7,847","4,914","7,050","4,511","4,243","3,059","4,035","1,865","3,225","2,886","2,222",383,267
2021,1,0,"3,339","1,484",504,181,306,147,165,72,129,64,134,71,66,9,7
2021,1,10,"4,604","2,182",671,212,403,206,230,117,145,75,139,107,99,15,3
2021,1,20,"5,330","2,296",719,313,500,257,241,176,226,89,207,168,110,20,8
2021,1,30,"5,325","2,126",644,334,623,323,269,184,239,74,213,148,119,21,8
2021,1,40,"7,770","3,244","1,082",435,746,386,417,258,343,145,280,200,198,22,14
2021,1,50,"11,920","3,785","1,358",868,"1,335",779,722,519,633,334,549,531,385,75,47
2021,1,60,"14,361","3,675","1,417","1,232","1,645","1,175",985,773,941,446,681,650,558,100,83
2021,1,70,"10,057","2,474",867,781,954,765,708,608,796,371,595,606,404,66,62
2021,1,80,"5,684","1,287",496,467,449,400,432,326,527,239,378,359,247,48,29
2021,1,90,817,168,89,88,86,72,70,24,54,28,45,45,35,7,6
2021,1,100,38,17,0,3,3,1,4,2,2,0,4,1,1,0,0
2021,2,총,"69,236","22,711","7,847","4,927","7,036","4,504","4,262","3,050","4,020","1,862","3,242","2,886","2,233",389,267
2021,2,0,"3,310","1,464",499,182,304,144,165,72,125,64,135,72,67,10,7
2021,2,10,"4,619","2,198",663,213,402,205,234,115,145,74,140,106,105,16,3
2021,2,20,"5,252","2,258",715,307,481,251,242,170,222,88,206,167,115,22,8
2021,2,30,"5,319","2,130",654,336,612,323,265,183,233,74,217,148,116,20,8
2021,2,40,"7,764","3,229","1,080",430,746,386,423,260,343,147,282,200,203,22,13
2021,2,50,"11,881","3,767","1,348",869,"1,327",784,722,517,622,331,554,528,389,75,48
2021,2,60,"14,466","3,710","1,427","1,245","1,662","1,168",993,777,952,447,688,658,555,102,82
2021,2,70,"10,020","2,457",869,780,958,769,706,604,791,368,592,596,401,66,63
2021,2,80,"5,734","1,309",505,471,453,400,436,325,529,241,376,366,245,49,29
2021,2,90,831,172,87,90,87,73,72,25,56,28,48,44,36,7,6
2021,2,100,40,17,0,4,4,1,4,2,2,0,4,1,1,0,0
2021,3,총,"69,008","22,567","7,843","4,912","7,031","4,512","4,257","3,034","3,989","1,856","3,232","2,885","2,230",390,270
2021,3,0,"3,308","1,465",502,175,303,143,164,77,125,65,133,73,66,10,7
2021,3,10,"4,567","2,176",657,219,400,202,221,111,146,71,135,108,102,16,3
2021,3,20,"5,213","2,235",707,312,480,253,248,163,216,87,203,164,114,23,8
2021,3,30,"5,297","2,106",663,338,608,320,262,182,230,75,217,148,119,21,8
2021,3,40,"7,682","3,200","1,080",425,744,390,413,255,332,142,274,198,195,22,12
2021,3,50,"11,782","3,738","1,325",848,"1,317",774,728,513,621,336,547,525,388,74,48
2021,3,60,"14,580","3,723","1,447","1,251","1,684","1,179",999,784,957,443,703,660,563,102,85
2021,3,70,"9,997","2,447",876,778,959,772,708,601,776,366,592,596,399,64,63
2021,3,80,"5,722","1,305",499,474,449,403,436,320,529,241,376,366,245,49,30
2021,3,90,841,168,87,90,86,75,74,26,56,30,50,46,38,9,6
2021,3,100,19,4,0,2,1,1,4,2,1,0,2,1,1,0,0
2021,4,총,"69,089","22,550","7,870","4,913","7,037","4,531","4,282","3,044","3,991","1,866","3,231","2,880","2,235",389,270
2021,4,0,"3,300","1,465",500,171,299,141,168,83,123,67,127,72,68,9,7
2021,4,10,"4,547","2,151",665,217,393,202,221,111,150,70,137,105,105,17,3
2021,4,20,"5,207","2,237",704,315,492,253,245,157,213,86,199,164,110,24,8
2021,4,30,"5,281","2,087",654,334,608,322,268,183,235,75,215,149,122,21,8
2021,4,40,"7,678","3,190","1,102",418,747,390,407,259,330,143,272,197,189,21,13
2021,4,50,"11,764","3,741","1,315",843,"1,308",770,738,514,622,334,546,524,391,72,46
2021,4,60,"14,707","3,739","1,467","1,266","1,695","1,203","1,012",791,957,452,712,663,564,101,85
2021,4,70,"9,988","2,458",878,777,956,772,708,593,771,365,590,593,397,66,64
2021,4,80,"5,757","1,317",500,476,453,402,436,324,533,243,380,365,250,49,29
2021,4,90,840,161,85,94,84,75,75,27,56,31,51,47,38,9,7
2021,4,100,20,4,0,2,2,1,4,2,1,0,2,1,1,0,0
2021,5,총,"69,212","22,670","7,872","4,911","7,042","4,528","4,274","3,041","3,976","1,870","3,238","2,883","2,248",390,269
2021,5,0,"3,300","1,473",498,170,298,141,167,79,122,65,129,73,69,9,7
2021,5,10,"4,547","2,175",670,213,390,203,215,105,145,72,130,104,105,17,3
2021,5,20,"5,196","2,245",690,315,485,253,241,159,213,88,201,161,114,23,8
2021,5,30,"5,295","2,109",661,326,611,321,270,178,230,76,217,148,119,21,8
2021,5,40,"7,669","3,196","1,099",421,742,388,403,257,325,143,273,194,193,22,13
2021,5,50,"11,770","3,753","1,319",832,"1,309",764,733,516,620,333,553,526,393,73,46
2021,5,60,"14,811","3,758","1,476","1,280","1,715","1,207","1,020",798,964,452,710,673,572,101,85
2021,5,70,"9,979","2,470",869,779,951,775,706,595,765,366,595,583,396,66,63
2021,5,80,"5,780","1,326",504,477,452,401,439,323,537,244,376,374,249,49,29
2021,5,90,846,161,86,96,87,75,76,29,54,31,52,46,37,9,7
2021,5,100,19,4,0,2,2,0,4,2,1,0,2,1,1,0,0
2021,6,총,"69,285","22,697","7,902","4,914","7,037","4,521","4,302","3,038","3,968","1,872","3,245","2,877","2,252",391,269
2021,6,0,"3,308","1,479",500,172,293,139,167,80,124,67,132,71,69,9,6
2021,6,10,"4,538","2,162",675,209,390,202,215,104,146,72,131,107,104,17,4
2021,6,20,"5,184","2,241",688,315,480,254,251,153,210,90,198,157,113,25,9
2021,6,30,"5,317","2,122",669,323,616,321,267,182,231,78,215,148,117,20,8
2021,6,40,"7,670","3,200","1,105",424,741,386,401,252,324,142,274,193,194,21,13
2021,6,50,"11,713","3,731","1,326",827,"1,303",764,734,511,610,328,553,515,392,72,47
2021,6,60,"14,899","3,785","1,486","1,291","1,713","1,202","1,033",803,967,457,716,682,579,101,84
2021,6,70,"9,992","2,482",865,778,950,778,708,597,764,365,597,583,395,68,62
2021,6,80,"5,796","1,331",502,478,461,396,447,325,535,241,376,374,252,49,29
2021,6,90,850,160,86,96,88,79,75,29,56,32,51,46,36,9,7
2021,6,100,18,4,0,1,2,0,4,2,1,0,2,1,1,0,0
2021,7,총,"69,326","22,682","7,923","4,912","7,070","4,529","4,294","3,053","3,984","1,862","3,245","2,869","2,245",387,271
2021,7,0,"3,302","1,465",495,175,299,142,163,85,129,63,132,67,71,9,7
2021,7,10,"4,530","2,156",672,210,391,202,212,101,146,76,134,109,100,17,4
2021,7,20,"5,176","2,229",687,318,483,256,254,155,210,89,194,156,112,23,10
2021,7,30,"5,299","2,120",668,318,616,316,258,188,233,73,217,146,118,20,8
2021,7,40,"7,679","3,192","1,106",431,748,394,403,248,326,140,274,194,189,21,13
2021,7,50,"11,661","3,720","1,326",812,"1,299",754,734,513,611,325,548,516,388,69,46
2021,7,60,"14,993","3,815","1,505","1,292","1,721","1,206","1,040",807,977,457,724,677,586,101,85
2021,7,70,"10,000","2,477",880,775,959,778,702,599,764,362,596,583,394,69,62
2021,7,80,"5,808","1,340",498,485,462,398,449,325,531,245,375,375,248,48,29
2021,7,90,860,164,86,95,90,83,75,30,56,32,49,45,38,10,7
2021,7,100,18,4,0,1,2,0,4,2,1,0,2,1,1,0,0
2021,8,총,"69,324","22,640","7,959","4,897","7,092","4,526","4,296","3,044","4,009","1,860","3,250","2,867","2,230",387,267
2021,8,0,"3,287","1,453",500,166,301,141,166,83,134,65,133,63,67,9,6
2021,8,10,"4,531","2,149",683,207,395,203,213,101,146,73,134,109,98,17,3
2021,8,20,"5,150","2,219",689,314,478,250,249,156,213,92,194,153,113,20,10
2021,8,30,"5,259","2,103",664,316,616,319,256,186,230,72,212,144,113,20,8
2021,8,40,"7,670","3,190","1,106",423,753,392,409,244,326,139,275,194,185,21,13
2021,8,50,"11,648","3,721","1,326",813,"1,312",750,724,510,620,323,545,515,378,66,45
2021,8,60,"15,052","3,814","1,517","1,303","1,724","1,209","1,036",805,983,458,736,682,596,104,85
2021,8,70,"10,003","2,472",887,777,954,774,712,599,769,360,597,581,390,70,61
2021,8,80,"5,835","1,349",499,481,468,403,452,326,531,246,375,376,250,50,29
2021,8,90,871,167,88,96,89,84,75,32,56,32,47,49,39,10,7
2021,8,100,18,3,0,1,2,1,4,2,1,0,2,1,1,0,0
2021,9,총,"69,302","22,661","7,973","4,872","7,105","4,530","4,290","3,037","4,011","1,845","3,245","2,865","2,218",385,265
2021,9,0,"3,266","1,444",496,161,306,142,168,84,130,66,129,62,63,9,6
2021,9,10,"4,521","2,149",683,209,399,203,210,101,146,69,132,107,93,17,3
2021,9,20,"5,120","2,213",693,305,474,251,245,149,210,90,196,153,111,20,10
2021,9,30,"5,213","2,098",665,301,605,312,248,188,230,70,209,144,115,20,8
2021,9,40,"7,656","3,184","1,110",426,758,395,407,240,322,140,268,191,182,21,12
2021,9,50,"11,642","3,734","1,324",803,"1,313",754,728,504,625,320,544,512,371,65,45
2021,9,60,"15,120","3,850","1,514","1,311","1,738","1,209","1,036",812,980,450,739,691,602,103,85
2021,9,70,"9,987","2,453",892,774,948,777,714,598,772,361,603,581,385,69,60
2021,9,80,"5,887","1,367",508,486,472,403,456,325,539,247,375,374,255,51,29
2021,9,90,873,166,88,95,90,83,75,34,56,32,48,49,40,10,7
2021,9,100,17,3,0,1,2,1,3,2,1,0,2,1,1,0,0
2021,10,총,"69,351","22,662","7,983","4,866","7,111","4,547","4,293","3,041","4,002","1,863","3,263","2,866","2,204",385,265
2021,10,0,"3,226","1,431",489,159,298,142,164,82,129,67,128,61,61,9,6
2021,10,10,"4,539","2,154",689,209,398,205,213,101,146,70,136,107,92,17,2
2021,10,20,"5,114","2,215",682,297,480,255,245,149,211,96,193,150,110,21,10
2021,10,30,"5,198","2,083",670,302,600,314,244,191,232,71,210,143,111,19,8
2021,10,40,"7,631","3,180","1,106",422,756,391,401,238,314,142,272,192,183,22,12
2021,10,50,"11,655","3,744","1,316",803,"1,313",761,728,508,630,325,548,508,363,64,44
2021,10,60,"15,205","3,862","1,534","1,317","1,752","1,209","1,050",814,978,448,750,695,605,104,87
2021,10,70,"9,980","2,449",902,775,944,785,707,595,766,365,594,585,384,69,60
2021,10,80,"5,904","1,370",507,486,480,401,465,326,535,248,380,375,252,50,29
2021,10,90,881,171,88,95,88,82,73,35,60,31,50,49,42,10,7
2021,10,100,18,3,0,1,2,2,3,2,1,0,2,1,1,0,0
2021,11,총,"69,502","22,698","7,985","4,892","7,139","4,552","4,289","3,051","4,020","1,874","3,281","2,863","2,206",388,264
2021,11,0,"3,217","1,435",482,158,292,145,160,83,134,69,126,59,59,9,6
2021,11,10,"4,539","2,154",689,209,402,202,216,104,142,71,135,108,88,17,2
2021,11,20,"5,120","2,202",683,303,488,255,242,156,215,91,196,149,110,20,10
2021,11,30,"5,189","2,093",661,297,596,312,246,191,236,73,206,141,108,21,8
2021,11,40,"7,638","3,189","1,101",426,752,383,401,233,316,150,276,191,185,23,12
2021,11,50,"11,712","3,751","1,325",806,"1,320",769,733,509,631,326,562,505,367,64,44
2021,11,60,"15,298","3,879","1,549","1,333","1,769","1,214","1,054",815,984,449,756,697,612,103,84
2021,11,70,"9,956","2,448",898,777,945,779,702,593,766,363,589,587,379,70,60
2021,11,80,"5,925","1,370",510,485,484,406,457,327,537,251,382,377,257,51,31
2021,11,90,890,174,87,97,89,84,75,38,58,31,51,48,41,10,7
2021,11,100,18,3,0,1,2,3,3,2,1,0,2,1,0,0,0
2021,12,총,"69,693","22,780","7,959","4,929","7,197","4,563","4,301","3,060","4,034","1,885","3,289","2,853","2,192",387,264
2021,12,0,"3,204","1,434",476,162,295,147,159,79,130,67,125,59,56,9,6
2021,12,10,"4,566","2,167",679,213,410,200,219,109,146,76,135,106,87,17,2
2021,12,20,"5,129","2,205",683,307,487,259,236,160,219,94,195,148,108,18,10
2021,12,30,"5,201","2,103",656,301,604,309,246,189,233,76,208,138,107,23,8
2021,12,40,"7,661","3,206","1,084",434,758,389,402,231,321,148,276,192,185,23,12
2021,12,50,"11,745","3,768","1,323",803,"1,334",770,728,510,636,328,569,503,365,64,44
2021,12,60,"15,383","3,885","1,563","1,347","1,791","1,223","1,068",823,981,454,755,695,612,102,84
2021,12,70,"9,939","2,451",894,786,942,773,698,590,767,357,586,587,378,70,60
2021,12,80,"5,950","1,376",512,478,487,410,463,327,544,252,388,374,257,51,31
2021,12,90,898,182,89,96,87,80,79,41,57,33,50,50,37,10,7
2021,12,100,17,3,0,2,2,3,3,1,0,0,2,1,0,0,0
