년도,월,나이,속초시,영랑동,동명동,금호동,교동,노학동,조양동,청호동,대포동
2021,5,60,"6,870",530,341,661,901,"1,693","1,895",459,390
2021,5,70,"3,835",284,214,402,503,898,987,295,252
2021,5,80,"2,148",157,124,236,274,545,498,190,124
2021,5,90,491,33,24,72,56,125,94,52,35
2021,5,100,14,2,0,1,3,2,3,2,1
2021,6,총,"41,482","2,120","1,805","3,055","4,896","10,862","14,905","2,342","1,497"
2021,6,0,"2,817",83,107,103,260,680,"1,418",126,40
2021,6,10,"3,493",99,121,213,382,"1,083","1,427",130,38
2021,6,20,"3,900",159,134,239,504,"1,044","1,541",171,108
2021,6,30,"4,200",166,156,183,435,"1,022","1,922",236,80
2021,6,40,"6,100",208,230,345,661,"1,730","2,531",263,132
2021,6,50,"7,550",406,344,597,897,"2,032","2,569",409,296
2021,6,60,"6,925",525,348,670,920,"1,691","1,917",464,390
2021,6,70,"3,840",284,215,396,504,900,987,300,254
2021,6,80,"2,155",156,125,237,274,553,495,191,124
2021,6,90,488,32,25,71,56,125,95,50,34
2021,6,100,14,2,0,1,3,2,3,2,1
2021,7,총,"41,529","2,120","1,797","3,041","4,899","10,881","14,912","2,381","1,498"
2021,7,0,"2,807",82,105,105,258,679,"1,409",128,41
2021,7,10,"3,485",99,122,207,380,"1,080","1,425",134,38
2021,7,20,"3,901",157,133,239,492,"1,053","1,544",178,105
2021,7,30,"4,203",164,155,185,446,"1,021","1,916",238,78
2021,7,40,"6,086",207,231,340,656,"1,721","2,529",268,134
2021,7,50,"7,552",406,336,597,894,"2,039","2,570",414,296
2021,7,60,"6,980",528,349,665,933,"1,705","1,937",471,392
2021,7,70,"3,848",286,216,393,507,897,989,305,255
2021,7,80,"2,165",157,125,237,273,559,497,193,124
2021,7,90,488,32,25,72,57,125,93,50,34
2021,7,100,14,2,0,1,3,2,3,2,1
2021,8,총,"41,544","2,128","1,803","3,019","4,866","10,890","14,932","2,398","1,508"
2021,8,0,"2,809",81,107,105,254,681,"1,406",131,44
2021,8,10,"3,468",100,122,204,375,"1,068","1,427",135,37
2021,8,20,"3,890",158,134,231,482,"1,055","1,542",180,108
2021,8,30,"4,193",164,156,185,439,"1,022","1,910",239,78
2021,8,40,"6,089",207,232,334,652,"1,719","2,539",275,131
2021,8,50,"7,553",405,337,593,890,"2,038","2,573",417,300
2021,8,60,"7,028",535,347,665,934,"1,725","1,956",473,393
2021,8,70,"3,844",284,216,395,508,893,986,304,258
2021,8,80,"2,170",161,126,239,271,559,496,194,124
2021,8,90,486,31,26,67,58,128,94,48,34
2021,8,100,14,2,0,1,3,2,3,2,1
2021,9,총,"41,575","2,127","1,812","3,011","4,865","10,899","14,940","2,415","1,506"
2021,9,0,"2,804",80,108,105,245,677,"1,413",133,43
2021,9,10,"3,465",96,126,200,374,"1,074","1,423",135,37
2021,9,20,"3,888",158,132,227,489,"1,054","1,532",187,109
2021,9,30,"4,172",167,155,188,431,"1,020","1,897",241,73
