년도,월,나이,연제구,거제제1동,거제제2동,거제제3동,거제제4동,연산제1동,연산제2동,연산제3동,연산제4동,연산제5동,연산제6동,연산제8동,연산제9동
2021,1,40,"31,827","5,552","2,345","1,332","1,638","2,494","3,042",954,"2,277","2,327","2,268","2,250","5,348"
2021,1,50,"34,143","4,774","1,972","1,662","1,883","2,656","3,117","1,315","2,813","2,357","2,682","2,450","6,462"
2021,1,60,"32,688","3,627","1,666","1,810","1,784","2,788","2,888","1,588","3,181","2,153","3,068","2,278","5,857"
2021,1,70,"18,206","2,221",916,"1,269",915,"1,470","1,684","1,017","1,734","1,206","1,899","1,170","2,705"
2021,1,80,"7,014",887,364,599,371,514,649,362,647,436,764,376,"1,045"
2021,1,90,846,104,35,83,58,47,86,39,78,35,82,44,155
2021,1,100,91,4,10,7,2,8,8,6,4,9,12,8,13
2021,2,총,"208,743","29,640","12,608","10,169","10,761","16,414","20,986","7,399","16,733","16,516","17,029","14,424","36,064"
2021,2,0,"14,487","2,555","1,085",470,733,"1,217","1,973",219,703,763,"1,048","1,245","2,476"
2021,2,10,"16,438","3,583","1,579",687,979,"1,246","1,327",377,897,684,"1,004","1,125","2,950"
2021,2,20,"25,868","3,202","1,327","1,165","1,235","1,837","2,529",799,"2,372","3,414","1,861","1,601","4,526"
2021,2,30,"26,843","3,048","1,277","1,091","1,158","2,121","3,632",729,"2,030","3,105","2,324","1,847","4,481"
2021,2,40,"31,890","5,580","2,350","1,329","1,629","2,505","3,053",949,"2,263","2,350","2,275","2,251","5,356"
2021,2,50,"34,100","4,779","1,983","1,652","1,884","2,645","3,131","1,315","2,802","2,357","2,658","2,445","6,449"
2021,2,60,"32,837","3,645","1,676","1,824","1,790","2,798","2,898","1,580","3,206","2,147","3,088","2,309","5,876"
2021,2,70,"18,231","2,243",917,"1,256",910,"1,466","1,678","1,018","1,733","1,210","1,906","1,172","2,722"
2021,2,80,"7,099",894,369,604,381,522,671,368,643,441,769,376,"1,061"
2021,2,90,859,107,35,84,60,49,86,39,80,36,84,45,154
2021,2,100,91,4,10,7,2,8,8,6,4,9,12,8,13
2021,3,총,"207,419","29,564","12,464","10,083","10,674","16,298","20,954","7,364","16,568","16,505","16,801","14,353","35,791"
2021,3,0,"14,356","2,531","1,073",475,723,"1,220","1,969",223,691,753,"1,036","1,226","2,436"
2021,3,10,"16,382","3,573","1,570",685,976,"1,238","1,318",378,900,688,"1,009","1,120","2,927"
2021,3,20,"25,711","3,201","1,319","1,150","1,233","1,823","2,524",805,"2,350","3,423","1,815","1,578","4,490"
2021,3,30,"26,630","3,029","1,270","1,075","1,136","2,106","3,610",724,"1,992","3,119","2,309","1,848","4,412"
2021,3,40,"31,640","5,553","2,318","1,324","1,633","2,488","3,065",938,"2,240","2,333","2,252","2,219","5,277"
2021,3,50,"33,768","4,749","1,970","1,627","1,855","2,607","3,121","1,291","2,775","2,351","2,602","2,447","6,373"
2021,3,60,"32,777","3,671","1,649","1,816","1,779","2,785","2,893","1,582","3,177","2,155","3,037","2,306","5,927"
2021,3,70,"18,180","2,250",903,"1,244",911,"1,462","1,687","1,015","1,727","1,207","1,883","1,173","2,718"
2021,3,80,"7,107",900,359,611,372,519,672,370,638,444,771,381,"1,070"
2021,3,90,826,103,31,76,55,47,87,35,77,30,85,47,153
2021,3,100,42,4,2,0,1,3,8,3,1,2,2,8,8
2021,4,총,"206,979","29,531","12,457","10,061","10,644","16,265","20,929","7,332","16,479","16,424","16,783","14,334","35,740"
2021,4,0,"14,271","2,521","1,072",468,714,"1,205","1,966",217,695,744,"1,029","1,218","2,422"
2021,4,10,"16,329","3,561","1,565",686,972,"1,233","1,319",378,903,676,"1,007","1,122","2,907"
2021,4,20,"25,596","3,215","1,317","1,130","1,234","1,803","2,513",801,"2,335","3,401","1,812","1,564","4,471"
2021,4,30,"26,474","3,028","1,250","1,069","1,126","2,109","3,586",725,"1,969","3,084","2,279","1,844","4,405"
2021,4,40,"31,567","5,522","2,336","1,325","1,631","2,485","3,072",918,"2,220","2,314","2,247","2,220","5,277"
2021,4,50,"33,695","4,757","1,967","1,634","1,844","2,600","3,118","1,293","2,746","2,342","2,616","2,437","6,341"
2021,4,60,"32,840","3,662","1,653","1,828","1,782","2,802","2,892","1,574","3,172","2,166","3,050","2,311","5,948"
2021,4,70,"18,206","2,262",904,"1,240",908,"1,456","1,689","1,018","1,727","1,217","1,871","1,182","2,732"
2021,4,80,"7,142",898,361,607,378,523,676,371,634,450,786,384,"1,074"
2021,4,90,818,100,30,74,54,46,90,36,77,28,84,44,155
2021,4,100,41,5,2,0,1,3,8,1,1,2,2,8,8
2021,5,총,"206,547","29,444","12,429","10,077","10,624","16,209","20,971","7,294","16,354","16,437","16,768","14,313","35,627"
2021,5,0,"14,158","2,482","1,056",469,707,"1,204","1,968",217,691,748,"1,018","1,208","2,390"
2021,5,10,"16,310","3,552","1,562",687,970,"1,235","1,314",377,901,668,"1,007","1,132","2,905"
2021,5,20,"25,471","3,216","1,319","1,129","1,237","1,777","2,501",788,"2,315","3,414","1,814","1,550","4,411"
2021,5,30,"26,292","2,999","1,247","1,060","1,115","2,085","3,591",713,"1,944","3,067","2,260","1,848","4,363"
2021,5,40,"31,479","5,480","2,328","1,327","1,625","2,475","3,095",916,"2,210","2,307","2,229","2,212","5,275"
2021,5,50,"33,611","4,772","1,953","1,626","1,836","2,584","3,115","1,286","2,701","2,378","2,628","2,420","6,312"
2021,5,60,"32,921","3,672","1,660","1,833","1,789","2,805","2,910","1,570","3,168","2,150","3,053","2,314","5,997"
2021,5,70,"18,252","2,266",906,"1,255",909,"1,463","1,694","1,019","1,712","1,219","1,880","1,190","2,739"
2021,5,80,"7,179",897,364,617,381,531,676,371,633,456,795,384,"1,074"
2021,5,90,835,103,33,74,54,47,99,36,78,28,82,47,154
2021,5,100,39,5,1,0,1,3,8,1,1,2,2,8,7
2021,6,총,"206,239","29,428","12,397","10,071","10,586","16,198","20,963","7,248","16,321","16,427","16,742","14,308","35,550"
2021,6,0,"14,082","2,469","1,040",476,697,"1,195","1,954",214,682,738,"1,013","1,207","2,397"
2021,6,10,"16,283","3,546","1,572",688,971,"1,230","1,311",380,902,661,"1,001","1,132","2,889"
2021,6,20,"25,341","3,223","1,313","1,126","1,229","1,771","2,475",780,"2,304","3,406","1,813","1,538","4,363"
2021,6,30,"26,206","2,980","1,231","1,061","1,104","2,088","3,585",707,"1,943","3,082","2,246","1,846","4,333"
2021,6,40,"31,471","5,481","2,313","1,316","1,621","2,475","3,115",904,"2,200","2,313","2,239","2,218","5,276"
2021,6,50,"33,476","4,772","1,956","1,619","1,827","2,569","3,111","1,278","2,687","2,361","2,603","2,398","6,295"
2021,6,60,"33,007","3,682","1,671","1,838","1,794","2,818","2,917","1,570","3,163","2,157","3,060","2,327","6,010"
2021,6,70,"18,235","2,259",895,"1,252",908,"1,467","1,700","1,004","1,718","1,216","1,872","1,199","2,745"
2021,6,80,"7,258",908,370,620,380,533,689,372,643,463,811,389,"1,080"
2021,6,90,840,102,35,75,54,49,98,38,78,28,82,46,155
2021,6,100,40,6,1,0,1,3,8,1,1,2,2,8,7
2021,7,총,"205,936","29,406","12,367","10,056","10,561","16,173","20,972","7,223","16,246","16,435","16,734","14,273","35,490"
2021,7,0,"13,992","2,433","1,024",478,686,"1,189","1,961",209,663,743,"1,019","1,201","2,386"
2021,7,10,"16,248","3,547","1,578",684,970,"1,229","1,303",383,889,661,997,"1,129","2,878"
2021,7,20,"25,172","3,216","1,287","1,119","1,225","1,762","2,458",772,"2,285","3,381","1,809","1,525","4,333"
2021,7,30,"26,134","2,948","1,232","1,068","1,097","2,091","3,558",711,"1,943","3,097","2,230","1,840","4,319"
2021,7,40,"31,377","5,485","2,301","1,298","1,627","2,464","3,133",888,"2,174","2,299","2,252","2,211","5,245"
2021,7,50,"33,385","4,783","1,961","1,604","1,799","2,566","3,114","1,260","2,673","2,369","2,589","2,406","6,261"
2021,7,60,"33,162","3,698","1,678","1,856","1,811","2,823","2,933","1,570","3,168","2,176","3,064","2,324","6,061"
2021,7,70,"18,283","2,272",898,"1,246",907,"1,470","1,712","1,012","1,718","1,213","1,874","1,200","2,761"
2021,7,80,"7,292",915,371,626,380,527,693,379,652,468,815,384,"1,082"
2021,7,90,849,103,36,77,58,49,98,38,79,26,82,45,158
2021,7,100,42,6,1,0,1,3,9,1,2,2,3,8,6
2021,8,총,"205,700","29,381","12,341","10,017","10,519","16,159","20,915","7,219","16,273","16,429","16,728","14,263","35,456"
2021,8,0,"13,951","2,431","1,009",470,677,"1,192","1,963",206,659,733,"1,032","1,206","2,373"
2021,8,10,"16,188","3,534","1,576",677,965,"1,237","1,286",381,886,649,988,"1,128","2,881"
2021,8,20,"25,073","3,212","1,280","1,112","1,215","1,736","2,438",776,"2,297","3,386","1,797","1,519","4,305"
2021,8,30,"26,001","2,929","1,216","1,066","1,086","2,083","3,526",705,"1,952","3,091","2,230","1,822","4,295"
2021,8,40,"31,335","5,466","2,308","1,293","1,621","2,457","3,134",889,"2,170","2,285","2,249","2,218","5,245"
2021,8,50,"33,345","4,786","1,965","1,598","1,797","2,559","3,098","1,254","2,682","2,378","2,576","2,398","6,254"
2021,8,60,"33,265","3,711","1,673","1,854","1,812","2,837","2,952","1,576","3,170","2,190","3,068","2,332","6,090"
2021,8,70,"18,314","2,284",903,"1,245",910,"1,472","1,708","1,014","1,723","1,212","1,881","1,198","2,764"
2021,8,80,"7,335",918,374,622,377,534,701,379,653,475,822,389,"1,091"
2021,8,90,852,104,36,80,58,49,100,38,79,28,82,45,153
2021,8,100,41,6,1,0,1,3,9,1,2,2,3,8,5
2021,9,총,"205,676","29,354","12,312","10,071","10,503","16,141","20,932","7,218","16,269","16,477","16,758","14,254","35,387"
2021,9,0,"13,883","2,407",992,462,665,"1,193","1,972",206,644,736,"1,031","1,201","2,374"
2021,9,10,"16,200","3,545","1,575",684,981,"1,234","1,288",377,884,652,982,"1,127","2,871"
2021,9,20,"25,016","3,212","1,281","1,120","1,213","1,729","2,407",769,"2,303","3,387","1,818","1,518","4,259"
2021,9,30,"25,958","2,903","1,214","1,084","1,067","2,063","3,528",706,"1,939","3,112","2,245","1,814","4,283"
2021,9,40,"31,319","5,455","2,281","1,291","1,619","2,457","3,161",890,"2,171","2,282","2,250","2,221","5,241"
2021,9,50,"33,342","4,795","1,973","1,613","1,797","2,552","3,093","1,249","2,680","2,387","2,574","2,391","6,238"
2021,9,60,"33,301","3,714","1,671","1,855","1,814","2,850","2,959","1,587","3,180","2,195","3,053","2,337","6,086"
2021,9,70,"18,373","2,297",910,"1,254",911,"1,473","1,713","1,013","1,727","1,209","1,890","1,196","2,780"
2021,9,80,"7,380",918,375,627,378,536,702,382,660,486,827,392,"1,097"
