년도,월,나이,홍성군,홍성읍,광천읍,홍북읍,금마면,홍동면,장곡면,은하면,결성면,서부면,갈산면,구항면
2020,5,90,206,57,35,13,14,7,11,17,7,13,21,11
2020,5,100,18,7,5,0,1,0,1,0,0,2,2,0
2020,6,총,"49,711","19,028","4,214","14,194","1,783","1,756","1,426","1,177","1,035","1,607","1,755","1,736"
2020,6,0,"4,137","1,333",153,"2,306",61,73,40,27,13,37,46,48
2020,6,10,"4,912","2,255",248,"1,838",78,125,59,36,28,68,82,95
2020,6,20,"5,337","2,700",372,"1,365",134,151,89,79,76,129,111,131
2020,6,30,"5,528","1,897",301,"2,544",137,107,86,71,71,89,121,104
2020,6,40,"7,659","3,043",487,"2,731",214,217,162,111,88,193,192,221
2020,6,50,"8,261","3,468",769,"1,751",350,322,249,222,188,285,315,342
2020,6,60,"7,000","2,378",866,965,391,357,306,268,246,386,428,409
2020,6,70,"4,450","1,351",681,479,257,250,248,218,199,265,253,249
2020,6,80,"2,202",538,297,201,147,147,175,129,119,140,184,125
2020,6,90,207,58,35,14,13,7,11,16,7,13,21,12
2020,6,100,18,7,5,0,1,0,1,0,0,2,2,0
2020,7,총,"49,729","18,997","4,201","14,256","1,783","1,744","1,431","1,172","1,035","1,613","1,757","1,740"
2020,7,0,"4,127","1,323",156,"2,307",61,72,40,26,13,37,45,47
2020,7,10,"4,915","2,247",252,"1,857",75,119,61,34,28,69,81,92
2020,7,20,"5,325","2,690",364,"1,362",138,153,88,81,76,128,113,132
2020,7,30,"5,518","1,895",296,"2,553",132,104,85,67,68,90,124,104
2020,7,40,"7,657","3,028",485,"2,754",213,213,162,109,89,195,189,220
2020,7,50,"8,264","3,476",761,"1,751",353,319,249,222,189,286,315,343
2020,7,60,"7,026","2,383",868,970,391,360,309,269,247,388,429,412
2020,7,70,"4,469","1,352",682,487,259,251,248,219,197,265,253,256
2020,7,80,"2,198",537,296,199,146,147,177,129,120,139,185,123
2020,7,90,211,59,35,16,14,6,11,16,8,14,21,11
2020,7,100,19,7,6,0,1,0,1,0,0,2,2,0
2020,8,총,"49,715","18,987","4,183","14,276","1,785","1,748","1,426","1,170","1,029","1,612","1,754","1,745"
2020,8,0,"4,120","1,309",159,"2,310",59,75,41,26,12,37,44,48
2020,8,10,"4,890","2,237",246,"1,852",74,117,61,34,26,68,82,93
2020,8,20,"5,325","2,683",364,"1,367",138,157,87,79,79,128,112,131
2020,8,30,"5,516","1,909",287,"2,554",133,105,85,68,63,86,124,102
2020,8,40,"7,623","3,009",483,"2,756",213,212,155,107,89,196,187,216
2020,8,50,"8,282","3,483",759,"1,757",357,314,256,222,189,288,304,353
2020,8,60,"7,057","2,391",863,978,394,365,308,271,249,390,437,411
2020,8,70,"4,476","1,363",687,489,258,249,244,219,193,264,254,256
2020,8,80,"2,191",534,294,198,144,147,177,126,121,139,187,124
2020,8,90,216,62,35,15,14,7,11,18,8,14,21,11
2020,8,100,19,7,6,0,1,0,1,0,0,2,2,0
2020,9,총,"49,689","18,979","4,169","14,300","1,782","1,748","1,419","1,166","1,028","1,609","1,753","1,736"
2020,9,0,"4,085","1,295",154,"2,297",58,74,43,25,12,37,44,46
2020,9,10,"4,909","2,246",245,"1,870",75,115,61,34,26,64,79,94
2020,9,20,"5,312","2,675",362,"1,369",136,161,82,79,77,129,114,128
2020,9,30,"5,480","1,914",278,"2,528",131,104,85,66,64,85,124,101
2020,9,40,"7,607","3,008",483,"2,757",210,211,154,106,86,195,183,214
2020,9,50,"8,283","3,464",754,"1,791",354,314,257,216,191,288,305,349
2020,9,60,"7,096","2,408",869,982,400,366,305,274,251,391,436,414
2020,9,70,"4,476","1,359",689,489,259,248,244,218,191,265,259,255
2020,9,80,"2,202",542,292,202,144,147,176,130,122,138,185,124
2020,9,90,220,61,37,15,14,8,11,18,8,15,22,11
2020,9,100,19,7,6,0,1,0,1,0,0,2,2,0
2020,10,총,"49,626","18,950","4,163","14,296","1,777","1,743","1,411","1,165","1,028","1,598","1,755","1,740"
2020,10,0,"4,048","1,289",152,"2,278",55,72,41,22,11,37,44,47
2020,10,10,"4,917","2,235",248,"1,890",75,115,60,35,26,65,75,93
2020,10,20,"5,285","2,673",359,"1,356",138,157,83,79,76,121,115,128
2020,10,30,"5,467","1,900",277,"2,527",131,104,85,66,63,85,126,103
2020,10,40,"7,559","2,997",478,"2,751",199,209,150,105,87,194,179,210
2020,10,50,"8,293","3,464",748,"1,796",363,311,257,216,190,283,310,355
2020,10,60,"7,131","2,423",872,989,399,368,304,277,255,393,437,414
2020,10,70,"4,480","1,362",691,488,255,252,244,217,191,265,258,257
2020,10,80,"2,206",540,295,206,145,147,175,130,122,138,186,122
2020,10,90,221,60,37,15,16,8,11,18,7,15,23,11
2020,10,100,19,7,6,0,1,0,1,0,0,2,2,0
2020,11,총,"49,665","18,934","4,160","14,375","1,773","1,737","1,407","1,162","1,031","1,592","1,757","1,737"
2020,11,0,"4,037","1,280",148,"2,287",54,73,40,21,10,35,43,46
2020,11,10,"4,911","2,223",250,"1,903",73,113,57,35,26,64,76,91
2020,11,20,"5,298","2,669",356,"1,368",135,160,86,81,79,120,116,128
2020,11,30,"5,457","1,887",272,"2,532",134,105,85,65,64,86,126,101
2020,11,40,"7,545","2,990",475,"2,759",194,203,148,105,87,193,180,211
2020,11,50,"8,315","3,473",751,"1,811",361,315,257,215,189,283,310,350
2020,11,60,"7,175","2,434",880,"1,003",403,366,304,278,257,393,436,421
2020,11,70,"4,463","1,362",685,490,253,249,243,216,188,265,258,254
2020,11,80,"2,222",549,299,207,149,145,174,128,124,137,186,124
2020,11,90,223,60,38,15,16,8,12,18,7,14,24,11
2020,11,100,19,7,6,0,1,0,1,0,0,2,2,0
2020,12,총,"49,796","18,957","4,173","14,445","1,778","1,726","1,400","1,169","1,033","1,597","1,774","1,744"
2020,12,0,"4,012","1,265",145,"2,280",54,70,39,21,11,36,45,46
2020,12,10,"4,917","2,221",268,"1,901",69,113,57,35,27,63,78,85
2020,12,20,"5,354","2,679",351,"1,401",142,159,86,82,81,125,121,127
2020,12,30,"5,448","1,879",269,"2,535",130,104,86,66,63,86,127,103
2020,12,40,"7,554","2,987",476,"2,770",198,197,144,110,86,191,181,214
2020,12,50,"8,318","3,474",752,"1,817",358,315,256,216,187,281,312,350
2020,12,60,"7,240","2,460",880,"1,022",406,370,308,276,258,397,434,429
2020,12,70,"4,474","1,374",682,492,252,247,238,216,188,266,266,253
2020,12,80,"2,235",551,307,212,150,143,173,129,125,136,183,126
2020,12,90,225,60,37,15,18,8,12,18,7,14,25,11
2020,12,100,19,7,6,0,1,0,1,0,0,2,2,0
2021,1,총,"49,659","18,860","4,165","14,423","1,776","1,729","1,399","1,159","1,031","1,599","1,777","1,741"
2021,1,0,"3,979","1,253",144,"2,261",51,72,39,21,10,36,46,46
2021,1,10,"4,873","2,195",268,"1,893",68,110,54,32,25,66,78,84
2021,1,20,"5,290","2,659",347,"1,376",142,158,88,82,79,119,119,121
2021,1,30,"5,429","1,854",272,"2,536",129,103,85,64,64,86,131,105
2021,1,40,"7,541","2,969",467,"2,779",198,198,144,110,86,191,184,215
2021,1,50,"8,296","3,475",746,"1,823",356,313,255,211,187,284,302,344
2021,1,60,"7,277","2,459",885,"1,033",410,374,310,277,259,400,438,432
2021,1,70,"4,484","1,378",683,489,251,250,236,215,190,267,269,256
2021,1,80,"2,243",551,308,216,152,142,175,129,124,134,183,129
2021,1,90,228,60,39,17,18,9,12,18,7,14,25,9
2021,1,100,19,7,6,0,1,0,1,0,0,2,2,0
2021,2,총,"49,639","18,860","4,152","14,404","1,788","1,732","1,405","1,157","1,027","1,596","1,779","1,739"
2021,2,0,"3,988","1,252",144,"2,268",53,74,38,22,10,36,47,44
2021,2,10,"4,878","2,192",271,"1,891",68,110,58,30,25,66,80,87
2021,2,20,"5,233","2,645",336,"1,362",140,156,87,82,76,118,115,116
2021,2,30,"5,370","1,848",266,"2,500",131,101,86,59,66,79,128,106
2021,2,40,"7,553","2,967",463,"2,793",201,199,140,116,84,190,187,213
2021,2,50,"8,287","3,476",737,"1,830",356,311,254,207,185,280,305,346
2021,2,60,"7,335","2,478",898,"1,039",414,379,317,278,258,405,438,431
2021,2,70,"4,489","1,388",681,487,253,246,235,216,190,266,271,256
2021,2,80,"2,257",547,310,216,153,147,176,130,125,139,183,131
2021,2,90,230,60,40,18,18,9,13,17,8,15,23,9
2021,2,100,19,7,6,0,1,0,1,0,0,2,2,0
2021,3,총,"49,649","18,858","4,139","14,439","1,788","1,729","1,402","1,151","1,025","1,593","1,775","1,750"
2021,3,0,"3,973","1,252",148,"2,258",51,74,38,20,9,34,45,44
2021,3,10,"4,890","2,190",288,"1,890",69,108,56,30,27,65,80,87
2021,3,20,"5,207","2,628",331,"1,364",136,153,86,79,74,122,118,116
2021,3,30,"5,361","1,854",262,"2,505",131,101,84,55,65,80,122,102
2021,3,40,"7,530","2,955",457,"2,792",202,197,140,118,82,185,188,214
2021,3,50,"8,276","3,472",727,"1,846",358,310,250,205,186,280,298,344
2021,3,60,"7,422","2,510",903,"1,057",417,387,319,280,257,405,442,445
2021,3,70,"4,492","1,388",677,492,252,244,236,218,192,265,271,257
2021,3,80,"2,269",548,311,218,154,146,180,130,125,140,185,132
2021,3,90,224,59,35,17,18,9,13,16,8,16,24,9
2021,3,100,5,2,0,0,0,0,0,0,0,1,2,0
2021,4,총,"49,627","18,838","4,139","14,434","1,785","1,725","1,404","1,158","1,030","1,585","1,777","1,752"
2021,4,0,"3,979","1,261",146,"2,255",50,76,38,21,8,34,46,44
2021,4,10,"4,893","2,188",293,"1,891",68,107,57,31,29,64,80,85
2021,4,20,"5,184","2,612",330,"1,361",135,151,84,79,74,121,122,115
2021,4,30,"5,327","1,842",258,"2,488",129,103,83,58,65,79,119,103
2021,4,40,"7,526","2,944",453,"2,809",205,198,139,114,83,183,189,209
2021,4,50,"8,264","3,461",735,"1,843",352,310,249,208,189,276,297,344
2021,4,60,"7,466","2,533",900,"1,063",423,383,324,283,256,407,442,452
2021,4,70,"4,492","1,386",678,494,250,244,235,217,191,265,274,258
2021,4,80,"2,272",551,310,215,156,143,182,131,127,139,185,133
2021,4,90,221,58,36,15,17,10,13,16,8,16,23,9
2021,4,100,3,2,0,0,0,0,0,0,0,1,0,0
2021,5,총,"49,634","18,829","4,147","14,447","1,785","1,722","1,399","1,157","1,030","1,584","1,775","1,759"
2021,5,0,"3,954","1,239",147,"2,254",51,72,38,21,8,34,45,45
2021,5,10,"4,885","2,185",297,"1,884",68,109,54,28,29,62,82,87
2021,5,20,"5,203","2,626",329,"1,369",136,150,84,82,72,119,120,116
2021,5,30,"5,290","1,832",256,"2,471",128,98,81,57,64,80,120,103
2021,5,40,"7,491","2,916",452,"2,811",203,198,142,114,84,180,188,203
2021,5,50,"8,280","3,478",733,"1,859",349,310,245,204,185,275,296,346
2021,5,60,"7,530","2,550",915,"1,072",430,386,328,287,260,410,439,453
2021,5,70,"4,502","1,395",676,493,248,244,233,218,191,267,274,263
2021,5,80,"2,272",552,305,218,154,142,181,130,129,139,188,134
2021,5,90,224,54,37,16,18,13,13,16,8,17,23,9
2021,5,100,3,2,0,0,0,0,0,0,0,1,0,0
2021,6,총,"49,522","18,772","4,119","14,451","1,795","1,721","1,381","1,151","1,029","1,586","1,758","1,759"
2021,6,0,"3,932","1,223",148,"2,246",52,70,38,21,9,35,45,45
2021,6,10,"4,894","2,178",295,"1,900",67,112,52,28,27,66,82,87
2021,6,20,"5,199","2,630",327,"1,377",140,145,85,77,70,118,117,113
2021,6,30,"5,272","1,830",255,"2,450",130,100,78,60,64,79,121,105
2021,6,40,"7,460","2,907",439,"2,822",200,195,136,112,83,182,182,202
2021,6,50,"8,227","3,452",725,"1,850",347,311,245,204,182,272,292,347
2021,6,60,"7,558","2,556",920,"1,081",433,388,324,286,265,415,434,456
2021,6,70,"4,498","1,390",669,497,253,246,232,217,191,266,276,261
2021,6,80,"2,257",550,305,213,155,141,177,129,130,137,187,133
2021,6,90,221,53,36,15,18,13,14,17,8,15,22,10
2021,6,100,4,3,0,0,0,0,0,0,0,1,0,0
2021,7,총,"49,522","18,780","4,106","14,465","1,800","1,716","1,376","1,150","1,033","1,582","1,756","1,758"
2021,7,0,"3,911","1,211",150,"2,244",50,66,36,21,10,35,45,43
2021,7,10,"4,892","2,174",292,"1,901",68,113,53,28,26,67,84,86
2021,7,20,"5,216","2,635",317,"1,396",145,145,84,78,70,113,116,117
2021,7,30,"5,252","1,830",251,"2,440",129,99,78,59,66,80,118,102
2021,7,40,"7,428","2,891",446,"2,806",199,196,135,114,81,183,178,199
2021,7,50,"8,239","3,467",724,"1,857",346,310,240,204,179,265,293,354
2021,7,60,"7,583","2,560",920,"1,095",433,390,326,282,271,415,437,454
2021,7,70,"4,517","1,404",663,498,256,248,233,219,191,267,277,261
2021,7,80,"2,260",552,307,214,156,137,177,127,131,142,185,132
2021,7,90,220,53,36,14,18,12,14,18,8,14,23,10
2021,7,100,4,3,0,0,0,0,0,0,0,1,0,0
2021,8,총,"49,537","18,801","4,104","14,465","1,803","1,707","1,381","1,144","1,028","1,587","1,757","1,760"
2021,8,0,"3,886","1,207",149,"2,230",49,65,36,20,10,35,44,41
2021,8,10,"4,892","2,165",289,"1,921",68,112,51,28,25,67,82,84
2021,8,20,"5,221","2,640",317,"1,392",151,137,85,76,68,115,121,119
2021,8,30,"5,246","1,842",248,"2,411",131,103,81,58,68,81,118,105
2021,8,40,"7,393","2,882",442,"2,800",196,192,134,110,77,182,180,198
2021,8,50,"8,259","3,463",726,"1,882",340,311,240,207,181,264,292,353
2021,8,60,"7,601","2,568",923,"1,105",436,388,327,279,268,417,434,456
2021,8,70,"4,550","1,424",666,494,256,251,231,222,191,269,281,265
2021,8,80,"2,267",555,307,217,159,135,182,126,131,142,184,129
2021,8,90,218,52,37,13,17,13,14,18,9,14,21,10
2021,8,100,4,3,0,0,0,0,0,0,0,1,0,0
2021,9,총,"49,496","18,742","4,102","14,536","1,799","1,696","1,362","1,149","1,024","1,577","1,750","1,759"
2021,9,0,"3,881","1,195",147,"2,236",50,66,36,21,10,34,44,42
2021,9,10,"4,881","2,152",294,"1,924",69,111,49,29,25,62,81,85
2021,9,20,"5,189","2,617",311,"1,405",146,134,79,75,65,114,123,120
2021,9,30,"5,216","1,825",252,"2,405",128,104,78,59,67,80,113,105
2021,9,40,"7,380","2,876",432,"2,813",192,193,134,110,78,176,181,195
2021,9,50,"8,274","3,471",724,"1,910",338,307,234,208,179,261,285,357
2021,9,60,"7,614","2,565",927,"1,119",437,384,328,279,267,421,437,450
2021,9,70,"4,562","1,424",665,493,262,250,231,223,193,274,280,267
2021,9,80,"2,274",562,312,219,160,133,180,127,131,139,183,128
2021,9,90,221,52,38,12,17,14,13,18,9,15,23,10
2021,9,100,4,3,0,0,0,0,0,0,0,1,0,0
2021,10,총,"49,522","18,730","4,091","14,578","1,797","1,696","1,359","1,145","1,028","1,585","1,748","1,765"
2021,10,0,"3,871","1,178",147,"2,244",51,64,36,22,10,32,44,43
2021,10,10,"4,887","2,157",288,"1,928",70,112,49,30,25,63,79,86
2021,10,20,"5,181","2,610",307,"1,412",141,136,79,74,67,110,123,122
2021,10,30,"5,199","1,821",257,"2,397",126,103,77,56,66,82,110,104
2021,10,40,"7,388","2,870",429,"2,828",193,193,135,109,81,174,184,192
2021,10,50,"8,302","3,482",722,"1,925",341,306,233,205,178,265,288,357
2021,10,60,"7,602","2,566",924,"1,114",433,380,325,282,269,426,430,453
2021,10,70,"4,588","1,427",666,498,267,254,234,221,192,276,284,269
2021,10,80,"2,272",559,313,220,158,133,178,129,131,140,183,128
2021,10,90,228,57,38,12,17,15,13,17,9,16,23,11
2021,10,100,4,3,0,0,0,0,0,0,0,1,0,0
2021,11,총,"49,466","18,671","4,094","14,587","1,792","1,709","1,358","1,131","1,018","1,584","1,751","1,771"
2021,11,0,"3,850","1,180",148,"2,231",49,66,36,19,8,30,44,39
2021,11,10,"4,881","2,143",289,"1,936",72,110,47,29,24,64,79,88
2021,11,20,"5,157","2,581",302,"1,419",142,141,78,72,62,110,121,129
2021,11,30,"5,182","1,811",261,"2,389",120,103,78,56,68,81,113,102
2021,11,40,"7,363","2,865",427,"2,817",190,192,134,106,80,175,183,194
2021,11,50,"8,305","3,469",718,"1,938",346,306,234,202,177,267,288,360
2021,11,60,"7,633","2,582",927,"1,123",428,388,326,282,268,424,432,453
2021,11,70,"4,583","1,419",669,502,271,256,232,219,190,275,282,268
2021,11,80,"2,279",562,316,219,157,132,179,130,131,141,186,126
2021,11,90,228,55,37,13,17,15,14,16,10,16,23,12
2021,11,100,5,4,0,0,0,0,0,0,0,1,0,0
2021,12,총,"49,437","18,624","4,104","14,603","1,791","1,710","1,356","1,129","1,007","1,570","1,771","1,772"
2021,12,0,"3,824","1,168",148,"2,220",48,66,37,16,9,29,45,38
2021,12,10,"4,873","2,127",295,"1,941",72,108,43,31,25,63,78,90
2021,12,20,"5,119","2,562",300,"1,410",138,143,81,69,63,105,122,126
2021,12,30,"5,190","1,813",268,"2,379",124,102,79,56,67,84,117,101
2021,12,40,"7,356","2,849",422,"2,842",189,190,130,105,79,171,183,196
2021,12,50,"8,299","3,465",717,"1,943",345,304,234,203,174,264,292,358
2021,12,60,"7,655","2,589",930,"1,130",431,387,326,283,265,422,440,452
2021,12,70,"4,587","1,417",666,506,273,254,232,220,187,275,286,271
2021,12,80,"2,290",573,320,217,153,141,179,130,126,141,183,127
2021,12,90,240,57,38,15,18,15,15,16,12,16,25,13
2021,12,100,4,4,0,0,0,0,0,0,0,0,0,0
