년도,월,나이,진안군,진안읍,용담면,안천면,동향면,상전면,백운면,성수면,마령면,부귀면,정천면,주천면
2020,3,100,26,9,2,0,3,0,1,6,3,1,1,0
2020,4,총,"25,548","10,229",824,"1,060","1,418",886,"1,973","1,798","1,873","2,903","1,081","1,503"
2020,4,0,"1,361",738,15,49,71,32,84,80,64,141,50,37
2020,4,10,"1,676",854,27,62,82,40,91,83,88,220,60,69
2020,4,20,"1,994",936,39,65,75,57,155,136,140,237,71,83
2020,4,30,"1,756",888,38,55,62,61,112,98,107,201,79,55
2020,4,40,"2,840","1,385",65,84,126,86,203,184,157,321,93,136
2020,4,50,"4,642","1,751",176,207,268,168,357,313,339,563,214,286
2020,4,60,"4,685","1,536",210,206,284,197,392,378,372,590,212,308
2020,4,70,"3,793","1,238",160,181,246,140,318,305,356,373,163,313
2020,4,80,"2,409",785,79,131,166,98,227,189,215,216,120,183
2020,4,90,366,109,13,20,35,7,33,26,32,40,18,33
2020,4,100,26,9,2,0,3,0,1,6,3,1,1,0
2020,5,총,"25,514","10,210",821,"1,066","1,415",886,"1,975","1,794","1,875","2,902","1,073","1,497"
2020,5,0,"1,355",731,15,51,67,36,86,80,61,141,50,37
2020,5,10,"1,674",846,25,68,83,39,91,84,91,219,59,69
2020,5,20,"1,991",943,37,63,73,56,154,133,145,236,69,82
2020,5,30,"1,750",888,37,55,63,62,111,98,105,198,79,54
2020,5,40,"2,819","1,379",65,85,126,82,201,184,150,324,88,135
2020,5,50,"4,619","1,730",177,204,264,168,358,315,343,564,216,280
2020,5,60,"4,703","1,548",211,207,290,199,394,375,374,583,210,312
2020,5,70,"3,800","1,243",161,180,245,139,319,305,352,382,163,311
2020,5,80,"2,416",786,78,133,167,98,226,189,221,213,120,185
2020,5,90,360,107,13,20,34,7,33,25,30,41,18,32
2020,5,100,27,9,2,0,3,0,2,6,3,1,1,0
2020,6,총,"25,509","10,179",829,"1,070","1,410",881,"1,976","1,786","1,874","2,903","1,094","1,507"
2020,6,0,"1,352",725,16,51,67,35,83,78,59,139,60,39
2020,6,10,"1,672",844,26,66,83,39,90,84,90,222,60,68
2020,6,20,"1,982",939,38,64,70,54,156,128,146,235,70,82
2020,6,30,"1,739",883,37,54,63,63,108,96,101,196,83,55
2020,6,40,"2,820","1,367",66,87,127,82,200,182,155,319,97,138
2020,6,50,"4,596","1,717",180,205,259,169,357,313,340,564,212,280
2020,6,60,"4,712","1,557",212,207,292,196,398,372,373,582,212,311
2020,6,70,"3,823","1,242",161,182,243,138,319,310,353,395,163,317
2020,6,80,"2,424",791,80,133,168,98,229,192,222,209,117,185
2020,6,90,362,105,11,21,35,7,34,25,32,41,19,32
2020,6,100,27,9,2,0,3,0,2,6,3,1,1,0
2020,7,총,"25,477","10,177",832,"1,067","1,408",878,"1,976","1,785","1,866","2,895","1,088","1,505"
2020,7,0,"1,341",716,15,51,68,36,85,77,54,137,62,40
2020,7,10,"1,670",848,25,67,80,39,89,82,91,221,60,68
2020,7,20,"1,969",932,39,63,74,51,154,132,143,233,67,81
2020,7,30,"1,732",891,38,48,57,66,106,93,98,197,83,55
2020,7,40,"2,833","1,370",66,93,129,80,202,181,158,316,99,139
2020,7,50,"4,574","1,710",180,200,259,167,361,314,341,560,206,276
2020,7,60,"4,711","1,562",214,207,290,194,397,366,369,585,213,314
2020,7,70,"3,835","1,243",162,185,245,139,319,314,354,395,162,317
2020,7,80,"2,423",792,80,132,169,99,227,193,223,207,116,185
2020,7,90,362,104,11,21,34,7,34,27,32,43,19,30
2020,7,100,27,9,2,0,3,0,2,6,3,1,1,0
2020,8,총,"25,466","10,171",830,"1,068","1,404",885,"1,958","1,791","1,861","2,907","1,088","1,503"
2020,8,0,"1,324",709,16,49,59,38,82,80,52,139,60,40
2020,8,10,"1,675",851,25,69,85,38,89,82,89,221,61,65
2020,8,20,"1,969",928,38,62,74,54,152,134,143,234,67,83
2020,8,30,"1,712",880,37,47,56,67,103,95,95,196,81,55
2020,8,40,"2,815","1,371",66,94,127,78,198,177,154,316,99,135
2020,8,50,"4,570","1,705",177,202,261,170,356,314,339,559,207,280
2020,8,60,"4,739","1,571",215,208,292,194,399,365,373,593,216,313
2020,8,70,"3,822","1,241",159,184,239,139,317,317,358,397,158,313
2020,8,80,"2,449",801,85,130,174,100,226,194,224,209,117,189
2020,8,90,363,104,10,23,34,7,34,27,31,42,21,30
2020,8,100,28,10,2,0,3,0,2,6,3,1,1,0
2020,9,총,"25,444","10,143",831,"1,075","1,402",886,"1,965","1,791","1,861","2,909","1,084","1,497"
2020,9,0,"1,320",704,18,48,56,39,83,80,54,141,58,39
2020,9,10,"1,670",847,25,72,83,38,88,82,88,220,61,66
2020,9,20,"1,965",932,37,62,75,54,151,132,144,229,65,84
2020,9,30,"1,694",867,35,46,55,66,104,94,95,197,83,52
2020,9,40,"2,797","1,355",67,95,127,77,199,180,150,318,96,133
2020,9,50,"4,558","1,696",177,203,257,168,360,312,340,558,206,281
2020,9,60,"4,768","1,583",219,209,296,196,398,368,371,599,219,310
2020,9,70,"3,822","1,245",154,185,240,141,318,315,359,394,156,315
2020,9,80,"2,455",801,86,130,176,100,226,196,226,208,119,187
2020,9,90,368,103,11,25,34,7,36,27,31,44,20,30
2020,9,100,27,10,2,0,3,0,2,5,3,1,1,0
2020,10,총,"25,411","10,121",828,"1,085","1,399",884,"1,962","1,785","1,866","2,906","1,076","1,499"
2020,10,0,"1,289",685,19,48,54,40,82,76,56,134,56,39
2020,10,10,"1,684",853,26,74,82,40,87,82,89,223,62,66
2020,10,20,"1,959",931,37,65,76,52,150,129,141,228,64,86
2020,10,30,"1,659",847,31,47,53,65,101,95,96,195,80,49
2020,10,40,"2,783","1,352",67,91,126,79,196,180,150,321,93,128
2020,10,50,"4,548","1,690",176,207,255,165,362,309,345,549,206,284
2020,10,60,"4,793","1,593",220,211,297,192,403,370,365,608,223,311
2020,10,70,"3,828","1,247",153,185,243,139,318,315,363,393,153,319
2020,10,80,"2,469",804,86,132,176,105,227,196,228,210,118,187
2020,10,90,372,109,11,25,34,7,34,28,30,44,20,30
2020,10,100,27,10,2,0,3,0,2,5,3,1,1,0
2020,11,총,"25,351","10,090",829,"1,094","1,399",882,"1,952","1,788","1,859","2,880","1,076","1,502"
2020,11,0,"1,281",680,18,47,55,38,80,76,59,133,56,39
2020,11,10,"1,676",849,26,79,83,38,87,84,85,215,64,66
2020,11,20,"1,943",932,36,64,73,49,150,127,138,227,62,85
2020,11,30,"1,642",838,30,51,55,65,99,97,93,186,79,49
2020,11,40,"2,761","1,335",65,92,123,77,193,181,151,321,93,130
2020,11,50,"4,521","1,688",178,205,254,166,355,305,340,541,205,284
2020,11,60,"4,820","1,593",222,214,300,197,406,376,364,609,227,312
2020,11,70,"3,833","1,250",153,187,244,140,316,314,367,394,152,316
2020,11,80,"2,476",807,87,132,177,105,227,196,229,209,118,189
2020,11,90,371,108,12,23,32,7,37,27,30,44,19,32
2020,11,100,27,10,2,0,3,0,2,5,3,1,1,0
2020,12,총,"25,394","10,139",836,"1,096","1,400",885,"1,950","1,792","1,870","2,860","1,073","1,493"
2020,12,0,"1,276",683,17,47,54,38,78,74,61,134,54,36
2020,12,10,"1,680",848,29,80,82,39,89,86,83,211,66,67
2020,12,20,"1,969",958,34,67,76,53,148,128,146,208,66,85
2020,12,30,"1,635",843,30,50,56,65,98,99,92,185,74,43
2020,12,40,"2,748","1,339",65,90,125,77,186,179,149,317,92,129
2020,12,50,"4,516","1,687",181,205,247,167,359,304,343,541,202,280
2020,12,60,"4,855","1,606",225,216,304,193,406,378,365,615,228,319
2020,12,70,"3,829","1,250",154,187,244,139,315,317,368,391,154,310
2020,12,80,"2,491",811,87,130,177,108,230,195,230,213,117,193
2020,12,90,367,104,12,24,32,6,39,27,30,43,19,31
2020,12,100,28,10,2,0,3,0,2,5,3,2,1,0
2021,1,총,"25,344","10,115",831,"1,096","1,398",873,"1,952","1,801","1,873","2,847","1,069","1,489"
2021,1,0,"1,261",675,16,46,54,38,78,71,59,133,56,35
2021,1,10,"1,663",845,27,81,80,37,85,88,81,209,63,67
2021,1,20,"1,939",943,33,67,76,50,146,128,149,199,65,83
2021,1,30,"1,635",845,29,50,57,64,100,103,91,182,72,42
2021,1,40,"2,723","1,332",62,92,122,74,181,179,147,314,93,127
2021,1,50,"4,516","1,677",183,202,251,163,366,307,346,548,197,276
2021,1,60,"4,887","1,618",226,220,301,198,411,381,365,616,229,322
2021,1,70,"3,825","1,251",153,185,242,136,315,317,370,390,156,310
2021,1,80,"2,497",813,88,129,178,108,229,195,230,213,118,196
2021,1,90,370,106,12,24,34,5,39,27,32,41,19,31
2021,1,100,28,10,2,0,3,0,2,5,3,2,1,0
2021,2,총,"25,302","10,082",833,"1,095","1,395",866,"1,957","1,804","1,863","2,850","1,069","1,488"
2021,2,0,"1,248",663,16,46,52,35,81,71,58,133,57,36
2021,2,10,"1,658",845,26,82,81,38,86,88,79,205,62,66
2021,2,20,"1,913",931,34,65,74,48,143,132,145,197,62,82
2021,2,30,"1,615",835,26,48,57,62,101,101,88,182,74,41
2021,2,40,"2,716","1,327",61,94,120,74,181,183,146,313,92,125
2021,2,50,"4,488","1,674",181,201,248,160,363,299,341,548,196,277
2021,2,60,"4,934","1,630",234,220,307,202,417,382,368,622,230,322
2021,2,70,"3,811","1,245",152,185,240,135,313,320,367,388,153,313
2021,2,80,"2,525",817,89,130,181,107,230,197,235,221,122,196
2021,2,90,367,105,12,24,32,5,40,27,33,39,20,30
2021,2,100,27,10,2,0,3,0,2,4,3,2,1,0
2021,3,총,"25,252","10,086",833,"1,085","1,381",864,"1,970","1,786","1,846","2,838","1,068","1,495"
2021,3,0,"1,241",665,16,43,52,34,84,68,57,133,55,34
2021,3,10,"1,648",836,24,82,81,39,88,86,82,204,61,65
2021,3,20,"1,913",941,33,63,69,47,143,128,143,201,62,83
2021,3,30,"1,595",827,25,48,56,59,100,98,83,182,75,42
2021,3,40,"2,678","1,312",64,93,118,68,186,178,142,300,91,126
2021,3,50,"4,462","1,677",179,193,246,160,362,295,341,546,192,271
2021,3,60,"4,988","1,643",235,225,309,208,425,388,362,621,240,332
2021,3,70,"3,807","1,247",153,184,240,137,311,318,365,391,149,312
2021,3,80,"2,531",819,89,130,180,107,228,199,238,219,123,199
2021,3,90,372,110,13,24,30,5,41,28,32,39,19,31
2021,3,100,17,9,2,0,0,0,2,0,1,2,1,0
2021,4,총,"25,244","10,074",837,"1,093","1,378",857,"1,974","1,786","1,844","2,844","1,065","1,492"
2021,4,0,"1,229",661,16,42,49,34,83,67,58,131,54,34
2021,4,10,"1,647",833,27,82,83,38,90,83,80,208,61,62
2021,4,20,"1,910",938,32,65,68,46,142,130,144,199,61,85
2021,4,30,"1,581",816,23,47,53,57,99,97,83,186,78,42
2021,4,40,"2,665","1,307",68,90,117,67,187,178,142,295,91,123
2021,4,50,"4,455","1,683",176,198,247,156,365,290,336,546,189,269
2021,4,60,"5,034","1,656",238,231,311,208,427,396,369,622,239,337
2021,4,70,"3,796","1,242",153,186,241,138,310,315,361,395,147,308
2021,4,80,"2,533",818,88,127,180,108,228,200,236,221,126,201
2021,4,90,377,111,14,25,29,5,41,30,34,39,18,31
2021,4,100,17,9,2,0,0,0,2,0,1,2,1,0
2021,5,총,"25,233","10,066",829,"1,094","1,375",866,"1,971","1,778","1,846","2,847","1,066","1,495"
2021,5,0,"1,221",659,16,42,48,34,82,66,58,130,52,34
2021,5,10,"1,637",832,23,83,83,40,89,81,80,204,62,60
2021,5,20,"1,901",934,34,64,68,47,144,127,141,196,60,86
2021,5,30,"1,581",809,23,46,54,61,99,95,86,191,75,42
2021,5,40,"2,640","1,294",64,91,114,65,187,175,139,291,96,124
2021,5,50,"4,458","1,681",176,198,249,159,364,288,337,549,187,270
2021,5,60,"5,039","1,663",235,232,307,210,423,398,369,623,242,337
2021,5,70,"3,806","1,249",151,183,245,138,312,315,363,397,146,307
2021,5,80,"2,547",827,91,130,178,107,227,203,235,222,125,202
2021,5,90,386,109,14,25,29,5,42,30,37,42,20,33
2021,5,100,17,9,2,0,0,0,2,0,1,2,1,0
2021,6,총,"25,181","10,046",828,"1,094","1,371",865,"1,961","1,771","1,843","2,843","1,063","1,496"
2021,6,0,"1,215",656,17,42,49,36,81,64,57,127,54,32
2021,6,10,"1,640",835,23,81,81,40,88,80,80,210,61,61
2021,6,20,"1,892",929,34,64,70,41,143,128,142,192,62,87
2021,6,30,"1,562",803,23,47,54,60,97,91,86,187,74,40
2021,6,40,"2,621","1,289",64,88,110,68,187,169,139,285,97,125
2021,6,50,"4,435","1,666",174,197,249,161,361,290,335,550,186,266
2021,6,60,"5,075","1,683",232,238,311,210,423,399,369,627,242,341
2021,6,70,"3,794","1,245",154,180,241,137,309,317,363,396,145,307
2021,6,80,"2,549",824,91,132,176,107,227,203,236,225,124,204
2021,6,90,382,107,14,25,30,5,43,30,35,43,17,33
2021,6,100,16,9,2,0,0,0,2,0,1,1,1,0
2021,7,총,"25,113","9,993",826,"1,088","1,360",865,"1,968","1,778","1,841","2,838","1,057","1,499"
2021,7,0,"1,202",642,15,43,47,35,83,65,58,130,51,33
2021,7,10,"1,634",836,22,81,81,42,90,79,79,206,58,60
2021,7,20,"1,871",913,35,63,67,38,144,126,141,191,65,88
2021,7,30,"1,546",786,22,47,53,60,100,94,85,187,71,41
2021,7,40,"2,600","1,289",61,86,105,67,187,166,139,279,98,123
2021,7,50,"4,406","1,650",170,192,247,161,354,296,333,552,183,268
2021,7,60,"5,113","1,689",239,242,314,214,429,402,370,626,245,343
2021,7,70,"3,785","1,244",154,179,240,136,311,314,359,397,143,308
2021,7,80,"2,554",826,92,130,176,106,226,205,240,226,125,202
2021,7,90,385,109,14,25,30,6,42,30,36,43,17,33
2021,7,100,17,9,2,0,0,0,2,1,1,1,1,0
2021,8,총,"25,063","9,996",820,"1,087","1,353",859,"1,955","1,773","1,836","2,831","1,052","1,501"
2021,8,0,"1,190",641,17,43,43,33,82,65,59,123,51,33
2021,8,10,"1,642",846,22,81,83,43,89,76,79,207,55,61
2021,8,20,"1,841",901,29,65,65,39,142,122,138,191,64,85
2021,8,30,"1,538",789,21,44,52,56,99,95,84,184,72,42
2021,8,40,"2,569","1,274",64,86,105,68,180,164,138,278,94,118
2021,8,50,"4,416","1,663",168,191,247,160,354,295,333,553,183,269
2021,8,60,"5,127","1,692",239,238,312,215,428,405,370,630,247,351
2021,8,70,"3,788","1,246",155,183,237,134,314,315,358,396,143,307
2021,8,80,"2,545",823,90,131,178,105,224,204,239,225,125,201
2021,8,90,390,112,13,25,31,6,41,31,37,43,17,34
2021,8,100,17,9,2,0,0,0,2,1,1,1,1,0
2021,9,총,"24,985","9,967",826,"1,084","1,354",853,"1,940","1,764","1,824","2,826","1,060","1,487"
2021,9,0,"1,161",631,16,40,42,32,82,66,53,116,52,31
2021,9,10,"1,633",840,23,80,83,39,84,77,80,208,58,61
2021,9,20,"1,810",892,29,65,64,40,137,119,133,187,64,80
2021,9,30,"1,524",777,22,43,53,55,98,92,85,183,76,40
2021,9,40,"2,565","1,282",63,86,105,65,181,161,137,277,93,115
2021,9,50,"4,397","1,657",170,189,245,159,351,293,331,550,183,269
2021,9,60,"5,147","1,700",240,242,316,216,426,406,367,636,247,351
2021,9,70,"3,779","1,240",157,182,238,134,315,313,361,395,141,303
2021,9,80,"2,563",828,91,132,177,107,222,206,237,230,129,204
2021,9,90,389,111,13,25,31,6,42,30,39,43,16,33
2021,9,100,17,9,2,0,0,0,2,1,1,1,1,0
2021,10,총,"24,941","9,958",829,"1,081","1,353",854,"1,931","1,752","1,820","2,816","1,051","1,496"
2021,10,0,"1,152",633,16,39,39,32,81,65,54,114,48,31
2021,10,10,"1,632",840,24,80,85,38,81,75,81,209,59,60
2021,10,20,"1,798",889,29,65,64,39,136,121,132,177,62,84
2021,10,30,"1,520",774,22,44,53,56,100,92,83,179,76,41
2021,10,40,"2,553","1,274",65,86,104,66,181,159,136,275,93,114
2021,10,50,"4,378","1,654",168,188,246,159,344,288,330,551,178,272
2021,10,60,"5,171","1,710",243,242,318,216,428,407,367,637,248,355
2021,10,70,"3,766","1,234",158,180,238,135,315,311,360,396,138,301
2021,10,80,"2,565",830,90,133,176,105,220,204,236,234,132,205
2021,10,90,390,111,13,24,30,8,43,29,40,43,16,33
2021,10,100,16,9,1,0,0,0,2,1,1,1,1,0
2021,11,총,"24,974","9,988",836,"1,070","1,353",854,"1,939","1,755","1,810","2,823","1,050","1,496"
2021,11,0,"1,151",634,16,37,37,32,80,66,55,115,49,30
2021,11,10,"1,636",850,25,75,87,39,78,75,79,210,59,59
2021,11,20,"1,801",894,29,62,65,41,143,119,128,178,59,83
2021,11,30,"1,512",768,21,43,52,54,102,94,80,181,76,41
2021,11,40,"2,546","1,274",64,85,105,68,182,155,134,272,91,116
2021,11,50,"4,392","1,667",170,190,245,159,341,289,329,551,180,271
2021,11,60,"5,205","1,715",246,243,318,214,434,412,370,643,251,359
2021,11,70,"3,750","1,234",162,175,239,134,309,309,360,394,138,296
2021,11,80,"2,580",833,89,136,176,104,226,206,236,235,130,209
2021,11,90,386,111,13,24,29,9,42,29,38,43,16,32
2021,11,100,15,8,1,0,0,0,2,1,1,1,1,0
2021,12,총,"24,987","9,974",840,"1,068","1,356",849,"1,950","1,757","1,818","2,834","1,049","1,492"
2021,12,0,"1,147",632,16,36,37,32,81,67,54,113,48,31
2021,12,10,"1,619",842,24,75,86,38,78,74,81,208,57,56
2021,12,20,"1,810",899,31,60,69,41,142,122,126,178,62,80
2021,12,30,"1,507",766,23,42,49,52,103,95,79,179,75,44
2021,12,40,"2,536","1,262",64,83,105,72,182,155,137,273,88,115
2021,12,50,"4,420","1,683",170,189,246,157,345,288,335,556,183,268
2021,12,60,"5,215","1,710",246,248,320,211,438,412,376,644,250,360
2021,12,70,"3,729","1,222",165,174,239,131,310,304,351,400,138,295
2021,12,80,"2,610",848,87,137,176,105,227,208,241,239,130,212
2021,12,90,386,109,13,24,29,10,42,31,37,43,17,31
2021,12,100,8,1,1,0,0,0,2,1,1,1,1,0
