년도,월,나이,서울특별시 용산구,서울특별시 용산구 후암동,서울특별시 용산구 용산2가동,서울특별시 용산구 남영동,서울특별시 용산구 청파동,서울특별시 용산구 원효로제1동,서울특별시 용산구 원효로제2동,서울특별시 용산구 효창동,서울특별시 용산구 용문동,서울특별시 용산구 한강로동,서울특별시 용산구 이촌제1동,서울특별시 용산구 이촌제2동,서울특별시 용산구 이태원제1동,서울특별시 용산구 이태원제2동,서울특별시 용산구 한남동,서울특별시 용산구 서빙고동,서울특별시 용산구 보광동
2020,8,0,"7,116",533,214,102,346,705,480,410,397,502,"1,457",296,124,227,660,404,259
2020,8,10,"8,063",726,297,145,656,446,517,401,448,478,"1,483",262,150,237,589,775,453
2020,8,20,"15,845","1,318",817,449,"1,698","1,037",887,735,879,"1,278","1,465",490,527,696,"1,411",909,"1,249"
2020,8,30,"18,958","1,471",910,561,"1,683","1,771","1,077",913,"1,003","1,767","1,665",766,623,850,"1,991",713,"1,194"
2020,8,40,"17,597","1,360",736,740,"1,399","1,380","1,149",749,929,"1,276","2,249",602,445,646,"1,685","1,191","1,061"
2020,8,50,"18,183","1,423",678,"1,189","1,535","1,086","1,167",756,981,"1,526","2,189",652,524,581,"1,568","1,115","1,213"
2020,8,60,"13,427","1,029",646,942,"1,073",782,806,482,683,"1,158","1,411",591,481,496,"1,285",696,866
2020,8,70,"7,465",584,424,413,653,383,467,266,404,622,756,335,239,355,713,325,526
2020,8,80,"3,137",186,146,136,250,151,185,125,149,255,449,117,134,160,276,227,191
2020,8,90,506,37,23,29,26,25,20,20,13,52,97,11,22,24,47,28,32
2020,8,100,106,5,7,16,10,4,4,2,5,15,8,2,6,3,9,3,7
2020,9,총,"110,604","8,645","4,872","4,698","9,326","7,729","6,741","4,855","5,862","9,294","13,219","4,116","3,278","4,270","10,255","6,360","7,084"
2020,9,0,"7,077",523,203,100,335,693,483,403,390,530,"1,463",290,121,224,658,403,258
2020,9,10,"8,073",723,293,144,650,450,507,402,440,505,"1,478",261,151,239,591,769,470
2020,9,20,"15,862","1,309",818,453,"1,697","1,025",885,736,876,"1,328","1,463",482,526,700,"1,422",899,"1,243"
2020,9,30,"18,972","1,478",910,562,"1,681","1,761","1,068",918,998,"1,825","1,644",767,622,837,"1,978",723,"1,200"
2020,9,40,"17,591","1,354",726,727,"1,399","1,364","1,146",745,915,"1,326","2,236",609,448,650,"1,690","1,182","1,074"
2020,9,50,"18,259","1,414",673,"1,169","1,540","1,086","1,163",758,988,"1,607","2,203",650,522,582,"1,574","1,113","1,217"
2020,9,60,"13,547","1,028",651,942,"1,085",793,809,484,684,"1,211","1,428",592,479,500,"1,298",690,873
2020,9,70,"7,447",584,421,418,643,377,471,262,404,634,747,335,244,350,711,327,519
2020,9,80,"3,163",190,149,137,260,152,185,124,149,262,454,116,137,161,276,222,189
2020,9,90,509,37,22,30,26,24,20,21,13,52,95,12,22,24,48,29,34
2020,9,100,104,5,6,16,10,4,4,2,5,14,8,2,6,3,9,3,7
2020,10,총,"110,754","8,646","4,849","4,671","9,308","7,743","6,711","4,858","5,863","9,606","13,214","4,104","3,302","4,255","10,221","6,336","7,067"
2020,10,0,"7,044",506,199,97,331,682,476,409,387,562,"1,453",286,127,219,655,399,256
2020,10,10,"8,033",721,287,149,636,445,500,402,438,525,"1,475",263,148,239,590,754,461
2020,10,20,"15,903","1,316",802,452,"1,688","1,030",891,733,877,"1,375","1,473",483,535,698,"1,410",896,"1,244"
2020,10,30,"18,994","1,484",906,555,"1,686","1,786","1,054",916,996,"1,862","1,640",747,626,825,"1,988",723,"1,200"
2020,10,40,"17,588","1,348",726,718,"1,394","1,358","1,141",745,914,"1,368","2,226",617,446,662,"1,684","1,179","1,062"
2020,10,50,"18,296","1,407",678,"1,158","1,538","1,090","1,162",755,981,"1,674","2,211",648,525,578,"1,566","1,110","1,215"
2020,10,60,"13,650","1,041",652,953,"1,094",794,809,493,693,"1,258","1,426",594,481,499,"1,292",695,876
2020,10,70,"7,438",586,421,406,644,375,466,259,408,654,745,334,245,348,702,325,520
2020,10,80,"3,191",195,150,138,261,156,188,122,150,262,462,118,141,160,276,220,192
2020,10,90,512,37,22,29,26,23,20,22,14,52,95,12,22,24,48,32,34
2020,10,100,105,5,6,16,10,4,4,2,5,14,8,2,6,3,10,3,7
2020,11,총,"110,776","8,601","4,826","4,648","9,322","7,743","6,696","4,861","5,868","9,787","13,176","4,104","3,298","4,261","10,189","6,354","7,042"
2020,11,0,"7,011",497,195,95,330,672,468,409,385,579,"1,450",289,123,227,636,403,253
