년도,월,나이,경기도 김포시,경기도 김포시 통진읍,경기도 김포시 고촌읍,경기도 김포시 양촌읍,경기도 김포시 대곶면,경기도 김포시 월곶면,경기도 김포시 하성면,경기도 김포시 김포본동,경기도 김포시 장기본동,경기도 김포시 사우동,경기도 김포시 풍무동,경기도 김포시 장기동,경기도 김포시 구래동,경기도 김포시 마산동,경기도 김포시 운양동
2020,2,40,"42,447","2,321","2,494","2,509",865,393,592,"4,217","4,157","1,994","5,822","4,641","3,980","3,004","5,458"
2020,2,50,"32,358","2,819","2,144","2,503","1,430",691,"1,002","4,760","2,392","2,128","4,386","2,370","1,682","1,379","2,672"
2020,2,60,"21,670","2,003","1,832","1,927","1,076",679,867,"2,769","1,317","1,246","2,652","1,416","1,167","1,094","1,625"
2020,2,70,"11,294",889,877,960,509,372,485,"1,356",775,636,"1,497",781,567,727,863
2020,2,80,"3,633",356,251,308,198,139,212,513,236,219,454,199,152,157,239
2020,2,90,332,32,30,27,19,12,25,54,17,12,38,14,13,19,20
2020,2,100,18,2,3,4,0,1,2,4,1,0,0,0,0,1,0
2020,3,총,"222,353","14,161","14,967","14,263","5,696","3,041","4,518","25,154","19,123","11,616","30,412","20,335","19,690","15,133","24,244"
2020,3,0,"26,741",937,"1,728","1,083",173,73,158,"1,957","2,701",925,"3,754","3,223","3,362","2,598","4,069"
2020,3,10,"23,163","1,262","1,517","1,214",315,134,265,"3,043","2,788","1,138","3,628","2,408","1,664","1,218","2,569"
2020,3,20,"25,009","1,879","1,536","1,567",579,304,514,"3,745","1,873","1,757","3,631","1,965","2,172","1,281","2,206"
2020,3,30,"34,809","1,655","2,188","2,010",543,246,387,"2,726","2,748","1,545","4,501","3,272","4,873","3,640","4,475"
2020,3,40,"42,710","2,303","2,715","2,566",852,383,585,"4,195","4,187","1,990","5,805","4,640","4,003","3,019","5,467"
2020,3,50,"32,533","2,806","2,197","2,531","1,414",703,"1,002","4,765","2,431","2,126","4,409","2,388","1,695","1,379","2,687"
2020,3,60,"21,955","2,031","1,889","1,977","1,090",678,883,"2,787","1,353","1,257","2,679","1,429","1,173","1,091","1,638"
2020,3,70,"11,405",895,904,973,515,373,483,"1,352",780,645,"1,510",795,578,731,871
2020,3,80,"3,679",359,261,312,196,134,214,524,244,220,459,201,159,155,241
2020,3,90,332,32,29,27,19,12,25,56,17,13,36,14,11,20,21
2020,3,100,17,2,3,3,0,1,2,4,1,0,0,0,0,1,0
2020,4,총,"223,443","14,136","15,451","14,697","5,679","3,038","4,513","25,171","19,293","11,591","30,446","20,309","19,781","15,132","24,206"
2020,4,0,"26,727",915,"1,816","1,134",173,76,156,"1,951","2,702",914,"3,720","3,199","3,350","2,580","4,041"
2020,4,10,"23,231","1,249","1,568","1,233",313,136,268,"3,017","2,804","1,133","3,626","2,416","1,666","1,229","2,573"
2020,4,20,"25,184","1,897","1,571","1,602",579,298,505,"3,772","1,909","1,756","3,649","1,959","2,204","1,282","2,201"
2020,4,30,"35,028","1,639","2,319","2,131",546,241,387,"2,722","2,769","1,541","4,502","3,261","4,909","3,634","4,427"
2020,4,40,"42,889","2,299","2,810","2,641",841,385,584,"4,186","4,219","1,982","5,798","4,619","4,028","3,021","5,476"
2020,4,50,"32,742","2,795","2,241","2,601","1,405",702,"1,002","4,771","2,466","2,131","4,428","2,420","1,701","1,377","2,702"
2020,4,60,"22,099","2,041","1,913","2,017","1,088",679,886,"2,811","1,377","1,255","2,699","1,423","1,173","1,091","1,646"
2020,4,70,"11,488",907,917,992,522,375,483,"1,357",785,639,"1,521",794,578,743,875
2020,4,80,"3,703",358,265,315,193,132,216,523,244,227,466,204,161,154,245
2020,4,90,335,34,28,28,19,13,24,57,17,13,37,14,11,20,20
2020,4,100,17,2,3,3,0,1,2,4,1,0,0,0,0,1,0
2020,5,총,"224,224","14,108","15,752","14,907","5,680","3,030","4,504","25,334","19,314","11,549","30,443","20,299","19,895","15,176","24,233"
2020,5,0,"26,734",902,"1,865","1,161",172,77,151,"1,972","2,680",902,"3,724","3,175","3,336","2,582","4,035"
2020,5,10,"23,303","1,243","1,586","1,239",313,132,271,"3,002","2,823","1,138","3,616","2,424","1,689","1,247","2,580"
2020,5,20,"25,254","1,896","1,601","1,623",572,298,493,"3,794","1,912","1,727","3,644","1,959","2,233","1,286","2,216"
2020,5,30,"35,044","1,629","2,395","2,172",544,239,392,"2,763","2,758","1,531","4,483","3,238","4,911","3,616","4,373"
2020,5,40,"43,108","2,295","2,874","2,671",835,385,574,"4,216","4,224","1,981","5,798","4,631","4,072","3,046","5,506"
2020,5,50,"32,883","2,793","2,281","2,647","1,401",698,"1,003","4,779","2,480","2,128","4,424","2,427","1,716","1,378","2,728"
2020,5,60,"22,267","2,057","1,919","2,048","1,103",679,886,"2,840","1,388","1,267","2,720","1,430","1,182","1,099","1,649"
2020,5,70,"11,552",894,930,999,527,373,489,"1,379",786,638,"1,527",796,585,749,880
2020,5,80,"3,724",365,268,317,194,136,219,528,245,223,469,204,160,152,244
2020,5,90,337,32,30,27,19,12,24,57,16,14,38,15,11,20,22
2020,5,100,18,2,3,3,0,1,2,4,2,0,0,0,0,1,0
2020,6,총,"225,141","14,123","15,954","15,012","5,702","3,033","4,507","25,458","19,347","11,552","30,504","20,333","20,041","15,268","24,307"
2020,6,0,"26,808",901,"1,886","1,178",175,75,152,"1,985","2,667",907,"3,717","3,176","3,354","2,583","4,052"
2020,6,10,"23,348","1,232","1,599","1,246",310,137,266,"2,995","2,832","1,127","3,622","2,442","1,688","1,265","2,587"
2020,6,20,"25,376","1,911","1,632","1,632",578,305,497,"3,769","1,916","1,725","3,653","1,948","2,272","1,303","2,235"
2020,6,30,"35,139","1,629","2,431","2,178",550,229,389,"2,829","2,766","1,547","4,460","3,254","4,939","3,587","4,351"
2020,6,40,"43,324","2,297","2,932","2,681",836,394,572,"4,232","4,226","1,961","5,815","4,633","4,112","3,087","5,546"
2020,6,50,"32,946","2,782","2,292","2,665","1,396",692,"1,005","4,774","2,488","2,123","4,437","2,421","1,727","1,399","2,745"
2020,6,60,"22,488","2,083","1,943","2,078","1,111",681,885,"2,889","1,399","1,284","2,747","1,439","1,190","1,114","1,645"
2020,6,70,"11,603",889,934,"1,003",531,374,496,"1,392",792,639,"1,540",796,588,752,877
2020,6,80,"3,750",365,271,319,197,133,218,532,243,224,474,209,162,156,247
2020,6,90,340,32,31,29,18,12,25,57,16,15,38,15,9,21,22
2020,6,100,19,2,3,3,0,1,2,4,2,0,1,0,0,1,0
2020,7,총,"226,602","14,165","16,006","15,007","5,723","3,039","4,488","26,522","19,353","11,528","30,493","20,314","20,417","15,294","24,253"
2020,7,0,"26,946",908,"1,883","1,168",175,72,146,"2,182","2,636",904,"3,695","3,163","3,411","2,575","4,028"
2020,7,10,"23,457","1,230","1,610","1,254",310,139,261,"3,053","2,832","1,122","3,617","2,443","1,715","1,272","2,599"
2020,7,20,"25,578","1,922","1,637","1,621",591,308,495,"3,871","1,936","1,721","3,674","1,944","2,330","1,310","2,218"
2020,7,30,"35,355","1,643","2,461","2,167",547,227,391,"3,125","2,740","1,531","4,433","3,235","5,000","3,560","4,295"
2020,7,40,"43,634","2,284","2,926","2,682",840,392,568,"4,416","4,238","1,962","5,803","4,638","4,203","3,121","5,561"
2020,7,50,"33,106","2,788","2,280","2,670","1,389",697,"1,001","4,882","2,493","2,119","4,452","2,426","1,768","1,409","2,732"
2020,7,60,"22,717","2,092","1,970","2,088","1,119",678,885,"2,983","1,418","1,289","2,766","1,441","1,210","1,109","1,669"
2020,7,70,"11,675",893,935,"1,004",535,378,498,"1,415",797,641,"1,541",796,601,756,885
2020,7,80,"3,778",370,271,320,198,135,220,536,246,225,474,213,168,159,243
2020,7,90,338,33,30,30,19,12,21,55,16,14,37,15,11,22,23
2020,7,100,18,2,3,3,0,1,2,4,1,0,1,0,0,1,0
2020,8,총,"229,922","14,127","18,010","15,070","5,719","3,024","4,489","28,731","19,198","11,359","30,235","20,203","20,520","15,211","24,026"
2020,8,0,"27,408",885,"2,308","1,167",174,72,143,"2,635","2,593",883,"3,578","3,097","3,374","2,533","3,966"
2020,8,10,"23,714","1,226","1,786","1,250",305,138,260,"3,233","2,789","1,096","3,568","2,466","1,735","1,274","2,588"
2020,8,20,"25,869","1,912","1,775","1,623",584,303,494,"4,051","1,925","1,686","3,685","1,938","2,407","1,294","2,192"
2020,8,30,"36,076","1,633","2,945","2,165",542,221,392,"3,626","2,705","1,497","4,412","3,198","4,979","3,525","4,236"
2020,8,40,"44,356","2,276","3,385","2,693",831,388,561,"4,886","4,200","1,925","5,717","4,616","4,243","3,117","5,518"
2020,8,50,"33,462","2,784","2,459","2,691","1,397",693,"1,000","5,084","2,493","2,093","4,448","2,422","1,775","1,408","2,715"
2020,8,60,"23,061","2,110","2,067","2,114","1,129",682,895,"3,135","1,422","1,295","2,767","1,440","1,224","1,121","1,660"
2020,8,70,"11,776",894,967,"1,007",532,376,498,"1,474",805,645,"1,540",795,605,753,885
2020,8,80,"3,841",373,286,327,205,137,223,544,248,225,483,215,168,163,244
2020,8,90,340,32,29,30,20,13,21,60,16,14,36,16,9,22,22
2020,8,100,19,2,3,3,0,1,2,3,2,0,1,0,1,1,0
2020,9,총,"232,501","14,138","19,434","15,069","5,686","3,021","4,475","29,894","19,206","11,308","30,259","20,172","20,577","15,288","23,974"
2020,9,0,"27,665",876,"2,562","1,155",171,71,145,"2,866","2,575",863,"3,551","3,039","3,334","2,541","3,916"
2020,9,10,"23,966","1,233","1,920","1,263",302,139,262,"3,297","2,793","1,081","3,574","2,477","1,741","1,281","2,603"
2020,9,20,"26,154","1,898","1,899","1,620",581,299,482,"4,152","1,946","1,695","3,679","1,950","2,468","1,310","2,175"
2020,9,30,"36,679","1,642","3,292","2,145",538,220,391,"3,944","2,689","1,479","4,441","3,182","4,982","3,515","4,219"
2020,9,40,"44,842","2,272","3,663","2,686",819,387,557,"5,112","4,179","1,913","5,717","4,619","4,240","3,154","5,524"
2020,9,50,"33,723","2,781","2,610","2,700","1,390",686,995,"5,172","2,519","2,086","4,456","2,409","1,791","1,414","2,714"
2020,9,60,"23,373","2,129","2,170","2,129","1,130",685,902,"3,225","1,429","1,305","2,771","1,466","1,242","1,123","1,667"
2020,9,70,"11,878",896,994,"1,013",532,384,496,"1,513",808,642,"1,549",798,603,763,887
2020,9,80,"3,861",376,290,325,203,134,222,552,249,229,489,216,165,164,247
2020,9,90,341,33,31,30,20,15,21,58,17,15,31,16,10,22,22
2020,9,100,19,2,3,3,0,1,2,3,2,0,1,0,1,1,0
2020,10,총,"234,117","14,148","20,084","15,143","5,679","3,031","4,468","30,397","19,193","11,327","30,299","20,240","20,677","15,364","24,067"
2020,10,0,"27,811",872,"2,669","1,179",170,72,144,"2,951","2,550",859,"3,535","3,040","3,314","2,544","3,912"
2020,10,10,"24,094","1,233","1,968","1,272",301,136,259,"3,340","2,794","1,080","3,573","2,479","1,755","1,288","2,616"
2020,10,20,"26,323","1,890","1,959","1,615",566,303,476,"4,203","1,956","1,693","3,684","1,975","2,487","1,326","2,190"
2020,10,30,"36,926","1,640","3,428","2,137",544,227,390,"4,050","2,673","1,487","4,440","3,200","4,999","3,520","4,191"
2020,10,40,"45,255","2,267","3,811","2,703",819,381,559,"5,218","4,171","1,911","5,747","4,635","4,265","3,181","5,587"
2020,10,50,"33,893","2,783","2,676","2,716","1,389",690,985,"5,220","2,540","2,087","4,436","2,402","1,822","1,425","2,722"
2020,10,60,"23,622","2,156","2,223","2,140","1,137",688,913,"3,262","1,430","1,315","2,800","1,485","1,251","1,130","1,692"
2020,10,70,"11,929",893,"1,025","1,017",529,387,498,"1,536",801,643,"1,554",788,609,762,887
2020,10,80,"3,893",376,290,329,204,132,221,558,257,237,495,221,162,164,247
2020,10,90,352,36,33,32,20,14,21,56,19,15,33,15,12,23,23
2020,10,100,19,2,2,3,0,1,2,3,2,0,2,0,1,1,0
2020,11,총,"235,230","14,185","20,441","15,208","5,698","3,039","4,469","30,566","19,235","11,368","30,379","20,271","20,803","15,406","24,162"
2020,11,0,"27,839",873,"2,712","1,175",173,73,143,"2,990","2,556",853,"3,512","3,017","3,317","2,545","3,900"
2020,11,10,"24,167","1,229","2,019","1,274",301,132,257,"3,326","2,796","1,084","3,559","2,494","1,766","1,299","2,631"
2020,11,20,"26,597","1,899","2,011","1,631",567,306,480,"4,222","1,970","1,698","3,740","2,002","2,507","1,329","2,235"
2020,11,30,"37,037","1,661","3,475","2,152",546,232,394,"4,075","2,684","1,476","4,464","3,182","5,007","3,502","4,187"
2020,11,40,"45,534","2,247","3,890","2,707",815,380,551,"5,268","4,177","1,928","5,761","4,656","4,314","3,216","5,624"
2020,11,50,"33,997","2,789","2,717","2,726","1,380",691,976,"5,242","2,537","2,090","4,447","2,406","1,841","1,423","2,732"
2020,11,60,"23,794","2,177","2,242","2,161","1,158",690,923,"3,296","1,442","1,336","2,804","1,476","1,254","1,138","1,697"
2020,11,70,"11,964",898,"1,044","1,012",534,386,497,"1,529",801,649,"1,554",796,617,763,884
2020,11,80,"3,924",372,298,334,204,134,225,562,251,239,499,226,165,168,247
2020,11,90,358,38,31,33,20,14,21,53,19,15,37,16,14,22,25
2020,11,100,19,2,2,3,0,1,2,3,2,0,2,0,1,1,0
2020,12,총,"237,507","14,230","22,166","15,241","5,704","3,027","4,467","30,624","19,227","11,373","30,393","20,254","20,847","15,758","24,196"
2020,12,0,"28,161",868,"3,096","1,168",177,72,145,"3,006","2,540",838,"3,493","2,980","3,283","2,596","3,899"
2020,12,10,"24,310","1,235","2,157","1,278",297,125,254,"3,314","2,790","1,093","3,556","2,491","1,767","1,325","2,628"
2020,12,20,"26,896","1,911","2,128","1,625",564,312,486,"4,240","1,987","1,704","3,762","2,009","2,553","1,376","2,239"
2020,12,30,"37,568","1,663","3,930","2,165",544,234,392,"4,087","2,663","1,457","4,460","3,188","5,007","3,558","4,220"
2020,12,40,"46,006","2,240","4,278","2,721",812,371,549,"5,284","4,167","1,934","5,776","4,630","4,317","3,317","5,610"
2020,12,50,"34,160","2,810","2,848","2,742","1,379",688,964,"5,223","2,536","2,081","4,429","2,432","1,850","1,458","2,720"
2020,12,60,"24,064","2,195","2,315","2,163","1,170",693,935,"3,325","1,453","1,350","2,818","1,482","1,272","1,177","1,716"
2020,12,70,"12,023",903,"1,082","1,012",537,385,496,"1,521",816,660,"1,552",795,621,756,887
2020,12,80,"3,940",362,299,332,203,132,222,568,254,240,508,232,164,172,252
2020,12,90,360,41,31,32,21,14,22,53,19,16,37,15,12,22,25
2020,12,100,19,2,2,3,0,1,2,3,2,0,2,0,1,1,0
2021,1,총,"239,165","14,279","22,880","15,264","5,712","3,033","4,459","30,598","19,186","11,435","30,477","20,221","20,919","16,428","24,274"
2021,1,0,"28,281",860,"3,233","1,170",176,69,142,"2,997","2,505",835,"3,496","2,952","3,266","2,689","3,891"
2021,1,10,"24,514","1,238","2,245","1,279",292,123,251,"3,304","2,810","1,100","3,555","2,479","1,770","1,411","2,657"
2021,1,20,"27,065","1,932","2,159","1,621",569,319,492,"4,228","1,966","1,707","3,798","2,010","2,585","1,438","2,241"
2021,1,30,"37,701","1,651","4,053","2,156",544,232,387,"4,069","2,634","1,467","4,453","3,188","4,989","3,675","4,203"
2021,1,40,"46,467","2,261","4,474","2,714",800,373,548,"5,311","4,170","1,940","5,775","4,629","4,366","3,464","5,642"
2021,1,50,"34,298","2,795","2,891","2,757","1,380",675,953,"5,196","2,536","2,106","4,444","2,430","1,854","1,535","2,746"
2021,1,60,"24,374","2,221","2,383","2,176","1,189",707,945,"3,344","1,471","1,351","2,841","1,494","1,286","1,242","1,724"
2021,1,70,"12,081",913,"1,105","1,023",536,385,496,"1,512",816,669,"1,553",788,627,768,890
2021,1,80,"4,002",362,307,333,204,134,219,583,258,244,523,235,162,183,255
2021,1,90,362,44,28,31,22,15,24,51,18,16,37,16,13,22,25
2021,1,100,20,2,2,4,0,1,2,3,2,0,2,0,1,1,0
2021,2,총,"240,076","14,318","23,254","15,293","5,744","3,028","4,459","30,577","19,165","11,440","30,463","20,167","21,054","16,810","24,304"
2021,2,0,"28,279",852,"3,312","1,150",180,70,140,"3,001","2,488",828,"3,471","2,908","3,248","2,745","3,886"
2021,2,10,"24,625","1,250","2,295","1,287",286,121,249,"3,286","2,799","1,099","3,558","2,474","1,789","1,454","2,678"
2021,2,20,"27,076","1,951","2,170","1,610",572,318,491,"4,213","1,976","1,700","3,787","2,005","2,617","1,443","2,223"
2021,2,30,"37,704","1,630","4,087","2,157",546,234,395,"4,063","2,608","1,469","4,434","3,164","4,994","3,738","4,185"
2021,2,40,"46,736","2,262","4,604","2,725",809,370,546,"5,318","4,158","1,920","5,773","4,628","4,407","3,565","5,651"
2021,2,50,"34,508","2,796","2,930","2,768","1,391",671,957,"5,179","2,560","2,118","4,461","2,439","1,880","1,596","2,762"
2021,2,60,"24,562","2,245","2,401","2,200","1,198",707,942,"3,361","1,477","1,363","2,850","1,502","1,310","1,267","1,739"
2021,2,70,"12,145",917,"1,118","1,026",531,386,499,"1,513",816,673,"1,561",789,631,787,898
2021,2,80,"4,048",367,307,336,209,135,213,586,263,252,530,241,162,191,256
2021,2,90,374,46,28,30,22,15,25,54,19,18,36,17,15,23,26
2021,2,100,19,2,2,4,0,1,2,3,1,0,2,0,1,1,0
2021,3,총,"240,514","14,363","23,426","15,277","5,714","3,025","4,443","30,482","19,100","11,443","30,373","20,219","21,323","17,016","24,310"
2021,3,0,"28,198",851,"3,339","1,148",177,67,141,"2,992","2,463",830,"3,434","2,894","3,263","2,746","3,853"
2021,3,10,"24,722","1,248","2,328","1,298",284,118,245,"3,269","2,792","1,096","3,576","2,464","1,811","1,496","2,697"
2021,3,20,"27,181","1,986","2,179","1,605",572,322,484,"4,191","1,988","1,686","3,766","2,039","2,659","1,473","2,231"
2021,3,30,"37,635","1,634","4,117","2,142",539,231,392,"4,040","2,567","1,470","4,405","3,167","5,028","3,769","4,134"
2021,3,40,"46,856","2,249","4,631","2,735",790,373,538,"5,309","4,137","1,917","5,771","4,630","4,479","3,626","5,671"
2021,3,50,"34,553","2,788","2,942","2,747","1,380",662,957,"5,168","2,573","2,110","4,451","2,448","1,928","1,611","2,788"
2021,3,60,"24,775","2,263","2,426","2,215","1,211",715,958,"3,372","1,483","1,385","2,854","1,520","1,341","1,288","1,744"
2021,3,70,"12,147",927,"1,122","1,022",534,388,491,"1,501",807,678,"1,543",802,632,791,909
2021,3,80,"4,063",370,313,334,206,133,211,587,267,254,533,239,167,193,256
2021,3,90,370,45,28,29,21,16,24,52,22,17,38,15,14,22,27
2021,3,100,14,2,1,2,0,0,2,1,1,0,2,1,1,1,0
2021,4,총,"241,239","14,564","23,606","15,335","5,730","3,035","4,450","30,421","19,079","11,457","30,332","20,260","21,533","17,124","24,313"
2021,4,0,"28,162",852,"3,357","1,157",178,67,138,"2,997","2,433",822,"3,413","2,875","3,279","2,760","3,834"
2021,4,10,"24,796","1,242","2,351","1,299",283,116,246,"3,251","2,802","1,095","3,568","2,463","1,856","1,510","2,714"
2021,4,20,"27,346","2,015","2,192","1,622",573,325,492,"4,177","1,996","1,689","3,780","2,053","2,698","1,502","2,232"
2021,4,30,"37,617","1,666","4,134","2,154",549,234,389,"4,030","2,553","1,466","4,389","3,150","5,027","3,781","4,095"
2021,4,40,"47,020","2,257","4,688","2,734",789,373,543,"5,305","4,136","1,925","5,760","4,655","4,532","3,638","5,685"
2021,4,50,"34,657","2,828","2,975","2,753","1,366",664,957,"5,145","2,579","2,103","4,442","2,458","1,964","1,624","2,799"
2021,4,60,"24,983","2,326","2,447","2,230","1,231",718,964,"3,372","1,478","1,410","2,860","1,528","1,355","1,309","1,755"
2021,4,70,"12,180",961,"1,118","1,013",533,385,490,"1,500",814,677,"1,540",813,638,784,914
2021,4,80,"4,095",370,316,341,209,138,209,589,262,252,540,249,168,194,258
2021,4,90,372,45,27,30,19,15,22,54,25,18,38,15,15,22,27
2021,4,100,11,2,1,2,0,0,0,1,1,0,2,1,1,0,0
2021,5,총,"241,645","14,622","23,741","15,340","5,747","3,017","4,459","30,334","19,047","11,448","30,293","20,262","21,700","17,290","24,345"
2021,5,0,"28,131",851,"3,364","1,156",176,63,133,"2,996","2,409",818,"3,391","2,856","3,275","2,807","3,836"
2021,5,10,"24,853","1,229","2,353","1,292",289,121,244,"3,242","2,818","1,089","3,562","2,470","1,899","1,514","2,731"
2021,5,20,"27,326","2,009","2,195","1,624",566,315,501,"4,148","1,993","1,679","3,776","2,045","2,721","1,529","2,225"
2021,5,30,"37,568","1,687","4,158","2,135",559,239,394,"3,994","2,536","1,469","4,370","3,140","5,065","3,782","4,040"
2021,5,40,"47,088","2,254","4,719","2,739",791,370,527,"5,281","4,126","1,921","5,754","4,664","4,558","3,668","5,716"
2021,5,50,"34,770","2,848","2,996","2,757","1,359",656,962,"5,136","2,587","2,104","4,451","2,470","1,978","1,648","2,818"
2021,5,60,"25,171","2,340","2,477","2,247","1,238",715,976,"3,406","1,474","1,418","2,863","1,537","1,368","1,330","1,782"
2021,5,70,"12,227",983,"1,129","1,016",538,385,492,"1,489",813,679,"1,545",816,647,790,905
2021,5,80,"4,124",374,318,340,212,137,209,588,266,254,539,248,174,199,266
2021,5,90,375,45,30,32,19,16,21,53,24,17,40,15,14,23,26
2021,5,100,12,2,2,2,0,0,0,1,1,0,2,1,1,0,0
2021,6,총,"242,136","14,837","23,824","15,344","5,766","3,003","4,452","30,256","19,030","11,444","30,270","20,284","21,867","17,428","24,331"
2021,6,0,"28,090",870,"3,372","1,155",174,62,133,"2,979","2,385",815,"3,378","2,833","3,276","2,836","3,822"
2021,6,10,"24,951","1,240","2,375","1,290",291,118,246,"3,233","2,829","1,091","3,565","2,488","1,912","1,527","2,746"
2021,6,20,"27,330","2,038","2,186","1,621",565,313,498,"4,147","1,985","1,674","3,769","2,049","2,747","1,527","2,211"
2021,6,30,"37,517","1,717","4,151","2,139",561,239,392,"3,969","2,523","1,474","4,336","3,113","5,089","3,803","4,011"
2021,6,40,"47,271","2,299","4,757","2,752",789,364,529,"5,258","4,123","1,923","5,770","4,675","4,595","3,709","5,728"
2021,6,50,"34,768","2,865","3,004","2,728","1,375",652,956,"5,105","2,601","2,084","4,437","2,482","2,012","1,655","2,812"
2021,6,60,"25,386","2,392","2,499","2,258","1,249",711,979,"3,419","1,476","1,432","2,873","1,552","1,391","1,356","1,799"
2021,6,70,"12,257",993,"1,123","1,016",530,389,490,"1,499",813,681,"1,554",822,653,787,907
2021,6,80,"4,174",376,326,354,211,139,208,591,270,253,543,254,175,205,269
2021,6,90,380,45,29,29,21,16,21,55,24,17,43,15,16,23,26
2021,6,100,12,2,2,2,0,0,0,1,1,0,2,1,1,0,0
2021,7,총,"242,493","15,070","23,904","15,359","5,781","3,000","4,443","30,218","18,985","11,434","30,246","20,250","21,986","17,486","24,331"
2021,7,0,"28,010",888,"3,386","1,161",170,60,127,"2,975","2,343",815,"3,357","2,819","3,269","2,838","3,802"
2021,7,10,"25,049","1,249","2,388","1,301",292,116,247,"3,225","2,842","1,089","3,566","2,495","1,935","1,550","2,754"
2021,7,20,"27,332","2,074","2,184","1,628",574,315,493,"4,138","1,982","1,670","3,747","2,042","2,761","1,513","2,211"
2021,7,30,"37,384","1,744","4,133","2,135",563,236,393,"3,944","2,505","1,464","4,319","3,071","5,091","3,806","3,980"
2021,7,40,"47,397","2,346","4,795","2,740",794,368,526,"5,250","4,111","1,917","5,753","4,681","4,634","3,734","5,748"
2021,7,50,"34,882","2,908","3,016","2,723","1,378",654,950,"5,097","2,602","2,085","4,456","2,492","2,032","1,663","2,826"
2021,7,60,"25,537","2,428","2,514","2,271","1,249",710,985,"3,441","1,481","1,440","2,886","1,548","1,418","1,362","1,804"
2021,7,70,"12,286","1,004","1,126","1,011",526,385,487,"1,500",826,683,"1,563",829,654,788,904
2021,7,80,"4,224",382,332,358,214,140,214,591,269,254,554,257,175,207,277
2021,7,90,379,45,28,29,21,16,21,55,23,17,43,15,16,25,25
2021,7,100,13,2,2,2,0,0,0,2,1,0,2,1,1,0,0
2021,8,총,"242,792","15,283","23,923","15,327","5,771","3,007","4,451","30,146","19,003","11,402","30,247","20,223","22,133","17,537","24,339"
2021,8,0,"27,928",902,"3,390","1,145",169,60,130,"2,969","2,339",808,"3,345","2,784","3,267","2,850","3,770"
2021,8,10,"25,135","1,272","2,393","1,299",292,110,249,"3,212","2,831","1,090","3,575","2,527","1,953","1,558","2,774"
2021,8,20,"27,208","2,085","2,164","1,609",584,321,493,"4,097","1,977","1,649","3,738","2,011","2,789","1,492","2,199"
2021,8,30,"37,321","1,783","4,096","2,141",554,240,391,"3,951","2,505","1,466","4,302","3,057","5,096","3,777","3,962"
2021,8,40,"47,506","2,362","4,831","2,724",779,359,536,"5,226","4,125","1,907","5,748","4,691","4,679","3,785","5,754"
2021,8,50,"35,010","2,968","3,024","2,725","1,370",659,945,"5,085","2,608","2,076","4,467","2,502","2,060","1,678","2,843"
2021,8,60,"25,688","2,461","2,532","2,285","1,256",718,985,"3,455","1,495","1,451","2,896","1,544","1,429","1,372","1,809"
2021,8,70,"12,334","1,011","1,130","1,010",532,382,483,"1,499",830,682,"1,571",830,666,791,917
2021,8,80,"4,268",390,334,357,216,142,218,595,269,255,558,262,178,208,286
