년도,월,나이,대전광역시 동구,대전광역시 동구 중앙동,대전광역시 동구 효동,대전광역시 동구 신인동,대전광역시 동구 판암1동,대전광역시 동구 판암2동,대전광역시 동구 용운동,대전광역시 동구 대동,대전광역시 동구 자양동,대전광역시 동구 가양1동,대전광역시 동구 가양2동,대전광역시 동구 용전동,대전광역시 동구 성남동,대전광역시 동구 홍도동,대전광역시 동구 삼성동,대전광역시 동구 대청동,대전광역시 동구 산내동
2020,12,60,"32,564","1,169","2,882","1,899","1,969","1,900","2,624","1,924","1,490","2,210","2,662","2,617","1,928","1,630","2,403",553,"2,704"
2020,12,70,"19,150",812,"1,578","1,217","1,174","1,274","1,352","1,169",920,"1,306","1,464","1,348","1,181",878,"1,535",345,"1,597"
2020,12,80,"8,315",340,615,501,596,692,553,500,373,553,590,495,477,379,657,250,744
2020,12,90,"1,129",44,90,76,76,91,80,79,42,61,66,72,83,49,83,31,106
2020,12,100,98,12,8,12,3,2,7,8,6,6,2,2,10,2,7,2,9
2021,1,총,"223,727","4,950","25,120","12,247","12,436","8,743","20,458","15,059","10,465","13,927","18,360","20,534","12,289","10,990","14,538","2,491","21,120"
2021,1,0,"15,041",107,"2,574",887,788,269,"1,482","1,423",379,799,963,"1,101",888,578,802,64,"1,937"
2021,1,10,"19,868",143,"3,339",900,965,394,"1,774","1,385",753,"1,108","1,764","1,500",924,801,"1,278",144,"2,696"
2021,1,20,"30,188",372,"2,628","1,383","1,477",801,"3,167","1,810","2,644","2,006","2,899","3,871","1,382","1,915","1,558",206,"2,069"
2021,1,30,"26,005",412,"2,969","1,619","1,464",750,"2,645","2,010","1,065","1,416","1,910","3,053","1,526","1,292","1,424",156,"2,294"
2021,1,40,"34,143",549,"4,861","1,773","1,735","1,018","3,093","2,327","1,235","2,065","2,739","3,131","1,779","1,581","2,184",263,"3,810"
2021,1,50,"36,796",983,"3,580","1,961","2,195","1,540","3,413","2,402","1,557","2,382","3,293","3,329","2,107","1,872","2,579",468,"3,135"
2021,1,60,"32,875","1,172","2,881","1,921","1,950","1,906","2,817","1,952","1,492","2,212","2,678","2,633","1,922","1,644","2,419",558,"2,718"
2021,1,70,"19,185",810,"1,579","1,213","1,192","1,275","1,397","1,156",915,"1,315","1,445","1,340","1,188",874,"1,542",346,"1,598"
2021,1,80,"8,392",346,611,503,593,696,579,508,376,557,599,504,479,381,664,248,748
2021,1,90,"1,137",44,90,75,74,92,84,78,43,61,68,71,84,50,81,36,106
2021,1,100,97,12,8,12,3,2,7,8,6,6,2,1,10,2,7,2,9
2021,2,총,"224,103","4,924","25,056","12,230","12,376","8,716","21,305","14,973","10,539","13,883","18,341","20,561","12,252","10,945","14,475","2,495","21,032"
2021,2,0,"15,010",105,"2,549",877,771,262,"1,615","1,389",371,794,949,"1,098",882,574,792,64,"1,918"
2021,2,10,"19,971",144,"3,333",897,963,389,"1,844","1,383",835,"1,108","1,773","1,501",925,790,"1,266",143,"2,677"
2021,2,20,"30,133",371,"2,619","1,359","1,463",788,"3,268","1,779","2,646","1,971","2,892","3,872","1,364","1,909","1,557",207,"2,068"
2021,2,30,"25,967",409,"2,899","1,598","1,450",746,"2,829","1,998","1,056","1,419","1,903","3,038","1,497","1,285","1,407",157,"2,276"
2021,2,40,"34,241",539,"4,883","1,776","1,733","1,011","3,239","2,332","1,235","2,049","2,723","3,152","1,781","1,574","2,172",257,"3,785"
2021,2,50,"36,789",982,"3,595","1,966","2,175","1,536","3,510","2,384","1,555","2,369","3,289","3,317","2,097","1,856","2,574",468,"3,116"
2021,2,60,"33,079","1,166","2,883","1,943","1,946","1,912","2,906","1,947","1,493","2,232","2,695","2,658","1,927","1,649","2,421",561,"2,740"
2021,2,70,"19,176",802,"1,588","1,215","1,196","1,275","1,414","1,156",917,"1,313","1,446","1,343","1,193",867,"1,522",343,"1,586"
2021,2,80,"8,485",351,607,511,599,704,587,517,382,561,597,508,488,389,675,255,754
2021,2,90,"1,154",43,91,76,77,91,87,79,43,61,72,73,88,50,82,38,103
2021,2,100,98,12,9,12,3,2,6,9,6,6,2,1,10,2,7,2,9
2021,3,총,"223,469","4,743","24,916","12,156","12,376","8,651","21,574","14,914","10,570","13,824","18,304","20,547","12,209","10,920","14,375","2,474","20,916"
2021,3,0,"14,943",107,"2,518",876,762,255,"1,657","1,383",370,793,943,"1,081",883,580,780,66,"1,889"
2021,3,10,"19,971",146,"3,341",888,961,378,"1,837","1,375",875,"1,110","1,772","1,494",932,789,"1,256",140,"2,677"
2021,3,20,"30,220",368,"2,584","1,356","1,480",776,"3,336","1,767","2,678","1,968","2,891","3,934","1,348","1,928","1,540",204,"2,062"
2021,3,30,"25,851",381,"2,872","1,583","1,463",739,"2,911","1,985","1,048","1,413","1,882","3,013","1,498","1,274","1,397",158,"2,234"
2021,3,40,"34,027",502,"4,862","1,775","1,705",995,"3,267","2,318","1,227","2,039","2,701","3,136","1,769","1,553","2,154",255,"3,769"
2021,3,50,"36,513",940,"3,546","1,958","2,163","1,528","3,521","2,377","1,545","2,325","3,281","3,313","2,086","1,842","2,539",458,"3,091"
2021,3,60,"33,183","1,146","2,901","1,937","1,961","1,901","2,948","1,965","1,493","2,235","2,706","2,651","1,937","1,648","2,439",566,"2,749"
2021,3,70,"19,102",778,"1,586","1,202","1,201","1,281","1,419","1,136",903,"1,313","1,451","1,347","1,184",864,"1,517",331,"1,589"
2021,3,80,"8,503",334,611,513,603,707,590,527,383,565,599,512,489,393,675,256,746
2021,3,90,"1,117",39,93,66,75,90,84,78,44,59,75,65,80,49,77,40,103
