년도,월,나이,경상북도 영덕군,경상북도 영덕군 영덕읍,경상북도 영덕군 강구면,경상북도 영덕군 남정면,경상북도 영덕군 달산면,경상북도 영덕군 지품면,경상북도 영덕군 지품면원전출장소,경상북도 영덕군 축산면,경상북도 영덕군 축산면축산출장소,경상북도 영덕군 영해면,경상북도 영덕군 병곡면,경상북도 영덕군 창수면
2020,6,총,"36,721","11,180","6,310","2,391","1,150","1,485",539,946,"1,764","6,464","2,794","1,698"
2020,6,0,"1,762",850,247,52,15,39,8,34,42,361,88,26
2020,6,10,"2,122",931,294,68,44,36,18,36,75,452,117,51
2020,6,20,"2,534",985,456,133,53,76,16,49,97,490,120,59
2020,6,30,"2,549","1,105",413,109,50,58,13,39,81,482,139,60
2020,6,40,"4,008","1,604",724,199,69,107,33,90,175,698,198,111
2020,6,50,"6,279","1,860","1,160",413,189,283,81,146,312,"1,120",456,259
2020,6,60,"7,248","1,780","1,354",552,272,357,140,184,415,"1,185",605,404
2020,6,70,"6,002","1,252","1,074",481,255,308,142,203,367,953,566,401
2020,6,80,"3,701",698,524,330,175,196,79,146,183,630,452,288
2020,6,90,490,106,63,53,26,24,9,17,17,92,51,32
2020,6,100,26,9,1,1,2,1,0,2,0,1,2,7
2020,7,총,"36,666","11,161","6,301","2,392","1,152","1,485",539,943,"1,760","6,450","2,791","1,692"
2020,7,0,"1,757",851,242,54,17,38,9,33,41,359,88,25
2020,7,10,"2,119",931,293,66,44,36,18,34,78,452,116,51
2020,7,20,"2,505",972,451,135,54,77,16,50,91,485,118,56
2020,7,30,"2,527","1,088",407,110,51,55,13,38,83,481,138,63
2020,7,40,"4,012","1,605",724,200,71,110,32,89,173,698,202,108
2020,7,50,"6,260","1,869","1,152",409,183,281,80,146,313,"1,117",451,259
2020,7,60,"7,274","1,779","1,365",553,277,359,142,189,415,"1,184",608,403
2020,7,70,"5,988","1,243","1,079",485,252,307,142,200,365,951,566,398
2020,7,80,"3,706",705,523,328,175,197,78,145,184,630,450,291
2020,7,90,491,109,63,51,26,24,9,17,17,92,52,31
2020,7,100,27,9,2,1,2,1,0,2,0,1,2,7
2020,8,총,"36,591","11,134","6,297","2,388","1,142","1,488",536,943,"1,751","6,440","2,783","1,689"
2020,8,0,"1,738",841,241,53,17,37,8,34,40,357,84,26
2020,8,10,"2,117",931,294,66,44,38,18,36,77,445,120,48
2020,8,20,"2,495",969,453,132,52,77,16,50,89,481,119,57
2020,8,30,"2,510","1,078",402,113,50,56,12,37,84,480,135,63
2020,8,40,"3,969","1,594",715,196,68,111,31,86,170,690,202,106
2020,8,50,"6,243","1,864","1,151",408,181,279,77,146,309,"1,122",445,261
2020,8,60,"7,304","1,789","1,373",555,273,361,145,192,414,"1,190",609,403
2020,8,70,"5,965","1,243","1,076",480,250,307,141,198,366,942,563,399
2020,8,80,"3,723",708,526,333,177,197,79,145,185,638,450,285
2020,8,90,500,108,64,51,28,24,9,17,17,94,54,34
2020,8,100,27,9,2,1,2,1,0,2,0,1,2,7
2020,9,총,"36,592","11,146","6,291","2,389","1,136","1,486",536,945,"1,746","6,437","2,789","1,691"
2020,9,0,"1,735",835,242,53,17,37,7,34,40,362,84,24
2020,9,10,"2,132",950,292,67,43,37,18,34,75,447,120,49
2020,9,20,"2,476",952,454,133,52,76,16,51,92,480,117,53
2020,9,30,"2,482","1,068",397,113,49,57,12,36,81,473,134,62
2020,9,40,"3,975","1,604",710,190,68,109,31,86,169,698,203,107
2020,9,50,"6,229","1,871","1,142",409,180,278,76,146,306,"1,111",445,265
2020,9,60,"7,334","1,799","1,375",553,271,362,146,194,415,"1,197",616,406
2020,9,70,"5,965","1,244","1,082",483,249,306,141,200,365,938,560,397
2020,9,80,"3,716",699,527,334,178,197,80,145,185,633,453,285
2020,9,90,520,115,68,53,27,26,9,17,18,96,55,36
2020,9,100,28,9,2,1,2,1,0,2,0,2,2,7
2020,10,총,"36,473","11,095","6,270","2,378","1,134","1,484",535,933,"1,744","6,417","2,793","1,690"
2020,10,0,"1,695",818,232,49,18,35,9,33,41,355,81,24
2020,10,10,"2,130",949,297,67,43,38,17,32,75,443,121,48
2020,10,20,"2,466",953,447,130,50,76,17,48,90,484,117,54
2020,10,30,"2,448","1,054",395,111,48,52,12,36,79,468,131,62
2020,10,40,"3,931","1,584",699,188,69,112,31,86,166,687,204,105
2020,10,50,"6,232","1,871","1,146",406,178,274,76,141,309,"1,116",453,262
2020,10,60,"7,337","1,796","1,375",555,273,364,146,195,414,"1,195",616,408
2020,10,70,"5,953","1,239","1,078",484,246,307,139,198,365,938,560,399
2020,10,80,"3,734",705,532,335,179,198,79,147,187,636,452,284
2020,10,90,518,116,67,52,28,27,9,15,18,93,56,37
2020,10,100,29,10,2,1,2,1,0,2,0,2,2,7
2020,11,총,"36,399","11,070","6,256","2,371","1,128","1,487",533,935,"1,740","6,409","2,781","1,689"
2020,11,0,"1,679",811,228,48,18,35,8,33,40,359,74,25
2020,11,10,"2,127",943,298,65,41,38,17,32,76,448,122,47
2020,11,20,"2,446",948,446,129,49,75,18,48,88,478,114,53
2020,11,30,"2,424","1,042",387,111,46,55,12,35,78,472,126,60
2020,11,40,"3,911","1,584",690,182,68,112,31,85,166,681,204,108
2020,11,50,"6,194","1,856","1,150",405,180,273,78,142,302,"1,106",451,251
2020,11,60,"7,377","1,816","1,378",556,273,366,141,191,419,"1,202",619,416
2020,11,70,"5,950","1,235","1,075",484,244,307,141,203,366,931,565,399
2020,11,80,"3,744",708,536,339,180,198,78,149,187,632,449,288
2020,11,90,518,117,66,51,27,27,9,15,18,98,55,35
2020,11,100,29,10,2,1,2,1,0,2,0,2,2,7
2020,12,총,"36,313","11,040","6,248","2,371","1,124","1,489",529,921,"1,736","6,381","2,786","1,688"
2020,12,0,"1,675",809,230,55,16,35,8,30,40,351,75,26
2020,12,10,"2,117",937,302,63,40,38,16,32,75,443,124,47
2020,12,20,"2,425",946,438,131,45,74,18,45,88,474,112,54
2020,12,30,"2,406","1,026",390,110,46,56,12,33,76,473,124,60
2020,12,40,"3,873","1,573",679,180,64,111,29,83,166,674,208,106
2020,12,50,"6,165","1,853","1,140",404,185,272,80,142,301,"1,095",446,247
2020,12,60,"7,410","1,827","1,384",557,274,371,140,188,419,"1,207",625,418
2020,12,70,"5,909","1,224","1,075",481,242,306,139,200,363,929,555,395
2020,12,80,"3,780",717,541,337,182,197,78,152,191,633,459,293
2020,12,90,523,118,67,52,28,28,9,14,17,99,56,35
2020,12,100,30,10,2,1,2,1,0,2,0,3,2,7
2021,1,총,"36,245","11,011","6,233","2,367","1,131","1,489",535,925,"1,725","6,374","2,774","1,681"
2021,1,0,"1,644",791,224,52,16,35,8,30,42,348,72,26
2021,1,10,"2,112",937,304,63,41,38,16,32,74,433,126,48
2021,1,20,"2,401",946,429,126,48,70,18,43,85,478,107,51
2021,1,30,"2,399","1,025",389,113,46,56,13,33,74,467,125,58
2021,1,40,"3,850","1,561",674,178,67,108,29,84,165,674,204,106
2021,1,50,"6,145","1,855","1,137",403,185,267,82,143,301,"1,088",445,239
2021,1,60,"7,431","1,825","1,387",557,274,379,143,191,414,"1,217",625,419
2021,1,70,"5,904","1,229","1,071",480,237,306,138,200,361,934,554,394
2021,1,80,"3,802",712,550,339,187,202,79,153,192,630,459,299
2021,1,90,527,120,66,55,28,27,9,14,17,102,55,34
2021,1,100,30,10,2,1,2,1,0,2,0,3,2,7
2021,2,총,"36,188","10,985","6,207","2,372","1,134","1,485",538,918,"1,725","6,368","2,782","1,674"
2021,2,0,"1,621",779,220,51,16,34,8,27,41,349,71,25
2021,2,10,"2,098",935,303,60,40,37,16,31,73,428,128,47
2021,2,20,"2,392",942,419,129,46,69,18,45,85,479,109,51
2021,2,30,"2,364","1,009",385,111,47,54,13,33,72,459,122,59
2021,2,40,"3,840","1,564",665,182,66,107,28,75,169,676,205,103
2021,2,50,"6,133","1,863","1,130",397,185,263,84,144,299,"1,089",442,237
2021,2,60,"7,459","1,827","1,391",560,281,383,143,192,413,"1,217",629,423
2021,2,70,"5,895","1,221","1,076",484,233,302,138,200,362,933,558,388
2021,2,80,"3,822",713,550,340,190,208,81,155,195,633,458,299
2021,2,90,534,122,66,57,28,27,9,14,16,102,58,35
2021,2,100,30,10,2,1,2,1,0,2,0,3,2,7
2021,3,총,"36,043","10,920","6,194","2,353","1,129","1,480",539,917,"1,719","6,351","2,772","1,669"
2021,3,0,"1,593",752,226,49,14,34,9,26,43,346,68,26
2021,3,10,"2,068",927,296,60,39,34,15,30,71,423,128,45
2021,3,20,"2,362",934,417,124,44,70,17,46,86,467,107,50
2021,3,30,"2,345",995,391,109,45,52,13,33,73,451,122,61
2021,3,40,"3,813","1,565",650,175,65,102,28,76,163,681,204,104
2021,3,50,"6,103","1,843","1,139",400,184,263,85,142,297,"1,080",434,236
2021,3,60,"7,497","1,842","1,389",557,287,384,145,193,414,"1,229",635,422
2021,3,70,"5,857","1,215","1,073",480,229,299,137,201,360,923,559,381
2021,3,80,"3,850",722,546,340,191,213,81,155,198,644,457,303
2021,3,90,533,118,66,58,29,28,9,15,14,104,58,34
2021,3,100,22,7,1,1,2,1,0,0,0,3,0,7
2021,4,총,"35,962","10,901","6,178","2,344","1,124","1,477",539,912,"1,719","6,324","2,773","1,671"
2021,4,0,"1,567",741,225,47,12,35,9,25,44,336,68,25
2021,4,10,"2,056",923,297,60,37,33,15,30,71,416,129,45
2021,4,20,"2,342",941,408,122,44,68,16,45,79,462,107,50
2021,4,30,"2,337","1,001",387,111,44,55,12,31,73,441,121,61
2021,4,40,"3,794","1,552",647,175,66,104,26,75,164,681,203,101
2021,4,50,"6,083","1,835","1,131",403,186,255,89,143,299,"1,071",433,238
2021,4,60,"7,524","1,843","1,395",551,287,386,143,192,417,"1,241",642,427
2021,4,70,"5,819","1,216","1,068",477,225,292,139,200,356,918,552,376
2021,4,80,"3,887",725,553,342,192,220,81,155,201,650,460,308
2021,4,90,531,116,66,55,29,28,9,16,15,106,58,33
2021,4,100,22,8,1,1,2,1,0,0,0,2,0,7
2021,5,총,"35,912","10,923","6,155","2,343","1,124","1,479",537,912,"1,711","6,295","2,759","1,674"
2021,5,0,"1,566",752,220,43,12,35,9,26,43,333,68,25
2021,5,10,"2,053",920,295,62,37,35,15,30,70,417,128,44
2021,5,20,"2,344",940,409,124,45,67,16,44,80,464,106,49
2021,5,30,"2,315",992,377,108,47,56,12,32,73,436,121,61
2021,5,40,"3,775","1,554",645,174,62,99,26,75,160,683,202,95
2021,5,50,"6,053","1,833","1,123",405,185,256,87,143,301,"1,053",421,246
2021,5,60,"7,545","1,859","1,400",554,287,390,142,194,414,"1,234",641,430
2021,5,70,"5,795","1,215","1,058",478,226,291,137,198,353,911,551,377
2021,5,80,"3,900",731,559,339,192,221,84,154,202,654,460,304
2021,5,90,545,119,68,55,30,28,9,16,15,108,61,36
2021,5,100,21,8,1,1,1,1,0,0,0,2,0,7
2021,6,총,"35,779","10,875","6,103","2,332","1,124","1,481",527,912,"1,706","6,289","2,757","1,673"
2021,6,0,"1,559",747,215,43,12,36,9,25,42,337,68,25
2021,6,10,"2,056",924,293,60,36,36,15,31,69,418,129,45
2021,6,20,"2,326",931,402,123,46,68,15,44,79,464,105,49
2021,6,30,"2,289",972,377,107,44,55,11,32,74,435,123,59
2021,6,40,"3,756","1,558",633,173,62,99,27,74,158,678,196,98
2021,6,50,"5,975","1,815","1,100",397,186,254,82,143,299,"1,036",423,240
2021,6,60,"7,571","1,852","1,406",560,288,391,139,193,413,"1,253",643,433
2021,6,70,"5,775","1,215","1,049",476,225,290,136,200,353,907,548,376
2021,6,80,"3,907",734,557,339,194,223,84,154,203,652,462,305
2021,6,90,544,119,70,53,30,28,9,16,16,107,60,36
2021,6,100,21,8,1,1,1,1,0,0,0,2,0,7
2021,7,총,"35,732","10,872","6,097","2,332","1,121","1,481",530,907,"1,697","6,286","2,742","1,667"
2021,7,0,"1,544",747,212,43,12,36,9,25,36,336,64,24
2021,7,10,"2,055",918,297,62,33,36,13,31,70,421,129,45
2021,7,20,"2,313",931,397,120,47,68,17,42,78,459,105,49
2021,7,30,"2,275",968,374,108,43,55,11,33,73,435,116,59
2021,7,40,"3,731","1,548",628,173,61,97,28,75,158,677,190,96
2021,7,50,"5,961","1,815","1,102",398,189,252,83,136,297,"1,026",423,240
2021,7,60,"7,573","1,854","1,405",555,284,393,138,196,411,"1,259",644,434
2021,7,70,"5,799","1,227","1,056",481,226,292,136,198,355,908,549,371
2021,7,80,"3,919",737,556,337,195,226,86,155,203,656,461,307
2021,7,90,541,119,69,54,30,25,9,16,16,107,61,35
2021,7,100,21,8,1,1,1,1,0,0,0,2,0,7
2021,8,총,"35,678","10,861","6,072","2,338","1,119","1,485",524,909,"1,691","6,271","2,748","1,660"
2021,8,0,"1,539",748,207,42,12,36,9,25,36,337,64,23
2021,8,10,"2,036",911,293,64,33,36,13,31,67,420,124,44
2021,8,20,"2,295",924,389,124,50,66,16,41,78,450,109,48
2021,8,30,"2,253",954,373,110,40,53,10,34,75,432,114,58
2021,8,40,"3,714","1,550",624,169,62,97,27,72,150,674,193,96
2021,8,50,"5,978","1,823","1,101",404,189,250,82,137,296,"1,029",427,240
2021,8,60,"7,577","1,861","1,398",554,284,401,135,198,414,"1,257",644,431
2021,8,70,"5,791","1,220","1,056",479,225,292,139,199,356,906,547,372
2021,8,80,"3,926",742,560,338,190,226,84,156,206,655,464,305
2021,8,90,547,120,70,52,33,27,9,16,13,109,62,36
2021,8,100,22,8,1,2,1,1,0,0,0,2,0,7
2021,9,총,"35,540","10,835","6,047","2,315","1,115","1,477",523,911,"1,681","6,245","2,741","1,650"
2021,9,0,"1,519",733,201,41,12,34,9,25,36,338,67,23
2021,9,10,"2,031",917,289,60,33,36,13,32,67,418,123,43
2021,9,20,"2,273",920,387,121,49,65,16,40,77,443,109,46
2021,9,30,"2,211",944,360,105,39,51,10,33,74,424,114,57
2021,9,40,"3,687","1,550",613,163,60,94,27,72,147,670,194,97
2021,9,50,"5,974","1,817","1,110",402,191,255,81,137,294,"1,027",425,235
2021,9,60,"7,569","1,870","1,402",551,284,393,134,200,413,"1,249",644,429
2021,9,70,"5,777","1,218","1,056",481,224,296,140,194,353,905,543,367
2021,9,80,"3,932",744,559,337,188,225,83,161,207,659,459,310
2021,9,90,544,113,69,52,34,27,10,17,13,110,63,36
2021,9,100,23,9,1,2,1,1,0,0,0,2,0,7
2021,10,총,"35,497","10,821","6,042","2,318","1,114","1,474",524,910,"1,670","6,232","2,744","1,648"
2021,10,0,"1,499",729,195,38,11,34,9,25,36,330,71,21
2021,10,10,"2,021",919,285,59,33,36,13,34,64,414,121,43
2021,10,20,"2,276",914,396,121,48,62,16,41,74,450,110,44
2021,10,30,"2,180",938,351,107,37,52,10,31,74,412,110,58
2021,10,40,"3,696","1,552",611,166,61,93,26,73,147,675,195,97
2021,10,50,"5,982","1,824","1,118",401,193,254,80,136,292,"1,020",426,238
2021,10,60,"7,552","1,861","1,403",555,283,390,136,201,408,"1,246",645,424
2021,10,70,"5,794","1,214","1,057",478,227,300,139,193,355,914,546,371
2021,10,80,"3,918",747,556,335,185,223,85,158,206,657,456,310
2021,10,90,557,115,69,56,35,29,10,18,14,112,64,35
2021,10,100,22,8,1,2,1,1,0,0,0,2,0,7
2021,11,총,"35,451","10,798","6,030","2,329","1,117","1,477",522,911,"1,659","6,218","2,740","1,650"
2021,11,0,"1,485",725,196,36,11,34,9,25,36,323,70,20
2021,11,10,"2,031",918,283,61,35,39,13,34,63,416,122,47
2021,11,20,"2,250",904,392,123,47,63,16,40,71,443,109,42
2021,11,30,"2,179",942,349,109,38,51,10,31,75,406,109,59
2021,11,40,"3,677","1,542",602,167,62,94,26,71,144,676,193,100
2021,11,50,"5,988","1,828","1,122",401,193,251,81,137,287,"1,023",426,239
2021,11,60,"7,569","1,859","1,405",560,282,392,136,204,412,"1,245",650,424
2021,11,70,"5,776","1,216","1,053",478,229,298,136,191,353,910,541,371
2021,11,80,"3,915",743,556,336,182,226,85,160,204,663,453,307
2021,11,90,560,114,71,56,37,28,10,18,14,111,67,34
2021,11,100,21,7,1,2,1,1,0,0,0,2,0,7
2021,12,총,"35,314","10,740","6,000","2,327","1,113","1,477",522,904,"1,651","6,212","2,734","1,634"
2021,12,0,"1,458",712,194,34,12,32,9,25,36,316,68,20
2021,12,10,"2,030",924,282,60,34,39,12,34,63,416,120,46
2021,12,20,"2,232",897,384,127,47,61,16,38,71,440,110,41
2021,12,30,"2,157",931,350,110,38,48,10,29,74,400,110,57
2021,12,40,"3,631","1,521",588,164,63,94,26,67,143,680,187,98
2021,12,50,"5,992","1,830","1,116",397,192,255,79,146,289,"1,018",430,240
2021,12,60,"7,540","1,846","1,397",562,282,392,137,199,409,"1,250",646,420
2021,12,70,"5,770","1,217","1,060",478,224,301,135,188,349,913,536,369
2021,12,80,"3,926",742,558,335,182,226,88,161,201,666,459,308
2021,12,90,562,114,70,58,38,29,10,17,15,111,68,32
2021,12,100,16,6,1,2,1,0,0,0,1,2,0,3
