년도,월,나이,인천광역시 동구,인천광역시 동구 만석동,인천광역시 동구 화수1.화평동,인천광역시 동구 화수2동,인천광역시 동구 송현1.2동,인천광역시 동구 송현3동,인천광역시 동구 송림1동,인천광역시 동구 송림2동,인천광역시 동구 송림3.5동,인천광역시 동구 송림4동,인천광역시 동구 송림6동,인천광역시 동구 금창동
2020,4,30,"3,482",421,290,359,773,170,87,106,454,243,465,114
2020,4,40,"4,748",590,459,582,863,234,127,154,654,355,543,187
2020,4,50,"4,871",542,492,642,848,315,134,238,613,332,508,207
2020,4,60,"5,074",481,558,702,810,340,148,327,624,267,513,304
2020,4,70,"3,652",363,413,546,475,262,124,255,472,139,324,279
2020,4,80,"1,812",207,189,263,201,158,66,151,204,63,181,129
2020,4,90,304,34,37,36,34,13,9,25,39,16,43,18
2020,4,100,52,7,9,5,6,1,1,5,7,2,5,4
2020,5,총,"31,565","3,517","3,167","4,053","5,507","1,881",886,"1,507","4,036","2,031","3,445","1,535"
2020,5,0,"1,954",242,135,188,444,70,49,45,241,174,308,58
2020,5,10,"2,536",301,249,331,451,122,63,93,360,219,254,93
2020,5,20,"3,097",339,343,393,598,192,79,107,365,230,304,147
2020,5,30,"3,449",413,286,358,765,171,86,105,447,238,464,116
2020,5,40,"4,741",584,453,578,876,236,127,154,662,354,533,184
2020,5,50,"4,857",541,496,637,839,315,132,239,615,328,512,203
2020,5,60,"5,088",485,555,713,810,339,148,328,624,267,515,304
2020,5,70,"3,675",362,413,549,484,263,126,256,473,142,326,281
2020,5,80,"1,814",208,192,266,199,159,66,149,204,61,183,127
2020,5,90,302,35,36,35,35,13,9,26,38,16,41,18
2020,5,100,52,7,9,5,6,1,1,5,7,2,5,4
2020,6,총,"31,445","3,490","3,158","4,022","5,497","1,875",882,"1,510","4,032","2,021","3,431","1,527"
2020,6,0,"1,923",239,133,180,446,70,49,43,234,169,305,55
2020,6,10,"2,520",298,248,331,443,121,63,94,363,217,252,90
2020,6,20,"3,080",338,337,388,593,189,77,115,363,231,304,145
2020,6,30,"3,408",405,283,357,762,173,84,102,439,231,459,113
2020,6,40,"4,736",576,456,569,878,225,128,155,671,356,539,183
2020,6,50,"4,815",537,495,626,835,318,127,235,608,326,503,205
2020,6,60,"5,094",488,554,712,809,342,149,328,627,269,512,304
2020,6,70,"3,690",357,415,552,490,261,128,257,477,142,328,283
2020,6,80,"1,814",208,189,266,200,162,67,149,204,61,182,126
2020,6,90,313,37,39,36,35,13,9,27,39,17,42,19
2020,6,100,52,7,9,5,6,1,1,5,7,2,5,4
2020,7,총,"31,330","3,498","3,145","4,007","5,481","1,869",882,"1,498","4,011","2,001","3,420","1,518"
2020,7,0,"1,897",239,127,180,445,68,48,40,233,167,298,52
2020,7,10,"2,503",302,247,329,438,121,61,97,356,214,249,89
2020,7,20,"3,062",336,336,385,587,186,76,114,362,229,307,144
2020,7,30,"3,366",406,281,358,758,169,83,97,433,222,448,111
2020,7,40,"4,702",572,453,563,866,228,126,159,667,351,536,181
2020,7,50,"4,814",536,492,617,845,319,129,232,608,327,505,204
2020,7,60,"5,108",497,552,708,805,344,151,330,633,270,514,304
2020,7,70,"3,705",358,419,560,499,259,129,250,473,142,333,283
2020,7,80,"1,806",208,190,266,196,161,67,150,200,60,181,127
2020,7,90,317,37,39,36,36,13,11,25,40,17,44,19
2020,7,100,50,7,9,5,6,1,1,4,6,2,5,4
2020,8,총,"31,237","3,486","3,128","3,998","5,475","1,867",881,"1,491","4,005","1,981","3,412","1,513"
2020,8,0,"1,861",227,125,177,438,69,49,40,234,161,291,50
2020,8,10,"2,482",296,242,329,437,119,60,96,357,209,251,86
2020,8,20,"3,071",339,341,388,588,187,74,115,357,229,308,145
2020,8,30,"3,323",405,276,350,743,169,85,100,431,215,441,108
2020,8,40,"4,693",567,446,561,875,227,126,153,672,346,537,183
2020,8,50,"4,787",535,491,615,846,315,127,230,595,327,503,203
2020,8,60,"5,126",508,552,708,805,344,152,328,636,272,516,305
2020,8,70,"3,709",357,418,558,504,261,127,249,477,144,332,282
2020,8,80,"1,812",208,189,270,197,162,69,151,200,59,182,125
2020,8,90,323,37,39,37,36,13,11,25,40,17,46,22
2020,8,100,50,7,9,5,6,1,1,4,6,2,5,4
2020,9,총,"31,190","3,482","3,116","3,989","5,467","1,860",875,"1,482","3,998","1,983","3,416","1,522"
2020,9,0,"1,840",223,123,178,437,70,46,39,232,153,289,50
2020,9,10,"2,472",300,238,325,435,114,63,95,351,213,253,85
2020,9,20,"3,059",340,343,375,582,186,74,112,358,234,305,150
2020,9,30,"3,301",401,271,356,735,168,82,100,424,215,437,112
2020,9,40,"4,684",565,441,558,875,229,126,154,670,344,539,183
2020,9,50,"4,767",527,488,620,845,313,125,227,601,325,494,202
2020,9,60,"5,145",512,553,709,810,344,150,325,638,275,525,304
2020,9,70,"3,712",357,421,554,511,260,127,244,475,145,337,281
2020,9,80,"1,829",210,189,272,196,163,69,155,202,59,186,128
2020,9,90,331,40,40,37,35,13,12,27,41,18,45,23
2020,9,100,50,7,9,5,6,0,1,4,6,2,6,4
2020,10,총,"31,101","3,475","3,112","3,984","5,434","1,850",872,"1,474","3,987","1,969","3,416","1,528"
2020,10,0,"1,810",218,120,177,432,68,47,36,228,147,287,50
2020,10,10,"2,469",296,236,324,435,112,63,95,352,212,258,86
2020,10,20,"3,034",345,340,374,567,184,73,110,353,235,302,151
2020,10,30,"3,287",400,270,355,731,166,82,97,424,213,438,111
2020,10,40,"4,650",560,438,549,867,226,126,157,664,339,540,184
2020,10,50,"4,757",527,491,621,840,312,124,223,597,325,493,204
2020,10,60,"5,162",515,556,714,812,344,148,328,643,272,525,305
2020,10,70,"3,721",359,421,557,513,260,125,241,477,148,340,280
2020,10,80,"1,829",210,188,271,196,165,71,158,202,58,181,129
2020,10,90,332,38,43,37,35,13,12,25,41,18,46,24
2020,10,100,50,7,9,5,6,0,1,4,6,2,6,4
2020,11,총,"31,057","3,467","3,092","3,996","5,443","1,841",863,"1,470","3,954","2,006","3,392","1,533"
2020,11,0,"1,789",214,119,179,430,69,47,33,221,146,280,51
2020,11,10,"2,463",294,233,325,436,113,62,93,349,220,256,82
2020,11,20,"3,026",347,335,377,565,179,72,107,351,237,300,156
2020,11,30,"3,256",389,263,355,729,163,79,97,415,222,433,111
2020,11,40,"4,640",558,435,550,878,224,122,157,660,342,532,182
2020,11,50,"4,751",528,491,616,831,310,125,222,591,337,495,205
2020,11,60,"5,185",527,554,725,817,344,148,330,643,274,517,306
2020,11,70,"3,733",360,418,555,517,263,124,245,476,150,346,279
2020,11,80,"1,835",207,192,271,199,163,72,157,202,59,181,132
2020,11,90,329,36,43,37,35,13,11,25,41,17,46,25
2020,11,100,50,7,9,6,6,0,1,4,5,2,6,4
2020,12,총,"30,967","3,473","3,075","3,960","5,414","1,828",854,"1,466","3,911","2,081","3,374","1,531"
2020,12,0,"1,778",214,114,174,424,67,45,34,216,160,278,52
2020,12,10,"2,421",292,236,315,430,112,60,92,336,217,251,80
2020,12,20,"3,024",345,329,376,567,174,74,107,345,250,301,156
2020,12,30,"3,208",385,257,344,717,161,75,95,403,235,423,113
2020,12,40,"4,599",557,428,544,867,221,118,158,645,352,531,178
2020,12,50,"4,756",528,490,614,832,311,129,218,588,346,496,204
2020,12,60,"5,205",536,555,721,815,342,145,334,647,286,520,304
2020,12,70,"3,746",365,420,553,521,264,124,243,476,153,344,283
2020,12,80,"1,843",208,194,275,200,161,72,154,208,61,177,133
2020,12,90,337,36,43,38,35,15,11,27,42,19,47,24
2020,12,100,50,7,9,6,6,0,1,4,5,2,6,4
2021,1,총,"30,936","3,463","3,074","3,954","5,394","1,817",847,"1,458","3,904","2,131","3,370","1,524"
2021,1,0,"1,764",209,116,171,426,62,42,34,216,160,275,53
2021,1,10,"2,408",293,235,314,421,115,59,90,331,222,248,80
2021,1,20,"3,025",341,327,372,568,172,78,108,349,256,303,151
2021,1,30,"3,173",376,254,341,708,156,73,95,403,243,419,105
2021,1,40,"4,583",554,425,546,856,221,117,151,627,370,534,182
2021,1,50,"4,755",534,485,613,831,312,128,218,593,356,487,198
2021,1,60,"5,218",537,560,719,812,337,144,336,651,283,532,307
2021,1,70,"3,769",366,424,553,528,267,123,245,480,157,341,285
2021,1,80,"1,859",208,197,280,202,162,71,153,209,63,179,135
2021,1,90,331,38,42,39,36,13,11,23,40,19,46,24
2021,1,100,51,7,9,6,6,0,1,5,5,2,6,4
2021,2,총,"30,866","3,458","3,060","3,940","5,386","1,817",852,"1,441","3,906","2,132","3,356","1,518"
2021,2,0,"1,735",206,112,163,419,62,43,35,210,161,269,55
2021,2,10,"2,397",292,239,310,423,116,59,80,329,221,251,77
2021,2,20,"3,007",338,322,372,565,173,80,104,350,255,301,147
2021,2,30,"3,146",377,247,338,705,154,71,95,402,237,413,107
2021,2,40,"4,565",552,422,545,853,217,118,148,625,376,529,180
2021,2,50,"4,729",530,483,600,830,309,129,216,588,355,491,198
2021,2,60,"5,257",542,562,730,816,341,145,336,663,286,530,306
2021,2,70,"3,750",366,423,549,526,266,119,246,474,157,341,283
2021,2,80,"1,892",210,198,287,206,166,77,153,219,63,178,135
2021,2,90,336,38,43,40,37,13,10,23,41,18,47,26
2021,2,100,52,7,9,6,6,0,1,5,5,3,6,4
2021,3,총,"30,555","3,423","3,000","3,900","5,372","1,788",841,"1,409","3,897","2,110","3,325","1,490"
2021,3,0,"1,728",201,112,160,419,61,47,35,205,158,273,57
2021,3,10,"2,376",291,230,310,424,111,57,78,328,224,246,77
2021,3,20,"2,990",343,322,363,560,173,81,103,348,256,299,142
2021,3,30,"3,117",376,242,328,703,148,71,92,398,242,412,105
2021,3,40,"4,498",547,399,532,855,213,114,143,622,374,520,179
2021,3,50,"4,682",528,479,603,820,304,126,206,597,339,484,196
2021,3,60,"5,247",542,556,727,823,344,145,334,666,288,526,296
2021,3,70,"3,690",353,422,543,528,257,114,240,473,153,331,276
2021,3,80,"1,875",206,194,292,202,162,76,154,215,61,178,135
2021,3,90,326,36,41,39,35,15,9,22,40,14,50,25
2021,3,100,26,0,3,3,3,0,1,2,5,1,6,2
2021,4,총,"30,521","3,429","2,987","3,890","5,365","1,771",840,"1,399","3,896","2,115","3,334","1,495"
2021,4,0,"1,723",198,116,160,414,60,45,34,209,156,272,59
2021,4,10,"2,385",298,228,314,423,109,56,78,329,223,251,76
2021,4,20,"2,979",337,319,358,559,166,81,98,350,263,304,144
2021,4,30,"3,103",377,241,322,705,147,69,91,398,239,406,108
2021,4,40,"4,488",551,396,533,842,212,119,144,614,378,520,179
2021,4,50,"4,653",525,475,588,823,296,123,202,599,341,487,194
2021,4,60,"5,257",545,557,729,824,351,146,334,662,285,526,298
2021,4,70,"3,686",354,420,543,533,254,113,240,472,151,330,276
2021,4,80,"1,897",208,192,299,203,163,78,153,218,64,183,136
2021,4,90,323,36,40,41,36,13,9,23,40,13,49,23
2021,4,100,27,0,3,3,3,0,1,2,5,2,6,2
2021,5,총,"30,464","3,419","2,971","3,895","5,378","1,757",829,"1,395","3,873","2,117","3,341","1,489"
2021,5,0,"1,711",196,113,155,424,59,44,33,201,155,272,59
2021,5,10,"2,377",293,225,319,422,104,56,80,324,223,253,78
2021,5,20,"2,962",338,314,357,560,165,78,97,351,259,303,140
2021,5,30,"3,068",367,241,319,702,144,68,91,391,240,400,105
2021,5,40,"4,492",556,391,534,855,208,115,143,605,379,525,181
2021,5,50,"4,651",528,479,590,815,294,122,198,607,342,485,191
2021,5,60,"5,254",542,547,725,824,349,147,339,663,288,531,299
2021,5,70,"3,686",356,424,544,528,253,111,238,473,153,330,276
2021,5,80,"1,912",208,193,307,208,167,78,152,214,64,186,135
2021,5,90,322,35,41,42,37,13,9,22,38,12,50,23
2021,5,100,29,0,3,3,3,1,1,2,6,2,6,2
2021,6,총,"30,396","3,414","2,945","3,898","5,382","1,742",822,"1,387","3,841","2,176","3,303","1,486"
2021,6,0,"1,698",195,112,152,423,59,41,35,195,158,269,59
2021,6,10,"2,363",290,220,322,421,100,56,78,324,230,243,79
2021,6,20,"2,941",339,307,355,560,164,75,97,341,268,299,136
2021,6,30,"3,070",367,241,316,706,141,64,88,384,264,392,107
2021,6,40,"4,487",553,392,536,844,206,118,144,605,385,523,181
2021,6,50,"4,620",524,474,588,816,287,119,197,600,344,480,191
2021,6,60,"5,276",546,543,729,835,353,149,334,668,294,531,294
2021,6,70,"3,676",356,422,547,526,253,112,239,464,155,325,277
2021,6,80,"1,914",209,193,309,209,164,78,151,218,63,185,135
2021,6,90,322,35,38,41,39,14,9,22,36,13,50,25
2021,6,100,29,0,3,3,3,1,1,2,6,2,6,2
2021,7,총,"30,797","3,387","2,929","3,905","5,365","1,721",820,"1,375","3,797","2,739","3,278","1,481"
2021,7,0,"1,719",190,109,150,414,56,42,34,185,220,259,60
2021,7,10,"2,386",287,216,328,416,97,55,75,316,272,246,78
2021,7,20,"2,993",332,305,359,561,161,74,95,337,342,294,133
2021,7,30,"3,177",360,237,316,692,138,64,86,377,412,387,108
2021,7,40,"4,538",544,391,538,842,199,117,148,595,468,516,180
2021,7,50,"4,681",524,475,584,818,287,118,193,595,416,480,191
2021,7,60,"5,318",550,538,726,841,349,150,329,666,350,532,287
2021,7,70,"3,715",355,425,551,534,252,110,240,467,175,326,280
2021,7,80,"1,915",210,193,308,206,165,79,151,216,69,181,137
2021,7,90,326,35,37,42,38,16,10,22,37,13,51,25
2021,7,100,29,0,3,3,3,1,1,2,6,2,6,2
2021,8,총,"30,893","3,377","2,927","3,877","5,362","1,720",817,"1,353","3,777","2,946","3,247","1,490"
2021,8,0,"1,725",187,105,148,410,53,43,34,182,249,251,63
2021,8,10,"2,396",288,222,317,414,97,53,74,318,282,252,79
2021,8,20,"2,982",323,298,351,567,165,77,91,332,353,290,135
2021,8,30,"3,217",363,240,319,679,133,63,84,372,466,391,107
2021,8,40,"4,547",546,388,526,841,196,114,141,591,509,514,181
2021,8,50,"4,681",520,475,592,808,285,119,192,583,445,472,190
2021,8,60,"5,356",552,540,724,857,354,150,325,668,367,530,289
2021,8,70,"3,703",354,426,549,531,252,109,239,469,183,312,279
2021,8,80,"1,931",208,193,306,215,168,79,148,219,76,179,140
2021,8,90,327,36,37,43,37,16,9,23,37,14,50,25
2021,8,100,28,0,3,2,3,1,1,2,6,2,6,2
2021,9,총,"30,827","3,374","2,926","3,860","5,350","1,724",825,"1,347","3,758","2,976","3,205","1,482"
2021,9,0,"1,698",184,103,145,399,53,43,34,180,254,242,61
2021,9,10,"2,397",287,223,318,415,98,56,75,318,284,246,77
2021,9,20,"2,966",323,299,343,565,159,77,90,332,355,285,138
2021,9,30,"3,218",368,238,320,679,138,64,82,363,480,382,104
2021,9,40,"4,513",534,390,516,838,196,116,144,593,504,507,175
2021,9,50,"4,672",525,471,589,806,281,119,191,571,456,471,192
2021,9,60,"5,381",557,545,716,862,360,153,322,675,369,533,289
2021,9,70,"3,685",351,425,552,531,252,104,235,460,186,304,285
2021,9,80,"1,930",210,191,315,210,168,83,149,220,72,178,134
2021,9,90,339,35,38,44,42,18,9,23,40,14,51,25
2021,9,100,28,0,3,2,3,1,1,2,6,2,6,2
2021,10,총,"30,711","3,366","2,919","3,857","5,334","1,723",822,"1,339","3,743","2,965","3,171","1,472"
2021,10,0,"1,682",187,103,143,394,51,44,33,175,252,240,60
2021,10,10,"2,395",286,224,317,413,100,56,75,317,284,248,75
2021,10,20,"2,955",324,300,343,567,158,75,91,330,357,276,134
2021,10,30,"3,171",352,231,321,667,139,66,81,357,479,377,101
2021,10,40,"4,503",536,390,508,837,197,112,144,596,499,509,175
2021,10,50,"4,661",532,469,582,805,278,121,188,571,453,470,192
2021,10,60,"5,385",556,546,721,866,360,153,320,672,372,528,291
2021,10,70,"3,665",347,424,560,525,256,101,237,458,183,292,282
2021,10,80,"1,935",212,192,316,216,165,83,147,226,69,173,136
2021,10,90,336,34,37,44,41,18,10,21,39,15,52,25
2021,10,100,23,0,3,2,3,1,1,2,2,2,6,1
2021,11,총,"30,596","3,368","2,910","3,867","5,325","1,724",814,"1,324","3,708","2,955","3,135","1,466"
2021,11,0,"1,669",191,101,145,386,50,43,31,173,253,237,59
2021,11,10,"2,377",283,220,320,410,98,56,75,311,281,251,72
2021,11,20,"2,946",318,299,346,575,161,73,86,328,359,267,134
2021,11,30,"3,158",354,230,321,656,138,62,81,347,490,382,97
2021,11,40,"4,478",525,391,513,835,191,110,144,594,495,507,173
2021,11,50,"4,636",539,467,575,806,278,120,185,568,446,455,197
2021,11,60,"5,391",555,549,730,869,359,152,315,669,370,529,294
2021,11,70,"3,648",353,422,551,525,260,103,237,455,178,289,275
2021,11,80,"1,935",215,189,321,220,168,84,144,223,67,164,140
2021,11,90,342,35,40,45,43,20,10,24,38,14,48,25
2021,11,100,16,0,2,0,0,1,1,2,2,2,6,0
2021,12,총,"30,488","3,360","2,910","3,870","5,314","1,715",807,"1,319","3,679","2,956","3,098","1,460"
2021,12,0,"1,658",190,101,144,379,50,44,30,169,255,238,58
2021,12,10,"2,367",276,220,316,410,95,55,76,312,285,251,71
2021,12,20,"2,922",319,295,345,571,158,73,87,325,354,262,133
2021,12,30,"3,131",348,228,318,653,138,60,78,343,488,378,99
2021,12,40,"4,484",526,390,513,840,193,107,147,593,497,505,173
2021,12,50,"4,645",544,468,576,811,276,118,189,563,451,450,199
2021,12,60,"5,367",556,552,731,864,355,154,312,664,367,522,290
2021,12,70,"3,618",349,418,554,520,260,103,231,443,177,289,274
2021,12,80,"1,945",216,196,328,224,168,81,143,228,65,157,139
2021,12,90,342,36,40,45,42,21,11,26,37,15,45,24
2021,12,100,9,0,2,0,0,1,1,0,2,2,1,0
