년도,월,나이,전라남도 보성군,전라남도 보성군 보성읍,전라남도 보성군 벌교읍,전라남도 보성군 노동면,전라남도 보성군 미력면,전라남도 보성군 겸백면,전라남도 보성군 율어면,전라남도 보성군 복내면,전라남도 보성군 문덕면,전라남도 보성군 조성면,전라남도 보성군 득량면,전라남도 보성군 득량면예당출장소,전라남도 보성군 회천면,전라남도 보성군 웅치면
2020,12,40,"1,770",612,538,33,41,35,35,54,30,121,85,52,111,23
2020,12,50,"2,962",706,861,69,94,69,83,125,56,248,185,112,274,80
2020,12,60,"3,783",693,"1,156",99,130,109,97,151,85,397,309,130,320,107
2020,12,70,"3,812",568,"1,166",110,154,115,142,185,101,430,304,112,302,123
2020,12,80,"3,246",426,870,155,147,155,145,195,81,359,275,94,231,113
2020,12,90,564,60,163,30,23,18,21,29,16,64,56,14,44,26
2020,12,100,33,8,10,0,1,0,1,1,2,1,4,0,3,2
2021,1,총,"20,728","4,677","6,086",584,713,604,619,888,429,"1,933","1,441",647,"1,544",563
2021,1,0,828,315,242,15,18,16,17,38,10,50,35,17,42,13
2021,1,10,"1,269",432,393,16,27,23,31,34,25,71,61,47,93,16
2021,1,20,"1,290",443,361,30,43,32,24,44,17,101,52,35,69,39
2021,1,30,"1,162",409,334,21,32,28,21,35,7,95,72,37,53,18
2021,1,40,"1,780",616,540,32,41,36,35,54,30,121,86,52,113,24
2021,1,50,"2,958",708,858,72,94,68,84,123,55,249,183,111,273,80
2021,1,60,"3,794",697,"1,161",102,130,110,98,151,87,397,312,128,313,108
2021,1,70,"3,794",562,"1,154",110,154,116,142,184,100,427,302,111,309,123
2021,1,80,"3,242",424,864,156,148,156,143,195,82,356,278,95,230,115
2021,1,90,578,63,168,30,25,18,23,29,15,65,56,14,46,26
2021,1,100,33,8,11,0,1,1,1,1,1,1,4,0,3,1
2021,2,총,"20,655","4,658","6,054",583,714,603,619,886,427,"1,931","1,438",644,"1,538",560
2021,2,0,809,302,237,15,18,16,16,37,9,51,36,17,42,13
2021,2,10,"1,262",438,384,16,27,21,32,33,26,74,60,47,89,15
2021,2,20,"1,266",437,357,30,41,32,24,42,15,99,49,32,69,39
2021,2,30,"1,137",398,323,21,33,29,20,35,7,92,70,38,53,18
2021,2,40,"1,782",618,542,32,40,36,37,55,30,119,87,51,110,25
2021,2,50,"2,947",707,857,69,96,68,82,123,54,244,182,110,276,79
2021,2,60,"3,796",695,"1,155",106,132,109,100,151,89,403,313,127,310,106
2021,2,70,"3,791",561,"1,161",108,152,116,141,183,99,423,303,112,309,123
2021,2,80,"3,255",429,858,154,150,157,144,196,82,362,278,96,233,116
2021,2,90,576,65,168,32,24,18,22,30,15,63,56,14,44,25
2021,2,100,34,8,12,0,1,1,1,1,1,1,4,0,3,1
2021,3,총,"20,584","4,652","6,019",579,717,604,619,877,429,"1,927","1,438",637,"1,530",556
2021,3,0,804,296,238,15,19,17,15,37,10,51,37,16,41,12
2021,3,10,"1,248",445,380,16,26,20,33,31,26,74,57,42,84,14
2021,3,20,"1,249",430,351,28,41,32,24,43,15,99,49,29,69,39
2021,3,30,"1,128",393,327,21,31,28,21,34,6,91,69,39,50,18
2021,3,40,"1,770",613,532,30,42,37,37,53,33,121,89,50,111,22
2021,3,50,"2,937",715,848,68,97,71,81,121,50,241,184,110,273,78
2021,3,60,"3,795",700,"1,148",104,133,108,102,154,91,401,314,125,307,108
2021,3,70,"3,766",559,"1,157",108,151,116,138,175,96,420,301,114,309,122
2021,3,80,"3,271",431,863,156,150,156,143,198,84,362,278,98,236,116
2021,3,90,591,64,170,32,26,18,24,30,17,66,57,14,47,26
2021,3,100,25,6,5,1,1,1,1,1,1,1,3,0,3,1
2021,4,총,"20,587","4,642","6,018",580,717,605,619,877,433,"1,927","1,434",633,"1,540",562
2021,4,0,794,296,235,15,18,17,14,37,10,50,36,14,40,12
2021,4,10,"1,250",445,381,16,26,19,34,32,27,74,55,42,85,14
2021,4,20,"1,254",427,353,28,42,32,23,43,16,98,51,28,72,41
2021,4,30,"1,122",393,322,22,31,28,23,35,7,90,65,37,51,18
2021,4,40,"1,769",616,532,31,41,38,37,50,31,118,89,51,110,25
2021,4,50,"2,940",709,852,68,98,70,81,120,51,246,183,109,274,79
2021,4,60,"3,799",700,"1,146",103,130,108,101,154,92,403,316,126,313,107
2021,4,70,"3,758",553,"1,163",108,154,118,136,174,95,419,298,114,304,122
2021,4,80,"3,281",433,860,156,149,154,146,202,86,360,281,98,239,117
2021,4,90,595,64,169,32,27,20,23,29,17,68,57,14,49,26
2021,4,100,25,6,5,1,1,1,1,1,1,1,3,0,3,1
2021,5,총,"20,393","4,603","5,897",578,713,605,620,881,435,"1,913","1,429",626,"1,541",552
2021,5,0,784,291,233,15,18,17,14,38,9,47,35,14,41,12
2021,5,10,"1,246",441,379,16,26,20,33,32,27,76,56,41,85,14
2021,5,20,"1,236",422,349,27,37,31,22,45,17,93,51,29,74,39
2021,5,30,"1,111",396,313,20,32,29,25,34,7,88,65,33,50,19
2021,5,40,"1,743",605,523,32,41,38,37,51,32,114,87,52,107,24
2021,5,50,"2,894",701,822,69,97,71,80,119,52,241,181,107,276,78
2021,5,60,"3,764",695,"1,121",104,131,105,105,157,91,401,313,123,313,105
2021,5,70,"3,717",551,"1,129",107,155,118,134,171,93,420,296,114,307,122
2021,5,80,"3,283",431,858,154,147,154,145,206,90,365,284,99,234,116
2021,5,90,595,66,166,33,28,21,24,28,16,67,58,14,51,23
2021,5,100,20,4,4,1,1,1,1,0,1,1,3,0,3,0
2021,6,총,"20,376","4,604","5,890",576,711,604,618,875,436,"1,917","1,429",623,"1,536",557
2021,6,0,773,286,228,15,18,17,14,37,8,46,35,14,41,14
2021,6,10,"1,244",442,383,16,25,20,31,30,28,74,58,39,84,14
2021,6,20,"1,226",420,346,26,35,31,22,44,17,94,52,28,74,37
2021,6,30,"1,103",396,311,19,32,29,25,35,7,85,63,31,50,20
2021,6,40,"1,742",604,522,32,41,39,37,50,32,116,86,52,107,24
2021,6,50,"2,878",692,813,69,97,71,79,117,51,243,182,110,275,79
2021,6,60,"3,797",712,"1,132",104,134,103,106,158,92,403,312,123,312,106
2021,6,70,"3,696",547,"1,126",105,154,117,133,170,92,419,295,112,304,122
2021,6,80,"3,292",435,856,155,146,154,146,205,92,369,283,99,234,118
2021,6,90,605,66,169,34,28,22,24,29,16,67,60,15,52,23
2021,6,100,20,4,4,1,1,1,1,0,1,1,3,0,3,0
2021,7,총,"20,360","4,592","5,901",580,711,602,615,876,435,"1,910","1,422",626,"1,538",552
2021,7,0,766,279,226,15,19,17,15,37,8,46,36,15,40,13
2021,7,10,"1,243",441,389,17,25,19,31,31,27,74,56,38,82,13
2021,7,20,"1,207",415,340,25,35,32,22,44,17,90,52,26,76,33
2021,7,30,"1,112",393,318,19,32,30,26,36,8,88,61,32,50,19
2021,7,40,"1,734",598,524,31,41,39,36,48,32,114,84,54,107,26
2021,7,50,"2,878",695,813,73,94,70,76,119,51,245,180,110,274,78
2021,7,60,"3,795",712,"1,136",101,135,102,106,158,92,403,310,122,312,106
2021,7,70,"3,706",553,"1,125",109,154,117,132,169,92,417,293,115,308,122
2021,7,80,"3,290",435,852,155,146,154,147,205,91,367,287,98,234,119
2021,7,90,609,67,173,34,29,21,23,29,17,65,60,16,52,23
2021,7,100,20,4,5,1,1,1,1,0,0,1,3,0,3,0
2021,8,총,"20,347","4,573","5,913",581,714,606,609,873,436,"1,896","1,416",632,"1,547",551
2021,8,0,757,272,229,14,20,17,14,38,8,42,33,16,41,13
2021,8,10,"1,244",433,392,17,25,22,31,32,27,75,57,38,83,12
2021,8,20,"1,199",422,338,26,35,31,21,40,17,89,49,25,74,32
2021,8,30,"1,125",399,327,20,33,29,26,36,8,83,59,34,53,18
2021,8,40,"1,714",584,521,29,42,41,34,46,32,115,83,52,109,26
2021,8,50,"2,869",697,809,73,89,70,76,117,50,244,181,114,272,77
2021,8,60,"3,801",710,"1,142",101,138,102,103,161,90,404,309,120,314,107
2021,8,70,"3,689",549,"1,121",110,152,117,134,167,93,415,289,116,305,121
2021,8,80,"3,315",433,858,157,150,155,146,206,93,366,293,100,240,118
2021,8,90,613,70,172,33,29,21,23,30,17,62,60,17,53,26
2021,8,100,21,4,4,1,1,1,1,0,1,1,3,0,3,1
2021,9,총,"20,263","4,560","5,903",573,712,592,604,864,436,"1,891","1,404",634,"1,540",550
2021,9,0,745,273,228,12,20,16,13,37,8,42,31,14,40,11
2021,9,10,"1,229",426,387,17,24,22,31,27,27,75,58,40,84,11
2021,9,20,"1,173",415,331,24,36,27,21,41,19,85,47,27,69,31
2021,9,30,"1,113",396,323,19,32,27,24,35,8,86,58,34,54,17
2021,9,40,"1,706",586,520,27,43,40,34,43,32,114,80,54,107,26
2021,9,50,"2,858",700,807,74,88,67,76,118,51,240,178,113,271,75
2021,9,60,"3,794",711,"1,145",100,134,102,103,157,91,403,306,120,313,109
2021,9,70,"3,677",540,"1,124",110,153,115,133,168,90,417,289,115,305,118
2021,9,80,"3,337",442,862,156,151,155,145,206,93,366,293,100,243,125
2021,9,90,611,67,172,33,30,20,23,32,16,62,61,17,52,26
2021,9,100,20,4,4,1,1,1,1,0,1,1,3,0,2,1
2021,10,총,"20,250","4,547","5,908",572,711,593,603,863,435,"1,891","1,404",631,"1,542",550
2021,10,0,737,273,225,12,19,15,12,37,9,41,30,13,39,12
2021,10,10,"1,229",430,384,16,24,24,31,26,28,77,57,39,82,11
2021,10,20,"1,180",414,336,25,35,25,21,43,17,83,47,29,73,32
2021,10,30,"1,100",381,324,20,30,27,25,35,8,85,59,33,56,17
2021,10,40,"1,696",589,508,26,44,42,34,41,32,114,82,52,106,26
2021,10,50,"2,868",696,813,71,89,68,76,119,52,244,180,114,273,73
2021,10,60,"3,784",712,"1,145",99,134,100,102,156,91,402,302,121,309,111
2021,10,70,"3,662",538,"1,124",109,151,115,134,171,86,412,289,111,306,116
2021,10,80,"3,354",439,871,160,155,156,144,201,95,369,293,102,244,125
2021,10,90,619,71,173,33,29,20,23,34,16,63,62,17,52,26
2021,10,100,21,4,5,1,1,1,1,0,1,1,3,0,2,1
2021,11,총,"20,214","4,536","5,898",564,710,589,602,863,433,"1,893","1,403",634,"1,543",546
2021,11,0,728,275,220,11,18,14,12,36,9,41,30,13,37,12
2021,11,10,"1,227",430,384,15,24,22,31,27,28,77,58,37,83,11
2021,11,20,"1,169",412,332,24,34,25,21,44,15,81,48,33,71,29
2021,11,30,"1,085",375,321,21,29,26,24,33,8,84,57,31,59,17
2021,11,40,"1,691",582,502,25,45,41,35,42,32,114,86,53,107,27
2021,11,50,"2,857",696,817,69,86,69,74,118,52,247,173,112,271,73
2021,11,60,"3,797",713,"1,148",99,136,99,102,156,90,402,307,124,311,110
2021,11,70,"3,653",535,"1,122",108,153,115,135,172,86,408,285,113,304,117
2021,11,80,"3,367",443,874,158,154,157,145,201,96,376,294,101,245,123
2021,11,90,619,72,172,33,30,20,22,34,16,62,62,17,53,26
2021,11,100,21,3,6,1,1,1,1,0,1,1,3,0,2,1
2021,12,총,"20,154","4,528","5,876",564,710,590,598,860,437,"1,888","1,394",634,"1,527",548
2021,12,0,724,277,216,11,18,14,11,36,8,42,28,14,37,12
2021,12,10,"1,214",431,377,15,23,22,31,26,30,75,58,36,79,11
2021,12,20,"1,152",402,335,23,33,24,21,45,17,77,45,31,71,28
2021,12,30,"1,077",377,319,21,29,23,24,33,8,83,56,32,55,17
2021,12,40,"1,691",583,499,26,46,43,34,41,32,116,87,54,103,27
2021,12,50,"2,851",695,815,70,86,71,74,118,53,242,171,111,272,73
2021,12,60,"3,795",710,"1,149",98,137,99,100,156,89,404,307,125,310,111
2021,12,70,"3,648",542,"1,117",107,152,114,134,172,86,406,285,113,301,119
2021,12,80,"3,364",436,871,160,156,159,145,199,97,381,292,99,246,123
2021,12,90,622,73,172,32,29,20,23,34,16,62,64,19,52,26
2021,12,100,16,2,6,1,1,1,1,0,1,0,1,0,1,1
