년도,월,나이,경기도 양평군,경기도 양평군 양평읍,경기도 양평군 강상면,경기도 양평군 강하면,경기도 양평군 양서면,경기도 양평군 옥천면,경기도 양평군 서종면,경기도 양평군 단월면,경기도 양평군 청운면,경기도 양평군 양동면,경기도 양평군 지평면,경기도 양평군 용문면,경기도 양평군 개군면
2020,5,총,"58,554","15,254","5,159","2,288","6,620","3,865","4,816","1,910","1,844","2,299","3,343","8,634","2,522"
2020,5,0,"3,643","1,112",476,74,361,251,334,63,55,63,91,643,120
2020,5,10,"4,560","1,583",444,105,479,259,373,119,67,93,166,724,148
2020,5,20,"4,701","1,621",362,135,559,297,269,116,116,122,203,725,176
2020,5,30,"5,432","1,635",641,181,583,375,433,119,93,133,195,851,193
2020,5,40,"7,960","2,478",813,242,877,476,754,210,155,174,317,"1,183",281
2020,5,50,"10,209","2,610",840,462,"1,191",692,879,352,327,419,628,"1,365",444
2020,5,60,"10,985","2,117",855,603,"1,325",817,"1,010",432,453,584,747,"1,471",571
2020,5,70,"6,512","1,243",431,321,787,436,460,286,311,374,543,976,344
2020,5,80,"3,792",736,251,129,371,221,247,184,222,273,375,569,214
2020,5,90,707,107,42,36,81,38,53,29,39,57,75,120,30
2020,5,100,53,12,4,0,6,3,4,0,6,7,3,7,1
2020,6,총,"58,653","15,262","5,171","2,300","6,673","3,867","4,840","1,902","1,847","2,302","3,357","8,627","2,505"
2020,6,0,"3,641","1,115",472,75,362,249,341,63,55,62,90,639,118
2020,6,10,"4,565","1,585",454,104,482,265,370,113,65,93,167,720,147
2020,6,20,"4,702","1,615",369,133,568,299,274,116,116,122,199,716,175
2020,6,30,"5,408","1,613",642,187,583,372,437,119,92,133,198,845,187
2020,6,40,"7,957","2,482",817,239,880,476,750,207,155,171,313,"1,185",282
2020,6,50,"10,203","2,606",841,463,"1,198",689,886,345,321,420,640,"1,356",438
2020,6,60,"11,073","2,137",853,612,"1,347",820,"1,008",436,463,589,753,"1,482",573
2020,6,70,"6,540","1,249",429,320,792,437,469,289,311,373,544,987,340
2020,6,80,"3,792",742,251,129,370,217,245,185,224,274,375,565,215
2020,6,90,718,106,39,38,85,40,56,29,38,58,75,125,29
2020,6,100,54,12,4,0,6,3,4,0,7,7,3,7,1
2020,7,총,"58,739","15,227","5,183","2,305","6,724","3,875","4,843","1,901","1,859","2,296","3,343","8,682","2,501"
2020,7,0,"3,620","1,098",471,76,362,248,339,62,56,62,89,636,121
2020,7,10,"4,572","1,580",454,101,482,263,374,112,66,93,165,737,145
2020,7,20,"4,706","1,605",380,134,579,291,269,118,115,120,194,726,175
2020,7,30,"5,403","1,609",630,188,589,382,442,119,92,132,201,836,183
2020,7,40,"7,972","2,475",822,244,889,474,751,200,157,170,312,"1,198",280
2020,7,50,"10,209","2,601",849,459,"1,196",691,885,344,330,423,635,"1,363",433
2020,7,60,"11,123","2,147",856,610,"1,361",820,"1,013",442,465,586,753,"1,495",575
2020,7,70,"6,564","1,247",432,325,803,439,467,287,310,372,540,997,345
2020,7,80,"3,799",748,245,131,374,223,241,186,225,273,376,564,213
2020,7,90,719,106,40,37,84,41,58,31,36,58,75,123,30
2020,7,100,52,11,4,0,5,3,4,0,7,7,3,7,1
2020,8,총,"58,897","15,259","5,204","2,306","6,741","3,892","4,853","1,894","1,857","2,301","3,339","8,750","2,501"
2020,8,0,"3,606","1,090",471,75,361,251,338,63,52,61,94,631,119
2020,8,10,"4,622","1,591",453,101,481,260,377,106,70,95,165,777,146
2020,8,20,"4,728","1,599",385,136,575,298,269,118,115,119,197,739,178
2020,8,30,"5,370","1,606",628,182,588,376,441,115,90,130,203,827,184
2020,8,40,"8,004","2,495",830,249,893,477,754,200,154,172,304,"1,202",274
2020,8,50,"10,193","2,591",850,458,"1,204",688,874,341,331,424,629,"1,378",425
2020,8,60,"11,206","2,165",862,614,"1,370",827,"1,024",449,467,590,757,"1,497",584
2020,8,70,"6,577","1,254",438,322,804,443,471,286,311,370,533,999,346
2020,8,80,"3,810",747,245,131,378,225,242,185,224,275,380,564,214
2020,8,90,728,110,38,38,82,43,59,31,36,58,74,129,30
2020,8,100,53,11,4,0,5,4,4,0,7,7,3,7,1
2020,9,총,"58,940","15,242","5,224","2,312","6,742","3,902","4,858","1,886","1,854","2,305","3,351","8,767","2,497"
2020,9,0,"3,595","1,083",466,78,357,254,339,65,53,61,98,625,116
2020,9,10,"4,610","1,594",457,100,480,255,376,99,70,94,162,779,144
2020,9,20,"4,718","1,584",387,139,572,304,270,117,111,117,201,741,175
2020,9,30,"5,364","1,603",632,178,593,381,436,113,90,131,202,826,179
2020,9,40,"7,987","2,485",829,249,888,479,755,200,152,172,300,"1,204",274
2020,9,50,"10,200","2,589",848,460,"1,208",692,877,333,328,430,625,"1,388",422
2020,9,60,"11,240","2,177",872,614,"1,372",822,"1,024",457,474,588,762,"1,490",588
2020,9,70,"6,616","1,254",445,323,807,443,475,284,314,372,537,"1,009",353
2020,9,80,"3,818",748,244,132,379,226,243,187,221,272,385,568,213
2020,9,90,739,113,40,39,81,42,59,31,35,61,76,130,32
2020,9,100,53,12,4,0,5,4,4,0,6,7,3,7,1
2020,10,총,"59,076","15,270","5,243","2,307","6,770","3,922","4,875","1,882","1,848","2,307","3,352","8,802","2,498"
2020,10,0,"3,585","1,073",461,77,363,255,336,66,54,61,97,624,118
2020,10,10,"4,623","1,601",457,96,482,258,384,99,67,92,163,779,145
2020,10,20,"4,723","1,583",394,143,570,303,271,114,111,116,201,745,172
2020,10,30,"5,341","1,594",632,172,586,373,433,115,92,134,205,829,176
2020,10,40,"8,007","2,496",832,246,890,490,762,199,149,177,299,"1,196",271
2020,10,50,"10,197","2,601",843,454,"1,200",697,876,327,330,426,617,"1,404",422
2020,10,60,"11,324","2,180",883,617,"1,391",826,"1,028",457,472,591,773,"1,513",593
2020,10,70,"6,643","1,265",447,327,812,446,477,286,314,371,537,"1,006",355
2020,10,80,"3,823",749,250,133,385,228,242,187,219,270,381,566,213
2020,10,90,758,116,40,42,86,42,62,32,35,62,76,133,32
2020,10,100,52,12,4,0,5,4,4,0,5,7,3,7,1
2020,11,총,"59,178","15,308","5,275","2,312","6,779","3,906","4,870","1,888","1,847","2,311","3,358","8,819","2,505"
2020,11,0,"3,571","1,069",467,72,363,249,337,67,54,60,94,621,118
2020,11,10,"4,625","1,608",456,96,482,260,380,98,67,95,167,773,143
2020,11,20,"4,738","1,590",403,146,571,300,270,110,109,116,202,749,172
2020,11,30,"5,333","1,587",638,169,590,373,436,115,92,135,202,822,174
2020,11,40,"8,003","2,495",834,249,885,490,749,197,147,177,308,"1,198",274
2020,11,50,"10,187","2,601",837,448,"1,202",685,878,323,331,428,611,"1,421",422
2020,11,60,"11,396","2,200",898,623,"1,390",826,"1,035",467,474,587,778,"1,521",597
2020,11,70,"6,664","1,273",444,331,822,449,476,290,313,372,534,"1,001",359
2020,11,80,"3,839",752,254,135,383,231,244,188,218,272,383,568,211
2020,11,90,769,120,40,43,86,39,61,33,37,62,76,138,34
2020,11,100,53,13,4,0,5,4,4,0,5,7,3,7,1
2020,12,총,"59,247","15,301","5,282","2,337","6,817","3,921","4,869","1,893","1,840","2,321","3,352","8,794","2,520"
2020,12,0,"3,566","1,056",467,80,366,251,333,68,54,60,91,620,120
2020,12,10,"4,605","1,611",460,98,488,257,382,98,64,95,171,737,144
2020,12,20,"4,730","1,582",396,146,577,310,268,110,109,119,198,739,176
2020,12,30,"5,344","1,585",641,178,594,371,433,117,89,137,203,826,170
2020,12,40,"8,010","2,505",833,251,888,487,747,197,146,178,310,"1,194",274
2020,12,50,"10,176","2,599",840,441,"1,208",687,870,319,327,431,608,"1,421",425
2020,12,60,"11,464","2,217",900,631,"1,399",825,"1,044",467,476,590,778,"1,539",598
2020,12,70,"6,670","1,264",446,333,823,451,480,289,316,372,532,"1,000",364
2020,12,80,"3,855",748,255,138,381,238,247,193,218,272,381,574,210
2020,12,90,776,122,41,41,88,40,61,35,37,60,77,136,38
2020,12,100,51,12,3,0,5,4,4,0,4,7,3,8,1
2021,1,총,"59,364","15,342","5,292","2,356","6,834","3,934","4,870","1,921","1,833","2,316","3,361","8,782","2,523"
2021,1,0,"3,554","1,049",466,81,366,253,330,69,51,60,93,618,118
2021,1,10,"4,614","1,612",457,99,497,261,388,110,66,94,165,718,147
2021,1,20,"4,710","1,585",402,147,565,305,265,111,105,118,198,733,176
2021,1,30,"5,340","1,586",639,182,595,361,435,121,88,136,206,819,172
2021,1,40,"8,032","2,513",835,246,896,494,739,203,145,178,308,"1,199",276
2021,1,50,"10,137","2,598",830,444,"1,199",692,865,318,321,428,609,"1,414",419
2021,1,60,"11,559","2,240",915,640,"1,411",828,"1,047",470,481,589,786,"1,551",601
2021,1,70,"6,698","1,266",452,334,828,452,488,292,314,376,533,998,365
2021,1,80,"3,889",756,251,142,385,244,249,192,219,270,382,589,210
2021,1,90,779,123,42,41,87,40,60,35,39,60,78,136,38
2021,1,100,52,14,3,0,5,4,4,0,4,7,3,7,1
2021,2,총,"59,525","15,384","5,275","2,366","6,840","3,952","4,912","1,906","1,842","2,319","3,366","8,805","2,558"
2021,2,0,"3,546","1,062",454,81,358,253,326,63,51,58,94,621,125
2021,2,10,"4,601","1,598",450,98,498,264,395,110,67,93,166,713,149
2021,2,20,"4,711","1,594",402,147,564,301,268,108,103,119,195,730,180
2021,2,30,"5,346","1,583",625,176,598,367,444,121,90,140,203,825,174
2021,2,40,"8,070","2,521",843,256,891,506,744,204,146,174,305,"1,201",279
2021,2,50,"10,111","2,601",821,438,"1,197",689,861,312,317,430,609,"1,415",421
2021,2,60,"11,678","2,264",923,652,"1,423",830,"1,070",471,489,592,793,"1,563",608
2021,2,70,"6,702","1,264",454,332,830,447,489,289,317,375,535,"1,001",369
2021,2,80,"3,925",761,256,145,388,251,251,192,219,268,387,593,214
2021,2,90,781,122,44,41,88,40,59,36,38,63,76,136,38
2021,2,100,54,14,3,0,5,4,5,0,5,7,3,7,1
2021,3,총,"59,407","15,313","5,284","2,365","6,847","3,947","4,905","1,912","1,835","2,304","3,333","8,807","2,555"
2021,3,0,"3,544","1,055",459,81,360,249,323,64,48,59,92,630,124
2021,3,10,"4,581","1,586",452,98,501,257,395,112,67,92,162,710,149
2021,3,20,"4,699","1,581",397,149,564,304,272,106,101,119,194,733,179
2021,3,30,"5,321","1,578",631,170,588,370,442,121,89,132,192,835,173
2021,3,40,"8,019","2,489",841,257,895,507,742,200,146,174,307,"1,183",278
2021,3,50,"10,070","2,603",813,438,"1,204",686,849,308,316,429,597,"1,411",416
2021,3,60,"11,753","2,279",923,661,"1,416",836,"1,087",479,492,591,797,"1,575",617
2021,3,70,"6,681","1,251",464,330,836,447,485,291,315,374,529,997,362
2021,3,80,"3,936",767,256,143,388,250,248,194,227,269,383,594,217
2021,3,90,772,116,45,38,90,40,59,37,33,62,78,135,39
2021,3,100,31,8,3,0,5,1,3,0,1,3,2,4,1
2021,4,총,"59,524","15,339","5,295","2,368","6,861","3,963","4,912","1,906","1,834","2,308","3,349","8,834","2,555"
2021,4,0,"3,529","1,054",462,82,354,252,318,65,46,56,90,626,124
2021,4,10,"4,565","1,576",452,100,505,257,396,113,68,91,157,703,147
2021,4,20,"4,709","1,588",400,149,560,307,272,104,100,118,200,736,175
2021,4,30,"5,343","1,575",636,173,593,374,439,120,92,130,192,841,178
2021,4,40,"8,024","2,493",837,254,895,504,745,194,146,173,315,"1,187",281
2021,4,50,"10,054","2,599",801,432,"1,205",690,852,311,311,435,591,"1,416",411
2021,4,60,"11,833","2,295",936,667,"1,427",829,"1,093",480,499,595,808,"1,587",617
2021,4,70,"6,696","1,258",465,330,833,455,486,288,313,372,530,"1,003",363
2021,4,80,"3,968",776,260,144,394,252,247,195,227,274,384,596,219
2021,4,90,771,117,43,37,90,42,61,36,31,61,80,135,38
2021,4,100,32,8,3,0,5,1,3,0,1,3,2,4,2
2021,5,총,"59,679","15,353","5,293","2,375","6,886","3,982","4,935","1,909","1,844","2,307","3,368","8,867","2,560"
2021,5,0,"3,516","1,053",459,81,353,251,325,63,44,56,93,619,119
2021,5,10,"4,584","1,574",453,104,502,262,399,109,67,92,153,722,147
2021,5,20,"4,719","1,588",395,152,562,311,273,104,98,115,209,741,171
2021,5,30,"5,327","1,570",627,171,595,372,436,120,89,127,196,840,184
2021,5,40,"8,013","2,486",842,251,890,507,745,193,146,172,312,"1,191",278
2021,5,50,"10,084","2,603",808,430,"1,208",691,862,318,315,436,583,"1,419",411
2021,5,60,"11,925","2,310",936,673,"1,440",836,"1,091",483,510,600,818,"1,602",626
2021,5,70,"6,707","1,266",466,329,842,454,488,287,313,369,532,999,362
2021,5,80,"3,993",774,260,148,397,253,252,195,230,275,389,598,222
2021,5,90,778,121,44,35,92,44,61,36,31,62,81,133,38
2021,5,100,33,8,3,1,5,1,3,1,1,3,2,3,2
2021,6,총,"59,753","15,331","5,295","2,374","6,929","3,988","4,938","1,911","1,854","2,314","3,371","8,879","2,569"
2021,6,0,"3,517","1,058",456,80,356,250,318,64,44,58,94,614,125
2021,6,10,"4,580","1,552",454,106,505,260,406,104,66,94,154,731,148
2021,6,20,"4,710","1,575",389,149,568,315,273,110,98,116,215,737,165
2021,6,30,"5,313","1,566",623,166,597,370,435,120,91,128,194,835,188
2021,6,40,"8,023","2,476",845,252,896,505,744,190,148,172,318,"1,199",278
2021,6,50,"10,055","2,599",804,435,"1,204",689,864,317,315,432,576,"1,409",411
2021,6,60,"12,028","2,331",942,676,"1,464",841,"1,097",485,514,603,816,"1,625",634
2021,6,70,"6,698","1,262",472,327,842,458,485,291,314,372,534,985,356
2021,6,80,"4,016",784,261,146,402,257,250,193,229,273,388,609,224
2021,6,90,779,120,46,36,90,42,63,36,33,63,80,131,39
2021,6,100,34,8,3,1,5,1,3,1,2,3,2,4,1
2021,7,총,"59,906","15,345","5,283","2,379","6,949","4,001","4,947","1,908","1,856","2,316","3,388","8,956","2,578"
2021,7,0,"3,509","1,060",458,82,353,251,315,63,44,58,92,606,127
2021,7,10,"4,643","1,560",452,102,505,263,406,105,66,96,159,782,147
2021,7,20,"4,714","1,581",387,149,566,311,273,110,98,120,215,736,168
2021,7,30,"5,317","1,553",613,171,594,381,436,121,91,126,196,848,187
2021,7,40,"8,030","2,476",845,251,906,499,747,185,150,175,325,"1,195",276
2021,7,50,"10,022","2,589",785,434,"1,207",692,855,315,313,427,568,"1,423",414
2021,7,60,"12,145","2,355",960,685,"1,477",838,"1,112",488,515,607,831,"1,637",640
2021,7,70,"6,686","1,257",475,324,843,462,487,289,312,369,533,983,352
2021,7,80,"4,026",784,260,145,404,260,251,194,230,270,389,610,229
2021,7,90,780,122,45,35,89,43,62,37,35,65,78,132,37
2021,7,100,34,8,3,1,5,1,3,1,2,3,2,4,1
2021,8,총,"60,137","15,385","5,277","2,394","6,968","4,021","4,969","1,917","1,854","2,317","3,409","9,035","2,591"
2021,8,0,"3,516","1,058",458,83,358,251,316,64,43,55,99,604,127
2021,8,10,"4,689","1,561",453,105,499,264,413,107,65,99,161,819,143
2021,8,20,"4,725","1,588",386,147,562,317,269,110,96,118,210,747,175
2021,8,30,"5,316","1,553",603,172,586,379,446,117,95,127,199,853,186
2021,8,40,"8,045","2,471",855,255,910,499,743,185,149,177,327,"1,196",278
2021,8,50,"10,063","2,604",783,440,"1,219",698,867,320,307,420,565,"1,426",414
2021,8,60,"12,224","2,381",961,686,"1,484",849,"1,118",494,518,615,832,"1,641",645
2021,8,70,"6,697","1,252",471,324,845,462,485,288,313,369,542,992,354
2021,8,80,"4,039",793,259,147,409,259,246,193,228,268,390,616,231
2021,8,90,787,117,44,33,90,42,63,38,38,66,82,137,37
2021,8,100,36,7,4,2,6,1,3,1,2,3,2,4,1
2021,9,총,"60,206","15,402","5,267","2,399","6,984","4,016","4,999","1,922","1,854","2,325","3,417","9,032","2,589"
2021,9,0,"3,503","1,048",452,84,353,248,318,63,41,53,105,613,125
2021,9,10,"4,679","1,562",450,105,501,267,416,108,67,97,155,807,144
2021,9,20,"4,708","1,586",384,147,567,310,263,107,94,118,211,750,171
2021,9,30,"5,298","1,543",602,169,585,374,448,116,90,126,202,855,188
2021,9,40,"8,031","2,485",845,254,905,498,750,186,147,179,323,"1,183",276
2021,9,50,"10,082","2,599",784,440,"1,235",690,868,324,312,423,564,"1,430",413
2021,9,60,"12,308","2,400",970,689,"1,480",863,"1,130",504,521,621,836,"1,645",649
2021,9,70,"6,698","1,257",473,324,846,460,487,285,314,366,544,992,350
2021,9,80,"4,072",794,260,151,417,263,252,189,228,273,390,621,234
2021,9,90,790,121,43,34,89,42,64,39,37,66,85,132,38
2021,9,100,37,7,4,2,6,1,3,1,3,3,2,4,1
2021,10,총,"60,315","15,425","5,287","2,403","6,991","4,042","5,007","1,919","1,857","2,327","3,445","9,017","2,595"
2021,10,0,"3,495","1,048",454,86,359,249,318,61,38,54,106,603,119
2021,10,10,"4,668","1,562",452,102,501,267,414,106,65,99,157,796,147
2021,10,20,"4,692","1,588",385,145,565,305,269,104,98,116,212,734,171
2021,10,30,"5,317","1,547",600,171,591,375,459,119,87,129,204,847,188
2021,10,40,"8,015","2,465",855,253,900,501,741,188,147,179,321,"1,185",280
2021,10,50,"10,112","2,603",790,441,"1,238",692,866,322,316,421,571,"1,434",418
2021,10,60,"12,384","2,415",967,689,"1,488",877,"1,132",509,521,619,854,"1,665",648
2021,10,70,"6,699","1,260",475,329,841,463,489,282,313,367,539,989,352
2021,10,80,"4,086",807,260,149,415,271,253,188,231,267,391,622,232
2021,10,90,809,123,45,36,87,41,63,39,38,73,88,137,39
2021,10,100,38,7,4,2,6,1,3,1,3,3,2,5,1
2021,11,총,"60,337","15,419","5,291","2,407","6,988","4,068","5,027","1,909","1,853","2,327","3,443","9,004","2,601"
2021,11,0,"3,472","1,040",450,88,357,249,318,60,39,54,104,597,116
2021,11,10,"4,649","1,569",447,103,498,270,422,102,64,99,156,771,148
2021,11,20,"4,686","1,594",391,145,561,306,268,102,96,116,210,727,170
2021,11,30,"5,284","1,534",592,171,585,374,461,120,88,132,206,834,187
2021,11,40,"8,031","2,465",849,254,900,504,748,188,141,182,317,"1,202",281
2021,11,50,"10,139","2,594",798,440,"1,246",700,861,322,319,422,578,"1,437",422
2021,11,60,"12,441","2,430",973,690,"1,492",885,"1,142",506,523,612,855,"1,679",654
2021,11,70,"6,689","1,261",478,327,843,464,492,280,310,367,534,983,350
2021,11,80,"4,097",802,260,151,415,274,251,189,233,266,391,633,232
2021,11,90,814,123,49,36,88,41,62,39,37,73,90,136,40
2021,11,100,35,7,4,2,3,1,2,1,3,4,2,5,1
2021,12,총,"60,384","15,441","5,284","2,415","7,012","4,079","5,028","1,906","1,849","2,327","3,468","8,984","2,591"
2021,12,0,"3,441","1,022",448,87,359,249,315,60,37,52,103,595,114
2021,12,10,"4,635","1,581",442,106,499,269,429,103,62,103,159,737,145
2021,12,20,"4,682","1,580",390,144,568,314,261,103,95,114,220,720,173
2021,12,30,"5,270","1,531",593,173,582,371,457,117,89,129,204,841,183
2021,12,40,"8,049","2,468",845,258,901,507,755,182,140,184,321,"1,202",286
2021,12,50,"10,182","2,616",803,438,"1,249",701,858,329,317,423,586,"1,448",414
2021,12,60,"12,479","2,441",971,692,"1,507",889,"1,140",502,526,613,859,"1,681",658
2021,12,70,"6,694","1,272",477,326,842,464,497,278,309,369,527,985,348
2021,12,80,"4,122",809,267,155,413,274,254,192,234,262,395,638,229
2021,12,90,800,116,47,34,89,40,60,39,37,74,91,133,40
2021,12,100,30,5,1,2,3,1,2,1,3,4,3,4,1
