년도,월,나이,강진군,강진읍,군동면,칠량면,대구면,도암면,신전면,성전면,작천면,병영면,옴천면,마량면
2020,4,30,"1,337",695,160,65,33,72,41,90,58,44,10,69
2020,4,40,"2,150",940,251,122,75,126,116,157,93,105,42,123
2020,4,50,"3,119","1,168",381,228,96,228,169,255,194,142,69,189
2020,4,60,"3,008",949,380,237,117,279,184,301,167,166,56,172
2020,4,70,"2,218",607,228,199,120,218,149,217,162,117,62,139
2020,4,80,"1,069",226,136,102,35,114,83,123,94,77,25,54
2020,4,90,90,19,15,6,2,13,3,11,6,9,5,1
2020,4,100,5,1,0,0,0,1,1,1,1,0,0,0
2020,5,총,"16,854","6,645","2,069","1,150",543,"1,233",871,"1,399",915,790,330,909
2020,5,0,943,550,113,42,7,33,31,60,30,22,13,42
2020,5,10,"1,317",681,184,60,28,69,55,68,41,56,28,47
2020,5,20,"1,604",821,209,87,35,79,43,115,69,51,20,75
2020,5,30,"1,327",681,164,64,32,74,40,90,59,45,9,69
2020,5,40,"2,151",944,258,123,73,124,113,157,91,104,42,122
2020,5,50,"3,110","1,166",377,228,95,226,169,255,197,142,70,185
2020,5,60,"3,006",948,380,239,118,279,183,299,164,166,57,173
2020,5,70,"2,230",608,231,199,119,220,151,219,164,117,62,140
2020,5,80,"1,068",225,138,103,34,114,83,123,92,78,23,55
2020,5,90,94,20,15,5,2,14,3,12,7,9,6,1
2020,5,100,4,1,0,0,0,1,0,1,1,0,0,0
2020,6,총,"16,851","6,635","2,093","1,144",544,"1,225",869,"1,399",914,793,329,906
2020,6,0,936,543,117,42,7,31,33,60,29,22,12,40
2020,6,10,"1,324",684,189,60,28,70,52,67,42,55,29,48
2020,6,20,"1,601",824,210,84,36,78,44,116,69,52,18,70
2020,6,30,"1,313",675,167,63,30,68,41,90,58,43,9,69
2020,6,40,"2,150",941,260,122,73,127,113,157,90,103,43,121
2020,6,50,"3,096","1,163",377,225,96,223,163,249,194,146,70,190
2020,6,60,"3,023",948,385,240,120,277,186,302,169,167,57,172
2020,6,70,"2,240",609,236,201,118,223,151,220,163,117,63,139
2020,6,80,"1,072",228,138,102,34,113,83,125,92,79,22,56
2020,6,90,92,19,14,5,2,14,3,12,7,9,6,1
2020,6,100,4,1,0,0,0,1,0,1,1,0,0,0
2020,7,총,"16,828","6,623","2,107","1,139",546,"1,224",862,"1,393",911,788,328,907
2020,7,0,924,538,119,40,7,26,32,57,30,22,12,41
2020,7,10,"1,329",686,189,56,27,80,51,66,42,55,29,48
2020,7,20,"1,607",822,218,85,38,78,45,116,66,52,18,69
2020,7,30,"1,301",664,168,64,29,66,39,91,58,43,9,70
2020,7,40,"2,139",943,261,118,71,124,110,157,91,100,42,122
2020,7,50,"3,094","1,160",378,228,98,221,162,247,194,148,70,188
2020,7,60,"3,022",943,389,242,121,279,187,300,169,165,56,171
2020,7,70,"2,248",621,235,196,118,224,150,222,160,118,64,140
2020,7,80,"1,069",225,136,105,35,112,83,124,93,77,22,57
2020,7,90,91,20,14,5,2,13,3,12,7,8,6,1
2020,7,100,4,1,0,0,0,1,0,1,1,0,0,0
2020,8,총,"16,794","6,631","2,095","1,131",544,"1,228",857,"1,381",911,790,325,901
2020,8,0,905,526,119,40,7,26,31,56,29,22,11,38
2020,8,10,"1,318",686,186,55,26,79,50,64,42,54,29,47
2020,8,20,"1,617",833,214,83,39,79,47,111,67,55,18,71
2020,8,30,"1,289",662,165,64,28,66,37,90,58,41,9,69
2020,8,40,"2,129",951,256,117,67,124,107,152,92,100,41,122
2020,8,50,"3,081","1,149",378,226,100,220,165,245,193,149,70,186
2020,8,60,"3,034",949,391,242,121,281,185,304,171,164,56,170
2020,8,70,"2,247",627,233,197,117,226,147,223,157,119,63,138
2020,8,80,"1,076",226,139,102,36,113,85,123,94,78,22,58
2020,8,90,94,21,14,5,3,13,3,12,7,8,6,2
2020,8,100,4,1,0,0,0,1,0,1,1,0,0,0
2020,9,총,"16,773","6,625","2,091","1,132",547,"1,228",855,"1,376",912,791,319,897
2020,9,0,901,523,115,41,8,27,30,58,30,21,10,38
2020,9,10,"1,304",681,186,54,25,77,48,64,41,54,27,47
2020,9,20,"1,619",838,213,82,41,79,49,109,66,56,18,68
2020,9,30,"1,284",658,168,64,29,67,35,88,57,42,9,67
2020,9,40,"2,124",954,254,116,66,125,107,148,94,97,41,122
2020,9,50,"3,066","1,136",377,226,101,217,168,245,192,150,68,186
2020,9,60,"3,052",963,391,245,121,283,185,304,172,162,55,171
2020,9,70,"2,242",622,235,195,114,225,147,224,157,122,63,138
2020,9,80,"1,078",227,137,104,38,114,83,123,95,78,22,57
2020,9,90,99,22,15,5,4,13,3,12,7,9,6,3
2020,9,100,4,1,0,0,0,1,0,1,1,0,0,0
2020,10,총,"16,783","6,647","2,093","1,125",548,"1,224",858,"1,371",905,794,319,899
2020,10,0,896,530,111,41,10,24,30,54,29,20,10,37
2020,10,10,"1,308",681,190,55,22,76,48,63,41,54,27,51
2020,10,20,"1,631",847,214,81,41,82,48,108,65,58,18,69
2020,10,30,"1,273",657,168,62,29,63,35,86,56,41,10,66
2020,10,40,"2,115",949,248,113,68,128,108,149,92,97,40,123
2020,10,50,"3,065","1,134",381,225,101,216,168,246,192,149,68,185
2020,10,60,"3,070",979,395,242,120,283,187,302,173,166,55,168
2020,10,70,"2,235",617,235,196,114,224,146,224,154,122,63,140
2020,10,80,"1,088",231,137,105,39,113,85,126,95,78,22,57
2020,10,90,98,21,14,5,4,14,3,12,7,9,6,3
2020,10,100,4,1,0,0,0,1,0,1,1,0,0,0
2020,11,총,"16,756","6,643","2,090","1,123",546,"1,217",858,"1,367",902,795,317,898
2020,11,0,886,526,108,40,10,23,29,54,28,20,10,38
2020,11,10,"1,298",685,187,55,21,74,48,61,39,51,26,51
2020,11,20,"1,619",839,215,80,39,80,46,110,64,60,18,68
2020,11,30,"1,275",658,171,61,29,63,37,84,55,42,10,65
2020,11,40,"2,111",950,251,111,65,127,107,150,93,95,40,122
2020,11,50,"3,059","1,133",376,225,104,219,167,243,190,151,65,186
2020,11,60,"3,075",980,396,242,121,280,189,302,176,165,57,167
2020,11,70,"2,247",618,238,197,114,225,148,226,154,123,62,142
2020,11,80,"1,083",230,136,107,39,111,84,124,95,78,23,56
2020,11,90,99,23,12,5,4,14,3,12,7,10,6,3
2020,11,100,4,1,0,0,0,1,0,1,1,0,0,0
2020,12,총,"16,715","6,625","2,099","1,120",552,"1,216",849,"1,364",889,790,318,893
2020,12,0,875,520,112,39,11,23,27,52,26,20,8,37
2020,12,10,"1,300",684,193,54,22,75,47,61,37,50,28,49
2020,12,20,"1,611",834,212,82,41,80,45,110,61,58,20,68
2020,12,30,"1,269",654,173,59,29,65,37,82,53,42,10,65
2020,12,40,"2,091",937,251,113,64,126,107,151,88,95,40,119
2020,12,50,"3,049","1,137",369,222,105,215,163,241,193,152,65,187
2020,12,60,"3,088",985,400,244,122,281,189,304,175,164,57,167
2020,12,70,"2,245",618,241,195,115,225,148,227,154,122,61,139
2020,12,80,"1,084",233,135,106,39,111,84,123,94,77,23,59
2020,12,90,99,22,13,6,4,14,2,12,7,10,6,3
2020,12,100,4,1,0,0,0,1,0,1,1,0,0,0
2021,1,총,"16,693","6,586","2,126","1,116",548,"1,213",848,"1,372",888,786,316,894
2021,1,0,857,503,117,38,10,24,26,52,24,20,7,36
2021,1,10,"1,298",682,194,55,21,74,48,61,35,50,27,51
2021,1,20,"1,615",829,220,80,41,78,43,114,63,57,21,69
2021,1,30,"1,252",642,180,57,28,63,37,81,50,40,9,65
2021,1,40,"2,084",938,251,116,62,122,105,152,89,94,38,117
2021,1,50,"3,035","1,131",369,214,107,215,162,244,193,152,62,186
2021,1,60,"3,111",981,405,247,121,287,193,305,179,163,60,170
2021,1,70,"2,242",615,240,197,115,226,148,228,152,122,61,138
2021,1,80,"1,092",242,136,104,39,109,84,122,95,77,25,59
2021,1,90,103,22,14,8,4,14,2,12,7,11,6,3
2021,1,100,4,1,0,0,0,1,0,1,1,0,0,0
2021,2,총,"16,667","6,566","2,125","1,116",544,"1,215",849,"1,366",885,784,316,901
2021,2,0,858,498,119,40,10,25,26,50,24,22,7,37
2021,2,10,"1,289",674,197,55,21,75,49,59,31,49,26,53
2021,2,20,"1,605",823,220,80,39,76,39,117,63,56,22,70
2021,2,30,"1,223",632,176,56,27,61,38,74,49,39,9,62
2021,2,40,"2,088",946,249,116,64,122,102,150,86,95,37,121
2021,2,50,"3,023","1,119",372,208,106,218,167,243,191,149,63,187
2021,2,60,"3,127",997,399,248,120,289,189,309,184,163,60,169
2021,2,70,"2,244",613,240,199,112,226,151,227,154,123,60,139
2021,2,80,"1,101",241,139,106,41,109,86,121,95,77,26,60
2021,2,90,104,22,14,7,4,13,2,15,7,11,6,3
2021,2,100,5,1,0,1,0,1,0,1,1,0,0,0
2021,3,총,"16,605","6,523","2,133","1,116",543,"1,207",848,"1,371",886,770,316,892
2021,3,0,843,485,126,39,9,24,24,50,24,20,7,35
2021,3,10,"1,280",670,193,55,21,73,49,59,32,48,27,53
2021,3,20,"1,595",814,220,82,40,73,41,120,61,54,22,68
2021,3,30,"1,215",624,176,57,27,61,39,78,48,38,9,58
2021,3,40,"2,066",932,245,114,63,120,104,151,85,95,36,121
2021,3,50,"3,019","1,121",374,206,108,219,164,242,188,147,65,185
2021,3,60,"3,140",999,404,246,119,292,190,310,191,162,58,169
2021,3,70,"2,235",608,241,203,111,224,152,224,153,118,61,140
2021,3,80,"1,105",247,141,105,41,108,83,121,96,78,25,60
2021,3,90,102,22,13,8,4,12,2,16,7,9,6,3
2021,3,100,5,1,0,1,0,1,0,0,1,1,0,0
2021,4,총,"16,602","6,517","2,147","1,118",546,"1,211",841,"1,365",883,771,312,891
2021,4,0,842,479,128,39,9,25,22,51,25,20,8,36
2021,4,10,"1,268",667,190,51,22,78,49,57,30,47,26,51
2021,4,20,"1,603",821,223,82,39,72,41,119,61,55,23,67
2021,4,30,"1,213",621,178,57,30,62,37,80,48,36,7,57
2021,4,40,"2,053",926,245,115,63,121,103,147,83,96,36,118
2021,4,50,"3,015","1,121",379,207,107,219,160,244,188,144,62,184
2021,4,60,"3,166","1,001",408,249,121,291,194,311,192,167,60,172
2021,4,70,"2,220",612,242,200,110,220,149,219,151,118,59,140
2021,4,80,"1,115",246,141,109,41,110,84,121,97,78,25,63
2021,4,90,102,22,13,8,4,12,2,16,7,9,6,3
2021,4,100,5,1,0,1,0,1,0,0,1,1,0,0
2021,5,총,"16,582","6,508","2,152","1,106",543,"1,215",847,"1,360",882,766,313,890
2021,5,0,833,478,123,36,8,25,24,50,25,20,8,36
2021,5,10,"1,268",670,187,52,22,78,49,58,30,46,26,50
2021,5,20,"1,594",815,226,81,40,72,40,112,60,55,23,70
2021,5,30,"1,201",614,178,56,29,61,37,82,47,35,6,56
2021,5,40,"2,032",913,243,116,63,121,104,147,81,91,37,116
2021,5,50,"3,030","1,125",387,205,106,222,158,243,192,146,63,183
2021,5,60,"3,180","1,007",411,247,121,293,200,311,191,169,60,170
2021,5,70,"2,217",615,243,195,109,218,148,221,151,116,58,143
2021,5,80,"1,121",248,140,110,41,112,85,120,97,79,26,63
2021,5,90,100,22,14,7,4,11,2,16,7,8,6,3
2021,5,100,6,1,0,1,0,2,0,0,1,1,0,0
2021,6,총,"16,581","6,509","2,145","1,104",544,"1,218",852,"1,360",884,762,309,894
2021,6,0,833,481,120,36,8,25,26,50,24,20,7,36
2021,6,10,"1,264",666,187,52,22,78,48,60,31,45,27,48
2021,6,20,"1,592",817,222,82,38,71,42,108,61,54,22,75
2021,6,30,"1,193",602,178,55,30,63,37,82,49,35,5,57
2021,6,40,"2,015",908,237,113,61,118,106,149,81,91,36,115
2021,6,50,"3,029","1,125",389,203,110,222,158,241,193,144,62,182
2021,6,60,"3,201","1,017",412,251,120,296,199,314,188,171,61,172
2021,6,70,"2,220",620,245,194,110,218,148,221,152,113,57,142
2021,6,80,"1,127",249,141,110,41,114,86,119,97,80,26,64
2021,6,90,101,23,14,7,4,11,2,16,7,8,6,3
2021,6,100,6,1,0,1,0,2,0,0,1,1,0,0
2021,7,총,"16,570","6,495","2,150","1,106",550,"1,217",853,"1,359",882,760,307,891
2021,7,0,814,468,121,35,9,26,26,46,23,20,7,33
2021,7,10,"1,263",664,188,53,23,78,47,62,31,44,26,47
2021,7,20,"1,591",815,221,83,37,73,41,108,62,54,22,75
2021,7,30,"1,199",603,177,56,30,61,39,85,48,36,5,59
2021,7,40,"1,995",890,244,114,62,116,104,147,81,91,34,112
2021,7,50,"3,036","1,139",383,203,108,223,158,239,193,142,64,184
2021,7,60,"3,216","1,015",419,250,125,294,203,317,188,173,61,171
2021,7,70,"2,221",625,243,193,110,219,148,220,152,112,56,143
2021,7,80,"1,123",250,139,111,42,114,85,119,96,77,26,64
2021,7,90,106,25,15,7,4,11,2,16,7,10,6,3
2021,7,100,6,1,0,1,0,2,0,0,1,1,0,0
2021,8,총,"16,514","6,452","2,144","1,097",547,"1,222",863,"1,354",881,755,305,894
2021,8,0,797,454,118,33,9,27,26,47,22,20,7,34
2021,8,10,"1,252",665,186,54,23,75,47,60,30,40,26,46
2021,8,20,"1,571",804,218,80,37,72,43,106,60,54,21,76
2021,8,30,"1,191",603,179,54,28,63,40,82,46,35,4,57
2021,8,40,"1,979",875,245,114,63,114,102,149,83,87,34,113
2021,8,50,"3,041","1,143",380,200,107,219,164,238,194,146,66,184
2021,8,60,"3,233","1,014",424,251,124,301,205,318,190,174,59,173
2021,8,70,"2,210",621,240,192,108,224,148,219,152,108,56,142
2021,8,80,"1,127",247,139,111,44,114,86,119,96,79,26,66
2021,8,90,106,24,15,7,4,11,2,16,7,11,6,3
2021,8,100,7,2,0,1,0,2,0,0,1,1,0,0
2021,9,총,"16,460","6,433","2,131","1,092",547,"1,212",861,"1,354",876,757,308,889
2021,9,0,783,445,115,34,8,26,28,45,22,20,7,33
2021,9,10,"1,261",672,187,52,23,74,45,62,30,43,27,46
2021,9,20,"1,543",795,213,78,36,69,42,107,58,54,21,70
2021,9,30,"1,186",608,174,54,29,60,38,82,46,33,4,58
2021,9,40,"1,966",862,246,114,63,116,102,147,82,86,36,112
2021,9,50,"3,035","1,140",375,198,108,218,165,237,195,148,66,185
2021,9,60,"3,234","1,018",424,251,123,298,204,318,189,175,59,175
2021,9,70,"2,207",619,241,191,107,222,151,222,149,108,56,141
2021,9,80,"1,130",248,141,112,46,116,83,118,97,77,26,66
2021,9,90,108,24,15,7,4,11,3,16,7,12,6,3
2021,9,100,7,2,0,1,0,2,0,0,1,1,0,0
2021,10,총,"16,418","6,412","2,136","1,085",545,"1,195",857,"1,361",883,752,307,885
2021,10,0,777,443,117,33,8,25,28,44,23,18,6,32
2021,10,10,"1,250",664,186,51,23,72,44,59,32,44,28,47
2021,10,20,"1,536",796,208,77,33,67,41,113,61,51,21,68
2021,10,30,"1,177",599,176,52,30,60,38,83,46,32,4,57
2021,10,40,"1,962",863,246,116,62,111,101,152,82,82,36,111
2021,10,50,"3,026","1,132",380,196,111,214,165,234,194,152,65,183
2021,10,60,"3,232","1,016",425,251,123,297,202,319,191,174,59,175
2021,10,70,"2,208",626,242,188,106,219,151,223,148,109,56,140
2021,10,80,"1,139",248,141,113,45,118,84,119,98,78,26,69
2021,10,90,106,24,15,7,4,11,3,15,7,11,6,3
2021,10,100,5,1,0,1,0,1,0,0,1,1,0,0
2021,11,총,"16,370","6,401","2,127","1,081",544,"1,178",855,"1,363",891,752,302,876
2021,11,0,766,439,114,31,8,25,28,44,22,18,5,32
2021,11,10,"1,238",655,189,46,23,69,42,58,35,45,28,48
2021,11,20,"1,544",808,203,80,33,64,39,115,62,50,22,68
2021,11,30,"1,165",587,176,53,31,60,38,80,48,31,4,57
2021,11,40,"1,947",866,246,115,61,107,101,149,80,80,35,107
2021,11,50,"3,016","1,127",378,195,110,209,162,240,198,152,64,181
2021,11,60,"3,247","1,017",427,251,125,301,203,318,194,175,59,177
2021,11,70,"2,207",629,238,188,104,219,154,228,146,112,53,136
2021,11,80,"1,127",247,142,114,45,112,85,116,97,77,26,66
2021,11,90,108,25,14,7,4,11,3,15,8,11,6,4
2021,11,100,5,1,0,1,0,1,0,0,1,1,0,0
2021,12,총,"16,359","6,394","2,134","1,081",535,"1,180",855,"1,355",886,753,309,877
2021,12,0,756,438,113,30,7,26,28,42,20,17,5,30
2021,12,10,"1,237",653,188,47,23,67,43,57,34,44,31,50
2021,12,20,"1,533",797,205,78,32,65,39,114,62,52,23,66
2021,12,30,"1,152",579,172,53,30,59,36,84,48,29,4,58
2021,12,40,"1,948",872,249,118,61,104,102,140,80,79,36,107
2021,12,50,"3,015","1,120",380,199,110,215,159,239,192,152,66,183
2021,12,60,"3,268","1,029",431,249,122,301,205,318,199,178,58,178
2021,12,70,"2,199",633,239,183,100,219,153,229,142,113,52,136
2021,12,80,"1,136",247,143,116,46,111,86,117,100,77,28,65
2021,12,90,110,25,14,7,4,12,4,15,8,11,6,4
2021,12,100,5,1,0,1,0,1,0,0,1,1,0,0
