년도,월,나이,경상북도 경주시,경상북도 경주시 감포읍,경상북도 경주시 안강읍,경상북도 경주시 건천읍,경상북도 경주시 외동읍,경상북도 경주시 양북면,경상북도 경주시 양남면,경상북도 경주시 내남면,경상북도 경주시 산내면,경상북도 경주시 서면,경상북도 경주시 현곡면,경상북도 경주시 강동면,경상북도 경주시 천북면,경상북도 경주시 중부동,경상북도 경주시 황오동,경상북도 경주시 성건동,경상북도 경주시 황남동,경상북도 경주시 선도동,경상북도 경주시 월성동,경상북도 경주시 용강동,경상북도 경주시 황성동,경상북도 경주시 동천동,경상북도 경주시 불국동,경상북도 경주시 보덕동,경상북도 경주시 문무대왕면
2020,8,100,22,0,2,1,4,1,0,1,1,1,1,0,0,2,2,1,3,0,0,0,0,1,0,1,
2020,9,총,"126,826","2,767","12,510","4,841","10,407","2,243","3,356","2,382","1,616","1,630","10,841","3,222","2,992","2,683","3,231","7,037","2,399","7,528","2,927","10,660","14,356","11,485","4,821",892,
2020,9,0,"8,409",87,649,191,557,125,153,54,30,30,"1,285",93,141,109,88,256,56,614,186,"1,336","1,320",677,343,29,
2020,9,10,"11,016",109,"1,056",279,588,121,181,105,48,90,"1,247",181,173,177,186,449,101,923,187,"1,228","2,028","1,209",310,40,
2020,9,20,"15,138",231,"1,393",463,"1,116",262,386,172,77,116,"1,241",282,309,324,351,"1,186",206,"1,090",297,"1,338","2,054","1,717",441,86,
2020,9,30,"13,687",203,982,402,"1,316",292,303,166,72,89,"1,552",233,344,297,334,773,183,789,256,"1,457","1,618","1,303",638,85,
2020,9,40,"19,309",403,"1,794",620,"1,620",260,446,241,114,198,"1,886",437,401,369,435,"1,003",295,"1,264",417,"1,922","2,492","1,863",713,116,
2020,9,50,"24,141",567,"2,652",929,"2,164",380,731,508,312,326,"1,769",716,585,463,624,"1,180",485,"1,412",544,"1,793","2,703","2,209",912,177,
2020,9,60,"19,915",602,"2,152","1,004","1,832",413,669,585,509,367,"1,154",686,555,483,647,"1,171",542,850,540,"1,081","1,468","1,597",814,194,
2020,9,70,"10,796",379,"1,298",635,877,264,343,368,314,283,516,410,347,333,402,762,357,408,355,374,505,686,456,124,
2020,9,80,"4,054",170,500,294,304,120,131,167,130,124,184,165,123,122,147,242,158,162,129,115,155,203,176,33,
2020,9,90,339,16,32,23,29,5,13,15,9,6,7,19,14,4,14,14,13,16,16,16,13,20,18,7,
2020,9,100,22,0,2,1,4,1,0,1,1,1,0,0,0,2,3,1,3,0,0,0,0,1,0,1,
2020,10,총,"126,760","2,755","12,495","4,835","10,510","2,255","3,356","2,370","1,616","1,618","10,852","3,218","2,989","2,672","3,214","7,014","2,391","7,526","2,925","10,667","14,311","11,452","4,833",886,
2020,10,0,"8,366",85,643,190,570,127,151,53,29,29,"1,283",89,142,109,84,251,52,617,180,"1,340","1,293",678,343,28,
2020,10,10,"10,947",107,"1,054",276,589,120,176,104,48,88,"1,240",178,172,176,180,444,99,913,193,"1,219","2,011","1,208",310,42,
2020,10,20,"15,145",229,"1,385",465,"1,125",271,389,169,78,114,"1,252",280,307,318,354,"1,188",210,"1,091",297,"1,340","2,061","1,697",443,82,
2020,10,30,"13,616",204,977,398,"1,322",295,301,164,72,89,"1,542",230,340,296,333,771,178,790,258,"1,441","1,599","1,299",635,82,
2020,10,40,"19,243",403,"1,782",622,"1,628",256,447,237,115,192,"1,894",434,408,368,428,994,293,"1,258",410,"1,925","2,463","1,857",714,115,
2020,10,50,"24,154",562,"2,648",926,"2,192",378,734,506,310,326,"1,775",722,577,462,618,"1,180",486,"1,410",546,"1,805","2,719","2,181",916,175,
2020,10,60,"20,050",605,"2,166","1,008","1,862",419,669,587,507,363,"1,157",695,562,483,646,"1,164",541,861,541,"1,090","1,484","1,620",822,198,
2020,10,70,"10,820",377,"1,302",637,885,264,344,370,316,286,517,408,343,331,405,764,355,407,354,376,511,686,460,122,
2020,10,80,"4,051",168,504,288,303,118,131,164,132,123,184,162,124,122,148,242,161,164,130,115,157,205,172,34,
2020,10,90,347,15,32,24,30,6,14,15,9,7,8,20,14,5,15,15,13,15,16,16,13,20,18,7,
2020,10,100,21,0,2,1,4,1,0,1,0,1,0,0,0,2,3,1,3,0,0,0,0,1,0,1,
2020,11,총,"126,867","2,747","12,457","4,814","10,659","2,247","3,353","2,373","1,622","1,610","10,852","3,221","2,984","2,643","3,204","7,015","2,386","7,520","2,932","10,884","14,210","11,429","4,815",890,
2020,11,0,"8,343",82,627,184,584,125,152,52,30,28,"1,283",90,141,107,81,249,50,618,178,"1,376","1,268",673,338,27,
2020,11,10,"10,905",107,"1,054",278,594,117,173,103,47,86,"1,234",173,171,174,182,442,96,909,194,"1,229","1,995","1,195",310,42,
2020,11,20,"15,187",228,"1,370",461,"1,147",274,393,165,80,118,"1,253",289,309,312,347,"1,180",209,"1,090",299,"1,377","2,054","1,702",445,85,
2020,11,30,"13,638",203,981,395,"1,372",286,297,166,70,86,"1,542",231,340,289,330,768,182,781,256,"1,478","1,578","1,302",622,83,
2020,11,40,"19,163",394,"1,765",618,"1,631",254,440,236,114,188,"1,885",434,404,367,425,992,292,"1,258",409,"1,961","2,438","1,835",708,115,
2020,11,50,"24,224",559,"2,638",925,"2,227",380,739,508,308,326,"1,789",723,576,457,616,"1,191",489,"1,414",549,"1,839","2,698","2,181",918,174,
2020,11,60,"20,138",615,"2,176","1,002","1,880",422,669,591,513,360,"1,156",686,563,473,650,"1,171",537,867,545,"1,115","1,492","1,628",827,200,
2020,11,70,"10,839",376,"1,298",639,885,264,343,373,315,287,520,414,345,335,406,766,353,407,355,374,513,687,462,122,
2020,11,80,"4,066",168,513,288,305,117,133,163,136,123,182,159,123,122,149,241,161,162,132,118,162,206,169,34,
2020,11,90,343,15,33,23,30,7,14,15,9,7,8,22,12,5,15,14,14,14,15,17,12,19,16,7,
2020,11,100,21,0,2,1,4,1,0,1,0,1,0,0,0,2,3,1,3,0,0,0,0,1,0,1,
2020,12,총,"126,911","2,744","12,415","4,823","10,819","2,262","3,361","2,368","1,620","1,607","10,822","3,215","2,981","2,634","3,171","6,964","2,367","7,487","2,908","11,124","14,160","11,370","4,803",886,
2020,12,0,"8,296",79,622,184,602,120,149,50,30,27,"1,275",89,139,106,76,248,46,616,175,"1,391","1,263",651,331,27,
2020,12,10,"10,892",109,"1,050",277,595,119,173,106,48,86,"1,223",173,166,179,178,435,97,904,192,"1,257","1,986","1,192",305,42,
2020,12,20,"15,192",231,"1,370",458,"1,184",281,406,162,82,116,"1,253",288,315,311,350,"1,168",207,"1,069",287,"1,411","2,033","1,683",443,84,
2020,12,30,"13,588",201,958,396,"1,395",287,302,166,69,84,"1,532",228,334,284,319,757,176,775,259,"1,521","1,552","1,293",620,80,
2020,12,40,"19,117",384,"1,758",616,"1,649",253,429,236,116,185,"1,875",428,403,361,413,990,288,"1,253",407,"2,011","2,446","1,805",696,115,
2020,12,50,"24,216",566,"2,613",925,"2,256",383,742,502,306,324,"1,791",720,576,451,613,"1,180",480,"1,416",543,"1,867","2,684","2,191",915,172,
2020,12,60,"20,281",612,"2,188","1,010","1,904",429,665,594,515,363,"1,165",696,565,475,649,"1,165",542,869,544,"1,141","1,514","1,634",839,203,
2020,12,70,"10,872",379,"1,309",645,895,264,349,371,311,289,516,411,346,339,403,762,349,407,352,390,509,689,467,120,
2020,12,80,"4,094",168,511,290,305,117,132,165,135,126,184,158,125,121,152,243,165,164,135,119,161,212,171,35,
