년도,월,나이,경상북도 영양군,경상북도 영양군 영양읍,경상북도 영양군 입암면,경상북도 영양군 청기면,경상북도 영양군 일월면,경상북도 영양군 수비면,경상북도 영양군 석보면
2020,4,90,55,16,9,7,8,10,5
2020,4,100,6,2,2,1,0,1,0
2020,5,총,"8,295","3,594","1,048",874,888,843,"1,048"
2020,5,0,401,246,40,32,22,31,30
2020,5,10,510,291,52,30,46,47,44
2020,5,20,667,370,63,43,64,55,72
2020,5,30,570,327,61,43,40,42,57
2020,5,40,"1,068",552,127,89,82,107,111
2020,5,50,"1,636",640,206,181,196,177,236
2020,5,60,"1,649",599,236,192,198,182,242
2020,5,70,"1,180",384,177,189,141,119,170
2020,5,80,552,167,75,67,91,71,81
2020,5,90,56,16,9,7,8,11,5
2020,5,100,6,2,2,1,0,1,0
2020,6,총,"8,277","3,596","1,041",873,880,844,"1,043"
2020,6,0,399,246,39,32,22,31,29
2020,6,10,500,288,49,29,44,47,43
2020,6,20,671,371,63,44,63,57,73
2020,6,30,565,329,59,41,41,40,55
2020,6,40,"1,060",551,126,88,80,104,111
2020,6,50,"1,630",641,206,178,195,181,229
2020,6,60,"1,661",603,237,195,197,182,247
2020,6,70,"1,173",383,175,189,139,120,167
2020,6,80,553,165,76,69,91,68,84
2020,6,90,59,17,9,7,8,13,5
2020,6,100,6,2,2,1,0,1,0
2020,7,총,"8,271","3,584","1,045",871,883,846,"1,042"
2020,7,0,399,247,41,31,22,29,29
2020,7,10,499,286,50,28,44,49,42
2020,7,20,659,365,61,42,64,55,72
2020,7,30,571,328,61,43,44,39,56
2020,7,40,"1,047",545,123,87,80,105,107
2020,7,50,"1,626",636,208,179,196,179,228
2020,7,60,"1,674",612,239,193,194,188,248
2020,7,70,"1,176",382,174,191,139,119,171
2020,7,80,555,164,77,69,92,69,84
2020,7,90,59,17,9,7,8,13,5
2020,7,100,6,2,2,1,0,1,0
2020,8,총,"8,244","3,574","1,039",874,877,844,"1,036"
2020,8,0,392,243,40,31,21,29,28
2020,8,10,487,279,48,28,41,48,43
2020,8,20,664,372,60,42,65,55,70
2020,8,30,565,326,58,44,45,39,53
2020,8,40,"1,034",537,122,86,78,105,106
2020,8,50,"1,622",637,207,179,194,177,228
2020,8,60,"1,683",614,241,195,195,189,249
2020,8,70,"1,172",380,174,192,138,118,170
2020,8,80,558,167,78,68,92,70,83
2020,8,90,61,17,9,8,8,13,6
2020,8,100,6,2,2,1,0,1,0
2020,9,총,"8,239","3,580","1,030",879,878,843,"1,029"
2020,9,0,392,246,37,31,22,29,27
2020,9,10,487,278,48,29,42,47,43
2020,9,20,658,368,59,42,64,56,69
2020,9,30,560,327,57,43,45,38,50
2020,9,40,"1,031",543,118,85,78,104,103
2020,9,50,"1,625",637,205,182,196,177,228
2020,9,60,"1,690",617,244,196,193,189,251
2020,9,70,"1,168",377,173,192,137,119,170
2020,9,80,562,169,79,70,92,70,82
2020,9,90,60,16,8,8,9,13,6
2020,9,100,6,2,2,1,0,1,0
2020,10,총,"8,236","3,580","1,032",878,873,848,"1,025"
2020,10,0,395,248,38,32,19,32,26
2020,10,10,489,279,46,29,43,48,44
2020,10,20,654,367,56,42,62,57,70
2020,10,30,553,327,60,39,42,37,48
2020,10,40,"1,023",536,118,85,78,104,102
2020,10,50,"1,632",643,207,183,197,176,226
2020,10,60,"1,694",620,239,198,196,190,251
2020,10,70,"1,174",378,176,192,137,121,170
2020,10,80,555,162,82,69,90,70,82
2020,10,90,61,18,8,8,9,12,6
2020,10,100,6,2,2,1,0,1,0
2020,11,총,"8,246","3,588","1,037",877,872,848,"1,024"
2020,11,0,391,245,37,31,19,33,26
2020,11,10,486,280,47,29,42,45,43
2020,11,20,660,369,57,41,63,58,72
2020,11,30,560,335,61,41,40,37,46
2020,11,40,"1,016",527,117,84,80,104,104
2020,11,50,"1,639",649,210,181,194,179,226
2020,11,60,"1,706",624,240,202,199,191,250
2020,11,70,"1,169",376,176,192,136,120,169
2020,11,80,553,163,82,68,90,68,82
2020,11,90,60,18,8,7,9,12,6
2020,11,100,6,2,2,1,0,1,0
2020,12,총,"8,263","3,594","1,037",884,872,852,"1,024"
2020,12,0,385,244,34,30,19,33,25
2020,12,10,479,272,47,28,42,46,44
2020,12,20,675,377,59,43,65,58,73
2020,12,30,557,338,60,35,41,37,46
2020,12,40,"1,020",526,119,87,79,105,104
2020,12,50,"1,636",652,209,185,191,177,222
2020,12,60,"1,721",625,242,206,200,196,252
2020,12,70,"1,163",378,174,188,135,119,169
2020,12,80,559,161,83,74,91,68,82
2020,12,90,61,19,7,7,9,12,7
2020,12,100,7,2,3,1,0,1,0
2021,1,총,"8,237","3,577","1,034",878,869,854,"1,025"
2021,1,0,386,245,34,30,20,32,25
2021,1,10,472,268,47,28,39,46,44
2021,1,20,678,377,59,44,68,59,71
2021,1,30,551,332,60,36,40,38,45
2021,1,40,"1,006",519,117,86,74,104,106
2021,1,50,"1,625",647,209,182,191,176,220
2021,1,60,"1,732",634,240,205,201,198,254
2021,1,70,"1,161",373,175,188,136,119,170
2021,1,80,558,161,83,71,91,69,83
2021,1,90,60,19,7,7,9,12,6
2021,1,100,8,2,3,1,0,1,1
2021,2,총,"8,231","3,573","1,033",880,868,854,"1,023"
2021,2,0,390,247,34,29,20,35,25
2021,2,10,468,267,46,26,39,47,43
2021,2,20,667,374,56,45,66,56,70
2021,2,30,551,329,61,38,40,37,46
2021,2,40,"1,000",515,118,87,70,105,105
2021,2,50,"1,618",646,204,180,194,176,218
2021,2,60,"1,752",641,247,205,203,195,261
2021,2,70,"1,148",371,169,187,134,120,167
2021,2,80,568,162,87,75,93,70,81
2021,2,90,61,19,8,7,9,12,6
2021,2,100,8,2,3,1,0,1,1
2021,3,총,"8,204","3,559","1,035",876,860,858,"1,016"
2021,3,0,380,241,35,29,18,34,23
2021,3,10,472,268,46,26,41,47,44
2021,3,20,665,376,56,45,63,58,67
2021,3,30,552,325,63,38,41,37,48
2021,3,40,982,507,117,86,70,100,102
2021,3,50,"1,606",646,199,178,188,178,217
2021,3,60,"1,768",639,255,207,203,202,262
2021,3,70,"1,152",377,169,184,136,120,166
2021,3,80,561,161,86,75,91,68,80
2021,3,90,62,19,8,7,9,13,6
2021,3,100,4,0,1,1,0,1,1
2021,4,총,"8,183","3,548","1,034",874,860,857,"1,010"
2021,4,0,375,238,35,29,17,34,22
2021,4,10,474,268,45,26,42,48,45
2021,4,20,654,368,56,44,63,57,66
2021,4,30,551,323,63,38,41,38,48
2021,4,40,970,502,113,86,70,99,100
2021,4,50,"1,600",642,202,178,187,176,215
2021,4,60,"1,788",650,254,210,205,204,265
2021,4,70,"1,141",376,171,179,134,119,162
2021,4,80,563,161,86,77,90,69,80
2021,4,90,64,20,8,7,11,12,6
2021,4,100,3,0,1,0,0,1,1
2021,5,총,"8,187","3,540","1,032",879,870,856,"1,010"
2021,5,0,374,238,33,29,17,35,22
2021,5,10,470,266,45,25,42,48,44
2021,5,20,655,368,57,44,64,57,65
2021,5,30,550,324,61,38,42,38,47
2021,5,40,974,503,116,86,72,99,98
2021,5,50,"1,597",631,201,180,193,177,215
2021,5,60,"1,791",647,254,212,205,203,270
2021,5,70,"1,143",381,170,180,134,117,161
2021,5,80,566,161,86,78,90,70,81
2021,5,90,64,21,8,7,11,11,6
2021,5,100,3,0,1,0,0,1,1
2021,6,총,"8,179","3,539","1,031",876,874,849,"1,010"
2021,6,0,374,237,34,28,17,34,24
2021,6,10,469,267,45,24,42,49,42
2021,6,20,655,368,58,46,63,57,63
2021,6,30,548,317,62,36,45,39,49
2021,6,40,960,501,115,86,67,95,96
2021,6,50,"1,600",640,197,178,195,177,213
2021,6,60,"1,805",652,257,214,211,200,271
2021,6,70,"1,137",375,168,179,133,119,163
2021,6,80,569,163,86,78,91,69,82
2021,6,90,60,19,8,7,10,10,6
2021,6,100,2,0,1,0,0,0,1
2021,7,총,"8,175","3,543","1,030",871,875,851,"1,005"
2021,7,0,371,239,34,26,16,33,23
2021,7,10,471,267,45,23,42,51,43
2021,7,20,650,367,57,45,64,59,58
2021,7,30,547,319,62,35,44,37,50
2021,7,40,960,497,117,87,69,94,96
2021,7,50,"1,594",641,197,173,193,179,211
2021,7,60,"1,810",652,256,217,213,198,274
2021,7,70,"1,133",374,166,178,133,119,163
2021,7,80,577,168,87,80,91,71,80
2021,7,90,60,19,8,7,10,10,6
2021,7,100,2,0,1,0,0,0,1
2021,8,총,"8,155","3,540","1,018",867,874,852,"1,004"
2021,8,0,364,234,32,26,16,33,23
2021,8,10,466,267,44,22,42,50,41
2021,8,20,638,363,54,41,62,59,59
2021,8,30,541,316,60,36,43,36,50
2021,8,40,963,500,117,85,68,95,98
2021,8,50,"1,592",643,193,173,193,180,210
2021,8,60,"1,813",651,257,218,214,199,274
2021,8,70,"1,129",374,163,177,133,120,162
2021,8,80,588,173,89,82,93,71,80
2021,8,90,59,19,8,7,10,9,6
2021,8,100,2,0,1,0,0,0,1
2021,9,총,"8,125","3,540","1,010",861,870,843,"1,001"
2021,9,0,360,230,31,26,16,34,23
2021,9,10,464,270,41,22,42,48,41
2021,9,20,626,359,53,39,58,58,59
2021,9,30,540,318,56,36,44,36,50
2021,9,40,954,502,118,84,66,92,92
2021,9,50,"1,586",641,190,171,194,176,214
2021,9,60,"1,819",655,258,221,215,197,273
2021,9,70,"1,135",374,166,176,135,123,161
2021,9,80,579,172,88,79,90,70,80
2021,9,90,59,19,8,7,9,9,7
2021,9,100,3,0,1,0,1,0,1
2021,10,총,"8,137","3,542","1,008",865,871,846,"1,005"
2021,10,0,358,229,31,25,16,34,23
2021,10,10,466,268,40,23,44,48,43
2021,10,20,624,359,53,39,56,59,58
2021,10,30,536,316,57,35,44,35,49
2021,10,40,956,501,118,84,66,93,94
2021,10,50,"1,586",647,188,172,188,175,216
2021,10,60,"1,835",656,261,226,221,197,274
2021,10,70,"1,128",373,164,173,135,123,160
2021,10,80,585,173,87,81,90,73,81
2021,10,90,61,20,8,7,10,9,7
2021,10,100,2,0,1,0,1,0,0
2021,11,총,"8,138","3,545","1,010",858,873,846,"1,006"
2021,11,0,354,227,31,24,16,33,23
2021,11,10,463,267,40,22,42,49,43
2021,11,20,620,358,50,40,58,59,55
2021,11,30,543,323,58,33,43,34,52
2021,11,40,955,500,121,83,66,92,93
2021,11,50,"1,588",648,186,170,191,176,217
2021,11,60,"1,838",658,263,224,220,200,273
2021,11,70,"1,127",371,165,173,137,122,159
2021,11,80,585,173,87,82,88,72,83
2021,11,90,63,20,8,7,11,9,8
2021,11,100,2,0,1,0,1,0,0
2021,12,총,"8,144","3,546","1,006",860,873,844,"1,015"
2021,12,0,350,224,31,25,15,33,22
2021,12,10,462,265,40,22,42,50,43
2021,12,20,609,351,48,41,57,57,55
2021,12,30,547,329,57,34,44,33,50
2021,12,40,949,498,117,83,67,91,93
2021,12,50,"1,606",658,187,170,190,177,224
2021,12,60,"1,837",651,266,222,222,201,275
2021,12,70,"1,127",375,163,175,135,118,161
2021,12,80,592,175,88,82,89,74,84
2021,12,90,63,20,8,6,11,10,8
2021,12,100,2,0,1,0,1,0,0
