년도,월,나이,중구,학성동,반구1동,반구2동,복산1동,복산2동,중앙동,우정동,태화동,다운동,병영1동,병영2동,약사동,성안동
2020,7,20,"15,276",636,"1,239",740,332,827,926,"1,370","2,275","1,827","1,721","1,303",728,"1,352"
2020,7,30,"14,346",617,"1,399",589,302,883,847,"1,301","2,225","1,196","1,239","1,493",842,"1,413"
2020,7,40,"17,655",810,"1,439",611,300,874,951,"1,489","2,950","1,780","1,668","1,742",887,"2,154"
2020,7,50,"20,851","1,021","1,786",903,478,"1,014","1,370","1,845","2,799","2,555","2,411","1,839","1,011","1,819"
2020,7,60,"15,157",950,"1,213",708,455,646,"1,421","1,540","2,013","1,709","1,620","1,333",508,"1,041"
2020,7,70,"6,422",536,473,367,199,294,667,633,765,775,638,480,157,438
2020,7,80,"1,748",153,114,85,57,74,217,216,175,212,168,133,44,100
2020,7,90,100,5,7,5,8,6,15,14,10,12,6,5,3,4
2020,7,100,11,1,0,0,3,0,4,0,0,1,0,1,0,1
2020,8,총,"111,137","5,315","9,073","4,571","2,443","5,689","6,995","9,978","17,018","11,839","11,502","10,399","5,541","10,774"
2020,8,0,"8,838",239,725,241,134,467,255,745,"1,905",557,753,"1,036",690,"1,091"
2020,8,10,"10,864",333,694,320,166,618,359,877,"1,929","1,219","1,281","1,029",678,"1,361"
2020,8,20,"15,249",643,"1,229",745,333,821,917,"1,367","2,271","1,821","1,716","1,310",723,"1,353"
2020,8,30,"14,210",611,"1,391",590,301,884,839,"1,286","2,187","1,172","1,229","1,480",849,"1,391"
2020,8,40,"17,631",805,"1,431",608,305,868,945,"1,479","2,948","1,791","1,668","1,743",882,"2,158"
2020,8,50,"20,825","1,027","1,795",900,474,"1,005","1,353","1,842","2,803","2,542","2,410","1,839","1,006","1,829"
2020,8,60,"15,216",957,"1,212",709,460,648,"1,428","1,528","2,020","1,731","1,628","1,341",509,"1,045"
2020,8,70,"6,441",541,474,366,201,297,663,623,771,779,644,485,157,440
2020,8,80,"1,754",153,115,87,58,76,217,217,174,214,167,131,44,101
2020,8,90,98,5,7,5,8,5,15,14,10,12,6,4,3,4
2020,8,100,11,1,0,0,3,0,4,0,0,1,0,1,0,1
2020,9,총,"110,913","5,305","9,070","4,558","2,442","5,682","6,982","9,876","16,985","11,840","11,470","10,398","5,541","10,764"
2020,9,0,"8,777",236,722,238,134,467,252,741,"1,893",554,746,"1,029",687,"1,078"
2020,9,10,"10,836",334,692,321,167,611,358,870,"1,930","1,201","1,278","1,033",678,"1,363"
2020,9,20,"15,169",630,"1,224",738,330,816,908,"1,347","2,266","1,834","1,704","1,300",724,"1,348"
2020,9,30,"14,114",616,"1,380",587,302,875,837,"1,275","2,169","1,161","1,224","1,474",844,"1,370"
2020,9,40,"17,595",808,"1,438",607,303,871,936,"1,452","2,947","1,777","1,656","1,752",883,"2,165"
2020,9,50,"20,791","1,022","1,794",898,469,"1,006","1,358","1,823","2,797","2,547","2,404","1,834","1,004","1,835"
2020,9,60,"15,282",957,"1,222",709,464,657,"1,436","1,514","2,028","1,746","1,637","1,353",510,"1,049"
2020,9,70,"6,472",543,475,367,203,299,662,623,772,788,649,483,160,448
2020,9,80,"1,762",153,115,88,59,74,216,216,173,219,165,134,48,102
2020,9,90,103,5,8,5,7,6,15,15,10,12,7,5,3,5
2020,9,100,12,1,0,0,4,0,4,0,0,1,0,1,0,1
2020,10,총,"110,780","5,299","9,053","4,547","2,428","5,671","6,950","9,829","16,965","11,837","11,462","10,402","5,549","10,788"
2020,10,0,"8,706",239,713,238,134,458,249,738,"1,863",545,744,"1,032",685,"1,068"
2020,10,10,"10,807",335,692,318,164,608,360,867,"1,943","1,182","1,273","1,029",679,"1,357"
2020,10,20,"15,148",631,"1,217",734,323,814,894,"1,351","2,259","1,848","1,700","1,288",729,"1,360"
2020,10,30,"14,010",612,"1,369",582,303,872,831,"1,264","2,143","1,161","1,221","1,465",830,"1,357"
2020,10,40,"17,587",807,"1,432",607,297,874,937,"1,448","2,955","1,761","1,648","1,764",886,"2,171"
2020,10,50,"20,767","1,014","1,790",901,472,"1,005","1,348","1,808","2,789","2,552","2,395","1,824","1,016","1,853"
2020,10,60,"15,359",957,"1,230",709,463,656,"1,440","1,506","2,043","1,764","1,653","1,370",512,"1,056"
2020,10,70,"6,506",543,483,366,203,304,657,616,782,793,651,490,161,457
2020,10,80,"1,774",155,119,87,58,73,215,216,178,218,170,134,48,103
2020,10,90,104,5,8,5,7,7,15,15,10,12,7,5,3,5
2020,10,100,12,1,0,0,4,0,4,0,0,1,0,1,0,1
2020,11,총,"110,500","5,298","9,038","4,520","2,421","5,664","6,912","9,745","16,924","11,796","11,439","10,402","5,536","10,805"
2020,11,0,"8,620",231,713,231,136,450,241,728,"1,845",538,746,"1,031",679,"1,051"
2020,11,10,"10,789",336,688,318,165,606,353,859,"1,945","1,173","1,274","1,032",681,"1,359"
2020,11,20,"15,078",632,"1,211",725,319,817,898,"1,322","2,250","1,843","1,693","1,276",731,"1,361"
2020,11,30,"13,892",613,"1,360",577,302,874,811,"1,244","2,126","1,146","1,200","1,460",814,"1,365"
2020,11,40,"17,512",801,"1,426",599,297,871,921,"1,446","2,948","1,728","1,648","1,771",889,"2,167"
2020,11,50,"20,715","1,023","1,784",891,469,999,"1,344","1,796","2,775","2,559","2,382","1,814","1,018","1,861"
2020,11,60,"15,450",959,"1,242",717,461,663,"1,449","1,500","2,056","1,773","1,661","1,390",510,"1,069"
2020,11,70,"6,531",539,484,369,205,304,657,618,788,799,655,489,161,463
2020,11,80,"1,796",157,123,88,57,73,219,217,181,223,173,133,49,103
2020,11,90,105,6,7,5,6,7,15,15,10,13,7,5,4,5
2020,11,100,12,1,0,0,4,0,4,0,0,1,0,1,0,1
2020,12,총,"110,201","5,317","9,004","4,495","2,411","5,668","6,841","9,696","16,882","11,763","11,428","10,395","5,506","10,795"
2020,12,0,"8,579",238,702,229,133,446,230,725,"1,831",541,751,"1,032",677,"1,044"
2020,12,10,"10,738",336,684,312,164,612,344,855,"1,938","1,158","1,267","1,033",672,"1,363"
2020,12,20,"14,945",625,"1,211",710,319,815,892,"1,306","2,222","1,837","1,675","1,264",721,"1,348"
2020,12,30,"13,823",612,"1,333",580,298,876,793,"1,242","2,127","1,137","1,205","1,465",808,"1,347"
2020,12,40,"17,485",820,"1,430",595,297,868,902,"1,437","2,947","1,706","1,644","1,783",888,"2,168"
2020,12,50,"20,616","1,007","1,778",891,466,994,"1,340","1,787","2,761","2,551","2,379","1,793","1,006","1,863"
2020,12,60,"15,511",964,"1,244",713,462,666,"1,445","1,494","2,068","1,788","1,663","1,397",522,"1,085"
2020,12,70,"6,576",549,490,374,205,311,654,619,797,804,662,488,160,463
2020,12,80,"1,805",157,125,85,58,73,221,215,180,226,175,134,48,108
2020,12,90,110,7,7,6,5,7,16,16,11,14,7,5,4,5
2020,12,100,13,2,0,0,4,0,4,0,0,1,0,1,0,1
2021,1,총,"109,997","5,341","8,977","4,503","2,403","5,653","6,848","9,632","16,816","11,735","11,416","10,383","5,514","10,776"
2021,1,0,"8,502",235,695,228,128,447,232,715,"1,806",534,752,"1,024",673,"1,033"
2021,1,10,"10,731",341,679,316,170,605,340,854,"1,939","1,150","1,264","1,033",675,"1,365"
2021,1,20,"14,846",630,"1,192",707,312,816,899,"1,303","2,193","1,821","1,662","1,257",721,"1,333"
2021,1,30,"13,753",614,"1,332",576,297,855,793,"1,225","2,114","1,132","1,202","1,452",813,"1,348"
2021,1,40,"17,430",816,"1,426",601,293,869,901,"1,428","2,927","1,690","1,644","1,792",884,"2,159"
2021,1,50,"20,546","1,018","1,771",888,469,993,"1,335","1,758","2,753","2,545","2,367","1,779",998,"1,872"
2021,1,60,"15,646",971,"1,255",714,458,674,"1,448","1,498","2,095","1,812","1,675","1,417",537,"1,092"
2021,1,70,"6,597",549,496,376,208,310,659,618,797,805,667,492,159,461
2021,1,80,"1,826",158,125,91,59,77,221,217,181,231,177,132,50,107
2021,1,90,107,7,6,6,5,7,16,16,11,14,6,4,4,5
2021,1,100,13,2,0,0,4,0,4,0,0,1,0,1,0,1
2021,2,총,"109,644","5,338","8,973","4,483","2,389","5,653","6,804","9,575","16,748","11,689","11,376","10,362","5,492","10,762"
2021,2,0,"8,436",226,692,223,130,444,230,707,"1,800",526,743,"1,020",673,"1,022"
2021,2,10,"10,650",343,680,320,164,601,334,849,"1,931","1,130","1,249","1,024",666,"1,359"
2021,2,20,"14,669",625,"1,183",673,313,810,890,"1,286","2,153","1,799","1,639","1,255",718,"1,325"
2021,2,30,"13,689",616,"1,330",585,297,851,784,"1,207","2,098","1,130","1,212","1,444",800,"1,335"
2021,2,40,"17,406",816,"1,426",607,291,879,899,"1,428","2,919","1,665","1,626","1,794",888,"2,168"
2021,2,50,"20,476","1,014","1,760",879,452,991,"1,321","1,733","2,751","2,547","2,371","1,774",997,"1,886"
2021,2,60,"15,733",977,"1,269",722,462,676,"1,448","1,512","2,113","1,825","1,682","1,418",536,"1,093"
2021,2,70,"6,625",550,501,375,212,317,656,619,789,819,669,496,158,464
2021,2,80,"1,837",160,126,93,59,77,222,218,183,232,179,133,51,104
2021,2,90,110,9,6,6,5,7,16,16,11,15,6,3,5,5
2021,2,100,13,2,0,0,4,0,4,0,0,1,0,1,0,1
2021,3,총,"109,045","5,301","8,915","4,471","2,333","5,634","6,699","9,522","16,677","11,639","11,330","10,322","5,472","10,730"
2021,3,0,"8,343",227,679,222,123,438,227,706,"1,783",512,740,"1,012",664,"1,010"
2021,3,10,"10,571",340,673,318,167,591,328,849,"1,917","1,121","1,231","1,024",668,"1,344"
2021,3,20,"14,572",619,"1,179",671,304,809,882,"1,269","2,153","1,778","1,631","1,244",712,"1,321"
2021,3,30,"13,598",612,"1,315",584,295,853,775,"1,186","2,077","1,134","1,201","1,445",790,"1,331"
2021,3,40,"17,296",810,"1,414",608,286,876,883,"1,415","2,899","1,659","1,609","1,784",887,"2,166"
2021,3,50,"20,321","1,010","1,739",868,442,979,"1,292","1,721","2,744","2,526","2,352","1,771",993,"1,884"
2021,3,60,"15,785",980,"1,283",724,455,679,"1,431","1,525","2,108","1,837","1,702","1,418",544,"1,099"
2021,3,70,"6,630",537,501,376,203,324,653,619,803,823,679,492,156,464
2021,3,80,"1,831",158,128,94,55,78,215,217,182,235,182,129,53,105
2021,3,90,96,8,4,6,3,7,13,15,11,14,3,2,5,5
2021,3,100,2,0,0,0,0,0,0,0,0,0,0,1,0,1
2021,4,총,"108,828","5,305","8,877","4,469","2,316","5,617","6,689","9,427","16,670","11,618","11,321","10,308","5,470","10,741"
2021,4,0,"8,307",230,676,221,122,444,228,696,"1,778",507,737,"1,003",657,"1,008"
2021,4,10,"10,575",342,677,318,163,582,329,841,"1,935","1,114","1,224","1,032",676,"1,342"
2021,4,20,"14,467",626,"1,163",662,302,810,878,"1,245","2,116","1,769","1,626","1,234",713,"1,323"
2021,4,30,"13,567",609,"1,309",585,285,852,778,"1,187","2,085","1,140","1,198","1,429",783,"1,327"
2021,4,40,"17,249",811,"1,414",601,284,865,871,"1,399","2,894","1,654","1,609","1,795",889,"2,163"
2021,4,50,"20,205","1,002","1,720",862,434,979,"1,294","1,693","2,732","2,499","2,335","1,763",994,"1,898"
2021,4,60,"15,862",988,"1,279",735,468,683,"1,425","1,520","2,117","1,857","1,723","1,429",542,"1,096"
2021,4,70,"6,645",532,505,382,202,318,656,615,813,826,678,492,157,469
2021,4,80,"1,854",157,130,96,53,77,218,217,189,239,187,129,54,108
2021,4,90,95,8,4,7,3,7,12,14,11,13,4,1,5,6
2021,4,100,2,0,0,0,0,0,0,0,0,0,0,1,0,1
2021,5,총,"108,746","5,345","8,866","4,467","2,298","5,611","6,689","9,403","16,647","11,611","11,300","10,297","5,476","10,736"
2021,5,0,"8,250",233,668,218,122,440,229,690,"1,774",504,728,998,654,992
2021,5,10,"10,528",345,675,319,161,573,328,839,"1,931","1,092","1,215","1,030",674,"1,346"
2021,5,20,"14,482",632,"1,161",667,299,815,872,"1,241","2,100","1,781","1,627","1,238",716,"1,333"
2021,5,30,"13,520",625,"1,299",589,286,843,782,"1,183","2,075","1,134","1,188","1,413",788,"1,315"
2021,5,40,"17,206",826,"1,406",596,275,869,864,"1,400","2,899","1,631","1,598","1,795",890,"2,157"
2021,5,50,"20,185",998,"1,721",860,433,980,"1,300","1,673","2,728","2,496","2,340","1,765",987,"1,904"
2021,5,60,"15,936",988,"1,293",727,470,682,"1,425","1,527","2,123","1,892","1,737","1,432",542,"1,098"
2021,5,70,"6,673",534,508,388,196,326,658,619,816,826,676,489,163,474
2021,5,80,"1,869",156,131,96,53,76,220,216,191,242,187,134,57,110
2021,5,90,95,8,4,7,3,7,11,15,10,13,4,2,5,6
2021,5,100,2,0,0,0,0,0,0,0,0,0,0,1,0,1
2021,6,총,"108,776","5,605","8,852","4,451","2,301","5,609","6,653","9,362","16,637","11,581","11,264","10,273","5,474","10,714"
2021,6,0,"8,207",252,667,215,123,444,225,686,"1,762",494,722,982,653,982
2021,6,10,"10,508",359,676,314,160,571,322,840,"1,921","1,083","1,204","1,033",677,"1,348"
2021,6,20,"14,485",687,"1,142",666,301,809,874,"1,229","2,103","1,781","1,632","1,221",719,"1,321"
2021,6,30,"13,539",724,"1,297",575,291,844,768,"1,171","2,083","1,131","1,176","1,408",777,"1,294"
2021,6,40,"17,182",852,"1,401",595,271,867,848,"1,392","2,897","1,610","1,596","1,798",892,"2,163"
2021,6,50,"20,126","1,018","1,719",861,431,970,"1,290","1,660","2,718","2,486","2,319","1,761",987,"1,906"
2021,6,60,"16,044","1,009","1,307",732,469,691,"1,438","1,526","2,134","1,906","1,746","1,437",544,"1,105"
2021,6,70,"6,711",540,507,388,199,331,658,621,818,833,679,496,164,477
2021,6,80,"1,877",156,132,98,53,75,220,221,192,244,184,134,56,112
2021,6,90,95,8,4,7,3,7,10,16,9,13,6,2,5,5
2021,6,100,2,0,0,0,0,0,0,0,0,0,0,1,0,1
2021,7,총,"108,678","5,679","8,851","4,467","2,272","5,609","6,637","9,313","16,621","11,563","11,262","10,247","5,468","10,689"
2021,7,0,"8,161",257,672,214,122,442,226,679,"1,758",484,715,972,651,969
2021,7,10,"10,478",358,676,314,160,565,324,830,"1,921","1,077","1,196","1,036",671,"1,350"
2021,7,20,"14,447",702,"1,135",677,296,805,863,"1,225","2,092","1,782","1,628","1,207",717,"1,318"
2021,7,30,"13,516",749,"1,294",572,287,847,765,"1,171","2,074","1,130","1,178","1,393",776,"1,280"
2021,7,40,"17,145",862,"1,392",601,263,872,843,"1,381","2,888","1,601","1,590","1,800",886,"2,166"
2021,7,50,"20,097","1,028","1,714",858,421,967,"1,294","1,640","2,725","2,486","2,316","1,754",996,"1,898"
2021,7,60,"16,112","1,011","1,318",733,468,694,"1,439","1,529","2,140","1,913","1,764","1,451",546,"1,106"
2021,7,70,"6,738",545,510,390,199,335,655,620,823,835,685,499,165,477
2021,7,80,"1,884",159,136,101,53,76,218,220,191,241,183,132,55,119
2021,7,90,98,8,4,7,3,6,10,18,9,14,7,2,5,5
2021,7,100,2,0,0,0,0,0,0,0,0,0,0,1,0,1
2021,8,총,"108,516","5,687","8,848","4,453","2,258","5,617","6,617","9,279","16,586","11,569","11,225","10,222","5,457","10,698"
2021,8,0,"8,091",253,669,215,117,440,226,675,"1,732",485,704,965,647,963
2021,8,10,"10,452",355,685,314,163,561,324,832,"1,913","1,059","1,191","1,034",672,"1,349"
2021,8,20,"14,396",696,"1,123",679,293,804,854,"1,203","2,105","1,793","1,605","1,207",710,"1,324"
2021,8,30,"13,471",764,"1,290",570,285,857,761,"1,162","2,046","1,138","1,168","1,384",775,"1,271"
2021,8,40,"17,095",850,"1,401",592,262,871,844,"1,384","2,884","1,581","1,587","1,799",881,"2,159"
2021,8,50,"20,066","1,041","1,705",852,417,959,"1,286","1,631","2,725","2,488","2,311","1,742","1,001","1,908"
2021,8,60,"16,179","1,007","1,331",734,466,704,"1,433","1,530","2,149","1,930","1,781","1,453",546,"1,115"
2021,8,70,"6,770",550,507,390,199,338,664,622,830,835,687,503,165,480
2021,8,80,"1,894",162,133,100,54,76,214,221,193,247,184,132,55,123
2021,8,90,100,9,4,7,2,7,11,19,9,13,7,2,5,5
2021,8,100,2,0,0,0,0,0,0,0,0,0,0,1,0,1
2021,9,총,"108,235","5,697","8,833","4,435","2,239","5,617","6,571","9,215","16,530","11,544","11,220","10,198","5,445","10,691"
2021,9,0,"8,024",252,667,210,113,442,217,664,"1,718",485,709,951,645,951
2021,9,10,"10,436",354,674,309,164,560,326,839,"1,921","1,053","1,181","1,033",670,"1,352"
2021,9,20,"14,311",703,"1,115",687,287,800,845,"1,178","2,073","1,790","1,608","1,207",699,"1,319"
2021,9,30,"13,360",760,"1,286",558,280,860,750,"1,148","2,029","1,125","1,164","1,369",769,"1,262"
2021,9,40,"17,021",849,"1,400",588,259,870,831,"1,372","2,880","1,568","1,584","1,786",881,"2,153"
2021,9,50,"20,056","1,048","1,699",853,410,961,"1,279","1,625","2,722","2,481","2,305","1,744","1,002","1,927"
2021,9,60,"16,218","1,006","1,343",734,468,704,"1,438","1,528","2,151","1,935","1,784","1,463",549,"1,115"
2021,9,70,"6,814",557,512,390,203,339,657,621,833,844,695,510,170,483
2021,9,80,"1,891",159,133,99,53,74,216,222,193,249,183,132,55,123
2021,9,90,102,9,4,7,2,7,12,18,10,14,7,2,5,5
2021,9,100,2,0,0,0,0,0,0,0,0,0,0,1,0,1
2021,10,총,"108,103","5,700","8,831","4,411","2,245","5,621","6,564","9,169","16,539","11,536","11,208","10,164","5,431","10,684"
2021,10,0,"7,973",250,665,209,118,443,216,664,"1,711",477,704,950,637,929
2021,10,10,"10,407",357,675,305,161,555,326,828,"1,933","1,051","1,176","1,020",674,"1,346"
2021,10,20,"14,256",701,"1,103",682,292,799,837,"1,176","2,073","1,792","1,607","1,193",688,"1,313"
2021,10,30,"13,319",760,"1,284",557,277,856,749,"1,134","2,007","1,126","1,163","1,374",762,"1,270"
2021,10,40,"16,953",841,"1,404",582,262,862,835,"1,368","2,868","1,548","1,569","1,777",881,"2,156"
2021,10,50,"20,065","1,053","1,702",852,410,970,"1,270","1,615","2,743","2,473","2,309","1,734","1,005","1,929"
2021,10,60,"16,276","1,006","1,347",733,467,719,"1,443","1,522","2,158","1,961","1,787","1,462",549,"1,122"
2021,10,70,"6,836",564,511,387,202,335,660,620,841,839,699,514,173,491
2021,10,80,"1,911",160,136,97,54,74,216,223,195,254,187,136,57,122
2021,10,90,105,8,4,7,2,8,12,19,10,15,7,3,5,5
2021,10,100,2,0,0,0,0,0,0,0,0,0,0,1,0,1
2021,11,총,"108,044","5,719","8,802","4,413","2,223","5,617","6,541","9,138","16,532","11,566","11,215","10,164","5,436","10,678"
2021,11,0,"7,914",252,660,206,116,440,208,656,"1,708",475,694,941,634,924
2021,11,10,"10,391",354,677,307,158,558,323,832,"1,925","1,048","1,174","1,019",674,"1,342"
2021,11,20,"14,253",703,"1,098",686,289,799,838,"1,169","2,073","1,782","1,616","1,197",691,"1,312"
2021,11,30,"13,268",760,"1,274",552,273,855,749,"1,129","2,002","1,137","1,164","1,357",764,"1,252"
2021,11,40,"16,938",845,"1,412",582,258,856,834,"1,368","2,861","1,544","1,563","1,779",877,"2,159"
2021,11,50,"20,107","1,060","1,698",858,409,971,"1,265","1,612","2,754","2,484","2,306","1,742","1,004","1,944"
2021,11,60,"16,282","1,009","1,333",731,460,718,"1,441","1,514","2,152","1,974","1,802","1,470",558,"1,120"
2021,11,70,"6,851",569,510,384,201,335,656,615,850,849,700,517,171,494
2021,11,80,"1,932",159,136,100,57,77,215,224,196,259,188,139,58,124
2021,11,90,107,8,4,7,2,8,12,19,11,14,8,3,5,6
2021,11,100,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2021,12,총,"107,736","5,722","8,726","4,394","2,202","5,598","6,508","9,072","16,511","11,560","11,188","10,184","5,413","10,658"
2021,12,0,"7,858",250,649,208,115,432,209,654,"1,711",467,692,932,625,914
2021,12,10,"10,332",354,670,307,155,558,315,829,"1,923","1,041","1,161","1,019",666,"1,334"
