년도,월,나이,경상북도 영덕군,경상북도 영덕군 영덕읍,경상북도 영덕군 강구면,경상북도 영덕군 남정면,경상북도 영덕군 달산면,경상북도 영덕군 지품면,경상북도 영덕군 지품면원전출장소,경상북도 영덕군 축산면,경상북도 영덕군 축산면축산출장소,경상북도 영덕군 영해면,경상북도 영덕군 병곡면,경상북도 영덕군 창수면
2020,10,100,22,7,1,1,2,1,0,1,0,2,2,5
2020,11,총,"19,173","5,782","3,312","1,224",628,749,283,494,923,"3,445","1,476",857
2020,11,0,846,420,108,22,8,14,5,13,15,194,33,14
2020,11,10,"1,036",476,131,26,19,16,9,14,33,221,67,24
2020,11,20,"1,032",399,193,51,25,28,6,22,40,200,46,22
2020,11,30,"1,187",539,179,51,19,26,4,18,35,240,54,22
2020,11,40,"1,732",778,294,61,37,37,7,32,70,318,64,34
2020,11,50,"2,909",862,566,171,79,119,33,58,147,552,204,118
2020,11,60,"3,850",972,737,273,131,179,76,103,224,642,316,197
2020,11,70,"3,561",745,665,294,154,178,85,114,217,554,338,217
2020,11,80,"2,571",489,379,233,131,133,50,107,131,434,307,177
2020,11,90,427,95,59,41,23,18,8,12,11,88,45,27
2020,11,100,22,7,1,1,2,1,0,1,0,2,2,5
2020,12,총,"19,116","5,761","3,306","1,225",621,751,282,484,918,"3,432","1,480",856
2020,12,0,844,418,107,25,6,15,5,13,16,191,34,14
2020,12,10,"1,028",472,133,25,18,16,8,15,33,217,67,24
2020,12,20,"1,018",398,185,52,22,27,7,19,39,201,47,21
2020,12,30,"1,168",527,177,52,18,26,4,17,31,239,54,23
2020,12,40,"1,722",778,292,61,37,37,6,31,70,311,66,33
2020,12,50,"2,891",857,561,170,79,121,34,57,147,546,204,115
2020,12,60,"3,873",977,742,275,131,180,78,101,224,649,316,200
2020,12,70,"3,529",739,668,292,153,176,82,110,214,551,330,214
2020,12,80,"2,592",493,381,230,131,133,50,109,134,436,315,180
2020,12,90,428,95,59,42,24,19,8,11,10,88,45,27
2020,12,100,23,7,1,1,2,1,0,1,0,3,2,5
2021,1,총,"19,082","5,746","3,304","1,215",622,754,285,487,916,"3,428","1,474",851
2021,1,0,826,407,106,22,5,15,5,13,18,191,31,13
2021,1,10,"1,032",475,135,24,19,16,8,15,33,213,69,25
2021,1,20,"1,006",398,182,50,25,27,7,18,36,199,46,18
2021,1,30,"1,167",528,176,53,18,25,5,17,31,236,56,22
2021,1,40,"1,710",773,288,59,36,37,6,32,71,311,65,32
2021,1,50,"2,874",856,560,167,80,117,36,58,145,542,201,112
2021,1,60,"3,878",975,747,270,129,184,78,103,223,654,314,201
2021,1,70,"3,521",740,660,293,150,176,82,110,214,553,331,212
2021,1,80,"2,614",491,391,232,134,137,50,109,135,436,314,185
2021,1,90,431,96,58,44,24,19,8,11,10,90,45,26
2021,1,100,23,7,1,1,2,1,0,1,0,3,2,5
2021,2,총,"19,033","5,729","3,292","1,214",620,752,287,486,916,"3,415","1,474",848
2021,2,0,809,398,106,20,5,15,5,11,17,189,31,12
2021,2,10,"1,027",480,134,21,19,15,8,15,31,210,68,26
2021,2,20,"1,000",401,174,53,22,26,7,18,37,198,46,18
2021,2,30,"1,145",520,175,51,19,25,5,17,31,229,51,22
2021,2,40,"1,710",769,284,64,35,37,6,29,73,313,69,31
2021,2,50,"2,860",855,557,164,79,113,37,59,145,543,197,111
2021,2,60,"3,885",972,751,268,132,187,77,104,224,650,317,203
2021,2,70,"3,504",738,660,294,147,171,81,111,214,549,332,207
2021,2,80,"2,633",491,391,233,136,143,53,109,135,442,313,187
2021,2,90,437,98,59,45,24,19,8,12,9,89,48,26
2021,2,100,23,7,1,1,2,1,0,1,0,3,2,5
2021,3,총,"18,957","5,689","3,290","1,202",618,746,286,484,915,"3,409","1,470",848
2021,3,0,790,384,107,20,4,15,5,10,20,185,28,12
2021,3,10,"1,018",479,133,21,19,13,8,15,31,206,69,24
2021,3,20,986,390,177,49,21,26,6,18,37,198,46,18
2021,3,30,"1,126",510,176,50,18,25,5,17,31,221,50,23
2021,3,40,"1,708",769,282,61,34,34,6,30,71,319,70,32
2021,3,50,"2,834",843,560,167,80,112,36,58,141,538,191,108
2021,3,60,"3,900",985,747,266,134,186,77,103,224,654,320,204
2021,3,70,"3,489",732,659,289,145,170,81,112,213,546,335,207
2021,3,80,"2,650",496,390,232,136,144,54,108,139,448,313,190
2021,3,90,437,95,58,46,25,20,8,13,8,91,48,25
2021,3,100,19,6,1,1,2,1,0,0,0,3,0,5
2021,4,총,"18,931","5,685","3,285","1,200",616,745,287,483,914,"3,397","1,474",845
2021,4,0,784,380,109,21,4,16,5,10,20,180,28,11
2021,4,10,"1,009",476,132,20,18,12,8,15,31,203,70,24
2021,4,20,988,396,174,49,20,27,6,17,33,200,48,18
2021,4,30,"1,116",511,173,49,17,27,4,17,31,214,50,23
2021,4,40,"1,706",763,285,62,35,34,5,29,72,321,70,30
2021,4,50,"2,821",838,551,170,81,107,39,60,143,530,192,110
2021,4,60,"3,910",989,752,259,135,188,76,102,224,661,321,203
2021,4,70,"3,462",730,656,289,142,164,82,112,210,542,331,204
2021,4,80,"2,679",500,394,235,137,150,54,107,141,453,315,193
2021,4,90,437,95,58,45,25,19,8,14,9,91,49,24
2021,4,100,19,7,1,1,2,1,0,0,0,2,0,5
2021,5,총,"18,891","5,687","3,274","1,203",615,745,286,483,908,"3,377","1,464",849
2021,5,0,786,385,110,20,4,16,5,10,20,177,28,11
2021,5,10,"1,010",476,129,21,18,13,8,15,31,205,70,24
2021,5,20,979,388,174,49,20,27,6,17,33,199,48,18
2021,5,30,"1,103",507,165,48,18,27,4,18,31,212,50,23
2021,5,40,"1,704",763,288,63,32,32,5,30,71,321,70,29
2021,5,50,"2,789",836,539,170,82,106,39,59,142,516,185,115
2021,5,60,"3,924",995,761,262,135,191,75,103,223,657,318,204
2021,5,70,"3,448",734,649,288,142,164,81,111,208,537,328,206
2021,5,80,"2,682",498,399,236,138,149,55,106,140,458,315,188
2021,5,90,448,98,59,45,25,19,8,14,9,93,52,26
2021,5,100,18,7,1,1,1,1,0,0,0,2,0,5
2021,6,총,"18,807","5,661","3,246","1,200",613,747,279,480,907,"3,363","1,463",848
2021,6,0,780,379,109,20,4,17,5,9,20,177,29,11
2021,6,10,"1,009",477,126,20,18,13,8,16,30,207,70,24
2021,6,20,968,386,169,50,19,27,6,17,33,195,48,18
2021,6,30,"1,089",494,168,47,16,27,4,17,32,211,51,22
2021,6,40,"1,699",771,281,63,31,32,5,29,70,319,68,30
2021,6,50,"2,743",828,523,166,82,106,36,57,142,505,185,113
2021,6,60,"3,935",987,767,267,136,190,72,105,221,667,318,205
2021,6,70,"3,429",736,641,286,141,164,80,110,207,533,325,206
2021,6,80,"2,688",498,401,236,140,150,55,106,142,455,317,188
2021,6,90,449,98,60,44,25,20,8,14,10,92,52,26
2021,6,100,18,7,1,1,1,1,0,0,0,2,0,5
2021,7,총,"18,799","5,664","3,243","1,202",613,751,283,478,905,"3,358","1,457",845
2021,7,0,775,380,108,21,4,17,5,9,18,176,26,11
2021,7,10,"1,005",474,128,20,16,13,7,16,31,207,69,24
2021,7,20,972,390,166,50,20,28,7,17,34,192,49,19
2021,7,30,"1,082",489,168,47,16,29,4,17,30,211,49,22
2021,7,40,"1,686",768,272,65,31,30,6,30,71,319,65,29
2021,7,50,"2,735",827,528,167,83,107,37,53,141,495,184,113
2021,7,60,"3,946",995,763,264,135,191,73,106,221,671,320,207
2021,7,70,"3,440",739,648,288,141,165,80,109,207,536,326,201
2021,7,80,"2,695",498,402,235,141,152,56,107,142,457,316,189
2021,7,90,445,97,59,44,25,18,8,14,10,92,53,25
2021,7,100,18,7,1,1,1,1,0,0,0,2,0,5
2021,8,총,"18,776","5,663","3,231","1,204",617,751,278,479,902,"3,348","1,457",846
2021,8,0,777,382,105,21,4,17,5,9,19,177,27,11
2021,8,10,991,469,126,20,16,13,7,16,29,205,67,23
2021,8,20,963,388,163,52,23,27,6,17,32,185,50,20
2021,8,30,"1,080",484,169,50,15,28,4,17,32,210,47,24
2021,8,40,"1,674",768,269,63,31,30,5,30,67,315,67,29
2021,8,50,"2,750",832,530,168,83,107,37,53,142,500,185,113
2021,8,60,"3,938","1,000",755,264,135,194,70,105,222,670,319,204
2021,8,70,"3,429",732,647,285,142,163,82,110,209,533,324,202
2021,8,80,"2,703",503,406,236,140,151,54,108,142,457,317,189
2021,8,90,452,98,60,43,27,20,8,14,8,94,54,26
2021,8,100,19,7,1,2,1,1,0,0,0,2,0,5
2021,9,총,"18,686","5,634","3,221","1,192",615,746,277,482,902,"3,326","1,449",842
2021,9,0,763,368,104,21,4,15,5,10,19,179,28,10
2021,9,10,986,468,124,19,16,13,7,17,31,203,65,23
2021,9,20,946,387,160,49,22,26,6,17,32,177,51,19
2021,9,30,"1,060",474,164,49,14,26,4,17,34,207,48,23
2021,9,40,"1,665",773,262,62,31,30,5,30,66,308,68,30
2021,9,50,"2,745",828,537,166,85,108,37,53,141,498,179,113
2021,9,60,"3,931","1,004",755,262,133,193,68,106,221,667,320,202
2021,9,70,"3,416",731,646,284,143,163,83,104,207,532,322,201
2021,9,80,"2,705",502,408,235,138,151,54,113,143,458,313,190
2021,9,90,449,91,60,43,28,20,8,15,8,95,55,26
2021,9,100,20,8,1,2,1,1,0,0,0,2,0,5
2021,10,총,"18,650","5,618","3,214","1,195",615,747,277,480,891,"3,323","1,453",837
2021,10,0,751,366,101,19,4,15,5,10,18,174,31,8
2021,10,10,980,468,122,19,15,13,7,18,29,202,63,24
2021,10,20,947,383,163,49,22,26,6,17,29,182,53,17
2021,10,30,"1,037",464,161,50,14,27,4,16,35,199,44,23
2021,10,40,"1,676",775,262,64,32,29,5,31,66,314,67,31
2021,10,50,"2,752",832,539,167,86,111,37,54,138,495,180,113
2021,10,60,"3,907",997,754,260,131,189,67,104,219,663,323,200
2021,10,70,"3,421",728,646,282,145,166,82,103,207,537,324,201
2021,10,80,"2,704",506,405,237,136,148,56,111,142,460,313,190
2021,10,90,456,92,60,46,29,22,8,16,8,95,55,25
2021,10,100,19,7,1,2,1,1,0,0,0,2,0,5
2021,11,총,"18,617","5,606","3,195","1,202",615,748,275,483,886,"3,316","1,451",840
2021,11,0,744,361,101,19,4,15,5,10,18,172,31,8
2021,11,10,979,467,121,20,16,14,7,18,28,199,63,26
2021,11,20,937,382,157,49,22,27,6,16,28,182,52,16
2021,11,30,"1,040",464,162,54,14,27,4,17,36,195,44,23
2021,11,40,"1,670",774,257,63,33,30,5,31,62,316,67,32
2021,11,50,"2,751",832,536,166,85,110,37,56,139,498,179,113
2021,11,60,"3,918",993,758,264,132,188,67,104,221,661,327,203
2021,11,70,"3,404",732,639,281,143,166,80,103,205,535,319,201
2021,11,80,"2,699",504,402,238,134,150,56,112,141,462,311,189
2021,11,90,457,91,61,46,31,20,8,16,8,94,58,24
2021,11,100,18,6,1,2,1,1,0,0,0,2,0,5
2021,12,총,"18,537","5,580","3,175","1,197",609,749,275,477,884,"3,313","1,443",835
2021,12,0,731,355,98,19,5,14,5,10,18,168,31,8
2021,12,10,978,471,123,19,15,14,6,18,28,200,58,26
2021,12,20,921,379,148,50,22,26,6,15,29,178,52,16
2021,12,30,"1,027",460,161,53,14,26,4,16,36,190,44,23
2021,12,40,"1,646",762,248,61,33,30,5,30,61,321,65,30
2021,12,50,"2,758",836,536,167,84,112,37,59,140,493,180,114
2021,12,60,"3,905",985,756,265,131,186,67,103,221,665,323,203
2021,12,70,"3,389",733,640,278,140,169,80,98,202,534,316,199
2021,12,80,"2,709",502,404,236,132,152,57,113,140,468,315,190
2021,12,90,458,92,60,47,32,20,8,15,8,94,59,23
2021,12,100,15,5,1,2,1,0,0,0,1,2,0,3
