년도,월,나이,경상북도 군위군,경상북도 군위군 군위읍,경상북도 군위군 소보면,경상북도 군위군 효령면,경상북도 군위군 부계면,경상북도 군위군 우보면,경상북도 군위군 의흥면,경상북도 군위군 산성면,경상북도 군위군 고로면,경상북도 군위군 삼국유사면
2020,7,0,331,200,20,41,17,10,31,6,6,
2020,7,10,449,258,23,74,20,24,30,12,8,
2020,7,20,614,290,47,102,53,48,42,8,24,
2020,7,30,602,313,47,91,36,31,49,16,19,
2020,7,40,911,508,52,116,66,49,63,25,32,
2020,7,50,"1,903",675,193,320,174,163,183,82,113,
2020,7,60,"2,496",705,248,431,251,244,306,151,160,
2020,7,70,"2,203",569,244,372,203,223,287,150,155,
2020,7,80,"1,699",398,221,270,156,201,227,126,100,
2020,7,90,254,61,34,32,30,22,32,19,24,
2020,7,100,14,6,2,1,0,3,2,0,0,
2020,8,총,"11,464","3,980","1,138","1,854","1,002","1,009","1,251",591,639,
2020,8,0,331,199,20,40,16,12,32,6,6,
2020,8,10,449,258,23,74,20,24,30,12,8,
2020,8,20,615,293,47,103,53,43,43,9,24,
2020,8,30,598,310,48,91,37,31,46,17,18,
2020,8,40,906,510,52,116,62,46,62,25,33,
2020,8,50,"1,897",673,193,318,175,163,183,79,113,
2020,8,60,"2,505",708,253,437,251,242,305,150,159,
2020,8,70,"2,199",567,245,371,202,221,289,150,154,
2020,8,80,"1,695",396,221,270,155,202,227,124,100,
2020,8,90,255,60,34,33,31,22,32,19,24,
2020,8,100,14,6,2,1,0,3,2,0,0,
2020,9,총,"11,437","3,981","1,139","1,843",996,"1,005","1,246",592,635,
2020,9,0,328,199,21,40,15,12,29,6,6,
2020,9,10,449,260,23,73,19,23,31,12,8,
2020,9,20,603,288,47,99,49,44,43,9,24,
2020,9,30,595,308,49,91,37,30,45,17,18,
2020,9,40,899,507,53,113,61,44,62,26,33,
2020,9,50,"1,896",678,192,312,177,165,182,80,110,
2020,9,60,"2,503",712,250,438,249,241,304,148,161,
2020,9,70,"2,188",562,246,371,202,219,286,150,152,
2020,9,80,"1,704",401,221,270,156,202,229,125,100,
2020,9,90,257,60,34,35,31,22,33,19,23,
2020,9,100,15,6,3,1,0,3,2,0,0,
2020,10,총,"11,428","3,978","1,135","1,833",998,"1,007","1,245",592,640,
2020,10,0,324,196,21,39,15,12,29,6,6,
2020,10,10,450,262,24,71,19,23,31,12,8,
2020,10,20,601,286,47,99,49,45,42,9,24,
2020,10,30,577,295,49,87,36,29,46,16,19,
2020,10,40,892,509,52,109,60,44,59,26,33,
2020,10,50,"1,895",682,193,307,179,162,182,79,111,
2020,10,60,"2,522",718,249,444,250,242,307,150,162,
2020,10,70,"2,183",562,243,370,201,221,285,149,152,
2020,10,80,"1,710",403,222,270,159,203,229,125,99,
2020,10,90,259,59,32,36,30,23,33,20,26,
2020,10,100,15,6,3,1,0,3,2,0,0,
2020,11,총,"11,386","3,956","1,138","1,830",993,"1,003","1,239",587,640,
2020,11,0,315,190,21,38,15,12,27,6,6,
2020,11,10,443,261,21,70,18,22,32,12,7,
2020,11,20,597,286,49,101,48,43,39,8,23,
2020,11,30,569,289,50,85,36,30,45,15,19,
2020,11,40,894,512,52,109,59,43,60,26,33,
2020,11,50,"1,870",672,192,304,174,160,181,76,111,
2020,11,60,"2,531",714,252,448,255,239,309,151,163,
2020,11,70,"2,178",563,240,366,198,224,285,149,153,
2020,11,80,"1,714",406,225,273,161,202,225,123,99,
2020,11,90,260,57,33,35,29,25,34,21,26,
2020,11,100,15,6,3,1,0,3,2,0,0,
2020,12,총,"11,364","3,944","1,135","1,833",995,996,"1,233",586,642,
2020,12,0,311,191,22,37,14,12,23,6,6,
2020,12,10,438,258,21,70,15,22,32,12,8,
2020,12,20,595,283,46,104,50,44,39,8,21,
2020,12,30,560,284,50,84,35,28,44,15,20,
2020,12,40,886,513,52,108,59,39,58,26,31,
2020,12,50,"1,880",675,193,307,177,158,181,77,112,
2020,12,60,"2,525",708,254,446,255,238,312,148,164,
2020,12,70,"2,164",563,237,363,196,224,283,147,151,
2020,12,80,"1,726",407,225,274,164,202,225,126,103,
2020,12,90,265,57,32,39,30,26,34,21,26,
2020,12,100,14,5,3,1,0,3,2,0,0,
2021,1,총,"11,363","3,932","1,130","1,837","1,004",998,"1,232",585,0,645
2021,1,0,313,190,21,40,15,12,24,6,0,5
2021,1,10,434,256,20,69,16,22,31,11,0,9
2021,1,20,588,280,42,101,51,43,42,8,0,21
2021,1,30,554,280,48,83,36,29,45,14,0,19
2021,1,40,879,507,51,108,58,37,58,26,0,34
2021,1,50,"1,871",672,190,311,179,160,179,73,0,107
2021,1,60,"2,552",715,261,445,257,239,312,154,0,169
2021,1,70,"2,162",563,236,366,197,226,279,145,0,150
2021,1,80,"1,731",408,224,274,166,201,226,128,0,104
2021,1,90,264,56,34,39,29,25,34,20,0,27
2021,1,100,15,5,3,1,0,4,2,0,0,0
2021,2,총,"11,310","3,919","1,123","1,826",998,993,"1,225",586,,640
2021,2,0,308,188,21,38,15,11,24,6,,5
2021,2,10,432,254,20,69,15,22,32,11,,9
2021,2,20,570,275,40,96,51,41,42,8,,17
2021,2,30,553,278,48,84,40,29,43,13,,18
2021,2,40,863,504,50,106,52,37,56,24,,34
2021,2,50,"1,864",672,189,309,180,156,176,77,,105
2021,2,60,"2,563",721,260,448,253,243,313,154,,171
2021,2,70,"2,136",555,231,357,198,222,275,146,,152
2021,2,80,"1,746",411,228,278,166,202,228,129,,104
2021,2,90,260,56,33,40,28,26,34,18,,25
2021,2,100,15,5,3,1,0,4,2,0,,0
2021,3,총,"11,284","3,922","1,117","1,825",993,984,"1,222",584,,637
2021,3,0,302,184,20,36,17,10,25,5,,5
2021,3,10,428,248,21,68,14,23,32,13,,9
2021,3,20,563,280,38,96,48,36,41,8,,16
2021,3,30,545,268,48,87,40,28,43,14,,17
2021,3,40,870,509,49,108,52,36,57,24,,35
2021,3,50,"1,842",672,185,304,179,155,171,74,,102
2021,3,60,"2,572",724,261,447,253,244,313,156,,174
2021,3,70,"2,137",552,234,360,198,224,275,145,,149
2021,3,80,"1,747",421,225,275,163,201,230,128,,104
2021,3,90,266,59,34,43,29,25,33,17,,26
2021,3,100,12,5,2,1,0,2,2,0,,0
2021,4,총,"11,274","3,924","1,111","1,827",987,982,"1,223",584,,636
2021,4,0,301,181,20,39,17,9,25,5,,5
2021,4,10,421,244,21,67,12,23,32,13,,9
2021,4,20,565,285,38,95,45,36,41,8,,17
2021,4,30,545,270,46,87,39,29,43,14,,17
2021,4,40,864,506,47,110,49,36,59,23,,34
2021,4,50,"1,834",669,183,303,185,152,170,71,,101
2021,4,60,"2,588",738,262,447,248,247,315,158,,173
2021,4,70,"2,129",548,231,362,199,223,271,145,,150
2021,4,80,"1,748",418,227,274,163,201,232,130,,103
2021,4,90,268,60,34,42,30,25,33,17,,27
2021,4,100,11,5,2,1,0,1,2,0,,0
2021,5,총,"11,205","3,913","1,103","1,819",979,973,"1,213",575,,630
2021,5,0,297,180,20,39,15,9,24,5,,5
2021,5,10,420,244,20,66,12,23,33,13,,9
2021,5,20,561,282,38,98,45,36,40,8,,14
2021,5,30,532,270,45,84,35,26,43,14,,15
2021,5,40,857,500,46,106,51,37,58,23,,36
2021,5,50,"1,803",662,179,302,183,148,162,68,,99
2021,5,60,"2,575",740,261,443,248,243,315,152,,173
2021,5,70,"2,133",555,230,361,198,222,274,144,,149
2021,5,80,"1,751",415,229,278,161,202,231,131,,104
2021,5,90,263,60,33,41,31,26,29,17,,26
2021,5,100,13,5,2,1,0,1,4,0,,0
2021,6,총,"11,194","3,912","1,101","1,825",975,966,"1,214",574,,627
2021,6,0,301,179,20,43,15,9,25,5,,5
2021,6,10,414,240,19,65,12,23,33,13,,9
2021,6,20,567,286,37,100,44,37,40,8,,15
2021,6,30,522,265,43,82,35,25,43,14,,15
2021,6,40,856,498,48,109,50,35,57,23,,36
2021,6,50,"1,777",659,179,298,176,143,160,64,,98
2021,6,60,"2,593",745,260,446,252,245,317,155,,173
2021,6,70,"2,130",558,232,359,196,216,276,144,,149
2021,6,80,"1,757",417,227,278,164,206,230,131,,104
2021,6,90,264,60,34,44,31,26,29,17,,23
2021,6,100,13,5,2,1,0,1,4,0,,0
2021,7,총,"11,171","3,910","1,097","1,818",972,966,"1,208",577,,623
2021,7,0,295,173,20,43,15,9,24,6,,5
2021,7,10,414,243,19,63,12,24,33,12,,8
2021,7,20,556,283,36,97,42,35,40,9,,14
2021,7,30,518,265,43,80,35,25,42,15,,13
2021,7,40,846,498,46,109,48,33,56,23,,33
2021,7,50,"1,777",658,181,294,175,147,160,64,,98
2021,7,60,"2,600",749,259,450,252,246,315,155,,174
2021,7,70,"2,132",559,232,359,197,216,277,142,,150
2021,7,80,"1,755",415,226,278,165,206,228,134,,103
2021,7,90,265,62,33,44,31,24,29,17,,25
2021,7,100,13,5,2,1,0,1,4,0,,0
2021,8,총,"11,155","3,911","1,091","1,811",973,971,"1,202",577,,619
2021,8,0,294,171,20,43,15,11,23,6,,5
2021,8,10,415,247,19,63,12,22,32,12,,8
2021,8,20,554,286,36,94,41,34,41,8,,14
2021,8,30,515,266,44,80,33,26,40,13,,13
2021,8,40,842,495,46,110,48,32,56,24,,31
2021,8,50,"1,769",658,181,289,174,151,156,63,,97
2021,8,60,"2,598",749,259,452,250,246,314,155,,173
2021,8,70,"2,131",559,229,356,202,216,276,143,,150
2021,8,80,"1,754",412,221,279,167,208,230,136,,101
2021,8,90,270,63,34,44,31,24,30,17,,27
2021,8,100,13,5,2,1,0,1,4,0,,0
2021,9,총,"11,134","3,901","1,082","1,808",964,976,"1,208",578,,617
2021,9,0,288,171,18,41,14,11,22,6,,5
2021,9,10,419,248,19,64,12,23,34,11,,8
2021,9,20,552,285,35,91,43,35,40,10,,13
2021,9,30,504,264,42,79,30,25,38,13,,13
2021,9,40,834,487,46,110,44,33,58,24,,32
2021,9,50,"1,769",658,178,291,173,152,156,64,,97
2021,9,60,"2,600",755,256,450,249,249,317,154,,170
2021,9,70,"2,128",556,229,359,201,216,274,141,,152
2021,9,80,"1,756",411,223,277,167,207,234,138,,99
2021,9,90,270,61,33,45,31,24,31,17,,28
2021,9,100,14,5,3,1,0,1,4,0,,0
2021,10,총,"11,171","3,923","1,086","1,811",969,977,"1,207",580,,618
2021,10,0,287,173,18,40,13,11,21,6,,5
2021,10,10,415,247,18,62,12,22,35,11,,8
2021,10,20,554,285,36,94,41,35,40,11,,12
2021,10,30,508,270,41,78,29,25,38,13,,14
2021,10,40,831,486,47,107,46,31,58,24,,32
2021,10,50,"1,779",664,176,291,178,153,157,63,,97
2021,10,60,"2,607",755,259,455,250,249,314,155,,170
2021,10,70,"2,138",560,233,363,201,216,273,142,,150
2021,10,80,"1,767",418,223,274,168,209,236,137,,102
2021,10,90,271,60,32,47,31,24,31,18,,28
2021,10,100,14,5,3,0,0,2,4,0,,0
2021,11,총,"11,169","3,924","1,079","1,812",964,974,"1,212",582,,622
2021,11,0,275,167,15,40,13,10,19,6,,5
2021,11,10,417,252,18,60,12,20,36,11,,8
2021,11,20,557,283,37,96,42,35,42,10,,12
2021,11,30,495,266,41,76,25,25,37,12,,13
2021,11,40,840,488,47,108,46,32,61,26,,32
2021,11,50,"1,769",664,174,288,175,149,158,62,,99
2021,11,60,"2,619",758,257,459,253,251,315,156,,170
2021,11,70,"2,141",557,234,363,202,217,274,144,,150
2021,11,80,"1,770",424,221,277,166,208,233,136,,105
2021,11,90,272,60,32,45,30,25,33,19,,28
2021,11,100,14,5,3,0,0,2,4,0,,0
2021,12,총,"11,184","3,938","1,078","1,816",970,965,"1,213",584,,620
2021,12,0,275,166,14,40,17,10,18,6,,4
2021,12,10,420,257,17,59,13,19,36,11,,8
2021,12,20,552,282,38,96,38,33,45,9,,11
2021,12,30,497,262,41,77,28,26,37,13,,13
2021,12,40,838,488,48,107,46,29,62,25,,33
2021,12,50,"1,781",675,171,291,179,145,155,68,,97
2021,12,60,"2,621",754,260,462,248,250,319,156,,172
2021,12,70,"2,128",559,230,358,201,217,271,142,,150
2021,12,80,"1,780",426,224,279,168,210,234,135,,104
2021,12,90,278,63,32,47,32,24,33,19,,28
2021,12,100,14,6,3,0,0,2,3,0,,0
