년도,월,나이,연천군,연천읍,전곡읍,군남면,청산면,백학면,미산면,왕징면,신서면,중면,장남면
2020,4,총,"22,882","4,297","9,822","1,731","2,108","1,435",941,538,"1,533",115,362
2020,4,0,"1,483",380,848,50,66,45,27,14,32,4,17
2020,4,10,"1,743",262,"1,019",101,117,88,41,31,61,4,19
2020,4,20,"3,446",854,"1,384",232,318,159,96,51,282,38,32
2020,4,30,"2,430",602,"1,182",118,179,116,63,34,103,7,26
2020,4,40,"2,750",469,"1,375",177,246,140,88,54,153,8,40
2020,4,50,"3,921",610,"1,676",333,395,293,184,93,251,18,68
2020,4,60,"3,717",538,"1,317",373,424,288,257,112,313,20,75
2020,4,70,"2,270",374,697,223,240,205,119,105,239,11,57
2020,4,80,993,184,274,113,107,94,57,41,90,5,28
2020,4,90,113,24,41,9,15,6,8,2,8,0,0
2020,4,100,16,0,9,2,1,1,1,1,1,0,0
2020,5,총,"22,930","4,298","9,845","1,741","2,119","1,445",937,537,"1,530",114,364
2020,5,0,"1,471",370,852,50,64,45,26,14,30,4,16
2020,5,10,"1,739",258,"1,018",103,117,89,40,31,59,4,20
2020,5,20,"3,458",855,"1,383",240,320,160,94,49,289,37,31
2020,5,30,"2,449",611,"1,189",119,179,116,65,35,100,7,28
2020,5,40,"2,742",467,"1,371",176,246,143,86,55,151,8,39
2020,5,50,"3,916",609,"1,681",330,394,290,183,93,248,19,69
2020,5,60,"3,748",545,"1,324",373,433,294,258,112,315,19,75
2020,5,70,"2,288",378,702,224,244,207,121,104,239,11,58
2020,5,80,991,182,276,115,105,94,55,41,90,5,28
2020,5,90,112,23,40,9,16,6,8,2,8,0,0
2020,5,100,16,0,9,2,1,1,1,1,1,0,0
2020,6,총,"22,851","4,284","9,814","1,727","2,114","1,437",939,540,"1,520",116,360
2020,6,0,"1,466",370,846,51,64,44,26,14,31,4,16
2020,6,10,"1,727",262,"1,007",102,117,88,39,32,57,4,19
2020,6,20,"3,432",840,"1,385",232,323,156,94,51,281,39,31
2020,6,30,"2,424",615,"1,172",118,174,116,66,33,97,7,26
2020,6,40,"2,745",464,"1,376",177,246,142,87,56,150,8,39
2020,6,50,"3,887",608,"1,668",325,388,289,184,90,249,19,67
2020,6,60,"3,765",543,"1,334",378,434,294,256,115,315,19,77
2020,6,70,"2,287",378,702,219,247,206,121,105,240,11,58
2020,6,80,990,180,275,114,105,95,57,41,91,5,27
2020,6,90,113,24,41,9,15,6,8,2,8,0,0
2020,6,100,15,0,8,2,1,1,1,1,1,0,0
2020,7,총,"22,834","4,290","9,803","1,719","2,108","1,436",949,546,"1,507",116,360
2020,7,0,"1,450",367,838,47,62,41,29,14,31,4,17
2020,7,10,"1,715",264,"1,003",100,115,87,39,30,56,3,18
2020,7,20,"3,414",844,"1,377",228,324,155,89,53,271,40,33
2020,7,30,"2,427",620,"1,171",116,172,117,70,34,95,6,26
2020,7,40,"2,744",464,"1,376",178,246,143,86,56,150,8,37
2020,7,50,"3,884",603,"1,666",325,386,290,186,93,247,20,68
2020,7,60,"3,781",545,"1,341",377,434,292,261,117,319,17,78
2020,7,70,"2,297",378,705,221,249,207,124,105,238,13,57
2020,7,80,993,181,277,116,104,97,56,41,90,5,26
2020,7,90,114,24,41,9,15,6,8,2,9,0,0
2020,7,100,15,0,8,2,1,1,1,1,1,0,0
2020,8,총,"22,813","4,281","9,828","1,715","2,096","1,429",951,550,"1,491",112,360
2020,8,0,"1,441",366,837,46,56,41,28,15,31,4,17
2020,8,10,"1,714",259,"1,010",98,116,86,40,31,53,3,18
2020,8,20,"3,389",846,"1,374",229,319,148,89,52,261,38,33
2020,8,30,"2,423",616,"1,180",117,167,116,70,36,92,5,24
2020,8,40,"2,743",457,"1,378",176,249,147,86,56,148,8,38
2020,8,50,"3,858",606,"1,652",319,384,289,183,92,245,20,68
2020,8,60,"3,820",548,"1,360",381,434,293,266,119,325,16,78
2020,8,70,"2,291",376,705,221,249,206,122,106,235,13,58
2020,8,80,"1,004",183,283,116,106,97,58,40,90,5,26
2020,8,90,115,24,41,10,15,5,8,2,10,0,0
2020,8,100,15,0,8,2,1,1,1,1,1,0,0
2020,9,총,"22,827","4,300","9,812","1,711","2,103","1,434",954,550,"1,490",111,362
2020,9,0,"1,434",363,835,46,56,40,28,14,31,4,17
2020,9,10,"1,700",255,"1,002",95,116,88,37,32,53,3,19
2020,9,20,"3,411",866,"1,376",228,319,150,89,51,262,37,33
2020,9,30,"2,411",615,"1,164",118,170,116,73,38,88,5,24
2020,9,40,"2,749",459,"1,379",177,251,147,88,55,147,8,38
2020,9,50,"3,847",600,"1,653",316,382,286,182,93,247,19,69
2020,9,60,"3,838",555,"1,364",380,438,294,268,120,324,17,78
2020,9,70,"2,293",375,705,223,248,205,122,106,237,14,58
2020,9,80,"1,014",189,284,116,107,102,58,39,89,4,26
2020,9,90,115,23,42,10,15,5,8,1,11,0,0
2020,9,100,15,0,8,2,1,1,1,1,1,0,0
2020,10,총,"22,820","4,300","9,821","1,707","2,098","1,431",950,550,"1,488",112,363
2020,10,0,"1,413",355,825,46,55,40,27,14,30,4,17
2020,10,10,"1,701",256,"1,005",96,116,86,38,31,53,3,17
2020,10,20,"3,417",872,"1,372",228,322,150,88,51,261,37,36
2020,10,30,"2,413",617,"1,163",115,168,117,73,40,90,6,24
2020,10,40,"2,739",455,"1,384",174,248,145,86,56,145,8,38
2020,10,50,"3,850",599,"1,666",319,377,286,181,90,245,19,68
2020,10,60,"3,846",558,"1,368",378,438,294,269,118,326,17,80
2020,10,70,"2,303",377,707,226,252,205,120,109,237,14,56
2020,10,80,"1,012",188,283,113,107,102,60,39,89,4,27
2020,10,90,110,23,39,10,14,5,7,1,11,0,0
2020,10,100,16,0,9,2,1,1,1,1,1,0,0
2020,11,총,"22,801","4,291","9,818","1,711","2,096","1,424",950,549,"1,485",113,364
2020,11,0,"1,396",354,813,45,54,40,28,13,29,4,16
2020,11,10,"1,698",252,"1,002",97,116,87,38,32,54,3,17
2020,11,20,"3,419",869,"1,372",233,326,149,86,51,260,37,36
2020,11,30,"2,416",613,"1,175",111,163,115,72,41,96,7,23
2020,11,40,"2,726",458,"1,373",177,247,143,87,52,142,8,39
2020,11,50,"3,844",599,"1,661",318,377,284,182,91,246,18,68
2020,11,60,"3,869",556,"1,384",379,440,296,269,121,324,18,82
2020,11,70,"2,294",379,702,228,251,203,119,106,235,14,57
2020,11,80,"1,015",185,288,112,109,101,61,40,89,4,26
2020,11,90,108,26,39,9,12,5,7,1,9,0,0
2020,11,100,16,0,9,2,1,1,1,1,1,0,0
2020,12,총,"22,799","4,284","9,835","1,704","2,093","1,427",948,552,"1,479",116,361
2020,12,0,"1,394",343,821,44,55,41,30,13,29,4,14
2020,12,10,"1,692",250,"1,002",96,112,87,40,32,52,4,17
2020,12,20,"3,403",873,"1,359",229,324,152,85,51,257,38,35
2020,12,30,"2,428",611,"1,189",112,165,115,71,41,95,7,22
2020,12,40,"2,722",456,"1,370",180,245,143,84,53,142,9,40
2020,12,50,"3,837",601,"1,665",311,379,282,181,90,243,18,67
2020,12,60,"3,886",563,"1,386",382,442,296,268,124,325,18,82
2020,12,70,"2,293",377,704,228,247,205,117,106,238,14,57
2020,12,80,"1,019",184,290,111,111,100,64,40,88,4,27
2020,12,90,108,26,39,9,12,5,7,1,9,0,0
2020,12,100,17,0,10,2,1,1,1,1,1,0,0
2021,1,총,"22,744","4,250","9,827","1,703","2,093","1,415",946,551,"1,476",118,365
2021,1,0,"1,380",339,810,45,56,40,30,13,29,4,14
2021,1,10,"1,679",245,997,94,113,85,39,32,51,4,19
2021,1,20,"3,391",859,"1,359",229,328,146,86,51,257,41,35
2021,1,30,"2,412",610,"1,186",110,164,111,70,39,94,7,21
2021,1,40,"2,713",451,"1,363",181,240,145,83,54,145,9,42
2021,1,50,"3,819",598,"1,664",311,381,275,181,90,240,17,62
2021,1,60,"3,918",567,"1,397",386,443,304,268,124,325,18,86
2021,1,70,"2,283",372,709,222,243,204,115,106,239,14,59
2021,1,80,"1,025",183,292,114,113,99,66,40,87,4,27
2021,1,90,107,26,40,9,11,5,7,1,8,0,0
2021,1,100,17,0,10,2,1,1,1,1,1,0,0
2021,2,총,"22,707","4,254","9,796","1,700","2,090","1,415",945,547,"1,477",119,364
2021,2,0,"1,373",342,799,48,55,39,29,13,30,4,14
2021,2,10,"1,668",246,991,92,112,86,38,32,49,4,18
2021,2,20,"3,382",854,"1,353",227,327,150,88,49,259,40,35
2021,2,30,"2,398",614,"1,177",114,163,106,71,38,87,8,20
2021,2,40,"2,706",454,"1,357",176,240,142,84,53,150,9,41
2021,2,50,"3,793",591,"1,658",309,375,279,174,89,237,18,63
2021,2,60,"3,953",569,"1,410",389,451,305,270,126,329,18,86
2021,2,70,"2,283",374,710,223,240,202,117,104,239,14,60
2021,2,80,"1,023",182,290,111,114,100,66,41,88,4,27
2021,2,90,111,28,41,9,12,5,7,1,8,0,0
2021,2,100,17,0,10,2,1,1,1,1,1,0,0
2021,3,총,"22,577","4,244","9,731","1,691","2,059","1,407",952,544,"1,461",119,369
2021,3,0,"1,349",335,782,48,53,40,27,15,30,4,15
2021,3,10,"1,655",250,981,92,109,85,38,30,48,4,18
2021,3,20,"3,377",854,"1,357",231,325,147,88,48,250,41,36
2021,3,30,"2,385",608,"1,170",109,161,107,73,39,89,7,22
2021,3,40,"2,669",456,"1,334",171,239,140,80,50,148,9,42
2021,3,50,"3,762",586,"1,646",309,370,275,177,89,229,18,63
2021,3,60,"3,973",572,"1,426",388,443,306,278,125,332,18,85
2021,3,70,"2,281",373,710,226,238,201,116,104,238,14,61
2021,3,80,"1,007",183,279,108,109,100,67,42,88,4,27
2021,3,90,112,27,43,8,12,6,7,1,8,0,0
2021,3,100,7,0,3,1,0,0,1,1,1,0,0
2021,4,총,"22,552","4,225","9,752","1,687","2,054","1,406",949,538,"1,451",119,371
2021,4,0,"1,348",330,787,47,52,40,27,16,30,4,15
2021,4,10,"1,653",251,976,93,110,86,39,29,47,4,18
2021,4,20,"3,362",858,"1,359",224,321,146,87,46,245,40,36
2021,4,30,"2,357",590,"1,163",109,160,110,71,37,88,7,22
2021,4,40,"2,664",454,"1,340",170,236,134,81,51,147,10,41
2021,4,50,"3,765",585,"1,648",313,376,273,177,84,227,17,65
2021,4,60,"3,991",573,"1,441",388,442,307,278,125,333,19,85
2021,4,70,"2,277",373,708,226,235,204,115,104,236,14,62
2021,4,80,"1,015",183,283,108,111,100,66,44,89,4,27
2021,4,90,112,27,44,8,11,6,7,1,8,0,0
2021,4,100,8,1,3,1,0,0,1,1,1,0,0
2021,5,총,"22,546","4,230","9,771","1,685","2,041","1,399",946,533,"1,451",118,372
2021,5,0,"1,338",334,775,48,50,41,27,16,29,3,15
2021,5,10,"1,646",248,976,92,110,83,39,28,47,5,18
2021,5,20,"3,372",865,"1,375",225,314,146,84,47,241,39,36
2021,5,30,"2,357",586,"1,166",111,162,103,72,33,93,8,23
2021,5,40,"2,641",451,"1,338",168,231,132,78,51,142,9,41
2021,5,50,"3,770",587,"1,648",312,374,278,177,81,231,17,65
2021,5,60,"4,017",581,"1,457",387,443,304,281,127,332,19,86
2021,5,70,"2,254",366,700,226,234,203,112,102,236,14,61
2021,5,80,"1,031",185,289,106,112,103,68,46,91,4,27
2021,5,90,112,26,44,9,11,6,7,1,8,0,0
2021,5,100,8,1,3,1,0,0,1,1,1,0,0
2021,6,총,"22,537","4,210","9,783","1,684","2,043","1,401",942,535,"1,449",116,374
2021,6,0,"1,324",333,763,47,53,41,24,16,29,3,15
2021,6,10,"1,640",244,983,90,104,83,38,28,47,5,18
2021,6,20,"3,348",846,"1,371",225,324,145,82,45,237,37,36
2021,6,30,"2,367",590,"1,170",110,165,104,72,34,92,7,23
2021,6,40,"2,637",446,"1,338",170,227,132,80,52,141,9,42
2021,6,50,"3,765",589,"1,648",313,371,274,177,81,231,16,65
2021,6,60,"4,049",581,"1,472",386,445,311,281,127,337,22,87
2021,6,70,"2,252",367,703,225,232,204,111,102,235,12,61
2021,6,80,"1,034",186,288,107,111,102,69,48,91,5,27
2021,6,90,113,27,44,10,11,5,7,1,8,0,0
2021,6,100,8,1,3,1,0,0,1,1,1,0,0
2021,7,총,"22,518","4,198","9,790","1,680","2,058","1,399",938,529,"1,435",118,373
2021,7,0,"1,312",327,762,46,54,38,24,15,28,3,15
2021,7,10,"1,632",242,983,89,102,83,38,27,47,5,16
2021,7,20,"3,343",842,"1,367",226,334,148,78,42,234,37,35
2021,7,30,"2,368",592,"1,168",107,165,102,75,36,90,8,25
2021,7,40,"2,622",445,"1,333",164,228,133,81,51,138,9,40
2021,7,50,"3,765",588,"1,657",314,370,273,171,80,230,16,66
2021,7,60,"4,078",588,"1,481",390,448,313,285,125,338,23,87
2021,7,70,"2,231",360,701,223,233,200,107,101,233,12,61
2021,7,80,"1,049",187,291,110,114,104,71,50,89,5,28
2021,7,90,110,26,44,10,10,5,7,1,7,0,0
2021,7,100,8,1,3,1,0,0,1,1,1,0,0
2021,8,총,"22,507","4,191","9,788","1,675","2,073","1,392",938,536,"1,426",117,371
2021,8,0,"1,313",329,756,46,54,40,25,15,30,3,15
2021,8,10,"1,633",243,978,88,108,82,38,29,46,5,16
2021,8,20,"3,320",832,"1,365",220,340,143,77,42,227,38,36
2021,8,30,"2,364",593,"1,168",109,161,100,76,38,88,8,23
2021,8,40,"2,622",446,"1,332",162,235,132,80,50,138,8,39
2021,8,50,"3,753",580,"1,653",313,370,273,171,81,229,15,68
2021,8,60,"4,101",596,"1,493",393,448,314,285,125,338,23,86
2021,8,70,"2,226",360,703,221,233,195,106,103,233,12,60
2021,8,80,"1,059",187,293,112,114,108,72,51,89,5,28
2021,8,90,108,24,44,10,10,5,7,1,7,0,0
2021,8,100,8,1,3,1,0,0,1,1,1,0,0
2021,9,총,"22,453","4,172","9,770","1,660","2,072","1,386",938,535,"1,436",115,369
2021,9,0,"1,304",331,751,43,52,42,24,15,30,2,14
2021,9,10,"1,623",234,975,88,106,82,38,29,48,6,17
2021,9,20,"3,284",826,"1,345",214,338,139,75,41,234,37,35
2021,9,30,"2,347",590,"1,161",107,160,99,75,37,88,8,22
2021,9,40,"2,611",441,"1,332",160,231,129,83,50,139,8,38
2021,9,50,"3,770",586,"1,663",311,374,273,172,82,225,14,70
2021,9,60,"4,112",598,"1,494",391,455,313,284,127,342,23,85
2021,9,70,"2,220",358,705,222,230,196,107,101,230,12,59
2021,9,80,"1,063",183,297,112,115,108,71,51,92,5,29
2021,9,90,111,24,44,11,11,5,8,1,7,0,0
2021,9,100,8,1,3,1,0,0,1,1,1,0,0
2021,10,총,"22,412","4,163","9,751","1,657","2,070","1,378",937,535,"1,436",115,370
2021,10,0,"1,297",330,744,42,54,40,24,15,31,2,15
2021,10,10,"1,614",229,978,85,105,82,37,29,46,6,17
2021,10,20,"3,282",824,"1,346",216,336,134,77,41,236,37,35
2021,10,30,"2,329",596,"1,142",109,160,97,73,36,87,8,21
2021,10,40,"2,603",434,"1,331",159,228,129,84,51,140,8,39
2021,10,50,"3,755",581,"1,656",313,374,271,169,82,226,13,70
2021,10,60,"4,136",601,"1,507",391,458,316,287,127,341,24,84
2021,10,70,"2,211",355,703,220,230,195,106,100,231,12,59
2021,10,80,"1,069",187,299,112,114,109,71,52,90,5,30
2021,10,90,108,25,42,9,11,5,8,1,7,0,0
2021,10,100,8,1,3,1,0,0,1,1,1,0,0
2021,11,총,"22,405","4,164","9,744","1,660","2,073","1,376",935,534,"1,435",117,367
2021,11,0,"1,298",332,743,44,52,40,25,14,31,2,15
2021,11,10,"1,607",225,979,83,105,80,36,29,47,6,17
2021,11,20,"3,279",822,"1,343",220,336,135,73,40,237,38,35
2021,11,30,"2,332",608,"1,139",110,157,95,72,36,85,8,22
2021,11,40,"2,583",427,"1,318",160,230,127,85,50,139,9,38
2021,11,50,"3,768",585,"1,667",305,375,274,173,84,225,12,68
2021,11,60,"4,141",601,"1,505",392,464,314,285,127,345,24,84
2021,11,70,"2,200",349,700,221,230,194,106,100,229,13,58
2021,11,80,"1,079",189,305,115,113,110,71,52,89,5,30
2021,11,90,109,25,42,8,11,7,8,1,7,0,0
2021,11,100,9,1,3,2,0,0,1,1,1,0,0
2021,12,총,"22,399","4,154","9,747","1,657","2,086","1,370",932,543,"1,427",116,367
2021,12,0,"1,290",329,741,45,53,37,24,14,30,2,15
2021,12,10,"1,617",227,992,82,98,80,37,31,47,6,17
2021,12,20,"3,272",815,"1,335",225,340,133,74,42,236,37,35
2021,12,30,"2,340",613,"1,140",107,163,95,72,39,84,8,19
2021,12,40,"2,576",424,"1,319",161,226,127,84,49,137,9,40
2021,12,50,"3,760",586,"1,666",299,377,274,172,87,219,12,68
2021,12,60,"4,152",600,"1,502",393,472,313,285,128,350,24,85
2021,12,70,"2,193",348,700,221,230,193,105,99,227,13,57
2021,12,80,"1,087",188,307,115,116,111,71,53,90,5,31
2021,12,90,106,23,42,7,11,7,8,1,7,0,0
2021,12,100,6,1,3,2,0,0,0,0,0,0,0
