년도,월,나이,대덕구,오정동,대화동,회덕동,비래동,송촌동,중리동,신탄진동,석봉동,덕암동,목상동,법1동,법2동
2021,7,100,27,4,2,2,1,3,2,8,1,2,1,1,0
2021,8,총,"85,858","6,764","3,328","6,126","8,218","13,914","9,410","5,348","8,002","6,552","2,993","6,959","8,244"
2021,8,0,"5,288",289,130,325,449,996,453,252,946,362,212,431,443
2021,8,10,"7,675",431,211,460,777,"1,828",727,411,725,580,301,503,721
2021,8,20,"10,785","1,008",346,640,"1,013","1,856","1,353",633,881,909,413,803,930
2021,8,30,"8,906",652,373,540,706,"1,297",942,465,"1,395",692,375,755,714
2021,8,40,"12,875",806,441,812,"1,255","2,687","1,382",681,"1,253",960,508,883,"1,207"
2021,8,50,"16,334","1,254",606,"1,101","1,621","2,765","1,796","1,030","1,304","1,204",539,"1,396","1,718"
2021,8,60,"13,143","1,296",642,"1,180","1,365","1,392","1,572",971,885,949,369,"1,135","1,387"
2021,8,70,"6,637",669,370,620,666,641,767,542,354,555,164,631,658
2021,8,80,"3,611",292,167,393,314,393,366,310,221,294,92,375,394
2021,8,90,579,63,40,53,51,57,51,45,37,45,19,46,72
2021,8,100,25,4,2,2,1,2,1,8,1,2,1,1,0
2021,9,총,"85,887","6,810","3,326","6,108","8,211","13,896","9,434","5,352","8,014","6,534","2,990","6,972","8,240"
2021,9,0,"5,260",290,131,321,443,985,448,247,940,365,211,436,443
2021,9,10,"7,655",436,211,463,778,"1,824",729,407,733,566,298,501,709
2021,9,20,"10,790","1,027",340,641,"1,002","1,853","1,352",640,880,917,413,801,924
2021,9,30,"8,927",662,372,532,708,"1,297",953,470,"1,381",682,381,768,721
2021,9,40,"12,795",801,441,805,"1,243","2,655","1,381",675,"1,256",959,501,872,"1,206"
2021,9,50,"16,387","1,255",613,"1,101","1,623","2,785","1,804","1,033","1,313","1,202",546,"1,398","1,714"
2021,9,60,"13,183","1,297",639,"1,178","1,377","1,398","1,574",977,891,950,368,"1,137","1,397"
2021,9,70,"6,643",679,371,616,666,643,766,540,353,554,162,635,658
2021,9,80,"3,641",297,167,395,317,395,375,310,228,292,91,378,396
