년도,월,나이,경상남도 남해군,경상남도 남해군 남해읍,경상남도 남해군 이동면,경상남도 남해군 상주면,경상남도 남해군 삼동면,경상남도 남해군 미조면,경상남도 남해군 남면,경상남도 남해군 서면,경상남도 남해군 고현면,경상남도 남해군 설천면,경상남도 남해군 창선면
2020,5,60,"3,910",895,357,149,407,241,337,262,324,329,609
2020,5,70,"2,954",545,307,123,310,159,312,228,288,245,437
2020,5,80,"1,450",232,160,80,147,54,145,137,153,138,204
2020,5,90,143,16,21,5,14,5,20,9,24,15,14
2020,5,100,1,0,0,0,1,0,0,0,0,0,0
2020,6,총,"20,733","6,456","1,790",790,"1,882","1,222","1,685","1,273","1,614","1,375","2,646"
2020,6,0,865,467,38,21,76,43,50,29,36,28,77
2020,6,10,"1,602",767,111,53,103,97,103,56,101,60,151
2020,6,20,"1,982",897,141,62,121,129,123,93,119,107,190
2020,6,30,"1,329",580,93,38,114,78,86,63,81,60,136
2020,6,40,"2,536",944,192,78,217,149,193,141,188,129,305
2020,6,50,"3,949","1,116",372,179,370,266,319,251,296,260,520
2020,6,60,"3,917",894,354,150,409,243,332,264,328,333,610
2020,6,70,"2,964",540,310,125,312,159,316,229,288,245,440
2020,6,80,"1,443",235,158,79,145,53,143,138,153,138,201
2020,6,90,145,16,21,5,14,5,20,9,24,15,16
2020,6,100,1,0,0,0,1,0,0,0,0,0,0
2020,7,총,"20,711","6,413","1,819",793,"1,886","1,216","1,690","1,267","1,614","1,370","2,643"
2020,7,0,853,458,43,21,75,42,49,28,34,26,77
2020,7,10,"1,587",739,132,53,103,95,103,53,104,56,149
2020,7,20,"1,991",898,142,63,122,128,121,97,119,111,190
2020,7,30,"1,314",572,93,39,114,76,87,58,81,58,136
2020,7,40,"2,533",942,195,79,218,146,194,139,188,130,302
2020,7,50,"3,953","1,117",366,181,372,270,320,255,296,253,523
2020,7,60,"3,926",894,359,150,409,243,334,262,329,335,611
2020,7,70,"2,963",542,307,123,310,158,320,229,286,247,441
2020,7,80,"1,444",235,161,79,146,53,141,137,153,139,200
2020,7,90,146,16,21,5,16,5,21,9,24,15,14
2020,7,100,1,0,0,0,1,0,0,0,0,0,0
2020,8,총,"20,687","6,398","1,821",794,"1,888","1,215","1,683","1,268","1,618","1,365","2,637"
2020,8,0,848,452,42,21,76,42,45,30,34,28,78
2020,8,10,"1,561",719,131,53,104,90,103,55,104,54,148
2020,8,20,"2,005",902,147,64,123,130,121,96,119,110,193
2020,8,30,"1,307",570,91,40,113,75,88,59,81,58,132
2020,8,40,"2,510",935,192,80,216,146,191,140,187,125,298
2020,8,50,"3,931","1,117",366,178,368,265,321,249,295,251,521
2020,8,60,"3,981",912,361,152,417,250,334,265,333,340,617
2020,8,70,"2,948",539,307,122,310,158,319,227,286,246,434
2020,8,80,"1,447",236,162,79,144,54,142,137,155,137,201
2020,8,90,148,16,22,5,16,5,19,10,24,16,15
2020,8,100,1,0,0,0,1,0,0,0,0,0,0
2020,9,총,"20,641","6,382","1,808",793,"1,887","1,214","1,674","1,268","1,619","1,365","2,631"
2020,9,0,837,448,38,20,71,42,44,31,38,28,77
2020,9,10,"1,557",718,133,53,102,88,103,55,104,54,147
2020,9,20,"1,999",894,148,65,124,132,121,95,117,110,193
2020,9,30,"1,299",572,88,40,111,71,84,58,84,58,133
2020,9,40,"2,485",918,191,82,214,148,189,142,182,123,296
2020,9,50,"3,917","1,117",357,177,369,265,320,248,295,252,517
2020,9,60,"4,016",923,367,152,421,251,338,267,335,342,620
2020,9,70,"2,922",533,304,121,311,156,315,225,283,242,432
2020,9,80,"1,460",243,159,78,147,56,142,137,157,140,201
2020,9,90,148,16,23,5,16,5,18,10,24,16,15
2020,9,100,1,0,0,0,1,0,0,0,0,0,0
2020,10,총,"20,646","6,366","1,816",789,"1,881","1,212","1,668","1,262","1,641","1,365","2,646"
2020,10,0,834,438,36,21,71,42,43,30,49,28,76
2020,10,10,"1,567",714,149,49,105,87,101,54,106,55,147
2020,10,20,"1,991",892,144,69,119,135,122,92,114,111,193
2020,10,30,"1,287",568,84,40,109,70,85,58,87,57,129
2020,10,40,"2,484",918,191,80,214,146,186,142,183,122,302
2020,10,50,"3,920","1,118",358,175,370,262,319,248,299,252,519
2020,10,60,"4,040",926,370,155,421,251,338,267,338,345,629
2020,10,70,"2,914",532,302,116,308,157,316,223,286,240,434
2020,10,80,"1,460",243,159,79,148,57,140,139,154,139,202
2020,10,90,148,17,23,5,15,5,18,9,25,16,15
2020,10,100,1,0,0,0,1,0,0,0,0,0,0
2020,11,총,"20,757","6,475","1,818",791,"1,877","1,213","1,665","1,260","1,650","1,361","2,647"
2020,11,0,837,438,38,22,70,43,38,27,54,28,79
2020,11,10,"1,599",752,147,48,102,88,101,54,105,55,147
2020,11,20,"2,033",932,148,68,122,134,123,94,114,106,192
2020,11,30,"1,290",565,86,41,108,69,88,57,87,59,130
2020,11,40,"2,489",930,186,78,215,147,184,141,189,117,302
2020,11,50,"3,921","1,127",360,175,370,257,317,248,300,253,514
2020,11,60,"4,047",931,371,158,414,254,337,268,338,345,631
2020,11,70,"2,924",539,299,117,312,160,317,223,281,241,435
2020,11,80,"1,468",244,160,79,148,56,142,139,156,141,203
2020,11,90,147,17,22,5,15,5,18,9,26,16,14
2020,11,100,2,0,1,0,1,0,0,0,0,0,0
2020,12,총,"20,707","6,459","1,793",791,"1,873","1,216","1,666","1,256","1,655","1,358","2,640"
2020,12,0,841,436,38,22,70,43,38,27,60,28,79
2020,12,10,"1,570",733,145,48,101,89,97,51,104,54,148
2020,12,20,"2,040",943,139,69,123,135,122,98,116,104,191
2020,12,30,"1,279",565,81,41,104,69,89,56,87,60,127
2020,12,40,"2,472",925,185,78,216,147,184,134,191,114,298
2020,12,50,"3,910","1,123",354,177,369,253,318,250,296,255,515
2020,12,60,"4,071",936,372,157,414,260,341,271,340,344,636
2020,12,70,"2,905",535,294,117,312,159,316,221,279,239,433
2020,12,80,"1,469",246,163,77,148,56,142,139,155,144,199
2020,12,90,148,17,21,5,15,5,19,9,27,16,14
2020,12,100,2,0,1,0,1,0,0,0,0,0,0
2021,1,총,"20,661","6,444","1,796",794,"1,873","1,208","1,666","1,247","1,658","1,345","2,630"
2021,1,0,835,434,37,22,71,41,35,27,65,26,77
2021,1,10,"1,568",722,151,48,98,90,100,51,108,54,146
2021,1,20,"2,010",931,134,70,122,133,123,94,111,100,192
2021,1,30,"1,271",556,81,42,107,70,87,56,87,60,125
2021,1,40,"2,458",933,186,75,212,141,184,134,188,110,295
2021,1,50,"3,899","1,121",353,177,368,252,319,246,295,254,514
2021,1,60,"4,078",942,375,159,418,258,338,269,339,343,637
2021,1,70,"2,921",542,293,118,309,161,320,221,285,242,430
2021,1,80,"1,468",244,164,78,152,57,140,140,154,139,200
2021,1,90,151,19,21,5,15,5,20,9,26,17,14
2021,1,100,2,0,1,0,1,0,0,0,0,0,0
2021,2,총,"20,634","6,408","1,793",810,"1,884","1,201","1,664","1,240","1,661","1,342","2,631"
2021,2,0,836,429,38,27,71,40,34,29,65,25,78
2021,2,10,"1,563",709,153,54,100,90,97,51,107,55,147
2021,2,20,"1,989",913,131,68,127,131,123,92,114,97,193
2021,2,30,"1,257",552,77,41,105,69,85,54,87,59,128
2021,2,40,"2,454",933,185,77,218,139,184,128,188,110,292
2021,2,50,"3,907","1,123",353,180,368,250,318,249,297,256,513
2021,2,60,"4,092",942,381,164,415,257,343,267,341,343,639
2021,2,70,"2,909",543,291,116,309,164,319,217,282,241,427
2021,2,80,"1,477",246,162,78,155,56,142,144,154,140,200
2021,2,90,148,18,21,5,15,5,19,9,26,16,14
2021,2,100,2,0,1,0,1,0,0,0,0,0,0
2021,3,총,"20,599","6,410","1,793",808,"1,879","1,196","1,658","1,235","1,650","1,340","2,630"
2021,3,0,822,422,37,27,69,40,34,29,64,23,77
2021,3,10,"1,587",729,154,54,102,92,98,53,106,54,145
2021,3,20,"1,965",914,129,65,125,126,122,86,111,96,191
2021,3,30,"1,247",546,76,41,103,68,79,56,89,60,129
2021,3,40,"2,430",921,187,76,216,141,181,127,181,108,292
2021,3,50,"3,891","1,130",355,180,363,243,322,246,293,254,505
2021,3,60,"4,111",945,379,167,418,261,339,267,345,345,645
2021,3,70,"2,912",539,289,115,315,163,323,219,278,241,430
2021,3,80,"1,486",246,166,78,154,57,140,143,157,143,202
2021,3,90,147,18,20,5,14,5,20,9,26,16,14
2021,3,100,1,0,1,0,0,0,0,0,0,0,0
2021,4,총,"20,629","6,439","1,781",807,"1,881","1,193","1,656","1,239","1,649","1,348","2,636"
2021,4,0,811,416,35,27,70,38,33,29,63,25,75
2021,4,10,"1,611",751,155,54,100,92,99,54,106,57,143
2021,4,20,"1,976",924,131,66,124,124,120,87,109,101,190
2021,4,30,"1,245",543,76,40,102,67,79,55,88,60,135
2021,4,40,"2,421",921,179,76,213,140,182,129,180,110,291
2021,4,50,"3,869","1,129",355,180,362,243,320,242,295,248,495
2021,4,60,"4,114",945,373,166,421,261,337,271,337,347,656
2021,4,70,"2,928",544,291,115,322,163,324,213,286,236,434
2021,4,80,"1,504",250,165,78,153,60,141,150,157,147,203
2021,4,90,149,16,20,5,14,5,21,9,28,17,14
2021,4,100,1,0,1,0,0,0,0,0,0,0,0
2021,5,총,"20,649","6,453","1,780",814,"1,888","1,189","1,666","1,240","1,644","1,347","2,628"
2021,5,0,809,419,35,27,71,37,31,30,61,24,74
2021,5,10,"1,596",742,153,53,102,88,102,52,105,57,142
2021,5,20,"1,977",929,128,66,123,126,122,89,108,99,187
2021,5,30,"1,244",543,76,40,100,66,80,58,88,59,134
2021,5,40,"2,416",915,182,77,215,134,183,129,182,107,292
2021,5,50,"3,864","1,135",353,181,364,250,318,238,291,248,486
2021,5,60,"4,142",956,377,171,424,259,339,271,338,349,658
2021,5,70,"2,941",544,291,116,320,164,327,215,286,241,437
2021,5,80,"1,508",254,164,78,153,60,144,149,157,146,203
2021,5,90,151,16,20,5,16,5,20,9,28,17,15
2021,5,100,1,0,1,0,0,0,0,0,0,0,0
2021,6,총,"20,633","6,447","1,779",814,"1,879","1,188","1,671","1,239","1,646","1,347","2,623"
2021,6,0,797,411,36,26,71,37,31,30,58,25,72
2021,6,10,"1,595",747,151,55,101,88,101,52,104,56,140
2021,6,20,"1,969",922,130,65,124,122,124,86,110,98,188
2021,6,30,"1,240",546,73,39,96,66,80,60,90,59,131
2021,6,40,"2,413",917,180,76,215,136,182,130,177,106,294
2021,6,50,"3,852","1,125",354,180,360,248,325,237,292,246,485
2021,6,60,"4,172",963,380,175,425,264,337,274,342,354,658
2021,6,70,"2,928",540,290,114,321,162,324,212,287,238,440
2021,6,80,"1,509",258,163,79,150,60,145,149,158,148,199
2021,6,90,157,18,21,5,16,5,22,9,28,17,16
2021,6,100,1,0,1,0,0,0,0,0,0,0,0
2021,7,총,"20,597","6,431","1,773",808,"1,882","1,187","1,652","1,243","1,653","1,346","2,622"
2021,7,0,793,408,35,28,69,37,26,32,59,26,73
2021,7,10,"1,572",740,148,54,101,87,96,53,104,52,137
2021,7,20,"1,948",923,127,64,127,120,119,85,101,99,183
2021,7,30,"1,236",544,71,40,93,68,78,58,92,58,134
2021,7,40,"2,392",905,179,74,216,133,181,130,183,103,288
2021,7,50,"3,847","1,127",358,174,360,246,321,238,297,241,485
2021,7,60,"4,189",959,382,177,422,264,339,278,342,361,665
2021,7,70,"2,937",547,290,112,322,166,324,210,289,240,437
2021,7,80,"1,523",260,161,80,156,61,145,151,157,148,204
2021,7,90,159,18,21,5,16,5,23,8,29,18,16
2021,7,100,1,0,1,0,0,0,0,0,0,0,0
2021,8,총,"20,581","6,437","1,772",803,"1,884","1,182","1,663","1,237","1,644","1,334","2,625"
2021,8,0,791,408,34,28,70,36,26,32,57,27,73
2021,8,10,"1,571",739,149,55,104,83,98,53,101,51,138
2021,8,20,"1,944",930,125,63,124,119,120,81,103,98,181
2021,8,30,"1,227",544,71,37,95,65,76,58,90,57,134
2021,8,40,"2,375",897,179,74,216,131,185,133,177,99,284
2021,8,50,"3,851","1,132",356,175,358,250,322,236,296,236,490
2021,8,60,"4,198",964,382,176,424,265,344,276,345,356,666
2021,8,70,"2,944",545,291,115,321,167,325,208,289,245,438
2021,8,80,"1,520",260,163,76,156,61,144,151,157,147,205
2021,8,90,159,18,21,4,16,5,23,9,29,18,16
2021,8,100,1,0,1,0,0,0,0,0,0,0,0
2021,9,총,"20,497","6,401","1,767",800,"1,879","1,173","1,666","1,240","1,638","1,323","2,610"
2021,9,0,776,397,32,27,69,36,27,35,57,25,71
2021,9,10,"1,554",728,149,54,106,84,93,54,100,50,136
2021,9,20,"1,894",914,118,64,118,111,119,78,99,95,178
2021,9,30,"1,221",536,72,36,94,67,76,58,92,58,132
2021,9,40,"2,359",896,177,73,214,128,185,132,178,100,276
2021,9,50,"3,856","1,136",355,174,354,244,328,239,298,236,492
2021,9,60,"4,199",967,384,176,431,270,340,271,344,351,665
2021,9,70,"2,950",548,294,116,321,165,330,211,283,243,439
2021,9,80,"1,527",261,164,76,156,62,145,153,159,146,205
2021,9,90,160,18,21,4,16,6,23,9,28,19,16
2021,9,100,1,0,1,0,0,0,0,0,0,0,0
2021,10,총,"20,491","6,411","1,762",803,"1,885","1,171","1,659","1,231","1,640","1,317","2,612"
2021,10,0,777,395,33,30,70,36,28,32,59,25,69
2021,10,10,"1,558",732,148,53,107,83,92,54,99,48,142
2021,10,20,"1,896",918,115,64,118,112,119,77,100,96,177
2021,10,30,"1,212",534,69,36,98,66,75,56,94,55,129
2021,10,40,"2,334",888,174,74,209,125,181,130,180,100,273
2021,10,50,"3,861","1,140",358,174,357,245,324,237,297,234,495
2021,10,60,"4,218",971,388,176,434,274,343,272,337,350,673
2021,10,70,"2,944",549,291,113,319,163,330,211,286,245,437
2021,10,80,"1,530",266,164,77,155,61,146,152,160,146,203
2021,10,90,159,17,21,6,18,6,21,10,28,18,14
2021,10,100,2,1,1,0,0,0,0,0,0,0,0
2021,11,총,"20,471","6,416","1,761",803,"1,885","1,171","1,659","1,225","1,638","1,315","2,598"
2021,11,0,780,401,32,32,68,34,27,32,61,24,69
2021,11,10,"1,576",732,165,52,109,84,95,54,99,48,138
2021,11,20,"1,872",916,111,64,117,113,114,76,96,94,171
2021,11,30,"1,203",529,69,35,99,65,75,55,91,57,128
2021,11,40,"2,321",893,167,75,210,121,179,130,178,97,271
2021,11,50,"3,862","1,141",359,172,356,245,327,236,299,235,492
2021,11,60,"4,245",977,386,177,431,278,345,276,343,350,682
2021,11,70,"2,932",549,287,114,322,164,329,206,284,246,431
2021,11,80,"1,517",260,164,76,155,61,147,148,159,146,201
2021,11,90,162,18,20,6,18,6,21,12,28,18,15
2021,11,100,1,0,1,0,0,0,0,0,0,0,0
2021,12,총,"20,450","6,404","1,754",800,"1,885","1,165","1,660","1,234","1,632","1,318","2,598"
2021,12,0,778,401,26,30,71,35,28,33,61,25,68
2021,12,10,"1,555",719,165,51,111,83,93,52,100,46,135
2021,12,20,"1,870",917,110,63,115,113,115,82,90,98,167
2021,12,30,"1,208",533,68,36,98,65,74,55,93,57,129
2021,12,40,"2,296",884,166,73,210,119,174,126,177,98,269
2021,12,50,"3,867","1,139",355,172,353,244,333,241,300,232,498
2021,12,60,"4,244",981,390,178,432,272,345,274,336,353,683
2021,12,70,"2,942",549,288,112,320,169,331,209,288,244,432
2021,12,80,"1,520",261,164,79,157,60,142,149,159,148,201
2021,12,90,169,20,21,6,18,5,25,13,28,17,16
2021,12,100,1,0,1,0,0,0,0,0,0,0,0
