년도,월,나이,충청북도 괴산군,충청북도 괴산군 괴산읍,충청북도 괴산군 감물면,충청북도 괴산군 장연면,충청북도 괴산군 연풍면,충청북도 괴산군 칠성면,충청북도 괴산군 문광면,충청북도 괴산군 청천면,충청북도 괴산군 청안면,충청북도 괴산군 사리면,충청북도 괴산군 소수면,충청북도 괴산군 불정면
2020,3,30,"1,110",500,40,41,39,77,49,105,81,74,42,62
2020,3,40,"1,662",686,74,64,76,130,90,170,110,111,65,86
2020,3,50,"3,442",774,189,195,217,327,220,497,327,239,200,257
2020,3,60,"3,920",721,229,227,279,303,243,624,410,284,263,337
2020,3,70,"2,947",562,165,167,210,269,165,447,276,255,170,261
2020,3,80,"2,096",310,129,135,152,195,155,287,246,177,131,179
2020,3,90,335,37,21,23,26,20,28,57,41,22,32,28
2020,3,100,20,3,1,1,3,2,0,3,2,0,3,2
2020,4,총,"18,423","4,957",977,930,"1,111","1,565","1,083","2,459","1,668","1,341",999,"1,333"
2020,4,0,648,320,24,16,17,54,29,66,42,29,23,28
2020,4,10,"1,044",478,62,28,41,78,55,99,57,66,32,48
2020,4,20,"1,243",572,48,39,51,111,51,106,74,90,45,56
2020,4,30,"1,091",495,41,40,35,76,49,104,81,70,41,59
2020,4,40,"1,664",691,69,64,78,132,87,170,112,113,63,85
2020,4,50,"3,416",768,186,195,214,320,221,496,327,234,199,256
2020,4,60,"3,931",726,231,225,284,308,243,621,413,286,259,335
2020,4,70,"2,927",558,164,164,209,265,164,446,270,254,174,259
2020,4,80,"2,103",309,128,135,153,200,156,291,249,177,129,176
2020,4,90,336,37,23,23,26,19,28,56,41,22,31,30
2020,4,100,20,3,1,1,3,2,0,4,2,0,3,1
2020,5,총,"18,359","4,916",974,928,"1,116","1,560","1,082","2,461","1,665","1,332","1,000","1,325"
2020,5,0,638,311,24,16,18,54,29,66,43,26,24,27
2020,5,10,"1,023",472,60,25,39,75,55,99,56,64,30,48
2020,5,20,"1,211",550,50,41,53,107,51,106,69,84,47,53
2020,5,30,"1,081",489,38,37,34,78,50,102,82,68,42,61
2020,5,40,"1,665",696,68,65,79,129,86,169,113,112,62,86
2020,5,50,"3,401",754,183,197,212,321,218,498,326,237,200,255
2020,5,60,"3,945",735,233,223,287,308,244,624,415,289,257,330
2020,5,70,"2,920",557,163,163,211,265,163,443,269,249,176,261
2020,5,80,"2,115",311,130,136,154,201,158,291,251,181,129,173
2020,5,90,339,38,24,24,26,20,28,59,38,22,30,30
2020,5,100,21,3,1,1,3,2,0,4,3,0,3,1
2020,6,총,"18,291","4,879",982,922,"1,109","1,549","1,080","2,466","1,662","1,323",996,"1,323"
2020,6,0,634,310,24,16,17,54,28,67,42,27,22,27
2020,6,10,"1,008",464,61,25,38,71,56,99,55,62,30,47
2020,6,20,"1,188",538,48,41,50,106,52,107,67,80,48,51
2020,6,30,"1,085",486,41,36,36,76,49,108,85,67,39,62
2020,6,40,"1,647",689,66,63,78,129,86,169,112,108,64,83
2020,6,50,"3,386",751,187,194,211,315,209,491,330,236,199,263
2020,6,60,"3,964",739,237,225,286,309,251,628,415,290,257,327
2020,6,70,"2,909",549,162,162,212,267,163,447,266,249,175,257
2020,6,80,"2,110",312,130,134,153,201,157,289,249,182,130,173
2020,6,90,339,38,25,25,26,19,29,57,38,21,29,32
2020,6,100,21,3,1,1,2,2,0,4,3,1,3,1
2020,7,총,"18,214","4,847",981,917,"1,105","1,544","1,069","2,463","1,657","1,315",997,"1,319"
2020,7,0,626,306,25,16,18,53,27,64,42,26,22,27
2020,7,10,996,457,61,25,38,70,55,99,55,61,30,45
2020,7,20,"1,173",530,46,42,52,101,50,102,68,80,50,52
2020,7,30,"1,066",480,39,34,34,78,49,105,82,66,39,60
2020,7,40,"1,646",688,67,65,77,129,84,169,114,107,63,83
2020,7,50,"3,354",748,184,188,211,313,205,489,322,234,198,262
2020,7,60,"3,970",736,240,224,282,312,253,634,415,288,259,327
2020,7,70,"2,906",544,162,163,211,266,163,449,267,249,174,258
2020,7,80,"2,115",316,131,135,155,199,154,292,250,182,129,172
2020,7,90,340,39,25,24,25,21,29,55,39,21,30,32
2020,7,100,22,3,1,1,2,2,0,5,3,1,3,1
2020,8,총,"18,218","4,845",980,917,"1,109","1,543","1,070","2,464","1,661","1,313",995,"1,321"
2020,8,0,624,302,25,16,18,53,27,64,42,28,21,28
2020,8,10,985,454,59,25,38,70,54,97,56,58,30,44
2020,8,20,"1,185",541,46,43,51,99,51,103,69,80,49,53
2020,8,30,"1,053",468,39,34,34,78,51,103,82,66,39,59
2020,8,40,"1,647",696,67,66,80,126,82,166,116,105,63,80
2020,8,50,"3,345",745,185,185,208,312,206,490,317,236,197,264
2020,8,60,"3,991",736,244,226,284,315,255,634,419,286,259,333
2020,8,70,"2,899",540,160,164,212,265,163,453,269,247,174,252
2020,8,80,"2,129",321,129,134,156,202,152,293,251,185,130,176
2020,8,90,339,39,26,23,26,21,29,56,37,21,30,31
2020,8,100,21,3,0,1,2,2,0,5,3,1,3,1
2020,9,총,"18,223","4,856",980,913,"1,110","1,548","1,073","2,464","1,656","1,312",989,"1,322"
2020,9,0,625,304,27,15,19,51,27,63,42,29,21,27
2020,9,10,977,448,57,26,37,71,53,96,56,59,28,46
2020,9,20,"1,176",536,47,44,51,97,54,102,64,77,50,54
2020,9,30,"1,062",476,39,33,35,81,54,105,83,62,38,56
2020,9,40,"1,644",699,67,66,79,128,79,164,116,108,59,79
2020,9,50,"3,346",751,185,185,209,309,207,488,315,236,197,264
2020,9,60,"4,003",743,240,222,284,322,254,636,417,288,263,334
2020,9,70,"2,903",539,162,165,209,264,162,455,274,247,172,254
2020,9,80,"2,123",317,130,133,157,202,154,294,247,183,129,177
2020,9,90,342,40,26,23,28,21,28,56,39,22,29,30
2020,9,100,22,3,0,1,2,2,1,5,3,1,3,1
2020,10,총,"18,261","4,878",984,920,"1,116","1,545","1,075","2,457","1,666","1,306",994,"1,320"
2020,10,0,633,305,27,18,21,52,28,62,41,29,23,27
2020,10,10,971,446,58,26,36,66,55,96,56,59,27,46
2020,10,20,"1,172",538,45,40,50,100,55,101,65,76,49,53
2020,10,30,"1,069",480,39,33,37,81,53,104,84,63,40,55
2020,10,40,"1,644",696,67,70,78,124,78,165,119,106,60,81
2020,10,50,"3,340",753,188,182,210,309,207,486,314,233,198,260
2020,10,60,"4,026",749,243,226,288,324,254,634,423,288,263,334
2020,10,70,"2,904",547,160,168,207,263,163,449,275,248,171,253
2020,10,80,"2,135",322,131,133,159,202,153,299,245,180,131,180
2020,10,90,344,39,26,23,28,22,27,56,41,23,29,30
2020,10,100,23,3,0,1,2,2,2,5,3,1,3,1
2020,11,총,"18,362","4,915","1,004",935,"1,123","1,542","1,075","2,468","1,667","1,328",991,"1,314"
2020,11,0,644,306,29,23,23,51,26,59,42,34,23,28
2020,11,10,969,445,57,27,37,66,52,98,56,58,27,46
2020,11,20,"1,197",550,54,38,50,100,57,101,66,82,49,50
2020,11,30,"1,074",483,43,31,39,80,54,100,84,66,39,55
2020,11,40,"1,635",689,65,72,78,120,77,168,120,107,61,78
2020,11,50,"3,373",778,189,186,216,313,201,493,312,231,193,261
2020,11,60,"4,061",758,248,232,285,322,259,634,426,296,267,334
2020,11,70,"2,894",542,162,167,206,260,165,453,271,250,169,249
2020,11,80,"2,149",325,130,135,160,205,153,301,248,179,131,182
2020,11,90,343,36,27,23,27,23,29,56,39,24,29,30
2020,11,100,23,3,0,1,2,2,2,5,3,1,3,1
2020,12,총,"19,168","5,155","1,034",998,"1,166","1,597","1,105","2,530","1,772","1,402","1,015","1,394"
2020,12,0,671,310,29,24,26,50,25,59,50,40,26,32
2020,12,10,"1,034",467,62,27,40,70,55,100,71,63,31,48
2020,12,20,"1,352",600,62,44,57,121,65,99,89,95,56,64
2020,12,30,"1,164",498,46,35,44,89,57,115,101,74,43,62
2020,12,40,"1,747",731,67,81,84,127,81,178,129,116,61,92
2020,12,50,"3,522",825,194,207,221,321,208,495,334,245,198,274
2020,12,60,"4,202",801,252,243,296,328,261,656,432,310,270,353
2020,12,70,"2,944",555,165,176,207,262,168,459,278,252,170,252
2020,12,80,"2,160",328,131,138,161,205,154,306,244,182,128,183
2020,12,90,350,37,26,23,28,23,29,58,41,24,28,33
2020,12,100,22,3,0,0,2,1,2,5,3,1,4,1
2021,1,총,"18,636","4,955","1,026",974,"1,138","1,560","1,093","2,497","1,696","1,351","1,011","1,335"
2021,1,0,645,297,31,23,23,48,27,58,46,36,28,28
2021,1,10,987,449,61,25,40,66,55,97,62,58,30,44
2021,1,20,"1,240",549,60,43,52,113,60,94,76,82,52,59
2021,1,30,"1,090",474,45,31,41,85,58,110,84,68,42,52
2021,1,40,"1,663",694,66,79,79,124,79,170,120,111,61,80
2021,1,50,"3,385",783,188,199,210,310,201,488,311,239,195,261
2021,1,60,"4,169",792,250,243,295,323,262,654,434,298,272,346
2021,1,70,"2,912",548,164,170,207,260,167,454,277,252,168,245
2021,1,80,"2,174",329,135,138,160,208,153,309,242,182,131,187
2021,1,90,349,37,26,23,29,22,29,59,41,24,27,32
2021,1,100,22,3,0,0,2,1,2,4,3,1,5,1
2021,2,총,"18,488","4,887","1,014",969,"1,138","1,538","1,087","2,482","1,696","1,340","1,003","1,334"
2021,2,0,655,303,33,22,22,46,23,58,51,37,28,32
2021,2,10,968,433,60,28,41,64,56,95,61,56,29,45
2021,2,20,"1,203",532,55,45,50,108,59,91,78,80,49,56
2021,2,30,"1,066",460,47,31,41,82,56,109,81,67,42,50
2021,2,40,"1,637",680,65,76,79,123,79,168,120,108,60,79
2021,2,50,"3,338",776,182,195,211,296,201,483,307,236,190,261
2021,2,60,"4,167",790,245,243,295,326,261,653,435,299,274,346
2021,2,70,"2,891",541,166,168,203,261,166,451,275,250,167,243
2021,2,80,"2,188",331,136,137,164,208,155,309,244,183,132,189
2021,2,90,354,38,25,24,30,23,29,61,41,24,27,32
2021,2,100,21,3,0,0,2,1,2,4,3,0,5,1
2021,3,총,"18,276","4,801","1,007",957,"1,119","1,537","1,071","2,471","1,663","1,337",996,"1,317"
2021,3,0,644,296,32,21,23,46,22,56,51,37,28,32
2021,3,10,956,434,62,27,40,64,54,86,62,56,28,43
2021,3,20,"1,162",511,55,43,49,106,54,87,77,82,47,51
2021,3,30,"1,041",450,45,33,41,81,52,111,74,64,42,48
2021,3,40,"1,580",659,65,71,73,117,76,165,114,104,60,76
2021,3,50,"3,296",764,180,191,203,294,198,486,305,231,188,256
2021,3,60,"4,170",785,243,245,295,334,265,651,429,304,273,346
2021,3,70,"2,875",537,164,165,200,263,166,450,274,248,166,242
2021,3,80,"2,190",327,135,138,164,206,155,316,235,187,135,192
2021,3,90,349,38,26,23,29,25,27,59,41,24,26,31
2021,3,100,13,0,0,0,2,1,2,4,1,0,3,0
2021,4,총,"18,237","4,789","1,001",955,"1,113","1,542","1,070","2,473","1,645","1,335","1,000","1,314"
2021,4,0,644,301,30,22,24,46,22,56,48,37,26,32
2021,4,10,948,435,62,27,38,65,53,85,57,54,29,43
2021,4,20,"1,149",506,52,43,48,106,53,87,76,81,47,50
2021,4,30,"1,022",444,42,34,41,81,54,109,71,58,39,49
2021,4,40,"1,569",654,64,71,74,116,74,164,109,105,64,74
2021,4,50,"3,256",759,178,188,197,298,191,482,296,228,185,254
2021,4,60,"4,209",785,248,244,299,332,271,654,437,311,275,353
2021,4,70,"2,882",538,164,165,200,266,169,452,271,250,168,239
2021,4,80,"2,187",327,133,138,162,206,154,318,236,187,137,189
2021,4,90,358,40,28,23,28,25,27,62,43,24,27,31
2021,4,100,13,0,0,0,2,1,2,4,1,0,3,0
2021,5,총,"18,186","4,771",999,949,"1,106","1,545","1,065","2,466","1,634","1,333","1,000","1,318"
2021,5,0,633,300,28,20,24,46,22,53,45,38,25,32
2021,5,10,952,435,64,28,36,65,53,88,58,54,29,42
2021,5,20,"1,138",505,51,42,49,110,49,81,76,79,46,50
2021,5,30,"1,011",444,40,32,41,82,54,107,72,54,39,46
2021,5,40,"1,558",650,63,72,73,114,74,164,106,106,61,75
2021,5,50,"3,231",746,182,183,195,296,189,483,289,224,190,254
2021,5,60,"4,226",783,247,244,302,333,272,656,439,313,277,360
2021,5,70,"2,861",534,165,166,197,265,165,443,269,253,168,236
2021,5,80,"2,205",335,131,139,163,208,158,323,236,187,133,192
2021,5,90,359,39,28,23,25,25,27,64,43,25,29,31
2021,5,100,12,0,0,0,1,1,2,4,1,0,3,0
2021,6,총,"18,150","4,764",994,946,"1,095","1,539","1,067","2,459","1,642","1,333","1,003","1,308"
2021,6,0,623,297,26,21,21,45,24,52,45,34,27,31
2021,6,10,949,435,61,27,34,68,53,86,58,56,29,42
2021,6,20,"1,129",500,51,42,48,106,47,81,79,80,46,49
2021,6,30,998,440,41,32,39,80,52,105,70,56,40,43
2021,6,40,"1,561",657,62,75,70,112,76,164,105,106,61,73
2021,6,50,"3,206",738,182,182,194,298,188,478,290,219,190,247
2021,6,60,"4,248",793,248,242,301,332,276,658,441,316,275,366
2021,6,70,"2,841",529,161,164,198,262,165,441,271,251,168,231
2021,6,80,"2,223",337,134,139,163,209,157,326,238,190,135,195
2021,6,90,359,37,28,22,26,26,27,64,44,25,29,31
2021,6,100,13,1,0,0,1,1,2,4,1,0,3,0
2021,7,총,"18,093","4,742",992,938,"1,096","1,541","1,068","2,447","1,637","1,325","1,001","1,306"
2021,7,0,619,292,28,21,21,47,24,52,44,32,27,31
2021,7,10,937,429,60,27,33,68,54,86,55,57,26,42
2021,7,20,"1,113",493,49,41,49,102,46,81,77,80,46,49
2021,7,30,979,433,42,31,39,80,52,98,68,54,39,43
2021,7,40,"1,544",653,60,74,68,114,73,161,104,103,61,73
2021,7,50,"3,196",745,178,178,194,292,194,473,290,219,186,247
2021,7,60,"4,265",791,251,243,300,339,273,666,443,314,279,366
2021,7,70,"2,844",532,160,164,199,261,165,440,270,251,171,231
2021,7,80,"2,226",335,136,137,166,211,158,325,240,190,134,194
2021,7,90,356,38,28,22,26,26,27,60,45,25,29,30
2021,7,100,14,1,0,0,1,1,2,5,1,0,3,0
2021,8,총,"18,041","4,744",993,939,"1,089","1,541","1,053","2,447","1,628","1,319",999,"1,289"
2021,8,0,610,287,29,22,21,47,23,54,43,30,27,27
2021,8,10,929,428,61,27,32,68,51,83,56,56,27,40
2021,8,20,"1,092",485,48,42,48,101,43,82,74,78,47,44
2021,8,30,968,436,41,30,36,76,53,97,62,55,39,43
2021,8,40,"1,533",653,59,74,66,116,71,154,105,102,60,73
2021,8,50,"3,194",748,178,177,195,290,187,481,291,218,184,245
2021,8,60,"4,280",800,252,245,301,344,274,668,435,316,281,364
2021,8,70,"2,833",532,160,164,198,261,164,434,271,248,171,230
2021,8,80,"2,223",333,136,136,165,209,157,327,244,190,133,193
2021,8,90,365,41,29,22,26,28,28,62,46,26,27,30
2021,8,100,14,1,0,0,1,1,2,5,1,0,3,0
2021,9,총,"17,917","4,693",987,931,"1,092","1,525","1,052","2,432","1,620","1,313",992,"1,280"
2021,9,0,601,281,29,21,22,46,23,53,42,31,26,27
2021,9,10,919,422,60,28,32,66,51,82,57,54,28,39
2021,9,20,"1,029",459,46,36,44,94,41,75,70,79,45,40
2021,9,30,951,434,40,31,37,73,49,92,59,56,39,41
2021,9,40,"1,527",648,60,71,68,116,76,155,101,101,59,72
2021,9,50,"3,189",742,177,178,198,289,187,479,295,219,181,244
2021,9,60,"4,273",799,251,244,301,348,273,671,431,310,280,365
2021,9,70,"2,815",531,158,164,195,255,166,430,277,246,169,224
2021,9,80,"2,236",335,138,136,167,208,156,328,242,191,135,200
2021,9,90,364,41,28,22,27,30,28,62,45,26,27,28
2021,9,100,13,1,0,0,1,0,2,5,1,0,3,0
2021,10,총,"17,891","4,690",987,921,"1,091","1,519","1,047","2,434","1,618","1,310",997,"1,277"
2021,10,0,588,276,29,20,22,45,22,51,43,28,26,26
2021,10,10,909,418,61,26,29,66,49,82,57,55,28,38
2021,10,20,"1,025",459,46,35,45,92,42,75,65,80,46,40
2021,10,30,945,433,38,30,39,71,48,91,61,56,39,39
2021,10,40,"1,516",645,62,69,67,115,75,157,98,99,60,69
2021,10,50,"3,182",738,174,171,197,291,186,479,300,218,183,245
2021,10,60,"4,302",814,256,248,303,344,269,674,432,312,282,368
2021,10,70,"2,801",528,158,163,191,255,166,427,274,244,168,227
2021,10,80,"2,243",336,135,136,168,209,159,331,243,192,136,198
2021,10,90,368,42,28,23,29,31,29,62,44,26,27,27
2021,10,100,12,1,0,0,1,0,2,5,1,0,2,0
2021,11,총,"17,930","4,695",989,928,"1,090","1,518","1,059","2,441","1,627","1,313",986,"1,284"
2021,11,0,588,276,29,19,22,43,22,50,44,30,27,26
2021,11,10,908,415,58,29,30,66,51,82,58,55,27,37
2021,11,20,"1,049",467,46,37,47,95,43,75,72,77,44,46
2021,11,30,943,430,36,30,37,70,52,93,61,58,37,39
2021,11,40,"1,512",641,63,69,66,112,77,157,97,97,61,72
2021,11,50,"3,183",744,175,173,200,288,185,479,301,218,178,242
2021,11,60,"4,320",814,257,249,301,348,271,680,434,312,285,369
2021,11,70,"2,803",528,157,164,189,255,168,423,276,249,165,229
2021,11,80,"2,236",335,138,134,167,209,157,335,240,190,135,196
2021,11,90,376,44,30,24,30,32,31,62,43,27,25,28
2021,11,100,12,1,0,0,1,0,2,5,1,0,2,0
2021,12,총,"18,510","4,760","1,046",961,"1,176","1,577","1,091","2,500","1,679","1,366","1,012","1,342"
2021,12,0,621,276,36,24,22,46,23,52,50,36,30,26
2021,12,10,948,416,66,30,40,70,51,88,61,56,29,41
2021,12,20,"1,141",482,52,41,64,103,53,79,75,86,48,58
2021,12,30,986,431,45,32,43,79,51,91,67,67,39,41
2021,12,40,"1,595",647,66,74,81,120,82,162,108,108,64,83
2021,12,50,"3,331",780,178,181,217,303,188,498,316,222,187,261
2021,12,60,"4,438",820,276,255,315,357,282,705,441,324,289,374
2021,12,70,"2,813",522,157,167,193,257,169,427,277,246,165,233
2021,12,80,"2,246",336,140,132,169,210,160,332,240,194,134,199
2021,12,90,379,49,30,25,32,32,30,60,43,27,25,26
2021,12,100,12,1,0,0,0,0,2,6,1,0,2,0
