년도,월,나이,강원도 인제군,강원도 인제군 인제읍,강원도 인제군 인제읍귀둔출장소,강원도 인제군 남면,강원도 인제군 북면,강원도 인제군 기린면,강원도 인제군 서화면,강원도 인제군 상남면
2020,4,50,"2,847",796,63,326,823,465,197,177
2020,4,60,"2,628",660,56,370,694,460,186,202
2020,4,70,"1,298",347,39,150,335,215,108,104
2020,4,80,494,130,10,69,126,86,41,32
2020,4,90,67,14,1,12,19,9,4,8
2020,4,100,5,2,0,0,2,1,0,0
2020,5,총,"17,051","4,888",271,"2,189","4,536","2,731","1,604",832
2020,5,0,"1,322",416,8,190,328,214,138,28
2020,5,10,"1,191",430,13,134,337,157,72,48
2020,5,20,"2,731",729,23,348,727,369,450,85
2020,5,30,"2,230",645,22,349,507,400,248,59
2020,5,40,"2,216",709,35,241,637,350,154,90
2020,5,50,"2,850",800,64,325,820,463,201,177
2020,5,60,"2,639",662,56,369,699,465,187,201
2020,5,70,"1,300",350,39,152,331,216,109,103
2020,5,80,501,131,10,69,130,87,41,33
2020,5,90,66,14,1,12,18,9,4,8
2020,5,100,5,2,0,0,2,1,0,0
2020,6,총,"17,052","4,901",272,"2,193","4,530","2,736","1,588",832
2020,6,0,"1,320",418,8,188,324,216,139,27
2020,6,10,"1,190",435,13,133,334,158,72,45
2020,6,20,"2,716",723,24,359,723,371,427,89
2020,6,30,"2,230",646,22,344,512,395,252,59
2020,6,40,"2,218",717,35,235,632,354,158,87
2020,6,50,"2,829",788,64,324,817,464,195,177
2020,6,60,"2,671",676,55,376,705,465,189,205
2020,6,70,"1,301",352,40,151,329,215,111,103
2020,6,80,504,130,10,71,133,87,41,32
2020,6,90,68,14,1,12,19,10,4,8
2020,6,100,5,2,0,0,2,1,0,0
2020,7,총,"17,022","4,893",269,"2,200","4,516","2,742","1,570",832
2020,7,0,"1,311",419,7,190,318,213,137,27
2020,7,10,"1,191",436,14,132,333,158,72,46
2020,7,20,"2,695",717,24,363,712,375,414,90
2020,7,30,"2,216",645,20,344,511,388,251,57
2020,7,40,"2,219",714,35,235,634,357,155,89
2020,7,50,"2,824",787,63,324,814,465,196,175
2020,7,60,"2,687",679,55,378,711,472,188,204
2020,7,70,"1,301",352,39,151,327,216,112,104
2020,7,80,505,128,11,71,135,87,41,32
2020,7,90,68,14,1,12,19,10,4,8
2020,7,100,5,2,0,0,2,1,0,0
2020,8,총,"17,026","4,898",271,"2,185","4,516","2,748","1,567",841
2020,8,0,"1,298",414,7,187,316,214,134,26
2020,8,10,"1,188",436,14,128,332,158,75,45
2020,8,20,"2,689",713,24,363,711,372,413,93
2020,8,30,"2,219",654,20,339,508,392,246,60
2020,8,40,"2,227",715,36,231,639,361,155,90
2020,8,50,"2,821",788,64,327,806,462,199,175
2020,8,60,"2,707",685,55,377,721,478,186,205
2020,8,70,"1,298",353,39,150,325,214,113,104
2020,8,80,507,125,11,71,137,86,42,35
2020,8,90,67,13,1,12,19,10,4,8
2020,8,100,5,2,0,0,2,1,0,0
2020,9,총,"17,007","4,944",269,"2,168","4,481","2,743","1,557",845
2020,9,0,"1,290",419,7,184,311,213,129,27
2020,9,10,"1,189",434,14,132,332,158,74,45
2020,9,20,"2,668",725,22,359,697,366,410,89
2020,9,30,"2,213",665,20,329,505,391,244,59
2020,9,40,"2,216",721,35,230,622,362,155,91
2020,9,50,"2,818",795,65,323,800,460,197,178
2020,9,60,"2,735",692,55,374,735,481,189,209
2020,9,70,"1,288",346,39,155,320,211,113,104
2020,9,80,518,131,11,71,138,90,42,35
2020,9,90,67,14,1,11,19,10,4,8
2020,9,100,5,2,0,0,2,1,0,0
2020,10,총,"17,001","4,964",268,"2,179","4,463","2,739","1,545",843
2020,10,0,"1,273",413,8,184,307,210,124,27
2020,10,10,"1,201",441,14,135,334,161,72,44
2020,10,20,"2,663",729,22,362,690,362,407,91
2020,10,30,"2,207",669,19,329,504,388,240,58
2020,10,40,"2,217",727,35,233,611,366,155,90
2020,10,50,"2,808",792,63,322,798,457,197,179
2020,10,60,"2,756",699,56,375,741,486,191,208
2020,10,70,"1,286",344,39,158,318,210,113,104
2020,10,80,519,133,11,71,140,88,42,34
2020,10,90,65,14,1,10,18,10,4,8
2020,10,100,6,3,0,0,2,1,0,0
2020,11,총,"17,044","5,107",268,"2,138","4,427","2,731","1,526",847
2020,11,0,"1,278",453,8,169,299,209,114,26
2020,11,10,"1,209",452,14,134,330,162,71,46
2020,11,20,"2,650",744,20,352,673,364,405,92
2020,11,30,"2,224",703,19,322,499,386,239,56
2020,11,40,"2,233",764,36,223,608,357,152,93
2020,11,50,"2,802",792,63,320,795,456,198,178
2020,11,60,"2,771",706,57,378,742,490,188,210
2020,11,70,"1,284",343,39,158,320,207,113,104
2020,11,80,522,133,11,72,141,89,42,34
2020,11,90,65,14,1,10,18,10,4,8
2020,11,100,6,3,0,0,2,1,0,0
2020,12,총,"17,084","5,155",273,"2,134","4,422","2,740","1,515",845
2020,12,0,"1,273",464,9,163,298,209,107,23
2020,12,10,"1,209",454,14,133,328,161,73,46
2020,12,20,"2,692",761,22,355,686,373,399,96
2020,12,30,"2,229",711,19,320,495,389,240,55
2020,12,40,"2,233",774,35,227,603,353,150,91
2020,12,50,"2,778",786,63,320,784,455,196,174
2020,12,60,"2,801",713,58,378,754,494,192,212
2020,12,70,"1,275",339,41,156,314,206,113,106
2020,12,80,522,135,11,71,142,89,40,34
2020,12,90,66,15,1,11,16,10,5,8
2020,12,100,6,3,0,0,2,1,0,0
2021,1,총,"17,116","5,198",273,"2,122","4,367","2,744","1,571",841
2021,1,0,"1,258",470,9,157,291,205,104,22
2021,1,10,"1,218",457,15,131,331,164,74,46
2021,1,20,"2,745",777,21,354,651,388,459,95
2021,1,30,"2,203",711,19,313,481,379,245,55
2021,1,40,"2,233",775,35,226,602,354,149,92
2021,1,50,"2,766",791,63,322,778,449,193,170
2021,1,60,"2,815",719,58,381,758,497,190,212
2021,1,70,"1,278",345,41,155,314,204,112,107
2021,1,80,528,135,11,72,143,93,40,34
2021,1,90,66,15,1,11,16,10,5,8
2021,1,100,6,3,0,0,2,1,0,0
2021,2,총,"17,076","5,204",272,"2,109","4,358","2,741","1,556",836
2021,2,0,"1,256",470,9,154,300,201,99,23
2021,2,10,"1,197",453,16,131,320,160,71,46
2021,2,20,"2,717",767,17,347,649,394,452,91
2021,2,30,"2,200",714,20,314,477,381,243,51
2021,2,40,"2,218",783,35,221,591,350,146,92
2021,2,50,"2,757",788,64,318,781,440,194,172
2021,2,60,"2,840",726,58,383,764,504,194,211
2021,2,70,"1,285",350,41,158,313,205,111,107
2021,2,80,533,135,10,72,146,94,41,35
2021,2,90,67,15,2,11,15,11,5,8
2021,2,100,6,3,0,0,2,1,0,0
2021,3,총,"17,046","5,198",276,"2,099","4,361","2,726","1,552",834
2021,3,0,"1,246",460,10,154,297,202,101,22
2021,3,10,"1,195",450,16,127,322,161,72,47
2021,3,20,"2,707",769,16,348,653,391,440,90
2021,3,30,"2,190",723,21,311,473,368,244,50
2021,3,40,"2,200",767,33,222,585,352,150,91
2021,3,50,"2,752",792,67,309,787,430,195,172
2021,3,60,"2,885",742,59,388,773,516,192,215
2021,3,70,"1,263",341,41,157,308,202,111,103
2021,3,80,540,137,11,72,147,95,42,36
2021,3,90,64,15,2,11,14,9,5,8
2021,3,100,4,2,0,0,2,0,0,0
2021,4,총,"17,047","5,243",275,"2,081","4,356","2,698","1,549",845
2021,4,0,"1,228",461,10,146,292,192,104,23
2021,4,10,"1,195",460,16,118,322,158,73,48
2021,4,20,"2,706",781,16,354,653,376,434,92
2021,4,30,"2,205",731,21,305,474,376,242,56
2021,4,40,"2,186",768,34,219,581,343,149,92
2021,4,50,"2,725",791,66,306,781,425,188,168
2021,4,60,"2,927",757,58,391,781,523,198,219
2021,4,70,"1,261",342,40,154,306,202,114,103
2021,4,80,544,135,12,76,150,93,42,36
2021,4,90,66,15,2,12,14,10,5,8
2021,4,100,4,2,0,0,2,0,0,0
2021,5,총,"17,116","5,249",273,"2,010","4,349","2,670","1,552","1,013"
2021,5,0,"1,241",464,8,129,294,186,103,57
2021,5,10,"1,177",458,16,112,313,157,71,50
2021,5,20,"2,743",771,17,334,657,366,435,163
2021,5,30,"2,231",739,19,283,475,370,246,99
2021,5,40,"2,167",765,33,212,571,336,145,105
2021,5,50,"2,740",795,68,308,784,426,190,169
2021,5,60,"2,944",763,59,391,782,523,203,223
2021,5,70,"1,251",337,39,153,306,203,113,100
2021,5,80,553,140,12,76,151,93,42,39
2021,5,90,65,15,2,12,14,10,4,8
2021,5,100,4,2,0,0,2,0,0,0
2021,6,총,"17,268","5,342",274,"2,003","4,349","2,662","1,560","1,078"
2021,6,0,"1,254",491,8,126,289,182,101,57
2021,6,10,"1,188",473,16,111,312,157,67,52
2021,6,20,"2,800",764,15,330,668,367,451,205
2021,6,30,"2,254",766,20,283,467,364,245,109
2021,6,40,"2,178",771,32,209,573,338,145,110
2021,6,50,"2,745",808,70,307,780,422,189,169
2021,6,60,"2,975",772,59,396,784,532,204,228
2021,6,70,"1,251",339,39,152,309,199,112,101
2021,6,80,553,141,13,77,150,91,42,39
2021,6,90,66,15,2,12,15,10,4,8
2021,6,100,4,2,0,0,2,0,0,0
2021,7,총,"17,341","5,366",275,"2,009","4,365","2,649","1,564","1,113"
2021,7,0,"1,252",491,8,128,283,183,101,58
2021,7,10,"1,199",478,17,111,316,157,68,52
2021,7,20,"2,831",771,15,325,674,356,461,229
2021,7,30,"2,261",769,21,286,463,364,246,112
2021,7,40,"2,193",777,31,212,575,341,144,113
2021,7,50,"2,721",802,69,307,779,413,184,167
2021,7,60,"3,004",780,61,397,799,533,202,232
2021,7,70,"1,255",340,38,153,310,200,111,103
2021,7,80,553,140,13,78,149,91,43,39
2021,7,90,68,16,2,12,15,11,4,8
2021,7,100,4,2,0,0,2,0,0,0
2021,8,총,"17,378","5,379",278,"2,018","4,371","2,646","1,556","1,130"
2021,8,0,"1,268",498,7,124,286,194,99,60
2021,8,10,"1,196",484,16,113,311,153,68,51
2021,8,20,"2,830",763,17,326,674,356,455,239
2021,8,30,"2,261",764,21,293,466,362,243,112
2021,8,40,"2,199",785,32,214,571,336,147,114
2021,8,50,"2,725",807,70,306,784,405,185,168
2021,8,60,"3,019",780,60,399,807,539,198,236
2021,8,70,"1,246",338,40,153,302,197,113,103
2021,8,80,558,140,13,78,152,93,43,39
2021,8,90,72,18,2,12,16,11,5,8
2021,8,100,4,2,0,0,2,0,0,0
2021,9,총,"17,384","5,379",276,"2,029","4,366","2,635","1,553","1,146"
2021,9,0,"1,256",491,7,128,284,187,99,60
2021,9,10,"1,208",487,16,111,316,157,68,53
2021,9,20,"2,824",756,16,324,668,357,455,248
2021,9,30,"2,259",771,20,299,461,349,242,117
2021,9,40,"2,196",787,31,214,567,336,148,113
2021,9,50,"2,729",808,72,308,786,407,181,167
2021,9,60,"3,037",783,59,404,810,542,200,239
2021,9,70,"1,239",335,40,153,302,196,110,103
2021,9,80,562,142,13,77,154,93,45,38
2021,9,90,70,17,2,11,16,11,5,8
2021,9,100,4,2,0,0,2,0,0,0
2021,10,총,"17,392","5,402",279,"2,013","4,346","2,656","1,542","1,154"
2021,10,0,"1,268",502,7,119,281,198,99,62
2021,10,10,"1,193",487,16,110,306,156,67,51
2021,10,20,"2,813",752,17,319,672,354,445,254
2021,10,30,"2,277",779,20,303,455,362,241,117
2021,10,40,"2,199",792,30,211,565,340,146,115
2021,10,50,"2,726",809,72,306,784,406,181,168
2021,10,60,"3,033",784,61,404,810,539,202,233
2021,10,70,"1,242",333,41,153,299,197,111,108
2021,10,80,569,146,13,77,156,94,45,38
2021,10,90,68,17,2,11,16,10,5,7
2021,10,100,4,1,0,0,2,0,0,1
2021,11,총,"17,424","5,403",278,"2,025","4,332","2,677","1,551","1,158"
2021,11,0,"1,262",502,7,116,279,196,100,62
2021,11,10,"1,186",484,16,109,307,153,67,50
2021,11,20,"2,814",745,16,330,658,362,445,258
2021,11,30,"2,303",791,21,305,450,369,247,120
2021,11,40,"2,204",791,29,213,567,343,145,116
2021,11,50,"2,728",808,72,307,783,410,181,167
2021,11,60,"3,047",787,61,403,817,544,205,230
2021,11,70,"1,238",333,40,154,296,196,111,108
2021,11,80,571,145,14,77,157,94,45,39
2021,11,90,67,16,2,11,16,10,5,7
2021,11,100,4,1,0,0,2,0,0,1
2021,12,총,"17,461","5,414",279,"2,026","4,335","2,701","1,556","1,150"
2021,12,0,"1,265",509,7,113,276,197,102,61
2021,12,10,"1,185",476,16,108,312,156,67,50
2021,12,20,"2,821",748,16,337,665,360,442,253
2021,12,30,"2,312",786,22,304,446,383,249,122
2021,12,40,"2,193",793,28,214,561,339,144,114
2021,12,50,"2,732",815,71,306,785,406,182,167
2021,12,60,"3,076",792,63,404,822,559,208,228
2021,12,70,"1,235",332,40,153,293,196,111,110
2021,12,80,571,146,14,76,157,95,46,37
2021,12,90,67,16,2,11,16,10,5,7
2021,12,100,4,1,0,0,2,0,0,1
