년도,월,나이,경기도 가평군,경기도 가평군 가평읍,경기도 가평군 설악면,경기도 가평군 청평면,경기도 가평군 상면,경기도 가평군 조종면,경기도 가평군 북면
2020,12,60,"6,251","1,648","1,052","1,358",718,979,496
2020,12,70,"3,226",858,501,767,367,462,271
2020,12,80,"1,417",406,234,314,137,200,126
2020,12,90,144,42,29,30,11,17,15
2020,12,100,20,4,2,5,3,4,2
2021,1,총,"32,169","9,944","4,927","7,179","2,933","5,189","1,997"
2021,1,0,"1,658",584,264,313,74,360,63
2021,1,10,"2,434",909,385,532,152,348,108
2021,1,20,"3,599","1,229",496,750,347,640,137
2021,1,30,"3,099","1,015",454,641,209,632,148
2021,1,40,"4,245","1,424",585,"1,026",317,667,226
2021,1,50,"6,010","1,808",926,"1,425",575,875,401
2021,1,60,"6,291","1,657","1,049","1,372",733,980,500
2021,1,70,"3,241",861,502,768,372,466,272
2021,1,80,"1,430",410,235,317,140,200,128
2021,1,90,141,43,28,30,11,17,12
2021,1,100,21,4,3,5,3,4,2
2021,2,총,"32,128","9,916","4,937","7,166","2,941","5,168","2,000"
2021,2,0,"1,647",582,263,315,74,349,64
2021,2,10,"2,402",899,384,520,148,342,109
2021,2,20,"3,593","1,217",496,750,355,639,136
2021,2,30,"3,083",996,456,632,214,635,150
2021,2,40,"4,241","1,424",585,"1,027",320,660,225
2021,2,50,"5,970","1,813",919,"1,425",565,855,393
2021,2,60,"6,342","1,666","1,066","1,373",734,997,506
2021,2,70,"3,250",862,504,766,376,467,275
2021,2,80,"1,434",410,233,323,140,201,127
2021,2,90,145,43,28,30,12,19,13
2021,2,100,21,4,3,5,3,4,2
2021,3,총,"32,009","9,895","4,922","7,148","2,931","5,121","1,992"
2021,3,0,"1,651",576,266,322,73,351,63
2021,3,10,"2,385",902,376,515,141,344,107
2021,3,20,"3,591","1,216",505,745,352,632,141
2021,3,30,"3,059",985,453,630,213,631,147
2021,3,40,"4,205","1,409",570,"1,023",319,661,223
2021,3,50,"5,961","1,813",918,"1,416",568,851,395
2021,3,60,"6,353","1,668","1,071","1,380",737,991,506
2021,3,70,"3,234",873,499,760,373,455,274
2021,3,80,"1,421",407,233,325,142,191,123
2021,3,90,138,42,29,30,12,13,12
2021,3,100,11,4,2,2,1,1,1
2021,4,총,"32,080","9,886","4,950","7,153","2,958","5,133","2,000"
2021,4,0,"1,648",570,267,322,76,350,63
2021,4,10,"2,403",905,370,512,166,342,108
2021,4,20,"3,576","1,203",508,738,356,632,139
2021,4,30,"3,044",981,455,622,209,628,149
2021,4,40,"4,224","1,409",578,"1,026",318,665,228
2021,4,50,"5,954","1,807",917,"1,428",559,853,390
2021,4,60,"6,414","1,685","1,086","1,388",745,"1,001",509
2021,4,70,"3,222",869,497,755,372,453,276
2021,4,80,"1,440",410,237,330,144,194,125
2021,4,90,141,43,32,30,12,13,11
2021,4,100,14,4,3,2,1,2,2
2021,5,총,"32,125","9,874","4,975","7,150","2,975","5,140","2,011"
2021,5,0,"1,638",570,262,317,77,348,64
2021,5,10,"2,400",895,373,510,168,346,108
2021,5,20,"3,586","1,213",514,732,354,631,142
2021,5,30,"3,040",966,461,617,215,632,149
2021,5,40,"4,232","1,415",577,"1,026",321,662,231
2021,5,50,"5,924","1,785",922,"1,418",562,853,384
2021,5,60,"6,473","1,707","1,088","1,408",750,"1,004",516
2021,5,70,"3,234",869,506,757,374,450,278
2021,5,80,"1,444",407,239,331,141,200,126
2021,5,90,140,43,30,32,12,12,11
2021,5,100,14,4,3,2,1,2,2
2021,6,총,"32,146","9,888","4,973","7,161","2,975","5,142","2,007"
2021,6,0,"1,639",568,262,316,80,349,64
2021,6,10,"2,385",897,373,504,160,346,105
2021,6,20,"3,596","1,216",504,736,356,642,142
2021,6,30,"3,034",968,457,612,213,631,153
2021,6,40,"4,233","1,416",580,"1,026",319,662,230
2021,6,50,"5,910","1,777",919,"1,425",565,842,382
2021,6,60,"6,522","1,726","1,097","1,420",754,"1,009",516
2021,6,70,"3,234",868,509,754,376,450,277
2021,6,80,"1,443",406,238,335,140,199,125
2021,6,90,136,42,31,31,11,10,11
2021,6,100,14,4,3,2,1,2,2
2021,7,총,"32,114","9,867","4,969","7,160","2,979","5,124","2,015"
2021,7,0,"1,638",573,259,311,79,353,63
2021,7,10,"2,398",892,376,509,169,347,105
2021,7,20,"3,569","1,203",495,732,367,629,143
2021,7,30,"3,036",964,463,611,209,633,156
2021,7,40,"4,201","1,403",573,"1,017",316,659,233
2021,7,50,"5,885","1,773",919,"1,427",554,834,378
2021,7,60,"6,565","1,739","1,104","1,437",755,"1,009",521
2021,7,70,"3,225",862,509,753,378,447,276
2021,7,80,"1,446",413,237,330,140,200,126
2021,7,90,137,41,31,31,11,11,12
2021,7,100,14,4,3,2,1,2,2
2021,8,총,"32,137","9,883","4,955","7,157","2,989","5,136","2,017"
2021,8,0,"1,616",566,249,310,79,353,59
2021,8,10,"2,379",891,375,500,165,344,104
2021,8,20,"3,566","1,195",493,732,368,631,147
2021,8,30,"3,037",968,463,611,211,628,156
2021,8,40,"4,211","1,414",574,"1,014",314,665,230
2021,8,50,"5,893","1,779",913,"1,433",559,834,375
2021,8,60,"6,612","1,751","1,107","1,446",759,"1,019",530
2021,8,70,"3,220",854,509,750,380,451,276
2021,8,80,"1,453",419,238,329,142,198,127
2021,8,90,136,42,31,30,11,11,11
2021,8,100,14,4,3,2,1,2,2
2021,9,총,"32,167","9,887","4,955","7,150","3,000","5,158","2,017"
2021,9,0,"1,610",559,252,307,77,355,60
2021,9,10,"2,369",891,377,493,162,342,104
2021,9,20,"3,570","1,202",485,731,371,637,144
2021,9,30,"3,039",953,466,613,209,643,155
2021,9,40,"4,204","1,411",570,"1,012",315,662,234
2021,9,50,"5,905","1,790",916,"1,426",565,831,377
2021,9,60,"6,640","1,755","1,108","1,455",765,"1,028",529
2021,9,70,"3,214",861,509,747,376,449,272
2021,9,80,"1,465",419,238,334,148,198,128
2021,9,90,137,42,31,30,11,11,12
2021,9,100,14,4,3,2,1,2,2
2021,10,총,"32,130","9,883","4,945","7,129","3,008","5,164","2,001"
2021,10,0,"1,604",557,250,307,76,356,58
2021,10,10,"2,347",893,375,481,158,339,101
2021,10,20,"3,577","1,203",474,736,375,643,146
2021,10,30,"3,019",946,466,607,210,640,150
2021,10,40,"4,197","1,407",570,"1,005",315,668,232
2021,10,50,"5,884","1,789",915,"1,420",569,816,375
2021,10,60,"6,665","1,761","1,107","1,460",767,"1,044",526
2021,10,70,"3,205",856,515,742,375,448,269
2021,10,80,"1,480",427,240,337,149,197,130
2021,10,90,138,39,31,32,13,11,12
2021,10,100,14,5,2,2,1,2,2
2021,11,총,"32,147","9,882","4,954","7,143","2,998","5,171","1,999"
2021,11,0,"1,586",551,249,306,75,351,54
2021,11,10,"2,336",893,374,482,147,340,100
2021,11,20,"3,565","1,198",475,737,369,639,147
2021,11,30,"3,022",937,469,610,215,642,149
2021,11,40,"4,191","1,405",561,"1,004",315,678,228
2021,11,50,"5,889","1,792",917,"1,421",565,819,375
2021,11,60,"6,708","1,777","1,112","1,471",774,"1,045",529
2021,11,70,"3,205",849,523,736,374,449,274
2021,11,80,"1,493",435,240,344,151,194,129
2021,11,90,139,40,33,30,12,12,12
2021,11,100,13,5,1,2,1,2,2
2021,12,총,"32,129","9,927","4,964","7,127","2,977","5,145","1,989"
2021,12,0,"1,576",549,250,304,74,344,55
2021,12,10,"2,321",899,371,480,135,340,96
2021,12,20,"3,565","1,211",476,735,367,637,139
2021,12,30,"3,010",947,464,605,211,636,147
2021,12,40,"4,191","1,397",564,"1,013",313,677,227
2021,12,50,"5,888","1,809",919,"1,406",561,817,376
2021,12,60,"6,730","1,782","1,121","1,479",770,"1,042",536
2021,12,70,"3,202",849,520,730,381,447,275
2021,12,80,"1,498",443,245,343,152,191,124
2021,12,90,142,40,33,30,13,13,13
2021,12,100,6,1,1,2,0,1,1
