년도,월,나이,금산군,금산읍,금성면,제원면,부리면,군북면,남일면,남이면,진산면,복수면,추부면
2021,1,50,"4,977","1,930",359,276,252,258,248,251,369,349,685
2021,1,60,"5,031","1,623",380,378,313,300,312,268,363,387,707
2021,1,70,"3,091",996,259,229,216,183,206,166,257,245,334
2021,1,80,"1,415",409,136,102,119,87,115,90,108,99,150
2021,1,90,131,28,17,12,13,7,8,5,9,14,18
2021,1,100,9,4,1,0,0,0,0,1,2,1,0
2021,2,총,"25,815","11,187","1,704","1,465","1,240","1,256","1,447","1,100","1,610","1,618","3,188"
2021,2,0,"1,283",809,55,41,32,61,48,27,41,39,130
2021,2,10,"2,217","1,253",83,66,33,71,196,86,117,86,226
2021,2,20,"2,276","1,216",135,114,61,76,100,68,97,117,292
2021,2,30,"1,922","1,061",108,89,69,75,62,37,68,99,254
2021,2,40,"3,411","1,841",166,155,120,142,151,99,176,181,380
2021,2,50,"4,951","1,924",353,274,256,249,246,244,371,343,691
2021,2,60,"5,095","1,645",389,382,320,303,312,275,366,393,710
2021,2,70,"3,104",998,260,227,217,185,208,168,254,250,337
2021,2,80,"1,415",409,135,105,120,86,116,90,109,94,151
2021,2,90,133,28,19,12,12,8,8,5,9,15,17
2021,2,100,8,3,1,0,0,0,0,1,2,1,0
2021,3,총,"25,692","11,092","1,701","1,462","1,233","1,260","1,449","1,095","1,616","1,596","3,188"
2021,3,0,"1,271",799,57,41,32,62,47,26,42,37,128
2021,3,10,"2,218","1,246",82,66,32,69,202,88,119,85,229
2021,3,20,"2,258","1,211",132,116,58,78,96,70,97,113,287
2021,3,30,"1,907","1,046",109,88,68,73,63,35,68,97,260
2021,3,40,"3,357","1,810",165,152,115,141,148,94,174,179,379
2021,3,50,"4,909","1,911",349,272,258,248,247,243,364,335,682
2021,3,60,"5,136","1,650",390,385,324,308,314,275,376,396,718
2021,3,70,"3,098",989,261,226,213,188,207,167,258,247,342
2021,3,80,"1,411",405,137,105,122,85,117,92,109,93,146
2021,3,90,126,25,18,11,11,8,8,5,9,14,17
2021,3,100,1,0,1,0,0,0,0,0,0,0,0
2021,4,총,"25,699","11,080","1,700","1,461","1,243","1,256","1,452","1,098","1,623","1,594","3,192"
2021,4,0,"1,256",787,56,42,31,60,47,26,43,36,128
2021,4,10,"2,220","1,251",83,65,35,69,203,84,119,85,226
2021,4,20,"2,234","1,205",128,113,57,72,98,70,96,111,284
2021,4,30,"1,886","1,027",109,84,72,77,60,34,71,92,260
2021,4,40,"3,363","1,812",167,152,117,141,148,95,171,179,381
2021,4,50,"4,926","1,913",352,278,260,243,248,248,368,334,682
2021,4,60,"5,170","1,660",391,383,323,317,315,276,378,401,726
2021,4,70,"3,102",989,261,227,214,183,210,166,260,249,343
2021,4,80,"1,415",409,135,106,123,87,113,94,109,94,145
2021,4,90,126,27,17,11,11,7,10,5,8,13,17
2021,4,100,1,0,1,0,0,0,0,0,0,0,0
2021,5,총,"25,687","11,061","1,703","1,464","1,239","1,256","1,451","1,098","1,624","1,595","3,196"
2021,5,0,"1,257",787,55,42,33,59,48,27,45,36,125
2021,5,10,"2,228","1,256",87,66,35,69,196,84,121,83,231
2021,5,20,"2,201","1,182",130,111,55,73,99,68,91,111,281
2021,5,30,"1,883","1,021",111,87,72,79,60,35,71,91,256
2021,5,40,"3,346","1,813",165,150,114,138,146,92,168,178,382
2021,5,50,"4,918","1,915",351,276,258,244,250,244,370,333,677
2021,5,60,"5,200","1,664",395,386,325,313,316,283,378,406,734
2021,5,70,"3,112",986,256,227,216,187,212,166,261,250,351
2021,5,80,"1,416",413,135,108,121,87,112,94,111,95,140
2021,5,90,125,24,17,11,10,7,12,5,8,12,19
2021,5,100,1,0,1,0,0,0,0,0,0,0,0
2021,6,총,"25,662","11,065","1,709","1,451","1,236","1,257","1,441","1,092","1,625","1,586","3,200"
2021,6,0,"1,238",778,55,41,33,57,45,28,43,36,122
2021,6,10,"2,222","1,260",85,62,33,72,194,83,121,82,230
2021,6,20,"2,202","1,179",133,112,57,74,98,69,88,110,282
2021,6,30,"1,861","1,014",107,84,72,78,58,33,72,89,254
2021,6,40,"3,344","1,813",168,150,112,131,145,92,165,178,390
2021,6,50,"4,889","1,911",358,273,250,249,248,238,369,321,672
2021,6,60,"5,234","1,678",393,383,332,310,317,283,385,413,740
2021,6,70,"3,125",994,257,227,215,191,214,166,264,248,349
2021,6,80,"1,416",410,135,108,119,88,110,95,110,97,144
2021,6,90,130,28,17,11,13,7,12,5,8,12,17
2021,6,100,1,0,1,0,0,0,0,0,0,0,0
2021,7,총,"25,651","11,060","1,705","1,446","1,240","1,254","1,449","1,089","1,625","1,587","3,196"
2021,7,0,"1,228",768,53,40,33,55,46,27,44,38,124
2021,7,10,"2,209","1,256",83,63,35,72,190,83,122,80,225
2021,7,20,"2,205","1,184",132,110,59,71,103,67,84,116,279
2021,7,30,"1,836",998,105,84,72,81,58,33,70,85,250
2021,7,40,"3,332","1,817",164,147,110,129,141,93,163,179,389
2021,7,50,"4,910","1,928",358,275,251,249,254,235,370,319,671
2021,7,60,"5,256","1,673",400,383,335,313,323,283,390,412,744
2021,7,70,"3,127",999,257,227,211,189,212,168,262,250,352
2021,7,80,"1,416",410,135,106,120,88,110,95,112,96,144
2021,7,90,131,27,17,11,14,7,12,5,8,12,18
2021,7,100,1,0,1,0,0,0,0,0,0,0,0
2021,8,총,"25,632","11,051","1,697","1,454","1,236","1,256","1,444","1,087","1,625","1,583","3,199"
2021,8,0,"1,219",758,52,42,32,54,45,27,44,38,127
2021,8,10,"2,185","1,246",81,63,34,71,187,80,121,81,221
2021,8,20,"2,203","1,198",129,108,54,71,100,66,84,113,280
2021,8,30,"1,825",986,106,84,73,81,52,34,69,86,254
2021,8,40,"3,310","1,812",162,146,110,129,142,92,157,176,384
2021,8,50,"4,906","1,930",356,276,247,250,250,234,371,320,672
2021,8,60,"5,293","1,678",400,387,339,313,333,286,396,413,748
2021,8,70,"3,129","1,006",259,229,211,190,211,168,258,248,349
2021,8,80,"1,426",409,134,107,122,90,112,95,115,96,146
2021,8,90,135,28,17,12,14,7,12,5,10,12,18
2021,8,100,1,0,1,0,0,0,0,0,0,0,0
2021,9,총,"25,563","11,041","1,689","1,458","1,235","1,257","1,422","1,077","1,624","1,572","3,188"
2021,9,0,"1,212",757,51,40,30,52,45,27,45,38,127
2021,9,10,"2,160","1,244",81,63,33,71,167,81,118,80,222
2021,9,20,"2,179","1,192",124,107,56,72,96,64,84,108,276
2021,9,30,"1,804",976,106,80,72,79,54,34,65,86,252
2021,9,40,"3,290","1,813",158,147,109,125,138,84,158,171,387
2021,9,50,"4,907","1,925",352,280,245,256,255,234,373,320,667
2021,9,60,"5,307","1,684",403,392,339,313,332,290,394,413,747
2021,9,70,"3,135","1,006",262,229,215,191,212,166,260,248,346
2021,9,80,"1,432",416,134,108,122,90,111,92,117,96,146
2021,9,90,136,28,17,12,14,8,12,5,10,12,18
2021,9,100,1,0,1,0,0,0,0,0,0,0,0
2021,10,총,"25,545","11,043","1,684","1,451","1,241","1,252","1,409","1,077","1,617","1,581","3,190"
2021,10,0,"1,210",752,52,38,30,54,46,26,46,37,129
2021,10,10,"2,136","1,235",82,62,35,68,157,80,113,82,222
2021,10,20,"2,183","1,201",123,108,57,71,94,65,83,106,275
2021,10,30,"1,786",975,104,78,71,75,55,34,67,83,244
2021,10,40,"3,268","1,803",155,143,108,122,136,87,154,172,388
2021,10,50,"4,935","1,941",348,279,252,257,254,234,374,327,669
2021,10,60,"5,312","1,690",407,393,336,314,332,287,391,414,748
2021,10,70,"3,148","1,006",261,229,218,191,213,166,262,251,351
2021,10,80,"1,429",413,134,110,120,92,110,92,116,96,146
2021,10,90,136,26,17,11,14,8,12,6,11,13,18
2021,10,100,2,1,1,0,0,0,0,0,0,0,0
2021,11,총,"25,522","11,025","1,686","1,453","1,236","1,250","1,403","1,085","1,621","1,574","3,189"
2021,11,0,"1,198",741,51,38,29,54,44,26,49,38,128
2021,11,10,"2,132","1,237",81,62,34,68,155,83,112,81,219
2021,11,20,"2,170","1,194",124,105,56,69,94,68,83,105,272
2021,11,30,"1,778",973,103,80,71,72,57,35,64,79,244
2021,11,40,"3,265","1,801",158,142,109,121,134,86,157,170,387
2021,11,50,"4,920","1,932",349,281,250,257,252,233,372,324,670
2021,11,60,"5,332","1,692",408,394,340,318,330,290,395,415,750
2021,11,70,"3,151","1,017",257,227,217,188,215,164,263,251,352
2021,11,80,"1,441",413,136,114,116,95,110,94,116,98,149
2021,11,90,133,24,18,10,14,8,12,6,10,13,18
2021,11,100,2,1,1,0,0,0,0,0,0,0,0
2021,12,총,"25,466","10,981","1,687","1,450","1,244","1,249","1,397","1,083","1,618","1,572","3,185"
2021,12,0,"1,173",722,51,37,29,51,46,26,49,36,126
