년도,월,나이,경상북도 의성군,경상북도 의성군 의성읍,경상북도 의성군 단촌면,경상북도 의성군 점곡면,경상북도 의성군 옥산면,경상북도 의성군 사곡면,경상북도 의성군 춘산면,경상북도 의성군 가음면,경상북도 의성군 금성면,경상북도 의성군 봉양면,경상북도 의성군 비안면,경상북도 의성군 구천면,경상북도 의성군 단밀면,경상북도 의성군 단북면,경상북도 의성군 안계면,경상북도 의성군 다인면,경상북도 의성군 신평면,경상북도 의성군 안평면,경상북도 의성군 안사면
2020,6,100,43,11,2,0,1,0,3,1,6,3,3,2,1,2,1,2,0,4,1
2020,7,총,"52,051","13,539","1,956","1,633","1,831","1,573","1,479","1,481","4,342","3,937","2,563","1,826","1,796","1,809","4,602","3,862",802,"2,181",839
2020,7,0,"1,991",853,27,41,40,28,35,34,128,151,93,50,47,38,237,97,22,55,15
2020,7,10,"2,359","1,029",64,42,54,33,55,42,159,145,56,47,59,57,274,137,13,68,25
2020,7,20,"3,211","1,155",85,70,93,66,59,65,232,268,125,81,107,106,359,197,25,92,26
2020,7,30,"3,349","1,222",96,77,74,57,78,80,245,287,130,98,97,84,347,212,27,93,45
2020,7,40,"4,749","1,757",150,103,152,108,79,97,349,360,188,133,129,125,500,282,46,141,50
2020,7,50,"8,893","2,294",319,266,346,299,278,254,695,709,428,322,310,320,769,647,151,355,131
2020,7,60,"11,548","2,514",520,414,469,404,418,406,"1,013",898,632,447,374,419,840,877,162,546,195
2020,7,70,"9,086","1,701",388,347,359,294,258,269,884,641,503,347,351,363,738,809,197,450,187
2020,7,80,"6,036",869,278,252,218,244,188,206,538,415,362,270,291,271,476,535,139,336,148
2020,7,90,785,134,27,21,25,40,28,26,93,60,43,29,30,24,61,67,20,41,16
2020,7,100,44,11,2,0,1,0,3,2,6,3,3,2,1,2,1,2,0,4,1
2020,8,총,"51,940","13,532","1,941","1,619","1,830","1,566","1,479","1,471","4,333","3,927","2,563","1,821","1,785","1,810","4,601","3,856",803,"2,166",837
2020,8,0,"1,984",852,28,41,38,27,35,34,128,149,91,49,48,38,239,99,22,51,15
2020,8,10,"2,343","1,025",62,40,58,33,54,42,158,140,55,44,58,56,275,139,12,67,25
2020,8,20,"3,176","1,146",83,69,93,64,62,60,231,260,122,82,105,105,360,195,25,88,26
2020,8,30,"3,299","1,211",96,74,72,53,77,78,240,281,130,98,91,83,343,209,27,93,43
2020,8,40,"4,767","1,772",143,100,153,109,78,96,352,370,186,133,129,125,500,286,46,138,51
2020,8,50,"8,864","2,279",319,263,343,293,278,248,693,711,436,317,312,321,774,643,148,355,131
2020,8,60,"11,577","2,527",520,417,474,411,420,409,"1,011",893,633,451,371,420,836,874,166,548,196
2020,8,70,"9,046","1,701",382,340,356,289,257,269,881,639,502,346,351,364,737,805,195,447,185
2020,8,80,"6,053",876,279,255,217,245,187,207,538,421,361,269,290,272,474,537,141,336,148
2020,8,90,785,132,27,20,25,42,28,25,95,59,44,30,29,24,62,67,21,39,16
2020,8,100,46,11,2,0,1,0,3,3,6,4,3,2,1,2,1,2,0,4,1
2020,9,총,"51,895","13,516","1,949","1,613","1,829","1,558","1,478","1,472","4,312","3,946","2,565","1,820","1,776","1,805","4,588","3,863",804,"2,163",838
2020,9,0,"1,977",846,28,41,37,27,35,33,132,150,90,49,45,36,237,102,23,51,15
2020,9,10,"2,326","1,026",61,38,58,33,53,41,154,141,53,44,57,57,272,135,12,66,25
2020,9,20,"3,149","1,138",83,67,92,63,59,57,221,260,119,81,105,105,360,198,26,89,26
2020,9,30,"3,305","1,211",98,75,73,53,79,79,235,285,133,95,90,84,345,211,27,88,44
2020,9,40,"4,747","1,770",146,99,153,106,75,95,348,371,184,133,130,122,492,285,45,142,51
2020,9,50,"8,821","2,268",320,260,341,292,271,250,690,708,437,317,308,318,771,641,148,348,133
2020,9,60,"11,639","2,531",526,420,477,410,427,414,"1,014",905,643,453,371,424,834,873,169,552,196
2020,9,70,"9,010","1,706",377,336,355,288,259,267,871,639,491,346,349,362,737,804,194,445,184
2020,9,80,"6,074",871,281,253,218,245,189,208,545,421,366,270,290,269,478,545,140,338,147
2020,9,90,801,138,27,24,24,41,28,25,96,62,46,30,30,26,61,67,20,40,16
2020,9,100,46,11,2,0,1,0,3,3,6,4,3,2,1,2,1,2,0,4,1
2020,10,총,"51,879","13,521","1,957","1,599","1,822","1,561","1,482","1,473","4,312","3,951","2,564","1,818","1,777","1,797","4,587","3,852",815,"2,154",837
2020,10,0,"1,954",831,26,40,36,25,36,33,134,151,92,46,44,35,235,100,23,51,16
2020,10,10,"2,327","1,027",63,37,58,35,54,42,150,144,51,44,59,56,269,134,12,67,25
2020,10,20,"3,155","1,153",87,66,90,64,59,56,223,254,121,81,104,101,361,196,27,85,27
2020,10,30,"3,291","1,203",97,73,74,52,80,78,233,287,132,96,91,85,340,208,28,90,44
2020,10,40,"4,735","1,769",146,99,151,106,75,95,348,365,184,130,127,121,498,282,48,140,51
2020,10,50,"8,786","2,260",323,262,343,293,268,251,683,707,430,320,307,312,768,634,149,342,134
2020,10,60,"11,710","2,546",526,416,478,413,432,417,"1,015",914,649,455,375,428,842,879,171,559,195
2020,10,70,"8,998","1,717",380,331,351,288,259,264,871,646,490,343,349,361,729,805,194,441,179
2020,10,80,"6,075",868,280,251,217,244,188,208,553,418,368,268,290,270,482,547,142,333,148
2020,10,90,800,136,27,24,23,41,28,25,96,61,44,33,30,26,61,65,21,42,17
2020,10,100,48,11,2,0,1,0,3,4,6,4,3,2,1,2,2,2,0,4,1
2020,11,총,"51,827","13,499","1,950","1,598","1,824","1,568","1,470","1,468","4,313","3,962","2,557","1,817","1,764","1,805","4,587","3,838",812,"2,153",842
2020,11,0,"1,936",816,25,39,36,25,34,33,132,155,91,45,42,36,238,99,23,49,18
2020,11,10,"2,317","1,033",62,38,55,35,52,43,150,142,50,44,57,56,263,132,12,69,24
2020,11,20,"3,146","1,146",85,67,91,60,59,54,223,257,119,83,101,103,366,198,23,83,28
2020,11,30,"3,268","1,196",93,71,76,52,78,74,232,288,131,95,89,85,343,202,30,89,44
2020,11,40,"4,716","1,766",144,98,148,107,70,98,349,359,183,133,129,122,494,277,48,138,53
2020,11,50,"8,762","2,257",325,260,343,295,261,249,681,712,430,316,305,310,772,626,145,342,133
2020,11,60,"11,753","2,546",529,418,483,419,441,417,"1,020",914,648,456,375,433,837,887,176,557,197
2020,11,70,"8,994","1,713",375,329,348,291,257,264,874,648,491,345,348,359,733,804,192,444,179
2020,11,80,"6,087",880,284,253,220,243,187,206,550,420,366,267,288,272,479,548,141,336,147
2020,11,90,800,135,26,25,23,41,28,26,95,63,46,32,29,27,60,62,22,42,18
2020,11,100,48,11,2,0,1,0,3,4,7,4,2,1,1,2,2,3,0,4,1
2020,12,총,"51,724","13,447","1,937","1,598","1,820","1,565","1,468","1,466","4,334","3,953","2,553","1,821","1,756","1,802","4,585","3,822",815,"2,143",839
2020,12,0,"1,911",806,24,38,36,24,34,35,131,154,91,41,42,35,237,94,23,50,16
2020,12,10,"2,296","1,023",62,38,53,36,51,42,149,140,48,47,58,56,258,130,13,68,24
2020,12,20,"3,154","1,146",84,67,91,61,60,57,236,258,119,85,99,105,364,194,22,78,28
2020,12,30,"3,243","1,192",89,74,73,52,76,72,233,281,130,94,90,81,346,199,31,86,44
2020,12,40,"4,700","1,755",143,98,143,106,68,97,356,360,185,132,127,120,495,278,47,140,50
2020,12,50,"8,714","2,235",321,256,344,291,263,245,681,712,427,320,302,316,768,618,147,335,133
2020,12,60,"11,789","2,551",530,419,487,420,437,419,"1,021",919,648,460,375,429,847,889,175,562,201
2020,12,70,"8,938","1,706",371,331,353,293,263,261,867,643,490,338,342,358,723,799,188,436,176
2020,12,80,"6,135",888,286,250,216,240,185,206,559,421,369,270,290,274,484,558,147,344,148
2020,12,90,796,134,25,27,23,42,28,28,94,61,44,33,30,26,61,60,22,40,18
2020,12,100,48,11,2,0,1,0,3,4,7,4,2,1,1,2,2,3,0,4,1
2021,1,총,"51,601","13,400","1,930","1,604","1,808","1,564","1,469","1,461","4,296","3,940","2,559","1,820","1,755","1,806","4,579","3,812",815,"2,145",838
2021,1,0,"1,894",795,25,39,33,23,34,35,128,151,92,40,39,35,241,95,23,50,16
2021,1,10,"2,292","1,030",61,40,52,38,51,40,153,136,47,48,57,57,253,124,12,69,24
2021,1,20,"3,103","1,123",77,66,87,60,60,59,225,255,123,87,97,102,363,191,22,76,30
2021,1,30,"3,208","1,178",88,74,71,50,74,70,220,282,129,94,88,82,347,202,32,84,43
2021,1,40,"4,683","1,755",144,99,141,105,70,96,357,352,182,130,126,125,487,273,48,142,51
2021,1,50,"8,657","2,212",318,259,338,293,261,245,674,706,425,316,305,314,762,616,146,334,133
2021,1,60,"11,848","2,571",533,421,492,419,442,419,"1,025",924,650,461,375,424,854,898,177,564,199
2021,1,70,"8,905","1,695",367,328,353,296,261,264,857,650,492,334,345,362,715,790,186,435,175
2021,1,80,"6,160",900,290,250,216,237,182,200,556,419,372,276,292,277,489,561,148,347,148
2021,1,90,802,129,25,28,24,43,31,29,94,61,45,33,30,26,66,59,21,40,18
2021,1,100,49,12,2,0,1,0,3,4,7,4,2,1,1,2,2,3,0,4,1
2021,2,총,"51,501","13,355","1,927","1,600","1,793","1,558","1,474","1,458","4,285","3,915","2,559","1,820","1,752","1,810","4,589","3,802",812,"2,155",837
2021,2,0,"1,876",784,24,37,31,24,38,37,130,139,88,41,38,35,243,96,23,52,16
2021,2,10,"2,265","1,028",61,38,50,38,50,41,144,130,43,48,57,56,253,122,12,71,23
2021,2,20,"3,094","1,109",80,66,86,57,58,54,229,259,124,89,96,107,364,186,22,77,31
2021,2,30,"3,170","1,157",88,71,68,50,76,72,218,272,132,94,94,80,344,195,30,86,43
2021,2,40,"4,677","1,757",138,96,137,106,70,99,354,347,183,130,126,126,498,273,45,142,50
2021,2,50,"8,607","2,203",318,261,335,290,261,238,670,700,420,308,306,316,758,612,145,334,132
2021,2,60,"11,898","2,577",540,426,494,418,441,417,"1,029",930,654,466,371,425,855,904,181,569,201
2021,2,70,"8,862","1,689",361,325,348,294,265,267,857,651,493,332,345,359,711,782,182,428,173
2021,2,80,"6,188",909,289,249,219,239,181,201,553,420,373,278,286,278,491,572,150,351,149
2021,2,90,815,130,26,31,24,42,31,28,94,63,47,33,32,26,70,57,22,41,18
2021,2,100,49,12,2,0,1,0,3,4,7,4,2,1,1,2,2,3,0,4,1
2021,3,총,"51,404","13,311","1,933","1,609","1,785","1,559","1,469","1,462","4,261","3,921","2,559","1,814","1,738","1,804","4,579","3,799",817,"2,147",837
2021,3,0,"1,866",778,25,38,28,21,38,36,131,142,87,42,36,37,241,95,23,52,16
2021,3,10,"2,244","1,018",62,37,52,40,50,41,136,125,42,45,57,53,252,125,12,74,23
2021,3,20,"3,079","1,114",83,70,84,56,57,53,228,263,121,86,89,102,364,181,21,76,31
2021,3,30,"3,156","1,151",88,72,67,48,73,73,216,273,134,93,93,82,344,196,30,80,43
2021,3,40,"4,626","1,735",134,97,134,108,69,96,351,347,183,127,128,123,489,269,44,142,50
2021,3,50,"8,549","2,195",319,257,338,283,254,240,663,688,420,306,301,314,759,604,146,332,130
2021,3,60,"11,970","2,578",545,430,496,426,447,423,"1,028",944,653,475,380,425,854,911,185,571,199
2021,3,70,"8,848","1,692",360,327,343,294,269,263,849,648,494,327,344,356,714,784,181,428,175
2021,3,80,"6,209",916,288,247,220,241,181,205,558,423,373,280,281,282,490,572,153,349,150
2021,3,90,825,133,27,34,22,42,30,29,96,64,50,33,28,28,70,58,22,40,19
2021,3,100,32,1,2,0,1,0,1,3,5,4,2,0,1,2,2,4,0,3,1
2021,4,총,"51,380","13,289","1,928","1,603","1,779","1,562","1,478","1,457","4,242","3,928","2,561","1,801","1,734","1,807","4,590","3,805",825,"2,150",841
2021,4,0,"1,870",778,26,38,27,22,41,36,130,144,90,41,36,38,241,96,21,49,16
2021,4,10,"2,227","1,012",59,37,51,39,50,41,132,126,43,43,58,52,251,124,12,74,23
2021,4,20,"3,063","1,110",83,71,84,59,56,50,223,266,117,85,86,101,361,184,22,74,31
2021,4,30,"3,129","1,141",87,70,67,45,74,72,213,267,134,93,91,82,349,192,30,80,42
2021,4,40,"4,616","1,739",133,98,131,107,66,96,349,345,187,120,126,123,487,270,44,144,51
2021,4,50,"8,520","2,176",316,252,337,281,256,237,656,692,423,304,298,315,764,606,148,331,128
2021,4,60,"12,027","2,583",551,432,498,429,454,424,"1,042",947,646,472,385,430,857,911,188,577,201
2021,4,70,"8,841","1,698",355,325,340,295,267,263,846,648,495,331,341,352,718,783,180,428,176
2021,4,80,"6,231",918,289,245,220,243,184,206,552,423,377,279,286,284,488,576,158,351,152
2021,4,90,826,133,27,35,23,42,29,29,94,66,47,33,26,28,72,60,22,40,20
2021,4,100,30,1,2,0,1,0,1,3,5,4,2,0,1,2,2,3,0,2,1
2021,5,총,"51,161","13,154","1,928","1,609","1,766","1,559","1,477","1,455","4,228","3,898","2,563","1,790","1,722","1,798","4,612","3,792",827,"2,148",835
2021,5,0,"1,864",775,26,38,28,21,41,35,132,140,90,44,35,38,244,93,21,49,14
2021,5,10,"2,225","1,015",57,37,52,38,49,40,132,126,44,43,59,52,248,122,14,74,23
2021,5,20,"3,045","1,103",82,67,84,59,57,49,221,266,116,85,84,102,365,179,22,74,30
2021,5,30,"3,122","1,133",85,75,63,46,72,72,212,262,133,95,90,79,363,188,30,81,43
2021,5,40,"4,553","1,715",135,99,126,106,68,94,344,344,188,112,122,121,481,266,44,138,50
2021,5,50,"8,414","2,147",315,249,337,276,251,235,650,677,420,294,290,308,761,604,147,329,124
2021,5,60,"12,005","2,537",553,436,501,430,453,423,"1,043",942,648,472,390,432,864,912,188,580,201
2021,5,70,"8,846","1,691",359,324,335,295,270,269,845,645,495,332,337,347,727,788,182,427,178
2021,5,80,"6,229",911,286,249,215,245,186,206,548,425,380,279,287,289,484,577,158,353,151
2021,5,90,829,126,28,35,25,43,29,29,96,67,47,34,27,28,73,60,21,41,20
2021,5,100,29,1,2,0,0,0,1,3,5,4,2,0,1,2,2,3,0,2,1
2021,6,총,"51,099","13,113","1,924","1,611","1,762","1,559","1,472","1,462","4,217","3,892","2,574","1,784","1,724","1,800","4,609","3,780",829,"2,152",835
2021,6,0,"1,857",764,27,39,28,21,41,35,129,142,92,43,36,39,243,94,21,49,14
2021,6,10,"2,221","1,009",58,37,51,39,49,40,133,126,46,44,59,52,245,121,14,75,23
2021,6,20,"3,016","1,099",81,68,82,57,55,49,218,261,113,81,84,102,365,177,21,73,30
2021,6,30,"3,104","1,125",83,76,60,47,74,70,208,253,134,98,91,78,368,184,31,81,43
2021,6,40,"4,535","1,703",139,99,126,105,67,92,346,346,190,112,123,117,476,262,44,137,51
2021,6,50,"8,364","2,134",313,244,336,274,246,236,644,675,417,289,283,310,758,603,146,332,124
2021,6,60,"12,083","2,552",553,439,503,429,453,430,"1,052",954,655,474,395,434,869,915,189,585,202
2021,6,70,"8,830","1,687",356,326,335,297,271,271,839,639,497,332,337,347,729,783,186,425,173
2021,6,80,"6,236",916,286,249,214,245,186,208,550,424,380,278,288,291,480,579,156,352,154
2021,6,90,825,123,27,34,26,45,29,28,93,68,48,33,27,28,74,59,21,42,20
2021,6,100,28,1,1,0,1,0,1,3,5,4,2,0,1,2,2,3,0,1,1
2021,7,총,"51,042","13,098","1,927","1,609","1,763","1,561","1,468","1,463","4,214","3,891","2,561","1,782","1,726","1,799","4,588","3,788",831,"2,143",830
2021,7,0,"1,845",754,27,39,27,21,41,36,126,141,91,46,36,40,242,94,21,49,14
2021,7,10,"2,219","1,012",56,37,50,38,49,38,134,128,46,45,60,51,242,124,13,74,22
2021,7,20,"2,985","1,088",85,67,83,57,54,49,215,255,109,78,84,102,363,175,21,71,29
2021,7,30,"3,089","1,124",80,72,61,46,72,69,213,261,133,97,95,80,356,182,27,81,40
2021,7,40,"4,516","1,701",141,98,122,102,68,92,342,337,188,108,122,118,476,266,47,136,52
2021,7,50,"8,339","2,130",308,247,336,273,246,235,638,673,409,293,286,309,755,607,146,327,121
2021,7,60,"12,116","2,552",561,438,505,436,453,430,"1,059",961,657,471,393,433,869,916,192,586,204
2021,7,70,"8,839","1,697",353,326,336,299,273,272,839,636,500,333,337,349,726,779,186,424,174
2021,7,80,"6,247",916,288,251,215,244,183,211,552,426,379,278,285,289,485,582,158,351,154
2021,7,90,820,123,27,34,27,45,28,28,91,70,47,33,27,26,72,60,20,43,19
2021,7,100,27,1,1,0,1,0,1,3,5,3,2,0,1,2,2,3,0,1,1
2021,8,총,"50,952","13,060","1,922","1,611","1,754","1,561","1,464","1,462","4,211","3,892","2,563","1,777","1,723","1,793","4,583","3,776",831,"2,142",827
2021,8,0,"1,846",755,28,39,26,19,41,34,128,146,91,47,36,40,240,90,21,51,14
2021,8,10,"2,212","1,012",56,36,50,36,49,39,136,125,46,45,58,49,244,124,12,75,20
2021,8,20,"2,949","1,069",82,70,81,58,55,51,212,253,105,75,84,104,364,170,21,68,27
2021,8,30,"3,061","1,108",79,72,61,44,71,69,214,257,134,95,95,83,349,182,27,81,40
2021,8,40,"4,496","1,704",141,94,117,104,68,91,342,339,183,109,121,116,476,262,45,132,52
2021,8,50,"8,316","2,121",307,249,337,272,244,235,635,668,411,292,285,305,756,603,148,328,120
2021,8,60,"12,116","2,553",552,439,506,433,453,424,"1,059",967,662,467,394,433,863,921,195,588,207
2021,8,70,"8,838","1,699",354,323,335,302,271,277,836,635,504,338,337,347,728,774,183,422,173
2021,8,80,"6,263",919,295,254,213,246,183,211,555,427,377,274,285,289,488,583,158,352,154
2021,8,90,829,119,27,35,27,47,28,28,89,72,48,35,27,26,73,64,21,44,19
2021,8,100,26,1,1,0,1,0,1,3,5,3,2,0,1,1,2,3,0,1,1
2021,9,총,"50,831","13,045","1,919","1,605","1,744","1,558","1,454","1,467","4,198","3,879","2,557","1,766","1,716","1,793","4,567","3,772",828,"2,141",822
2021,9,0,"1,836",752,29,39,26,19,41,35,124,145,89,46,37,42,237,90,20,51,14
2021,9,10,"2,197","1,006",56,34,50,35,49,39,136,123,45,45,57,48,242,123,13,77,19
2021,9,20,"2,886","1,058",80,66,77,57,49,50,207,249,103,72,83,100,359,165,21,63,27
2021,9,30,"3,035","1,107",79,71,61,43,69,69,213,254,132,93,91,82,347,175,26,83,40
2021,9,40,"4,485","1,709",142,96,115,105,67,90,339,337,179,106,118,115,479,261,43,133,51
2021,9,50,"8,296","2,110",305,245,335,272,242,237,633,671,412,291,283,307,749,610,150,325,119
2021,9,60,"12,105","2,554",553,438,503,434,451,426,"1,060",965,668,463,394,431,860,916,193,588,208
2021,9,70,"8,858","1,704",353,321,337,302,273,277,835,636,503,343,340,349,728,779,183,424,171
2021,9,80,"6,274",924,293,260,213,246,183,213,556,427,377,273,285,290,489,584,157,351,153
2021,9,90,832,120,28,35,26,45,29,28,90,69,47,34,27,28,74,66,22,45,19
2021,9,100,27,1,1,0,1,0,1,3,5,3,2,0,1,1,3,3,0,1,1
2021,10,총,"50,739","13,005","1,922","1,606","1,742","1,552","1,450","1,461","4,187","3,861","2,561","1,761","1,718","1,793","4,556","3,775",825,"2,144",820
2021,10,0,"1,823",746,30,39,27,18,40,36,121,148,91,45,36,42,230,91,20,49,14
2021,10,10,"2,177",991,56,32,53,36,49,40,137,119,43,44,56,49,244,120,12,77,19
2021,10,20,"2,878","1,061",79,68,75,56,49,49,206,243,106,66,85,101,361,164,21,63,25
2021,10,30,"3,016","1,097",79,71,59,41,68,71,210,256,132,94,91,81,343,176,27,83,37
2021,10,40,"4,444","1,695",144,93,116,102,67,89,337,334,179,105,115,115,473,258,42,130,50
2021,10,50,"8,243","2,095",297,244,332,275,240,234,627,659,405,288,284,306,753,610,151,322,121
2021,10,60,"12,130","2,564",562,434,502,426,449,426,"1,058",964,671,468,398,430,858,923,190,597,210
