년도,월,나이,인천광역시 중구,인천광역시 중구 연안동,인천광역시 중구 신포동,인천광역시 중구 신흥동,인천광역시 중구 도원동,인천광역시 중구 율목동,인천광역시 중구 동인천동,인천광역시 중구 북성동,인천광역시 중구 송월동,인천광역시 중구 영종동,인천광역시 중구 영종1동,인천광역시 중구 운서동,인천광역시 중구 용유동,인천광역시 중구 개항동
2020,5,60,"7,631",649,385,974,338,307,554,270,357,"1,184","1,221",840,552,
2020,5,70,"4,238",309,276,520,235,200,335,178,232,489,637,504,323,
2020,5,80,"1,282",105,114,170,70,53,110,61,62,145,150,170,72,
2020,5,90,150,16,16,17,13,5,17,12,9,16,10,11,8,
2020,5,100,26,1,3,2,0,0,3,2,7,5,1,2,0,
2020,6,총,"71,833","3,480","2,638","6,813","2,087","1,770","3,185","1,527","2,285","8,630","21,520","15,563","2,335",
2020,6,0,"6,259",140,134,450,63,74,91,63,112,499,"3,686",903,44,
2020,6,10,"6,519",180,184,597,174,107,158,78,170,651,"2,338","1,817",65,
2020,6,20,"9,756",390,303,865,236,206,363,175,286,"1,233","1,957","3,565",177,
2020,6,30,"11,522",380,270,895,234,186,409,153,265,"1,341","4,451","2,752",186,
2020,6,40,"13,389",528,458,"1,102",331,272,478,222,346,"1,514","4,830","2,964",344,
2020,6,50,"10,991",784,488,"1,220",391,358,662,310,440,"1,545","2,216","2,017",560,
2020,6,60,"7,678",648,385,973,341,313,552,273,356,"1,187","1,237",853,560,
2020,6,70,"4,259",309,283,521,235,194,341,177,233,496,646,506,318,
2020,6,80,"1,286",104,115,172,71,55,110,61,61,144,148,172,73,
2020,6,90,147,16,16,15,11,5,17,13,9,15,10,12,8,
2020,6,100,27,1,2,3,0,0,4,2,7,5,1,2,0,
2020,7,총,"71,985","3,457","2,644","6,814","2,088","1,763","3,175","1,521","2,266","8,623","21,664","15,637","2,333",
2020,7,0,"6,271",138,137,450,64,72,92,62,106,500,"3,703",902,45,
2020,7,10,"6,509",184,184,589,172,103,156,79,168,642,"2,359","1,814",59,
2020,7,20,"9,753",382,306,870,238,205,364,172,284,"1,227","1,967","3,556",182,
2020,7,30,"11,520",374,275,882,231,182,392,150,262,"1,348","4,456","2,785",183,
2020,7,40,"13,399",532,448,"1,101",324,273,484,222,342,"1,500","4,867","2,959",347,
2020,7,50,"11,057",774,486,"1,222",396,360,661,309,440,"1,558","2,239","2,056",556,
2020,7,60,"7,733",648,392,979,344,312,558,273,354,"1,182","1,258",873,560,
2020,7,70,"4,267",304,281,526,236,199,339,178,230,502,650,504,318,
2020,7,80,"1,301",103,117,178,71,53,108,61,64,142,153,176,75,
2020,7,90,149,17,17,14,12,4,17,13,9,17,11,10,8,
2020,7,100,26,1,1,3,0,0,4,2,7,5,1,2,0,
2020,8,총,"72,058","3,438","2,651","6,793","2,087","1,752","3,160","1,516","2,255","8,669","21,692","15,714","2,331",
2020,8,0,"6,223",134,138,437,62,70,93,61,106,497,"3,686",897,42,
2020,8,10,"6,502",182,188,585,169,99,156,76,165,646,"2,369","1,806",61,
2020,8,20,"9,761",376,299,864,245,205,354,174,280,"1,233","1,979","3,570",182,
2020,8,30,"11,530",371,280,878,228,180,385,151,262,"1,344","4,453","2,814",184,
2020,8,40,"13,379",529,446,"1,096",323,273,481,220,340,"1,507","4,866","2,950",348,
2020,8,50,"11,096",765,486,"1,222",393,360,661,300,438,"1,578","2,252","2,091",550,
2020,8,60,"7,793",655,393,984,347,308,560,278,354,"1,196","1,270",888,560,
2020,8,70,"4,292",307,285,530,238,201,341,180,227,503,650,509,321,
2020,8,80,"1,306",101,118,180,69,52,108,61,67,143,154,178,75,
2020,8,90,151,17,17,14,13,4,17,13,9,17,12,10,8,
2020,8,100,25,1,1,3,0,0,4,2,7,5,1,1,0,
2020,9,총,"72,174","3,419","2,643","6,791","2,082","1,750","3,140","1,514","2,255","8,688","21,757","15,812","2,323",
2020,9,0,"6,210",134,140,433,66,69,90,62,102,497,"3,672",903,42,
2020,9,10,"6,504",178,185,589,163,100,157,74,163,653,"2,386","1,797",59,
2020,9,20,"9,765",380,298,865,246,202,347,175,283,"1,226","1,978","3,580",185,
2020,9,30,"11,524",364,275,871,223,182,383,145,266,"1,339","4,441","2,850",185,
2020,9,40,"13,410",527,442,"1,100",319,271,474,223,339,"1,510","4,892","2,965",348,
2020,9,50,"11,117",752,482,"1,224",396,364,659,298,435,"1,572","2,277","2,117",541,
2020,9,60,"7,830",653,397,985,345,304,562,282,358,"1,214","1,274",896,560,
2020,9,70,"4,318",309,289,527,241,200,343,176,226,509,667,512,319,
2020,9,80,"1,318",104,116,179,69,54,105,64,67,146,156,181,77,
2020,9,90,153,17,18,15,14,4,16,13,9,17,13,10,7,
2020,9,100,25,1,1,3,0,0,4,2,7,5,1,1,0,
2020,10,총,"72,267","3,407","2,649","6,772","2,084","1,741","3,145","1,508","2,259","8,712","21,779","15,898","2,313",
2020,10,0,"6,192",133,143,430,65,67,91,62,100,495,"3,661",902,43,
2020,10,10,"6,514",173,185,581,164,98,157,76,164,651,"2,401","1,808",56,
2020,10,20,"9,751",385,297,862,249,200,342,169,280,"1,224","1,982","3,578",183,
2020,10,30,"11,519",358,280,864,218,178,380,142,271,"1,356","4,419","2,866",187,
2020,10,40,"13,394",518,442,"1,092",319,274,473,225,338,"1,515","4,890","2,969",339,
2020,10,50,"11,170",751,479,"1,227",395,363,665,298,429,"1,561","2,306","2,155",541,
2020,10,60,"7,897",664,397,991,350,304,562,282,367,"1,227","1,282",911,560,
2020,10,70,"4,327",306,294,527,242,200,345,173,227,514,665,514,320,
2020,10,80,"1,327",102,114,181,69,53,108,67,67,146,159,184,77,
2020,10,90,150,16,17,14,13,4,18,11,9,18,13,10,7,
2020,10,100,26,1,1,3,0,0,4,3,7,5,1,1,0,
2020,11,총,"72,385","3,405","2,656","6,792","2,082","1,742","3,133","1,502","2,257","8,694","21,833","15,990","2,299",
2020,11,0,"6,161",130,147,424,64,66,86,61,98,487,"3,642",914,42,
2020,11,10,"6,543",172,184,589,160,101,157,75,161,647,"2,441","1,803",53,
2020,11,20,"9,726",387,295,859,252,202,343,170,281,"1,206","1,981","3,564",186,
2020,11,30,"11,554",354,284,864,216,173,378,143,268,"1,369","4,410","2,906",189,
2020,11,40,"13,405",508,445,"1,093",313,272,478,225,342,"1,496","4,928","2,976",329,
2020,11,50,"11,210",758,475,"1,238",399,367,657,292,426,"1,569","2,305","2,187",537,
2020,11,60,"7,944",674,402,996,351,304,564,281,369,"1,236","1,287",918,562,
2020,11,70,"4,332",300,291,529,243,201,341,175,229,517,666,523,317,
2020,11,80,"1,334",106,115,182,71,52,107,66,66,146,159,187,77,
2020,11,90,150,15,17,15,13,4,18,11,10,16,13,11,7,
2020,11,100,26,1,1,3,0,0,4,3,7,5,1,1,0,
2020,12,총,"72,485","3,406","2,673","6,774","2,066","1,741","3,119","1,490","2,242","8,726","21,872","16,089","2,287",
2020,12,0,"6,128",125,147,414,64,64,86,61,95,478,"3,636",919,39,
2020,12,10,"6,562",173,184,590,154,98,158,70,164,641,"2,478","1,794",58,
2020,12,20,"9,704",380,295,862,250,208,338,169,275,"1,197","1,968","3,575",187,
2020,12,30,"11,572",357,292,858,213,173,375,147,262,"1,387","4,387","2,937",184,
2020,12,40,"13,444",511,445,"1,087",311,272,471,225,343,"1,506","4,948","3,001",324,
2020,12,50,"11,261",756,477,"1,238",391,368,655,290,426,"1,587","2,331","2,206",536,
2020,12,60,"7,955",679,407,995,356,299,566,278,365,"1,242","1,285",928,555,
2020,12,70,"4,333",302,292,529,243,202,339,169,229,516,667,527,318,
2020,12,80,"1,348",107,116,183,71,53,109,67,66,149,158,190,79,
2020,12,90,152,15,17,15,13,4,18,11,10,18,13,11,7,
2020,12,100,26,1,1,3,0,0,4,3,7,5,1,1,0,
2021,1,총,"72,524","3,407","2,662","6,793","2,053","1,740","3,110","1,484","2,231","8,742","21,893","16,132","2,277",
2021,1,0,"6,111",124,147,412,64,62,87,58,93,473,"3,652",901,38,
2021,1,10,"6,588",170,184,596,151,96,156,71,166,654,"2,478","1,810",56,
2021,1,20,"9,683",380,296,863,245,214,343,167,271,"1,192","1,965","3,558",189,
2021,1,30,"11,518",358,286,852,207,173,372,151,259,"1,386","4,343","2,951",180,
2021,1,40,"13,427",502,443,"1,095",313,273,461,223,345,"1,497","4,969","2,987",319,
2021,1,50,"11,281",763,470,"1,236",391,363,657,286,419,"1,581","2,345","2,233",537,
2021,1,60,"8,010",683,411,"1,002",349,295,566,276,366,"1,267","1,286",953,556,
2021,1,70,"4,351",303,292,535,246,206,332,169,229,518,678,529,314,
2021,1,80,"1,375",108,116,184,74,54,114,68,67,150,162,197,81,
2021,1,90,153,15,16,15,13,4,17,12,9,19,14,12,7,
2021,1,100,27,1,1,3,0,0,5,3,7,5,1,1,0,
2021,2,총,"72,561","3,406","2,663","6,769","2,041","1,727","3,115","1,481","2,222","8,798","21,869","16,200","2,270",
2021,2,0,"6,079",127,146,411,63,59,92,53,91,477,"3,620",902,38,
2021,2,10,"6,591",166,182,582,149,94,157,69,163,656,"2,502","1,816",55,
2021,2,20,"9,577",377,292,855,243,208,342,165,267,"1,184","1,944","3,515",185,
2021,2,30,"11,514",354,292,852,206,171,371,154,261,"1,409","4,272","2,996",176,
2021,2,40,"13,444",497,442,"1,089",306,272,454,218,343,"1,506","4,995","3,004",318,
2021,2,50,"11,351",772,476,"1,237",389,364,656,289,418,"1,582","2,371","2,261",536,
2021,2,60,"8,082",680,409,"1,005",353,298,573,277,366,"1,292","1,303",965,561,
2021,2,70,"4,350",303,290,537,242,203,332,171,230,516,683,530,313,
2021,2,80,"1,388",114,117,181,77,52,116,70,67,152,163,198,81,
2021,2,90,158,15,16,17,12,6,18,12,9,19,15,12,7,
2021,2,100,27,1,1,3,1,0,4,3,7,5,1,1,0,
2021,3,총,"72,400","3,371","2,646","6,737","2,015","1,704","3,077","1,434","2,181","8,784","21,843","16,349","2,259",
2021,3,0,"6,069",128,141,408,64,59,96,54,89,480,"3,606",907,37,
2021,3,10,"6,592",167,185,581,146,93,152,70,160,649,"2,519","1,814",56,
2021,3,20,"9,563",370,298,857,241,202,338,162,259,"1,175","1,910","3,570",181,
2021,3,30,"11,509",353,289,850,200,164,373,147,261,"1,404","4,261","3,030",177,
2021,3,40,"13,394",499,444,"1,078",300,271,441,208,336,"1,511","4,987","3,005",314,
2021,3,50,"11,349",762,475,"1,229",391,358,648,283,412,"1,584","2,387","2,288",532,
2021,3,60,"8,090",675,405,"1,004",349,297,571,271,364,"1,302","1,313",981,558,
2021,3,70,"4,288",293,277,528,240,203,323,164,226,504,681,536,313,
2021,3,80,"1,394",110,120,183,76,52,117,63,66,154,165,204,84,
2021,3,90,145,14,12,19,8,5,17,12,8,18,13,13,6,
2021,3,100,7,0,0,0,0,0,1,0,0,3,1,1,1,
2021,4,총,"72,529","3,353","2,631","6,737","2,019","1,695","3,085","1,426","2,174","8,850","21,801","16,505","2,253",
2021,4,0,"6,033",125,141,405,62,59,99,50,90,478,"3,584",904,36,
2021,4,10,"6,595",163,180,581,147,91,154,67,159,652,"2,540","1,804",57,
2021,4,20,"9,580",363,295,863,245,199,337,162,253,"1,175","1,894","3,611",183,
2021,4,30,"11,539",356,288,847,204,164,376,151,256,"1,449","4,207","3,069",172,
2021,4,40,"13,413",496,447,"1,073",297,272,445,207,335,"1,493","5,005","3,032",311,
2021,4,50,"11,359",752,471,"1,224",388,351,647,280,413,"1,599","2,387","2,318",529,
2021,4,60,"8,168",679,405,"1,011",355,300,572,272,368,"1,320","1,314","1,009",563,
2021,4,70,"4,289",296,274,526,239,203,318,163,225,506,691,535,313,
2021,4,80,"1,402",109,119,189,74,51,119,62,67,157,164,209,82,
2021,4,90,144,14,11,18,8,5,17,12,8,18,14,13,6,
2021,4,100,7,0,0,0,0,0,1,0,0,3,1,1,1,
2021,5,총,"72,745","3,364","2,628","6,766","2,029","1,692","3,088","1,419","2,173","8,875","21,838","16,616","2,257",
2021,5,0,"6,045",125,140,408,60,59,99,50,90,478,"3,591",908,37,
2021,5,10,"6,604",165,183,574,147,92,147,67,152,655,"2,560","1,806",56,
2021,5,20,"9,578",367,294,877,245,197,335,162,256,"1,152","1,879","3,629",185,
2021,5,30,"11,563",362,285,850,199,165,386,147,253,"1,459","4,175","3,113",169,
2021,5,40,"13,431",493,444,"1,075",308,266,441,204,330,"1,492","5,022","3,049",307,
2021,5,50,"11,424",750,471,"1,226",387,347,652,278,419,"1,610","2,406","2,347",531,
2021,5,60,"8,247",683,408,"1,017",359,309,572,275,371,"1,342","1,336","1,008",567,
2021,5,70,"4,293",296,274,535,240,200,316,162,226,505,690,533,316,
2021,5,80,"1,413",110,117,189,76,52,122,63,68,161,164,209,82,
2021,5,90,140,13,12,15,8,5,17,11,8,18,14,13,6,
2021,5,100,7,0,0,0,0,0,1,0,0,3,1,1,1,
2021,6,총,"72,886","3,348","2,632","6,760","2,032","1,676","3,098","1,423","2,157","8,901","21,897","16,724","2,238",
2021,6,0,"6,029",120,139,409,58,57,100,48,91,481,"3,576",915,35,
2021,6,10,"6,613",164,182,574,149,92,147,74,148,652,"2,574","1,803",54,
2021,6,20,"9,582",362,296,867,245,188,328,162,251,"1,153","1,887","3,665",178,
2021,6,30,"11,603",364,286,846,200,168,391,145,249,"1,454","4,188","3,143",169,
2021,6,40,"13,441",487,444,"1,079",308,263,437,203,330,"1,501","5,032","3,055",302,
2021,6,50,"11,412",748,477,"1,220",384,348,652,274,411,"1,602","2,411","2,362",523,
2021,6,60,"8,338",683,408,"1,024",359,304,580,279,375,"1,365","1,363","1,025",573,
2021,6,70,"4,303",298,272,537,244,200,320,164,227,507,685,533,316,
2021,6,80,"1,415",109,116,188,77,51,124,63,67,165,166,209,80,
2021,6,90,143,13,12,16,8,5,18,11,8,18,14,13,7,
2021,6,100,7,0,0,0,0,0,1,0,0,3,1,1,1,
2021,7,총,"73,107","3,350","2,609","6,755","2,031","1,670","3,091",0,0,"9,170","21,893","16,746","2,231","3,561"
2021,7,0,"6,010",119,135,409,57,55,97,0,0,500,"3,559",905,36,138
2021,7,10,"6,646",162,180,576,149,93,146,0,0,679,"2,580","1,804",55,222
2021,7,20,"9,604",362,290,870,247,184,329,0,0,"1,204","1,873","3,669",172,404
2021,7,30,"11,659",367,289,839,197,171,385,0,0,"1,505","4,186","3,156",168,396
2021,7,40,"13,499",485,439,"1,078",308,267,438,0,0,"1,556","5,054","3,043",296,535
2021,7,50,"11,426",748,465,"1,230",377,342,652,0,0,"1,640","2,404","2,370",522,676
2021,7,60,"8,375",688,410,"1,015",365,303,580,0,0,"1,380","1,369","1,035",577,653
2021,7,70,"4,319",300,275,535,247,198,319,0,0,514,687,536,318,390
2021,7,80,"1,416",106,115,189,75,51,127,0,0,167,165,214,78,129
2021,7,90,145,13,11,14,9,6,17,0,0,22,15,12,8,18
2021,7,100,8,0,0,0,0,0,1,0,0,3,1,2,1,0
2021,8,총,"73,472","3,331","2,596","6,721","2,018","1,663","3,080",,,"9,877","21,743","16,675","2,212","3,556"
2021,8,0,"6,007",120,133,401,57,54,97,,,576,"3,500",895,35,139
2021,8,10,"6,659",151,178,580,145,93,142,,,739,"2,584","1,773",56,218
2021,8,20,"9,677",361,294,875,249,183,321,,,"1,312","1,853","3,655",169,405
2021,8,30,"11,736",369,283,831,197,166,386,,,"1,674","4,134","3,143",164,389
2021,8,40,"13,547",481,429,"1,068",298,265,437,,,"1,677","5,038","3,031",293,530
2021,8,50,"11,504",737,462,"1,218",380,348,653,,,"1,744","2,400","2,369",515,678
2021,8,60,"8,444",694,417,"1,018",364,299,580,,,"1,422","1,369","1,047",575,659
2021,8,70,"4,326",298,275,524,245,201,318,,,538,688,533,315,391
2021,8,80,"1,420",107,113,192,74,49,129,,,170,160,215,81,130
2021,8,90,144,13,12,14,9,5,16,,,22,16,12,8,17
2021,8,100,8,0,0,0,0,0,1,,,3,1,2,1,0
2021,9,총,"73,787","3,312","2,603","6,747","2,003","1,649","3,099",,,"10,259","21,681","16,682","2,202","3,550"
2021,9,0,"6,012",117,132,400,55,51,101,,,606,"3,473",907,34,136
2021,9,10,"6,685",155,178,587,146,89,139,,,791,"2,578","1,749",55,218
2021,9,20,"9,695",359,294,861,251,184,322,,,"1,368","1,848","3,635",166,407
2021,9,30,"11,783",365,286,837,191,164,387,,,"1,734","4,111","3,161",165,382
2021,9,40,"13,600",478,427,"1,077",292,260,448,,,"1,772","5,024","3,003",288,531
2021,9,50,"11,590",732,467,"1,227",378,348,643,,,"1,793","2,401","2,404",519,678
2021,9,60,"8,524",690,422,"1,023",362,301,591,,,"1,462","1,379","1,059",572,663
2021,9,70,"4,313",299,272,524,245,198,320,,,531,691,534,312,387
2021,9,80,"1,430",105,113,196,74,49,131,,,177,158,215,82,130
2021,9,90,147,12,12,15,9,5,16,,,22,17,13,8,18
2021,9,100,8,0,0,0,0,0,1,,,3,1,2,1,0
2021,10,총,"74,127","3,343","2,605","6,745","1,993","1,641","3,092",,,"10,360","21,818","16,806","2,192","3,532"
2021,10,0,"6,026",119,132,406,53,47,98,,,603,"3,489",911,34,134
2021,10,10,"6,695",157,180,580,145,88,139,,,792,"2,594","1,753",53,214
2021,10,20,"9,713",362,284,856,247,184,326,,,"1,383","1,855","3,648",164,404
2021,10,30,"11,859",364,290,842,190,162,381,,,"1,758","4,125","3,198",165,384
2021,10,40,"13,664",479,429,"1,083",299,259,445,,,"1,783","5,067","3,010",287,523
2021,10,50,"11,663",737,470,"1,214",374,344,639,,,"1,816","2,429","2,443",516,681
2021,10,60,"8,582",704,426,"1,024",359,307,592,,,"1,482","1,387","1,070",569,662
2021,10,70,"4,323",302,267,527,243,194,321,,,539,695,539,313,383
2021,10,80,"1,446",107,115,198,75,51,132,,,178,159,219,82,130
2021,10,90,147,12,12,15,8,5,18,,,22,17,13,8,17
2021,10,100,9,0,0,0,0,0,1,,,4,1,2,1,0
2021,11,총,"74,366","3,318","2,606","6,716","2,004","1,642","3,085",,,"10,406","21,970","16,887","2,205","3,527"
2021,11,0,"6,035",118,134,404,54,48,99,,,601,"3,507",900,37,133
2021,11,10,"6,719",157,178,577,140,88,140,,,799,"2,615","1,757",55,213
2021,11,20,"9,717",354,285,853,254,188,325,,,"1,392","1,859","3,639",163,405
2021,11,30,"11,896",368,285,836,191,159,366,,,"1,765","4,147","3,230",168,381
2021,11,40,"13,698",470,433,"1,079",297,255,445,,,"1,785","5,103","3,017",290,524
2021,11,50,"11,727",727,468,"1,197",377,344,638,,,"1,841","2,457","2,474",519,685
2021,11,60,"8,642",707,429,"1,035",360,311,600,,,"1,476","1,410","1,085",572,657
2021,11,70,"4,317",301,267,521,248,191,321,,,540,691,544,310,383
2021,11,80,"1,459",104,116,200,75,53,130,,,181,163,226,82,129
2021,11,90,147,12,11,14,8,5,20,,,22,17,13,8,17
2021,11,100,9,0,0,0,0,0,1,,,4,1,2,1,0
2021,12,총,"74,679","3,326","2,595","6,734","2,001","1,644","3,083",,,"10,455","22,118","17,008","2,197","3,518"
2021,12,0,"6,036",116,135,400,53,45,103,,,605,"3,518",901,33,127
2021,12,10,"6,750",159,179,587,135,87,137,,,809,"2,635","1,758",54,210
2021,12,20,"9,750",357,274,853,253,186,322,,,"1,391","1,863","3,686",160,405
2021,12,30,"11,967",375,293,835,191,163,364,,,"1,766","4,164","3,256",174,386
2021,12,40,"13,752",471,432,"1,082",290,252,446,,,"1,790","5,143","3,032",289,525
2021,12,50,"11,757",721,462,"1,187",381,349,633,,,"1,848","2,489","2,489",517,681
2021,12,60,"8,713",712,434,"1,051",365,316,604,,,"1,487","1,424","1,097",567,656
2021,12,70,"4,315",297,256,524,247,184,322,,,550,698,545,308,384
2021,12,80,"1,477",106,117,200,78,57,130,,,184,164,229,85,127
2021,12,90,154,12,13,15,8,5,21,,,22,19,13,9,17
2021,12,100,8,0,0,0,0,0,1,,,3,1,2,1,0
