년도,월,나이,경상북도 봉화군,경상북도 봉화군 봉화읍,경상북도 봉화군 물야면,경상북도 봉화군 봉성면,경상북도 봉화군 법전면,경상북도 봉화군 춘양면,경상북도 봉화군 소천면,경상북도 봉화군 재산면,경상북도 봉화군 명호면,경상북도 봉화군 상운면,경상북도 봉화군 석포면
2020,8,50,"5,865","1,776",611,382,369,875,442,341,444,291,334
2020,8,60,"6,702","1,665",775,509,458,973,570,400,551,439,362
2020,8,70,"4,757","1,168",548,364,356,697,379,246,402,386,211
2020,8,80,"3,196",759,372,258,293,468,254,168,249,256,119
2020,8,90,485,137,55,37,38,90,29,24,33,25,17
2020,8,100,29,6,2,1,3,7,4,1,2,3,0
2020,9,총,"31,637","9,990","3,180","2,138","2,031","4,474","2,254","1,529","2,253","1,745","2,043"
2020,9,0,"1,426",615,98,58,77,191,67,32,57,30,201
2020,9,10,"1,873",874,146,95,80,245,96,72,106,38,121
2020,9,20,"2,036",900,146,130,103,260,102,66,112,85,132
2020,9,30,"1,992",788,168,126,101,252,103,56,97,65,236
2020,9,40,"3,265","1,298",251,175,151,413,204,131,204,135,303
2020,9,50,"5,837","1,765",608,380,366,872,440,336,442,293,335
2020,9,60,"6,739","1,677",786,514,461,979,574,396,551,436,365
2020,9,70,"4,753","1,168",548,366,355,699,379,247,395,383,213
2020,9,80,"3,192",758,374,256,295,466,255,167,253,249,119
2020,9,90,494,141,53,37,39,90,30,25,34,28,17
2020,9,100,30,6,2,1,3,7,4,1,2,3,1
2020,10,총,"31,625","9,997","3,180","2,134","2,025","4,457","2,257","1,525","2,253","1,758","2,039"
2020,10,0,"1,421",619,98,55,78,185,65,32,55,31,203
2020,10,10,"1,858",863,147,97,79,241,94,71,107,40,119
2020,10,20,"2,030",903,143,128,100,256,99,65,113,90,133
2020,10,30,"2,000",796,170,124,100,252,107,55,97,64,235
2020,10,40,"3,252","1,296",249,173,150,414,201,130,203,134,302
2020,10,50,"5,817","1,763",605,378,362,867,444,334,436,296,332
2020,10,60,"6,780","1,681",793,522,463,983,583,396,556,435,368
2020,10,70,"4,745","1,174",547,362,355,694,375,249,394,384,211
2020,10,80,"3,193",756,373,257,295,468,254,167,254,250,119
2020,10,90,500,141,53,37,40,90,31,25,36,31,16
2020,10,100,29,5,2,1,3,7,4,1,2,3,1
2020,11,총,"31,555","9,999","3,165","2,116","2,017","4,451","2,233","1,530","2,256","1,758","2,030"
2020,11,0,"1,398",619,96,49,72,185,60,31,58,31,197
2020,11,10,"1,859",871,143,94,82,241,90,72,105,41,120
2020,11,20,"2,030",905,144,130,101,253,96,67,116,91,127
2020,11,30,"1,962",785,163,115,100,252,105,55,95,61,231
2020,11,40,"3,248","1,306",247,173,146,410,194,131,204,131,306
2020,11,50,"5,803","1,757",605,377,358,869,442,335,430,297,333
2020,11,60,"6,790","1,677",795,525,467,980,580,395,558,442,371
2020,11,70,"4,738","1,174",547,358,355,694,375,250,397,378,210
2020,11,80,"3,191",759,369,256,291,469,255,169,254,251,118
2020,11,90,507,141,54,37,42,91,33,24,37,32,16
2020,11,100,29,5,2,2,3,7,3,1,2,3,1
2020,12,총,"31,494","10,008","3,140","2,116","2,014","4,433","2,224","1,522","2,254","1,754","2,029"
2020,12,0,"1,385",618,94,53,70,183,57,31,57,30,192
2020,12,10,"1,867",889,138,96,80,239,86,72,103,39,125
2020,12,20,"2,008",904,138,125,102,245,100,63,115,92,124
2020,12,30,"1,944",782,160,114,98,250,102,57,95,61,225
2020,12,40,"3,231","1,298",243,174,145,404,190,129,207,132,309
2020,12,50,"5,769","1,750",599,371,358,866,439,334,425,292,335
2020,12,60,"6,826","1,689",801,526,471,985,587,393,562,438,374
2020,12,70,"4,733","1,170",544,360,352,696,371,250,396,385,209
2020,12,80,"3,198",767,368,258,292,468,255,169,254,248,119
2020,12,90,503,136,52,37,43,90,34,23,38,34,16
2020,12,100,30,5,3,2,3,7,3,1,2,3,1
2021,1,총,"31,407","9,958","3,127","2,113","2,022","4,422","2,209","1,524","2,259","1,746","2,027"
2021,1,0,"1,362",607,95,52,70,180,52,31,58,31,186
2021,1,10,"1,863",892,135,95,84,227,84,74,105,39,128
2021,1,20,"1,984",883,132,123,100,250,100,63,118,90,125
2021,1,30,"1,911",769,161,116,99,239,95,58,96,61,217
2021,1,40,"3,206","1,282",239,174,140,399,192,126,209,131,314
2021,1,50,"5,746","1,756",584,366,362,867,436,332,424,289,330
2021,1,60,"6,856","1,684",811,531,470,"1,000",585,395,563,437,380
2021,1,70,"4,722","1,173",542,361,356,689,371,247,394,381,208
2021,1,80,"3,220",769,373,258,295,474,256,175,251,247,122
2021,1,90,507,138,51,35,43,91,35,22,39,37,16
2021,1,100,30,5,4,2,3,6,3,1,2,3,1
2021,2,총,"31,317","9,935","3,119","2,108","2,020","4,410","2,207","1,510","2,248","1,739","2,021"
2021,2,0,"1,347",603,95,52,69,176,53,30,59,30,180
2021,2,10,"1,844",891,136,91,82,222,84,72,104,38,124
2021,2,20,"1,955",869,128,122,101,247,98,61,114,91,124
2021,2,30,"1,892",760,157,114,99,235,97,57,93,61,219
2021,2,40,"3,184","1,282",241,175,136,396,188,125,199,128,314
2021,2,50,"5,733","1,754",573,364,364,860,439,328,430,288,333
2021,2,60,"6,875","1,694",819,533,472,"1,006",582,396,562,435,376
2021,2,70,"4,697","1,158",542,354,352,690,370,247,395,377,212
2021,2,80,"3,251",781,372,266,298,481,258,170,252,251,122
2021,2,90,508,138,52,35,44,90,35,23,38,37,16
2021,2,100,31,5,4,2,3,7,3,1,2,3,1
2021,3,총,"31,232","9,908","3,117","2,089","2,012","4,390","2,196","1,509","2,250","1,730","2,031"
2021,3,0,"1,342",599,94,54,68,173,52,32,63,28,179
2021,3,10,"1,845",901,133,87,83,219,84,70,103,39,126
2021,3,20,"1,910",848,127,120,99,239,93,63,108,91,122
2021,3,30,"1,881",758,155,111,98,237,98,56,93,56,219
2021,3,40,"3,174","1,283",237,176,136,388,183,123,200,128,320
2021,3,50,"5,669","1,730",576,351,356,856,436,329,426,274,335
2021,3,60,"6,921","1,709",820,534,480,"1,009",584,397,567,443,378
2021,3,70,"4,681","1,148",543,349,344,694,372,241,394,380,216
2021,3,80,"3,262",789,371,268,301,479,255,174,255,252,118
2021,3,90,517,138,57,37,44,90,34,23,39,38,17
2021,3,100,30,5,4,2,3,6,5,1,2,1,1
2021,4,총,"31,236","9,904","3,115","2,093","2,013","4,387","2,199","1,509","2,242","1,730","2,044"
2021,4,0,"1,330",592,93,54,65,170,53,32,62,29,180
2021,4,10,"1,857",907,131,87,85,224,85,68,104,38,128
2021,4,20,"1,911",843,129,126,100,242,90,63,103,89,126
2021,4,30,"1,874",760,154,108,96,229,98,57,90,58,224
2021,4,40,"3,163","1,277",230,176,137,391,180,124,201,127,320
2021,4,50,"5,657","1,731",582,352,353,850,432,327,426,272,332
2021,4,60,"6,959","1,715",822,537,485,"1,009",600,399,564,444,384
2021,4,70,"4,667","1,145",542,348,342,691,369,243,394,380,213
2021,4,80,"3,268",792,368,267,304,484,254,174,255,254,116
2021,4,90,519,136,59,36,43,91,34,21,41,38,20
2021,4,100,31,6,5,2,3,6,4,1,2,1,1
2021,5,총,"31,142","9,853","3,114","2,100","2,015","4,355","2,194","1,520","2,236","1,716","2,039"
2021,5,0,"1,312",584,92,54,64,169,53,31,59,29,177
2021,5,10,"1,854",904,132,87,85,225,84,67,103,37,130
2021,5,20,"1,905",842,126,124,101,239,93,66,100,88,126
2021,5,30,"1,860",750,154,109,95,226,97,59,93,57,220
2021,5,40,"3,134","1,259",228,179,137,388,178,122,200,126,317
2021,5,50,"5,611","1,719",572,351,356,837,430,331,418,268,329
2021,5,60,"6,987","1,722",835,533,488,"1,008",602,406,568,440,385
2021,5,70,"4,655","1,146",540,353,338,687,362,240,396,377,216
2021,5,80,"3,289",790,370,271,308,489,256,176,255,256,118
2021,5,90,510,133,60,37,40,85,35,21,42,37,20
2021,5,100,25,4,5,2,3,2,4,1,2,1,1
2021,6,총,"31,084","9,857","3,110","2,083","2,016","4,337","2,193","1,521","2,238","1,712","2,017"
2021,6,0,"1,299",582,91,53,65,167,53,31,58,26,173
2021,6,10,"1,852",909,129,85,85,223,83,66,104,37,131
2021,6,20,"1,899",845,127,118,99,235,94,65,101,86,129
2021,6,30,"1,842",746,149,107,95,227,97,58,91,57,215
2021,6,40,"3,121","1,259",229,180,136,381,175,119,203,122,317
2021,6,50,"5,572","1,713",568,343,356,832,421,332,415,271,321
2021,6,60,"7,035","1,729",840,536,493,"1,015",614,409,572,446,381
2021,6,70,"4,643","1,145",545,351,336,683,362,237,396,377,211
2021,6,80,"3,294",795,366,269,309,488,255,182,256,255,119
2021,6,90,501,130,61,39,39,84,35,21,38,34,20
2021,6,100,26,4,5,2,3,2,4,1,4,1,0
2021,7,총,"31,057","9,822","3,107","2,083","2,022","4,342","2,192","1,528","2,239","1,711","2,011"
2021,7,0,"1,278",573,90,53,65,167,52,28,55,24,171
2021,7,10,"1,847",915,128,85,84,220,84,66,101,35,129
2021,7,20,"1,895",833,127,120,100,240,91,63,104,86,131
2021,7,30,"1,826",741,145,107,95,225,98,57,90,56,212
2021,7,40,"3,094","1,239",230,176,134,383,172,122,205,123,310
2021,7,50,"5,571","1,710",569,342,359,827,422,334,414,269,325
2021,7,60,"7,061","1,740",838,534,495,"1,017",616,415,571,453,382
2021,7,70,"4,660","1,145",547,354,338,687,365,240,402,374,208
2021,7,80,"3,301",791,368,271,310,490,254,181,256,257,123
2021,7,90,499,131,61,39,39,84,34,21,37,33,20
2021,7,100,25,4,4,2,3,2,4,1,4,1,0
2021,8,총,"30,969","9,761","3,098","2,075","2,035","4,342","2,197","1,506","2,235","1,704","2,016"
2021,8,0,"1,268",563,90,51,65,166,51,28,56,23,175
2021,8,10,"1,833",904,126,85,88,215,85,65,100,35,130
2021,8,20,"1,865",817,119,117,103,246,92,62,100,82,127
2021,8,30,"1,807",730,144,105,98,222,97,53,89,56,213
2021,8,40,"3,076","1,231",229,175,135,382,171,115,205,121,312
2021,8,50,"5,559","1,717",567,342,359,825,423,329,411,266,320
2021,8,60,"7,075","1,734",841,530,495,"1,024",617,414,576,456,388
2021,8,70,"4,655","1,143",546,359,341,679,368,237,400,374,208
2021,8,80,"3,302",790,369,271,308,497,254,179,254,257,123
2021,8,90,503,128,63,38,40,84,35,23,40,32,20
2021,8,100,26,4,4,2,3,2,4,1,4,2,0
2021,9,총,"30,860","9,716","3,097","2,075","2,029","4,326","2,186","1,502","2,233","1,695","2,001"
2021,9,0,"1,266",563,92,52,65,168,52,26,54,23,171
2021,9,10,"1,822",895,126,83,89,212,82,64,102,35,134
2021,9,20,"1,815",800,116,116,102,236,90,63,94,76,122
2021,9,30,"1,786",716,142,106,99,221,95,54,86,54,213
2021,9,40,"3,057","1,229",226,172,130,384,170,112,205,118,311
2021,9,50,"5,538","1,709",572,342,357,819,419,330,410,266,314
2021,9,60,"7,083","1,735",838,536,497,"1,022",618,413,580,455,389
2021,9,70,"4,657","1,146",549,359,340,680,365,236,401,375,206
2021,9,80,"3,304",789,370,268,308,497,256,178,257,257,124
2021,9,90,505,129,62,39,39,85,35,25,40,34,17
2021,9,100,27,5,4,2,3,2,4,1,4,2,0
2021,10,총,"30,807","9,691","3,090","2,072","2,019","4,324","2,190","1,494","2,229","1,697","2,001"
2021,10,0,"1,245",559,87,49,66,164,51,25,53,23,168
2021,10,10,"1,816",892,123,83,87,213,83,62,105,33,135
2021,10,20,"1,805",795,115,120,98,237,88,62,93,78,119
2021,10,30,"1,779",706,142,101,102,221,97,54,84,55,217
2021,10,40,"3,029","1,220",226,173,129,380,169,111,202,111,308
2021,10,50,"5,526","1,695",568,344,350,819,425,328,407,274,316
2021,10,60,"7,106","1,739",845,533,496,"1,027",619,416,583,457,391
2021,10,70,"4,659","1,162",549,358,341,675,364,237,397,372,204
2021,10,80,"3,308",787,371,270,307,500,255,174,259,259,126
2021,10,90,508,131,61,39,40,86,35,24,42,33,17
2021,10,100,26,5,3,2,3,2,4,1,4,2,0
2021,11,총,"30,802","9,700","3,078","2,073","2,010","4,330","2,180","1,503","2,231","1,700","1,997"
2021,11,0,"1,248",564,88,48,65,165,50,26,55,21,166
2021,11,10,"1,806",884,123,83,84,213,83,62,108,34,132
2021,11,20,"1,818",793,118,123,99,239,88,65,92,80,121
2021,11,30,"1,757",703,138,100,98,221,93,54,82,57,211
2021,11,40,"3,029","1,221",222,173,130,381,170,111,202,110,309
2021,11,50,"5,535","1,707",572,344,344,818,423,325,411,275,316
2021,11,60,"7,125","1,739",841,532,497,"1,036",622,423,582,461,392
2021,11,70,"4,652","1,168",545,358,341,677,359,235,396,369,204
2021,11,80,"3,298",783,368,270,310,493,254,176,258,257,129
2021,11,90,510,132,61,40,40,86,34,25,41,34,17
2021,11,100,24,6,2,2,2,1,4,1,4,2,0
2021,12,총,"30,762","9,701","3,059","2,077","2,001","4,350","2,179","1,496","2,213","1,691","1,995"
2021,12,0,"1,227",557,89,49,63,161,48,23,53,20,164
2021,12,10,"1,803",892,112,83,81,212,86,61,109,32,135
2021,12,20,"1,820",795,121,123,98,243,89,64,87,79,121
2021,12,30,"1,752",695,140,101,96,222,96,53,80,54,215
2021,12,40,"3,024","1,228",213,173,134,378,169,110,199,110,310
2021,12,50,"5,526","1,711",564,347,339,824,425,321,409,273,313
2021,12,60,"7,111","1,731",844,535,495,"1,039",619,424,580,459,385
2021,12,70,"4,663","1,174",545,355,341,684,357,237,397,372,201
2021,12,80,"3,305",779,368,271,311,501,252,177,255,257,134
2021,12,90,510,133,61,38,42,84,36,25,41,33,17
2021,12,100,21,6,2,2,1,2,2,1,3,2,0
