년도,월,나이,김제시,만경읍,죽산면,백산면,용지면,백구면,부량면,공덕면,청하면,성덕면,진봉면,금구면,봉남면,황산면,금산면,광활면,요촌동,신풍동,검산동,교월동
2020,2,80,"4,924",226,259,188,302,280,126,212,154,160,263,288,223,174,346,100,407,490,368,358
2020,2,90,843,37,36,37,59,44,16,35,30,34,60,42,33,21,55,15,82,75,67,65
2020,2,100,53,1,3,6,3,0,2,1,1,3,0,2,1,1,9,0,4,1,1,14
2020,3,총,"42,129","1,343","1,277","1,242","1,868","1,971",712,"1,299",898,920,"1,412","2,448","1,153",950,"2,340",656,"5,767","6,563","5,994","3,316"
2020,3,0,"2,210",40,30,32,58,65,23,41,23,24,21,91,25,22,69,21,399,445,554,227
2020,3,10,"3,119",58,45,61,80,120,27,74,38,35,56,143,48,33,93,35,543,665,723,242
2020,3,20,"3,296",68,48,73,129,137,43,84,36,51,60,189,61,69,148,33,609,624,580,254
2020,3,30,"3,246",64,68,64,103,118,37,74,46,44,59,150,53,38,125,30,560,642,641,330
2020,3,40,"4,480",104,75,85,117,162,35,90,65,67,89,230,53,58,175,41,771,935,992,336
2020,3,50,"6,500",211,165,176,298,320,97,202,125,126,176,422,159,161,398,88,945,"1,076",853,502
2020,3,60,"7,124",303,283,272,377,370,151,262,188,181,295,470,241,185,457,130,862,864,709,524
2020,3,70,"6,302",230,265,246,344,350,153,220,193,200,336,417,256,188,462,163,583,734,502,460
2020,3,80,"4,945",226,256,190,301,285,128,216,153,158,257,291,224,174,348,99,411,501,371,356
2020,3,90,854,38,39,37,58,44,16,35,30,31,63,43,32,21,56,16,80,76,68,71
2020,3,100,53,1,3,6,3,0,2,1,1,3,0,2,1,1,9,0,4,1,1,14
2020,4,총,"42,054","1,340","1,270","1,235","1,862","1,962",715,"1,292",891,925,"1,409","2,446","1,153",937,"2,330",657,"5,770","6,554","6,005","3,301"
2020,4,0,"2,204",42,30,31,58,64,23,41,22,26,20,90,24,22,73,21,400,448,550,219
2020,4,10,"3,100",58,45,56,81,120,27,72,37,35,55,144,49,31,90,35,539,659,721,246
2020,4,20,"3,282",68,47,72,127,135,42,81,36,49,62,189,59,67,146,34,614,617,588,249
2020,4,30,"3,220",66,66,61,100,115,38,74,43,46,57,149,53,39,123,30,562,628,640,330
2020,4,40,"4,470",103,76,86,119,159,35,87,65,68,87,224,53,57,172,41,770,941,992,335
2020,4,50,"6,473",211,164,174,294,319,98,207,124,124,176,415,157,154,398,88,939,"1,072",862,497
2020,4,60,"7,123",299,282,272,371,369,152,255,189,182,292,478,243,186,453,129,867,870,710,524
2020,4,70,"6,327",229,264,251,349,354,152,222,190,201,340,422,256,187,460,163,584,736,505,462
2020,4,80,"4,941",224,255,190,301,284,131,218,154,159,257,292,225,172,351,98,406,502,368,354
2020,4,90,860,39,38,36,59,43,15,34,30,32,63,41,33,21,54,18,85,80,68,71
2020,4,100,54,1,3,6,3,0,2,1,1,3,0,2,1,1,10,0,4,1,1,14
2020,5,총,"42,065","1,351","1,272","1,236","1,864","1,950",714,"1,285",896,918,"1,418","2,454","1,152",939,"2,330",655,"5,777","6,536","6,014","3,304"
2020,5,0,"2,186",43,31,32,57,58,23,41,23,26,23,87,25,22,74,21,390,447,548,215
2020,5,10,"3,103",61,45,57,82,121,26,70,39,35,55,148,50,31,88,34,538,655,719,249
2020,5,20,"3,279",66,47,72,127,134,42,82,36,48,61,186,58,61,146,33,624,620,584,252
2020,5,30,"3,210",69,63,59,103,110,37,75,43,43,57,150,53,43,120,30,564,617,645,329
2020,5,40,"4,467",108,76,89,119,160,35,84,67,67,87,228,53,56,177,40,760,934,989,338
2020,5,50,"6,471",212,164,172,292,315,97,203,122,124,180,414,157,153,394,88,944,"1,074",870,496
2020,5,60,"7,118",300,282,271,371,369,153,257,190,181,287,481,238,187,454,128,862,873,709,525
2020,5,70,"6,364",228,266,253,349,356,153,221,189,201,345,426,260,188,461,166,598,730,512,462
2020,5,80,"4,938",224,254,191,300,284,131,218,155,156,256,292,223,175,352,97,410,502,367,351
2020,5,90,874,39,41,34,61,43,15,33,31,34,67,40,34,22,54,18,83,83,70,72
2020,5,100,55,1,3,6,3,0,2,1,1,3,0,2,1,1,10,0,4,1,1,15
2020,6,총,"42,065","1,354","1,275","1,231","1,860","1,953",708,"1,282",901,915,"1,418","2,468","1,153",941,"2,329",659,"5,781","6,527","5,995","3,315"
2020,6,0,"2,180",42,32,32,59,59,23,36,23,26,23,87,26,22,75,22,388,456,534,215
2020,6,10,"3,087",60,45,54,82,120,23,72,38,35,56,148,50,29,87,34,536,653,714,251
2020,6,20,"3,271",69,46,75,122,133,41,79,37,45,60,190,56,62,145,32,630,619,583,247
2020,6,30,"3,199",69,63,57,105,112,36,78,44,44,56,151,53,42,119,32,555,610,640,333
2020,6,40,"4,482",111,77,88,116,163,36,85,66,67,84,229,53,55,175,42,774,939,984,338
2020,6,50,"6,437",208,162,172,294,306,94,201,123,123,180,413,156,154,397,88,934,"1,062",875,495
2020,6,60,"7,148",301,285,269,371,373,156,257,193,184,287,485,241,187,456,129,878,860,715,521
2020,6,70,"6,388",226,267,253,349,359,150,221,188,201,347,432,259,191,460,163,595,740,512,475
2020,6,80,"4,923",226,253,191,296,282,130,220,156,153,258,291,224,177,347,99,402,503,364,351
2020,6,90,893,41,42,34,63,46,17,32,32,34,67,40,34,21,57,18,85,84,73,73
2020,6,100,57,1,3,6,3,0,2,1,1,3,0,2,1,1,11,0,4,1,1,16
2020,7,총,"41,988","1,354","1,276","1,220","1,851","1,947",707,"1,277",902,917,"1,420","2,454","1,144",946,"2,331",663,"5,771","6,512","5,981","3,315"
2020,7,0,"2,160",42,32,32,58,58,22,34,22,26,25,89,25,22,75,22,386,450,521,219
2020,7,10,"3,069",61,44,53,80,118,24,69,37,35,56,144,49,29,88,35,536,647,715,249
2020,7,20,"3,269",68,46,72,126,132,41,81,36,45,58,189,53,61,149,30,616,627,593,246
2020,7,30,"3,188",66,60,56,104,113,36,77,45,46,59,148,52,45,119,35,563,607,626,331
2020,7,40,"4,459",115,81,88,117,159,35,83,68,65,83,226,54,55,168,41,769,930,981,341
2020,7,50,"6,415",210,160,174,286,306,94,203,122,124,179,410,151,156,398,89,932,"1,057",875,489
2020,7,60,"7,138",299,285,263,372,375,154,256,195,185,289,482,244,188,456,130,878,859,705,523
2020,7,70,"6,412",228,268,253,349,355,152,222,188,200,348,431,257,189,463,162,599,746,523,479
2020,7,80,"4,916",224,252,190,294,285,130,218,155,154,258,293,225,178,345,101,402,505,360,347
2020,7,90,902,40,45,33,62,45,17,32,33,34,65,40,33,22,59,18,86,82,81,75
2020,7,100,60,1,3,6,3,1,2,2,1,3,0,2,1,1,11,0,4,2,1,16
2020,8,총,"41,921","1,350","1,272","1,218","1,834","1,954",708,"1,273",901,916,"1,410","2,449","1,150",942,"2,329",665,"5,763","6,504","5,965","3,318"
2020,8,0,"2,152",41,31,31,57,57,21,35,22,27,25,91,25,20,77,22,389,446,516,219
2020,8,10,"3,048",59,42,53,78,118,24,68,37,35,57,147,49,30,89,35,528,642,709,248
2020,8,20,"3,242",67,46,70,124,132,41,78,34,44,55,184,53,59,149,30,611,623,597,245
2020,8,30,"3,178",68,59,56,102,115,37,75,46,47,60,150,53,42,117,35,570,600,619,327
2020,8,40,"4,456",113,79,89,115,158,37,83,69,66,80,226,53,55,169,42,771,930,975,346
2020,8,50,"6,350",211,155,172,283,306,90,198,119,122,178,404,153,158,390,88,914,"1,048",871,490
2020,8,60,"7,185",296,287,263,373,380,157,261,196,185,289,481,245,187,460,130,884,878,708,525
2020,8,70,"6,417",229,270,254,349,355,151,221,187,200,345,430,256,188,462,163,602,747,527,481
2020,8,80,"4,915",226,253,189,286,286,131,219,157,153,257,293,228,179,344,102,402,508,360,342
2020,8,90,918,39,47,35,64,46,17,33,33,34,64,41,34,23,60,18,88,81,82,79
2020,8,100,60,1,3,6,3,1,2,2,1,3,0,2,1,1,12,0,4,1,1,16
2020,9,총,"41,868","1,347","1,271","1,216","1,823","1,955",711,"1,267",897,914,"1,400","2,449","1,151",936,"2,326",669,"5,755","6,490","5,968","3,323"
2020,9,0,"2,137",40,27,32,54,60,21,33,21,28,25,93,27,20,77,22,381,443,516,217
2020,9,10,"3,034",55,44,49,75,117,25,68,38,34,55,143,49,29,89,35,534,645,704,246
2020,9,20,"3,249",67,44,69,127,129,41,76,33,44,54,189,53,60,148,32,607,622,600,254
2020,9,30,"3,160",68,57,59,99,121,39,75,47,46,60,145,55,39,116,34,566,594,616,324
2020,9,40,"4,434",109,82,89,115,154,37,82,69,66,80,229,54,55,168,43,767,923,967,345
2020,9,50,"6,340",209,154,170,282,305,90,196,115,120,176,411,149,157,383,89,914,"1,050",878,492
2020,9,60,"7,202",300,289,266,369,382,154,262,198,183,284,480,246,183,463,131,890,884,714,524
2020,9,70,"6,424",232,272,255,350,352,152,220,187,200,348,428,258,191,462,162,602,741,528,484
2020,9,80,"4,907",226,253,187,287,287,131,221,155,156,256,289,224,177,346,103,403,505,358,343
2020,9,90,920,40,46,34,62,47,19,32,33,34,62,40,35,24,62,18,86,82,86,78
2020,9,100,61,1,3,6,3,1,2,2,1,3,0,2,1,1,12,0,5,1,1,16
2020,10,총,"41,795","1,341","1,266","1,215","1,789","1,944",707,"1,259",899,908,"1,399","2,462","1,145",939,"2,322",664,"5,742","6,503","5,978","3,313"
2020,10,0,"2,109",38,25,31,53,58,22,35,20,28,24,92,26,20,76,21,377,425,521,217
2020,10,10,"3,040",55,45,48,72,115,25,68,36,30,55,143,48,29,89,35,534,664,704,245
2020,10,20,"3,228",65,43,69,124,128,42,73,34,44,55,189,52,64,144,31,605,614,604,248
2020,10,30,"3,156",69,55,59,93,119,37,76,48,46,60,147,54,36,117,32,563,594,623,328
2020,10,40,"4,418",111,78,88,111,154,38,79,66,64,80,232,54,54,172,44,751,929,967,346
2020,10,50,"6,296",206,152,169,272,303,88,196,116,120,173,412,145,157,377,88,908,"1,059",868,487
2020,10,60,"7,216",300,290,263,364,381,154,255,201,181,284,484,246,183,464,130,901,891,721,523
2020,10,70,"6,429",231,272,258,345,352,152,224,186,202,350,432,257,191,462,163,606,736,527,483
2020,10,80,"4,910",224,255,188,288,286,127,219,158,156,255,288,227,179,344,102,406,509,357,342
2020,10,90,933,41,48,36,64,48,20,32,33,34,63,41,35,24,65,18,87,81,85,78
2020,10,100,60,1,3,6,3,0,2,2,1,3,0,2,1,2,12,0,4,1,1,16
2020,11,총,"41,689","1,322","1,264","1,217","1,778","1,950",702,"1,251",895,895,"1,388","2,454","1,142",935,"2,312",660,"5,746","6,491","5,980","3,307"
2020,11,0,"2,089",38,25,32,51,57,22,32,18,27,23,89,27,20,71,21,377,424,521,214
2020,11,10,"3,031",51,44,48,73,113,25,67,37,27,55,144,48,28,90,34,541,656,702,248
2020,11,20,"3,187",59,45,68,123,128,40,73,34,42,51,186,52,64,139,30,599,613,603,238
2020,11,30,"3,134",67,54,60,92,120,34,76,46,46,61,145,53,35,118,31,557,592,621,326
2020,11,40,"4,404",109,76,89,111,157,35,79,65,60,78,227,55,55,169,44,756,931,961,347
2020,11,50,"6,283",205,151,169,267,306,90,193,119,119,170,415,143,153,378,87,908,"1,055",872,483
2020,11,60,"7,237",299,290,260,361,377,156,255,200,181,285,485,246,184,471,131,902,894,730,530
2020,11,70,"6,421",228,273,261,347,353,152,222,184,204,352,429,254,194,457,161,607,732,526,485
2020,11,80,"4,907",223,255,186,287,291,125,220,158,154,251,289,227,177,342,102,407,512,359,342
2020,11,90,936,42,48,38,63,48,21,32,33,32,62,43,36,23,65,19,88,81,84,78
2020,11,100,60,1,3,6,3,0,2,2,1,3,0,2,1,2,12,0,4,1,1,16
2020,12,총,"41,606","1,313","1,259","1,216","1,780","1,957",704,"1,238",894,899,"1,380","2,446","1,139",934,"2,301",656,"5,739","6,489","5,955","3,307"
2020,12,0,"2,079",38,25,32,51,58,22,33,19,28,22,89,27,20,72,21,367,428,512,215
2020,12,10,"3,001",51,45,48,74,114,24,64,36,27,55,140,47,29,86,33,540,644,702,242
2020,12,20,"3,197",57,45,67,122,128,39,74,33,45,46,187,52,65,140,29,604,621,599,244
2020,12,30,"3,106",67,55,60,88,121,35,74,47,47,60,143,50,33,118,31,554,589,612,322
2020,12,40,"4,382",105,77,91,115,157,37,77,65,61,78,225,55,55,167,41,745,928,957,346
2020,12,50,"6,258",201,148,168,267,306,90,184,118,115,169,412,143,149,377,87,916,"1,058",868,482
2020,12,60,"7,268",302,294,259,360,380,155,256,202,179,284,486,246,188,472,133,911,895,738,528
2020,12,70,"6,419",223,267,259,348,356,150,224,183,206,351,430,253,193,454,160,605,737,530,490
2020,12,80,"4,905",224,254,189,292,290,127,217,156,155,253,290,228,177,339,103,405,509,353,344
2020,12,90,930,44,46,37,60,47,23,33,34,33,62,42,37,23,64,18,88,79,83,77
2020,12,100,61,1,3,6,3,0,2,2,1,3,0,2,1,2,12,0,4,1,1,17
2021,1,총,"41,518","1,309","1,260","1,207","1,773","1,957",704,"1,238",891,897,"1,370","2,443","1,134",927,"2,300",657,"5,733","6,471","5,937","3,310"
2021,1,0,"2,051",38,25,32,48,59,22,34,19,30,21,88,26,20,71,21,368,425,499,205
2021,1,10,"2,994",51,45,49,69,115,24,61,36,27,52,140,45,28,87,33,541,646,694,251
2021,1,20,"3,187",57,46,64,122,128,37,75,34,44,49,187,51,62,131,31,605,615,599,250
2021,1,30,"3,070",68,51,58,88,123,35,74,45,46,59,141,50,32,117,31,553,585,602,312
2021,1,40,"4,397",101,79,92,112,157,38,77,62,60,80,222,57,54,176,41,756,928,960,345
2021,1,50,"6,207",200,148,166,266,304,90,181,119,113,166,416,144,149,370,86,892,"1,043",871,483
2021,1,60,"7,280",303,295,260,361,378,156,258,201,182,283,478,245,189,479,131,910,898,745,528
2021,1,70,"6,424",222,266,258,351,358,151,223,181,205,350,435,250,190,451,160,611,737,534,491
2021,1,80,"4,904",223,254,183,290,289,126,219,158,153,250,287,229,179,339,105,406,514,350,350
2021,1,90,944,45,48,39,63,46,23,34,35,35,60,47,36,22,67,18,87,79,82,78
2021,1,100,60,1,3,6,3,0,2,2,1,2,0,2,1,2,12,0,4,1,1,17
2021,2,총,"41,437","1,309","1,259","1,207","1,756","1,956",699,"1,234",895,901,"1,366","2,441","1,129",929,"2,297",656,"5,679","6,535","5,891","3,298"
2021,2,0,"2,031",37,24,33,47,62,21,34,19,28,18,90,26,22,71,21,358,430,487,203
2021,2,10,"2,976",51,44,49,68,115,26,63,37,30,52,135,46,28,86,32,529,662,675,248
2021,2,20,"3,145",56,44,62,118,126,34,75,35,43,49,187,48,56,128,30,591,620,595,248
2021,2,30,"3,046",68,52,59,89,122,37,72,46,44,58,138,50,33,114,31,547,584,589,313
2021,2,40,"4,395",99,79,90,111,158,38,77,61,63,82,225,56,58,177,41,755,940,945,340
2021,2,50,"6,192",199,146,165,262,301,89,181,120,114,162,416,140,151,372,85,880,"1,056",877,476
2021,2,60,"7,287",306,299,262,357,378,153,259,199,182,282,474,247,187,474,132,909,907,748,532
2021,2,70,"6,435",224,264,258,349,359,148,223,184,205,350,435,248,192,453,159,613,741,541,489
2021,2,80,"4,917",222,255,182,289,289,128,213,155,155,253,293,230,177,341,107,407,516,352,353
2021,2,90,954,46,49,41,63,46,23,35,38,35,60,46,37,23,69,18,86,79,81,79
2021,2,100,59,1,3,6,3,0,2,2,1,2,0,2,1,2,12,0,4,0,1,17
2021,3,총,"41,391","1,306","1,256","1,185","1,761","1,943",697,"1,235",883,901,"1,367","2,461","1,131",931,"2,273",656,"5,649","6,588","5,886","3,282"
2021,3,0,"2,024",37,24,29,44,62,22,33,19,30,22,90,27,22,71,21,356,433,484,198
2021,3,10,"2,979",48,44,51,72,111,26,63,35,31,52,141,44,29,86,32,522,676,666,250
2021,3,20,"3,129",58,43,59,120,124,33,75,33,42,47,193,49,56,122,29,581,620,595,250
2021,3,30,"3,037",68,50,57,89,123,38,71,43,42,58,141,48,33,111,31,541,596,587,310
2021,3,40,"4,382",96,80,85,109,154,38,79,62,64,83,222,57,60,167,39,758,946,944,339
2021,3,50,"6,149",194,145,155,263,298,89,177,119,115,158,421,141,148,370,84,874,"1,053",872,473
2021,3,60,"7,349",312,299,265,360,376,153,264,197,181,285,472,247,186,478,137,912,924,763,538
2021,3,70,"6,433",222,264,261,348,362,146,223,183,205,348,441,249,194,448,158,611,745,537,488
2021,3,80,"4,914",223,257,180,292,285,129,210,153,154,254,292,231,176,344,106,402,520,353,353
2021,3,90,964,48,50,40,63,48,23,38,38,35,60,45,36,25,69,19,90,75,85,77
2021,3,100,31,0,0,3,1,0,0,2,1,2,0,3,2,2,7,0,2,0,0,6
2021,4,총,"41,370","1,302","1,259","1,175","1,753","1,940",697,"1,234",883,895,"1,367","2,471","1,135",931,"2,272",655,"5,633","6,601","5,891","3,276"
2021,4,0,"2,000",35,26,28,44,61,21,34,19,28,21,90,27,22,72,21,350,425,483,193
2021,4,10,"2,987",50,43,51,71,108,25,63,34,32,53,145,44,30,86,32,521,689,662,248
2021,4,20,"3,117",58,43,57,116,124,33,72,33,40,47,193,49,57,124,29,579,617,592,254
2021,4,30,"3,038",66,50,55,88,124,38,72,42,41,59,143,49,33,111,31,538,595,592,311
2021,4,40,"4,356",95,78,85,111,145,37,78,62,65,83,217,57,59,163,38,757,961,934,331
2021,4,50,"6,129",189,145,151,256,301,90,177,119,113,158,426,141,147,368,87,858,"1,048",878,477
2021,4,60,"7,385",317,301,265,361,379,153,264,198,177,286,478,245,182,483,136,920,933,767,540
2021,4,70,"6,425",221,262,259,351,358,146,223,184,206,347,434,253,196,442,158,613,741,544,487
2021,4,80,"4,933",226,261,182,291,291,130,210,153,155,254,297,230,177,346,104,402,519,351,354
2021,4,90,967,45,50,39,63,49,24,39,38,36,59,45,38,26,70,19,93,73,88,73
2021,4,100,33,0,0,3,1,0,0,2,1,2,0,3,2,2,7,0,2,0,0,8
2021,5,총,"41,075","1,295","1,258","1,159","1,733","1,926",696,"1,215",874,889,"1,363","2,439","1,126",916,"2,253",647,"5,640","6,556","5,835","3,255"
2021,5,0,"1,985",33,26,27,43,59,22,35,20,27,20,91,29,23,69,21,353,417,471,199
2021,5,10,"2,981",49,42,51,70,110,25,61,34,34,51,142,42,29,86,31,518,690,665,251
2021,5,20,"3,087",61,42,55,118,121,34,72,31,40,48,187,47,58,125,28,576,605,585,254
2021,5,30,"2,991",64,51,55,82,118,40,69,41,39,59,134,48,32,110,31,545,587,577,309
2021,5,40,"4,278",94,77,80,105,144,37,72,60,64,81,211,55,59,151,34,759,937,933,325
2021,5,50,"6,048",186,145,144,247,293,88,173,114,110,158,418,137,139,363,89,855,"1,053",867,469
2021,5,60,"7,366",317,301,263,358,378,149,263,197,177,289,482,241,181,487,135,912,935,765,536
2021,5,70,"6,404",222,264,259,351,362,147,219,183,201,345,428,253,195,440,156,618,741,540,480
2021,5,80,"4,945",223,260,184,296,291,130,211,155,158,255,300,234,174,348,102,409,518,345,352
2021,5,90,957,46,50,38,62,50,24,37,38,37,57,44,37,24,67,20,93,73,87,73
2021,5,100,33,0,0,3,1,0,0,3,1,2,0,2,3,2,7,0,2,0,0,7
2021,6,총,"41,013","1,298","1,239","1,158","1,725","1,921",692,"1,223",876,886,"1,344","2,447","1,127",926,"2,253",651,"5,633","6,553","5,819","3,242"
2021,6,0,"1,970",31,27,28,43,60,21,36,20,27,16,94,29,22,69,21,352,412,463,199
2021,6,10,"2,978",49,41,51,70,107,25,61,33,33,51,144,43,32,86,30,524,691,659,248
2021,6,20,"3,107",61,43,55,115,122,32,74,33,37,50,184,46,61,124,30,584,610,596,250
2021,6,30,"2,979",65,51,53,81,117,41,69,40,39,51,139,46,33,111,31,549,590,568,305
2021,6,40,"4,261",94,72,79,102,146,37,71,60,65,80,209,56,58,155,34,760,930,924,329
2021,6,50,"6,002",184,140,146,245,291,88,176,116,108,155,418,136,140,361,87,840,"1,042",869,460
2021,6,60,"7,379",316,297,260,357,375,148,266,197,180,285,484,244,180,486,139,913,944,766,542
2021,6,70,"6,377",226,263,260,353,362,145,216,183,199,341,430,251,195,434,156,612,734,544,473
2021,6,80,"4,967",226,257,186,296,289,132,214,156,159,260,296,235,179,353,104,405,526,339,355
2021,6,90,958,46,48,36,62,52,23,37,37,37,55,47,38,24,67,19,92,74,90,74
2021,6,100,35,0,0,4,1,0,0,3,1,2,0,2,3,2,7,0,2,0,1,7
2021,7,총,"40,982","1,305","1,241","1,159","1,713","1,915",688,"1,215",876,880,"1,337","2,448","1,119",928,"2,250",649,"5,601","6,570","5,849","3,239"
2021,7,0,"1,950",30,27,29,39,59,21,34,22,26,16,94,30,23,68,21,351,404,458,198
2021,7,10,"2,981",51,39,52,70,105,25,58,33,32,50,146,42,32,85,30,523,693,669,246
2021,7,20,"3,098",64,43,54,113,117,33,74,32,39,50,188,44,62,118,29,579,612,602,245
2021,7,30,"2,971",64,51,54,79,117,38,66,39,38,49,135,45,32,113,30,538,593,582,308
2021,7,40,"4,245",92,73,79,100,149,35,73,58,63,80,210,54,58,155,35,752,924,931,324
2021,7,50,"6,003",186,144,146,239,288,91,177,116,107,156,419,134,137,362,85,841,"1,049",869,457
2021,7,60,"7,394",319,296,259,362,380,144,265,195,179,284,484,246,179,487,139,911,950,766,549
2021,7,70,"6,376",226,260,261,354,358,145,215,186,198,339,428,248,199,435,155,613,739,544,473
2021,7,80,"4,981",227,261,185,295,290,135,214,158,157,258,298,236,179,354,106,403,531,338,356
2021,7,90,946,46,47,35,61,52,21,36,37,39,55,45,36,25,65,19,88,75,89,75
2021,7,100,37,0,0,5,1,0,0,3,0,2,0,1,4,2,8,0,2,0,1,8
2021,8,총,"40,964","1,309","1,235","1,155","1,718","1,907",680,"1,206",874,877,"1,337","2,437","1,115",926,"2,248",644,"5,597","6,576","5,879","3,244"
2021,8,0,"1,937",30,27,30,38,57,22,31,21,25,17,92,29,23,67,21,347,406,459,195
2021,8,10,"2,989",52,39,51,71,104,24,58,35,30,50,144,43,32,86,29,529,689,671,252
2021,8,20,"3,118",65,39,54,114,120,32,73,31,40,50,188,44,61,122,28,579,619,619,240
2021,8,30,"2,946",66,51,54,78,111,35,64,38,37,49,131,44,31,108,32,529,600,583,305
2021,8,40,"4,242",94,73,77,99,150,36,74,59,63,78,206,54,58,153,34,759,918,932,325
2021,8,50,"5,989",179,143,145,244,286,89,172,116,107,155,426,132,136,364,83,839,"1,045",871,457
2021,8,60,"7,410",322,298,259,363,381,141,265,194,178,286,481,244,179,490,138,912,954,775,550
2021,8,70,"6,356",226,264,260,350,357,144,215,184,199,338,426,248,197,429,155,609,739,543,473
2021,8,80,"4,982",228,253,186,296,287,136,214,160,158,257,294,236,181,356,105,403,534,336,362
2021,8,90,958,47,48,34,64,54,21,36,36,38,57,48,37,27,65,19,89,72,89,77
2021,8,100,37,0,0,5,1,0,0,4,0,2,0,1,4,1,8,0,2,0,1,8
2021,9,총,"40,875","1,299","1,230","1,150","1,709","1,906",684,"1,203",871,874,"1,329","2,425","1,113",923,"2,245",645,"5,583","6,571","5,899","3,216"
2021,9,0,"1,919",29,28,31,38,59,22,32,21,24,17,89,29,23,66,20,343,412,448,188
2021,9,10,"2,985",50,37,50,75,104,25,56,35,31,49,146,41,33,87,29,527,683,674,253
2021,9,20,"3,068",65,37,53,112,119,31,71,25,39,50,184,42,57,118,29,570,607,631,228
2021,9,30,"2,911",61,52,54,77,107,35,62,40,35,47,130,44,29,108,31,525,601,579,294
2021,9,40,"4,247",94,71,71,100,153,36,75,59,63,77,203,54,60,153,34,760,914,939,331
2021,9,50,"5,985",183,143,149,240,283,89,168,117,104,153,424,131,135,366,83,838,"1,047",881,451
2021,9,60,"7,402",317,298,256,356,381,144,267,194,178,288,481,243,181,489,135,910,960,774,550
2021,9,70,"6,359",226,264,261,348,361,144,215,185,202,332,428,249,194,428,157,617,738,538,472
2021,9,80,"5,013",228,252,186,298,285,137,217,159,157,261,292,238,185,358,108,403,538,347,364
2021,9,90,950,46,48,34,64,54,21,36,36,39,55,47,38,25,64,19,88,71,87,78
2021,9,100,36,0,0,5,1,0,0,4,0,2,0,1,4,1,8,0,2,0,1,7
2021,10,총,"40,855","1,303","1,222","1,148","1,708","1,904",683,"1,202",863,865,"1,322","2,427","1,111",924,"2,245",643,"5,569","6,573","5,930","3,213"
2021,10,0,"1,894",28,25,31,36,57,22,32,19,24,17,89,28,23,66,19,329,406,457,186
2021,10,10,"2,980",52,38,49,74,103,23,56,32,25,46,147,41,34,85,29,532,686,676,252
2021,10,20,"3,065",66,37,51,110,116,31,69,25,42,50,176,41,55,118,29,569,615,635,230
2021,10,30,"2,901",58,50,55,77,106,33,62,41,35,48,132,42,31,105,30,520,595,587,294
2021,10,40,"4,251",94,70,69,100,154,36,73,58,61,75,207,56,59,156,34,761,922,940,326
2021,10,50,"5,970",184,141,149,238,284,88,168,117,102,152,418,131,132,367,81,844,"1,043",878,453
2021,10,60,"7,416",316,295,259,354,380,146,270,192,178,287,487,244,181,493,138,901,964,779,552
2021,10,70,"6,347",226,265,257,347,362,143,217,185,199,333,427,249,195,427,155,623,726,541,470
2021,10,80,"5,032",232,253,189,303,286,140,214,158,157,261,293,238,186,356,109,400,545,346,366
