년도,월,나이,양산시,물금읍,동면,원동면,상북면,하북면,중앙동,양주동,삼성동,강서동,서창동,소주동,평산동,덕계동
2020,4,총,"175,020","60,051","17,479","1,639","6,463","3,995","5,380","17,565","10,659","4,574","13,833","10,100","15,859","7,423"
2020,4,0,"17,519","8,047","2,465",36,291,106,219,"1,376",714,388,"1,246",760,"1,289",582
2020,4,10,"16,589","5,856","1,355",59,450,233,285,"2,111",891,566,"1,620",869,"1,626",668
2020,4,20,"19,120","7,268","1,592",73,570,351,586,"2,209","1,377",482,"1,415",989,"1,461",747
2020,4,30,"24,945","11,047","3,428",71,499,254,509,"1,879","1,339",524,"1,663","1,154","1,702",876
2020,4,40,"29,669","10,576","2,811",116,809,458,636,"3,470","1,708",847,"2,585","1,683","2,771","1,199"
2020,4,50,"28,894","8,454","2,460",293,"1,410",927,"1,215","3,080","2,302",740,"2,247","1,862","2,533","1,371"
2020,4,60,"20,623","5,155","1,994",443,"1,195",843,"1,098","1,773","1,318",548,"1,694","1,388","2,164","1,010"
2020,4,70,"11,305","2,328",910,311,769,448,520,"1,126",641,296,892,884,"1,557",623
2020,4,80,"5,506","1,119",396,199,401,304,271,485,322,162,397,465,682,303
2020,4,90,802,194,66,36,63,64,33,55,46,21,65,44,71,44
2020,4,100,48,7,2,2,6,7,8,1,1,0,9,2,3,0
2020,5,총,"175,033","60,121","17,474","1,638","6,445","3,974","5,397","17,520","10,648","4,552","13,839","10,090","15,843","7,492"
2020,5,0,"17,467","8,051","2,465",35,287,101,218,"1,360",708,385,"1,233",760,"1,274",590
2020,5,10,"16,578","5,878","1,365",58,448,232,280,"2,090",885,562,"1,629",864,"1,619",668
2020,5,20,"19,068","7,252","1,568",73,567,349,592,"2,199","1,381",479,"1,398",992,"1,462",756
2020,5,30,"24,839","11,017","3,402",71,494,249,520,"1,856","1,334",522,"1,663","1,144","1,671",896
2020,5,40,"29,661","10,604","2,836",115,803,453,637,"3,450","1,694",829,"2,588","1,681","2,773","1,198"
2020,5,50,"28,928","8,476","2,454",294,"1,395",923,"1,206","3,098","2,308",742,"2,249","1,853","2,537","1,393"
2020,5,60,"20,726","5,183","2,001",445,"1,203",839,"1,105","1,782","1,323",552,"1,700","1,396","2,185","1,012"
2020,5,70,"11,372","2,339",919,311,776,450,525,"1,139",643,295,900,883,"1,563",629
2020,5,80,"5,533","1,121",395,198,402,310,271,489,322,165,404,469,683,304
2020,5,90,813,192,67,36,64,61,36,56,49,21,66,46,73,46
2020,5,100,48,8,2,2,6,7,7,1,1,0,9,2,3,0
2020,6,총,"175,151","60,196","17,473","1,645","6,432","4,023","5,404","17,501","10,654","4,534","13,821","10,073","15,869","7,526"
2020,6,0,"17,442","8,046","2,456",38,284,103,223,"1,346",714,386,"1,229",756,"1,274",587
2020,6,10,"16,604","5,879","1,375",61,447,270,276,"2,090",874,550,"1,621",858,"1,630",673
2020,6,20,"19,006","7,245","1,559",69,565,347,583,"2,192","1,377",477,"1,383",988,"1,460",761
2020,6,30,"24,771","11,001","3,392",70,488,253,521,"1,836","1,337",519,"1,649","1,143","1,660",902
2020,6,40,"29,687","10,645","2,841",120,807,451,643,"3,447","1,677",824,"2,593","1,675","2,769","1,195"
2020,6,50,"28,965","8,499","2,456",292,"1,378",926,"1,201","3,115","2,315",736,"2,244","1,854","2,547","1,402"
2020,6,60,"20,830","5,197","2,011",444,"1,212",843,"1,117","1,788","1,336",555,"1,711","1,399","2,196","1,021"
2020,6,70,"11,415","2,355",912,314,781,454,527,"1,147",645,302,907,879,"1,560",632
2020,6,80,"5,564","1,130",401,199,399,311,270,480,327,163,409,473,693,309
2020,6,90,818,191,68,36,65,58,36,59,51,22,65,46,77,44
2020,6,100,49,8,2,2,6,7,7,1,1,0,10,2,3,0
2020,7,총,"175,169","60,218","17,443","1,653","6,415","4,030","5,431","17,487","10,637","4,533","13,826","10,062","15,895","7,539"
2020,7,0,"17,380","8,049","2,438",39,282,103,227,"1,325",708,384,"1,222",743,"1,277",583
2020,7,10,"16,605","5,893","1,373",60,443,275,275,"2,091",865,553,"1,625",854,"1,628",670
2020,7,20,"18,978","7,235","1,546",70,561,353,585,"2,192","1,362",481,"1,390",983,"1,456",764
2020,7,30,"24,699","10,964","3,363",73,487,250,532,"1,831","1,333",517,"1,638","1,145","1,661",905
2020,7,40,"29,660","10,641","2,860",118,805,450,644,"3,437","1,669",817,"2,597","1,660","2,772","1,190"
2020,7,50,"29,001","8,527","2,440",295,"1,370",914,"1,208","3,108","2,333",740,"2,243","1,859","2,552","1,412"
2020,7,60,"20,956","5,234","2,033",446,"1,211",850,"1,118","1,808","1,340",554,"1,718","1,414","2,202","1,028"
2020,7,70,"11,436","2,351",915,313,784,457,529,"1,150",647,304,910,883,"1,565",628
2020,7,80,"5,590","1,131",406,201,402,314,269,485,328,160,406,472,702,314
2020,7,90,815,185,67,36,64,57,37,59,51,23,67,47,77,45
2020,7,100,49,8,2,2,6,7,7,1,1,0,10,2,3,0
2020,8,총,"175,203","60,306","17,454","1,659","6,403","4,036","5,449","17,417","10,660","4,526","13,758","10,097","15,894","7,544"
2020,8,0,"17,319","8,040","2,433",40,281,101,232,"1,318",702,383,"1,202",740,"1,264",583
2020,8,10,"16,612","5,924","1,387",61,437,270,277,"2,065",867,556,"1,612",866,"1,626",664
2020,8,20,"18,927","7,226","1,531",67,563,361,578,"2,181","1,369",479,"1,390",983,"1,447",752
2020,8,30,"24,536","10,918","3,341",73,475,255,534,"1,803","1,326",509,"1,606","1,133","1,656",907
2020,8,40,"29,733","10,682","2,895",119,802,444,646,"3,424","1,680",822,"2,591","1,682","2,748","1,198"
2020,8,50,"29,002","8,540","2,430",299,"1,370",914,"1,207","3,102","2,330",735,"2,242","1,850","2,574","1,409"
2020,8,60,"21,123","5,286","2,042",444,"1,218",850,"1,126","1,829","1,350",559,"1,725","1,423","2,221","1,050"
2020,8,70,"11,459","2,357",925,314,788,460,534,"1,147",650,301,911,886,"1,568",618
2020,8,80,"5,620","1,143",402,203,397,315,268,484,332,158,404,484,710,320
2020,8,90,824,183,66,37,66,58,40,63,53,24,65,48,78,43
2020,8,100,48,7,2,2,6,8,7,1,1,0,10,2,2,0
2020,9,총,"175,325","60,386","17,461","1,638","6,402","4,028","5,454","17,389","10,655","4,538","13,765","10,133","15,890","7,586"
2020,9,0,"17,208","8,004","2,409",37,281,98,229,"1,305",695,386,"1,187",726,"1,265",586
2020,9,10,"16,652","5,967","1,402",56,434,269,276,"2,062",859,554,"1,620",885,"1,610",658
2020,9,20,"18,930","7,221","1,518",66,564,361,587,"2,173","1,379",475,"1,381",983,"1,462",760
2020,9,30,"24,420","10,882","3,321",73,473,254,530,"1,783","1,321",510,"1,598","1,120","1,646",909
2020,9,40,"29,753","10,720","2,909",112,801,444,654,"3,404","1,670",827,"2,595","1,678","2,735","1,204"
2020,9,50,"29,039","8,548","2,432",292,"1,358",911,"1,193","3,119","2,339",735,"2,251","1,862","2,580","1,419"
2020,9,60,"21,296","5,340","2,060",442,"1,232",847,"1,129","1,837","1,363",564,"1,743","1,445","2,232","1,062"
2020,9,70,"11,488","2,363",931,318,786,466,537,"1,157",642,303,912,891,"1,560",622
2020,9,80,"5,663","1,149",410,203,402,313,273,484,337,159,403,490,719,321
2020,9,90,828,185,67,37,65,57,39,64,49,25,65,51,79,45
2020,9,100,48,7,2,2,6,8,7,1,1,0,10,2,2,0
2020,10,총,"175,359","60,397","17,452","1,627","6,392","4,016","5,441","17,360","10,686","4,545","13,767","10,153","15,900","7,623"
2020,10,0,"17,081","7,952","2,400",38,280,92,226,"1,286",697,387,"1,177",711,"1,251",584
2020,10,10,"16,656","5,994","1,394",53,431,267,275,"2,053",865,547,"1,620",887,"1,606",664
2020,10,20,"18,978","7,227","1,514",69,553,362,586,"2,178","1,380",482,"1,394",988,"1,476",769
2020,10,30,"24,175","10,785","3,285",72,465,249,520,"1,758","1,316",508,"1,572","1,113","1,625",907
2020,10,40,"29,837","10,786","2,924",108,796,444,661,"3,409","1,665",827,"2,594","1,684","2,737","1,202"
2020,10,50,"29,018","8,546","2,436",282,"1,359",907,"1,186","3,102","2,339",734,"2,257","1,860","2,588","1,422"
2020,10,60,"21,499","5,382","2,085",445,"1,235",849,"1,137","1,860","1,383",574,"1,756","1,463","2,251","1,079"
2020,10,70,"11,548","2,372",933,321,798,465,538,"1,164",650,302,920,901,"1,564",620
2020,10,80,"5,679","1,157",410,199,402,314,268,484,339,158,405,489,725,329
2020,10,90,840,189,69,38,67,59,37,65,51,26,62,55,75,47
2020,10,100,48,7,2,2,6,8,7,1,1,0,10,2,2,0
2020,11,총,"175,369","60,459","17,449","1,622","6,368","4,005","5,432","17,346","10,681","4,560","13,755","10,164","15,886","7,642"
2020,11,0,"16,998","7,915","2,388",38,276,91,225,"1,274",690,387,"1,171",709,"1,247",587
2020,11,10,"16,643","6,017","1,408",53,431,251,273,"2,037",871,541,"1,612",887,"1,599",663
2020,11,20,"18,976","7,247","1,503",68,548,361,582,"2,191","1,369",488,"1,394",984,"1,470",771
2020,11,30,"24,027","10,727","3,259",74,466,249,516,"1,743","1,303",502,"1,553","1,105","1,624",906
2020,11,40,"29,891","10,835","2,941",105,789,445,662,"3,399","1,661",831,"2,594","1,689","2,729","1,211"
2020,11,50,"29,027","8,558","2,429",279,"1,348",908,"1,185","3,110","2,345",741,"2,254","1,868","2,584","1,418"
2020,11,60,"21,641","5,430","2,097",449,"1,237",846,"1,141","1,869","1,393",583,"1,775","1,467","2,268","1,086"
2020,11,70,"11,561","2,370",939,316,800,466,537,"1,164",653,301,918,904,"1,568",625
2020,11,80,"5,713","1,164",414,201,401,319,267,491,342,160,409,494,722,329
2020,11,90,844,189,69,37,66,61,37,67,53,26,65,55,73,46
2020,11,100,48,7,2,2,6,8,7,1,1,0,10,2,2,0
2020,12,총,"175,588","60,864","17,382","1,630","6,347","3,992","5,411","17,308","10,626","4,552","13,767","10,126","15,906","7,677"
2020,12,0,"16,917","7,921","2,352",38,275,93,220,"1,260",685,391,"1,155",689,"1,245",593
2020,12,10,"16,682","6,102","1,402",53,423,240,271,"2,039",867,538,"1,615",881,"1,597",654
2020,12,20,"18,962","7,278","1,494",71,543,346,581,"2,168","1,347",489,"1,393",989,"1,471",792
2020,12,30,"23,928","10,737","3,238",75,462,246,508,"1,734","1,294",499,"1,543","1,091","1,611",890
2020,12,40,"29,912","10,937","2,932",108,783,453,653,"3,373","1,639",824,"2,592","1,667","2,731","1,220"
2020,12,50,"29,091","8,623","2,417",278,"1,338",901,"1,181","3,129","2,344",735,"2,261","1,877","2,588","1,419"
2020,12,60,"21,827","5,509","2,120",450,"1,244",857,"1,146","1,868","1,397",590,"1,799","1,471","2,283","1,093"
2020,12,70,"11,615","2,386",935,311,805,467,541,"1,171",656,303,918,907,"1,580",635
2020,12,80,"5,751","1,172",422,206,401,322,266,493,343,157,415,496,726,332
2020,12,90,855,192,68,38,67,59,37,72,53,26,66,56,72,49
2020,12,100,48,7,2,2,6,8,7,1,1,0,10,2,2,0
2021,1,총,"175,716","61,169","17,344","1,633","6,347","3,961","5,388","17,276","10,587","4,529","13,754","10,140","15,886","7,702"
2021,1,0,"16,839","7,907","2,337",36,272,92,221,"1,249",673,386,"1,157",686,"1,233",590
2021,1,10,"16,701","6,189","1,392",53,421,229,263,"2,023",860,535,"1,600",885,"1,595",656
2021,1,20,"18,912","7,276","1,482",69,544,329,587,"2,176","1,328",487,"1,387",986,"1,467",794
2021,1,30,"23,781","10,727","3,209",77,466,244,499,"1,707","1,288",492,"1,529","1,077","1,579",887
2021,1,40,"30,001","11,043","2,945",108,777,446,645,"3,362","1,631",822,"2,588","1,676","2,726","1,232"
2021,1,50,"29,093","8,668","2,406",280,"1,322",900,"1,161","3,142","2,339",725,"2,270","1,877","2,592","1,411"
2021,1,60,"22,061","5,585","2,145",451,"1,267",866,"1,161","1,885","1,408",596,"1,805","1,485","2,297","1,110"
2021,1,70,"11,612","2,398",929,312,800,462,536,"1,169",654,305,928,911,"1,574",634
2021,1,80,"5,794","1,176",426,208,403,322,269,489,350,155,413,499,745,339
2021,1,90,873,193,71,37,69,63,39,73,54,26,67,56,76,49
2021,1,100,49,7,2,2,6,8,7,1,2,0,10,2,2,0
2021,2,총,"175,819","61,213","17,340","1,636","6,354","3,956","5,403","17,239","10,583","4,522","13,748","10,165","15,921","7,739"
2021,2,0,"16,777","7,901","2,318",35,271,91,224,"1,233",663,387,"1,148",675,"1,238",593
2021,2,10,"16,713","6,189","1,397",53,420,229,269,"2,025",853,524,"1,604",892,"1,583",675
2021,2,20,"18,878","7,257","1,488",67,545,320,586,"2,150","1,328",487,"1,387",989,"1,477",797
2021,2,30,"23,585","10,662","3,171",75,461,244,500,"1,695","1,271",492,"1,500","1,066","1,563",885
2021,2,40,"30,097","11,119","2,974",112,774,441,652,"3,339","1,632",813,"2,583","1,687","2,728","1,243"
2021,2,50,"29,128","8,693","2,392",279,"1,322",897,"1,155","3,156","2,343",728,"2,268","1,890","2,600","1,405"
2021,2,60,"22,192","5,611","2,164",456,"1,278",874,"1,161","1,884","1,427",599,"1,818","1,492","2,314","1,114"
2021,2,70,"11,666","2,396",934,311,799,466,541,"1,182",656,303,941,912,"1,588",637
2021,2,80,"5,851","1,183",426,208,411,323,266,502,353,161,420,504,752,342
2021,2,90,882,195,74,38,67,63,42,72,55,28,69,56,76,47
2021,2,100,50,7,2,2,6,8,7,1,2,0,10,2,2,1
2021,3,총,"175,843","61,163","17,319","1,630","6,313","3,971","5,352","17,159","10,549","4,539","13,580","10,133","15,764","8,371"
2021,3,0,"16,726","7,841","2,313",35,266,88,221,"1,221",655,390,"1,113",674,"1,205",704
2021,3,10,"16,741","6,201","1,400",52,414,270,268,"1,997",850,528,"1,582",894,"1,557",728
2021,3,20,"18,780","7,202","1,489",65,536,316,580,"2,120","1,317",492,"1,376",979,"1,458",850
2021,3,30,"23,584","10,653","3,152",77,456,235,495,"1,682","1,265",492,"1,468","1,065","1,535","1,009"
2021,3,40,"30,074","11,111","2,980",110,765,436,641,"3,312","1,618",819,"2,544","1,690","2,685","1,363"
2021,3,50,"29,021","8,655","2,375",279,"1,297",896,"1,138","3,169","2,333",725,"2,246","1,861","2,562","1,485"
2021,3,60,"22,423","5,688","2,169",458,"1,296",872,"1,154","1,894","1,451",604,"1,823","1,510","2,333","1,171"
2021,3,70,"11,686","2,412",941,312,795,465,548,"1,184",644,299,938,903,"1,584",661
2021,3,80,"5,898","1,195",424,204,413,322,269,509,359,163,420,501,767,352
2021,3,90,880,200,75,38,71,62,38,70,56,27,67,54,76,46
2021,3,100,30,5,1,0,4,9,0,1,1,0,3,2,2,2
2021,4,총,"176,091","61,167","17,301","1,633","6,300","3,959","5,360","17,189","10,510","4,529","13,521","10,159","15,703","8,760"
2021,4,0,"16,661","7,805","2,298",35,260,83,223,"1,211",648,381,"1,090",678,"1,186",763
2021,4,10,"16,761","6,221","1,415",54,409,272,261,"1,999",841,536,"1,584",889,"1,542",738
2021,4,20,"18,757","7,163","1,478",64,533,316,573,"2,134","1,303",491,"1,359",984,"1,459",900
2021,4,30,"23,537","10,593","3,120",77,450,232,501,"1,688","1,260",486,"1,454","1,073","1,514","1,089"
2021,4,40,"30,126","11,154","2,993",113,768,435,641,"3,284","1,622",821,"2,530","1,679","2,668","1,418"
2021,4,50,"29,054","8,640","2,370",279,"1,298",877,"1,141","3,187","2,320",726,"2,244","1,854","2,556","1,562"
2021,4,60,"22,624","5,749","2,179",459,"1,299",885,"1,165","1,908","1,461",603,"1,833","1,533","2,333","1,217"
2021,4,70,"11,728","2,436",948,311,793,461,544,"1,196",639,293,939,905,"1,593",670
2021,4,80,"5,929","1,200",422,206,414,323,271,513,360,165,420,510,771,354
2021,4,90,885,202,77,35,72,66,40,68,55,27,65,52,79,47
2021,4,100,29,4,1,0,4,9,0,1,1,0,3,2,2,2
2021,5,총,"176,218","61,122","17,317","1,631","6,276","3,948","5,387","17,163","10,508","4,522","13,513","10,191","15,674","8,966"
2021,5,0,"16,591","7,760","2,292",35,253,82,222,"1,200",646,379,"1,092",678,"1,164",788
2021,5,10,"16,782","6,235","1,423",55,412,269,260,"1,990",845,537,"1,580",882,"1,538",756
2021,5,20,"18,675","7,116","1,486",65,526,311,579,"2,128","1,292",481,"1,347",987,"1,450",907
2021,5,30,"23,458","10,510","3,093",75,448,233,514,"1,670","1,256",489,"1,458","1,076","1,504","1,132"
2021,5,40,"30,088","11,172","2,986",110,753,430,643,"3,274","1,617",814,"2,515","1,676","2,654","1,444"
2021,5,50,"29,110","8,669","2,370",270,"1,286",869,"1,141","3,190","2,316",731,"2,251","1,861","2,559","1,597"
2021,5,60,"22,851","5,799","2,213",467,"1,310",890,"1,167","1,915","1,479",605,"1,847","1,560","2,354","1,245"
2021,5,70,"11,772","2,453",951,313,793,465,549,"1,205",634,292,937,904,"1,590",686
2021,5,80,"5,955","1,201",425,205,418,324,272,520,365,167,417,510,775,356
2021,5,90,906,203,77,35,73,66,40,70,57,27,66,55,84,53
2021,5,100,30,4,1,1,4,9,0,1,1,0,3,2,2,2
2021,6,총,"176,378","61,154","17,293","1,627","6,250","3,945","5,398","17,159","10,501","4,515","13,523","10,198","15,710","9,105"
2021,6,0,"16,525","7,729","2,280",34,250,84,227,"1,199",639,374,"1,093",667,"1,150",799
2021,6,10,"16,838","6,276","1,425",56,408,267,253,"1,984",851,546,"1,586",883,"1,541",762
2021,6,20,"18,556","7,066","1,474",62,514,311,578,"2,124","1,265",476,"1,335",979,"1,451",921
2021,6,30,"23,419","10,479","3,062",74,445,233,523,"1,655","1,255",491,"1,455","1,077","1,519","1,151"
2021,6,40,"30,133","11,213","3,003",110,749,426,643,"3,270","1,616",807,"2,507","1,680","2,643","1,466"
2021,6,50,"29,093","8,646","2,369",268,"1,280",868,"1,123","3,193","2,314",728,"2,252","1,861","2,558","1,633"
2021,6,60,"23,057","5,863","2,229",468,"1,318",892,"1,184","1,931","1,490",608,"1,857","1,578","2,376","1,263"
2021,6,70,"11,811","2,454",947,315,786,467,552,"1,210",644,293,948,898,"1,602",695
2021,6,80,"6,001","1,221",427,204,421,322,275,523,365,166,420,517,784,356
2021,6,90,914,203,76,35,75,66,40,69,60,26,67,56,84,57
2021,6,100,31,4,1,1,4,9,0,1,2,0,3,2,2,2
2021,7,총,"176,538","61,216","17,302","1,631","6,246","3,949","5,405","17,159","10,490","4,507","13,564","10,192","15,733","9,144"
2021,7,0,"16,451","7,706","2,268",34,247,80,225,"1,195",639,371,"1,089",659,"1,138",800
2021,7,10,"16,863","6,302","1,429",55,403,273,252,"1,975",845,551,"1,583",888,"1,551",756
2021,7,20,"18,548","7,045","1,471",60,514,318,577,"2,125","1,263",473,"1,347",972,"1,459",924
2021,7,30,"23,372","10,455","3,056",74,448,230,523,"1,656","1,245",483,"1,457","1,068","1,518","1,159"
2021,7,40,"30,120","11,226","3,009",113,738,423,642,"3,246","1,600",802,"2,523","1,689","2,640","1,469"
2021,7,50,"29,128","8,659","2,371",268,"1,273",863,"1,120","3,213","2,314",733,"2,255","1,852","2,565","1,642"
2021,7,60,"23,248","5,933","2,246",472,"1,330",894,"1,197","1,936","1,508",610,"1,872","1,591","2,379","1,280"
2021,7,70,"11,836","2,461",948,314,791,469,553,"1,212",647,288,943,902,"1,612",696
2021,7,80,"6,029","1,227",425,205,424,323,276,531,365,170,424,515,783,361
2021,7,90,911,198,78,35,74,67,40,69,61,26,68,54,86,55
2021,7,100,32,4,1,1,4,9,0,1,3,0,3,2,2,2
2021,8,총,"176,431","61,191","17,281","1,626","6,242","3,942","5,389","17,135","10,480","4,489","13,582","10,214","15,696","9,164"
2021,8,0,"16,340","7,662","2,250",33,237,79,221,"1,186",637,367,"1,069",663,"1,130",806
2021,8,10,"16,886","6,337","1,441",55,401,270,254,"1,959",847,547,"1,590",885,"1,549",751
2021,8,20,"18,432","6,984","1,449",60,515,311,564,"2,124","1,241",475,"1,356",975,"1,448",930
2021,8,30,"23,254","10,433","3,027",74,443,233,513,"1,640","1,255",474,"1,447","1,063","1,498","1,154"
2021,8,40,"30,111","11,240","3,025",115,735,417,643,"3,244","1,587",798,"2,525","1,684","2,633","1,465"
2021,8,50,"29,194","8,677","2,379",266,"1,279",869,"1,122","3,209","2,314",732,"2,275","1,870","2,558","1,644"
2021,8,60,"23,345","5,965","2,251",471,"1,334",894,"1,202","1,955","1,518",613,"1,880","1,594","2,376","1,292"
2021,8,70,"11,862","2,463",952,312,794,470,552,"1,210",647,287,944,906,"1,624",701
2021,8,80,"6,053","1,227",428,204,425,323,278,537,369,166,426,517,790,363
2021,8,90,922,199,78,35,75,67,40,70,62,30,67,55,88,56
2021,8,100,32,4,1,1,4,9,0,1,3,0,3,2,2,2
2021,9,총,"176,376","61,226","17,255","1,627","6,214","3,923","5,383","17,135","10,468","4,473","13,580","10,210","15,701","9,181"
2021,9,0,"16,281","7,648","2,235",32,237,77,218,"1,170",643,353,"1,064",665,"1,127",812
2021,9,10,"16,911","6,384","1,453",57,398,254,253,"1,958",840,551,"1,594",878,"1,542",749
2021,9,20,"18,296","6,933","1,429",60,503,305,559,"2,133","1,232",472,"1,338",973,"1,435",924
2021,9,30,"23,152","10,399","2,996",72,438,236,518,"1,630","1,251",471,"1,444","1,055","1,488","1,154"
2021,9,40,"30,101","11,245","3,034",110,726,410,643,"3,234","1,589",794,"2,530","1,677","2,640","1,469"
2021,9,50,"29,259","8,717","2,385",271,"1,275",862,"1,126","3,222","2,300",735,"2,277","1,877","2,561","1,651"
2021,9,60,"23,434","5,989","2,256",471,"1,337",900,"1,200","1,967","1,525",610,"1,893","1,597","2,386","1,303"
2021,9,70,"11,903","2,476",958,312,795,476,548,"1,212",653,287,943,911,"1,631",701
2021,9,80,"6,080","1,230",430,206,425,325,278,537,372,169,427,521,799,361
2021,9,90,929,201,78,35,77,69,40,71,61,31,67,54,90,55
2021,9,100,30,4,1,1,3,9,0,1,2,0,3,2,2,2
2021,10,총,"176,447","61,284","17,263","1,625","6,212","3,901","5,395","17,104","10,445","4,458","13,624","10,224","15,702","9,210"
2021,10,0,"16,165","7,606","2,225",32,230,75,217,"1,161",634,349,"1,063",659,"1,101",813
2021,10,10,"16,913","6,418","1,461",55,402,243,253,"1,940",841,545,"1,588",879,"1,539",749
2021,10,20,"18,260","6,906","1,433",59,497,295,556,"2,120","1,222",476,"1,353",972,"1,445",926
2021,10,30,"23,107","10,394","2,994",67,438,236,522,"1,632","1,250",458,"1,440","1,060","1,460","1,156"
2021,10,40,"30,027","11,249","3,023",111,726,405,634,"3,212","1,572",799,"2,524","1,662","2,636","1,474"
2021,10,50,"29,426","8,761","2,392",273,"1,279",864,"1,135","3,243","2,312",736,"2,305","1,886","2,580","1,660"
2021,10,60,"23,511","6,022","2,261",469,"1,341",899,"1,203","1,964","1,523",608,"1,901","1,614","2,400","1,306"
2021,10,70,"11,943","2,485",965,313,791,483,558,"1,219",643,289,945,910,"1,636",706
2021,10,80,"6,130","1,238",431,211,428,322,278,541,385,167,434,523,808,364
2021,10,90,933,200,77,34,77,70,39,71,61,31,67,57,95,54
2021,10,100,32,5,1,1,3,9,0,1,2,0,4,2,2,2
2021,11,총,"176,593","61,116","17,802","1,628","6,196","3,858","5,404","17,026","10,393","4,445","13,595","10,195","15,718","9,217"
2021,11,0,"16,073","7,533","2,271",35,227,73,216,"1,146",623,349,"1,047",637,"1,099",817
2021,11,10,"16,922","6,428","1,493",56,401,221,259,"1,929",834,542,"1,588",876,"1,546",749
2021,11,20,"18,237","6,873","1,495",56,491,289,563,"2,104","1,209",473,"1,354",966,"1,444",920
2021,11,30,"23,025","10,272","3,103",69,437,233,523,"1,614","1,236",452,"1,439","1,039","1,457","1,151"
2021,11,40,"30,098","11,275","3,132",110,723,398,625,"3,196","1,562",795,"2,503","1,665","2,631","1,483"
2021,11,50,"29,505","8,751","2,481",269,"1,276",862,"1,137","3,236","2,301",736,"2,317","1,894","2,588","1,657"
