년도,월,나이,전라북도 무주군,전라북도 무주군 무주읍,전라북도 무주군 무풍면,전라북도 무주군 설천면,전라북도 무주군 적상면,전라북도 무주군 안성면,전라북도 무주군 부남면
2020,6,100,18,8,0,0,4,5,1
2020,7,총,"24,014","9,439","2,273","4,036","2,597","4,272","1,397"
2020,7,0,"1,245",763,59,196,65,130,32
2020,7,10,"1,808",973,110,290,121,259,55
2020,7,20,"1,782",863,145,316,149,243,66
2020,7,30,"1,753",909,142,260,133,246,63
2020,7,40,"2,911","1,468",200,508,238,396,101
2020,7,50,"4,214","1,457",460,798,453,788,258
2020,7,60,"4,260","1,252",497,736,533,902,340
2020,7,70,"3,409","1,013",373,544,493,715,271
2020,7,80,"2,288",623,254,342,368,521,180
2020,7,90,325,109,33,46,40,67,30
2020,7,100,19,9,0,0,4,5,1
2020,8,총,"24,024","9,442","2,272","4,059","2,587","4,270","1,394"
2020,8,0,"1,245",762,60,195,66,130,32
2020,8,10,"1,813",971,114,293,120,260,55
2020,8,20,"1,775",857,145,324,145,243,61
2020,8,30,"1,751",908,139,259,131,248,66
2020,8,40,"2,899","1,467",199,506,235,392,100
2020,8,50,"4,215","1,459",453,809,447,789,258
2020,8,60,"4,269","1,257",499,739,539,896,339
2020,8,70,"3,421","1,018",375,547,494,716,271
2020,8,80,"2,290",624,254,343,367,522,180
2020,8,90,324,110,34,42,39,68,31
2020,8,100,22,9,0,2,4,6,1
2020,9,총,"24,032","9,441","2,269","4,065","2,592","4,271","1,394"
2020,9,0,"1,227",744,61,195,66,129,32
2020,9,10,"1,820",983,113,292,119,259,54
2020,9,20,"1,771",854,141,327,146,242,61
2020,9,30,"1,739",897,138,260,130,249,65
2020,9,40,"2,898","1,466",198,502,236,394,102
2020,9,50,"4,232","1,475",452,816,442,789,258
2020,9,60,"4,293","1,261",501,744,543,904,340
2020,9,70,"3,408","1,009",377,545,497,708,272
2020,9,80,"2,295",631,253,342,370,521,178
2020,9,90,327,113,35,40,39,70,30
2020,9,100,22,8,0,2,4,6,2
2020,10,총,"24,034","9,450","2,253","4,065","2,599","4,270","1,397"
2020,10,0,"1,224",744,61,192,64,130,33
2020,10,10,"1,812",985,109,289,118,258,53
2020,10,20,"1,783",861,137,331,147,246,61
2020,10,30,"1,721",887,137,253,133,244,67
2020,10,40,"2,890","1,470",193,503,234,389,101
2020,10,50,"4,230","1,485",445,810,446,790,254
2020,10,60,"4,334","1,264",508,755,549,910,348
2020,10,70,"3,397","1,000",374,547,497,707,272
2020,10,80,"2,297",635,252,343,369,522,176
2020,10,90,325,111,37,40,39,68,30
2020,10,100,21,8,0,2,3,6,2
2020,11,총,"24,031","9,456","2,254","4,060","2,604","4,260","1,397"
2020,11,0,"1,215",745,60,188,64,126,32
2020,11,10,"1,810",981,110,291,117,259,52
2020,11,20,"1,787",862,132,338,148,241,66
2020,11,30,"1,714",888,138,250,130,240,68
2020,11,40,"2,877","1,468",191,500,232,390,96
2020,11,50,"4,239","1,487",447,807,452,792,254
2020,11,60,"4,352","1,272",510,755,552,910,353
2020,11,70,"3,386","1,003",374,542,494,703,270
2020,11,80,"2,301",630,255,347,371,523,175
2020,11,90,330,112,37,40,41,70,30
2020,11,100,20,8,0,2,3,6,1
2020,12,총,"24,036","9,442","2,254","4,052","2,618","4,258","1,412"
2020,12,0,"1,212",740,61,184,65,126,36
2020,12,10,"1,820",986,111,293,118,256,56
2020,12,20,"1,782",870,129,327,148,244,64
2020,12,30,"1,700",876,134,253,128,241,68
2020,12,40,"2,875","1,462",192,501,232,386,102
2020,12,50,"4,205","1,472",444,801,460,778,250
2020,12,60,"4,392","1,283",519,761,554,919,356
2020,12,70,"3,380","1,001",372,539,490,703,275
2020,12,80,"2,317",632,254,349,378,530,174
2020,12,90,331,112,38,42,42,67,30
2020,12,100,22,8,0,2,3,8,1
2021,1,총,"24,046","9,455","2,242","4,063","2,610","4,260","1,416"
2021,1,0,"1,199",728,59,185,65,126,36
2021,1,10,"1,828",994,115,295,116,252,56
2021,1,20,"1,771",875,116,324,146,248,62
2021,1,30,"1,702",880,138,258,125,235,66
2021,1,40,"2,871","1,462",188,501,231,382,107
2021,1,50,"4,180","1,468",443,796,454,772,247
2021,1,60,"4,421","1,296",516,764,556,928,361
2021,1,70,"3,392","1,001",373,540,493,710,275
2021,1,80,"2,325",631,256,356,376,530,176
2021,1,90,335,112,38,42,45,69,29
2021,1,100,22,8,0,2,3,8,1
2021,2,총,"23,990","9,455","2,230","4,051","2,592","4,254","1,408"
2021,2,0,"1,177",723,55,178,63,126,32
2021,2,10,"1,826",993,114,295,115,252,57
2021,2,20,"1,744",865,112,319,145,243,60
2021,2,30,"1,698",883,138,252,119,239,67
2021,2,40,"2,855","1,453",187,503,230,377,105
2021,2,50,"4,159","1,475",436,791,445,767,245
2021,2,60,"4,458","1,310",522,771,562,934,359
2021,2,70,"3,362",992,365,537,484,707,277
2021,2,80,"2,352",638,263,362,381,532,176
2021,2,90,336,114,38,41,45,69,29
2021,2,100,23,9,0,2,3,8,1
2021,3,총,"23,940","9,438","2,233","4,037","2,579","4,246","1,407"
2021,3,0,"1,170",721,55,176,61,125,32
2021,3,10,"1,825",998,109,296,112,254,56
2021,3,20,"1,733",863,117,314,141,241,57
2021,3,30,"1,679",878,137,244,116,238,66
2021,3,40,"2,824","1,442",186,490,228,372,106
2021,3,50,"4,145","1,479",437,789,440,759,241
2021,3,60,"4,497","1,311",522,784,568,948,364
2021,3,70,"3,354",992,366,538,479,700,279
2021,3,80,"2,367",642,266,362,385,535,177
2021,3,90,324,105,37,42,46,66,28
2021,3,100,22,7,1,2,3,8,1
2021,4,총,"23,912","9,423","2,228","4,030","2,586","4,245","1,400"
2021,4,0,"1,152",705,54,174,62,124,33
2021,4,10,"1,812",993,109,289,111,254,56
2021,4,20,"1,736",863,117,315,146,238,57
2021,4,30,"1,676",882,133,246,113,236,66
2021,4,40,"2,813","1,433",188,490,230,371,101
2021,4,50,"4,143","1,484",436,779,443,760,241
2021,4,60,"4,518","1,315",523,796,569,951,364
2021,4,70,"3,332",984,363,538,475,699,273
2021,4,80,"2,374",649,268,358,385,537,177
2021,4,90,334,108,36,43,50,66,31
2021,4,100,22,7,1,2,2,9,1
2021,5,총,"23,917","9,428","2,210","4,044","2,591","4,242","1,402"
2021,5,0,"1,137",699,52,167,62,124,33
2021,5,10,"1,802",993,106,288,112,251,52
2021,5,20,"1,742",864,113,324,147,235,59
2021,5,30,"1,669",883,128,244,111,236,67
2021,5,40,"2,798","1,428",184,492,226,367,101
2021,5,50,"4,156","1,490",436,780,451,759,240
2021,5,60,"4,539","1,315",525,802,572,958,367
2021,5,70,"3,336",994,360,540,473,698,271
2021,5,80,"2,378",650,271,360,384,535,178
2021,5,90,338,105,34,45,51,70,33
2021,5,100,22,7,1,2,2,9,1
2021,6,총,"23,875","9,422","2,201","4,037","2,578","4,236","1,401"
2021,6,0,"1,126",696,51,163,60,122,34
2021,6,10,"1,794",982,106,290,114,249,53
2021,6,20,"1,734",873,107,322,143,231,58
2021,6,30,"1,656",876,126,247,109,233,65
2021,6,40,"2,790","1,422",184,486,226,370,102
2021,6,50,"4,138","1,496",432,779,439,756,236
2021,6,60,"4,564","1,319",530,803,580,963,369
2021,6,70,"3,324",992,355,539,471,698,269
2021,6,80,"2,391",654,274,361,384,537,181
2021,6,90,336,105,35,45,50,68,33
2021,6,100,22,7,1,2,2,9,1
2021,7,총,"23,849","9,414","2,205","4,022","2,577","4,229","1,402"
2021,7,0,"1,108",683,50,158,61,122,34
2021,7,10,"1,793",984,106,286,113,248,56
2021,7,20,"1,721",868,107,325,138,228,55
2021,7,30,"1,660",875,125,248,110,237,65
2021,7,40,"2,769","1,416",184,475,222,371,101
2021,7,50,"4,130","1,495",436,773,443,748,235
2021,7,60,"4,577","1,327",531,806,580,963,370
2021,7,70,"3,313",991,354,539,467,694,268
2021,7,80,"2,415",663,275,364,390,541,182
2021,7,90,340,104,36,46,51,68,35
2021,7,100,23,8,1,2,2,9,1
2021,8,총,"23,834","9,421","2,202","4,008","2,588","4,209","1,406"
2021,8,0,"1,103",677,50,157,62,122,35
2021,8,10,"1,794",989,105,282,117,246,55
2021,8,20,"1,724",876,107,323,138,225,55
2021,8,30,"1,645",866,125,246,111,231,66
2021,8,40,"2,759","1,414",179,474,223,367,102
2021,8,50,"4,125","1,501",440,769,436,744,235
2021,8,60,"4,600","1,337",531,806,589,966,371
2021,8,70,"3,298",984,351,542,462,691,268
2021,8,80,"2,424",666,276,364,395,542,181
2021,8,90,340,103,37,43,53,67,37
2021,8,100,22,8,1,2,2,8,1
2021,9,총,"23,764","9,401","2,188","4,010","2,573","4,194","1,398"
2021,9,0,"1,096",672,49,158,62,119,36
2021,9,10,"1,789",997,100,279,113,246,54
2021,9,20,"1,688",853,103,325,135,217,55
2021,9,30,"1,626",856,126,244,108,225,67
2021,9,40,"2,748","1,411",179,468,224,365,101
2021,9,50,"4,122","1,512",435,773,429,744,229
2021,9,60,"4,616","1,338",533,812,589,972,372
2021,9,70,"3,293",981,347,542,465,690,268
2021,9,80,"2,429",674,277,362,396,540,180
2021,9,90,335,99,38,45,50,68,35
2021,9,100,22,8,1,2,2,8,1
2021,10,총,"23,769","9,419","2,193","3,993","2,582","4,184","1,398"
2021,10,0,"1,080",661,50,154,61,118,36
2021,10,10,"1,792","1,007",102,275,113,241,54
2021,10,20,"1,684",850,104,322,137,215,56
2021,10,30,"1,612",854,123,237,107,224,67
2021,10,40,"2,742","1,412",181,463,224,363,99
2021,10,50,"4,141","1,529",431,783,433,738,227
2021,10,60,"4,624","1,340",538,807,590,980,369
2021,10,70,"3,298",983,348,543,467,686,271
2021,10,80,"2,437",677,276,362,396,542,184
2021,10,90,337,98,39,45,52,69,34
2021,10,100,22,8,1,2,2,8,1
2021,11,총,"23,770","9,445","2,191","3,974","2,580","4,181","1,399"
2021,11,0,"1,075",664,48,148,62,118,35
2021,11,10,"1,771","1,001",102,267,110,239,52
2021,11,20,"1,695",855,105,324,140,214,57
2021,11,30,"1,617",869,123,235,105,220,65
2021,11,40,"2,738","1,413",181,456,224,363,101
2021,11,50,"4,140","1,534",426,781,435,738,226
2021,11,60,"4,646","1,347",538,811,590,985,375
2021,11,70,"3,282",981,349,543,464,678,267
2021,11,80,"2,446",678,276,360,396,550,186
2021,11,90,340,95,42,47,52,70,34
2021,11,100,20,8,1,2,2,6,1
2021,12,총,"23,748","9,426","2,186","3,970","2,576","4,194","1,396"
2021,12,0,"1,066",659,48,144,63,117,35
2021,12,10,"1,772","1,006",102,263,110,240,51
2021,12,20,"1,697",852,102,329,136,222,56
2021,12,30,"1,622",863,126,236,104,226,67
2021,12,40,"2,720","1,402",179,454,224,361,100
2021,12,50,"4,122","1,529",422,772,436,739,224
2021,12,60,"4,664","1,347",546,817,595,987,372
2021,12,70,"3,253",979,343,541,460,667,263
2021,12,80,"2,468",682,276,366,393,558,193
2021,12,90,343,99,41,45,53,71,34
2021,12,100,21,8,1,3,2,6,1
