년도,월,나이,강원도 양양군,강원도 양양군 양양읍,강원도 양양군 서면,강원도 양양군 손양면,강원도 양양군 현북면,강원도 양양군 현남면,강원도 양양군 강현면
2020,5,100,16,2,0,5,3,4,2
2020,6,총,"27,808","12,282","2,895","2,362","2,547","3,079","4,643"
2020,6,0,"1,377",874,73,70,77,89,194
2020,6,10,"1,901","1,136",180,111,94,136,244
2020,6,20,"2,386","1,208",220,197,163,166,432
2020,6,30,"2,379","1,261",178,148,181,247,364
2020,6,40,"3,540","1,893",320,260,237,320,510
2020,6,50,"5,093","2,124",544,457,495,531,942
2020,6,60,"5,362","1,906",640,485,617,707,"1,007"
2020,6,70,"3,667","1,205",467,395,437,530,633
2020,6,80,"1,777",571,234,209,211,290,262
2020,6,90,310,102,39,25,32,59,53
2020,6,100,16,2,0,5,3,4,2
2020,7,총,"27,859","12,348","2,890","2,351","2,548","3,075","4,647"
2020,7,0,"1,370",877,70,68,76,87,192
2020,7,10,"1,898","1,138",179,108,91,137,245
2020,7,20,"2,389","1,225",220,196,159,161,428
2020,7,30,"2,382","1,262",174,152,190,240,364
2020,7,40,"3,547","1,909",318,249,233,326,512
2020,7,50,"5,108","2,132",543,464,496,537,936
2020,7,60,"5,390","1,911",643,481,619,713,"1,023"
2020,7,70,"3,663","1,213",468,391,437,526,628
2020,7,80,"1,786",573,236,214,212,286,265
2020,7,90,310,105,39,23,32,58,53
2020,7,100,16,3,0,5,3,4,1
2020,8,총,"27,868","12,398","2,882","2,343","2,552","3,054","4,639"
2020,8,0,"1,367",877,68,67,76,87,192
2020,8,10,"1,877","1,138",172,105,90,134,238
2020,8,20,"2,376","1,226",221,193,159,152,425
2020,8,30,"2,373","1,264",174,147,194,234,360
2020,8,40,"3,545","1,915",314,250,227,325,514
2020,8,50,"5,121","2,152",544,465,497,533,930
2020,8,60,"5,414","1,921",646,481,621,718,"1,027"
2020,8,70,"3,672","1,220",467,392,434,525,634
2020,8,80,"1,796",577,236,214,219,286,264
2020,8,90,311,105,40,24,32,56,54
2020,8,100,16,3,0,5,3,4,1
2020,9,총,"27,940","12,444","2,885","2,333","2,577","3,066","4,635"
2020,9,0,"1,365",872,71,65,77,88,192
2020,9,10,"1,877","1,140",168,106,89,134,240
2020,9,20,"2,381","1,225",228,189,162,154,423
2020,9,30,"2,380","1,267",170,149,195,235,364
2020,9,40,"3,563","1,931",310,247,232,331,512
2020,9,50,"5,120","2,158",547,465,502,533,915
2020,9,60,"5,442","1,934",645,479,632,718,"1,034"
2020,9,70,"3,672","1,228",468,390,433,520,633
2020,9,80,"1,815",584,238,214,219,293,267
2020,9,90,309,102,40,24,33,56,54
2020,9,100,16,3,0,5,3,4,1
2020,10,총,"27,964","12,471","2,887","2,338","2,578","3,051","4,639"
2020,10,0,"1,360",862,73,68,76,88,193
2020,10,10,"1,859","1,141",167,104,88,125,234
2020,10,20,"2,386","1,229",228,190,162,158,419
2020,10,30,"2,361","1,254",166,150,193,228,370
2020,10,40,"3,557","1,944",312,242,230,325,504
2020,10,50,"5,125","2,165",544,464,502,534,916
2020,10,60,"5,493","1,959",647,489,632,721,"1,045"
2020,10,70,"3,667","1,223",473,383,435,518,635
2020,10,80,"1,824",586,237,218,223,293,267
2020,10,90,316,105,40,25,34,57,55
2020,10,100,16,3,0,5,3,4,1
2020,11,총,"27,926","12,506","2,876","2,332","2,575","3,052","4,585"
2020,11,0,"1,351",867,70,68,76,86,184
2020,11,10,"1,845","1,146",161,101,90,122,225
2020,11,20,"2,410","1,239",231,194,169,160,417
2020,11,30,"2,341","1,255",161,145,191,229,360
2020,11,40,"3,539","1,934",309,242,235,323,496
2020,11,50,"5,111","2,171",540,464,493,534,909
2020,11,60,"5,499","1,975",655,485,623,725,"1,036"
2020,11,70,"3,663","1,219",471,384,437,518,634
2020,11,80,"1,831",591,237,218,224,295,266
2020,11,90,319,106,41,26,34,56,56
2020,11,100,17,3,0,5,3,4,2
2020,12,총,"27,946","12,549","2,877","2,336","2,561","3,054","4,569"
2020,12,0,"1,350",861,70,72,74,93,180
2020,12,10,"1,845","1,149",167,99,92,119,219
2020,12,20,"2,411","1,243",225,195,160,167,421
2020,12,30,"2,340","1,266",158,149,189,228,350
2020,12,40,"3,524","1,926",314,243,232,318,491
2020,12,50,"5,101","2,174",544,459,487,533,904
2020,12,60,"5,539","2,002",651,487,633,722,"1,044"
2020,12,70,"3,648","1,221",472,379,434,512,630
2020,12,80,"1,850",598,233,222,223,301,273
2020,12,90,321,106,43,26,34,57,55
2020,12,100,17,3,0,5,3,4,2
2021,1,총,"27,946","12,585","2,873","2,320","2,568","3,017","4,583"
2021,1,0,"1,358",857,74,72,80,91,184
2021,1,10,"1,818","1,134",168,91,90,117,218
2021,1,20,"2,419","1,268",221,189,156,161,424
2021,1,30,"2,336","1,267",161,147,196,216,349
2021,1,40,"3,522","1,934",312,244,232,313,487
2021,1,50,"5,056","2,169",532,459,475,518,903
2021,1,60,"5,590","2,021",658,487,644,724,"1,056"
2021,1,70,"3,638","1,221",465,376,435,512,629
2021,1,80,"1,870",603,239,225,222,304,277
2021,1,90,323,108,43,26,35,57,54
2021,1,100,16,3,0,4,3,4,2
2021,2,총,"27,980","12,580","2,885","2,315","2,579","3,022","4,599"
2021,2,0,"1,355",842,76,73,84,94,186
2021,2,10,"1,812","1,132",169,89,94,114,214
2021,2,20,"2,407","1,252",218,192,159,160,426
2021,2,30,"2,320","1,254",158,146,195,217,350
2021,2,40,"3,539","1,937",315,240,237,316,494
2021,2,50,"5,043","2,172",532,455,473,509,902
2021,2,60,"5,639","2,043",664,489,646,731,"1,066"
2021,2,70,"3,616","1,217",468,373,429,505,624
2021,2,80,"1,906",615,242,228,224,314,283
2021,2,90,327,113,43,26,35,58,52
2021,2,100,16,3,0,4,3,4,2
2021,3,총,"27,956","12,632","2,864","2,310","2,570","3,009","4,571"
2021,3,0,"1,334",847,63,69,79,96,180
2021,3,10,"1,815","1,142",164,87,93,114,215
2021,3,20,"2,387","1,244",216,196,154,157,420
2021,3,30,"2,315","1,265",157,144,194,215,340
2021,3,40,"3,537","1,944",309,238,238,315,493
2021,3,50,"5,017","2,169",530,446,473,502,897
2021,3,60,"5,676","2,058",668,495,649,734,"1,072"
2021,3,70,"3,618","1,223",471,373,423,508,620
2021,3,80,"1,915",621,243,232,231,308,280
2021,3,90,328,115,42,28,34,57,52
2021,3,100,14,4,1,2,2,3,2
2021,4,총,"27,932","12,672","2,843","2,292","2,573","2,998","4,554"
2021,4,0,"1,324",851,61,61,80,94,177
2021,4,10,"1,816","1,133",164,88,93,118,220
2021,4,20,"2,349","1,247",211,189,144,150,408
2021,4,30,"2,328","1,277",156,145,201,213,336
2021,4,40,"3,499","1,922",305,234,234,312,492
2021,4,50,"5,004","2,177",522,440,470,500,895
2021,4,60,"5,724","2,088",668,500,662,736,"1,070"
2021,4,70,"3,628","1,232",474,373,422,504,623
2021,4,80,"1,919",625,241,232,231,311,279
2021,4,90,327,115,41,28,34,57,52
2021,4,100,14,5,0,2,2,3,2
2021,5,총,"28,006","12,710","2,828","2,289","2,584","3,029","4,566"
2021,5,0,"1,322",852,57,60,79,96,178
2021,5,10,"1,817","1,128",162,89,95,119,224
2021,5,20,"2,374","1,258",210,189,151,157,409
2021,5,30,"2,313","1,269",154,143,199,218,330
2021,5,40,"3,492","1,917",300,230,237,316,492
2021,5,50,"4,993","2,180",523,434,466,500,890
2021,5,60,"5,772","2,113",666,506,665,742,"1,080"
2021,5,70,"3,651","1,243",476,373,423,509,627
2021,5,80,"1,930",631,240,234,232,314,279
2021,5,90,329,115,40,29,35,55,55
2021,5,100,13,4,0,2,2,3,2
2021,6,총,"28,035","12,709","2,833","2,297","2,602","3,022","4,572"
2021,6,0,"1,318",849,55,60,76,96,182
2021,6,10,"1,822","1,134",160,89,94,122,223
2021,6,20,"2,371","1,253",211,191,154,154,408
2021,6,30,"2,282","1,254",153,144,197,210,324
2021,6,40,"3,498","1,920",297,229,246,319,487
2021,6,50,"4,997","2,181",533,434,457,494,898
2021,6,60,"5,821","2,127",666,510,687,745,"1,086"
2021,6,70,"3,641","1,236",474,372,422,510,627
2021,6,80,"1,938",633,244,235,232,313,281
2021,6,90,333,117,40,31,35,56,54
2021,6,100,14,5,0,2,2,3,2
2021,7,총,"28,110","12,748","2,839","2,304","2,606","3,022","4,591"
2021,7,0,"1,309",844,54,62,77,92,180
2021,7,10,"1,821","1,138",158,87,91,119,228
2021,7,20,"2,383","1,247",217,189,159,159,412
2021,7,30,"2,287","1,266",149,148,198,207,319
2021,7,40,"3,504","1,931",294,228,244,321,486
2021,7,50,"4,995","2,185",535,428,450,501,896
2021,7,60,"5,861","2,141",668,519,693,744,"1,096"
2021,7,70,"3,654","1,237",475,375,423,510,634
2021,7,80,"1,944",635,249,233,233,310,284
2021,7,90,339,119,40,33,36,56,55
2021,7,100,13,5,0,2,2,3,1
2021,8,총,"28,086","12,746","2,825","2,307","2,603","3,009","4,596"
2021,8,0,"1,301",839,54,59,76,94,179
2021,8,10,"1,812","1,127",157,91,92,116,229
2021,8,20,"2,381","1,242",217,196,157,152,417
2021,8,30,"2,272","1,255",152,147,195,206,317
2021,8,40,"3,486","1,940",287,221,242,320,476
2021,8,50,"4,991","2,180",526,434,449,498,904
2021,8,60,"5,884","2,161",669,518,695,743,"1,098"
2021,8,70,"3,648","1,240",473,370,423,509,633
2021,8,80,"1,962",641,251,236,234,313,287
2021,8,90,336,116,39,33,38,55,55
2021,8,100,13,5,0,2,2,3,1
2021,9,총,"28,062","12,777","2,828","2,294","2,587","2,998","4,578"
2021,9,0,"1,299",842,55,59,72,94,177
2021,9,10,"1,802","1,123",155,91,91,114,228
2021,9,20,"2,362","1,241",214,192,149,146,420
2021,9,30,"2,277","1,262",154,148,192,208,313
2021,9,40,"3,484","1,946",290,220,240,316,472
2021,9,50,"4,976","2,186",522,429,454,491,894
2021,9,60,"5,894","2,173",669,516,688,749,"1,099"
2021,9,70,"3,645","1,241",477,368,425,506,628
2021,9,80,"1,977",643,254,236,238,316,290
2021,9,90,333,115,38,33,36,55,56
2021,9,100,13,5,0,2,2,3,1
2021,10,총,"28,026","12,765","2,812","2,290","2,590","2,990","4,579"
2021,10,0,"1,288",831,55,60,70,90,182
2021,10,10,"1,790","1,117",152,91,92,114,224
2021,10,20,"2,356","1,236",212,187,159,148,414
2021,10,30,"2,261","1,257",153,148,188,205,310
2021,10,40,"3,457","1,931",283,218,240,312,473
2021,10,50,"4,970","2,189",521,427,449,491,893
2021,10,60,"5,934","2,199",672,521,685,747,"1,110"
2021,10,70,"3,635","1,238",473,367,428,505,624
2021,10,80,"1,991",648,253,237,240,318,295
2021,10,90,331,114,38,32,37,57,53
2021,10,100,13,5,0,2,2,3,1
2021,11,총,"27,977","12,746","2,793","2,291","2,597","2,975","4,575"
2021,11,0,"1,272",819,53,59,71,87,183
2021,11,10,"1,780","1,119",153,90,90,114,214
2021,11,20,"2,350","1,239",201,185,165,147,413
2021,11,30,"2,261","1,246",153,156,184,207,315
2021,11,40,"3,441","1,931",280,215,246,305,464
2021,11,50,"4,964","2,182",515,428,449,484,906
2021,11,60,"5,944","2,202",676,522,686,750,"1,108"
2021,11,70,"3,629","1,240",469,365,426,507,622
2021,11,80,"1,988",648,254,237,240,315,294
2021,11,90,335,115,39,32,38,56,55
2021,11,100,13,5,0,2,2,3,1
2021,12,총,"27,913","12,687","2,786","2,306","2,596","2,967","4,571"
2021,12,0,"1,269",804,53,61,81,87,183
2021,12,10,"1,770","1,116",160,88,88,111,207
2021,12,20,"2,327","1,224",194,187,159,152,411
2021,12,30,"2,244","1,223",152,157,192,208,312
2021,12,40,"3,444","1,933",280,219,245,304,463
2021,12,50,"4,938","2,161",513,436,444,481,903
2021,12,60,"5,943","2,208",668,519,681,747,"1,120"
2021,12,70,"3,632","1,237",471,364,429,504,627
2021,12,80,"2,003",659,255,241,239,316,293
2021,12,90,331,116,40,32,36,55,52
2021,12,100,12,6,0,2,2,2,0
