년도,월,나이,부산광역시 남구,부산광역시 남구 대연제1동,부산광역시 남구 대연제3동,부산광역시 남구 대연제4동,부산광역시 남구 대연제5동,부산광역시 남구 대연제6동,부산광역시 남구 용호제1동,부산광역시 남구 용호제2동,부산광역시 남구 용호제3동,부산광역시 남구 용호제4동,부산광역시 남구 용당동,부산광역시 남구 감만제1동,부산광역시 남구 감만제2동,부산광역시 남구 우암동,부산광역시 남구 문현제1동,부산광역시 남구 문현제2동,부산광역시 남구 문현제3동,부산광역시 남구 문현제4동
2020,6,20,"16,648","1,630","3,092",623,"1,301",900,"2,355",770,668,457,413,686,314,607,829,672,851,480
2020,6,30,"15,308",862,"2,250",915,"1,043","1,202","2,363",971,533,538,360,692,320,630,714,632,873,410
2020,6,40,"21,279",984,"2,954",889,"1,372","1,382","4,263","1,502",838,688,622,953,492,909,"1,140",531,"1,146",614
2020,6,50,"22,279","1,190","2,468","1,037","1,268","1,157","4,066","1,451","1,172",737,696,"1,202",592,"1,141","1,315",658,"1,291",838
2020,6,60,"21,751","1,343","1,787","1,073","1,330","1,011","3,243","1,487","1,351",886,662,"1,350",755,"1,468","1,193",693,"1,190",929
2020,6,70,"13,638",902,"1,005",774,874,550,"1,907",766,846,479,417,893,536,888,827,588,722,664
2020,6,80,"5,662",337,459,307,347,223,821,352,324,174,145,343,205,385,346,310,309,275
2020,6,90,885,47,81,36,44,38,145,63,48,29,30,47,24,86,48,40,39,40
2020,6,100,110,9,12,9,5,7,6,8,7,7,1,12,2,8,4,7,2,4
2020,7,총,"137,916","8,077","17,082","6,559","8,837","8,116","23,527","8,954","6,516","4,598","3,963","7,003","3,631","6,873","7,433","4,503","7,561","4,683"
2020,7,0,"9,138",306,"1,401",516,539,959,"1,795",733,273,257,238,357,154,297,416,178,507,212
2020,7,10,"11,397",487,"1,580",411,749,708,"2,563",858,463,353,381,467,242,461,629,186,599,260
2020,7,20,"16,599","1,629","3,102",609,"1,293",883,"2,354",768,665,454,408,688,307,604,827,678,856,474
2020,7,30,"15,185",841,"2,232",912,"1,026","1,190","2,352",970,535,537,361,684,317,627,704,620,873,404
2020,7,40,"21,213",986,"2,950",873,"1,370","1,385","4,245","1,500",829,678,623,954,494,903,"1,129",535,"1,151",608
2020,7,50,"22,235","1,186","2,467","1,032","1,263","1,165","4,058","1,448","1,161",742,696,"1,198",591,"1,137","1,312",659,"1,295",825
2020,7,60,"21,764","1,334","1,785","1,080","1,330",995,"3,258","1,483","1,366",888,662,"1,351",751,"1,469","1,189",700,"1,202",921
2020,7,70,"13,708",914,"1,009",770,874,562,"1,926",770,848,481,419,895,541,894,830,591,727,657
2020,7,80,"5,675",336,460,309,346,221,824,354,323,172,144,349,207,387,344,310,311,278
2020,7,90,890,49,84,38,42,41,146,62,46,29,30,48,24,86,49,38,38,40
2020,7,100,112,9,12,9,5,7,6,8,7,7,1,12,3,8,4,8,2,4
2020,8,총,"137,678","8,078","17,077","6,512","8,798","8,101","23,452","8,926","6,506","4,582","3,957","6,948","3,604","6,844","7,355","4,476","7,836","4,626"
2020,8,0,"9,100",306,"1,402",504,526,955,"1,777",738,272,253,232,355,152,295,405,177,545,206
2020,8,10,"11,300",481,"1,580",407,730,704,"2,543",848,462,347,379,458,236,452,617,179,624,253
2020,8,20,"16,608","1,639","3,121",602,"1,304",890,"2,333",768,662,453,412,680,301,600,818,674,888,463
2020,8,30,"15,078",833,"2,229",896,"1,007","1,176","2,330",953,529,530,357,679,314,617,682,615,929,402
2020,8,40,"21,145",988,"2,926",864,"1,364","1,395","4,233","1,504",828,679,623,941,486,894,"1,106",524,"1,201",589
2020,8,50,"22,152","1,176","2,453","1,023","1,268","1,152","4,040","1,434","1,156",744,697,"1,189",584,"1,133","1,296",661,"1,329",817
2020,8,60,"21,862","1,339","1,800","1,088","1,333",997,"3,287","1,489","1,365",890,658,"1,342",756,"1,474","1,201",703,"1,222",918
2020,8,70,"13,734",915,"1,018",767,870,563,"1,930",774,850,476,422,895,539,893,835,584,741,662
2020,8,80,"5,697",342,454,315,349,222,827,347,326,173,145,351,207,394,344,312,318,271
2020,8,90,890,50,82,37,42,40,146,63,49,30,31,46,26,84,47,39,37,41
2020,8,100,112,9,12,9,5,7,6,8,7,7,1,12,3,8,4,8,2,4
2020,9,총,"137,506","8,051","17,067","6,505","8,737","8,098","23,416","8,928","6,517","4,567","3,967","6,898","3,597","6,825","7,314","4,456","7,981","4,582"
2020,9,0,"9,039",295,"1,382",514,510,951,"1,776",732,273,243,231,350,148,296,403,171,562,202
2020,9,10,"11,253",479,"1,567",405,726,708,"2,530",843,460,349,374,459,237,447,615,182,623,249
2020,9,20,"16,623","1,627","3,153",603,"1,296",885,"2,324",769,675,449,415,678,300,599,807,671,911,461
2020,9,30,"15,004",829,"2,209",893,995,"1,183","2,306",952,523,519,357,663,305,614,666,611,979,400
2020,9,40,"21,098",984,"2,932",868,"1,349","1,384","4,219","1,502",827,680,626,937,487,887,"1,108",522,"1,212",574
2020,9,50,"22,080","1,181","2,437","1,015","1,264","1,157","4,030","1,435","1,153",738,693,"1,176",580,"1,127","1,288",653,"1,341",812
2020,9,60,"21,944","1,336","1,818","1,083","1,334","1,004","3,318","1,491","1,367",899,671,"1,342",758,"1,472","1,206",706,"1,230",909
2020,9,70,"13,731",914,"1,020",763,866,563,"1,936",781,855,474,423,878,541,893,828,581,761,654
2020,9,80,"5,737",347,452,317,352,219,828,351,327,180,146,356,211,398,341,313,322,277
2020,9,90,883,50,84,35,40,37,143,64,50,29,30,47,27,84,48,37,38,40
2020,9,100,114,9,13,9,5,7,6,8,7,7,1,12,3,8,4,9,2,4
2020,10,총,"137,178","8,017","17,044","6,477","8,692","8,095","23,395","8,875","6,486","4,562","3,968","6,846","3,595","6,772","7,285","4,453","8,070","4,546"
2020,10,0,"8,976",293,"1,379",508,504,946,"1,775",718,268,240,229,344,148,295,388,173,573,195
2020,10,10,"11,173",473,"1,548",408,716,719,"2,513",841,452,348,374,455,236,430,605,184,628,243
2020,10,20,"16,618","1,609","3,151",607,"1,299",877,"2,346",764,679,449,415,667,301,589,814,674,913,464
2020,10,30,"14,870",819,"2,210",888,968,"1,173","2,288",930,519,509,355,647,303,604,660,603,"1,003",391
2020,10,40,"21,011",978,"2,927",857,"1,337","1,398","4,199","1,497",818,679,618,930,487,880,"1,091",527,"1,226",562
2020,10,50,"22,027","1,186","2,430","1,012","1,255","1,158","4,032","1,425","1,151",733,702,"1,176",570,"1,113","1,288",641,"1,341",814
2020,10,60,"22,022","1,341","1,821","1,078","1,351","1,001","3,319","1,497","1,368",911,673,"1,340",770,"1,474","1,208",713,"1,252",905
2020,10,70,"13,717",910,"1,020",761,863,559,"1,944",778,851,477,424,869,541,894,830,578,768,650
2020,10,80,"5,770",349,460,315,355,219,835,352,323,180,147,361,208,407,346,311,323,279
2020,10,90,882,51,85,35,40,37,139,65,50,29,30,45,27,78,51,40,41,39
2020,10,100,112,8,13,8,4,8,5,8,7,7,1,12,4,8,4,9,2,4
2020,11,총,"136,939","7,981","17,057","6,454","8,683","8,086","23,384","8,857","6,481","4,544","3,972","6,803","3,581","6,739","7,234","4,434","8,142","4,507"
2020,11,0,"8,902",284,"1,383",503,502,933,"1,767",709,266,240,229,335,145,288,379,172,578,189
2020,11,10,"11,145",467,"1,529",411,712,723,"2,512",849,456,344,376,454,233,432,594,182,628,243
2020,11,20,"16,605","1,611","3,170",597,"1,299",882,"2,334",763,670,448,413,660,299,576,815,676,928,464
2020,11,30,"14,786",808,"2,209",878,967,"1,143","2,276",926,517,504,350,648,294,604,640,603,"1,031",388
2020,11,40,"20,926",969,"2,912",866,"1,331","1,412","4,176","1,491",818,670,622,920,489,869,"1,088",519,"1,224",550
2020,11,50,"21,974","1,178","2,445",996,"1,253","1,159","4,054","1,416","1,134",733,703,"1,160",561,"1,098","1,282",635,"1,357",810
2020,11,60,"22,073","1,341","1,835","1,085","1,352","1,005","3,318","1,498","1,379",916,676,"1,348",770,"1,481","1,206",709,"1,261",893
2020,11,70,"13,728",917,"1,019",759,867,560,"1,952",781,859,475,423,862,548,894,827,576,763,646
2020,11,80,"5,813",348,458,315,354,225,852,352,323,180,149,362,212,411,350,312,330,280
2020,11,90,873,48,84,36,42,36,138,64,52,27,30,42,26,78,49,41,40,40
2020,11,100,114,10,13,8,4,8,5,8,7,7,1,12,4,8,4,9,2,4
2020,12,총,"136,694","7,971","16,991","6,457","8,687","8,096","23,331","8,790","6,492","4,523","3,997","6,776","3,566","6,706","7,197","4,430","8,195","4,489"
2020,12,0,"8,842",284,"1,364",509,504,925,"1,761",696,266,242,230,336,145,279,368,171,578,184
2020,12,10,"11,098",462,"1,507",413,695,731,"2,513",841,456,338,377,450,231,434,599,176,630,245
2020,12,20,"16,622","1,626","3,188",598,"1,311",880,"2,324",755,666,436,423,654,296,568,811,694,927,465
2020,12,30,"14,710",793,"2,194",878,969,"1,143","2,252",913,520,507,356,644,291,599,628,591,"1,049",383
2020,12,40,"20,838",963,"2,893",863,"1,333","1,416","4,161","1,472",817,660,622,911,480,860,"1,084",529,"1,226",548
2020,12,50,"21,930","1,173","2,434",995,"1,252","1,160","4,046","1,418","1,134",730,709,"1,146",557,"1,094","1,275",628,"1,373",806
2020,12,60,"22,096","1,335","1,830","1,080","1,358","1,006","3,320","1,502","1,389",911,674,"1,355",773,"1,481","1,216",711,"1,265",890
2020,12,70,"13,742",925,"1,029",761,864,565,"1,963",773,859,482,423,860,554,894,816,570,763,641
2020,12,80,"5,828",351,453,314,355,225,850,349,328,183,150,367,209,410,348,311,341,284
2020,12,90,874,49,86,38,41,38,136,63,51,27,32,41,26,78,48,40,41,39
2020,12,100,114,10,13,8,5,7,5,8,6,7,1,12,4,9,4,9,2,4
2021,1,총,"136,559","7,967","16,940","6,468","8,713","8,108","23,330","8,783","6,462","4,494","4,032","6,748","3,540","6,702","7,175","4,422","8,205","4,470"
2021,1,0,"8,749",282,"1,348",504,503,917,"1,732",689,263,238,233,326,140,282,361,170,581,180
2021,1,10,"11,054",454,"1,499",410,688,728,"2,531",842,451,333,373,445,226,435,595,175,632,237
2021,1,20,"16,558","1,628","3,152",606,"1,333",882,"2,305",750,652,444,424,657,286,564,802,692,916,465
2021,1,30,"14,663",787,"2,177",866,973,"1,145","2,234",915,515,494,369,646,290,596,623,593,"1,054",386
2021,1,40,"20,824",974,"2,901",878,"1,329","1,418","4,150","1,466",810,655,625,899,472,860,"1,080",540,"1,226",541
2021,1,50,"21,899","1,160","2,431",985,"1,262","1,177","4,061","1,403","1,134",717,708,"1,142",558,"1,089","1,267",618,"1,381",806
2021,1,60,"22,155","1,336","1,838","1,084","1,345","1,010","3,348","1,514","1,388",905,687,"1,352",775,"1,478","1,229",708,"1,269",889
2021,1,70,"13,784",929,"1,035",770,874,560,"1,965",781,854,491,431,855,554,903,816,568,759,639
2021,1,80,"5,868",358,456,317,358,225,863,348,337,183,148,371,208,406,351,310,343,286
2021,1,90,894,50,91,40,43,39,137,67,52,27,33,43,27,80,47,39,42,37
2021,1,100,111,9,12,8,5,7,4,8,6,7,1,12,4,9,4,9,2,4
2021,2,총,"136,366","7,949","16,910","6,456","8,743","8,101","23,257","8,766","6,455","4,492","4,058","6,706","3,525","6,693","7,161","4,439","8,209","4,446"
2021,2,0,"8,691",277,"1,351",504,501,916,"1,711",685,257,239,232,323,134,276,361,167,582,175
2021,2,10,"11,051",453,"1,522",411,696,727,"2,519",840,447,327,379,440,227,439,589,176,627,232
2021,2,20,"16,476","1,623","3,092",598,"1,362",874,"2,278",742,655,446,424,654,284,561,799,707,916,461
2021,2,30,"14,546",771,"2,167",861,968,"1,142","2,195",921,514,484,370,635,287,592,624,596,"1,041",378
2021,2,40,"20,779",981,"2,896",881,"1,325","1,420","4,133","1,450",806,657,630,890,474,866,"1,068",537,"1,229",536
2021,2,50,"21,885","1,155","2,425",979,"1,264","1,178","4,083","1,406","1,122",721,716,"1,133",555,"1,070","1,274",625,"1,376",803
2021,2,60,"22,213","1,335","1,850","1,083","1,349","1,010","3,359","1,512","1,398",908,692,"1,351",773,"1,485","1,226",706,"1,285",891
2021,2,70,"13,776",931,"1,040",771,871,561,"1,968",781,853,486,429,857,545,906,814,565,760,638
2021,2,80,"5,929",365,461,319,359,227,868,353,345,190,151,367,216,407,352,311,349,289
2021,2,90,910,49,95,41,43,39,139,68,52,27,34,44,26,82,50,40,42,39
2021,2,100,110,9,11,8,5,7,4,8,6,7,1,12,4,9,4,9,2,4
2021,3,총,"135,679","7,924","16,881","6,419","8,720","8,074","23,202","8,675","6,431","4,475","4,049","6,645","3,499","6,608","7,109","4,364","8,193","4,411"
2021,3,0,"8,667",277,"1,344",504,504,914,"1,699",682,254,234,238,318,133,277,363,171,584,171
2021,3,10,"11,058",461,"1,549",415,691,726,"2,508",841,449,328,378,438,224,437,583,173,624,233
2021,3,20,"16,443","1,639","3,109",605,"1,374",869,"2,263",733,650,438,427,648,282,552,790,688,924,452
2021,3,30,"14,437",775,"2,136",847,961,"1,127","2,187",919,508,476,376,619,283,589,625,597,"1,039",373
2021,3,40,"20,637",966,"2,888",871,"1,313","1,424","4,113","1,424",802,660,627,879,472,850,"1,065",527,"1,225",531
2021,3,50,"21,702","1,137","2,411",977,"1,257","1,175","4,085","1,374","1,114",714,709,"1,114",547,"1,056","1,261",601,"1,376",794
2021,3,60,"22,162","1,313","1,858","1,083","1,341","1,013","3,372","1,509","1,397",916,683,"1,348",776,"1,479","1,213",705,"1,275",881
2021,3,70,"13,696",931,"1,029",752,873,557,"1,972",776,856,484,426,859,536,893,808,546,752,646
2021,3,80,"5,934",369,458,323,358,228,860,348,350,195,150,366,218,399,355,314,353,290
2021,3,90,891,48,96,40,47,40,142,64,48,25,35,44,26,74,46,39,41,36
2021,3,100,52,8,3,2,1,1,1,5,3,5,0,12,2,2,0,3,0,4
2021,4,총,"135,408","7,889","16,842","6,405","8,735","8,061","23,180","8,653","6,388","4,466","4,066","6,599","3,488","6,590","7,105","4,356","8,169","4,416"
2021,4,0,"8,603",270,"1,344",500,496,912,"1,687",681,250,231,239,309,131,274,359,172,577,171
2021,4,10,"11,033",461,"1,537",415,692,726,"2,498",844,434,329,375,436,222,439,585,175,627,238
2021,4,20,"16,406","1,642","3,105",601,"1,386",861,"2,262",724,650,435,435,640,282,551,784,681,919,448
2021,4,30,"14,303",761,"2,122",834,975,"1,118","2,144",914,497,475,369,611,285,576,625,596,"1,030",371
2021,4,40,"20,614",963,"2,893",874,"1,303","1,428","4,117","1,418",790,651,638,874,472,847,"1,067",522,"1,222",535
2021,4,50,"21,645","1,120","2,403",968,"1,273","1,171","4,093","1,366","1,102",710,711,"1,106",541,"1,049","1,264",599,"1,375",794
2021,4,60,"22,162","1,315","1,861","1,099","1,326","1,012","3,382","1,510","1,400",923,683,"1,337",771,"1,477","1,204",703,"1,280",879
2021,4,70,"13,719",933,"1,032",748,874,556,"1,977",778,857,485,430,863,538,902,806,546,745,649
2021,4,80,"5,975",367,448,325,362,236,877,347,357,197,150,370,217,396,361,318,355,292
2021,4,90,894,49,93,39,47,40,142,66,48,25,35,41,27,77,50,41,39,35
2021,4,100,54,8,4,2,1,1,1,5,3,5,1,12,2,2,0,3,0,4
2021,5,총,"135,156","7,875","16,801","6,405","8,732","8,041","23,166","8,626","6,353","4,466","4,063","6,557","3,474","6,583","7,100","4,362","8,139","4,413"
2021,5,0,"8,514",263,"1,329",496,497,906,"1,678",669,246,230,238,304,130,269,350,168,573,168
2021,5,10,"11,024",460,"1,526",414,687,730,"2,494",848,429,335,376,431,218,440,589,178,631,238
2021,5,20,"16,392","1,647","3,118",598,"1,391",859,"2,271",725,635,430,435,620,285,551,776,682,913,456
2021,5,30,"14,168",753,"2,095",837,975,"1,102","2,130",894,489,473,364,610,276,572,628,598,"1,008",364
2021,5,40,"20,549",957,"2,893",878,"1,301","1,424","4,107","1,421",786,650,635,867,466,838,"1,063",516,"1,221",526
2021,5,50,"21,612","1,113","2,403",966,"1,263","1,176","4,089","1,365","1,094",697,713,"1,105",542,"1,054","1,261",609,"1,363",799
2021,5,60,"22,195","1,325","1,868","1,093","1,336","1,008","3,391","1,510","1,408",933,681,"1,334",773,"1,474","1,211",700,"1,274",876
2021,5,70,"13,732",929,"1,026",754,874,557,"1,978",779,858,486,430,863,532,909,808,543,754,652
2021,5,80,"6,016",372,446,329,361,238,880,345,357,203,154,370,223,396,363,325,361,293
2021,5,90,901,48,93,38,47,40,147,65,48,24,36,41,27,78,51,40,41,37
2021,5,100,53,8,4,2,0,1,1,5,3,5,1,12,2,2,0,3,0,4
2021,6,총,"134,899","7,873","16,732","6,386","8,733","8,061","23,097","8,621","6,351","4,431","4,058","6,538","3,470","6,564","7,092","4,358","8,133","4,401"
2021,6,0,"8,461",263,"1,307",503,497,908,"1,655",668,244,226,236,300,130,268,344,170,575,167
2021,6,10,"10,992",458,"1,532",413,684,731,"2,476",850,427,331,377,434,213,434,588,178,630,236
2021,6,20,"16,287","1,640","3,113",587,"1,392",852,"2,259",714,628,422,433,612,281,545,775,681,901,452
2021,6,30,"14,129",760,"2,061",838,975,"1,102","2,113",905,492,471,358,608,278,565,626,599,"1,008",370
2021,6,40,"20,493",954,"2,887",878,"1,293","1,436","4,079","1,410",789,644,633,865,464,839,"1,057",524,"1,221",520
2021,6,50,"21,583","1,113","2,398",949,"1,271","1,177","4,095","1,368","1,093",698,717,"1,102",542,"1,046","1,265",601,"1,356",792
2021,6,60,"22,211","1,326","1,868","1,093","1,341","1,018","3,413","1,498","1,407",921,686,"1,331",778,"1,473","1,204",695,"1,281",878
2021,6,70,"13,753",931,"1,021",754,871,558,"1,978",787,861,489,429,861,527,919,820,541,762,644
2021,6,80,"6,039",373,447,331,363,238,877,350,360,201,154,372,229,396,363,326,358,301
2021,6,90,898,47,94,38,46,40,151,66,47,23,34,41,26,77,50,40,41,37
2021,6,100,53,8,4,2,0,1,1,5,3,5,1,12,2,2,0,3,0,4
2021,7,총,"134,782","7,873","16,715","6,378","8,758","8,048","23,072","8,619","6,367","4,447","4,058","6,498","3,455","6,560","7,077","4,354","8,122","4,381"
2021,7,0,"8,424",259,"1,308",499,495,895,"1,654",664,246,227,235,299,129,266,341,168,579,160
2021,7,10,"10,996",456,"1,534",410,685,741,"2,471",853,432,331,375,430,213,430,593,175,631,236
2021,7,20,"16,256","1,647","3,100",575,"1,407",846,"2,247",715,630,425,431,601,279,549,766,694,886,458
2021,7,30,"14,067",759,"2,056",832,975,"1,094","2,104",891,490,475,363,599,274,564,634,595,"1,002",360
2021,7,40,"20,437",952,"2,882",877,"1,295","1,440","4,073","1,410",789,643,626,854,464,834,"1,050",519,"1,212",517
2021,7,50,"21,561","1,110","2,402",957,"1,279","1,171","4,093","1,368","1,093",701,726,"1,092",533,"1,040","1,256",599,"1,356",785
2021,7,60,"22,238","1,326","1,877","1,089","1,339","1,023","3,409","1,502","1,409",921,684,"1,337",774,"1,476","1,209",698,"1,285",880
2021,7,70,"13,791",938,"1,027",763,873,559,"1,982",798,859,494,426,862,530,920,809,538,771,642
2021,7,80,"6,064",375,439,334,364,238,885,347,366,202,157,370,230,402,370,323,359,303
2021,7,90,896,43,87,40,46,40,153,66,50,23,34,42,27,77,49,42,41,36
2021,7,100,52,8,3,2,0,1,1,5,3,5,1,12,2,2,0,3,0,4
2021,8,총,"134,623","7,872","16,710","6,351","8,782","8,023","23,042","8,613","6,361","4,445","4,073","6,462","3,453","6,540","7,058","4,354","8,115","4,369"
2021,8,0,"8,372",255,"1,299",495,497,884,"1,643",668,243,225,240,294,128,263,340,166,574,158
2021,8,10,"10,972",457,"1,528",411,684,753,"2,462",853,428,328,369,431,211,429,579,174,636,239
2021,8,20,"16,250","1,649","3,122",564,"1,421",827,"2,231",712,627,433,437,589,281,542,771,701,887,456
2021,8,30,"13,974",757,"2,039",834,971,"1,079","2,100",877,493,469,365,592,276,565,616,594,992,355
