년도,월,나이,경기도 이천시,경기도 이천시 장호원읍,경기도 이천시 부발읍,경기도 이천시 신둔면,경기도 이천시 백사면,경기도 이천시 호법면,경기도 이천시 마장면,경기도 이천시 대월면,경기도 이천시 모가면,경기도 이천시 설성면,경기도 이천시 율면,경기도 이천시 창전동,경기도 이천시 증포동,경기도 이천시 중리동,경기도 이천시 관고동
2020,5,20,"29,489","1,586","4,860","1,628","1,292",675,"1,948","2,483",405,416,199,"2,795","6,703","2,976","1,523"
2020,5,30,"30,739","1,564","5,222","1,777","1,255",665,"2,243","2,584",366,396,142,"2,231","8,557","2,362","1,375"
2020,5,40,"34,872","2,087","6,777","1,935","1,628",733,"1,853","2,093",506,511,258,"2,628","10,451","1,897","1,515"
2020,5,50,"35,131","2,553","5,455","2,528","2,149","1,111","1,901","2,011",889,914,467,"3,088","7,739","2,365","1,961"
2020,5,60,"24,585","2,298","3,220","1,943","1,644","1,016","1,487","1,467",928,989,643,"2,315","3,361","1,793","1,481"
2020,5,70,"12,906","1,417","1,567",987,910,568,822,875,549,665,404,"1,117","1,408",918,699
2020,5,80,"6,554",787,777,441,481,311,409,388,350,414,334,479,684,413,286
2020,5,90,932,90,99,81,89,49,65,70,40,63,48,50,95,53,40
2020,5,100,66,10,6,7,4,1,6,5,2,7,4,4,2,5,3
2020,6,총,"218,465","14,801","36,096","13,600","11,118","6,207","13,796","14,512","4,452","4,822","2,688","17,316","53,981","14,759","10,317"
2020,6,0,"19,432","1,014","3,478","1,060",817,331,"1,382","1,277",156,194,71,"1,032","7,055",971,594
2020,6,10,"23,356","1,408","4,539","1,137",850,715,"1,586","1,238",260,240,122,"1,578","7,903",954,826
2020,6,20,"29,636","1,571","4,916","1,653","1,282",702,"1,994","2,503",403,406,193,"2,777","6,708","3,009","1,519"
2020,6,30,"30,734","1,545","5,228","1,796","1,255",663,"2,251","2,580",357,401,144,"2,235","8,520","2,389","1,370"
2020,6,40,"34,856","2,083","6,763","1,937","1,622",733,"1,852","2,103",512,511,257,"2,633","10,455","1,884","1,511"
2020,6,50,"35,092","2,549","5,461","2,544","2,148","1,110","1,905","1,996",887,913,462,"3,062","7,748","2,346","1,961"
2020,6,60,"24,850","2,325","3,257","1,962","1,667","1,025","1,513","1,475",933,"1,000",643,"2,334","3,396","1,818","1,502"
2020,6,70,"12,926","1,417","1,569",984,902,571,826,875,548,667,405,"1,126","1,416",914,706
2020,6,80,"6,582",788,779,438,484,308,416,390,354,419,338,484,683,414,287
2020,6,90,936,90,101,83,87,48,65,71,40,64,49,51,94,55,38
2020,6,100,65,11,5,6,4,1,6,4,2,7,4,4,3,5,3
2020,7,총,"218,954","14,797","36,035","13,615","11,175","6,298","14,167","14,537","4,457","4,807","2,695","17,313","54,002","14,788","10,268"
2020,7,0,"19,354",999,"3,451","1,055",812,324,"1,407","1,273",159,189,70,"1,025","7,025",972,593
2020,7,10,"23,630","1,412","4,523","1,134",852,790,"1,829","1,246",258,242,124,"1,558","7,900",950,812
2020,7,20,"29,739","1,569","4,928","1,649","1,287",728,"2,030","2,509",397,403,193,"2,801","6,720","3,017","1,508"
2020,7,30,"30,686","1,531","5,186","1,801","1,264",652,"2,272","2,570",358,399,145,"2,239","8,502","2,413","1,354"
2020,7,40,"34,844","2,076","6,776","1,943","1,619",737,"1,865","2,106",514,502,255,"2,616","10,470","1,864","1,501"
2020,7,50,"35,155","2,555","5,458","2,543","2,173","1,100","1,921","2,006",883,919,462,"3,062","7,778","2,345","1,950"
2020,7,60,"24,948","2,340","3,263","1,979","1,666","1,027","1,520","1,483",940,994,650,"2,337","3,409","1,829","1,511"
2020,7,70,"12,982","1,418","1,565",990,914,579,833,881,552,673,402,"1,129","1,420",917,709
2020,7,80,"6,620",796,782,433,496,312,421,388,353,417,342,492,680,419,289
2020,7,90,932,90,98,82,88,48,63,70,41,63,48,50,96,57,38
2020,7,100,64,11,5,6,4,1,6,5,2,6,4,4,2,5,3
2020,8,총,"219,537","14,771","36,015","13,661","11,192","6,431","14,690","14,530","4,461","4,792","2,688","17,293","53,994","14,773","10,246"
2020,8,0,"19,254",995,"3,423","1,060",809,317,"1,459","1,265",153,187,67,"1,013","6,966",962,578
2020,8,10,"23,815","1,397","4,515","1,136",865,884,"1,963","1,237",262,241,124,"1,553","7,890",946,802
2020,8,20,"29,894","1,557","4,937","1,649","1,280",774,"2,123","2,507",395,398,192,"2,809","6,749","3,012","1,512"
2020,8,30,"30,719","1,538","5,177","1,817","1,270",650,"2,369","2,550",360,394,141,"2,233","8,450","2,416","1,354"
2020,8,40,"34,858","2,061","6,753","1,933","1,628",736,"1,917","2,117",514,507,254,"2,602","10,481","1,864","1,491"
2020,8,50,"35,197","2,546","5,459","2,537","2,159","1,099","1,978","2,010",883,912,457,"3,048","7,818","2,339","1,952"
2020,8,60,"25,150","2,363","3,290","2,008","1,673","1,027","1,541","1,495",939,997,659,"2,359","3,443","1,837","1,519"
2020,8,70,"13,010","1,420","1,578",992,911,584,844,879,558,673,403,"1,126","1,412",919,711
2020,8,80,"6,638",793,781,439,503,312,426,394,355,415,339,495,685,417,284
2020,8,90,939,90,98,84,89,47,64,71,40,63,48,51,98,56,40
2020,8,100,63,11,4,6,5,1,6,5,2,5,4,4,2,5,3
2020,9,총,"219,531","14,729","36,032","13,700","11,163","6,385","14,736","14,507","4,443","4,783","2,687","17,289","54,004","14,798","10,275"
2020,9,0,"19,169",984,"3,404","1,057",793,316,"1,471","1,263",153,188,68,"1,004","6,924",961,583
2020,9,10,"23,663","1,396","4,504","1,116",867,834,"1,906","1,238",258,233,124,"1,555","7,888",947,797
2020,9,20,"29,913","1,534","4,948","1,659","1,274",771,"2,143","2,498",388,396,187,"2,810","6,780","3,014","1,511"
2020,9,30,"30,674","1,538","5,161","1,835","1,270",651,"2,393","2,540",357,399,144,"2,224","8,400","2,404","1,358"
2020,9,40,"34,811","2,045","6,745","1,940","1,617",731,"1,937","2,120",509,499,254,"2,587","10,463","1,873","1,491"
2020,9,50,"35,302","2,544","5,489","2,545","2,156","1,104","1,994","1,998",876,910,451,"3,049","7,887","2,339","1,960"
2020,9,60,"25,320","2,372","3,316","2,015","1,681","1,030","1,543","1,507",945,"1,003",667,"2,379","3,471","1,863","1,528"
2020,9,70,"13,000","1,415","1,578",995,911,585,853,870,560,667,399,"1,129","1,410",919,709
2020,9,80,"6,668",799,783,447,501,316,425,399,355,419,339,491,683,417,294
2020,9,90,947,91,100,85,88,46,65,69,40,63,50,57,96,56,41
2020,9,100,64,11,4,6,5,1,6,5,2,6,4,4,2,5,3
2020,10,총,"219,513","14,715","35,978","13,739","11,214","6,380","14,767","14,461","4,432","4,783","2,682","17,270","53,986","14,837","10,269"
2020,10,0,"19,031",992,"3,345","1,058",807,316,"1,476","1,249",151,186,63,"1,004","6,853",956,575
2020,10,10,"23,551","1,382","4,487","1,118",864,817,"1,876","1,230",253,230,121,"1,542","7,882",946,803
2020,10,20,"30,026","1,539","4,967","1,653","1,284",781,"2,160","2,482",383,401,187,"2,836","6,802","3,044","1,507"
2020,10,30,"30,529","1,524","5,127","1,835","1,268",653,"2,392","2,523",356,393,147,"2,207","8,355","2,397","1,352"
2020,10,40,"34,759","2,036","6,724","1,954","1,619",728,"1,953","2,114",503,507,249,"2,581","10,438","1,868","1,485"
2020,10,50,"35,375","2,531","5,522","2,562","2,169","1,103","1,999","2,003",876,902,453,"3,024","7,937","2,333","1,961"
2020,10,60,"25,502","2,390","3,338","2,027","1,699","1,036","1,554","1,512",950,"1,007",669,"2,394","3,516","1,872","1,538"
2020,10,70,"13,047","1,418","1,584",998,910,587,860,872,561,672,401,"1,126","1,416",933,709
2020,10,80,"6,682",801,782,445,502,311,425,401,355,416,340,494,691,424,295
2020,10,90,948,91,98,83,88,47,66,70,42,63,48,58,94,59,41
2020,10,100,63,11,4,6,4,1,6,5,2,6,4,4,2,5,3
2020,11,총,"219,525","14,692","36,020","13,795","11,253","6,356","14,803","14,431","4,424","4,778","2,674","17,242","53,898","14,876","10,283"
2020,11,0,"18,905",973,"3,326","1,068",805,313,"1,475","1,237",147,182,62,"1,000","6,792",959,566
2020,11,10,"23,437","1,390","4,480","1,104",867,797,"1,865","1,218",249,232,118,"1,539","7,840",943,795
2020,11,20,"30,172","1,546","5,017","1,665","1,295",794,"2,156","2,496",387,398,188,"2,829","6,833","3,054","1,514"
2020,11,30,"30,498","1,509","5,112","1,845","1,271",654,"2,431","2,508",355,389,150,"2,198","8,297","2,415","1,364"
2020,11,40,"34,722","2,037","6,693","1,953","1,623",717,"1,966","2,120",500,509,244,"2,588","10,420","1,867","1,485"
2020,11,50,"35,298","2,515","5,546","2,562","2,176","1,102","1,988","1,975",873,899,454,"2,984","7,958","2,312","1,954"
2020,11,60,"25,710","2,394","3,372","2,051","1,706","1,039","1,561","1,531",953,"1,010",667,"2,420","3,553","1,897","1,556"
2020,11,70,"13,061","1,419","1,587","1,001",910,581,862,874,562,672,398,"1,127","1,423",935,710
2020,11,80,"6,716",805,785,458,511,313,428,400,354,416,342,495,684,429,296
2020,11,90,943,93,98,81,85,45,65,68,42,65,47,58,96,60,40
2020,11,100,63,11,4,7,4,1,6,4,2,6,4,4,2,5,3
2020,12,총,"218,388","14,699","36,065","13,723","11,268","5,900","14,265","14,431","4,417","4,752","2,667","17,257","53,797","14,868","10,279"
2020,12,0,"18,823",986,"3,328","1,074",796,307,"1,498","1,224",147,181,61,988,"6,717",946,570
2020,12,10,"22,231","1,378","4,477","1,034",874,422,"1,128","1,214",251,228,121,"1,544","7,841",931,788
2020,12,20,"30,105","1,543","5,043","1,624","1,296",693,"2,144","2,531",378,395,184,"2,851","6,833","3,070","1,520"
2020,12,30,"30,526","1,512","5,121","1,858","1,271",649,"2,535","2,482",352,392,150,"2,191","8,241","2,419","1,353"
2020,12,40,"34,690","2,021","6,698","1,961","1,613",716,"1,995","2,111",500,501,237,"2,586","10,404","1,871","1,476"
2020,12,50,"35,246","2,508","5,537","2,557","2,180","1,113","2,009","1,969",861,888,446,"2,970","7,943","2,300","1,965"
2020,12,60,"25,947","2,425","3,380","2,067","1,721","1,055","1,596","1,543",961,"1,013",680,"2,437","3,612","1,902","1,555"
2020,12,70,"13,065","1,411","1,591",994,914,583,858,880,568,669,396,"1,131","1,425",931,714
2020,12,80,"6,742",808,789,463,512,316,427,404,355,417,341,496,686,434,294
2020,12,90,950,96,97,84,87,45,69,69,42,62,47,59,93,59,41
2020,12,100,63,11,4,7,4,1,6,4,2,6,4,4,2,5,3
2021,1,총,"218,651","14,717","36,092","13,730","11,321","5,831","14,367","14,494","4,442","4,743","2,680","17,264","53,783","14,879","10,308"
2021,1,0,"18,689",977,"3,285","1,072",795,306,"1,523","1,214",146,174,62,971,"6,672",923,569
2021,1,10,"22,042","1,372","4,471",999,872,374,"1,049","1,204",271,222,122,"1,552","7,821",922,791
2021,1,20,"30,257","1,543","5,073","1,629","1,318",665,"2,167","2,587",374,398,178,"2,864","6,847","3,102","1,512"
2021,1,30,"30,540","1,521","5,088","1,845","1,272",652,"2,595","2,494",360,378,155,"2,200","8,206","2,413","1,361"
2021,1,40,"34,713","2,007","6,709","1,985","1,621",716,"2,014","2,121",504,501,237,"2,578","10,366","1,878","1,476"
2021,1,50,"35,314","2,512","5,561","2,563","2,189","1,114","2,036","1,961",856,882,445,"2,952","7,971","2,300","1,972"
2021,1,60,"26,185","2,441","3,406","2,087","1,731","1,058","1,612","1,557",960,"1,029",686,"2,451","3,678","1,915","1,574"
2021,1,70,"13,114","1,424","1,608",998,918,581,866,880,571,668,399,"1,127","1,437",931,706
2021,1,80,"6,770",810,790,463,513,317,429,402,356,421,343,507,687,429,303
2021,1,90,963,99,97,82,88,47,70,70,42,64,49,58,96,60,41
2021,1,100,64,11,4,7,4,1,6,4,2,6,4,4,2,6,3
2021,2,총,"218,793","14,724","36,112","13,766","11,299","5,793","14,442","14,527","4,445","4,732","2,670","17,268","53,811","14,903","10,301"
2021,2,0,"18,612",974,"3,247","1,083",792,315,"1,530","1,198",143,169,59,966,"6,650",914,572
2021,2,10,"21,894","1,367","4,475",991,861,336,"1,008","1,193",272,221,117,"1,533","7,804",923,793
2021,2,20,"30,282","1,532","5,108","1,603","1,319",656,"2,183","2,613",375,394,181,"2,878","6,867","3,076","1,497"
2021,2,30,"30,475","1,521","5,059","1,843","1,257",657,"2,629","2,501",359,367,150,"2,187","8,153","2,431","1,361"
2021,2,40,"34,767","2,003","6,707","1,999","1,621",716,"2,029","2,128",505,498,239,"2,585","10,389","1,873","1,475"
2021,2,50,"35,336","2,512","5,569","2,581","2,185","1,098","2,057","1,966",843,878,442,"2,954","7,975","2,321","1,955"
2021,2,60,"26,423","2,456","3,432","2,101","1,747","1,069","1,623","1,570",975,"1,044",685,"2,459","3,744","1,921","1,597"
2021,2,70,"13,123","1,428","1,614","1,007",901,579,872,873,574,670,399,"1,134","1,427",946,699
2021,2,80,"6,840",818,801,467,523,318,432,411,355,421,344,508,705,430,307
2021,2,90,976,101,96,84,89,48,73,70,42,64,50,60,95,62,42
2021,2,100,65,12,4,7,4,1,6,4,2,6,4,4,2,6,3
2021,3,총,"218,565","14,633","36,127","13,798","11,276","5,739","14,585","14,475","4,451","4,713","2,640","17,172","53,819","14,873","10,264"
2021,3,0,"18,515",962,"3,226","1,084",787,312,"1,530","1,189",139,165,58,966,"6,607",916,574
2021,3,10,"21,956","1,362","4,474",989,855,327,"1,108","1,186",275,223,118,"1,530","7,802",923,784
2021,3,20,"30,300","1,531","5,144","1,620","1,323",632,"2,204","2,614",372,395,176,"2,847","6,902","3,056","1,484"
2021,3,30,"30,378","1,488","5,049","1,840","1,257",653,"2,639","2,492",362,368,148,"2,191","8,081","2,441","1,369"
2021,3,40,"34,666","1,994","6,684","2,005","1,612",717,"2,051","2,100",504,494,238,"2,555","10,382","1,873","1,457"
2021,3,50,"35,186","2,487","5,554","2,570","2,171","1,088","2,045","1,962",841,872,430,"2,918","8,006","2,293","1,949"
2021,3,60,"26,686","2,466","3,475","2,131","1,758","1,084","1,641","1,581",979,"1,048",682,"2,482","3,819","1,939","1,601"
2021,3,70,"13,059","1,420","1,625","1,008",895,574,862,870,571,661,397,"1,117","1,416",944,699
2021,3,80,"6,836",822,803,467,524,306,430,411,361,419,345,507,709,424,308
2021,3,90,950,99,91,81,90,45,72,69,45,61,46,57,95,61,38
2021,3,100,33,2,2,3,4,1,3,1,2,7,2,2,0,3,1
2021,4,총,"219,224","14,604","36,170","14,007","11,320","5,776","14,738","14,460","4,466","4,675","2,650","17,161","53,994","14,922","10,281"
2021,4,0,"18,422",953,"3,219","1,076",781,314,"1,523","1,184",142,153,55,959,"6,574",908,581
2021,4,10,"22,216","1,347","4,460","1,157",856,337,"1,213","1,175",271,222,121,"1,534","7,821",926,776
2021,4,20,"30,399","1,538","5,141","1,642","1,336",631,"2,210","2,601",377,388,178,"2,827","6,954","3,088","1,488"
2021,4,30,"30,408","1,476","5,076","1,850","1,258",670,"2,650","2,494",364,352,148,"2,193","8,049","2,463","1,365"
2021,4,40,"34,733","1,990","6,695","1,996","1,615",717,"2,062","2,097",499,492,239,"2,561","10,435","1,875","1,460"
2021,4,50,"35,129","2,452","5,528","2,563","2,174","1,087","2,059","1,959",847,871,430,"2,886","8,048","2,282","1,943"
2021,4,60,"26,978","2,500","3,528","2,139","1,794","1,091","1,648","1,605",984,"1,049",695,"2,500","3,882","1,954","1,609"
2021,4,70,"13,059","1,415","1,632","1,026",881,574,867,862,567,657,393,"1,126","1,418",930,711
2021,4,80,"6,902",833,799,474,527,309,435,416,368,424,343,515,715,434,310
2021,4,90,944,97,89,81,94,45,68,67,45,61,46,58,97,59,37
2021,4,100,34,3,3,3,4,1,3,0,2,6,2,2,1,3,1
2021,5,총,"219,591","14,575","36,068","14,038","11,308","5,802","14,802","14,460","4,440","4,667","2,644","17,075","54,545","14,913","10,254"
2021,5,0,"18,358",934,"3,184","1,083",772,313,"1,518","1,182",140,156,53,948,"6,605",893,577
2021,5,10,"22,245","1,345","4,434","1,162",859,330,"1,239","1,182",267,220,123,"1,515","7,887",912,770
2021,5,20,"30,447","1,527","5,125","1,635","1,334",636,"2,197","2,613",375,391,173,"2,810","7,040","3,102","1,489"
2021,5,30,"30,395","1,458","5,031","1,853","1,240",680,"2,666","2,478",358,351,151,"2,179","8,132","2,469","1,349"
2021,5,40,"34,708","1,981","6,665","1,987","1,607",722,"2,068","2,088",487,491,236,"2,538","10,525","1,866","1,447"
2021,5,50,"35,168","2,443","5,517","2,565","2,168","1,086","2,073","1,957",841,855,424,"2,862","8,147","2,280","1,950"
2021,5,60,"27,282","2,539","3,592","2,165","1,811","1,102","1,660","1,616",988,"1,054",704,"2,521","3,950","1,970","1,610"
2021,5,70,"13,064","1,416","1,619","1,027",890,575,878,863,565,660,394,"1,121","1,425",923,708
2021,5,80,"6,944",828,810,476,529,312,433,416,371,422,339,520,735,436,317
2021,5,90,947,100,88,82,95,45,67,65,46,61,45,59,99,59,36
2021,5,100,33,4,3,3,3,1,3,0,2,6,2,2,0,3,1
2021,6,총,"220,904","14,548","36,089","14,084","11,315","6,374","15,306","14,459","4,416","4,674","2,634","17,067","54,715","14,916","10,307"
2021,6,0,"18,306",929,"3,164","1,076",767,310,"1,523","1,173",139,156,54,930,"6,604",902,579
2021,6,10,"23,149","1,331","4,432","1,164",855,826,"1,681","1,177",255,219,118,"1,511","7,897",911,772
2021,6,20,"30,553","1,516","5,125","1,632","1,333",712,"2,230","2,600",374,394,172,"2,811","7,034","3,103","1,517"
2021,6,30,"30,434","1,461","5,021","1,854","1,247",678,"2,669","2,486",354,352,150,"2,190","8,154","2,476","1,342"
2021,6,40,"34,742","1,976","6,659","1,980","1,614",717,"2,087","2,095",482,492,231,"2,543","10,565","1,850","1,451"
2021,6,50,"35,128","2,422","5,534","2,590","2,156","1,087","2,071","1,947",829,848,417,"2,849","8,148","2,272","1,958"
2021,6,60,"27,552","2,563","3,617","2,188","1,831","1,110","1,672","1,632",999,"1,058",706,"2,527","4,047","1,980","1,622"
2021,6,70,"13,088","1,417","1,629","1,030",888,575,874,862,564,662,398,"1,122","1,437",916,714
2021,6,80,"6,972",827,815,484,525,313,431,423,374,424,339,523,736,443,315
2021,6,90,947,102,90,83,96,45,65,63,44,63,47,60,93,60,36
2021,6,100,33,4,3,3,3,1,3,1,2,6,2,1,0,3,1
2021,7,총,"221,697","14,569","36,097","14,052","11,328","6,405","15,493","14,419","4,422","4,687","2,628","17,017","55,355","14,977","10,248"
2021,7,0,"18,265",925,"3,131","1,066",771,310,"1,523","1,146",137,157,53,908,"6,664",911,563
2021,7,10,"23,347","1,331","4,424","1,149",866,848,"1,800","1,174",261,219,115,"1,517","7,973",909,761
2021,7,20,"30,738","1,530","5,165","1,633","1,319",728,"2,260","2,584",370,394,174,"2,795","7,113","3,153","1,520"
2021,7,30,"30,508","1,453","5,015","1,844","1,245",675,"2,680","2,481",355,356,152,"2,174","8,297","2,462","1,319"
2021,7,40,"34,765","1,970","6,624","1,953","1,622",709,"2,093","2,096",483,491,222,"2,538","10,675","1,844","1,445"
2021,7,50,"35,186","2,427","5,559","2,601","2,148","1,085","2,073","1,930",824,845,423,"2,827","8,228","2,264","1,952"
2021,7,60,"27,776","2,584","3,630","2,202","1,840","1,112","1,689","1,649","1,008","1,068",698,"2,541","4,125","2,006","1,624"
2021,7,70,"13,126","1,407","1,638","1,037",888,578,875,863,563,659,401,"1,138","1,448",919,712
2021,7,80,"7,004",835,816,480,531,314,433,432,374,428,340,518,742,446,315
2021,7,90,950,104,92,84,95,45,64,63,45,64,48,60,90,60,36
2021,7,100,32,3,3,3,3,1,3,1,2,6,2,1,0,3,1
2021,8,총,"222,883","14,574","36,045","14,066","11,326","6,538","15,800","14,462","4,402","4,691","2,627","17,003","56,188","14,961","10,200"
2021,8,0,"18,212",917,"3,068","1,058",752,305,"1,542","1,145",129,157,54,892,"6,743",898,552
2021,8,10,"23,592","1,326","4,424","1,144",859,931,"1,940","1,173",259,217,118,"1,514","8,024",904,759
2021,8,20,"31,094","1,531","5,192","1,646","1,330",768,"2,338","2,606",377,395,171,"2,788","7,268","3,175","1,509"
2021,8,30,"30,665","1,452","4,989","1,833","1,252",678,"2,710","2,485",342,350,150,"2,199","8,493","2,434","1,298"
2021,8,40,"34,805","1,972","6,616","1,955","1,603",705,"2,098","2,106",479,488,223,"2,503","10,766","1,855","1,436"
2021,8,50,"35,321","2,417","5,561","2,602","2,147","1,092","2,087","1,920",820,846,422,"2,840","8,361","2,255","1,951"
2021,8,60,"28,033","2,606","3,658","2,222","1,860","1,113","1,697","1,666","1,009","1,080",696,"2,543","4,238","2,016","1,629"
2021,8,70,"13,140","1,402","1,635","1,031",889,586,880,855,568,656,406,"1,144","1,459",914,715
2021,8,80,"7,030",841,809,488,535,316,439,442,371,430,337,516,744,447,315
2021,8,90,959,107,91,84,96,43,66,63,46,65,48,63,92,60,35
2021,8,100,32,3,2,3,3,1,3,1,2,7,2,1,0,3,1
2021,9,총,"223,482","14,576","36,018","13,989","11,352","6,459","15,810","14,504","4,371","4,698","2,644","16,952","56,933","14,983","10,193"
2021,9,0,"18,157",908,"3,028","1,048",748,294,"1,555","1,124",126,155,56,876,"6,812",884,543
2021,9,10,"23,409","1,328","4,410","1,092",863,882,"1,828","1,176",244,212,121,"1,495","8,108",896,754
2021,9,20,"31,299","1,516","5,250","1,627","1,335",770,"2,386","2,636",373,403,169,"2,771","7,344","3,211","1,508"
2021,9,30,"30,805","1,455","4,955","1,813","1,250",670,"2,740","2,491",348,351,154,"2,185","8,669","2,436","1,288"
2021,9,40,"34,862","1,971","6,579","1,964","1,611",698,"2,117","2,108",474,485,223,"2,496","10,867","1,838","1,431"
