년도,월,나이,충청남도 논산시,충청남도 논산시 강경읍,충청남도 논산시 연무읍,충청남도 논산시 성동면,충청남도 논산시 광석면,충청남도 논산시 노성면,충청남도 논산시 상월면,충청남도 논산시 부적면,충청남도 논산시 연산면,충청남도 논산시 벌곡면,충청남도 논산시 양촌면,충청남도 논산시 가야곡면,충청남도 논산시 은진면,충청남도 논산시 채운면,충청남도 논산시 취암동,충청남도 논산시 부창동
2021,7,0,"6,972",300,860,118,106,107,66,86,189,66,388,59,111,61,"3,254","1,201"
2021,7,10,"9,592",621,"1,087",165,245,140,162,161,308,97,414,117,204,127,"3,929","1,815"
2021,7,20,"11,035",703,"1,234",276,274,194,207,240,363,122,448,209,419,142,"4,454","1,750"
2021,7,30,"10,319",504,"1,214",221,243,211,206,202,330,107,549,163,252,117,"4,492","1,508"
2021,7,40,"14,952",940,"1,651",342,393,286,371,335,522,213,608,286,425,193,"5,858","2,529"
2021,7,50,"19,296","1,410","2,061",658,724,473,661,626,"1,174",432,"1,053",590,718,360,"5,499","2,857"
2021,7,60,"20,691","1,706","2,455",966,992,658,866,874,"1,528",624,"1,198",880,861,541,"4,159","2,383"
2021,7,70,"12,930","1,173","1,593",710,702,497,536,550,929,439,866,587,558,371,"2,119","1,300"
2021,7,80,"8,214",635,"1,056",565,489,344,401,390,613,287,621,422,374,249,"1,065",703
2021,7,90,"1,191",99,161,58,47,56,61,58,99,50,88,61,66,55,144,88
2021,7,100,47,5,5,2,1,3,3,3,5,1,1,0,5,4,7,2
2021,8,총,"115,155","8,087","13,427","4,068","4,212","2,963","3,530","3,521","6,057","2,438","6,204","3,375","3,982","2,217","34,993","16,081"
2021,8,0,"6,923",295,872,116,104,105,65,83,187,62,384,61,111,59,"3,230","1,189"
2021,8,10,"9,615",626,"1,080",168,250,140,158,160,310,117,408,117,203,129,"3,941","1,808"
2021,8,20,"10,976",696,"1,245",277,267,195,206,236,356,115,434,209,411,141,"4,450","1,738"
2021,8,30,"10,329",503,"1,233",223,247,210,212,207,330,106,538,160,253,119,"4,487","1,501"
2021,8,40,"14,892",938,"1,654",333,394,284,360,334,520,208,618,276,420,192,"5,853","2,508"
2021,8,50,"19,252","1,404","2,071",646,717,468,662,623,"1,169",427,"1,039",592,719,357,"5,508","2,850"
2021,8,60,"20,780","1,702","2,457",975,996,660,870,878,"1,538",627,"1,212",884,859,541,"4,188","2,393"
2021,8,70,"12,894","1,175","1,590",706,698,494,532,546,931,438,861,589,554,369,"2,112","1,299"
2021,8,80,"8,247",644,"1,055",563,488,347,402,395,612,286,615,426,380,252,"1,073",709
2021,8,90,"1,202",99,165,59,50,57,60,56,99,51,95,61,67,54,144,85
2021,8,100,45,5,5,2,1,3,3,3,5,1,0,0,5,4,7,1
2021,9,총,"114,942","8,047","13,407","4,059","4,198","2,951","3,511","3,522","6,070","2,431","6,187","3,361","3,981","2,199","34,997","16,021"
2021,9,0,"6,899",282,874,116,102,101,63,87,186,61,383,60,116,58,"3,228","1,182"
2021,9,10,"9,561",628,"1,070",166,246,137,155,161,313,110,406,116,206,127,"3,930","1,790"
2021,9,20,"10,869",681,"1,223",269,263,197,205,231,358,114,423,206,406,136,"4,451","1,706"
2021,9,30,"10,289",495,"1,235",223,251,211,205,207,332,106,541,161,256,114,"4,466","1,486"
2021,9,40,"14,846",935,"1,658",330,392,278,361,329,509,208,611,272,419,191,"5,856","2,497"
2021,9,50,"19,228","1,397","2,072",649,709,471,652,624,"1,170",425,"1,039",588,712,353,"5,517","2,850"
2021,9,60,"20,825","1,712","2,458",974,997,656,867,876,"1,548",629,"1,212",883,860,541,"4,204","2,408"
2021,9,70,"12,901","1,174","1,592",707,698,486,534,550,933,438,858,590,555,367,"2,111","1,308"
2021,9,80,"8,269",639,"1,057",564,488,353,405,394,618,288,617,423,376,255,"1,081",711
2021,9,90,"1,211",100,163,59,51,58,61,59,98,51,97,62,70,53,146,83
2021,9,100,44,4,5,2,1,3,3,4,5,1,0,0,5,4,7,0
2021,10,총,"114,769","8,010","13,381","4,047","4,172","2,961","3,504","3,518","6,065","2,415","6,175","3,361","3,983","2,199","34,973","16,005"
2021,10,0,"6,848",279,871,110,100,99,63,83,184,60,382,61,114,60,"3,209","1,173"
2021,10,10,"9,511",620,"1,060",167,239,142,154,159,317,108,396,120,208,128,"3,917","1,776"
2021,10,20,"10,823",668,"1,212",269,257,198,206,227,355,112,420,209,404,135,"4,451","1,700"
2021,10,30,"10,247",494,"1,232",220,252,212,198,208,332,110,542,160,257,117,"4,427","1,486"
2021,10,40,"14,736",927,"1,645",322,386,281,359,325,503,206,601,270,415,189,"5,832","2,475"
2021,10,50,"19,264","1,393","2,067",654,703,470,656,625,"1,168",423,"1,043",585,708,349,"5,554","2,866"
2021,10,60,"20,866","1,708","2,468",972,998,652,868,878,"1,550",630,"1,214",885,865,544,"4,216","2,418"
2021,10,70,"12,894","1,178","1,596",705,697,489,533,552,930,429,859,586,551,362,"2,120","1,307"
2021,10,80,"8,307",640,"1,060",566,486,357,403,394,621,284,622,422,384,259,"1,094",715
2021,10,90,"1,228",99,165,60,53,58,61,62,100,52,96,63,72,52,146,89
2021,10,100,45,4,5,2,1,3,3,5,5,1,0,0,5,4,7,0
2021,11,총,"114,662","7,990","13,362","4,042","4,147","2,957","3,502","3,524","6,058","2,415","6,172","3,376","3,995","2,164","34,950","16,008"
2021,11,0,"6,801",279,867,112,98,101,62,81,181,59,383,61,119,60,"3,178","1,160"
2021,11,10,"9,471",616,"1,053",168,238,141,155,160,317,107,396,123,206,129,"3,894","1,768"
2021,11,20,"10,828",665,"1,207",261,257,203,205,223,356,110,418,212,401,135,"4,467","1,708"
2021,11,30,"10,241",493,"1,232",221,245,213,199,210,329,113,551,162,266,108,"4,427","1,472"
2021,11,40,"14,683",922,"1,631",320,383,273,357,323,502,207,597,270,418,185,"5,808","2,487"
2021,11,50,"19,263","1,391","2,068",649,699,472,656,621,"1,164",422,"1,048",592,704,343,"5,565","2,869"
2021,11,60,"20,899","1,709","2,481",970,997,646,869,886,"1,556",628,"1,214",883,868,537,"4,227","2,428"
2021,11,70,"12,886","1,173","1,591",707,694,494,533,553,926,428,849,590,550,363,"2,128","1,307"
2021,11,80,"8,316",642,"1,061",570,482,355,400,397,623,284,619,421,384,256,"1,101",721
2021,11,90,"1,237",99,166,62,53,56,63,66,100,56,97,61,74,48,148,88
2021,11,100,37,1,5,2,1,3,3,4,4,1,0,1,5,0,7,0
2021,12,총,"114,483","7,961","13,343","4,024","4,123","2,940","3,492","3,514","6,056","2,424","6,132","3,380","3,981","2,177","34,943","15,993"
2021,12,0,"6,729",277,864,106,100,95,59,77,178,56,371,61,117,59,"3,156","1,153"
2021,12,10,"9,433",602,"1,043",169,234,144,159,157,318,101,393,121,207,131,"3,889","1,765"
2021,12,20,"10,792",660,"1,214",260,257,203,202,229,347,112,413,219,390,139,"4,472","1,675"
2021,12,30,"10,191",481,"1,240",217,239,202,197,209,326,113,540,159,265,110,"4,422","1,471"
2021,12,40,"14,649",921,"1,621",313,378,278,357,320,502,208,581,271,417,187,"5,818","2,477"
2021,12,50,"19,240","1,386","2,054",643,692,466,657,616,"1,164",428,"1,045",600,708,343,"5,552","2,886"
2021,12,60,"20,943","1,716","2,478",975,995,647,869,892,"1,568",629,"1,223",874,867,541,"4,234","2,435"
2021,12,70,"12,833","1,166","1,586",704,687,495,524,554,914,433,846,586,539,363,"2,130","1,306"
