년도,월,나이,대구광역시 중구,대구광역시 중구 동인동,대구광역시 중구 삼덕동,대구광역시 중구 성내1동,대구광역시 중구 성내2동,대구광역시 중구 성내3동,대구광역시 중구 대신동,대구광역시 중구 남산1동,대구광역시 중구 남산2동,대구광역시 중구 남산3동,대구광역시 중구 남산4동,대구광역시 중구 대봉1동,대구광역시 중구 대봉2동
2020,5,30,"10,964","1,190","1,253",762,543,"1,067","1,448",671,420,"1,009","1,445",940,216
2020,5,40,"10,825","1,167",892,565,519,696,"1,175",676,503,"1,134","1,937","1,177",384
2020,5,50,"11,447","1,369",708,647,756,748,"1,265",834,584,"1,092","1,825","1,202",417
2020,5,60,"10,125","1,271",585,568,796,661,"1,048",698,502,959,"1,674",950,413
2020,5,70,"7,365",983,368,444,564,410,656,542,411,688,"1,142",748,409
2020,5,80,"3,316",422,183,190,226,168,275,248,199,309,553,394,149
2020,5,90,470,68,29,44,41,28,33,19,31,36,65,55,21
2020,5,100,99,13,7,6,15,5,11,2,14,4,8,8,6
2020,6,총,"76,984","8,755","6,733","5,033","4,604","5,218","8,212","5,124","4,039","7,070","12,049","7,643","2,504"
2020,6,0,"5,342",346,503,169,134,570,914,279,210,613,970,556,78
2020,6,10,"5,097",495,380,240,197,235,564,313,265,531,"1,090",623,164
2020,6,20,"11,866","1,508","1,845","1,400",838,654,829,860,614,721,"1,344",996,257
2020,6,30,"11,041","1,180","1,243",769,535,"1,058","1,450",680,554,993,"1,422",941,216
2020,6,40,"10,813","1,151",884,565,498,697,"1,176",657,553,"1,136","1,941","1,175",380
2020,6,50,"11,432","1,351",711,635,758,736,"1,246",826,640,"1,085","1,823","1,206",415
2020,6,60,"10,126","1,261",574,571,796,659,"1,060",701,521,948,"1,685",945,405
2020,6,70,"7,373",961,374,441,566,409,654,541,433,697,"1,144",743,410
2020,6,80,"3,324",421,182,193,226,167,273,247,204,307,557,395,152
2020,6,90,469,68,30,43,41,28,35,18,31,35,64,55,21
2020,6,100,101,13,7,7,15,5,11,2,14,4,9,8,6
2020,7,총,"77,062","8,701","6,726","5,042","4,610","5,230","8,213","5,082","4,211","7,090","12,015","7,656","2,486"
2020,7,0,"5,331",345,490,167,129,576,908,274,237,611,959,556,79
2020,7,10,"5,109",492,378,241,199,235,564,312,284,526,"1,090",626,162
2020,7,20,"11,933","1,507","1,857","1,422",850,651,838,840,636,724,"1,349","1,003",256
2020,7,30,"11,018","1,165","1,245",761,537,"1,052","1,447",676,589,986,"1,412",937,211
2020,7,40,"10,807","1,140",878,565,495,704,"1,172",659,579,"1,134","1,923","1,182",376
2020,7,50,"11,436","1,349",708,625,757,740,"1,240",811,662,"1,105","1,823","1,202",414
2020,7,60,"10,135","1,240",576,580,792,658,"1,070",700,525,953,"1,693",946,402
2020,7,70,"7,379",955,376,438,566,412,652,545,445,701,"1,137",744,408
2020,7,80,"3,337",428,180,195,230,169,274,245,206,307,556,397,150
2020,7,90,476,68,30,41,41,28,37,18,34,38,64,55,22
2020,7,100,101,12,8,7,14,5,11,2,14,5,9,8,6
2020,8,총,"77,120","8,680","6,739","5,097","4,609","5,234","8,194","5,074","4,262","7,085","12,001","7,658","2,487"
2020,8,0,"5,305",344,480,168,130,581,905,274,244,602,946,548,83
2020,8,10,"5,104",489,379,241,201,232,561,308,280,530,"1,097",626,160
2020,8,20,"11,995","1,500","1,868","1,448",850,651,844,855,645,713,"1,345","1,020",256
2020,8,30,"11,012","1,166","1,248",776,534,"1,060","1,420",666,607,976,"1,413",935,211
2020,8,40,"10,798","1,135",886,571,491,699,"1,176",653,590,"1,141","1,917","1,166",373
2020,8,50,"11,448","1,348",712,620,758,738,"1,253",813,670,"1,102","1,821","1,204",409
2020,8,60,"10,154","1,241",574,589,791,660,"1,064",700,525,966,"1,692",945,407
2020,8,70,"7,364",949,372,439,567,412,650,541,441,700,"1,137",750,406
2020,8,80,"3,365",428,184,196,232,169,272,245,213,313,559,399,155
2020,8,90,474,68,28,42,41,27,38,17,33,37,65,57,21
2020,8,100,101,12,8,7,14,5,11,2,14,5,9,8,6
2020,9,총,"77,030","8,650","6,747","5,105","4,600","5,226","8,181","5,048","4,304","7,074","11,968","7,634","2,493"
2020,9,0,"5,262",341,467,167,135,575,897,275,250,595,941,536,83
2020,9,10,"5,111",491,378,241,203,231,562,309,280,532,"1,089",634,161
2020,9,20,"11,976","1,475","1,887","1,460",836,656,848,844,646,709,"1,339","1,018",258
2020,9,30,"10,974","1,169","1,244",775,546,"1,054","1,401",664,616,969,"1,392",930,214
2020,9,40,"10,772","1,134",889,565,499,694,"1,175",649,595,"1,139","1,914","1,151",368
2020,9,50,"11,457","1,345",712,626,756,742,"1,254",807,673,"1,098","1,826","1,208",410
2020,9,60,"10,166","1,245",581,582,772,664,"1,074",700,532,978,"1,687",940,411
2020,9,70,"7,354",940,367,439,565,414,651,536,444,700,"1,146",750,402
2020,9,80,"3,379",432,188,199,232,166,269,245,221,312,555,404,156
2020,9,90,478,66,26,44,42,25,39,17,33,37,70,55,24
2020,9,100,101,12,8,7,14,5,11,2,14,5,9,8,6
2020,10,총,"76,849","8,614","6,724","5,101","4,596","5,192","8,160","5,068","4,309","7,047","11,922","7,654","2,462"
2020,10,0,"5,240",343,468,165,135,573,894,276,255,585,928,538,80
2020,10,10,"5,104",483,373,233,209,231,562,311,279,527,"1,091",649,156
2020,10,20,"11,910","1,464","1,871","1,463",829,645,837,847,645,707,"1,331","1,014",257
2020,10,30,"10,900","1,158","1,239",775,543,"1,052","1,393",655,619,965,"1,375",916,210
2020,10,40,"10,783","1,134",888,570,502,698,"1,174",661,599,"1,139","1,895","1,164",359
2020,10,50,"11,412","1,333",714,625,756,722,"1,242",805,674,"1,096","1,826","1,213",406
2020,10,60,"10,193","1,248",588,581,770,665,"1,081",708,534,973,"1,694",944,407
2020,10,70,"7,350",938,362,441,564,409,657,539,438,704,"1,148",750,400
2020,10,80,"3,378",436,186,197,231,167,270,248,222,309,555,400,157
2020,10,90,478,65,27,44,43,25,39,16,30,37,70,58,24
2020,10,100,101,12,8,7,14,5,11,2,14,5,9,8,6
2020,11,총,"76,727","8,545","6,746","5,078","4,605","5,181","8,092","5,094","4,324","7,058","11,929","7,640","2,435"
2020,11,0,"5,186",329,457,163,134,580,878,278,259,581,916,533,78
2020,11,10,"5,101",483,372,231,207,220,554,320,274,545,"1,078",659,158
2020,11,20,"11,892","1,449","1,879","1,469",819,638,829,857,647,702,"1,340","1,012",251
2020,11,30,"10,820","1,150","1,238",768,545,"1,044","1,380",651,628,947,"1,366",891,212
2020,11,40,"10,799","1,119",894,564,509,700,"1,172",665,599,"1,150","1,900","1,168",359
2020,11,50,"11,389","1,335",715,619,758,726,"1,219",807,681,"1,089","1,822","1,218",400
2020,11,60,"10,200","1,241",600,581,775,665,"1,070",706,533,985,"1,711",942,391
2020,11,70,"7,364",930,362,435,566,410,664,542,441,705,"1,156",752,401
2020,11,80,"3,397",433,192,195,235,168,275,250,218,313,562,401,155
2020,11,90,477,64,29,46,43,25,40,16,30,36,68,56,24
2020,11,100,102,12,8,7,14,5,11,2,14,5,10,8,6
2020,12,총,"76,547","8,525","6,736","5,075","4,591","5,158","8,094","5,097","4,323","7,041","11,859","7,654","2,394"
2020,12,0,"5,142",316,448,168,135,585,875,280,261,575,894,526,79
2020,12,10,"5,089",487,374,229,200,221,558,312,273,540,"1,078",662,155
2020,12,20,"11,864","1,445","1,880","1,464",816,629,821,873,656,701,"1,317","1,009",253
2020,12,30,"10,755","1,151","1,240",761,542,"1,038","1,379",649,623,935,"1,357",877,203
2020,12,40,"10,766","1,116",887,558,505,698,"1,176",664,595,"1,142","1,888","1,183",354
2020,12,50,"11,325","1,323",713,620,757,724,"1,209",801,676,"1,085","1,803","1,226",388
2020,12,60,"10,227","1,244",601,593,779,655,"1,077",702,538,984,"1,711",955,388
2020,12,70,"7,375",933,369,435,567,404,667,541,444,714,"1,166",745,390
2020,12,80,"3,413",432,187,194,231,174,281,256,211,323,566,405,153
2020,12,90,488,66,29,46,45,25,39,17,32,37,69,58,25
2020,12,100,103,12,8,7,14,5,12,2,14,5,10,8,6
2021,1,총,"76,382","8,462","6,733","5,083","4,564","5,144","8,118","5,094","4,327","7,036","11,830","7,636","2,355"
2021,1,0,"5,085",314,439,167,135,591,875,266,261,567,873,521,76
2021,1,10,"5,054",479,373,228,191,224,558,314,274,539,"1,062",662,150
2021,1,20,"11,860","1,425","1,886","1,478",808,623,821,877,648,708,"1,330","1,003",253
2021,1,30,"10,744","1,155","1,248",761,536,"1,023","1,394",645,633,922,"1,352",875,200
2021,1,40,"10,728","1,104",889,560,497,699,"1,176",668,596,"1,143","1,871","1,176",349
2021,1,50,"11,272","1,304",707,615,759,718,"1,211",791,672,"1,085","1,814","1,215",381
2021,1,60,"10,244","1,237",603,595,783,656,"1,087",713,535,983,"1,710",961,381
2021,1,70,"7,359",929,361,434,565,409,660,538,447,725,"1,168",742,381
2021,1,80,"3,439",434,189,192,231,171,285,263,212,326,569,414,153
2021,1,90,493,69,30,46,45,25,39,17,34,33,71,59,25
2021,1,100,104,12,8,7,14,5,12,2,15,5,10,8,6
2021,2,총,"76,159","8,447","6,725","5,098","4,529","5,137","8,095","5,068","4,318","7,026","11,838","7,588","2,290"
2021,2,0,"5,033",311,434,168,135,588,868,263,260,553,868,513,72
2021,2,10,"5,028",479,373,228,188,220,553,307,268,544,"1,072",651,145
2021,2,20,"11,794","1,420","1,873","1,487",794,614,822,875,645,715,"1,314",989,246
2021,2,30,"10,697","1,153","1,253",767,541,"1,013","1,363",639,636,908,"1,349",881,194
2021,2,40,"10,658","1,097",887,551,486,707,"1,184",660,600,"1,137","1,861","1,150",338
2021,2,50,"11,264","1,306",706,617,756,713,"1,214",780,663,"1,081","1,827","1,222",379
2021,2,60,"10,297","1,244",607,608,781,666,"1,093",717,538,994,"1,713",960,376
2021,2,70,"7,317",918,358,428,557,411,656,545,441,728,"1,173",733,369
2021,2,80,"3,468",436,195,192,233,175,288,262,218,328,580,419,142
2021,2,90,499,71,31,45,44,24,42,18,34,33,72,62,23
2021,2,100,104,12,8,7,14,6,12,2,15,5,9,8,6
2021,3,총,"75,647","8,395","6,702","5,050","4,490","5,077","8,051","5,074","4,310","6,994","11,764","7,548","2,192"
2021,3,0,"4,975",307,424,169,127,591,862,258,260,552,852,505,68
2021,3,10,"5,001",476,375,225,189,221,550,303,266,542,"1,069",642,143
2021,3,20,"11,719","1,428","1,875","1,479",788,583,815,885,639,707,"1,297",987,236
2021,3,30,"10,651","1,153","1,248",756,534,"1,020","1,348",632,640,910,"1,337",878,195
2021,3,40,"10,585","1,096",874,550,482,701,"1,176",661,605,"1,126","1,854","1,133",327
2021,3,50,"11,203","1,297",717,606,739,705,"1,204",785,657,"1,078","1,828","1,225",362
2021,3,60,"10,254","1,230",614,603,783,664,"1,094",716,533,987,"1,706",960,364
2021,3,70,"7,274",903,355,427,555,409,659,553,440,727,"1,169",732,345
2021,3,80,"3,430",428,190,191,235,162,289,261,219,329,571,422,133
2021,3,90,483,70,28,42,44,20,41,19,36,32,72,60,19
2021,3,100,72,7,2,2,14,1,13,1,15,4,9,4,0
2021,4,총,"75,366","8,353","6,682","5,010","4,465","5,030","8,044","5,052","4,298","6,995","11,759","7,531","2,147"
2021,4,0,"4,927",302,418,161,126,587,858,259,258,553,843,498,64
2021,4,10,"4,985",480,371,224,183,214,550,296,268,543,"1,076",643,137
2021,4,20,"11,638","1,425","1,861","1,474",778,567,813,883,627,710,"1,284",985,231
2021,4,30,"10,606","1,144","1,257",753,536,"1,013","1,326",628,650,904,"1,335",867,193
2021,4,40,"10,544","1,082",877,544,480,696,"1,184",660,596,"1,127","1,851","1,128",319
2021,4,50,"11,167","1,280",701,604,735,695,"1,210",791,656,"1,079","1,824","1,235",357
2021,4,60,"10,262","1,237",626,593,775,666,"1,097",719,533,987,"1,711",957,361
2021,4,70,"7,248",900,353,421,555,408,661,544,440,723,"1,173",735,335
2021,4,80,"3,432",427,188,192,239,162,292,252,219,331,577,421,132
2021,4,90,485,69,28,42,44,21,40,19,36,34,76,58,18
2021,4,100,72,7,2,2,14,1,13,1,15,4,9,4,0
2021,5,총,"75,133","8,328","6,690","5,010","4,454","4,965","8,008","5,041","4,299","6,979","11,728","7,495","2,136"
2021,5,0,"4,886",302,413,155,126,582,859,256,254,544,836,492,67
2021,5,10,"4,974",472,375,217,180,213,549,296,265,552,"1,081",640,134
2021,5,20,"11,597","1,427","1,867","1,480",773,551,811,887,622,704,"1,270",973,232
2021,5,30,"10,550","1,147","1,241",755,543,991,"1,305",627,656,895,"1,331",867,192
2021,5,40,"10,505","1,075",886,550,473,705,"1,186",657,594,"1,127","1,832","1,103",317
2021,5,50,"11,142","1,277",707,600,734,678,"1,204",786,660,"1,079","1,818","1,247",352
2021,5,60,"10,249","1,228",632,598,777,655,"1,096",716,535,982,"1,713",953,364
2021,5,70,"7,238",903,353,418,553,406,653,540,442,726,"1,182",732,330
2021,5,80,"3,432",424,187,192,237,163,291,255,218,329,579,427,130
2021,5,90,486,66,27,43,44,20,41,20,38,37,75,57,18
2021,5,100,74,7,2,2,14,1,13,1,15,4,11,4,0
2021,6,총,"74,727","8,285","6,644","4,967","4,460","4,931","8,011","4,975","4,286","6,896","11,712","7,473","2,087"
2021,6,0,"4,869",297,412,152,123,585,862,249,257,538,836,491,67
2021,6,10,"4,965",472,380,215,181,215,546,292,264,547,"1,075",645,133
2021,6,20,"11,540","1,433","1,840","1,475",782,544,812,865,614,704,"1,273",970,228
2021,6,30,"10,476","1,138","1,235",758,552,985,"1,297",625,641,886,"1,315",861,183
2021,6,40,"10,507","1,062",896,539,478,711,"1,187",662,601,"1,128","1,827","1,104",312
2021,6,50,"11,037","1,269",704,600,720,668,"1,203",772,653,"1,049","1,810","1,242",347
2021,6,60,"10,201","1,221",620,589,772,652,"1,100",714,543,961,"1,726",950,353
2021,6,70,"7,148",898,348,403,559,382,659,520,442,713,"1,178",724,322
2021,6,80,"3,438",422,182,191,235,169,291,256,219,329,589,428,127
2021,6,90,474,66,26,43,44,19,42,19,37,37,72,54,15
2021,6,100,72,7,1,2,14,1,12,1,15,4,11,4,0
2021,7,총,"74,433","8,237","6,640","4,929","4,442","4,923","8,010","4,953","4,284","6,885","11,696","7,385","2,049"
2021,7,0,"4,823",294,404,146,121,583,857,246,259,536,836,479,62
2021,7,10,"4,943",476,384,212,183,212,545,279,269,544,"1,065",641,133
2021,7,20,"11,474","1,419","1,829","1,463",783,543,815,869,608,706,"1,261",959,219
2021,7,30,"10,436","1,131","1,246",756,549,983,"1,273",631,630,884,"1,320",848,185
2021,7,40,"10,460","1,052",891,529,478,712,"1,201",652,604,"1,127","1,826","1,083",305
2021,7,50,"10,972","1,260",711,597,708,658,"1,205",765,655,"1,038","1,807","1,233",335
2021,7,60,"10,192","1,212",617,586,774,653,"1,107",715,544,970,"1,728",937,349
2021,7,70,"7,129",895,349,409,549,388,658,519,442,710,"1,178",712,320
2021,7,80,"3,458",427,181,187,239,171,296,255,221,327,593,434,127
2021,7,90,474,64,27,42,44,19,41,21,37,39,71,55,14
2021,7,100,72,7,1,2,14,1,12,1,15,4,11,4,0
2021,8,총,"74,125","8,198","6,642","4,948","4,432","4,892","8,010","4,959","4,292","6,831","11,642","7,251","2,028"
2021,8,0,"4,816",293,405,151,117,580,864,248,263,532,824,476,63
2021,8,10,"4,920",472,388,217,183,209,543,282,266,541,"1,057",628,134
2021,8,20,"11,415","1,414","1,827","1,463",783,536,798,876,611,696,"1,252",940,219
2021,8,30,"10,378","1,129","1,241",763,546,966,"1,279",631,629,876,"1,295",841,182
2021,8,40,"10,384","1,037",890,528,478,708,"1,205",650,597,"1,120","1,819","1,055",297
2021,8,50,"10,943","1,253",711,594,700,664,"1,201",772,662,"1,033","1,799","1,219",335
2021,8,60,"10,192","1,215",624,589,774,649,"1,114",719,548,963,"1,734",917,346
2021,8,70,"7,087",885,347,411,552,388,653,508,442,701,"1,184",700,316
2021,8,80,"3,441",430,182,187,241,172,300,248,222,324,595,418,122
2021,8,90,477,63,26,43,44,19,42,24,36,41,72,53,14
2021,8,100,72,7,1,2,14,1,11,1,16,4,11,4,0
2021,9,총,"74,032","8,209","6,654","4,926","4,448","4,883","7,981","4,932","4,405","6,819","11,606","7,166","2,003"
2021,9,0,"4,819",298,403,153,114,580,856,255,285,527,814,471,63
2021,9,10,"4,907",466,384,217,189,212,537,277,271,544,"1,054",623,133
2021,9,20,"11,456","1,422","1,842","1,448",796,531,800,882,632,697,"1,245",944,217
2021,9,30,"10,348","1,131","1,238",771,554,952,"1,269",630,653,875,"1,286",809,180
2021,9,40,"10,387","1,045",894,521,478,715,"1,211",640,610,"1,122","1,804","1,054",293
2021,9,50,"10,888","1,249",704,589,700,657,"1,196",757,679,"1,025","1,801","1,201",330
2021,9,60,"10,182","1,215",629,586,772,655,"1,107",723,555,970,"1,729",904,337
2021,9,70,"7,053",883,348,407,549,388,650,499,446,690,"1,195",681,317
2021,9,80,"3,448",430,185,191,240,173,301,244,221,327,597,420,119
2021,9,90,472,63,26,41,42,19,43,24,37,38,70,55,14
2021,9,100,72,7,1,2,14,1,11,1,16,4,11,4,0
2021,10,총,"74,682","8,194","6,623","4,878","4,423","4,856","7,892","4,882","5,678","6,769","11,541","6,969","1,977"
2021,10,0,"4,981",286,407,143,110,581,842,251,528,518,793,463,59
2021,10,10,"4,972",463,384,224,186,211,522,276,378,548,"1,052",598,130
2021,10,20,"11,434","1,437","1,799","1,421",802,527,796,861,750,679,"1,229",915,218
2021,10,30,"10,571","1,115","1,255",770,555,949,"1,241",621,951,875,"1,272",792,175
2021,10,40,"10,483","1,038",892,502,469,707,"1,210",638,822,"1,111","1,791","1,016",287
2021,10,50,"11,023","1,264",700,592,690,655,"1,195",756,831,"1,010","1,813","1,186",331
2021,10,60,"10,200","1,215",625,587,768,651,"1,108",716,641,972,"1,711",874,332
2021,10,70,"7,039",875,346,401,547,382,651,498,487,684,"1,199",659,310
2021,10,80,"3,453",430,189,194,241,173,289,239,237,330,599,410,122
2021,10,90,464,64,25,42,41,19,37,25,37,38,71,52,13
2021,10,100,62,7,1,2,14,1,1,1,16,4,11,4,0
2021,11,총,"74,793","8,158","6,601","4,827","4,378","4,813","7,858","4,852","6,247","6,707","11,497","6,916","1,939"
2021,11,0,"5,011",287,401,142,107,570,829,243,636,507,782,452,55
2021,11,10,"5,017",460,383,216,188,213,522,278,434,547,"1,048",597,131
2021,11,20,"11,386","1,432","1,789","1,396",797,520,790,858,789,671,"1,219",910,215
2021,11,30,"10,575","1,109","1,246",756,544,934,"1,244",624,"1,048",861,"1,254",784,171
2021,11,40,"10,548","1,042",889,502,464,704,"1,192",634,938,"1,106","1,781","1,013",283
2021,11,50,"11,031","1,248",701,590,688,641,"1,192",748,895,"1,000","1,821","1,182",325
2021,11,60,"10,239","1,208",626,584,763,650,"1,110",715,705,970,"1,722",864,322
2021,11,70,"7,030",867,349,401,544,388,646,493,522,670,"1,192",655,303
2021,11,80,"3,464",433,191,196,241,173,292,234,239,335,604,404,122
2021,11,90,470,65,25,42,42,18,40,25,38,39,71,53,12
2021,11,100,22,7,1,2,0,2,1,0,3,1,3,2,0
2021,12,총,"74,791","8,053","6,587","4,851","4,368","4,791","7,857","4,792","6,507","6,678","11,485","6,919","1,903"
2021,12,0,"5,002",274,400,142,108,561,824,240,675,497,778,450,53
2021,12,10,"5,003",442,376,213,187,216,522,271,457,551,"1,041",598,129
2021,12,20,"11,372","1,406","1,781","1,411",796,524,781,859,807,662,"1,220",915,210
2021,12,30,"10,583","1,091","1,246",775,551,920,"1,248",621,"1,103",843,"1,241",775,169
2021,12,40,"10,604","1,020",889,512,464,717,"1,202",620,999,"1,112","1,780","1,011",278
2021,12,50,"11,025","1,238",699,588,684,632,"1,191",738,928,997,"1,822","1,190",318
2021,12,60,"10,225","1,213",632,576,755,641,"1,102",709,725,966,"1,728",865,313
2021,12,70,"7,000",861,347,393,537,389,647,484,528,673,"1,194",649,298
2021,12,80,"3,475",434,191,197,243,169,299,225,241,336,607,410,123
2021,12,90,480,67,25,42,43,20,40,25,41,40,71,54,12
2021,12,100,22,7,1,2,0,2,1,0,3,1,3,2,0
