년도,월,나이,횡성군,횡성읍,우천면,안흥면,둔내면,갑천면,청일면,공근면,서원면,강림면
2020,6,20,"2,200","1,231",239,83,237,64,76,134,74,62
2020,6,30,"1,860","1,060",130,61,253,65,47,116,84,44
2020,6,40,"2,875","1,618",247,103,362,100,101,174,92,78
2020,6,50,"4,693","1,918",495,304,656,231,278,396,222,193
2020,6,60,"5,102","1,597",574,402,689,377,386,490,339,248
2020,6,70,"2,699",776,334,217,359,210,204,279,158,162
2020,6,80,"1,141",362,129,84,153,97,70,115,76,55
2020,6,90,120,51,12,7,9,8,8,10,11,4
2020,6,100,11,3,0,1,0,2,1,3,1,0
2020,7,총,"23,779","10,450","2,332","1,609","3,073","1,210","1,239","1,824","1,135",907
2020,7,0,"1,165",780,71,38,135,21,15,41,41,23
2020,7,10,"1,903","1,060",111,304,210,36,44,65,32,41
2020,7,20,"2,189","1,225",233,82,235,64,78,135,76,61
2020,7,30,"1,856","1,053",133,59,257,65,49,115,82,43
2020,7,40,"2,854","1,613",241,104,354,100,99,173,95,75
2020,7,50,"4,681","1,915",494,302,662,229,278,392,219,190
2020,7,60,"5,141","1,608",575,406,693,379,394,493,340,253
2020,7,70,"2,715",781,333,220,362,210,204,282,162,161
2020,7,80,"1,144",362,128,86,156,96,69,115,76,56
2020,7,90,120,50,13,7,9,8,8,10,11,4
2020,7,100,11,3,0,1,0,2,1,3,1,0
2020,8,총,"23,783","10,448","2,330","1,611","3,080","1,211","1,236","1,822","1,132",913
2020,8,0,"1,167",780,73,36,136,22,15,41,41,23
2020,8,10,"1,886","1,048",108,305,208,35,43,63,33,43
2020,8,20,"2,181","1,226",234,82,234,64,76,132,73,60
2020,8,30,"1,843","1,048",135,60,254,64,48,112,82,40
2020,8,40,"2,842","1,610",234,101,355,98,100,176,92,76
2020,8,50,"4,678","1,918",497,302,660,228,276,390,219,188
2020,8,60,"5,184","1,611",581,410,707,383,395,495,342,260
2020,8,70,"2,719",787,325,220,362,210,204,284,163,164
2020,8,80,"1,147",365,128,87,155,97,70,115,75,55
2020,8,90,125,52,15,7,9,8,8,11,11,4
2020,8,100,11,3,0,1,0,2,1,3,1,0
2020,9,총,"23,823","10,439","2,343","1,624","3,089","1,211","1,236","1,828","1,134",919
2020,9,0,"1,158",777,69,37,132,22,14,41,42,24
2020,9,10,"1,873","1,041",105,304,205,33,43,63,33,46
2020,9,20,"2,193","1,231",244,83,231,67,75,131,73,58
2020,9,30,"1,833","1,036",134,61,259,64,48,110,82,39
2020,9,40,"2,857","1,614",239,105,359,99,95,177,94,75
2020,9,50,"4,670","1,907",498,304,661,226,281,385,215,193
2020,9,60,"5,229","1,626",585,413,711,390,396,500,348,260
2020,9,70,"2,722",785,328,222,362,206,205,290,161,163
2020,9,80,"1,153",366,126,87,160,95,70,117,75,57
2020,9,90,124,53,15,7,9,7,8,11,10,4
2020,9,100,11,3,0,1,0,2,1,3,1,0
2020,10,총,"23,847","10,431","2,347","1,625","3,086","1,230","1,235","1,837","1,138",918
2020,10,0,"1,145",772,67,36,127,19,13,44,44,23
2020,10,10,"1,887","1,040",105,305,207,43,44,64,33,46
2020,10,20,"2,173","1,220",244,81,228,70,72,129,72,57
2020,10,30,"1,827","1,032",132,62,261,63,48,110,81,38
2020,10,40,"2,857","1,618",238,105,359,101,94,172,95,75
2020,10,50,"4,661","1,901",493,307,656,232,281,386,216,189
2020,10,60,"5,283","1,639",594,414,717,392,398,513,350,266
2020,10,70,"2,705",784,328,219,360,204,203,285,158,164
2020,10,80,"1,172",368,129,89,162,97,72,120,78,57
2020,10,90,127,54,17,7,9,7,9,11,10,3
2020,10,100,10,3,0,0,0,2,1,3,1,0
2020,11,총,"23,858","10,441","2,352","1,626","3,086","1,238","1,237","1,833","1,135",910
2020,11,0,"1,136",766,68,37,124,20,13,45,42,21
2020,11,10,"1,884","1,036",104,305,211,43,43,61,33,48
2020,11,20,"2,181","1,229",244,85,224,71,74,131,71,52
2020,11,30,"1,815","1,021",132,62,259,59,51,111,80,40
2020,11,40,"2,852","1,620",238,103,358,101,92,171,94,75
2020,11,50,"4,649","1,900",493,306,654,236,280,378,216,186
2020,11,60,"5,328","1,661",596,416,725,397,401,517,351,264
2020,11,70,"2,699",780,330,218,358,206,203,281,159,164
2020,11,80,"1,178",372,129,89,163,97,70,124,77,57
2020,11,90,126,53,18,5,10,6,9,11,11,3
2020,11,100,10,3,0,0,0,2,1,3,1,0
2020,12,총,"23,822","10,435","2,360","1,577","3,087","1,243","1,234","1,838","1,136",912
2020,12,0,"1,134",763,66,34,127,20,13,46,44,21
2020,12,10,"1,833","1,031",106,263,211,38,43,60,34,47
2020,12,20,"2,188","1,237",242,87,224,72,75,130,71,50
2020,12,30,"1,807","1,021",131,63,255,57,50,111,78,41
2020,12,40,"2,852","1,618",241,99,361,98,92,175,93,75
2020,12,50,"4,624","1,890",487,303,651,237,282,372,214,188
2020,12,60,"5,355","1,662",605,420,730,401,396,522,353,266
2020,12,70,"2,696",785,334,211,356,209,200,280,158,163
2020,12,80,"1,200",374,131,92,161,103,73,127,80,59
2020,12,90,123,51,17,5,11,6,9,12,10,2
2020,12,100,10,3,0,0,0,2,1,3,1,0
2021,1,총,"23,812","10,431","2,381","1,547","3,082","1,245","1,223","1,844","1,142",917
2021,1,0,"1,132",760,67,36,129,20,12,47,42,19
2021,1,10,"1,806","1,026",111,236,209,42,39,59,35,49
2021,1,20,"2,169","1,236",238,83,223,71,71,128,69,50
2021,1,30,"1,803","1,013",138,65,252,57,48,111,79,40
2021,1,40,"2,838","1,598",240,100,366,95,93,176,93,77
2021,1,50,"4,634","1,909",489,298,643,235,275,380,217,188
2021,1,60,"5,382","1,663",612,420,735,403,401,524,355,269
2021,1,70,"2,706",790,335,211,354,213,201,277,161,164
2021,1,80,"1,208",381,134,93,161,101,73,127,80,58
2021,1,90,124,52,17,5,10,6,9,12,10,3
2021,1,100,10,3,0,0,0,2,1,3,1,0
2021,2,총,"23,810","10,423","2,386","1,549","3,088","1,246","1,220","1,841","1,139",918
2021,2,0,"1,137",763,67,39,129,19,11,48,41,20
2021,2,10,"1,793","1,017",114,227,210,44,40,60,34,47
2021,2,20,"2,157","1,225",238,88,220,68,72,124,70,52
2021,2,30,"1,787","1,005",140,66,248,56,47,107,78,40
2021,2,40,"2,834","1,595",239,100,370,94,93,176,93,74
2021,2,50,"4,623","1,910",489,295,643,238,272,374,215,187
2021,2,60,"5,404","1,675",609,423,739,403,403,528,353,271
2021,2,70,"2,714",791,337,212,352,216,199,279,163,165
2021,2,80,"1,229",388,137,94,167,100,74,129,81,59
2021,2,90,122,51,16,5,10,6,8,13,10,3
2021,2,100,10,3,0,0,0,2,1,3,1,0
2021,3,총,"23,812","10,411","2,375","1,625","3,071","1,238","1,211","1,834","1,129",918
2021,3,0,"1,128",759,67,40,131,18,11,42,42,18
2021,3,10,"1,866","1,012",113,311,211,38,39,60,34,48
2021,3,20,"2,161","1,238",241,85,217,70,68,123,70,49
2021,3,30,"1,761","1,000",137,63,240,58,46,102,75,40
2021,3,40,"2,813","1,583",239,98,367,92,94,174,91,75
2021,3,50,"4,595","1,912",476,292,642,239,264,371,212,187
2021,3,60,"5,448","1,687",614,425,740,403,409,538,353,279
2021,3,70,"2,693",783,337,212,349,210,199,279,164,160
2021,3,80,"1,227",388,136,94,165,102,73,131,78,60
2021,3,90,116,48,15,5,9,6,8,14,9,2
2021,3,100,4,1,0,0,0,2,0,0,1,0
2021,4,총,"23,861","10,473","2,367","1,612","3,087","1,243","1,205","1,833","1,128",913
2021,4,0,"1,132",759,65,38,135,19,11,43,42,20
2021,4,10,"1,860","1,014",109,313,211,36,38,58,34,47
2021,4,20,"2,157","1,253",239,84,214,70,65,119,68,45
2021,4,30,"1,773","1,014",133,61,243,57,47,105,75,38
2021,4,40,"2,804","1,583",236,95,365,96,93,170,91,75
2021,4,50,"4,573","1,912",475,288,640,245,254,366,209,184
2021,4,60,"5,516","1,713",621,426,753,401,418,548,355,281
2021,4,70,"2,695",787,334,209,352,209,199,278,166,161
2021,4,80,"1,232",388,140,93,165,103,73,132,78,60
2021,4,90,115,49,15,5,9,5,7,14,9,2
2021,4,100,4,1,0,0,0,2,0,0,1,0
2021,5,총,"23,910","10,541","2,353","1,618","3,068","1,240","1,212","1,832","1,127",919
2021,5,0,"1,125",760,64,38,130,19,12,41,41,20
2021,5,10,"1,862","1,014",107,312,212,35,39,60,36,47
2021,5,20,"2,172","1,264",246,84,213,70,65,115,68,47
2021,5,30,"1,755","1,014",128,60,235,55,47,104,76,36
2021,5,40,"2,806","1,587",235,97,359,94,96,172,89,77
2021,5,50,"4,559","1,920",469,278,636,246,256,366,206,182
2021,5,60,"5,576","1,748",613,437,759,402,422,550,357,288
2021,5,70,"2,690",791,336,213,345,203,197,279,167,159
2021,5,80,"1,245",393,139,94,170,108,71,132,77,61
2021,5,90,116,49,16,5,9,6,7,13,9,2
2021,5,100,4,1,0,0,0,2,0,0,1,0
2021,6,총,"23,927","10,576","2,342","1,615","3,065","1,248","1,201","1,832","1,129",919
2021,6,0,"1,121",756,63,40,130,21,12,40,39,20
2021,6,10,"1,867","1,022",106,312,212,38,38,57,35,47
2021,6,20,"2,172","1,267",242,84,216,70,61,114,70,48
2021,6,30,"1,751","1,016",127,57,231,57,47,102,77,37
2021,6,40,"2,803","1,593",232,96,357,96,94,171,91,73
2021,6,50,"4,538","1,926",459,279,626,247,250,368,203,180
2021,6,60,"5,618","1,758",627,437,769,396,422,558,359,292
2021,6,70,"2,679",784,334,210,344,204,200,275,168,160
2021,6,80,"1,256",404,136,93,171,111,70,134,77,60
2021,6,90,118,49,16,7,9,6,7,13,9,2
2021,6,100,4,1,0,0,0,2,0,0,1,0
2021,7,총,"23,936","10,583","2,339","1,614","3,058","1,253","1,208","1,831","1,129",921
2021,7,0,"1,117",757,63,40,124,21,12,40,40,20
2021,7,10,"1,864","1,020",105,312,216,37,37,56,34,47
2021,7,20,"2,159","1,266",239,81,210,71,62,114,69,47
2021,7,30,"1,754","1,017",125,58,232,54,49,103,78,38
2021,7,40,"2,791","1,585",233,97,352,97,94,168,92,73
2021,7,50,"4,524","1,931",457,280,618,250,247,362,200,179
2021,7,60,"5,662","1,766",627,437,781,399,427,563,365,297
2021,7,70,"2,685",787,338,209,341,205,202,275,168,160
2021,7,80,"1,260",404,136,94,175,111,71,137,74,58
2021,7,90,116,49,16,6,9,6,7,13,8,2
2021,7,100,4,1,0,0,0,2,0,0,1,0
2021,8,총,"23,922","10,575","2,343","1,616","3,048","1,251","1,214","1,820","1,131",924
2021,8,0,"1,112",754,62,41,124,21,12,37,40,21
2021,8,10,"1,855","1,016",105,313,213,35,37,55,33,48
2021,8,20,"2,134","1,258",237,80,204,71,60,111,67,46
2021,8,30,"1,740","1,007",128,57,228,53,52,100,77,38
2021,8,40,"2,775","1,582",231,98,346,96,93,165,92,72
2021,8,50,"4,529","1,926",461,277,621,250,250,362,200,182
2021,8,60,"5,698","1,786",628,442,788,400,428,563,369,294
2021,8,70,"2,684",787,337,207,341,203,203,275,169,162
2021,8,80,"1,269",406,138,93,174,114,72,139,74,59
2021,8,90,122,52,16,8,9,6,7,13,9,2
2021,8,100,4,1,0,0,0,2,0,0,1,0
2021,9,총,"23,895","10,567","2,332","1,619","3,048","1,252","1,215","1,815","1,125",922
2021,9,0,"1,120",757,64,43,126,21,12,37,39,21
2021,9,10,"1,843","1,009",103,310,213,34,38,54,34,48
2021,9,20,"2,108","1,254",231,79,198,68,59,109,65,45
2021,9,30,"1,731","1,001",128,57,225,54,54,99,75,38
2021,9,40,"2,756","1,575",226,98,346,96,89,160,94,72
2021,9,50,"4,530","1,930",463,278,621,246,249,362,199,182
2021,9,60,"5,718","1,794",623,443,789,409,433,568,366,293
2021,9,70,"2,684",784,337,208,344,204,204,273,168,162
2021,9,80,"1,282",411,141,96,176,113,71,140,75,59
2021,9,90,119,51,16,7,10,5,6,13,9,2
2021,9,100,4,1,0,0,0,2,0,0,1,0
2021,10,총,"23,916","10,574","2,340","1,621","3,046","1,264","1,212","1,813","1,120",926
2021,10,0,"1,116",754,65,40,127,21,14,35,39,21
2021,10,10,"1,847","1,017",105,309,209,36,37,55,32,47
2021,10,20,"2,097","1,243",228,82,200,66,60,108,64,46
2021,10,30,"1,723",998,125,55,230,53,54,97,73,38
2021,10,40,"2,746","1,577",223,96,336,96,93,158,97,70
2021,10,50,"4,525","1,925",464,282,619,250,244,360,195,186
2021,10,60,"5,779","1,814",637,448,794,415,431,577,371,292
2021,10,70,"2,671",780,332,205,347,209,200,271,164,163
2021,10,80,"1,289",416,146,97,174,111,71,138,76,60
2021,10,90,119,49,15,7,10,5,8,14,8,3
2021,10,100,4,1,0,0,0,2,0,0,1,0
2021,11,총,"23,903","10,564","2,347","1,630","3,039","1,255","1,214","1,813","1,117",924
2021,11,0,"1,112",758,66,42,125,16,14,35,35,21
2021,11,10,"1,838","1,014",105,307,209,36,36,53,31,47
2021,11,20,"2,083","1,239",226,77,200,65,60,108,64,44
2021,11,30,"1,728","1,004",125,58,229,49,54,96,75,38
2021,11,40,"2,727","1,572",221,95,328,96,90,159,98,68
2021,11,50,"4,513","1,919",464,288,618,249,240,362,192,181
2021,11,60,"5,825","1,825",642,451,800,419,439,575,374,300
2021,11,70,"2,669",775,338,204,349,210,200,271,162,160
2021,11,80,"1,291",411,146,102,172,109,72,140,77,62
2021,11,90,114,46,14,6,8,6,9,14,8,3
2021,11,100,3,1,0,0,1,0,0,0,1,0
2021,12,총,"23,859","10,564","2,340","1,588","3,037","1,259","1,212","1,816","1,114",929
2021,12,0,"1,115",757,64,44,122,18,15,37,34,24
2021,12,10,"1,797","1,011",108,268,211,35,36,53,30,45
2021,12,20,"2,085","1,247",223,73,196,67,59,112,63,45
2021,12,30,"1,709",998,121,56,229,50,52,95,70,38
2021,12,40,"2,728","1,569",221,98,329,96,87,161,100,67
2021,12,50,"4,514","1,925",458,286,616,248,241,365,190,185
2021,12,60,"5,832","1,821",645,455,802,423,440,570,377,299
2021,12,70,"2,676",779,339,202,350,209,202,267,165,163
2021,12,80,"1,285",412,147,100,172,106,71,141,76,60
2021,12,90,115,44,14,6,9,7,9,15,8,3
2021,12,100,3,1,0,0,1,0,0,0,1,0
