년도,월,나이,가평군,가평읍,설악면,청평면,상면,조종면,북면
2020,5,10,"2,247",795,401,479,160,313,99
2020,5,20,"2,673","1,019",383,583,191,386,111
2020,5,30,"2,732",919,367,601,174,540,131
2020,5,40,"3,695","1,258",526,924,251,568,168
2020,5,50,"5,389","1,654",835,"1,266",531,775,328
2020,5,60,"5,656","1,564",924,"1,307",636,759,466
2020,5,70,"3,610","1,068",495,875,360,515,297
2020,5,80,"2,203",663,336,478,235,287,204
2020,5,90,374,95,76,85,42,44,32
2020,5,100,28,13,2,5,1,5,2
2020,6,총,"30,420","9,631","4,648","6,935","2,691","4,573","1,942"
2020,6,0,"1,774",592,302,332,81,381,86
2020,6,10,"2,250",789,402,475,167,316,101
2020,6,20,"2,670","1,013",383,586,193,382,113
2020,6,30,"2,717",918,361,588,174,541,135
2020,6,40,"3,693","1,251",532,921,253,568,168
2020,6,50,"5,386","1,648",828,"1,272",535,772,331
2020,6,60,"5,708","1,579",934,"1,307",646,770,472
2020,6,70,"3,611","1,067",486,884,366,510,298
2020,6,80,"2,208",666,341,480,235,286,200
2020,6,90,375,95,77,85,40,42,36
2020,6,100,28,13,2,5,1,5,2
2020,7,총,"30,385","9,626","4,645","6,923","2,685","4,571","1,935"
2020,7,0,"1,766",593,305,325,77,381,85
2020,7,10,"2,239",781,399,476,171,312,100
2020,7,20,"2,666","1,014",379,589,193,382,109
2020,7,30,"2,695",919,360,576,174,535,131
2020,7,40,"3,709","1,254",541,920,254,572,168
2020,7,50,"5,370","1,646",819,"1,270",537,768,330
2020,7,60,"5,716","1,581",935,"1,308",645,774,473
2020,7,70,"3,619","1,067",488,887,363,517,297
2020,7,80,"2,199",663,337,482,232,281,204
2020,7,90,379,95,80,86,38,44,36
2020,7,100,27,13,2,4,1,5,2
2020,8,총,"30,377","9,620","4,646","6,901","2,675","4,603","1,932"
2020,8,0,"1,752",594,298,318,75,382,85
2020,8,10,"2,234",779,403,468,170,315,99
2020,8,20,"2,654","1,003",378,588,187,390,108
2020,8,30,"2,679",907,363,568,174,538,129
2020,8,40,"3,703","1,251",538,923,250,572,169
2020,8,50,"5,369","1,648",813,"1,264",535,777,332
2020,8,60,"5,737","1,595",942,"1,305",649,776,470
2020,8,70,"3,627","1,063",492,888,364,520,300
2020,8,80,"2,214",669,335,489,234,285,202
2020,8,90,380,98,82,86,36,43,35
2020,8,100,28,13,2,4,1,5,3
2020,9,총,"30,346","9,609","4,643","6,886","2,685","4,601","1,922"
2020,9,0,"1,726",592,288,309,77,376,84
2020,9,10,"2,228",781,401,466,171,313,96
2020,9,20,"2,654",996,376,592,192,389,109
2020,9,30,"2,658",905,364,563,167,535,124
2020,9,40,"3,696","1,245",538,922,252,569,170
2020,9,50,"5,359","1,633",812,"1,264",536,783,331
2020,9,60,"5,775","1,612",951,"1,307",657,781,467
2020,9,70,"3,618","1,057",491,883,363,524,300
2020,9,80,"2,223",676,338,490,232,283,204
2020,9,90,379,99,82,85,37,42,34
2020,9,100,30,13,2,5,1,6,3
2020,10,총,"30,308","9,584","4,650","6,885","2,688","4,591","1,910"
2020,10,0,"1,710",586,286,305,76,370,87
2020,10,10,"2,223",778,402,467,165,314,97
2020,10,20,"2,647",990,380,588,192,392,105
2020,10,30,"2,638",895,364,557,169,530,123
2020,10,40,"3,679","1,240",540,919,251,562,167
2020,10,50,"5,350","1,632",809,"1,258",538,787,326
2020,10,60,"5,799","1,611",951,"1,318",663,788,468
2020,10,70,"3,622","1,064",488,890,363,517,300
2020,10,80,"2,229",675,345,493,232,284,200
2020,10,90,381,101,83,85,37,41,34
2020,10,100,30,12,2,5,2,6,3
2020,11,총,"30,303","9,583","4,659","6,886","2,691","4,581","1,903"
2020,11,0,"1,704",582,285,309,78,363,87
2020,11,10,"2,210",769,401,468,162,313,97
2020,11,20,"2,653",993,385,587,188,399,101
2020,11,30,"2,641",907,364,551,170,525,124
2020,11,40,"3,661","1,234",541,920,249,555,162
2020,11,50,"5,341","1,627",807,"1,250",543,789,325
2020,11,60,"5,833","1,612",959,"1,335",668,788,471
2020,11,70,"3,613","1,064",488,887,361,516,297
2020,11,80,"2,233",679,343,491,233,285,202
2020,11,90,384,104,84,83,37,42,34
2020,11,100,30,12,2,5,2,6,3
2020,12,총,"30,221","9,575","4,664","6,858","2,652","4,578","1,894"
2020,12,0,"1,681",574,284,305,77,354,87
2020,12,10,"2,168",768,399,462,128,317,94
2020,12,20,"2,637",990,383,582,179,401,102
2020,12,30,"2,628",903,366,549,162,524,124
2020,12,40,"3,653","1,237",539,907,250,560,160
2020,12,50,"5,341","1,628",804,"1,254",544,787,324
2020,12,60,"5,857","1,617",974,"1,334",678,785,469
2020,12,70,"3,607","1,062",485,888,358,517,297
2020,12,80,"2,234",681,343,489,237,286,198
2020,12,90,385,103,85,83,37,41,36
2020,12,100,30,12,2,5,2,6,3
2021,1,총,"30,230","9,592","4,671","6,866","2,638","4,565","1,898"
2021,1,0,"1,676",575,285,305,76,347,88
2021,1,10,"2,144",763,395,469,110,313,94
2021,1,20,"2,654","1,002",386,580,182,403,101
2021,1,30,"2,610",906,368,535,163,514,124
2021,1,40,"3,651","1,233",542,909,244,561,162
2021,1,50,"5,342","1,627",810,"1,255",545,783,322
2021,1,60,"5,888","1,632",970,"1,346",679,792,469
2021,1,70,"3,589","1,051",483,886,361,515,293
2021,1,80,"2,256",684,346,492,239,290,205
2021,1,90,390,107,84,84,37,41,37
2021,1,100,30,12,2,5,2,6,3
2021,2,총,"30,211","9,584","4,692","6,858","2,633","4,547","1,897"
2021,2,0,"1,651",560,279,307,76,342,87
2021,2,10,"2,139",766,394,471,102,313,93
2021,2,20,"2,641","1,002",400,572,179,383,105
2021,2,30,"2,591",891,361,537,166,514,122
2021,2,40,"3,652","1,240",545,903,240,561,163
2021,2,50,"5,335","1,618",811,"1,255",549,781,321
2021,2,60,"5,913","1,647",978,"1,339",678,800,471
2021,2,70,"3,591","1,050",487,892,360,513,289
2021,2,80,"2,277",689,351,493,243,294,207
2021,2,90,390,109,84,83,38,40,36
2021,2,100,31,12,2,6,2,6,3
2021,3,총,"30,040","9,525","4,661","6,808","2,635","4,518","1,893"
2021,3,0,"1,640",554,273,307,77,344,85
2021,3,10,"2,137",756,400,472,100,316,93
2021,3,20,"2,629","1,004",396,559,176,389,105
2021,3,30,"2,569",880,363,538,168,504,116
2021,3,40,"3,608","1,218",541,888,237,559,165
2021,3,50,"5,273","1,604",799,"1,229",550,775,316
2021,3,60,"5,931","1,643",969,"1,352",683,802,482
2021,3,70,"3,576","1,056",486,880,363,506,285
2021,3,80,"2,275",688,350,500,243,286,208
2021,3,90,380,110,83,81,37,34,35
2021,3,100,22,12,1,2,1,3,3
2021,4,총,"30,126","9,540","4,689","6,809","2,659","4,522","1,907"
2021,4,0,"1,634",553,276,303,75,339,88
2021,4,10,"2,158",753,399,471,127,316,92
2021,4,20,"2,637",993,406,557,181,393,107
2021,4,30,"2,558",884,371,529,164,495,115
2021,4,40,"3,624","1,217",548,891,236,561,171
2021,4,50,"5,259","1,610",794,"1,219",546,778,312
2021,4,60,"5,996","1,664",972,"1,374",679,819,488
2021,4,70,"3,569","1,047",488,877,368,502,287
2021,4,80,"2,286",698,352,503,243,281,209
2021,4,90,383,109,82,83,39,35,35
2021,4,100,22,12,1,2,1,3,3
2021,5,총,"30,219","9,529","4,713","6,822","2,711","4,524","1,920"
2021,5,0,"1,634",549,274,305,80,339,87
2021,5,10,"2,182",757,398,466,158,312,91
2021,5,20,"2,633",987,413,553,179,390,111
2021,5,30,"2,556",873,370,529,170,500,114
2021,5,40,"3,627","1,219",552,889,237,559,171
2021,5,50,"5,239","1,594",794,"1,218",547,772,314
2021,5,60,"6,065","1,693",979,"1,390",683,827,493
2021,5,70,"3,585","1,041",497,879,372,504,292
2021,5,80,"2,298",700,353,509,245,283,208
2021,5,90,378,104,82,82,39,35,36
2021,5,100,22,12,1,2,1,3,3
2021,6,총,"30,218","9,544","4,716","6,811","2,715","4,516","1,916"
2021,6,0,"1,628",548,269,302,80,339,90
2021,6,10,"2,183",760,399,468,154,313,89
2021,6,20,"2,626",990,414,543,179,390,110
2021,6,30,"2,560",877,367,529,172,502,113
2021,6,40,"3,619","1,219",549,886,241,554,170
2021,6,50,"5,211","1,582",795,"1,211",548,762,313
2021,6,60,"6,109","1,713",992,"1,397",680,833,494
2021,6,70,"3,572","1,039",496,870,372,504,291
2021,6,80,"2,310",699,352,521,247,283,208
2021,6,90,378,105,82,82,41,33,35
2021,6,100,22,12,1,2,1,3,3
2021,7,총,"30,234","9,534","4,718","6,824","2,711","4,518","1,929"
2021,7,0,"1,616",539,268,301,80,340,88
2021,7,10,"2,190",767,402,465,150,316,90
2021,7,20,"2,622",992,405,546,175,391,113
2021,7,30,"2,560",878,369,530,170,501,112
2021,7,40,"3,617","1,216",549,879,241,556,176
2021,7,50,"5,200","1,573",793,"1,217",545,758,314
2021,7,60,"6,140","1,714","1,000","1,405",690,835,496
2021,7,70,"3,565","1,035",497,871,374,499,289
2021,7,80,"2,320",703,353,526,240,285,213
2021,7,90,381,105,81,81,45,34,35
2021,7,100,23,12,1,3,1,3,3
2021,8,총,"30,246","9,556","4,710","6,826","2,721","4,510","1,923"
2021,8,0,"1,598",534,261,304,79,335,85
2021,8,10,"2,204",774,402,467,154,318,89
2021,8,20,"2,597",980,403,540,172,388,114
2021,8,30,"2,549",873,373,523,174,497,109
2021,8,40,"3,616","1,229",541,873,242,561,170
2021,8,50,"5,200","1,574",784,"1,226",543,755,318
2021,8,60,"6,177","1,724","1,010","1,403",703,838,499
2021,8,70,"3,558","1,036",499,870,371,499,283
2021,8,80,"2,340",709,356,536,241,281,217
2021,8,90,385,111,80,81,42,35,36
2021,8,100,22,12,1,3,0,3,3
2021,9,총,"30,167","9,515","4,701","6,815","2,698","4,524","1,914"
2021,9,0,"1,579",520,267,298,76,335,83
2021,9,10,"2,192",773,404,469,144,315,87
2021,9,20,"2,583",971,399,538,165,402,108
2021,9,30,"2,532",867,362,515,174,503,111
2021,9,40,"3,599","1,222",540,866,246,555,170
2021,9,50,"5,179","1,562",779,"1,228",545,751,314
2021,9,60,"6,210","1,739","1,014","1,415",697,844,501
2021,9,70,"3,540","1,026",499,866,370,497,282
2021,9,80,"2,344",711,356,534,240,283,220
2021,9,90,387,112,80,83,41,36,35
2021,9,100,22,12,1,3,0,3,3
2021,10,총,"30,111","9,507","4,687","6,818","2,688","4,513","1,898"
2021,10,0,"1,580",517,268,300,76,336,83
2021,10,10,"2,158",769,397,464,127,315,86
2021,10,20,"2,571",966,403,536,160,402,104
2021,10,30,"2,509",860,355,517,176,494,107
2021,10,40,"3,587","1,222",537,864,249,552,163
2021,10,50,"5,187","1,573",774,"1,232",551,745,312
2021,10,60,"6,232","1,736","1,023","1,413",698,853,509
2021,10,70,"3,537","1,028",494,869,374,494,278
2021,10,80,"2,340",713,355,534,236,283,219
2021,10,90,388,111,80,86,41,36,34
2021,10,100,22,12,1,3,0,3,3
2021,11,총,"30,106","9,492","4,688","6,828","2,679","4,536","1,883"
2021,11,0,"1,578",516,266,299,78,340,79
2021,11,10,"2,150",771,396,466,115,316,86
2021,11,20,"2,562",957,403,537,161,407,97
2021,11,30,"2,498",851,355,519,172,496,105
2021,11,40,"3,572","1,215",527,859,249,558,164
2021,11,50,"5,217","1,578",782,"1,240",550,753,314
2021,11,60,"6,260","1,749","1,026","1,419",704,854,508
2021,11,70,"3,522","1,019",496,866,375,490,276
2021,11,80,"2,342",713,357,537,235,283,217
2021,11,90,382,111,79,83,40,36,33
2021,11,100,23,12,1,3,0,3,4
2021,12,총,"30,135","9,551","4,699","6,829","2,649","4,527","1,880"
2021,12,0,"1,579",524,266,302,75,335,77
2021,12,10,"2,137",772,393,470,99,316,87
2021,12,20,"2,560",966,404,537,155,403,95
2021,12,30,"2,494",859,356,520,168,491,100
2021,12,40,"3,589","1,224",533,859,245,561,167
2021,12,50,"5,219","1,589",784,"1,227",550,752,317
2021,12,60,"6,290","1,758","1,024","1,428",708,861,511
2021,12,70,"3,512","1,021",502,858,373,480,278
2021,12,80,"2,357",718,358,544,237,289,211
2021,12,90,383,114,78,81,39,36,35
2021,12,100,15,6,1,3,0,3,2
