년도,월,나이,경기도 오산시,경기도 오산시 중앙동,경기도 오산시 남촌동,경기도 오산시 신장동,경기도 오산시 세마동,경기도 오산시 초평동,경기도 오산시 대원동
2020,9,50,"33,044","5,345","2,798","8,399","4,216","2,488","9,798"
2020,9,60,"19,477","3,086","1,703","5,494","2,554","1,424","5,216"
2020,9,70,"9,654","1,579",806,"2,742","1,069",764,"2,694"
2020,9,80,"3,906",687,298,"1,127",419,330,"1,045"
2020,9,90,510,87,37,139,73,31,143
2020,9,100,45,8,6,12,6,5,8
2020,10,총,"229,424","36,062","20,022","60,776","31,904","16,204","64,456"
2020,10,0,"24,044","4,077",942,"7,256","4,055","1,437","6,277"
2020,10,10,"24,935","4,220","1,179","6,903","3,303","1,993","7,337"
2020,10,20,"31,115","4,465","3,723","7,044","4,095","2,187","9,601"
2020,10,30,"39,172","5,673","4,811","10,044","6,077","2,381","10,186"
2020,10,40,"43,201","6,781","3,696","11,509","6,016","3,118","12,081"
2020,10,50,"33,133","5,364","2,799","8,447","4,217","2,506","9,800"
2020,10,60,"19,659","3,112","1,722","5,525","2,585","1,447","5,268"
2020,10,70,"9,681","1,588",808,"2,761","1,069",766,"2,689"
2020,10,80,"3,933",688,301,"1,136",411,331,"1,066"
2020,10,90,507,87,35,139,70,33,143
2020,10,100,44,7,6,12,6,5,8
2020,11,총,"229,591","36,109","20,040","60,854","31,947","16,172","64,469"
2020,11,0,"23,930","4,084",944,"7,192","4,044","1,429","6,237"
2020,11,10,"24,886","4,230","1,152","6,934","3,300","1,983","7,287"
2020,11,20,"31,244","4,467","3,763","7,091","4,083","2,180","9,660"
2020,11,30,"38,989","5,647","4,825","9,981","6,062","2,359","10,115"
2020,11,40,"43,246","6,787","3,685","11,563","6,021","3,123","12,067"
2020,11,50,"33,214","5,360","2,794","8,467","4,245","2,500","9,848"
2020,11,60,"19,816","3,148","1,729","5,551","2,612","1,457","5,319"
2020,11,70,"9,761","1,605",806,"2,782","1,088",771,"2,709"
2020,11,80,"3,952",687,303,"1,143",414,333,"1,072"
2020,11,90,510,88,33,138,72,32,147
2020,11,100,43,6,6,12,6,5,8
2020,12,총,"229,725","36,118","20,124","60,851","31,988","16,209","64,435"
2020,12,0,"23,784","4,070",931,"7,142","4,055","1,415","6,171"
2020,12,10,"24,873","4,237","1,157","6,930","3,301","1,974","7,274"
2020,12,20,"31,321","4,458","3,785","7,112","4,097","2,215","9,654"
2020,12,30,"38,973","5,619","4,856","9,961","6,045","2,376","10,116"
2020,12,40,"43,237","6,785","3,700","11,565","6,042","3,101","12,044"
2020,12,50,"33,266","5,393","2,812","8,477","4,226","2,503","9,855"
2020,12,60,"19,943","3,167","1,728","5,585","2,624","1,479","5,360"
2020,12,70,"9,779","1,606",810,"2,776","1,096",772,"2,719"
2020,12,80,"3,998",696,306,"1,149",426,337,"1,084"
2020,12,90,509,81,33,142,71,32,150
2020,12,100,42,6,6,12,5,5,8
2021,1,총,"230,042","36,106","20,159","60,917","32,064","16,250","64,546"
2021,1,0,"23,574","4,003",912,"7,081","4,028","1,396","6,154"
2021,1,10,"24,924","4,238","1,165","6,959","3,332","1,975","7,255"
2021,1,20,"31,378","4,472","3,775","7,097","4,075","2,250","9,709"
2021,1,30,"38,825","5,551","4,854","9,947","6,032","2,365","10,076"
2021,1,40,"43,380","6,792","3,735","11,600","6,083","3,110","12,060"
2021,1,50,"33,399","5,419","2,824","8,492","4,258","2,514","9,892"
2021,1,60,"20,137","3,209","1,724","5,637","2,645","1,489","5,433"
2021,1,70,"9,842","1,629",820,"2,790","1,109",774,"2,720"
2021,1,80,"4,023",706,311,"1,156",424,337,"1,089"
2021,1,90,518,81,33,146,73,35,150
2021,1,100,42,6,6,12,5,5,8
2021,2,총,"230,522","36,045","20,329","61,141","32,033","16,292","64,682"
2021,2,0,"23,409","3,969",904,"7,036","3,996","1,386","6,118"
2021,2,10,"24,925","4,220","1,181","7,012","3,326","1,963","7,223"
2021,2,20,"31,492","4,476","3,807","7,145","4,065","2,264","9,735"
2021,2,30,"38,663","5,484","4,905","9,893","5,991","2,354","10,036"
2021,2,40,"43,589","6,803","3,776","11,688","6,098","3,123","12,101"
2021,2,50,"33,536","5,421","2,851","8,505","4,268","2,531","9,960"
2021,2,60,"20,404","3,250","1,732","5,728","2,679","1,509","5,506"
2021,2,70,"9,867","1,620",819,"2,819","1,107",775,"2,727"
2021,2,80,"4,082",716,317,"1,159",425,348,"1,117"
2021,2,90,515,80,32,145,73,34,151
2021,2,100,40,6,5,11,5,5,8
2021,3,총,"230,604","36,023","20,394","61,106","32,117","16,287","64,677"
2021,3,0,"23,226","3,926",894,"6,979","4,002","1,368","6,057"
2021,3,10,"24,947","4,209","1,183","7,041","3,340","1,954","7,220"
2021,3,20,"31,546","4,467","3,838","7,144","4,072","2,253","9,772"
2021,3,30,"38,603","5,461","4,922","9,854","5,998","2,355","10,013"
2021,3,40,"43,592","6,807","3,788","11,655","6,133","3,121","12,088"
2021,3,50,"33,504","5,422","2,848","8,493","4,258","2,530","9,953"
2021,3,60,"20,661","3,295","1,755","5,795","2,723","1,540","5,553"
2021,3,70,"9,871","1,624",819,"2,810","1,099",776,"2,743"
2021,3,80,"4,114",728,315,"1,171",422,352,"1,126"
2021,3,90,509,78,28,152,69,33,149
2021,3,100,31,6,4,12,1,5,3
2021,4,총,"230,769","35,991","20,453","61,278","32,042","16,250","64,755"
2021,4,0,"23,065","3,900",888,"6,947","3,974","1,345","6,011"
2021,4,10,"24,925","4,192","1,183","7,071","3,338","1,954","7,187"
2021,4,20,"31,646","4,481","3,863","7,180","4,071","2,240","9,811"
2021,4,30,"38,464","5,418","4,926","9,818","5,953","2,341","10,008"
2021,4,40,"43,628","6,795","3,813","11,707","6,124","3,112","12,077"
2021,4,50,"33,634","5,441","2,851","8,511","4,267","2,545","10,019"
2021,4,60,"20,809","3,323","1,756","5,878","2,720","1,542","5,590"
2021,4,70,"9,906","1,621",818,"2,817","1,102",782,"2,766"
2021,4,80,"4,144",737,324,"1,180",421,350,"1,132"
2021,4,90,517,77,27,157,71,34,151
2021,4,100,31,6,4,12,1,5,3
2021,5,총,"230,702","35,892","20,475","61,279","32,107","16,191","64,758"
2021,5,0,"22,927","3,885",874,"6,898","3,966","1,324","5,980"
2021,5,10,"24,941","4,175","1,178","7,094","3,349","1,947","7,198"
2021,5,20,"31,583","4,470","3,844","7,162","4,093","2,220","9,794"
2021,5,30,"38,330","5,399","4,932","9,771","5,932","2,321","9,975"
2021,5,40,"43,623","6,764","3,833","11,729","6,130","3,094","12,073"
2021,5,50,"33,675","5,441","2,859","8,516","4,291","2,546","10,022"
2021,5,60,"20,989","3,331","1,778","5,922","2,744","1,561","5,653"
2021,5,70,"9,902","1,611",817,"2,827","1,106",783,"2,758"
2021,5,80,"4,186",738,328,"1,193",423,354,"1,150"
2021,5,90,521,78,28,155,72,36,152
