년도,월,나이,삼척시,도계읍,원덕읍,원덕읍임원출장소,근덕면,하장면,노곡면,미로면,가곡면,신기면,남양동,교동,정라동,성내동
2020,7,50,"11,474","1,705",638,357,"1,013",301,149,350,139,131,"1,495","2,266","1,542","1,388"
2020,7,60,"10,870","1,812",671,364,"1,152",361,173,417,170,153,"1,563","1,374","1,286","1,374"
2020,7,70,"7,245","1,258",530,300,871,186,144,331,124,126,"1,022",683,835,835
2020,7,80,"3,899",574,332,156,607,111,96,224,79,82,480,321,388,449
2020,7,90,570,67,49,26,100,16,19,37,9,7,59,57,66,58
2020,7,100,50,15,8,0,7,0,0,1,1,1,2,5,8,2
2020,8,총,"65,708","10,305","3,358","1,728","5,197","1,338",724,"1,864",700,679,"7,752","14,654","9,173","8,236"
2020,8,0,"3,929",346,94,38,100,28,8,44,14,21,297,"1,709",674,556
2020,8,10,"5,265",859,142,69,240,42,11,70,26,12,494,"1,676",844,780
2020,8,20,"7,397","1,962",263,124,359,68,32,93,28,25,755,"1,908",993,787
2020,8,30,"5,940",588,224,98,283,75,28,93,28,45,621,"2,097",994,766
2020,8,40,"9,033","1,120",403,191,470,151,60,201,79,74,959,"2,560","1,537","1,228"
2020,8,50,"11,446","1,695",641,358,"1,016",298,151,352,140,130,"1,478","2,252","1,553","1,382"
2020,8,60,"10,942","1,823",671,367,"1,154",364,176,420,170,156,"1,584","1,384","1,291","1,382"
2020,8,70,"7,233","1,258",525,300,864,181,144,332,126,125,"1,021",685,831,841
2020,8,80,"3,900",572,336,157,604,115,94,222,79,83,483,322,382,451
2020,8,90,573,67,51,26,100,16,20,36,9,7,58,56,66,61
2020,8,100,50,15,8,0,7,0,0,1,1,1,2,5,8,2
2020,9,총,"65,639","10,286","3,347","1,728","5,180","1,339",722,"1,847",701,681,"7,753","14,660","9,167","8,228"
2020,9,0,"3,905",339,94,39,99,29,8,43,14,20,298,"1,695",673,554
2020,9,10,"5,263",849,141,67,235,41,10,65,25,13,494,"1,687",858,778
2020,9,20,"7,383","1,969",263,125,350,67,33,91,27,25,748,"1,908",995,782
2020,9,30,"5,887",591,219,96,282,76,27,94,28,45,609,"2,084",977,759
2020,9,40,"9,023","1,113",401,187,477,150,60,196,80,75,958,"2,567","1,532","1,227"
2020,9,50,"11,406","1,685",640,359,"1,002",296,151,349,141,127,"1,484","2,257","1,538","1,377"
2020,9,60,"10,999","1,832",670,368,"1,161",364,177,418,168,160,"1,591","1,397","1,301","1,392"
2020,9,70,"7,221","1,254",521,303,859,182,140,331,128,124,"1,027",680,830,842
2020,9,80,"3,922",572,340,158,605,119,95,223,79,83,486,321,388,453
2020,9,90,580,67,50,26,103,15,21,36,10,8,56,59,67,62
2020,9,100,50,15,8,0,7,0,0,1,1,1,2,5,8,2
2020,10,총,"65,544","10,250","3,328","1,734","5,195","1,339",724,"1,849",712,680,"7,741","14,654","9,129","8,209"
2020,10,0,"3,878",333,90,39,104,29,8,44,14,20,296,"1,679",666,556
2020,10,10,"5,233",827,142,65,240,41,9,65,27,13,495,"1,684",850,775
2020,10,20,"7,387","1,974",257,129,350,67,37,95,30,24,743,"1,906",998,777
2020,10,30,"5,838",578,214,96,286,76,25,93,28,45,603,"2,078",961,755
2020,10,40,"8,981","1,102",392,189,478,149,62,195,82,73,961,"2,550","1,525","1,223"
2020,10,50,"11,390","1,680",635,365,"1,001",297,149,349,142,128,"1,470","2,273","1,538","1,363"
2020,10,60,"11,063","1,848",681,364,"1,168",364,178,421,169,160,"1,590","1,417","1,306","1,397"
2020,10,70,"7,220","1,248",520,302,860,181,140,330,130,124,"1,036",684,819,846
2020,10,80,"3,925",578,339,157,602,121,93,222,78,83,488,319,392,453
2020,10,90,579,67,50,28,99,14,23,34,11,9,57,59,66,62
2020,10,100,50,15,8,0,7,0,0,1,1,1,2,5,8,2
2020,11,총,"65,409","10,188","3,321","1,734","5,209","1,334",720,"1,855",708,680,"7,709","14,642","9,133","8,176"
2020,11,0,"3,865",330,94,37,106,29,9,45,14,19,290,"1,686",659,547
2020,11,10,"5,193",803,143,64,233,37,7,65,27,10,498,"1,678",853,775
2020,11,20,"7,344","1,953",249,134,352,69,37,93,30,24,741,"1,903","1,002",757
2020,11,30,"5,801",568,212,94,291,73,23,94,27,43,588,"2,080",955,753
2020,11,40,"8,950","1,102",394,189,482,147,62,198,80,74,957,"2,539","1,507","1,219"
2020,11,50,"11,365","1,676",633,362,"1,001",299,147,349,141,128,"1,458","2,271","1,548","1,352"
2020,11,60,"11,109","1,851",684,366,"1,174",365,178,426,169,165,"1,585","1,423","1,316","1,407"
2020,11,70,"7,205","1,240",517,303,858,180,141,332,130,122,"1,036",679,825,842
2020,11,80,"3,946",582,338,157,606,121,92,218,78,85,498,320,394,457
2020,11,90,581,68,49,28,99,14,24,34,11,9,56,58,66,65
2020,11,100,50,15,8,0,7,0,0,1,1,1,2,5,8,2
2020,12,총,"65,243","10,044","3,333","1,747","5,209","1,338",725,"1,862",702,673,"7,719","14,644","9,092","8,155"
2020,12,0,"3,861",326,95,41,107,28,9,43,13,18,292,"1,685",655,549
2020,12,10,"5,134",760,144,64,231,37,8,64,28,11,497,"1,688",838,764
2020,12,20,"7,236","1,857",244,136,347,70,37,93,29,24,749,"1,889","1,008",753
2020,12,30,"5,795",565,223,93,288,75,23,97,23,41,594,"2,067",947,759
2020,12,40,"8,923","1,096",391,193,480,149,60,197,79,73,957,"2,547","1,501","1,200"
2020,12,50,"11,331","1,674",631,362,"1,000",295,148,350,140,125,"1,452","2,275","1,536","1,343"
2020,12,60,"11,167","1,858",694,371,"1,178",370,186,428,171,165,"1,584","1,428","1,312","1,422"
2020,12,70,"7,187","1,230",516,299,858,180,138,334,130,121,"1,036",678,827,840
2020,12,80,"3,976",593,338,159,612,119,93,220,76,85,499,324,397,461
2020,12,90,582,69,49,29,101,15,23,35,12,9,57,57,64,62
2020,12,100,51,16,8,0,7,0,0,1,1,1,2,6,7,2
2021,1,총,"64,946","9,907","3,325","1,743","5,182","1,326",724,"1,871",695,676,"7,708","14,577","9,086","8,126"
2021,1,0,"3,826",323,94,41,105,27,9,44,13,17,297,"1,665",646,545
2021,1,10,"5,070",744,143,64,219,36,8,67,26,10,492,"1,678",827,756
2021,1,20,"7,089","1,757",242,133,350,67,35,94,28,26,742,"1,857","1,015",743
2021,1,30,"5,734",558,216,94,281,71,23,95,22,36,584,"2,047",951,756
2021,1,40,"8,884","1,083",392,192,476,149,59,199,78,75,958,"2,532","1,494","1,197"
2021,1,50,"11,300","1,673",628,356,997,293,147,348,140,128,"1,441","2,285","1,537","1,327"
2021,1,60,"11,229","1,855",695,376,"1,177",371,189,434,170,168,"1,601","1,445","1,313","1,435"
2021,1,70,"7,172","1,230",516,297,847,175,138,333,129,121,"1,034",681,835,836
2021,1,80,"4,005",601,340,162,614,123,92,219,77,85,502,325,396,469
2021,1,90,583,66,51,28,108,14,24,37,11,9,55,56,64,60
2021,1,100,54,17,8,0,8,0,0,1,1,1,2,6,8,2
2021,2,총,"64,680","9,785","3,308","1,733","5,176","1,325",722,"1,865",695,675,"7,675","14,535","9,074","8,112"
2021,2,0,"3,796",320,91,42,107,24,8,43,13,17,291,"1,658",645,537
2021,2,10,"5,039",720,142,64,212,37,9,67,27,12,486,"1,678",824,761
2021,2,20,"6,956","1,680",236,130,343,65,35,93,27,26,738,"1,847","1,001",735
2021,2,30,"5,645",541,210,94,272,71,21,92,22,36,584,"2,016",945,741
2021,2,40,"8,844","1,076",392,187,476,147,61,200,77,73,944,"2,518","1,488","1,205"
2021,2,50,"11,273","1,664",626,354,999,290,148,343,140,126,"1,439","2,284","1,542","1,318"
2021,2,60,"11,277","1,868",694,375,"1,188",377,188,438,171,169,"1,596","1,458","1,318","1,437"
2021,2,70,"7,185","1,231",518,299,843,177,137,332,130,123,"1,035",684,839,837
2021,2,80,"4,024",604,339,160,616,123,91,220,76,84,506,328,399,478
2021,2,90,588,64,52,28,112,14,24,36,11,9,54,58,65,61
2021,2,100,53,17,8,0,8,0,0,1,1,0,2,6,8,2
2021,3,총,"64,393","9,668","3,304","1,720","5,128","1,306",714,"1,843",678,668,"7,648","14,563","9,059","8,094"
2021,3,0,"3,772",316,90,42,103,22,8,44,13,15,287,"1,649",646,537
2021,3,10,"5,044",747,143,63,213,37,8,68,25,14,482,"1,687",810,747
2021,3,20,"6,975","1,694",233,128,341,66,33,85,27,24,731,"1,845","1,020",748
2021,3,30,"5,590",516,207,88,265,68,20,90,20,34,595,"2,023",929,735
2021,3,40,"8,792","1,059",391,187,469,140,62,192,76,72,942,"2,515","1,487","1,200"
2021,3,50,"11,145","1,619",627,351,987,281,142,341,128,126,"1,408","2,279","1,533","1,323"
2021,3,60,"11,330","1,852",696,378,"1,198",378,193,441,174,168,"1,606","1,488","1,320","1,438"
2021,3,70,"7,115","1,211",515,294,818,175,135,324,128,124,"1,032",685,842,832
2021,3,80,"4,022",591,342,163,615,126,89,224,76,82,506,329,402,477
2021,3,90,579,60,52,26,114,13,24,34,11,9,57,57,65,57
2021,3,100,29,3,8,0,5,0,0,0,0,0,2,6,5,0
2021,4,총,"64,355","9,761","3,298","1,724","5,117","1,296",709,"1,845",682,671,"7,630","14,524","9,055","8,043"
2021,4,0,"3,727",312,89,45,102,21,8,43,11,15,282,"1,635",639,525
2021,4,10,"5,119",829,142,62,207,35,8,70,26,13,482,"1,687",817,741
2021,4,20,"6,974","1,720",230,129,337,65,32,84,28,24,720,"1,834","1,020",751
2021,4,30,"5,534",513,201,87,268,69,21,84,21,33,595,"2,004",914,724
2021,4,40,"8,755","1,048",381,192,468,131,61,194,76,71,938,"2,518","1,487","1,190"
2021,4,50,"11,108","1,619",624,346,979,281,136,341,127,128,"1,393","2,279","1,542","1,313"
2021,4,60,"11,393","1,857",713,381,"1,211",378,196,444,175,172,"1,620","1,489","1,322","1,435"
2021,4,70,"7,100","1,205",509,294,815,177,134,322,129,123,"1,028",689,842,833
2021,4,80,"4,020",594,347,164,607,123,89,229,77,83,510,324,402,471
2021,4,90,595,61,54,24,118,16,24,34,12,9,60,59,65,59
2021,4,100,30,3,8,0,5,0,0,0,0,0,2,6,5,1
2021,5,총,"64,188","9,718","3,283","1,720","5,115","1,298",714,"1,836",683,667,"7,598","14,508","9,035","8,013"
2021,5,0,"3,702",312,88,43,106,20,9,42,11,15,276,"1,630",630,520
2021,5,10,"5,089",811,138,63,204,36,8,70,25,12,481,"1,692",819,730
2021,5,20,"6,976","1,720",231,125,336,63,33,82,27,23,720,"1,845","1,016",755
2021,5,30,"5,477",505,198,89,267,68,21,82,20,34,589,"1,989",897,718
2021,5,40,"8,666","1,034",377,188,461,132,61,190,76,67,932,"2,495","1,481","1,172"
2021,5,50,"11,082","1,613",618,346,977,277,134,339,125,128,"1,388","2,286","1,537","1,314"
2021,5,60,"11,452","1,858",719,381,"1,220",384,200,448,180,172,"1,616","1,497","1,335","1,442"
2021,5,70,"7,084","1,202",510,294,810,178,134,319,129,122,"1,024",689,843,830
2021,5,80,"4,036",599,343,166,610,124,90,231,78,85,511,324,406,469
2021,5,90,598,61,53,25,119,16,24,33,12,9,59,59,66,62
2021,5,100,26,3,8,0,5,0,0,0,0,0,2,2,5,1
2021,6,총,"64,073","9,666","3,267","1,719","5,108","1,295",719,"1,840",687,661,"7,562","14,513","9,047","7,989"
2021,6,0,"3,681",310,83,42,105,20,9,41,11,14,271,"1,626",632,517
2021,6,10,"5,057",784,134,63,201,38,9,71,25,12,481,"1,691",821,727
2021,6,20,"6,943","1,697",232,126,335,62,33,83,28,21,712,"1,847","1,013",754
2021,6,30,"5,432",497,202,86,267,66,21,82,21,33,585,"1,973",893,706
2021,6,40,"8,637","1,031",368,191,452,129,60,192,76,67,926,"2,501","1,479","1,165"
2021,6,50,"11,039","1,605",607,343,975,277,137,339,125,125,"1,377","2,288","1,532","1,309"
2021,6,60,"11,534","1,875",727,381,"1,230",384,200,447,182,175,"1,625","1,509","1,352","1,447"
2021,6,70,"7,068","1,198",509,295,811,175,135,319,128,122,"1,015",692,841,828
2021,6,80,"4,045",603,343,166,606,128,91,231,79,83,506,326,411,472
2021,6,90,611,63,54,26,121,16,24,35,12,9,62,58,68,63
2021,6,100,26,3,8,0,5,0,0,0,0,0,2,2,5,1
2021,7,총,"63,952","9,601","3,254","1,722","5,104","1,298",718,"1,828",686,661,"7,555","14,491","9,062","7,972"
2021,7,0,"3,657",305,84,42,106,20,9,39,10,14,267,"1,621",629,511
2021,7,10,"5,018",757,130,65,198,37,10,68,26,12,482,"1,686",819,728
2021,7,20,"6,896","1,672",231,126,328,62,32,82,28,21,709,"1,839","1,012",754
2021,7,30,"5,407",494,204,84,270,68,21,80,20,32,581,"1,956",893,704
2021,7,40,"8,608","1,018",362,191,457,126,56,190,74,67,926,"2,503","1,477","1,161"
2021,7,50,"11,010","1,595",605,341,969,279,138,331,127,126,"1,371","2,293","1,530","1,305"
2021,7,60,"11,607","1,885",730,386,"1,235",387,200,456,183,176,"1,632","1,522","1,368","1,447"
2021,7,70,"7,056","1,204",506,296,807,176,135,319,127,120,"1,016",683,845,822
2021,7,80,"4,052",603,342,165,607,127,93,228,78,84,507,328,416,474
2021,7,90,614,65,52,26,122,16,24,35,13,9,61,58,68,65
2021,7,100,27,3,8,0,5,0,0,0,0,0,3,2,5,1
2021,8,총,"63,825","9,549","3,242","1,710","5,100","1,303",715,"1,825",684,667,"7,544","14,479","9,022","7,985"
2021,8,0,"3,626",304,78,42,104,20,9,38,10,14,256,"1,621",621,509
2021,8,10,"4,978",736,129,63,197,37,10,63,26,12,482,"1,681",813,729
2021,8,20,"6,867","1,665",232,124,328,63,31,83,28,22,705,"1,829","1,002",755
2021,8,30,"5,379",487,203,84,270,68,21,80,19,33,573,"1,957",884,700
2021,8,40,"8,552","1,013",354,185,457,124,55,188,72,66,926,"2,492","1,457","1,163"
2021,8,50,"10,994","1,576",606,338,968,274,137,328,126,131,"1,365","2,292","1,546","1,307"
2021,8,60,"11,676","1,886",736,388,"1,240",396,201,463,185,176,"1,651","1,532","1,366","1,456"
2021,8,70,"7,058","1,206",505,297,805,177,135,319,127,119,"1,016",688,844,820
2021,8,80,"4,061",607,341,164,608,128,91,229,78,85,505,328,416,481
2021,8,90,608,66,51,25,118,16,25,34,13,9,62,57,68,64
2021,8,100,26,3,7,0,5,0,0,0,0,0,3,2,5,1
2021,9,총,"63,864","9,701","3,231","1,700","5,093","1,296",713,"1,820",679,664,"7,519","14,478","8,978","7,992"
2021,9,0,"3,602",300,76,43,104,20,8,36,10,12,251,"1,617",618,507
2021,9,10,"5,074",839,130,62,200,36,10,63,26,12,477,"1,683",801,735
2021,9,20,"6,906","1,727",228,123,324,62,31,80,28,23,699,"1,830",994,757
2021,9,30,"5,329",485,201,81,266,68,21,76,18,32,561,"1,942",886,692
2021,9,40,"8,526","1,007",352,183,468,119,55,187,70,66,926,"2,500","1,434","1,159"
2021,9,50,"10,968","1,560",605,332,950,274,132,330,126,130,"1,366","2,292","1,554","1,317"
2021,9,60,"11,730","1,900",742,392,"1,251",397,206,467,184,177,"1,651","1,537","1,368","1,458"
2021,9,70,"7,025","1,208",501,294,798,177,133,318,126,114,"1,018",688,834,816
2021,9,80,"4,067",604,339,165,612,127,92,227,78,89,504,329,415,486
2021,9,90,611,68,50,25,115,16,25,36,13,9,63,58,69,64
2021,9,100,26,3,7,0,5,0,0,0,0,0,3,2,5,1
2021,10,총,"63,833","9,746","3,233","1,697","5,085","1,295",715,"1,814",672,662,"7,510","14,463","8,950","7,991"
2021,10,0,"3,582",301,76,42,104,22,7,35,9,11,252,"1,612",612,499
2021,10,10,"5,092",859,129,62,189,36,10,63,23,12,481,"1,689",797,742
2021,10,20,"6,915","1,762",233,120,320,61,32,77,28,25,694,"1,821",985,757
2021,10,30,"5,293",480,198,84,269,68,21,76,17,32,560,"1,924",876,688
2021,10,40,"8,485","1,002",344,176,459,118,56,184,67,65,923,"2,501","1,429","1,161"
2021,10,50,"10,961","1,557",613,335,949,272,134,330,123,129,"1,365","2,285","1,557","1,312"
2021,10,60,"11,785","1,903",742,393,"1,268",398,205,472,184,177,"1,643","1,556","1,376","1,468"
2021,10,70,"7,012","1,202",499,295,799,179,133,314,128,112,"1,023",680,832,816
2021,10,80,"4,076",609,342,165,609,126,92,227,80,89,503,334,418,482
2021,10,90,609,68,50,25,114,15,25,36,13,9,63,59,67,65
2021,10,100,23,3,7,0,5,0,0,0,0,1,3,2,1,1
2021,11,총,"63,682","9,690","3,232","1,695","5,073","1,294",715,"1,811",671,660,"7,494","14,410","8,941","7,996"
2021,11,0,"3,554",297,78,42,103,22,7,33,9,11,247,"1,587",618,500
2021,11,10,"5,058",832,129,63,182,34,10,63,23,12,480,"1,687",800,743
2021,11,20,"6,862","1,748",229,122,313,60,32,77,28,25,695,"1,810",970,753
2021,11,30,"5,267",477,190,82,270,68,20,76,16,32,564,"1,900",881,691
2021,11,40,"8,486",986,348,179,458,119,57,182,67,66,915,"2,508","1,425","1,176"
2021,11,50,"10,943","1,552",614,334,950,268,135,330,122,129,"1,367","2,290","1,554","1,298"
2021,11,60,"11,809","1,918",747,392,"1,272",401,206,475,187,176,"1,639","1,547","1,376","1,473"
2021,11,70,"7,000","1,198",498,291,802,179,131,310,126,113,"1,023",687,831,811
2021,11,80,"4,069",612,341,164,606,128,91,229,80,87,496,334,416,485
2021,11,90,614,67,51,26,112,15,26,36,13,9,66,59,69,65
2021,11,100,20,3,7,0,5,0,0,0,0,0,2,1,1,1
2021,12,총,"63,429","9,538","3,217","1,687","5,063","1,296",714,"1,807",669,665,"7,478","14,387","8,924","7,984"
2021,12,0,"3,524",295,77,41,106,21,7,30,9,11,247,"1,575",615,490
2021,12,10,"5,018",794,122,61,177,36,10,63,24,13,475,"1,686",804,753
2021,12,20,"6,721","1,653",233,119,302,61,32,77,27,24,687,"1,803",955,748
2021,12,30,"5,210",468,192,81,270,67,20,74,15,31,561,"1,875",873,683
2021,12,40,"8,497",986,342,182,460,122,58,182,67,66,913,"2,507","1,431","1,181"
2021,12,50,"10,920","1,543",613,332,949,265,137,325,120,131,"1,365","2,299","1,547","1,294"
2021,12,60,"11,843","1,921",749,392,"1,272",402,201,483,187,177,"1,641","1,556","1,381","1,481"
2021,12,70,"6,992","1,195",496,287,801,179,133,311,126,114,"1,023",694,830,803
2021,12,80,"4,074",615,338,168,607,129,92,226,80,88,498,330,417,486
2021,12,90,614,66,52,24,113,14,24,36,14,10,66,61,70,64
2021,12,100,16,2,3,0,6,0,0,0,0,0,2,1,1,1
