년도,월,나이,서울특별시 마포구,서울특별시 마포구 아현동,서울특별시 마포구 공덕동,서울특별시 마포구 도화동,서울특별시 마포구 용강동,서울특별시 마포구 대흥동,서울특별시 마포구 염리동,서울특별시 마포구 신수동,서울특별시 마포구 서강동,서울특별시 마포구 서교동,서울특별시 마포구 합정동,서울특별시 마포구 망원제1동,서울특별시 마포구 망원제2동,서울특별시 마포구 연남동,서울특별시 마포구 성산제1동,서울특별시 마포구 성산제2동,서울특별시 마포구 상암동
2020,4,60,"17,864","1,195","2,163","1,259","1,006",663,543,"1,142","1,143",995,867,"1,059",931,774,964,"1,851","1,309"
2020,4,70,"10,343",501,"1,155",690,537,364,340,626,598,679,529,700,636,467,578,"1,164",779
2020,4,80,"4,146",242,428,308,240,169,147,277,266,314,194,229,209,188,223,402,310
2020,4,90,441,30,44,37,19,20,12,33,25,34,24,23,23,33,18,36,30
2020,4,100,79,14,9,6,3,4,2,5,1,9,3,0,5,6,5,5,2
2020,5,총,"176,985","11,639","18,751","10,604","10,312","6,800","5,925","11,372","11,930","11,256","8,607","9,953","9,078","7,417","9,279","18,790","15,272"
2020,5,0,"13,184","1,261","1,240",826,"1,118",347,480,897,"1,017",448,658,577,655,329,527,"1,374","1,430"
2020,5,10,"14,761",762,"1,262",891,976,490,554,"1,066",893,635,473,673,808,453,771,"1,881","2,173"
2020,5,20,"28,032","1,371","2,964","1,482","1,089","1,454",896,"1,831","2,244","2,451","1,610","1,647","1,330","1,443","1,493","2,759","1,968"
2020,5,30,"31,034","2,419","3,278","1,787","1,767","1,152",940,"1,851","1,983","2,354","1,811","1,901","1,469","1,551","1,678","3,205","1,888"
2020,5,40,"30,233","2,016","2,915","1,614","2,108","1,052","1,117","1,842","1,982","1,822","1,306","1,629","1,626","1,201","1,649","3,285","3,069"
2020,5,50,"26,791","1,812","3,298","1,697","1,452","1,064",893,"1,797","1,770","1,512","1,132","1,512","1,386",963,"1,370","2,820","2,313"
2020,5,60,"17,917","1,203","2,162","1,261","1,009",677,540,"1,143","1,150",997,864,"1,059",936,781,970,"1,855","1,310"
2020,5,70,"10,355",505,"1,148",695,537,366,343,626,599,682,534,704,631,469,569,"1,167",780
2020,5,80,"4,151",246,431,307,233,172,147,278,265,315,192,228,209,188,228,403,309
2020,5,90,448,30,44,38,20,22,13,36,26,31,24,23,23,33,19,36,30
2020,5,100,79,14,9,6,3,4,2,5,1,9,3,0,5,6,5,5,2
2020,6,총,"176,664","11,663","18,630","10,561","10,319","6,863","5,920","11,353","11,919","11,286","8,572","9,907","9,056","7,403","9,245","18,764","15,203"
2020,6,0,"13,121","1,278","1,239",825,"1,111",349,483,889,"1,015",438,642,583,647,321,523,"1,349","1,429"
2020,6,10,"14,695",762,"1,248",887,977,483,558,"1,057",896,632,473,665,805,447,759,"1,883","2,163"
2020,6,20,"28,012","1,361","2,946","1,473","1,088","1,479",883,"1,820","2,233","2,506","1,603","1,632","1,329","1,455","1,495","2,762","1,947"
2020,6,30,"30,972","2,419","3,247","1,782","1,764","1,172",944,"1,845","1,988","2,358","1,805","1,896","1,444","1,549","1,678","3,198","1,883"
2020,6,40,"30,139","2,013","2,887","1,589","2,114","1,062","1,120","1,847","1,982","1,829","1,306","1,615","1,635","1,196","1,634","3,264","3,046"
2020,6,50,"26,730","1,802","3,281","1,704","1,458","1,075",890,"1,795","1,762","1,494","1,129","1,496","1,392",961,"1,361","2,823","2,307"
2020,6,60,"17,934","1,228","2,151","1,256","1,010",676,541,"1,151","1,144",989,860,"1,066",934,776,974,"1,868","1,310"
2020,6,70,"10,380",512,"1,146",695,540,369,338,633,606,684,533,703,632,468,572,"1,169",780
2020,6,80,"4,148",245,432,307,232,172,148,273,265,314,195,227,210,190,225,405,308
2020,6,90,453,29,44,37,22,22,13,38,27,32,23,24,23,34,19,38,28
2020,6,100,80,14,9,6,3,4,2,5,1,10,3,0,5,6,5,5,2
2020,7,총,"176,437","11,667","18,580","10,514","10,334","6,887","5,898","11,331","11,899","11,365","8,571","9,915","9,026","7,379","9,223","18,674","15,174"
2020,7,0,"13,038","1,282","1,230",816,"1,107",356,478,888,"1,002",439,641,586,639,317,514,"1,323","1,420"
2020,7,10,"14,649",762,"1,236",879,985,487,557,"1,061",896,628,468,659,798,444,755,"1,879","2,155"
2020,7,20,"28,032","1,355","2,938","1,479","1,088","1,484",892,"1,802","2,241","2,532","1,606","1,642","1,332","1,453","1,501","2,739","1,948"
2020,7,30,"30,823","2,401","3,245","1,763","1,748","1,173",929,"1,847","1,965","2,379","1,801","1,901","1,420","1,539","1,678","3,170","1,864"
2020,7,40,"30,120","2,018","2,881","1,581","2,133","1,067","1,125","1,838","1,987","1,846","1,303","1,616","1,631","1,191","1,612","3,249","3,042"
2020,7,50,"26,709","1,805","3,284","1,693","1,464","1,072",886,"1,791","1,765","1,495","1,135","1,482","1,393",954,"1,355","2,824","2,311"
2020,7,60,"17,976","1,239","2,138","1,246","1,006",677,537,"1,168","1,150",999,859,"1,077",940,776,977,"1,870","1,317"
2020,7,70,"10,378",508,"1,146",705,543,373,328,626,600,684,537,703,635,469,579,"1,167",775
2020,7,80,"4,176",253,430,310,235,171,150,267,265,319,193,225,210,196,228,412,312
2020,7,90,456,30,43,36,22,23,14,38,27,34,25,24,23,34,19,36,28
2020,7,100,80,14,9,6,3,4,2,5,1,10,3,0,5,6,5,5,2
2020,8,총,"176,174","11,657","18,489","10,499","10,309","6,928","5,878","11,320","11,878","11,408","8,571","9,874","9,006","7,379","9,208","18,620","15,150"
2020,8,0,"12,966","1,280","1,213",818,"1,100",359,470,890,994,433,642,574,634,312,515,"1,318","1,414"
2020,8,10,"14,561",760,"1,214",871,988,477,555,"1,052",895,615,467,655,796,452,758,"1,869","2,137"
2020,8,20,"28,060","1,346","2,937","1,471","1,069","1,517",897,"1,803","2,217","2,556","1,609","1,640","1,329","1,472","1,494","2,745","1,958"
2020,8,30,"30,741","2,379","3,236","1,758","1,734","1,184",928,"1,841","1,974","2,421","1,805","1,895","1,408","1,518","1,664","3,140","1,856"
2020,8,40,"30,005","2,031","2,852","1,570","2,140","1,056","1,113","1,827","1,983","1,822","1,296","1,615","1,624","1,189","1,612","3,237","3,038"
2020,8,50,"26,657","1,801","3,252","1,697","1,460","1,073",883,"1,797","1,767","1,509","1,129","1,471","1,396",956,"1,357","2,810","2,299"
2020,8,60,"18,080","1,261","2,158","1,254","1,018",688,538,"1,168","1,148","1,006",861,"1,073",944,777,977,"1,877","1,332"
2020,8,70,"10,351",500,"1,132",705,539,376,322,630,606,682,540,699,633,465,584,"1,164",774
2020,8,80,"4,208",254,442,311,236,172,155,268,266,319,194,226,214,197,224,418,312
2020,8,90,465,31,44,38,22,22,15,39,27,35,25,26,23,35,18,37,28
2020,8,100,80,14,9,6,3,4,2,5,1,10,3,0,5,6,5,5,2
2020,9,총,"176,011","11,856","18,344","10,460","10,299","6,938","5,844","11,306","11,870","11,477","8,551","9,838","8,999","7,390","9,192","18,533","15,114"
2020,9,0,"12,905","1,316","1,204",812,"1,102",356,465,880,993,429,635,569,622,309,504,"1,307","1,402"
2020,9,10,"14,473",781,"1,179",876,984,470,563,"1,048",883,609,459,653,783,458,752,"1,854","2,121"
2020,9,20,"28,122","1,379","2,916","1,450","1,058","1,523",882,"1,801","2,235","2,602","1,610","1,621","1,366","1,493","1,499","2,727","1,960"
2020,9,30,"30,712","2,387","3,225","1,764","1,740","1,189",927,"1,831","1,979","2,446","1,794","1,899","1,385","1,514","1,657","3,118","1,857"
2020,9,40,"29,925","2,072","2,817","1,558","2,143","1,055","1,098","1,838","1,956","1,827","1,295","1,604","1,622","1,179","1,608","3,230","3,023"
2020,9,50,"26,649","1,840","3,235","1,690","1,456","1,070",884,"1,787","1,766","1,506","1,126","1,458","1,399",959,"1,358","2,808","2,307"
2020,9,60,"18,129","1,286","2,139","1,255","1,015",698,536,"1,175","1,160","1,007",865,"1,075",944,778,984,"1,874","1,338"
2020,9,70,"10,333",493,"1,129",703,539,377,315,638,604,686,542,703,630,465,581,"1,157",771
2020,9,80,"4,210",257,446,310,236,173,157,262,266,316,197,229,219,195,225,416,306
2020,9,90,472,31,45,37,23,23,15,40,27,39,25,27,23,34,19,37,27
2020,9,100,81,14,9,5,3,4,2,6,1,10,3,0,6,6,5,5,2
2020,10,총,"175,699","11,957","18,178","10,433","10,286","6,951","5,811","11,322","11,828","11,496","8,519","9,797","9,003","7,379","9,165","18,483","15,091"
2020,10,0,"12,784","1,334","1,193",810,"1,087",353,456,877,976,424,610,563,620,306,485,"1,301","1,389"
2020,10,10,"14,420",782,"1,179",861,983,477,575,"1,040",883,596,458,647,771,452,757,"1,842","2,117"
2020,10,20,"28,051","1,396","2,872","1,442","1,063","1,513",869,"1,797","2,237","2,611","1,596","1,615","1,374","1,489","1,492","2,730","1,955"
2020,10,30,"30,665","2,393","3,191","1,772","1,729","1,203",910,"1,842","1,972","2,473","1,799","1,880","1,388","1,513","1,651","3,096","1,853"
2020,10,40,"29,770","2,105","2,792","1,539","2,137","1,055","1,081","1,831","1,943","1,817","1,291","1,587","1,621","1,180","1,592","3,186","3,013"
2020,10,50,"26,688","1,854","3,203","1,695","1,448","1,071",891,"1,791","1,756","1,515","1,126","1,470","1,395",964,"1,368","2,825","2,316"
2020,10,60,"18,214","1,293","2,137","1,256","1,031",702,539,"1,194","1,163","1,014",870,"1,078",948,773,990,"1,884","1,342"
2020,10,70,"10,307",494,"1,110",704,543,376,317,640,601,675,540,700,635,465,579,"1,155",773
2020,10,80,"4,243",262,447,313,239,175,156,265,269,322,199,229,221,197,228,418,303
2020,10,90,476,30,45,36,23,22,15,39,27,39,27,28,24,34,18,41,28
2020,10,100,81,14,9,5,3,4,2,6,1,10,3,0,6,6,5,5,2
2020,11,총,"175,423","11,990","18,064","10,450","10,260","6,947","5,822","11,331","11,791","11,529","8,496","9,785","8,992","7,372","9,125","18,414","15,055"
2020,11,0,"12,720","1,345","1,193",813,"1,076",358,461,882,962,423,609,543,622,308,472,"1,278","1,375"
2020,11,10,"14,371",776,"1,168",860,996,474,582,"1,039",880,587,456,646,764,447,742,"1,834","2,120"
2020,11,20,"27,992","1,399","2,840","1,447","1,039","1,516",866,"1,775","2,238","2,636","1,586","1,634","1,363","1,484","1,496","2,731","1,942"
2020,11,30,"30,602","2,392","3,198","1,759","1,713","1,197",900,"1,844","1,960","2,492","1,802","1,868","1,402","1,511","1,634","3,073","1,857"
2020,11,40,"29,708","2,124","2,758","1,546","2,136","1,052","1,091","1,833","1,927","1,817","1,283","1,593","1,618","1,183","1,589","3,173","2,985"
2020,11,50,"26,661","1,856","3,178","1,688","1,457","1,072",888,"1,798","1,748","1,514","1,123","1,472","1,383",957,"1,377","2,821","2,329"
2020,11,60,"18,259","1,296","2,128","1,271","1,035",698,545,"1,204","1,180","1,010",870,"1,077",956,778,988,"1,882","1,341"
2020,11,70,"10,262",498,"1,100",710,542,377,310,641,595,675,536,691,632,461,575,"1,150",769
2020,11,80,"4,290",260,446,315,240,177,162,272,274,324,203,232,222,203,228,424,308
2020,11,90,478,30,46,36,23,22,15,38,26,41,25,29,24,34,19,43,27
2020,11,100,80,14,9,5,3,4,2,5,1,10,3,0,6,6,5,5,2
2020,12,총,"175,150","12,056","17,981","10,452","10,274","6,963","5,827","11,290","11,745","11,563","8,475","9,776","8,951","7,375","9,088","18,362","14,972"
2020,12,0,"12,643","1,362","1,195",812,"1,083",354,462,875,953,429,595,529,607,305,472,"1,264","1,346"
2020,12,10,"14,366",793,"1,155",859,998,476,584,"1,040",879,586,452,655,768,444,730,"1,833","2,114"
2020,12,20,"27,907","1,403","2,844","1,452","1,027","1,517",863,"1,750","2,226","2,639","1,586","1,623","1,344","1,501","1,468","2,722","1,942"
2020,12,30,"30,503","2,379","3,158","1,756","1,718","1,201",899,"1,835","1,938","2,505","1,798","1,868","1,406","1,507","1,643","3,058","1,834"
2020,12,40,"29,649","2,128","2,760","1,548","2,132","1,049","1,103","1,843","1,920","1,814","1,280","1,586","1,606","1,174","1,595","3,161","2,950"
2020,12,50,"26,653","1,870","3,153","1,678","1,473","1,076",886,"1,792","1,752","1,516","1,124","1,468","1,385",959,"1,366","2,814","2,341"
2020,12,60,"18,338","1,309","2,128","1,282","1,037",708,550,"1,198","1,179","1,026",870,"1,099",952,781,986,"1,889","1,344"
2020,12,70,"10,243",505,"1,089",709,536,380,304,640,593,673,538,690,630,464,578,"1,148",766
2020,12,80,"4,289",262,442,315,243,177,159,273,278,324,204,231,223,201,226,425,306
2020,12,90,477,31,48,35,24,21,15,39,26,41,25,27,24,33,19,42,27
2020,12,100,82,14,9,6,3,4,2,5,1,10,3,0,6,6,5,6,2
2021,1,총,"174,958","12,088","17,929","10,420","10,295","6,948","5,825","11,246","11,750","11,561","8,474","9,762","8,925","7,374","9,089","18,348","14,924"
2021,1,0,"12,559","1,358","1,186",807,"1,079",354,457,865,953,426,587,524,599,304,468,"1,262","1,330"
2021,1,10,"14,305",806,"1,150",850,"1,004",471,575,"1,025",878,583,456,654,765,438,730,"1,823","2,097"
2021,1,20,"27,825","1,386","2,825","1,437","1,030","1,523",869,"1,750","2,211","2,636","1,587","1,612","1,332","1,505","1,462","2,719","1,941"
2021,1,30,"30,461","2,395","3,159","1,754","1,727","1,201",900,"1,821","1,926","2,506","1,786","1,884","1,393","1,509","1,637","3,036","1,827"
2021,1,40,"29,555","2,140","2,740","1,538","2,120","1,046","1,097","1,836","1,923","1,809","1,284","1,570","1,609","1,170","1,596","3,150","2,927"
2021,1,50,"26,651","1,870","3,134","1,680","1,484","1,067",895,"1,789","1,770","1,511","1,124","1,467","1,387",955,"1,364","2,809","2,345"
2021,1,60,"18,469","1,323","2,148","1,287","1,036",705,550,"1,202","1,189","1,034",882,"1,098",954,794,995,"1,917","1,355"
2021,1,70,"10,241",503,"1,082",707,544,375,302,636,593,681,537,691,630,460,584,"1,150",766
2021,1,80,"4,331",261,448,320,243,182,163,279,279,325,203,236,227,199,226,432,308
2021,1,90,477,32,48,34,25,20,15,38,26,40,24,26,23,34,22,44,26
2021,1,100,84,14,9,6,3,4,2,5,2,10,4,0,6,6,5,6,2
2021,2,총,"174,741","12,112","17,893","10,392","10,284","6,966","5,852","11,199","11,801","11,598","8,423","9,756","8,891","7,347","9,102","18,249","14,876"
2021,2,0,"12,468","1,376","1,187",805,"1,067",354,462,858,954,425,574,518,586,297,458,"1,235","1,312"
2021,2,10,"14,227",819,"1,143",842,"1,011",470,569,"1,013",868,576,453,653,764,429,729,"1,804","2,084"
2021,2,20,"27,751","1,376","2,787","1,433","1,023","1,535",870,"1,734","2,268","2,648","1,562","1,617","1,315","1,494","1,466","2,691","1,932"
2021,2,30,"30,341","2,355","3,162","1,753","1,714","1,208",893,"1,813","1,929","2,514","1,770","1,874","1,392","1,513","1,636","3,013","1,802"
2021,2,40,"29,543","2,172","2,733","1,532","2,107","1,047","1,113","1,834","1,914","1,821","1,281","1,575","1,598","1,162","1,605","3,132","2,917"
2021,2,50,"26,715","1,876","3,126","1,678","1,504","1,070",903,"1,790","1,772","1,509","1,119","1,475","1,390",960,"1,365","2,820","2,358"
2021,2,60,"18,537","1,323","2,172","1,283","1,039",706,560,"1,198","1,192","1,048",895,"1,095",954,790,"1,000","1,918","1,364"
2021,2,70,"10,227",504,"1,077",705,546,367,300,636,595,678,537,687,630,461,587,"1,148",769
2021,2,80,"4,365",263,449,322,245,185,167,279,280,325,204,237,233,200,230,437,309
2021,2,90,479,34,48,33,25,20,12,39,27,43,24,25,22,35,20,45,27
2021,2,100,88,14,9,6,3,4,3,5,2,11,4,0,7,6,6,6,2
2021,3,총,"173,624","11,999","17,709","10,298","10,249","6,982","6,046","11,095","11,833","11,469","8,237","9,692","8,832","7,282","8,995","18,168","14,738"
2021,3,0,"12,371","1,369","1,178",810,"1,062",352,498,850,946,413,545,514,589,294,446,"1,216","1,289"
2021,3,10,"14,206",820,"1,137",832,"1,009",474,593,"1,013",879,576,449,655,757,423,718,"1,795","2,076"
2021,3,20,"27,772","1,364","2,771","1,435","1,025","1,564",883,"1,740","2,323","2,648","1,484","1,616","1,313","1,503","1,473","2,686","1,944"
2021,3,30,"30,157","2,334","3,136","1,753","1,695","1,201",932,"1,798","1,960","2,500","1,751","1,849","1,373","1,508","1,616","2,993","1,758"
2021,3,40,"29,315","2,167","2,689","1,517","2,092","1,036","1,167","1,802","1,892","1,813","1,263","1,564","1,575","1,154","1,582","3,102","2,900"
2021,3,50,"26,572","1,857","3,091","1,650","1,511","1,073",924,"1,788","1,752","1,482","1,112","1,472","1,388",948,"1,352","2,835","2,337"
2021,3,60,"18,487","1,327","2,168","1,267","1,044",716,563,"1,184","1,196","1,036",893,"1,096",953,776,995,"1,919","1,354"
2021,3,70,"10,024",481,"1,056",698,545,361,301,620,584,651,519,671,629,455,568,"1,137",748
2021,3,80,"4,264",252,437,309,242,185,169,265,275,307,198,231,234,192,227,437,304
2021,3,90,422,26,44,27,24,16,13,33,26,37,22,24,19,26,16,43,26
2021,3,100,34,2,2,0,0,4,3,2,0,6,1,0,2,3,2,5,2
2021,4,총,"174,050","11,934","17,633","10,257","10,241","6,935","6,951","11,062","11,836","11,482","8,218","9,641","8,822","7,265","8,992","18,108","14,673"
2021,4,0,"12,424","1,365","1,178",806,"1,067",347,634,847,937,410,530,507,582,292,449,"1,205","1,268"
2021,4,10,"14,199",812,"1,119",823,997,469,677,"1,000",881,570,451,655,763,416,709,"1,785","2,072"
2021,4,20,"27,779","1,350","2,749","1,414","1,023","1,545",999,"1,729","2,330","2,663","1,483","1,590","1,311","1,504","1,488","2,679","1,922"
2021,4,30,"30,238","2,317","3,126","1,746","1,702","1,199","1,083","1,801","1,955","2,501","1,758","1,841","1,362","1,503","1,600","2,980","1,764"
2021,4,40,"29,419","2,160","2,672","1,525","2,093","1,031","1,340","1,785","1,903","1,809","1,259","1,556","1,583","1,164","1,591","3,071","2,877"
2021,4,50,"26,613","1,839","3,078","1,644","1,496","1,070","1,062","1,792","1,742","1,483","1,107","1,472","1,382",940,"1,342","2,834","2,330"
2021,4,60,"18,603","1,329","2,175","1,268","1,050",713,640,"1,190","1,200","1,041",893,"1,093",953,775,998,"1,931","1,354"
2021,4,70,"10,027",484,"1,049",694,546,358,319,616,588,653,515,670,627,451,571,"1,139",747
2021,4,80,"4,282",250,442,310,243,183,180,265,274,306,199,232,238,190,226,434,310
2021,4,90,432,26,43,27,24,16,14,35,26,40,22,24,19,28,16,45,27
2021,4,100,34,2,2,0,0,4,3,2,0,6,1,1,2,2,2,5,2
2021,5,총,"174,194","11,868","17,600","10,242","10,221","6,936","7,456","11,025","11,837","11,465","8,181","9,626","8,819","7,212","8,963","18,072","14,671"
2021,5,0,"12,444","1,355","1,177",793,"1,058",347,700,856,939,409,509,512,586,290,451,"1,195","1,267"
2021,5,10,"14,171",810,"1,117",824,994,456,712,988,876,574,454,652,756,416,701,"1,775","2,066"
2021,5,20,"27,739","1,343","2,723","1,407","1,021","1,548","1,072","1,722","2,329","2,674","1,470","1,576","1,308","1,487","1,476","2,662","1,921"
2021,5,30,"30,242","2,295","3,135","1,746","1,691","1,212","1,138","1,789","1,954","2,491","1,752","1,850","1,369","1,489","1,603","2,972","1,756"
2021,5,40,"29,372","2,152","2,648","1,514","2,100","1,029","1,438","1,773","1,896","1,791","1,264","1,544","1,568","1,147","1,574","3,073","2,861"
2021,5,50,"26,726","1,832","3,078","1,650","1,501","1,068","1,162","1,793","1,741","1,481","1,104","1,468","1,386",939,"1,342","2,838","2,343"
2021,5,60,"18,711","1,319","2,182","1,274","1,046",718,696,"1,188","1,206","1,043",892,"1,101",958,776,"1,005","1,937","1,370"
2021,5,70,"10,010",484,"1,054",693,539,356,335,609,589,648,513,660,627,446,565,"1,144",748
2021,5,80,"4,305",249,442,314,244,181,184,275,278,307,199,237,240,192,228,427,308
2021,5,90,439,27,42,27,27,17,16,30,29,41,23,25,19,28,16,44,28
2021,5,100,35,2,2,0,0,4,3,2,0,6,1,1,2,2,2,5,3
2021,6,총,"174,200","11,854","17,569","10,223","10,213","6,936","7,725","10,994","11,863","11,445","8,145","9,612","8,816","7,180","8,938","18,065","14,622"
2021,6,0,"12,367","1,336","1,173",789,"1,050",346,713,850,934,402,500,508,583,289,439,"1,196","1,259"
2021,6,10,"14,157",808,"1,116",812,992,449,741,984,881,574,454,650,763,415,697,"1,769","2,052"
2021,6,20,"27,774","1,347","2,719","1,407","1,018","1,580","1,117","1,711","2,345","2,662","1,458","1,579","1,290","1,488","1,485","2,643","1,925"
2021,6,30,"30,165","2,274","3,120","1,738","1,687","1,207","1,197","1,772","1,959","2,485","1,732","1,844","1,374","1,492","1,579","2,972","1,733"
2021,6,40,"29,380","2,159","2,644","1,515","2,086","1,020","1,493","1,778","1,877","1,799","1,269","1,542","1,579","1,129","1,574","3,072","2,844"
2021,6,50,"26,759","1,830","3,067","1,643","1,510","1,067","1,199","1,794","1,758","1,487","1,104","1,463","1,375",934,"1,347","2,839","2,342"
2021,6,60,"18,831","1,339","2,194","1,286","1,053",716,713,"1,192","1,220","1,038",892,"1,104",965,769,"1,012","1,957","1,381"
2021,6,70,"9,965",485,"1,042",688,546,350,345,604,581,644,513,657,628,439,555,"1,138",750
2021,6,80,"4,327",248,450,317,243,180,187,277,279,309,198,238,237,195,233,432,304
2021,6,90,439,26,42,28,28,17,17,30,29,39,24,25,20,28,15,42,29
2021,6,100,36,2,2,0,0,4,3,2,0,6,1,2,2,2,2,5,3
2021,7,총,"174,291","11,860","17,562","10,206","10,227","6,937","7,849","11,003","11,904","11,484","8,157","9,579","8,806","7,185","8,924","18,011","14,597"
2021,7,0,"12,335","1,338","1,173",784,"1,048",350,718,853,926,403,498,497,583,288,436,"1,194","1,246"
2021,7,10,"14,107",798,"1,115",803,991,445,756,985,871,569,453,646,760,416,693,"1,756","2,050"
2021,7,20,"27,846","1,366","2,693","1,406","1,027","1,587","1,135","1,723","2,357","2,686","1,465","1,564","1,289","1,496","1,476","2,644","1,932"
2021,7,30,"30,154","2,254","3,131","1,731","1,684","1,205","1,230","1,757","1,969","2,501","1,738","1,840","1,368","1,494","1,574","2,958","1,720"
2021,7,40,"29,348","2,165","2,642","1,512","2,081","1,024","1,501","1,784","1,887","1,793","1,264","1,547","1,571","1,128","1,585","3,035","2,829"
2021,7,50,"26,828","1,839","3,075","1,640","1,525","1,057","1,224","1,803","1,771","1,492","1,103","1,463","1,374",931,"1,337","2,845","2,349"
2021,7,60,"18,894","1,343","2,193","1,297","1,054",712,723,"1,181","1,231","1,038",900,"1,105",974,777,"1,015","1,962","1,389"
2021,7,70,"9,949",481,"1,044",685,545,355,348,606,582,646,513,653,627,428,554,"1,135",747
2021,7,80,"4,354",248,454,319,243,181,194,279,280,312,197,237,237,197,237,434,305
2021,7,90,441,26,40,29,29,17,17,30,30,38,25,25,21,28,15,43,28
2021,7,100,35,2,2,0,0,4,3,2,0,6,1,2,2,2,2,5,2
2021,8,총,"174,204","11,847","17,531","10,162","10,228","7,004","7,948","11,016","11,892","11,509","8,130","9,563","8,774","7,169","8,903","17,974","14,554"
2021,8,0,"12,264","1,331","1,159",775,"1,044",352,733,850,923,409,494,495,571,287,431,"1,176","1,234"
2021,8,10,"14,080",798,"1,108",795,989,442,769,986,867,567,451,643,762,418,686,"1,761","2,038"
2021,8,20,"27,844","1,351","2,681","1,399","1,028","1,631","1,150","1,743","2,335","2,710","1,463","1,563","1,288","1,483","1,465","2,633","1,921"
2021,8,30,"30,158","2,256","3,122","1,721","1,684","1,218","1,250","1,740","1,981","2,506","1,721","1,847","1,361","1,494","1,578","2,963","1,716"
2021,8,40,"29,227","2,161","2,625","1,506","2,069","1,018","1,520","1,790","1,883","1,788","1,261","1,538","1,556","1,131","1,566","3,006","2,809"
2021,8,50,"26,864","1,846","3,084","1,639","1,538","1,066","1,242","1,798","1,770","1,489","1,107","1,449","1,376",935,"1,345","2,829","2,351"
2021,8,60,"18,983","1,348","2,208","1,296","1,057",716,723,"1,197","1,241","1,038",894,"1,113",977,769,"1,025","1,984","1,397"
2021,8,70,"9,941",483,"1,044",683,549,360,344,601,584,643,513,648,622,425,555,"1,138",749
2021,8,80,"4,374",247,459,319,240,180,199,279,278,315,201,239,239,199,235,436,309
2021,8,90,435,24,39,29,30,17,15,30,30,38,25,26,20,26,15,43,28
2021,8,100,34,2,2,0,0,4,3,2,0,6,0,2,2,2,2,5,2
2021,9,총,"174,119","11,855","17,508","10,154","10,239","7,013","8,008","10,981","11,868","11,491","8,106","9,539","8,757","7,168","8,902","17,925","14,605"
2021,9,0,"12,240","1,336","1,158",772,"1,051",351,736,850,918,406,483,489,576,285,431,"1,167","1,231"
2021,9,10,"14,042",801,"1,098",802,986,445,768,981,862,558,445,639,755,417,687,"1,754","2,044"
