년도,월,나이,울산광역시,울산광역시 중구,울산광역시 남구,울산광역시 동구,울산광역시 북구,울산광역시 울주군
2020,9,90,"2,553",512,556,309,373,803
2020,9,100,136,44,25,21,17,29
2020,10,총,"553,618","107,791","157,407","75,058","105,612","107,750"
2020,10,0,"48,431","8,137","11,701","7,395","12,396","8,802"
2020,10,10,"53,411","9,417","14,523","7,354","11,289","10,828"
2020,10,20,"63,894","12,035","20,368","7,812","12,195","11,484"
2020,10,30,"71,862","12,657","19,926","10,487","16,578","12,214"
2020,10,40,"92,587","16,978","26,604","11,866","18,836","18,303"
2020,10,50,"103,111","20,850","30,853","13,064","18,698","19,646"
2020,10,60,"71,139","16,157","20,618","11,090","9,195","14,079"
2020,10,70,"31,374","7,650","8,563","3,997","3,932","7,232"
2020,10,80,"15,112","3,352","3,674","1,660","2,095","4,331"
2020,10,90,"2,560",513,552,312,381,802
2020,10,100,137,45,25,21,17,29
2020,11,총,"553,040","107,596","157,203","74,985","105,557","107,699"
2020,11,0,"48,109","8,085","11,647","7,328","12,315","8,734"
2020,11,10,"53,315","9,406","14,441","7,367","11,315","10,786"
2020,11,20,"63,753","11,967","20,368","7,776","12,160","11,482"
2020,11,30,"71,451","12,603","19,827","10,419","16,454","12,148"
2020,11,40,"92,441","16,892","26,546","11,879","18,842","18,282"
2020,11,50,"103,047","20,836","30,800","13,013","18,716","19,682"
2020,11,60,"71,584","16,229","20,735","11,172","9,288","14,160"
2020,11,70,"31,498","7,671","8,575","4,026","3,960","7,266"
2020,11,80,"15,143","3,349","3,683","1,662","2,115","4,334"
2020,11,90,"2,561",513,555,322,375,796
2020,11,100,138,45,26,21,17,29
2020,12,총,"552,309","107,394","156,866","74,807","105,622","107,620"
2020,12,0,"47,887","8,059","11,582","7,271","12,307","8,668"
2020,12,10,"53,246","9,380","14,390","7,371","11,326","10,779"
2020,12,20,"63,369","11,871","20,246","7,713","12,092","11,447"
2020,12,30,"71,140","12,548","19,713","10,354","16,421","12,104"
2020,12,40,"92,164","16,773","26,480","11,854","18,842","18,215"
2020,12,50,"102,911","20,787","30,741","12,956","18,716","19,711"
2020,12,60,"72,097","16,345","20,823","11,238","9,437","14,254"
2020,12,70,"31,593","7,706","8,615","4,057","3,955","7,260"
2020,12,80,"15,209","3,358","3,697","1,655","2,137","4,362"
2020,12,90,"2,553",520,553,316,373,791
2020,12,100,140,47,26,22,16,29
2021,1,총,"551,968","107,194","156,660","74,762","105,676","107,676"
2021,1,0,"47,522","7,973","11,502","7,208","12,236","8,603"
2021,1,10,"53,155","9,366","14,329","7,372","11,338","10,750"
2021,1,20,"63,204","11,824","20,206","7,721","11,997","11,456"
2021,1,30,"70,873","12,469","19,677","10,307","16,375","12,045"
2021,1,40,"91,983","16,718","26,328","11,870","18,873","18,194"
2021,1,50,"102,777","20,706","30,719","12,874","18,765","19,713"
2021,1,60,"72,773","16,451","20,986","11,340","9,581","14,415"
2021,1,70,"31,718","7,746","8,640","4,077","3,980","7,275"
2021,1,80,"15,268","3,375","3,688","1,661","2,137","4,407"
2021,1,90,"2,555",520,559,309,378,789
2021,1,100,140,46,26,23,16,29
2021,2,총,"550,763","106,879","156,380","74,557","105,450","107,497"
2021,2,0,"47,174","7,901","11,458","7,119","12,160","8,536"
2021,2,10,"52,828","9,296","14,199","7,354","11,275","10,704"
2021,2,20,"62,778","11,707","20,141","7,694","11,844","11,392"
2021,2,30,"70,362","12,368","19,577","10,187","16,297","11,933"
2021,2,40,"91,767","16,684","26,240","11,890","18,843","18,110"
2021,2,50,"102,582","20,629","30,618","12,770","18,826","19,739"
2021,2,60,"73,386","16,552","21,160","11,454","9,677","14,543"
2021,2,70,"31,798","7,771","8,683","4,083","3,982","7,279"
2021,2,80,"15,365","3,394","3,719","1,677","2,152","4,423"
2021,2,90,"2,580",530,558,306,378,808
2021,2,100,143,47,27,23,16,30
2021,3,총,"548,830","106,231","155,767","74,341","105,309","107,182"
2021,3,0,"46,846","7,839","11,389","7,078","12,096","8,444"
2021,3,10,"52,571","9,235","14,070","7,331","11,253","10,682"
2021,3,20,"62,364","11,565","20,036","7,681","11,777","11,305"
2021,3,30,"69,943","12,324","19,477","10,076","16,207","11,859"
2021,3,40,"91,279","16,538","26,016","11,873","18,845","18,007"
2021,3,50,"102,120","20,444","30,495","12,704","18,799","19,678"
2021,3,60,"73,825","16,616","21,290","11,495","9,797","14,627"
2021,3,70,"31,867","7,770","8,683","4,115","4,002","7,297"
2021,3,80,"15,375","3,365","3,742","1,675","2,150","4,443"
2021,3,90,"2,563",518,550,305,370,820
2021,3,100,77,17,19,8,13,20
2021,4,총,"548,310","106,073","155,558","74,265","105,248","107,166"
2021,4,0,"46,612","7,796","11,334","7,033","12,033","8,416"
2021,4,10,"52,505","9,207","14,030","7,343","11,283","10,642"
2021,4,20,"62,125","11,531","19,951","7,645","11,692","11,306"
2021,4,30,"69,721","12,297","19,419","10,025","16,158","11,822"
2021,4,40,"91,114","16,498","25,964","11,860","18,841","17,951"
2021,4,50,"101,939","20,384","30,445","12,633","18,794","19,683"
2021,4,60,"74,257","16,667","21,376","11,598","9,884","14,732"
2021,4,70,"31,951","7,778","8,717","4,117","4,016","7,323"
2021,4,80,"15,425","3,378","3,745","1,698","2,154","4,450"
2021,4,90,"2,586",524,558,305,379,820
2021,4,100,75,13,19,8,14,21
2021,5,총,"547,859","106,029","155,343","74,182","105,184","107,121"
2021,5,0,"46,361","7,763","11,289","6,990","11,963","8,356"
2021,5,10,"52,454","9,196","13,989","7,329","11,312","10,628"
2021,5,20,"61,878","11,502","19,868","7,645","11,605","11,258"
2021,5,30,"69,461","12,228","19,356","9,970","16,109","11,798"
2021,5,40,"90,775","16,421","25,801","11,856","18,816","17,881"
2021,5,50,"101,899","20,386","30,454","12,554","18,784","19,721"
2021,5,60,"74,782","16,783","21,491","11,683","9,993","14,832"
2021,5,70,"32,097","7,801","8,757","4,150","4,049","7,340"
2021,5,80,"15,477","3,407","3,765","1,692","2,154","4,459"
2021,5,90,"2,601",529,554,306,385,827
2021,5,100,74,13,19,7,14,21
2021,6,총,"547,445","106,003","155,102","74,126","105,122","107,092"
2021,6,0,"46,132","7,726","11,224","6,969","11,908","8,305"
2021,6,10,"52,448","9,192","13,951","7,323","11,344","10,638"
2021,6,20,"61,602","11,484","19,769","7,608","11,525","11,216"
2021,6,30,"69,225","12,192","19,303","9,937","16,041","11,752"
2021,6,40,"90,669","16,450","25,690","11,861","18,830","17,838"
2021,6,50,"101,781","20,334","30,451","12,491","18,751","19,754"
2021,6,60,"75,213","16,850","21,574","11,766","10,088","14,935"
2021,6,70,"32,150","7,808","8,792","4,157","4,053","7,340"
2021,6,80,"15,551","3,429","3,774","1,696","2,177","4,475"
2021,6,90,"2,603",526,556,311,391,819
2021,6,100,71,12,18,7,14,20
2021,7,총,"547,216","105,906","154,898","74,054","105,123","107,235"
2021,7,0,"45,919","7,698","11,194","6,921","11,853","8,253"
2021,7,10,"52,438","9,190","13,922","7,332","11,388","10,606"
2021,7,20,"61,383","11,417","19,708","7,588","11,433","11,237"
2021,7,30,"68,985","12,146","19,241","9,888","15,955","11,755"
2021,7,40,"90,471","16,403","25,559","11,845","18,860","17,804"
2021,7,50,"101,683","20,305","30,408","12,423","18,761","19,786"
2021,7,60,"75,787","16,940","21,724","11,838","10,202","15,083"
2021,7,70,"32,261","7,821","8,803","4,199","4,069","7,369"
2021,7,80,"15,608","3,445","3,772","1,700","2,194","4,497"
2021,7,90,"2,609",528,549,313,394,825
2021,7,100,72,13,18,7,14,20
2021,8,총,"546,653","105,764","154,623","73,938","105,085","107,243"
2021,8,0,"45,653","7,629","11,135","6,880","11,804","8,205"
2021,8,10,"52,410","9,193","13,898","7,324","11,393","10,602"
2021,8,20,"60,931","11,346","19,560","7,505","11,347","11,173"
2021,8,30,"68,735","12,094","19,167","9,829","15,906","11,739"
2021,8,40,"90,266","16,345","25,479","11,853","18,842","17,747"
2021,8,50,"101,716","20,262","30,399","12,413","18,793","19,849"
2021,8,60,"76,184","17,057","21,771","11,878","10,291","15,187"
2021,8,70,"32,407","7,857","8,845","4,236","4,092","7,377"
2021,8,80,"15,648","3,441","3,790","1,701","2,207","4,509"
2021,8,90,"2,629",526,560,312,396,835
2021,8,100,74,14,19,7,14,20
2021,9,총,"546,143","105,598","154,425","73,883","104,979","107,258"
2021,9,0,"45,414","7,578","11,090","6,858","11,739","8,149"
2021,9,10,"52,334","9,184","13,845","7,306","11,400","10,599"
2021,9,20,"60,674","11,281","19,476","7,483","11,279","11,155"
2021,9,30,"68,434","12,062","19,158","9,767","15,799","11,648"
2021,9,40,"90,088","16,289","25,345","11,875","18,864","17,715"
2021,9,50,"101,814","20,224","30,425","12,390","18,839","19,936"
2021,9,60,"76,448","17,086","21,815","11,921","10,339","15,287"
2021,9,70,"32,520","7,889","8,872","4,250","4,111","7,398"
2021,9,80,"15,708","3,465","3,810","1,717","2,202","4,514"
2021,9,90,"2,634",526,570,309,392,837
2021,9,100,75,14,19,7,15,20
2021,10,총,"545,843","105,476","154,225","73,883","104,967","107,292"
2021,10,0,"45,177","7,501","11,047","6,814","11,705","8,110"
2021,10,10,"52,318","9,173","13,805","7,356","11,410","10,574"
2021,10,20,"60,359","11,214","19,371","7,445","11,183","11,146"
2021,10,30,"68,252","12,040","19,127","9,724","15,741","11,620"
2021,10,40,"89,902","16,247","25,263","11,911","18,878","17,603"
2021,10,50,"101,883","20,221","30,397","12,349","18,888","20,028"
2021,10,60,"76,805","17,150","21,881","11,959","10,430","15,385"
2021,10,70,"32,646","7,896","8,918","4,292","4,119","7,421"
2021,10,80,"15,764","3,485","3,817","1,723","2,208","4,531"
2021,10,90,"2,660",534,580,303,389,854
2021,10,100,77,15,19,7,16,20
2021,11,총,"545,859","105,397","154,049","73,832","105,255","107,326"
2021,11,0,"44,969","7,468","11,000","6,783","11,676","8,042"
2021,11,10,"52,332","9,164","13,795","7,351","11,458","10,564"
2021,11,20,"60,152","11,141","19,292","7,428","11,189","11,102"
2021,11,30,"68,049","11,993","19,057","9,670","15,734","11,595"
2021,11,40,"89,862","16,235","25,197","11,924","18,919","17,587"
2021,11,50,"101,964","20,191","30,380","12,332","18,987","20,074"
2021,11,60,"77,151","17,207","21,946","11,982","10,521","15,495"
2021,11,70,"32,780","7,941","8,951","4,323","4,141","7,424"
2021,11,80,"15,835","3,501","3,829","1,725","2,218","4,562"
2021,11,90,"2,688",541,583,307,395,862
2021,11,100,77,15,19,7,17,19
2021,12,총,"545,375","105,147","153,764","73,679","105,470","107,315"
2021,12,0,"44,716","7,407","10,947","6,730","11,639","7,993"
2021,12,10,"52,247","9,123","13,737","7,359","11,494","10,534"
2021,12,20,"59,834","11,054","19,165","7,350","11,173","11,092"
2021,12,30,"67,746","11,919","18,945","9,615","15,700","11,567"
2021,12,40,"89,870","16,187","25,185","11,910","19,008","17,580"
2021,12,50,"101,994","20,203","30,342","12,295","19,056","20,098"
2021,12,60,"77,382","17,207","21,998","12,029","10,588","15,560"
2021,12,70,"32,914","7,976","8,989","4,342","4,178","7,429"
2021,12,80,"15,901","3,517","3,852","1,737","2,218","4,577"
2021,12,90,"2,708",544,591,305,400,868
2021,12,100,63,10,13,7,16,17
