년도,월,나이,전라남도 진도군,전라남도 진도군 진도읍,전라남도 진도군 군내면,전라남도 진도군 고군면,전라남도 진도군 의신면,전라남도 진도군 임회면,전라남도 진도군 지산면,전라남도 진도군 조도면,전라남도 진도군 조도면가사출장소,전라남도 진도군 조도면거차출장소
2020,4,40,"2,074",787,190,244,233,213,170,189,20,28
2020,4,50,"2,770",866,312,314,356,323,296,234,31,38
2020,4,60,"2,591",684,301,346,352,326,302,236,22,22
2020,4,70,"1,994",453,234,230,268,289,301,178,21,20
2020,4,80,798,150,102,105,128,101,113,83,9,7
2020,4,90,66,11,8,10,10,12,11,2,1,1
2020,4,100,0,0,0,0,0,0,0,0,0,0
2020,5,총,"14,988","5,246","1,528","1,774","1,756","1,645","1,531","1,192",142,174
2020,5,0,854,430,57,107,72,59,54,47,10,18
2020,5,10,"1,172",615,87,123,88,102,60,72,9,16
2020,5,20,"1,392",658,124,138,124,118,132,77,10,11
2020,5,30,"1,256",570,115,158,128,99,87,75,11,13
2020,5,40,"2,066",796,188,242,229,203,171,190,18,29
2020,5,50,"2,784",867,310,316,356,333,300,232,32,38
2020,5,60,"2,595",689,304,346,351,327,300,235,22,21
2020,5,70,"1,998",458,232,228,269,289,300,180,21,21
2020,5,80,805,152,103,106,129,103,116,82,8,6
2020,5,90,66,11,8,10,10,12,11,2,1,1
2020,5,100,0,0,0,0,0,0,0,0,0,0
2020,6,총,"14,972","5,248","1,524","1,768","1,760","1,639","1,526","1,194",140,173
2020,6,0,846,424,56,108,71,59,53,47,10,18
2020,6,10,"1,169",613,88,122,89,100,62,70,9,16
2020,6,20,"1,388",662,122,135,124,117,128,79,10,11
2020,6,30,"1,252",571,115,157,126,99,87,74,11,12
2020,6,40,"2,060",795,189,236,230,202,168,192,18,30
2020,6,50,"2,759",867,304,313,353,330,295,230,30,37
2020,6,60,"2,607",696,305,349,346,328,304,236,23,20
2020,6,70,"2,014",459,232,230,279,289,301,182,20,22
2020,6,80,811,150,105,108,131,104,117,82,8,6
2020,6,90,66,11,8,10,11,11,11,2,1,1
2020,6,100,0,0,0,0,0,0,0,0,0,0
2020,7,총,"14,946","5,240","1,521","1,765","1,760","1,629","1,523","1,194",138,176
2020,7,0,835,424,57,105,71,57,51,46,8,16
2020,7,10,"1,164",611,88,121,88,99,59,70,10,18
2020,7,20,"1,380",656,118,140,120,117,131,79,8,11
2020,7,30,"1,240",572,112,151,128,94,87,72,10,14
2020,7,40,"2,061",794,189,235,231,203,168,191,19,31
2020,7,50,"2,756",869,302,313,350,326,296,234,29,37
2020,7,60,"2,603",692,304,353,347,326,303,234,24,20
2020,7,70,"2,021",462,235,226,280,292,296,187,21,22
2020,7,80,821,150,108,111,134,104,121,79,8,6
2020,7,90,65,10,8,10,11,11,11,2,1,1
2020,7,100,0,0,0,0,0,0,0,0,0,0
2020,8,총,"14,912","5,238","1,510","1,753","1,757","1,628","1,519","1,192",138,177
2020,8,0,827,421,58,103,67,58,50,46,8,16
2020,8,10,"1,157",609,83,120,88,99,61,69,10,18
2020,8,20,"1,370",655,118,136,117,116,128,80,8,12
2020,8,30,"1,227",568,114,148,126,94,87,68,10,12
2020,8,40,"2,061",794,185,237,235,204,163,192,19,32
2020,8,50,"2,746",871,304,309,347,317,297,234,29,38
2020,8,60,"2,615",697,299,352,351,332,304,236,24,20
2020,8,70,"2,017",461,233,227,279,291,297,186,21,22
2020,8,80,827,152,108,111,136,106,122,78,8,6
2020,8,90,65,10,8,10,11,11,10,3,1,1
2020,8,100,0,0,0,0,0,0,0,0,0,0
2020,9,총,"14,889","5,246","1,504","1,742","1,748","1,626","1,518","1,192",136,177
2020,9,0,813,417,58,98,64,57,50,45,8,16
2020,9,10,"1,156",611,83,118,87,100,62,67,10,18
2020,9,20,"1,373",653,118,136,118,117,127,86,6,12
2020,9,30,"1,214",572,107,146,122,93,84,68,10,12
2020,9,40,"2,046",799,181,234,229,201,165,188,19,30
2020,9,50,"2,745",874,304,308,347,313,294,237,28,40
2020,9,60,"2,623",693,304,352,354,334,307,234,25,20
2020,9,70,"2,015",463,232,227,278,291,294,187,21,22
2020,9,80,837,153,108,113,137,109,125,78,8,6
2020,9,90,67,11,9,10,12,11,10,2,1,1
2020,9,100,0,0,0,0,0,0,0,0,0,0
2020,10,총,"14,865","5,231","1,499","1,743","1,739","1,631","1,518","1,190",135,179
2020,10,0,803,419,57,94,62,55,48,45,8,15
2020,10,10,"1,149",606,84,121,84,100,58,67,10,19
2020,10,20,"1,371",646,117,139,117,118,131,84,6,13
2020,10,30,"1,211",578,102,144,122,93,84,69,9,10
2020,10,40,"2,043",796,183,235,228,196,165,189,19,32
2020,10,50,"2,737",867,301,307,344,320,293,237,28,40
2020,10,60,"2,625",692,305,352,354,334,310,233,24,21
2020,10,70,"2,013",462,232,225,278,296,293,182,22,23
2020,10,80,847,154,109,117,138,108,126,82,8,5
2020,10,90,66,11,9,9,12,11,10,2,1,1
2020,10,100,0,0,0,0,0,0,0,0,0,0
2020,11,총,"15,165","5,345","1,544","1,770","1,797","1,649","1,529","1,204",140,187
2020,11,0,794,411,56,96,62,55,49,44,8,13
2020,11,10,"1,169",616,85,124,86,98,60,69,10,21
2020,11,20,"1,463",686,130,139,133,125,138,88,7,17
2020,11,30,"1,241",594,103,155,122,93,84,71,9,10
2020,11,40,"2,108",815,202,237,245,198,165,194,20,32
2020,11,50,"2,795",883,310,310,361,328,292,239,30,42
2020,11,60,"2,663",707,306,357,359,337,314,236,24,23
2020,11,70,"2,018",463,235,227,280,295,291,181,23,23
2020,11,80,848,158,108,116,138,109,126,80,8,5
2020,11,90,66,12,9,9,11,11,10,2,1,1
2020,11,100,0,0,0,0,0,0,0,0,0,0
2020,12,총,"15,429","5,483","1,558","1,795","1,831","1,673","1,538","1,223",141,187
2020,12,0,809,424,58,97,62,54,48,45,8,13
2020,12,10,"1,191",620,83,127,94,103,62,71,10,21
2020,12,20,"1,553",744,138,145,134,134,144,90,7,17
2020,12,30,"1,259",603,104,155,127,96,83,72,9,10
2020,12,40,"2,154",843,198,242,254,203,167,196,20,31
2020,12,50,"2,823",891,309,316,366,329,294,246,30,42
2020,12,60,"2,700",724,317,358,360,340,312,239,26,24
2020,12,70,"2,012",465,232,228,282,290,289,180,23,23
2020,12,80,863,158,110,118,140,114,129,82,7,5
2020,12,90,65,11,9,9,12,10,10,2,1,1
2020,12,100,0,0,0,0,0,0,0,0,0,0
2021,1,총,"15,242","5,411","1,534","1,773","1,804","1,659","1,524","1,209",140,188
2021,1,0,801,419,59,96,62,54,46,44,8,13
2021,1,10,"1,156",611,80,125,89,99,59,63,10,20
2021,1,20,"1,516",742,127,140,125,128,138,93,7,16
2021,1,30,"1,234",590,103,149,123,94,84,71,9,11
2021,1,40,"2,101",823,193,234,250,195,164,191,20,31
2021,1,50,"2,796",876,307,312,360,333,292,246,28,42
2021,1,60,"2,685",719,309,362,359,340,310,234,27,25
2021,1,70,"2,022",460,235,230,284,290,293,183,23,24
2021,1,80,863,160,112,117,138,116,127,81,7,5
2021,1,90,68,11,9,8,14,10,11,3,1,1
2021,1,100,0,0,0,0,0,0,0,0,0,0
2021,2,총,"15,181","5,375","1,542","1,758","1,799","1,651","1,526","1,207",134,189
2021,2,0,799,412,59,95,65,53,49,46,7,13
2021,2,10,"1,148",606,83,121,90,98,57,65,8,20
2021,2,20,"1,484",720,128,138,125,124,139,88,6,16
2021,2,30,"1,223",591,99,143,121,94,86,70,7,12
2021,2,40,"2,091",819,195,234,249,189,164,189,22,30
2021,2,50,"2,783",868,307,312,358,333,289,245,28,43
2021,2,60,"2,703",724,315,363,360,342,313,235,26,25
2021,2,70,"2,010",461,233,228,280,290,289,183,22,24
2021,2,80,870,161,114,115,138,118,129,83,7,5
2021,2,90,70,13,9,9,13,10,11,3,1,1
2021,2,100,0,0,0,0,0,0,0,0,0,0
2021,3,총,"15,100","5,348","1,530","1,751","1,793","1,644","1,510","1,193",136,195
2021,3,0,796,414,57,97,64,52,48,44,7,13
2021,3,10,"1,116",591,82,121,87,90,56,61,8,20
2021,3,20,"1,493",730,128,140,126,126,132,90,5,16
2021,3,30,"1,191",569,99,140,118,94,83,69,7,12
2021,3,40,"2,077",818,192,233,244,185,162,187,22,34
2021,3,50,"2,781",862,301,307,362,340,289,249,28,43
2021,3,60,"2,711",727,317,362,362,341,314,234,28,26
2021,3,70,"1,998",459,232,228,280,288,287,177,23,24
2021,3,80,868,164,112,115,137,119,128,80,7,6
2021,3,90,69,14,10,8,13,9,11,2,1,1
2021,3,100,0,0,0,0,0,0,0,0,0,0
2021,4,총,"15,101","5,358","1,514","1,752","1,779","1,643","1,515","1,203",140,197
2021,4,0,795,418,55,96,64,52,47,44,8,11
2021,4,10,"1,116",590,80,122,86,90,55,63,8,22
2021,4,20,"1,487",727,124,140,125,122,136,92,6,15
2021,4,30,"1,185",565,100,138,116,96,82,69,8,11
2021,4,40,"2,069",822,186,232,242,188,157,184,23,35
2021,4,50,"2,780",862,297,307,356,337,293,255,29,44
2021,4,60,"2,739",731,318,366,367,346,322,235,26,28
2021,4,70,"1,986",463,232,227,276,285,282,174,23,24
2021,4,80,878,166,113,117,135,118,130,85,8,6
2021,4,90,66,14,9,7,12,9,11,2,1,1
2021,4,100,0,0,0,0,0,0,0,0,0,0
2021,5,총,"15,089","5,359","1,516","1,755","1,769","1,646","1,509","1,194",140,201
2021,5,0,789,415,55,94,65,53,46,43,7,11
2021,5,10,"1,110",589,78,124,83,89,55,63,7,22
2021,5,20,"1,483",729,125,139,125,121,133,89,6,16
2021,5,30,"1,167",551,100,135,117,95,82,67,9,11
2021,5,40,"2,064",825,185,233,236,191,157,179,22,36
2021,5,50,"2,792",869,298,310,353,335,294,257,30,46
2021,5,60,"2,742",736,316,369,367,346,319,235,26,28
2021,5,70,"1,991",465,238,223,277,285,281,174,24,24
2021,5,80,879,164,111,121,132,122,131,84,8,6
2021,5,90,72,16,10,7,14,9,11,3,1,1
2021,5,100,0,0,0,0,0,0,0,0,0,0
2021,6,총,"15,052","5,352","1,513","1,753","1,761","1,644","1,500","1,190",140,199
2021,6,0,792,414,55,95,66,54,48,43,7,10
2021,6,10,"1,105",593,78,120,82,88,53,63,6,22
2021,6,20,"1,466",720,123,139,121,120,132,88,7,16
2021,6,30,"1,157",550,100,134,115,94,78,66,9,11
2021,6,40,"2,045",820,181,237,231,188,154,178,22,34
2021,6,50,"2,797",870,300,307,357,339,292,257,28,47
2021,6,60,"2,745",738,316,368,368,345,320,234,28,28
2021,6,70,"1,982",464,239,225,276,281,279,171,24,23
2021,6,80,893,167,111,121,132,126,134,87,8,7
2021,6,90,70,16,10,7,13,9,10,3,1,1
2021,6,100,0,0,0,0,0,0,0,0,0,0
2021,7,총,"15,021","5,331","1,512","1,747","1,756","1,654","1,500","1,180",141,200
2021,7,0,787,412,54,92,65,57,48,42,7,10
2021,7,10,"1,097",587,78,120,81,86,54,62,6,23
2021,7,20,"1,463",715,121,141,122,122,134,85,7,16
2021,7,30,"1,143",547,103,133,108,92,75,65,9,11
2021,7,40,"2,024",812,176,235,232,186,152,176,21,34
2021,7,50,"2,797",870,302,305,353,346,294,252,28,47
2021,7,60,"2,757",738,317,368,372,346,322,237,30,27
2021,7,70,"1,980",468,238,224,275,281,278,168,24,24
2021,7,80,903,166,113,121,135,129,134,90,8,7
2021,7,90,70,16,10,8,13,9,9,3,1,1
2021,7,100,0,0,0,0,0,0,0,0,0,0
2021,8,총,"14,992","5,325","1,507","1,741","1,753","1,655","1,492","1,179",141,199
2021,8,0,786,410,52,93,66,58,47,43,7,10
2021,8,10,"1,098",586,78,119,82,87,54,63,6,23
2021,8,20,"1,458",715,119,140,122,120,132,87,7,16
2021,8,30,"1,130",545,99,131,104,93,73,65,9,11
2021,8,40,"2,006",803,173,232,235,184,152,172,21,34
2021,8,50,"2,798",875,307,304,349,348,292,248,28,47
2021,8,60,"2,767",743,318,369,374,345,322,239,30,27
2021,8,70,"1,973",467,238,224,273,281,276,167,24,23
2021,8,80,902,166,113,118,135,129,135,92,7,7
2021,8,90,74,15,10,11,13,10,9,3,2,1
2021,8,100,0,0,0,0,0,0,0,0,0,0
2021,9,총,"14,931","5,305","1,491","1,739","1,756","1,648","1,481","1,176",139,196
2021,9,0,778,410,50,92,65,57,47,41,7,9
2021,9,10,"1,092",588,79,119,81,82,52,63,6,22
2021,9,20,"1,430",699,113,138,123,123,126,84,7,17
2021,9,30,"1,110",536,98,130,101,89,71,66,9,10
2021,9,40,"1,985",793,170,232,234,179,153,170,21,33
2021,9,50,"2,797",886,298,302,352,347,288,249,28,47
2021,9,60,"2,784",744,323,372,376,350,324,241,28,26
2021,9,70,"1,971",468,237,224,272,279,276,167,24,24
2021,9,80,910,166,113,119,139,132,135,92,7,7
2021,9,90,74,15,10,11,13,10,9,3,2,1
2021,9,100,0,0,0,0,0,0,0,0,0,0
2021,10,총,"14,920","5,302","1,491","1,734","1,755","1,649","1,475","1,180",139,195
2021,10,0,769,404,52,92,62,58,46,40,7,8
2021,10,10,"1,103",593,79,120,83,82,54,63,6,23
2021,10,20,"1,419",694,113,136,123,121,121,87,7,17
2021,10,30,"1,110",531,99,129,101,91,73,68,8,10
2021,10,40,"1,976",797,169,227,232,176,152,169,22,32
2021,10,50,"2,800",890,295,303,353,354,283,247,28,47
2021,10,60,"2,792",743,327,370,379,346,328,245,28,26
2021,10,70,"1,964",469,235,226,266,281,274,166,23,24
2021,10,80,913,166,112,120,143,130,135,92,8,7
2021,10,90,74,15,10,11,13,10,9,3,2,1
2021,10,100,0,0,0,0,0,0,0,0,0,0
2021,11,총,"14,925","5,299","1,498","1,736","1,759","1,649","1,475","1,175",140,194
2021,11,0,765,401,52,92,62,58,45,39,7,9
2021,11,10,"1,098",588,77,120,85,83,53,64,6,22
2021,11,20,"1,420",697,114,138,121,120,122,85,7,16
2021,11,30,"1,110",531,99,125,103,92,74,68,8,10
2021,11,40,"1,974",791,172,226,235,178,151,170,21,30
2021,11,50,"2,801",891,298,311,344,355,285,241,27,49
2021,11,60,"2,810",750,330,369,386,345,327,247,30,26
2021,11,70,"1,957",463,236,226,265,280,273,167,23,24
2021,11,80,917,172,110,118,145,128,137,91,9,7
2021,11,90,73,15,10,11,13,10,8,3,2,1
2021,11,100,0,0,0,0,0,0,0,0,0,0
2021,12,총,"14,908","5,292","1,493","1,747","1,756","1,648","1,474","1,165",139,194
2021,12,0,758,398,50,93,63,57,44,37,7,9
2021,12,10,"1,087",580,78,120,83,81,53,64,6,22
2021,12,20,"1,419",698,112,138,124,121,121,83,7,15
2021,12,30,"1,108",538,97,129,101,89,71,64,8,11
2021,12,40,"1,975",789,171,230,235,178,154,168,20,30
2021,12,50,"2,802",896,303,309,340,356,284,238,27,49
2021,12,60,"2,815",744,328,368,389,350,329,251,30,26
2021,12,70,"1,954",464,236,228,261,279,272,167,23,24
2021,12,80,918,172,109,120,146,127,138,90,9,7
2021,12,90,72,13,9,12,14,10,8,3,2,1
2021,12,100,0,0,0,0,0,0,0,0,0,0
