년도,월,나이,음성군,음성읍,금왕읍,소이면,원남면,맹동면,대소면,삼성면,생극면,감곡면
2020,3,40,"14,208","2,421","3,446",249,236,"2,213","2,875",930,505,"1,333"
2020,3,50,"17,924","3,307","3,942",558,571,"1,817","3,147","1,597",963,"2,022"
2020,3,60,"14,506","2,926","2,697",679,766,"1,409","1,851","1,351","1,002","1,825"
2020,3,70,"8,258","1,734","1,440",534,554,734,894,731,593,"1,044"
2020,3,80,"4,558",869,774,371,333,355,481,431,376,568
2020,3,90,679,127,105,45,54,66,76,62,56,88
2020,3,100,52,6,15,2,2,16,0,4,4,3
2020,4,총,"94,461","17,189","20,523","2,952","3,078","13,140","15,713","7,115","4,600","10,151"
2020,4,0,"6,410",974,"1,472",54,71,"1,652","1,194",276,185,532
2020,4,10,"7,937","1,462","2,126",121,129,987,"1,624",459,230,799
2020,4,20,"9,768","1,764","2,323",178,192,"1,458","1,790",656,366,"1,041"
2020,4,30,"10,219","1,610","2,187",173,177,"2,429","1,764",630,334,915
2020,4,40,"14,119","2,415","3,422",241,236,"2,202","2,879",916,499,"1,309"
2020,4,50,"17,873","3,296","3,934",548,567,"1,820","3,142","1,599",950,"2,017"
2020,4,60,"14,571","2,928","2,713",684,766,"1,423","1,867","1,352","1,002","1,836"
2020,4,70,"8,256","1,735","1,440",535,551,729,894,731,599,"1,042"
2020,4,80,"4,570",866,784,370,333,358,486,428,376,569
2020,4,90,684,132,107,46,54,66,72,64,55,88
2020,4,100,54,7,15,2,2,16,1,4,4,3
2020,5,총,"94,336","17,133","20,468","2,943","3,062","13,164","15,725","7,082","4,599","10,160"
2020,5,0,"6,368",961,"1,463",54,66,"1,637","1,196",274,187,530
2020,5,10,"7,906","1,450","2,104",121,128,997,"1,614",461,233,798
2020,5,20,"9,682","1,741","2,294",171,185,"1,455","1,790",642,365,"1,039"
2020,5,30,"10,197","1,593","2,187",177,173,"2,439","1,759",625,331,913
2020,5,40,"14,068","2,393","3,412",236,233,"2,202","2,865",908,502,"1,317"
2020,5,50,"17,883","3,291","3,927",541,560,"1,822","3,177","1,596",948,"2,021"
2020,5,60,"14,626","2,944","2,724",689,775,"1,441","1,872","1,350",996,"1,835"
2020,5,70,"8,258","1,746","1,443",534,548,723,889,728,602,"1,045"
2020,5,80,"4,603",875,790,372,335,365,490,430,376,570
2020,5,90,691,132,109,46,57,67,72,64,55,89
2020,5,100,54,7,15,2,2,16,1,4,4,3
2020,6,총,"94,288","17,149","20,361","2,934","3,062","13,244","15,726","7,057","4,602","10,153"
2020,6,0,"6,329",952,"1,441",53,66,"1,651","1,180",278,186,522
2020,6,10,"7,915","1,451","2,084",123,149,"1,012","1,610",452,234,800
2020,6,20,"9,643","1,746","2,260",171,182,"1,463","1,789",635,362,"1,035"
2020,6,30,"10,165","1,585","2,172",178,170,"2,458","1,759",609,329,905
2020,6,40,"14,049","2,389","3,408",232,231,"2,212","2,869",900,495,"1,313"
2020,6,50,"17,843","3,302","3,899",540,547,"1,825","3,170","1,594",946,"2,020"
2020,6,60,"14,732","2,960","2,743",688,776,"1,450","1,894","1,356","1,009","1,856"
2020,6,70,"8,254","1,744","1,443",531,548,722,895,729,599,"1,043"
2020,6,80,"4,614",882,788,369,333,370,488,436,382,566
2020,6,90,690,131,108,47,58,65,71,64,56,90
2020,6,100,54,7,15,2,2,16,1,4,4,3
2020,7,총,"94,315","17,152","20,346","2,930","3,068","13,297","15,764","7,047","4,573","10,138"
2020,7,0,"6,281",943,"1,432",52,66,"1,646","1,172",272,181,517
2020,7,10,"7,891","1,449","2,078",120,154,"1,007","1,599",451,235,798
2020,7,20,"9,645","1,747","2,258",167,181,"1,476","1,792",638,350,"1,036"
2020,7,30,"10,157","1,576","2,171",180,173,"2,483","1,758",601,322,893
2020,7,40,"14,064","2,378","3,410",229,229,"2,220","2,892",898,491,"1,317"
2020,7,50,"17,856","3,302","3,902",543,548,"1,831","3,186","1,588",944,"2,012"
2020,7,60,"14,768","2,980","2,747",682,778,"1,454","1,903","1,356","1,009","1,859"
2020,7,70,"8,295","1,751","1,447",539,547,730,905,731,596,"1,049"
2020,7,80,"4,612",885,778,370,333,369,486,444,384,563
2020,7,90,693,134,109,46,56,65,71,64,57,91
2020,7,100,53,7,14,2,3,16,0,4,4,3
2020,8,총,"94,179","17,125","20,280","2,928","3,071","13,270","15,798","7,033","4,560","10,114"
2020,8,0,"6,234",942,"1,412",53,67,"1,636","1,169",265,174,516
2020,8,10,"7,865","1,437","2,072",119,155,"1,009","1,598",450,236,789
2020,8,20,"9,587","1,740","2,241",163,178,"1,464","1,787",628,345,"1,041"
2020,8,30,"10,079","1,574","2,133",184,175,"2,459","1,756",598,313,887
2020,8,40,"14,074","2,367","3,400",226,231,"2,238","2,906",905,491,"1,310"
2020,8,50,"17,830","3,298","3,922",538,546,"1,814","3,192","1,573",952,"1,995"
2020,8,60,"14,870","2,996","2,751",688,782,"1,469","1,925","1,369","1,013","1,877"
2020,8,70,"8,283","1,744","1,443",541,546,729,906,736,594,"1,044"
2020,8,80,"4,611",888,781,368,333,369,488,443,379,562
2020,8,90,691,132,111,46,54,67,71,62,58,90
2020,8,100,55,7,14,2,4,16,0,4,5,3
2020,9,총,"93,813","17,070","20,149","2,927","3,054","13,192","15,758","7,011","4,545","10,107"
2020,9,0,"6,125",928,"1,371",52,67,"1,622","1,147",255,172,511
2020,9,10,"7,792","1,422","2,044",119,155,"1,014","1,585",450,231,772
2020,9,20,"9,547","1,751","2,249",163,174,"1,441","1,776",614,345,"1,034"
2020,9,30,"9,928","1,558","2,072",181,171,"2,417","1,732",597,312,888
2020,9,40,"13,974","2,346","3,367",222,232,"2,223","2,893",904,487,"1,300"
2020,9,50,"17,818","3,283","3,920",547,536,"1,822","3,211","1,562",951,"1,986"
2020,9,60,"14,985","3,016","2,774",686,781,"1,480","1,944","1,386","1,014","1,904"
2020,9,70,"8,243","1,738","1,432",541,537,725,898,732,591,"1,049"
2020,9,80,"4,641",888,791,364,341,366,501,445,379,566
2020,9,90,705,133,115,50,56,66,71,62,58,94
2020,9,100,55,7,14,2,4,16,0,4,5,3
2020,10,총,"93,579","17,014","20,042","2,930","3,061","13,184","15,743","6,960","4,536","10,109"
2020,10,0,"6,052",924,"1,345",50,68,"1,612","1,121",253,171,508
2020,10,10,"7,719","1,398","2,011",122,145,"1,026","1,570",442,230,775
2020,10,20,"9,532","1,737","2,246",168,175,"1,440","1,780",606,339,"1,041"
2020,10,30,"9,849","1,548","2,030",181,178,"2,401","1,743",580,303,885
2020,10,40,"13,895","2,327","3,351",222,235,"2,219","2,858",899,483,"1,301"
2020,10,50,"17,796","3,266","3,915",543,538,"1,830","3,236","1,553",945,"1,970"
2020,10,60,"15,062","3,044","2,786",690,784,"1,477","1,963","1,381","1,023","1,914"
2020,10,70,"8,270","1,746","1,435",543,534,727,902,735,594,"1,054"
2020,10,80,"4,633",884,795,356,343,368,499,443,381,564
2020,10,90,715,133,114,52,57,68,71,64,62,94
2020,10,100,56,7,14,3,4,16,0,4,5,3
2020,11,총,"93,310","16,995","19,944","2,913","3,057","13,107","15,728","6,950","4,536","10,080"
2020,11,0,"5,951",916,"1,310",47,68,"1,592","1,102",244,170,502
2020,11,10,"7,679","1,389","2,007",118,142,"1,020","1,567",439,230,767
2020,11,20,"9,499","1,732","2,242",168,173,"1,431","1,777",603,339,"1,034"
2020,11,30,"9,747","1,535","1,989",178,177,"2,381","1,731",580,305,871
2020,11,40,"13,805","2,329","3,338",219,227,"2,187","2,842",888,477,"1,298"
2020,11,50,"17,789","3,257","3,900",540,543,"1,827","3,262","1,553",941,"1,966"
2020,11,60,"15,157","3,064","2,801",689,785,"1,486","1,977","1,398","1,036","1,921"
2020,11,70,"8,266","1,746","1,440",540,533,727,900,738,586,"1,056"
2020,11,80,"4,644",885,794,359,348,371,498,440,384,565
2020,11,90,716,134,109,52,57,69,72,63,63,97
2020,11,100,57,8,14,3,4,16,0,4,5,3
2020,12,총,"93,153","16,951","19,922","2,906","3,062","13,094","15,714","6,933","4,526","10,045"
2020,12,0,"5,894",906,"1,295",49,67,"1,573","1,097",240,173,494
2020,12,10,"7,647","1,378","2,005",117,140,"1,020","1,558",431,229,769
2020,12,20,"9,500","1,740","2,241",161,172,"1,428","1,786",608,334,"1,030"
2020,12,30,"9,674","1,515","1,984",174,176,"2,372","1,715",569,307,862
2020,12,40,"13,765","2,315","3,321",219,231,"2,195","2,844",879,472,"1,289"
2020,12,50,"17,738","3,246","3,898",533,543,"1,821","3,247","1,561",928,"1,961"
2020,12,60,"15,255","3,081","2,822",703,784,"1,500","1,999","1,405","1,042","1,919"
2020,12,70,"8,230","1,741","1,433",535,535,720,893,731,586,"1,056"
2020,12,80,"4,669",887,797,360,351,380,503,442,385,564
2020,12,90,722,134,111,52,59,68,72,63,65,98
2020,12,100,59,8,15,3,4,17,0,4,5,3
2021,1,총,"92,945","16,916","19,831","2,899","3,052","13,096","15,690","6,920","4,538","10,003"
2021,1,0,"5,832",895,"1,276",49,66,"1,565","1,079",236,176,490
2021,1,10,"7,615","1,377","1,978",116,139,"1,039","1,552",426,230,758
2021,1,20,"9,431","1,731","2,222",158,167,"1,404","1,794",603,335,"1,017"
2021,1,30,"9,587","1,502","1,951",169,177,"2,367","1,692",560,315,854
2021,1,40,"13,673","2,298","3,284",221,227,"2,195","2,822",876,476,"1,274"
2021,1,50,"17,696","3,211","3,913",530,536,"1,829","3,250","1,559",917,"1,951"
2021,1,60,"15,382","3,117","2,845",704,796,"1,510","2,018","1,420","1,047","1,925"
2021,1,70,"8,249","1,746","1,439",536,530,719,898,733,586,"1,062"
2021,1,80,"4,693",894,797,362,354,382,511,438,385,570
2021,1,90,729,138,111,51,56,69,74,65,66,99
2021,1,100,58,7,15,3,4,17,0,4,5,3
2021,2,총,"92,733","16,894","19,769","2,886","3,046","13,082","15,646","6,920","4,517","9,973"
2021,2,0,"5,756",892,"1,249",50,62,"1,555","1,047",234,171,496
2021,2,10,"7,574","1,369","1,972",114,132,"1,036","1,558",424,225,744
2021,2,20,"9,368","1,710","2,194",149,165,"1,397","1,799",610,335,"1,009"
2021,2,30,"9,481","1,492","1,921",170,171,"2,360","1,662",555,307,843
2021,2,40,"13,614","2,287","3,281",217,221,"2,194","2,811",871,473,"1,259"
2021,2,50,"17,640","3,207","3,918",524,535,"1,824","3,238","1,544",913,"1,937"
2021,2,60,"15,530","3,146","2,868",707,808,"1,529","2,042","1,438","1,049","1,943"
2021,2,70,"8,247","1,743","1,437",535,530,715,898,737,589,"1,063"
2021,2,80,"4,720",898,806,363,357,380,516,438,385,577
2021,2,90,743,143,108,54,61,75,75,65,65,97
2021,2,100,60,7,15,3,4,17,0,4,5,5
2021,3,총,"92,407","16,799","19,698","2,875","3,015","13,050","15,645","6,882","4,494","9,949"
2021,3,0,"5,730",881,"1,244",49,62,"1,547","1,051",231,168,497
2021,3,10,"7,534","1,354","1,964",115,133,"1,040","1,545",417,227,739
2021,3,20,"9,314","1,706","2,181",146,163,"1,378","1,789",609,337,"1,005"
2021,3,30,"9,409","1,481","1,919",169,166,"2,339","1,659",543,301,832
2021,3,40,"13,524","2,269","3,256",205,214,"2,206","2,810",852,464,"1,248"
2021,3,50,"17,529","3,173","3,898",520,520,"1,821","3,228","1,541",898,"1,930"
2021,3,60,"15,695","3,167","2,895",722,818,"1,544","2,079","1,447","1,060","1,963"
2021,3,70,"8,213","1,729","1,431",533,523,720,897,738,586,"1,056"
2021,3,80,"4,706",900,801,359,352,382,513,438,381,580
2021,3,90,735,138,105,55,62,73,74,62,69,97
2021,3,100,18,1,4,2,2,0,0,4,3,2
2021,4,총,"92,349","16,778","19,721","2,879","3,018","13,042","15,660","6,865","4,484","9,902"
2021,4,0,"5,701",872,"1,237",49,60,"1,541","1,055",230,162,495
2021,4,10,"7,494","1,356","1,956",117,130,"1,038","1,528",413,227,729
2021,4,20,"9,298","1,695","2,195",149,165,"1,369","1,792",613,331,989
2021,4,30,"9,350","1,460","1,922",165,166,"2,331","1,658",535,301,812
2021,4,40,"13,501","2,272","3,247",208,214,"2,209","2,796",845,456,"1,254"
2021,4,50,"17,473","3,148","3,909",518,519,"1,820","3,240","1,517",895,"1,907"
2021,4,60,"15,848","3,199","2,916",725,826,"1,556","2,104","1,475","1,066","1,981"
2021,4,70,"8,181","1,721","1,424",529,519,718,898,734,591,"1,047"
2021,4,80,"4,749",919,802,362,353,385,518,439,382,589
2021,4,90,733,133,108,55,64,75,71,60,70,97
2021,4,100,21,3,5,2,2,0,0,4,3,2
2021,5,총,"92,213","16,747","19,671","2,886","3,025","12,978","15,685","6,851","4,487","9,883"
2021,5,0,"5,690",859,"1,230",53,60,"1,543","1,058",233,164,490
2021,5,10,"7,475","1,356","1,926",117,130,"1,050","1,526",406,223,741
2021,5,20,"9,246","1,680","2,177",147,166,"1,358","1,777",619,334,988
2021,5,30,"9,287","1,461","1,900",162,163,"2,324","1,659",519,298,801
2021,5,40,"13,480","2,252","3,237",216,213,"2,214","2,806",839,457,"1,246"
2021,5,50,"17,427","3,148","3,905",511,514,"1,818","3,231","1,516",896,"1,888"
2021,5,60,"15,964","3,205","2,958",731,841,"1,552","2,134","1,478","1,072","1,993"
2021,5,70,"8,150","1,729","1,415",529,519,693,900,733,586,"1,046"
2021,5,80,"4,755",920,812,362,352,365,524,443,383,594
2021,5,90,717,134,106,56,65,61,70,60,71,94
2021,5,100,22,3,5,2,2,0,0,5,3,2
2021,6,총,"92,232","16,731","19,646","2,883","3,012","12,978","15,692","6,874","4,504","9,912"
2021,6,0,"5,653",855,"1,210",52,56,"1,527","1,060",239,167,487
2021,6,10,"7,494","1,355","1,927",113,132,"1,070","1,511",403,223,760
2021,6,20,"9,254","1,673","2,169",146,164,"1,361","1,788",628,334,991
2021,6,30,"9,253","1,454","1,888",162,160,"2,314","1,660",516,296,803
2021,6,40,"13,430","2,240","3,231",210,210,"2,203","2,786",840,462,"1,248"
2021,6,50,"17,371","3,129","3,891",514,510,"1,812","3,241","1,513",883,"1,878"
2021,6,60,"16,109","3,225","2,998",734,844,"1,569","2,148","1,496","1,088","2,007"
2021,6,70,"8,146","1,734","1,411",526,521,688,905,729,590,"1,042"
2021,6,80,"4,777",929,807,367,349,371,521,445,386,602
2021,6,90,724,134,109,57,64,63,72,61,72,92
2021,6,100,21,3,5,2,2,0,0,4,3,2
2021,7,총,"92,231","16,717","19,648","2,876","3,008","12,970","15,705","6,867","4,507","9,933"
2021,7,0,"5,604",849,"1,198",51,55,"1,499","1,056",242,167,487
2021,7,10,"7,483","1,347","1,920",113,131,"1,086","1,509",399,216,762
2021,7,20,"9,241","1,672","2,168",143,161,"1,350","1,786",626,337,998
2021,7,30,"9,252","1,445","1,889",164,157,"2,317","1,668",509,301,802
2021,7,40,"13,407","2,229","3,227",207,208,"2,218","2,777",830,461,"1,250"
2021,7,50,"17,362","3,129","3,897",511,506,"1,796","3,247","1,519",886,"1,871"
2021,7,60,"16,198","3,244","3,010",742,851,"1,579","2,162","1,505","1,085","2,020"
2021,7,70,"8,141","1,738","1,414",522,518,688,905,722,589,"1,045"
2021,7,80,"4,798",931,809,364,355,372,521,450,391,605
2021,7,90,725,131,111,57,64,65,74,61,71,91
2021,7,100,20,2,5,2,2,0,0,4,3,2
2021,8,총,"92,224","16,705","19,619","2,883","3,013","12,986","15,705","6,863","4,509","9,941"
2021,8,0,"5,568",849,"1,180",51,59,"1,479","1,053",236,167,494
2021,8,10,"7,467","1,350","1,909",114,121,"1,104","1,505",400,217,747
2021,8,20,"9,224","1,656","2,155",140,161,"1,349","1,798",622,336,"1,007"
2021,8,30,"9,229","1,437","1,890",165,156,"2,315","1,656",510,301,799
2021,8,40,"13,379","2,229","3,190",210,213,"2,236","2,764",825,464,"1,248"
2021,8,50,"17,380","3,122","3,909",507,513,"1,790","3,273","1,506",882,"1,878"
2021,8,60,"16,279","3,250","3,045",752,854,"1,586","2,160","1,523","1,088","2,021"
2021,8,70,"8,135","1,738","1,411",521,517,689,903,722,587,"1,047"
2021,8,80,"4,817",937,812,366,354,374,521,450,394,609
2021,8,90,726,135,113,55,63,64,72,65,70,89
2021,8,100,20,2,5,2,2,0,0,4,3,2
2021,9,총,"92,027","16,686","19,589","2,871","3,001","13,005","15,662","6,828","4,500","9,885"
2021,9,0,"5,548",848,"1,186",48,58,"1,468","1,041",239,161,499
2021,9,10,"7,401","1,353","1,882",112,106,"1,116","1,501",394,212,725
2021,9,20,"9,122","1,632","2,122",140,159,"1,353","1,792",604,343,977
2021,9,30,"9,155","1,431","1,883",161,156,"2,293","1,639",507,291,794
2021,9,40,"13,344","2,215","3,180",206,214,"2,258","2,758",814,467,"1,232"
2021,9,50,"17,382","3,117","3,932",502,510,"1,793","3,254","1,505",880,"1,889"
2021,9,60,"16,365","3,272","3,063",752,862,"1,599","2,184","1,520","1,095","2,018"
2021,9,70,"8,111","1,734","1,408",517,514,682,895,723,585,"1,053"
2021,9,80,"4,857",947,811,374,357,381,530,454,393,610
2021,9,90,722,135,117,57,63,62,68,64,70,86
2021,9,100,20,2,5,2,2,0,0,4,3,2
2021,10,총,"92,004","16,670","19,570","2,865","2,991","13,030","15,660","6,828","4,503","9,887"
2021,10,0,"5,499",837,"1,180",48,58,"1,448","1,034",237,158,499
2021,10,10,"7,387","1,343","1,870",112,107,"1,131","1,502",390,213,719
2021,10,20,"9,102","1,619","2,107",139,158,"1,370","1,777",610,343,979
2021,10,30,"9,107","1,423","1,883",155,158,"2,275","1,631",504,285,793
2021,10,40,"13,341","2,211","3,178",206,216,"2,269","2,766",808,463,"1,224"
2021,10,50,"17,386","3,121","3,919",497,510,"1,803","3,269","1,497",881,"1,889"
2021,10,60,"16,444","3,284","3,098",753,853,"1,601","2,191","1,532","1,106","2,026"
2021,10,70,"8,133","1,740","1,404",523,512,687,894,730,585,"1,058"
2021,10,80,"4,856",953,806,371,354,385,529,452,395,611
2021,10,90,730,137,121,59,63,61,67,64,71,87
2021,10,100,19,2,4,2,2,0,0,4,3,2
2021,11,총,"92,086","16,666","19,610","2,860","2,996","13,046","15,691","6,818","4,494","9,905"
2021,11,0,"5,428",825,"1,163",46,60,"1,430","1,029",228,157,490
2021,11,10,"7,398","1,339","1,878",112,106,"1,133","1,504",393,214,719
2021,11,20,"9,126","1,623","2,136",131,156,"1,368","1,783",606,338,985
2021,11,30,"9,104","1,415","1,879",159,163,"2,280","1,628",495,288,797
2021,11,40,"13,351","2,210","3,199",208,213,"2,273","2,761",800,462,"1,225"
2021,11,50,"17,372","3,126","3,904",494,513,"1,809","3,275","1,502",875,"1,874"
2021,11,60,"16,537","3,301","3,117",750,851,"1,608","2,212","1,537","1,107","2,054"
2021,11,70,"8,154","1,737","1,404",527,516,690,894,737,591,"1,058"
2021,11,80,"4,861",955,804,369,353,393,536,452,387,612
2021,11,90,736,133,122,62,63,62,69,64,72,89
2021,11,100,19,2,4,2,2,0,0,4,3,2
2021,12,총,"92,197","16,669","19,566","2,869","3,001","13,082","15,770","6,815","4,511","9,914"
2021,12,0,"5,407",818,"1,148",49,62,"1,431","1,031",227,154,487
2021,12,10,"7,394","1,331","1,857",110,107,"1,143","1,513",394,219,720
2021,12,20,"9,161","1,622","2,131",133,156,"1,386","1,808",603,340,982
2021,12,30,"9,120","1,419","1,894",160,163,"2,270","1,630",495,283,806
2021,12,40,"13,343","2,209","3,176",205,219,"2,271","2,772",795,475,"1,221"
2021,12,50,"17,395","3,121","3,903",494,508,"1,821","3,291","1,499",880,"1,878"
2021,12,60,"16,580","3,323","3,118",755,851,"1,614","2,221","1,541","1,100","2,057"
2021,12,70,"8,149","1,733","1,406",525,516,687,897,738,594,"1,053"
2021,12,80,"4,885",955,807,374,352,397,540,454,389,617
2021,12,90,744,136,122,62,65,62,67,65,74,91
2021,12,100,19,2,4,2,2,0,0,4,3,2
