지역명,2017-04-01 09:00:52,2017-05-01 09:00:52,2017-06-01 09:00:52,2017-07-01 09:00:52,2017-08-01 09:00:52,2017-09-01 09:00:52,2017-10-01 09:00:52,2017-11-01 09:00:52,2017-12-01 09:00:52,2018-01-01 09:00:52,2018-02-01 09:00:52,2018-03-01 09:00:52,2018-04-01 09:00:52,2018-05-01 09:00:52,2018-06-01 09:00:52,2018-07-01 09:00:52,2018-08-01 09:00:52,2018-09-01 09:00:52,2018-10-01 09:00:52,2018-11-01 09:00:52,2018-12-01 09:00:52,2019-01-01 09:00:52,2019-02-01 09:00:52,2019-03-01 09:00:52,2019-04-01 09:00:52,2019-05-01 09:00:52,2019-06-01 09:00:52,2019-07-01 09:00:52,2019-08-01 09:00:52,2019-09-01 09:00:52,2019-10-01 09:00:52,2019-11-01 09:00:52,2019-12-01 09:00:52,2020-01-01 09:00:52,2020-02-01 09:00:52,2020-03-01 09:00:52,2020-04-01 09:00:52,2020-05-01 09:00:52,2020-06-01 09:00:52,2020-07-01 09:00:52,2020-08-01 09:00:52,2020-09-01 09:00:52,2020-10-01 09:00:52,2020-11-01 09:00:52,2020-12-01 09:00:52,2021-01-01 09:00:52,2021-02-01 09:00:52,2021-03-01 09:00:52,2021-04-01 09:00:52,2021-05-01 09:00:52,2021-06-01 09:00:52,2021-07-01 09:00:52,2021-08-01 09:00:52,2021-09-01 09:00:52,2021-10-01 09:00:52,2021-11-01 09:00:52,2021-12-01 09:00:52,2022-01-01 09:00:52,2022-02-01 09:00:52,2022-03-01 09:00:52,2022-04-01 09:00:52
인천,25957,26014,26057,26180,26336,26417,26449,26498,26522,26561,26572,26594,26608,26620,26618,26611,26641,26682,26748,26782,26782,27210,27247,27247,27232,27187,27132,27129,27136,27188,27227,27289,27376,27472,27700,28358,28670,28949,29348,29694,30610,31320,30315,30585,30999,31500,32065,33032,34159,35067,36486,37518,38949,41376,42471,43814,44642,45294,45972,46308,46610
광주,22545,22570,22614,22640,22737,22812,22879,23075,23262,23403,23498,23617,23802,24092,24293,24640,24945,25237,25654,25996,26443,26934,27073,27266,27404,27446,27487,27606,27710,27767,27813,27851,27924,27985,28010,28109,28144,28141,28159,28182,27766,27268,28413,28927,29549,29906,30244,30495,30755,30983,31386,31655,32103,32237,31968,31922,31979,32078,32207,32286,32382
대전,22400,22404,22425,22465,22509,22540,22592,22632,22680,22741,22779,22829,22898,22949,22961,23009,23072,23225,23437,23676,23822,23863,23994,24078,24180,24290,24387,24568,24775,25290,25829,26415,27176,27874,28408,29101,29516,29765,30677,31293,31931,32352,32897,33820,34458,34935,36000,36854,37194,37568,38276,39012,39722,40667,41055,41761,42085,42331,42548,42639,42713
울산,25841,25867,25849,25825,25728,25679,25604,25583,25514,25501,25470,25428,25167,25054,24983,24841,24740,24684,24544,24351,24255,24343,24143,23858,23538,23444,23321,23225,23194,23161,23162,23255,23441,23553,23662,23879,23966,24052,24378,24583,25090,25496,25463,26482,27905,28671,29236,29681,29969,30116,30339,30499,30902,31637,32105,32649,32969,33219,33477,33592,33703
세종,26334,26404,26764,27320,28161,28319,28443,28487,28491,28697,28768,28996,29032,29159,29265,29335,29379,29455,29469,29446,29511,29861,29828,29912,29968,29964,29953,29998,30006,29952,30049,30073,30223,31282,33167,35269,35585,35771,37329,39733,45569,49508,48483,49771,51549,53835,56000,56451,56872,57118,57300,57259,57223,59955,62409,64803,66050,66443,66771,66890,66961
경기,32189,32249,32380,32527,32725,32849,32945,33058,33171,33421,33617,33876,34103,34214,34314,34413,34601,35361,35864,36039,36071,35986,35991,35949,35883,35841,35804,35811,35872,35927,36007,36139,36593,37039,37695,38704,39040,39216,39816,40806,42189,42999,43085,44210,45305,46616,48451,49972,51161,51987,53319,54437,55950,58242,59110,60190,60834,61331,61830,62073,62275
강원,17051,17096,17114,17141,17178,17252,17284,17322,17350,17377,17383,17398,17413,17421,17442,17428,17417,17414,17331,17283,17256,17382,17322,17193,17036,16965,16823,16622,16482,16384,16332,16253,16225,16197,16181,16185,16169,16128,16135,16171,16242,16293,16383,16524,16635,16732,16924,17129,17357,17482,17847,18273,18722,19375,19584,20085,20499,20717,20963,21125,21290
충북,16847,16819,16776,16766,16667,16596,16540,16476,16410,16410,16379,16319,16285,16217,16142,16025,15941,15889,15776,15512,15441,15458,15333,15208,15184,15124,15024,14918,14878,14849,14831,14824,14821,14870,14841,14865,14862,14904,15403,15510,15959,16387,15719,15882,16080,16253,16525,16801,16985,17284,17530,17817,18410,19730,20402,21219,21705,22089,22495,22705,22890
충남,18424,18396,18388,18375,18322,18244,18196,18145,18117,18054,18047,18036,17994,17964,17916,17852,17812,17771,17686,17572,17524,17727,17712,17589,17476,17429,17353,17247,17174,17148,17146,17083,17161,17249,17305,17376,17386,17469,17625,17768,18076,18365,18039,18263,18587,18813,18989,19291,19634,19790,20096,20322,20634,21389,21787,22311,22636,22898,23173,23314,23441
전북,17293,17320,17329,17334,17345,17340,17354,17396,17414,17422,17434,17437,17405,17401,17379,17346,17325,17312,17322,17315,17308,17422,17403,17344,17266,17197,17104,17066,17023,16988,16954,16927,16923,16924,16911,16932,16930,16948,16966,17031,16971,16921,17149,17232,17398,17626,17747,17905,18073,18266,18543,18761,19024,19431,19597,19890,20080,20268,20448,20637,20933
전남,14743,14811,14874,14980,15031,15102,15154,15292,15394,15505,15563,15664,15771,15856,15913,15982,16037,16086,16146,16250,16300,16520,16521,16660,16872,16891,16823,16856,16870,16910,16949,16965,17002,17056,17113,17193,17261,17313,17425,17674,17778,17819,18008,18203,18416,18469,18513,18655,18795,18859,18997,19088,19175,19297,19386,19500,19598,19679,19779,19827,19873
경북,17240,17205,17185,17158,17077,17021,16926,16906,16883,16823,16802,16781,16606,16509,16466,16377,16275,16198,16101,15982,15901,15981,15919,15829,15685,15627,15503,15429,15303,15251,15213,15186,15195,15176,15136,15103,15055,15034,15067,15144,15288,15401,15309,15515,15991,16302,16549,16797,17001,17128,17326,17503,17604,18117,18438,18823,19050,19229,19428,19532,19626
경남,21618,21562,21484,21373,21278,21154,21084,20913,20773,20652,20602,20484,20210,20051,19922,19706,19608,19520,19389,19286,19221,19214,19156,19015,18918,18849,18750,18603,18552,18456,18353,18289,18374,18404,18433,18482,18461,18435,18481,18602,19027,19398,18912,19377,19803,20122,20341,20577,20779,20926,21104,21270,21657,22520,23116,23852,24308,24672,25059,25271,25470
